client_id,client_name,dba_name,fein,naics_code,industry,annual_revenue,employee_count,billing_street,billing_city,billing_state,billing_zip,producer_id,producer_name,account_manager_id,account_manager_name,client_since,status,lines_of_business,source
MER-C0019,Metro Associates LP,,82-1842019,541330,Professional Services - Engineering,58400000,503,3056 Park Pl,Hartford,CT,06153,E004,Susan Rodriguez,E011,Mark Miller,2020-11-23,Active,"PL,GL,CYB,WC",BOR
MER-C0020,Keystone State Marine Co.,,43-1627452,336612,Marine - Boat Repair & Fabrication,7100000,58,186 Market St,Providence,RI,02938,E002,Karen Delgado,E018,Carlos Nakamura,2015-08-06,Active,"GL,PROP,WC,AUTO",Web
MER-C0021,Keystone State Transport Inc.,,69-4995276,484121,Trucking - General Freight,20700000,201,7460 Maple Dr,Albany,NY,12286,E002,Karen Delgado,E015,Mark Anderson,2008-12-29,Active,"AUTO,GL,WC,UMB",BOR
MER-C0022,Summit Hotels LP,,82-8725190,721110,Hospitality - Hotels,89500000,760,4459 Elm St,Worcester,MA,01619,E005,Hiro Wright,E021,Matthew Jones,2014-08-06,Active,"PROP,GL,WC,UMB",Walk-in
MER-C0023,Ironclad Properties Inc.,,72-2606309,531120,Real Estate - Lessors of Commercial Buildings,40100000,323,3747 Mill St,Providence,RI,02968,E001,Mark Walker,E021,Matthew Jones,2014-10-08,Active,"PROP,GL,UMB",Web
MER-C0024,Northgate Manufacturing Inc.,,64-4115455,326199,Manufacturing - Plastics,25200000,144,3202 Harbor Dr,Worcester,MA,01645,E001,Mark Walker,E016,Sarah Hernandez,2021-10-19,Active,"PROP,GL,WC",Referral
MER-C0025,Riverside Electric LLC,,28-8756749,238220,Contractors - HVAC/Plumbing,63000000,683,4543 Industrial Pkwy,Hartford,CT,06188,E006,Betty Delgado,E019,Emily Hernandez,2009-01-27,Active,"GL,WC,AUTO,UMB",Cold Outreach
MER-C0026,Summit Software Inc.,,73-4511126,541511,Technology - Software,83800000,391,7462 Technology Way,Albany,NY,12216,E002,Karen Delgado,E013,Thomas Walker,2018-04-11,Active,"CYB,PL,GL,DO",Association
MER-C0027,Valley Marine Co.,,34-4492359,336612,Marine - Boat Repair & Fabrication,70000000,625,2208 Industrial Pkwy,Worcester,MA,01688,E003,Joseph Garcia,E011,Mark Miller,2008-03-08,Active,"GL,PROP,WC,AUTO",Walk-in
MER-C0028,Cornerstone Electric LLC,,19-1696717,238210,Contractors - Electrical,37600000,172,94 River Rd,Albany,NY,12236,E003,Joseph Garcia,E021,Matthew Jones,2008-12-13,Active,"GL,WC,AUTO,UMB",Web
MER-C0029,Beacon Supply LP,,27-6716449,423840,Wholesale - Industrial Supplies,52300000,327,7141 Technology Way,Albany,NY,12249,E005,Hiro Wright,E020,Emily Scott,2016-09-08,Active,"PROP,GL,AUTO,WC",Association
MER-C0030,Lakeshore Hardware LLC,,61-5469462,444130,Retail - Hardware Store,23900000,115,142 Main St,Albany,NY,12291,E006,Betty Delgado,E011,Mark Miller,2021-09-22,Active,"BOP,WC",BOR
MER-C0031,Keystone State Software LLC,,36-3539394,541511,Technology - Software,80300000,492,9773 Market St,Hartford,CT,06196,E006,Betty Delgado,E013,Thomas Walker,2011-07-04,Active,"CYB,PL,GL,DO",BOR
MER-C0032,Patriot Medical Group Corp.,,65-2904536,621498,Healthcare - Outpatient Clinic,61900000,363,7711 Oak Ave,Albany,NY,12236,E006,Betty Delgado,E018,Carlos Nakamura,2011-10-09,Active,"PL,GL,PROP,CYB,WC",Cold Outreach
MER-C0033,Bayside Associates Co.,,56-7311207,541211,Professional Services - Accounting,36600000,226,1335 Industrial Pkwy,Providence,RI,02910,E006,Betty Delgado,E020,Emily Scott,2019-11-30,Active,"PL,CYB,BOP",Association
MER-C0034,Patriot Hardware LLC,,52-6679866,444130,Retail - Hardware Store,27000000,206,3902 Maple Dr,Hartford,CT,06188,E008,Donna Robinson,E012,Jennifer Kowalski,2011-05-08,Active,"BOP,WC",Web
MER-C0035,Patriot Medical Group LLC,,92-5399912,621498,Healthcare - Outpatient Clinic,64200000,293,880 Maple Dr,Hartford,CT,06198,E008,Donna Robinson,E020,Emily Scott,2016-08-26,Active,"PL,GL,PROP,CYB,WC",Association
MER-C0036,Highland Medical Group Corp.,,81-2422216,621498,Healthcare - Outpatient Clinic,6400000,44,4696 Market St,Worcester,MA,01621,E008,Donna Robinson,E012,Jennifer Kowalski,2012-11-28,Active,"PL,GL,PROP,CYB,WC",Referral
MER-C0037,Sterling Transport LP,,58-1655947,484121,Trucking - General Freight,5100000,47,4676 Front St,Albany,NY,12275,E002,Karen Delgado,E010,Karen Clark,2023-11-24,Active,"AUTO,GL,WC,UMB",BOR
MER-C0038,Pioneer Hardware Inc.,,83-9218929,444130,Retail - Hardware Store,12700000,61,8826 Oak Ave,Worcester,MA,01623,E007,Omar Clark,E014,Linda Thompson,2017-02-24,Active,"BOP,WC",Association
