location_id,client_id,location_number,street,city,state,zip,occupancy,construction,year_built,square_feet,sprinklered,building_value,contents_value,business_income_value
MER-C0022-L1,MER-C0022,1,4459 Elm St,Worcester,MA,01619,Warehouse,Joisted Masonry,1987,82853,N,1400000,225000,450000
MER-C0022-L2,MER-C0022,2,6155 Harbor Dr,Providence,RI,02957,Yard/Storage,Masonry Non-Combustible,1972,30344,Y,1650000,550000,1400000
MER-C0022-L3,MER-C0022,3,6770 Elm St,Providence,RI,02939,Mixed Use,Frame,1970,19916,N,4800000,675000,1150000
MER-C0022-L4,MER-C0022,4,8060 Elm St,Providence,RI,02946,Office,Masonry Non-Combustible,1988,96500,N,700000,925000,350000
MER-C0023-L1,MER-C0023,1,3747 Mill St,Providence,RI,02968,Warehouse,Frame,1973,41393,N,3650000,625000,1350000
MER-C0023-L2,MER-C0023,2,7698 Industrial Pkwy,Albany,NY,12231,Yard/Storage,Frame,2002,113167,Y,1700000,600000,950000
MER-C0023-L3,MER-C0023,3,9611 Washington St,Hartford,CT,06167,Manufacturing,Fire Resistive,2000,24653,N,4700000,450000,500000
MER-C0024-L1,MER-C0024,1,3202 Harbor Dr,Worcester,MA,01645,Mixed Use,Fire Resistive,2015,37102,N,4700000,575000,1200000
MER-C0025-L1,MER-C0025,1,4543 Industrial Pkwy,Hartford,CT,06188,Retail,Frame,2007,29007,Y,0,450000,250000
MER-C0025-L2,MER-C0025,2,3673 Washington St,Worcester,MA,01639,Office,Masonry Non-Combustible,1960,36853,N,0,25000,550000
MER-C0026-L1,MER-C0026,1,7462 Technology Way,Albany,NY,12216,Mixed Use,Joisted Masonry,2007,95795,Y,0,425000,550000
MER-C0027-L1,MER-C0027,1,2208 Industrial Pkwy,Worcester,MA,01688,Office,Fire Resistive,1973,74346,Y,2050000,675000,650000
MER-C0027-L2,MER-C0027,2,1047 Technology Way,Hartford,CT,06198,Mixed Use,Frame,2013,62477,Y,2900000,900000,650000
MER-C0027-L3,MER-C0027,3,8333 Union St,Providence,RI,02938,Mixed Use,Fire Resistive,1971,30817,Y,4750000,250000,650000
MER-C0028-L1,MER-C0028,1,94 River Rd,Albany,NY,12236,Manufacturing,Masonry Non-Combustible,1995,104168,N,0,1000000,300000
MER-C0029-L1,MER-C0029,1,7141 Technology Way,Albany,NY,12249,Retail,Joisted Masonry,1968,115727,N,3150000,625000,1250000
MER-C0029-L2,MER-C0029,2,4454 Industrial Pkwy,Hartford,CT,06120,Manufacturing,Frame,1962,51051,Y,3400000,25000,1400000
MER-C0030-L1,MER-C0030,1,142 Main St,Albany,NY,12291,Retail,Fire Resistive,1966,31406,N,0,950000,1100000
MER-C0031-L1,MER-C0031,1,9773 Market St,Hartford,CT,06196,Office,Frame,1953,45412,Y,0,550000,1400000
MER-C0032-L1,MER-C0032,1,7711 Oak Ave,Albany,NY,12236,Yard/Storage,Non-Combustible,2018,98266,Y,1650000,75000,900000
MER-C0032-L2,MER-C0032,2,4796 Market St,Hartford,CT,06174,Warehouse,Non-Combustible,1984,9618,Y,4400000,225000,1000000
MER-C0032-L3,MER-C0032,3,2635 Commerce Blvd,Worcester,MA,01616,Manufacturing,Frame,1976,100145,N,2150000,725000,550000
MER-C0033-L1,MER-C0033,1,1335 Industrial Pkwy,Providence,RI,02910,Mixed Use,Joisted Masonry,2004,86556,Y,0,325000,550000
MER-C0034-L1,MER-C0034,1,3902 Maple Dr,Hartford,CT,06188,Retail,Non-Combustible,2002,19262,Y,0,650000,450000
MER-C0034-L2,MER-C0034,2,4077 Front St,Worcester,MA,01693,Warehouse,Non-Combustible,2006,27584,Y,0,575000,700000
MER-C0035-L1,MER-C0035,1,880 Maple Dr,Hartford,CT,06198,Yard/Storage,Non-Combustible,1987,6244,N,2800000,725000,700000
MER-C0036-L1,MER-C0036,1,4696 Market St,Worcester,MA,01621,Retail,Masonry Non-Combustible,1986,119337,N,5750000,250000,200000
MER-C0036-L2,MER-C0036,2,425 Technology Way,Providence,RI,02941,Mixed Use,Joisted Masonry,1970,63569,Y,5450000,700000,1200000
MER-C0037-L1,MER-C0037,1,4676 Front St,Albany,NY,12275,Retail,Frame,1963,83898,Y,0,200000,300000
MER-C0037-L2,MER-C0037,2,1883 Market St,Albany,NY,12271,Warehouse,Masonry Non-Combustible,1975,20681,N,0,300000,500000
MER-C0037-L3,MER-C0037,3,2002 Enterprise Ct,Worcester,MA,01671,Office,Non-Combustible,1977,117063,Y,0,325000,200000
MER-C0038-L1,MER-C0038,1,8826 Oak Ave,Worcester,MA,01623,Office,Joisted Masonry,2013,31346,Y,0,125000,150000
