inspection_id,type,reference,item_id,inspection_date,inspector_id,sample_size,defects_found,result,plan
INS-00030,Receiving,RCV-40114,P-20017,2025-10-13,E057,13,0,Accept,AQL 1.0 Level II
INS-00031,Receiving,RCV-40116,P-20083,2025-08-23,E056,2,0,Accept,AQL 1.0 Level II
INS-00032,Receiving,RCV-40117,P-20104,2026-02-07,E055,8,0,Accept,AQL 1.0 Level II
INS-00033,Receiving,RCV-40123,P-20046,2025-05-30,E057,13,0,Accept,AQL 1.0 Level II
INS-00034,Receiving,RCV-40126,P-20095,2026-01-27,E056,2,0,Accept,AQL 1.0 Level II
INS-00035,Receiving,RCV-40129,P-20099,2025-11-02,E058,5,0,Accept,AQL 1.0 Level II
INS-00036,Receiving,RCV-40130,P-20088,2026-02-20,E055,2,0,Accept,AQL 1.0 Level II
INS-00037,Receiving,RCV-40131,P-20049,2025-05-01,E056,8,0,Accept,AQL 1.0 Level II
INS-00038,Receiving,RCV-40135,P-10049,2025-07-21,E058,13,0,Accept,AQL 1.0 Level II
INS-00039,Receiving,RCV-40138,P-10049,2025-06-18,E057,8,0,Accept,AQL 1.0 Level II
INS-00040,Receiving,RCV-40141,P-10035,2025-12-06,E057,5,0,Accept,AQL 1.0 Level II
INS-00041,Receiving,RCV-40144,P-20056,2026-03-20,E056,8,0,Accept,AQL 1.0 Level II
INS-00042,Receiving,RCV-40146,P-20055,2026-01-15,E055,5,0,Accept,AQL 1.0 Level II
INS-00043,Receiving,RCV-40148,P-20035,2025-12-20,E059,2,0,Accept,AQL 1.0 Level II
INS-00044,Receiving,RCV-40153,P-20000,2025-08-09,E059,2,0,Accept,AQL 1.0 Level II
INS-00045,Receiving,RCV-40156,P-10105,2025-09-27,E055,2,0,Accept,AQL 1.0 Level II
INS-00046,Receiving,RCV-40160,P-10070,2025-08-14,E059,2,0,Accept,AQL 1.0 Level II
INS-00047,Receiving,RCV-40165,P-20088,2026-01-31,E055,13,0,Accept,AQL 1.0 Level II
INS-00048,Receiving,RCV-40166,P-20111,2025-12-09,E059,8,0,Accept,AQL 1.0 Level II
INS-00049,Receiving,RCV-40168,P-10035,2025-09-20,E059,13,0,Accept,AQL 1.0 Level II
INS-00050,Receiving,RCV-40173,P-20027,2026-03-31,E058,5,0,Accept,AQL 1.0 Level II
INS-00051,Receiving,RCV-40174,P-20032,2025-05-30,E058,2,0,Accept,AQL 1.0 Level II
INS-00052,Receiving,RCV-40189,P-20103,2026-02-10,E057,5,3,Reject,AQL 1.0 Level II
INS-00053,Receiving,RCV-40193,P-10049,2025-12-01,E058,8,2,Reject,AQL 1.0 Level II
INS-00054,Receiving,RCV-40198,P-20054,2025-09-18,E056,8,0,Accept,AQL 1.0 Level II
INS-00055,Receiving,RCV-40200,P-10084,2026-02-10,E055,2,0,Accept,AQL 1.0 Level II
INS-00056,Receiving,RCV-40203,P-20083,2026-03-16,E056,2,0,Accept,AQL 1.0 Level II
INS-00057,Receiving,RCV-40206,P-10021,2025-12-18,E059,2,0,Accept,AQL 1.0 Level II
INS-00058,Receiving,RCV-40209,P-20106,2026-01-07,E058,5,0,Accept,AQL 1.0 Level II
INS-00059,Receiving,RCV-40212,P-20050,2025-06-15,E058,2,0,Accept,AQL 1.0 Level II
INS-00060,Receiving,RCV-40213,P-10063,2025-12-27,E055,5,0,Accept,AQL 1.0 Level II
INS-00061,Receiving,RCV-40217,P-20032,2026-01-03,E059,13,0,Accept,AQL 1.0 Level II
INS-00062,Receiving,RCV-40218,P-20088,2025-05-24,E058,8,2,Reject,AQL 1.0 Level II
INS-00063,Receiving,RCV-40219,P-20052,2025-11-03,E058,13,0,Accept,AQL 1.0 Level II
INS-00064,Receiving,RCV-40222,P-20024,2025-12-18,E059,5,0,Accept,AQL 1.0 Level II
INS-00065,Receiving,RCV-40225,P-20099,2025-12-25,E057,13,0,Accept,AQL 1.0 Level II
INS-00066,Receiving,RCV-40231,P-10105,2025-10-13,E057,13,0,Accept,AQL 1.0 Level II
INS-00067,Receiving,RCV-40232,P-20017,2025-05-15,E055,2,0,Accept,AQL 1.0 Level II
INS-00068,Receiving,RCV-40245,P-20088,2025-10-14,E056,13,0,Accept,AQL 1.0 Level II
INS-00069,Receiving,RCV-40140,P-10049,2025-11-14,E055,13,0,Accept,AQL 1.0 Level II
INS-00070,Receiving,RCV-40051,P-10049,2025-12-28,E055,8,0,Accept,AQL 1.0 Level II
INS-00071,Receiving,RCV-40136,P-20026,2026-03-11,E056,5,0,Accept,AQL 1.0 Level II
INS-00072,Receiving,RCV-40043,P-20113,2025-10-11,E057,8,0,Accept,AQL 1.0 Level II
INS-00073,Receiving,RCV-40110,P-20017,2025-11-08,E055,8,0,Accept,AQL 1.0 Level II
INS-00074,Receiving,RCV-40173,P-20027,2026-03-31,E058,2,0,Accept,AQL 1.0 Level II
INS-00075,Receiving,RCV-40225,P-20099,2025-12-23,E059,2,0,Accept,AQL 1.0 Level II
INS-00076,Receiving,RCV-40009,P-20032,2025-10-12,E055,5,0,Accept,AQL 1.0 Level II
INS-00077,Receiving,RCV-40240,P-20059,2025-05-05,E056,5,0,Accept,AQL 1.0 Level II
INS-00078,Receiving,RCV-40028,P-20091,2026-01-01,E056,2,0,Accept,AQL 1.0 Level II
INS-00079,Receiving,RCV-40052,P-10049,2025-06-29,E058,2,0,Accept,AQL 1.0 Level II
INS-00080,Receiving,RCV-40184,P-20089,2025-08-24,E056,13,0,Accept,AQL 1.0 Level II
INS-00081,Receiving,RCV-40101,P-20067,2025-12-18,E059,8,0,Accept,AQL 1.0 Level II
INS-00082,Receiving,RCV-40090,P-10042,2026-03-28,E057,2,0,Accept,AQL 1.0 Level II
INS-00083,Receiving,RCV-40040,P-20054,2025-08-25,E055,2,0,Accept,AQL 1.0 Level II
INS-00084,Receiving,RCV-40142,P-20117,2026-02-14,E056,2,0,Accept,AQL 1.0 Level II
INS-00085,Receiving,RCV-40003,P-20014,2026-01-10,E057,2,0,Accept,AQL 1.0 Level II
INS-00086,Receiving,RCV-40058,P-10105,2026-03-05,E056,8,4,Reject,AQL 1.0 Level II
INS-00087,Receiving,RCV-40232,P-20017,2025-05-16,E059,2,0,Accept,AQL 1.0 Level II
INS-00088,Receiving,RCV-40085,P-20055,2025-07-23,E059,8,0,Accept,AQL 1.0 Level II
INS-00089,Receiving,RCV-40218,P-20088,2025-05-24,E056,2,0,Accept,AQL 1.0 Level II
INS-00090,Receiving,RCV-40139,P-20067,2025-08-06,E059,2,0,Accept,AQL 1.0 Level II
INS-00091,Receiving,RCV-40130,P-20088,2026-02-18,E059,5,0,Accept,AQL 1.0 Level II
INS-00092,Receiving,RCV-40082,P-20044,2026-01-31,E055,8,0,Accept,AQL 1.0 Level II
INS-00093,Receiving,RCV-40113,P-20113,2025-09-20,E055,5,0,Accept,AQL 1.0 Level II
INS-00094,Receiving,RCV-40164,P-10049,2025-06-28,E059,5,2,Reject,AQL 1.0 Level II
INS-00095,Receiving,RCV-40018,P-20067,2025-08-26,E058,8,0,Accept,AQL 1.0 Level II
INS-00096,Receiving,RCV-40056,P-20014,2025-12-29,E058,13,4,Reject,AQL 1.0 Level II
INS-00097,Receiving,RCV-40064,P-20060,2026-04-02,E059,13,0,Accept,AQL 1.0 Level II
INS-00098,Receiving,RCV-40059,P-20081,2025-10-29,E055,2,0,Accept,AQL 1.0 Level II
INS-00099,Receiving,RCV-40233,P-20079,2026-03-23,E055,2,0,Accept,AQL 1.0 Level II
INS-00100,Receiving,RCV-40111,P-10049,2025-04-26,E058,2,0,Accept,AQL 1.0 Level II
INS-00101,Receiving,RCV-40125,P-20044,2026-02-20,E059,2,0,Accept,AQL 1.0 Level II
INS-00102,Receiving,RCV-40060,P-20088,2026-04-02,E056,8,0,Accept,AQL 1.0 Level II
INS-00103,Receiving,RCV-40201,P-20064,2026-03-07,E056,5,0,Accept,AQL 1.0 Level II
INS-00104,Receiving,RCV-40246,P-20048,2026-03-30,E059,5,3,Reject,AQL 1.0 Level II
INS-00105,Receiving,RCV-40092,P-20091,2025-09-11,E056,8,0,Accept,AQL 1.0 Level II
INS-00106,Receiving,RCV-40069,P-20086,2025-07-07,E059,2,0,Accept,AQL 1.0 Level II
INS-00107,Receiving,RCV-40224,P-10056,2025-07-14,E055,8,0,Accept,AQL 1.0 Level II
INS-00108,Receiving,RCV-40171,P-10077,2025-06-23,E056,2,0,Accept,AQL 1.0 Level II
INS-00109,Final,WO-70001,A-20058,2025-07-08,E059,5,0,Accept,100% dimensional on criticals
INS-00110,Final,WO-70002,A-20038,2025-12-09,E056,5,0,Accept,100% dimensional on criticals
INS-00111,Final,WO-70003,A-20063,2025-10-02,E057,5,0,Accept,100% dimensional on criticals
INS-00112,Final,WO-70004,A-20114,2025-07-29,E057,5,0,Accept,100% dimensional on criticals
INS-00113,Final,WO-70005,A-20082,2025-12-23,E056,5,0,Accept,100% dimensional on criticals
INS-00114,Final,WO-70006,A-20090,2026-03-12,E059,5,0,Accept,100% dimensional on criticals
INS-00115,Final,WO-70007,A-20022,2025-06-16,E055,5,0,Accept,100% dimensional on criticals
INS-00116,Final,WO-70009,A-20036,2025-08-18,E057,5,0,Accept,100% dimensional on criticals
INS-00117,Final,WO-70010,A-20094,2025-10-02,E059,5,0,Accept,100% dimensional on criticals
INS-00118,Final,WO-70011,A-20034,2025-10-09,E058,5,0,Accept,100% dimensional on criticals
INS-00119,Final,WO-70012,A-20107,2025-05-20,E057,5,0,Accept,100% dimensional on criticals
INS-00120,Final,WO-70013,A-20034,2025-07-19,E059,5,0,Accept,100% dimensional on criticals
INS-00121,Final,WO-70014,A-20101,2025-09-14,E055,5,0,Accept,100% dimensional on criticals
INS-00122,Final,WO-70015,A-20114,2025-04-25,E058,5,0,Accept,100% dimensional on criticals
INS-00123,Final,WO-70017,A-20092,2026-03-23,E059,5,2,Reject,100% dimensional on criticals
INS-00124,Final,WO-70018,A-20061,2025-11-30,E056,5,0,Accept,100% dimensional on criticals
INS-00125,Final,WO-70019,A-20004,2025-12-15,E059,5,0,Accept,100% dimensional on criticals
INS-00126,Final,WO-70020,A-20058,2025-05-15,E057,5,0,Accept,100% dimensional on criticals
INS-00127,Final,WO-70022,A-20010,2025-12-14,E057,5,0,Accept,100% dimensional on criticals
INS-00128,Final,WO-70023,A-20025,2025-10-06,E056,5,0,Accept,100% dimensional on criticals
INS-00129,Final,WO-70024,A-20040,2025-08-19,E057,5,0,Accept,100% dimensional on criticals
INS-00130,Final,WO-70025,A-20090,2025-05-23,E055,5,0,Accept,100% dimensional on criticals
INS-00131,Final,WO-70026,A-20070,2025-09-21,E057,5,0,Accept,100% dimensional on criticals
INS-00132,Final,WO-70028,A-20030,2025-06-05,E056,5,0,Accept,100% dimensional on criticals
INS-00133,Final,WO-70029,A-20078,2025-07-22,E058,5,0,Accept,100% dimensional on criticals
INS-00134,Final,WO-70030,A-20076,2025-11-10,E057,5,0,Accept,100% dimensional on criticals
INS-00135,Final,WO-70031,A-20030,2026-03-11,E055,5,0,Accept,100% dimensional on criticals
INS-00136,Final,WO-70032,A-20107,2025-10-21,E056,5,0,Accept,100% dimensional on criticals
INS-00137,Final,WO-70037,A-20040,2026-02-11,E057,5,0,Accept,100% dimensional on criticals
INS-00138,Final,WO-70038,A-20020,2025-10-11,E056,5,0,Accept,100% dimensional on criticals
INS-00139,Final,WO-70039,A-20114,2025-12-13,E055,5,2,Reject,100% dimensional on criticals
INS-00140,Final,WO-70040,A-20070,2025-09-03,E058,5,0,Accept,100% dimensional on criticals
INS-00141,Final,WO-70041,A-20072,2026-03-12,E058,5,0,Accept,100% dimensional on criticals
INS-00142,Final,WO-70042,A-20107,2025-11-14,E059,5,1,Reject,100% dimensional on criticals
INS-00143,Final,WO-70044,A-20043,2025-10-28,E056,5,0,Accept,100% dimensional on criticals
INS-00144,Final,WO-70045,A-20003,2026-02-21,E059,5,0,Accept,100% dimensional on criticals
INS-00145,Final,WO-70047,A-20058,2025-09-19,E056,5,0,Accept,100% dimensional on criticals
INS-00146,Final,WO-70048,A-20087,2026-01-09,E058,5,2,Reject,100% dimensional on criticals
INS-00147,Final,WO-70050,A-20010,2025-12-12,E056,5,0,Accept,100% dimensional on criticals
INS-00148,Final,WO-70051,A-20077,2025-12-09,E059,5,0,Accept,100% dimensional on criticals
INS-00149,Final,WO-70052,A-20033,2025-07-02,E055,5,2,Reject,100% dimensional on criticals
INS-00150,Final,WO-70053,A-20022,2025-09-04,E057,5,0,Accept,100% dimensional on criticals
INS-00151,Final,WO-70054,A-20093,2026-03-21,E056,5,3,Reject,100% dimensional on criticals
INS-00152,Final,WO-70055,A-20043,2026-01-21,E059,5,0,Accept,100% dimensional on criticals
INS-00153,Final,WO-70056,A-20070,2025-11-05,E058,5,0,Accept,100% dimensional on criticals
INS-00154,Final,WO-70057,A-20025,2026-02-14,E058,5,0,Accept,100% dimensional on criticals
INS-00155,Final,WO-70058,A-20031,2025-09-17,E059,5,0,Accept,100% dimensional on criticals
INS-00156,Final,WO-70059,A-20097,2025-05-31,E058,5,0,Accept,100% dimensional on criticals
INS-00157,Final,WO-70061,A-20070,2025-04-16,E055,5,0,Accept,100% dimensional on criticals
INS-00158,Final,WO-70063,A-20078,2025-08-14,E057,5,0,Accept,100% dimensional on criticals
INS-00159,Final,WO-70064,A-20093,2025-12-28,E055,5,0,Accept,100% dimensional on criticals
INS-00160,Final,WO-70065,A-20063,2026-02-12,E059,5,0,Accept,100% dimensional on criticals
INS-00161,Final,WO-70066,A-20082,2025-12-25,E059,5,0,Accept,100% dimensional on criticals
INS-00162,Final,WO-70067,A-20033,2025-09-05,E055,5,0,Accept,100% dimensional on criticals
INS-00163,Final,WO-70069,A-20114,2025-08-08,E059,5,0,Accept,100% dimensional on criticals
INS-00164,Final,WO-70070,A-20082,2026-03-21,E055,5,0,Accept,100% dimensional on criticals
INS-00165,Final,WO-70071,A-20107,2025-12-27,E059,5,0,Accept,100% dimensional on criticals
INS-00166,Final,WO-70072,A-20087,2025-07-31,E056,5,0,Accept,100% dimensional on criticals
INS-00167,Final,WO-70074,A-20097,2025-06-13,E058,5,0,Accept,100% dimensional on criticals
INS-00168,Final,WO-70075,A-20061,2025-09-20,E055,5,0,Accept,100% dimensional on criticals
INS-00169,Final,WO-70076,A-20061,2025-08-05,E058,5,0,Accept,100% dimensional on criticals
INS-00170,Final,WO-70077,A-20107,2025-05-30,E059,5,0,Accept,100% dimensional on criticals
INS-00171,Final,WO-70078,A-20114,2025-09-26,E055,5,0,Accept,100% dimensional on criticals
INS-00172,Final,WO-70079,A-20022,2026-01-07,E055,5,0,Accept,100% dimensional on criticals
INS-00173,Final,WO-70080,A-20039,2026-03-22,E059,5,0,Accept,100% dimensional on criticals
INS-00174,Final,WO-70081,A-20039,2025-06-01,E057,5,0,Accept,100% dimensional on criticals
INS-00175,Final,WO-70082,A-20031,2025-10-07,E057,5,0,Accept,100% dimensional on criticals
INS-00176,Final,WO-70083,A-20110,2025-07-15,E058,5,0,Accept,100% dimensional on criticals
INS-00177,Final,WO-70084,A-20031,2025-11-18,E057,5,0,Accept,100% dimensional on criticals
INS-00178,Final,WO-70086,A-20097,2025-08-22,E057,5,1,Reject,100% dimensional on criticals
INS-00179,Final,WO-70087,A-20063,2026-03-09,E057,5,0,Accept,100% dimensional on criticals
INS-00180,Final,WO-70088,A-20078,2025-10-13,E055,5,2,Reject,100% dimensional on criticals
INS-00181,Final,WO-70089,A-20053,2025-04-23,E056,5,0,Accept,100% dimensional on criticals
INS-00182,Final,WO-70090,A-20053,2026-02-13,E059,5,0,Accept,100% dimensional on criticals
INS-00183,Final,WO-70091,A-20002,2025-09-27,E055,5,0,Accept,100% dimensional on criticals
INS-00184,Final,WO-70093,A-20094,2026-03-18,E059,5,0,Accept,100% dimensional on criticals
INS-00185,Final,WO-70094,A-20092,2025-05-24,E058,5,0,Accept,100% dimensional on criticals
INS-00186,Final,WO-70096,A-20076,2025-10-04,E056,5,0,Accept,100% dimensional on criticals
INS-00187,Final,WO-70097,A-20022,2025-09-21,E057,5,0,Accept,100% dimensional on criticals
INS-00188,Final,WO-70098,A-20070,2025-07-15,E055,5,0,Accept,100% dimensional on criticals
