coc_id,work_order_id,item_id,revision,qty,issue_date,customer_so,signed_by,material_certs_attached,file
COC-00021,WO-70024,A-20040,C,100,2025-08-19,SO-26038,E055,Y,COC-WO-70024.pdf
COC-00022,WO-70025,A-20090,C,20,2025-05-23,SO-26302,E055,Y,COC-WO-70025.pdf
COC-00023,WO-70026,A-20070,A,50,2025-09-21,Stock,E055,Y,COC-WO-70026.pdf
COC-00024,WO-70028,A-20030,A,25,2025-06-05,SO-26164,E055,Y,COC-WO-70028.pdf
COC-00025,WO-70029,A-20078,B,100,2025-07-22,SO-26050,E055,Y,COC-WO-70029.pdf
COC-00026,WO-70030,A-20076,B,25,2025-11-10,SO-26110,E055,Y,COC-WO-70030.pdf
COC-00027,WO-70031,A-20030,A,10,2026-03-11,Stock,E055,Y,COC-WO-70031.pdf
COC-00028,WO-70032,A-20107,A,100,2025-10-21,SO-26091,E055,Y,COC-WO-70032.pdf
COC-00029,WO-70037,A-20040,C,25,2026-02-11,Stock,E055,Y,COC-WO-70037.pdf
COC-00030,WO-70038,A-20020,B,50,2025-10-11,SO-26293,E055,Y,COC-WO-70038.pdf
COC-00031,WO-70039,A-20114,C,100,2025-12-13,SO-26374,E055,Y,COC-WO-70039.pdf
COC-00032,WO-70040,A-20070,A,20,2025-09-03,SO-26348,E055,Y,COC-WO-70040.pdf
COC-00033,WO-70041,A-20072,A,50,2026-03-12,Stock,E055,Y,COC-WO-70041.pdf
COC-00034,WO-70042,A-20107,A,100,2025-11-14,Stock,E055,Y,COC-WO-70042.pdf
COC-00035,WO-70044,A-20043,C,5,2025-10-28,SO-26092,E055,N,COC-WO-70044.pdf
COC-00036,WO-70045,A-20003,C,50,2026-02-21,SO-26316,E055,N,COC-WO-70045.pdf
COC-00037,WO-70047,A-20058,C,20,2025-09-19,SO-26035,E055,Y,COC-WO-70047.pdf
COC-00038,WO-70048,A-20087,A,25,2026-01-09,SO-26285,E055,Y,COC-WO-70048.pdf
COC-00039,WO-70050,A-20010,A,5,2025-12-12,SO-26419,E055,Y,COC-WO-70050.pdf
COC-00040,WO-70051,A-20077,A,10,2025-12-09,SO-26251,E055,Y,COC-WO-70051.pdf
COC-00041,WO-70052,A-20033,C,10,2025-07-02,Stock,E055,Y,COC-WO-70052.pdf
COC-00042,WO-70053,A-20022,B,25,2025-09-04,Stock,E055,Y,COC-WO-70053.pdf
COC-00043,WO-70054,A-20093,C,100,2026-03-21,Stock,E055,Y,COC-WO-70054.pdf
COC-00044,WO-70055,A-20043,C,10,2026-01-21,Stock,E055,Y,COC-WO-70055.pdf
COC-00045,WO-70056,A-20070,A,50,2025-11-05,SO-26401,E055,N,COC-WO-70056.pdf
COC-00046,WO-70057,A-20025,C,50,2026-02-14,SO-26111,E055,N,COC-WO-70057.pdf
COC-00047,WO-70058,A-20031,A,50,2025-09-17,SO-26324,E055,Y,COC-WO-70058.pdf
COC-00048,WO-70059,A-20097,A,25,2025-05-31,SO-26069,E055,N,COC-WO-70059.pdf
COC-00049,WO-70061,A-20070,A,100,2025-04-16,SO-26322,E055,Y,COC-WO-70061.pdf
COC-00050,WO-70063,A-20078,B,100,2025-08-14,Stock,E055,Y,COC-WO-70063.pdf
COC-00051,WO-70064,A-20093,C,25,2025-12-28,SO-26209,E055,Y,COC-WO-70064.pdf
COC-00052,WO-70065,A-20063,A,25,2026-02-12,SO-26058,E055,Y,COC-WO-70065.pdf
COC-00053,WO-70066,A-20082,B,100,2025-12-25,SO-26104,E055,Y,COC-WO-70066.pdf
COC-00054,WO-70067,A-20033,C,5,2025-09-05,SO-26065,E055,Y,COC-WO-70067.pdf
COC-00055,WO-70069,A-20114,C,50,2025-08-08,Stock,E055,Y,COC-WO-70069.pdf
COC-00056,WO-70070,A-20082,B,50,2026-03-21,SO-26117,E055,Y,COC-WO-70070.pdf
COC-00057,WO-70071,A-20107,A,25,2025-12-27,SO-26211,E055,Y,COC-WO-70071.pdf
COC-00058,WO-70072,A-20087,A,50,2025-07-31,SO-26332,E055,Y,COC-WO-70072.pdf
COC-00059,WO-70074,A-20097,A,5,2025-06-13,SO-26015,E055,Y,COC-WO-70074.pdf
COC-00060,WO-70075,A-20061,C,100,2025-09-20,Stock,E055,Y,COC-WO-70075.pdf
