Shipment Id,So Number,Customer Id,Ship To Id,Ship Date,Carrier,Mode,Service,Tracking Number,Cartons,Weight Lb,Freight Cost,Freight Billed To Customer,Shipped By,Packing Slip,Status
SH-50085,SO-26088,KBD-CUST0021,KBD-CUST0021-S1,2025-04-23,LTL - Estes,Company Truck,,,3,92.5,0.0,0.0,E035,PS-SH-50085.pdf,Delivered
SH-50086,SO-26089,KBD-CUST0028,KBD-CUST0028-S1,2025-06-28,UPS Ground,LTL,,1Z4120600264,18,701.8,343.57,398.54,E029,PS-SH-50086.pdf,Delivered
SH-50087,SO-26090,KBD-CUST0019,KBD-CUST0019-S1,2025-06-17,LTL - XPO,Company Truck,,,2,40.2,0.0,0.0,E031,PS-SH-50087.pdf,Delivered
SH-50088,SO-26091,KBD-CUST0006,KBD-CUST0006-S1,2025-08-07,FedEx Ground,LTL,,458692080122,24,943.3,457.17,0.0,E033,PS-SH-50088.pdf,Delivered
SH-50089,SO-26092,KBD-CUST0013,KBD-CUST0013-S1,2025-11-02,Customer Pickup,LTL,,PRO755877323,28,1104.5,533.0,0.0,E033,PS-SH-50089.pdf,Delivered
SH-50090,SO-26093,KBD-CUST0028,KBD-CUST0028-S1,2026-03-27,UPS Ground,LTL,,1Z3637257872,20,788.6,384.4,0.0,E033,PS-SH-50090.pdf,In Transit
SH-50091,SO-26094,KBD-CUST0015,KBD-CUST0015-S1,2025-10-02,Customer Pickup,Pickup,,,1,12.2,0.0,0.0,E037,PS-SH-50091.pdf,Delivered
SH-50092,SO-26095,KBD-CUST0026,KBD-CUST0026-S1,2025-06-08,Company Truck,Company Truck,,,2,75.0,0.0,0.0,E032,PS-SH-50092.pdf,Delivered
SH-50093,SO-26096,KBD-CUST0018,KBD-CUST0018-S1,2025-12-28,FedEx Ground,Parcel,Ground,756150692469,3,100.2,60.57,0.0,E039,PS-SH-50093.pdf,Delivered
SH-50094,SO-26097,KBD-CUST0022,KBD-CUST0022-S1,2026-01-04,UPS Ground,LTL,,1Z3397558010,395,15787.5,7439.88,8481.46,E035,PS-SH-50094.pdf ,Delivered
SH-50095,SO-26098,KBD-CUST0016,KBD-CUST0016-S1,2026-01-12,FedEx Ground,LTL,,756788956462,317,12677.7,5977.03,7710.37,E029,PS-SH-50095.pdf,Delivered
SH-50096,SO-26099,KBD-CUST0012,KBD-CUST0012-S1,2026-01-11,FedEx Ground,LTL,,266251991033,155,6177.5,2919.34,3211.27,E036,PS-SH-50096.pdf,Delivered
SH-50097,SO-26100,KBD-CUST0032,KBD-CUST0032-S1,2025-08-05,UPS Ground,LTL,,1Z6596698131,652,26059.1,12271.64,13989.67,E026,PS-SH-50097.pdf,Delivered
SH-50098,SO-26101,KBD-CUST0007,KBD-CUST0007-S1,2026-01-31,Company Truck,Company Truck,,,1,29.0,0.0,0.0,E039,PS-SH-50098.pdf,Delivered
SH-50099,SO-26102,KBD-CUST0023,KBD-CUST0023-S1,2025-07-28,UPS Ground,LTL,,1Z2304031291,8,298.1,153.67,182.87,E027,PS-SH-50099.pdf,Delivered
SH-50100,SO-26103,KBD-CUST0019,KBD-CUST0019-S1,2025-07-07,LTL - XPO,LTL,,PRO320706366,31,1214.5,584.74,660.76,E038,PS-SH-50100.pdf,Delivered
SH-50101,SO-26104,KBD-CUST0030,KBD-CUST0030-S1,10/15/2025,Customer Pickup,LTL,,PRO426677213,8,301.8,155.41,0.0,E037,PS-SH-50101.pdf,Delivered
SH-50102,SO-26105,KBD-CUST0015,KBD-CUST0015-S1,2025-08-18 ,Customer Pickup,LTL,,PRO308879893,5,190.5,103.05,0.0,E038,PS-SH-50102.pdf,Delivered
SH-50103,SO-26106,KBD-CUST0018,KBD-CUST0018-S1,2025-08-23,FedEx Ground,LTL,,879635657817,123,4889.5,2313.46,2961.23,E031,PS-SH-50103.pdf,Delivered
SH-50104,SO-26108,KBD-CUST0017,KBD-CUST0017-S1,2025-06-21,FedEx Ground,LTL,,270062372227,77,3052.3,1449.24,0.0,E031,PS-SH-50104.pdf,Delivered
SH-50105,SO-26109,KBD-CUST0006,KBD-CUST0006-S1,2025-12-19,FedEx Ground,LTL,,568396895095,16,625.0,307.44,0.0,E035,PS-SH-50105.pdf,Delivered
SH-50106,SO-26111,KBD-CUST0015,KBD-CUST0015-S1,"Jul 26, 2025",Customer Pickup,LTL,,PRO412904642,482,19242.7,9065.21,11875.43,E030,PS-SH-50106.pdf,Delivered
SH-50107,SO-26112,KBD-CUST0023 ,KBD-CUST0023-S1,2025-08-29,UPS Ground ,Parcel,3 Day,1Z2837975709,1,12.8,19.46,21.8,E031,PS-SH-50107.pdf,Delivered
SH-50108,SO-26113,KBD-CUST0007,KBD-CUST0007-S1,2025-08-07,Company Truck,Company Truck,,,1,12.1,0.0,0.0,E026,PS-SH-50108.pdf,Delivered
SH-50109,SO-26114,KBD-CUST0016,KBD-CUST0016-S1,2025-06-18,FedEx Ground,Parcel,Ground,266690316636,3,100.8,60.86,0.0,E028,PS-SH-50109.pdf,Delivered
SH-50110,SO-26115,KBD-CUST0005,KBD-CUST0005-S1,2025-04-23,UPS Ground,LTL,,1Z2030886524,29,1154.4,556.47,639.94,E034,PS-SH-50110.pdf,Delivered
SH-50111,SO-26116,KBD-CUST0020,KBD-CUST0020-S1,2025-10-12,Company Truck,LTL,,PRO561300996,6,239.4,126.05,0.0,E031,PS-SH-50111.pdf,Delivered
SH-50112,SO-26117,KBD-CUST0007 ,KBD-CUST0007-S1,2026-01-18,Company Truck,LTL,,PRO172080654,309,12349.2,5822.5,0.0,E026,PS-SH-50112.pdf,Delivered
SH-50113,SO-26118,KBD-CUST0028,KBD-CUST0028-S1,2025-11-17,UPS Ground,Parcel,Next Day Air,1Z5450643414,1,16.0,20.97,25.37,E039,PS-SH-50113.pdf,Delivered
SH-50114,SO-26119,KBD-CUST0012,KBD-CUST0012-S1,16-Jan-2026,FedEx Ground,Parcel,3 Day,464940098785 ,1,29.0,27.08,0.0,E035,PS-SH-50114.pdf,Delivered
SH-50115,SO-26120,KBD-CUST0018,KBD-CUST0018-S1,2026-03-25,FedEx Ground,LTL,,127030585370,10,399.0,201.13,0.0,E037,PS-SH-50115.pdf,Delivered
SH-50116,SO-26121,KBD-CUST0006,KBD-CUST0006-S1,2025-12-11,FedEx Ground,LTL,,407985348206,5,168.1,92.51,0.0,E039,PS-SH-50116.pdf,Delivered
SH-50117,SO-26122,KBD-CUST0032,KBD-CUST0032-S1,2025-07-28,UPS Ground,LTL,,1Z7916278547,50,1995.8,952.26,1237.94,E029,PS-SH-50117.pdf,Delivered
SH-50118,SO-26123,KBD-CUST0016,KBD-CUST0016-S1,2025-09-11,FedEx Ground,LTL,,725805282862,51,2004.0,956.12,1195.15,E036,PS-SH-50118.pdf,Delivered
SH-50119,SO-26124,KBD-CUST0010,KBD-CUST0010-S1,2026-03-27,LTL - Estes,LTL,,PRO517353737,102,4078.8,1932.11,2009.39,E029,PS-SH-50119.pdf,In Transit
SH-50120,SO-26126,KBD-CUST0025,KBD-CUST0025-S1,2025-12-31,Customer Pickup,LTL,,PRO986222991,274,10937.8,5158.58,6448.23,E030,PS-SH-50120.pdf,Delivered
SH-50121,SO-26127,KBD-CUST0011,KBD-CUST0011-S1,2026-03-07,Company Truck,LTL,,PRO861045168,4,154.2,85.98,108.33,E033,PS-SH-50121.pdf,Delivered
SH-50122,SO-26128,KBD-CUST0014,KBD-CUST0014-S1,2025-10-20,UPS Ground,LTL,,1Z8188588577,14,559.1,276.44,309.61,E033,PS-SH-50122.pdf,Delivered
SH-50123,SO-26129,KBD-CUST0015,KBD-CUST0015-S1,2026-03-21,Customer Pickup,LTL,,PRO137263295,409,16323.9,7692.2,9769.09,E032,PS-SH-50123.pdf,Delivered
SH-50124,SO-26130,KBD-CUST0026,KBD-CUST0026-S1,2026-02-01,Company Truck,LTL,,PRO117459507,401,16025.4,7551.79,8004.9,E027,PS-SH-50124.pdf,Delivered
SH-50125,SO-26131,KBD-CUST0021,KBD-CUST0021-S1,2025-05-17,LTL - Estes,LTL,,PRO527371868,34,1327.7,637.99,746.45,E034,PS-SH-50125.pdf,Delivered
SH-50126,SO-26132,KBD-CUST0030,KBD-CUST0030-S1,2026-01-23,Customer Pickup,LTL,,PRO297604304,54,2125.0,1013.04,0.0,E027,PS-SH-50126.pdf,Delivered
SH-50127,SO-26133,KBD-CUST0032 ,KBD-CUST0032-S1,03-Jan-2026,UPS Ground,LTL,,1Z8530340209,34,1335.6,641.71,0.0,E034,PS-SH-50127.pdf,Delivered
SH-50128,SO-26134,KBD-CUST0008,KBD-CUST0008-S1,2025-05-23,LTL - Estes,Company Truck,,,2,43.3,0.0,0.0,E027,PS-SH-50128.pdf,Delivered
SH-50129,SO-26135,KBD-CUST0023,KBD-CUST0023-S1,2026-03-23,UPS Ground,LTL,,1Z7094712487,105,4163.5,1971.95,2109.99,E036,PS-SH-50129.pdf,Delivered
SH-50130,SO-26136,KBD-CUST0022,KBD-CUST0022-S1,2025-10-02,UPS Ground,LTL,,1Z7822176110,35,1386.3,665.56,0.0,E026,PS-SH-50130.pdf,Delivered
SH-50131,SO-26137,KBD-CUST0032,KBD-CUST0032-S1,2025-12-19,UPS Ground,LTL,,1Z4451916432,14,559.5,276.63,0.0,E026,PS-SH-50131.pdf,Delivered
SH-50132,SO-26138,KBD-CUST0013,KBD-CUST0013-S1,2026-03-17,Customer Pickup,LTL,,PRO526401662,7,263.2,137.25,0.0,E026,PS-SH-50132.pdf,Delivered
SH-50133,SO-26139,KBD-CUST0017,KBD-CUST0017-S1,29-Oct-2025,FedEx Ground,LTL,,370038921542,357,14247.0,6715.23,7319.6,E030,PS-SH-50133.pdf,Delivered
SH-50134,SO-26140,KBD-CUST0019,KBD-CUST0019-S1,2026-01-30,LTL - XPO ,LTL,,PRO509180393,9,335.4,171.21,210.59,E031,PS-SH-50134.pdf,Delivered
SH-50135,SO-26141,KBD-CUST0004,KBD-CUST0004-S1,2026-03-01,Customer Pickup,LTL,,PRO158380338,15,595.2,293.42,387.31,E039,PS-SH-50135.pdf,Delivered
SH-50136,SO-26142,KBD-CUST0021,KBD-CUST0021-S1,2025-05-04,LTL - Estes,LTL,,PRO994772565,5,183.2,99.62,0.0,E027,PS-SH-50136.pdf,Delivered
SH-50137,SO-26144,KBD-CUST0017,KBD-CUST0017-S1,2025-11-03,FedEx Ground,LTL,,796621183871,12,448.0,224.18,295.92,E029,PS-SH-50137.pdf,Delivered
SH-50138,SO-26145,KBD-CUST0031,KBD-CUST0031-S1,2025-08-11,LTL - XPO,LTL,,PRO813770763,442,17651.9,8316.89,9065.41,E027,PS-SH-50138.pdf,Delivered
SH-50139,SO-26147,KBD-CUST0016,KBD-CUST0016-S1,25-Sep-2025,FedEx Ground,LTL,,257911845443,29,1140.8,550.07,0.0,E029,PS-SH-50139.pdf,Delivered
SH-50140,SO-26148,KBD-CUST0031,KBD-CUST0031-S1,2025-06-01,LTL - XPO,LTL,,PRO229274090,34,1336.1,641.94,0.0,E031,PS-SH-50140.pdf,Delivered
SH-50141,SO-26149,KBD-CUST0007,KBD-CUST0007-S1,2025-07-10,Company Truck,LTL,,PRO531101705,5,182.5,99.29,0.0,E027,PS-SH-50141.pdf,Delivered
