Bol Number,Shipment Id,Carrier,Ship Date,Shipper,Consignee,Nmfc Class,Pallets,Weight Lb,Freight Terms,Hazmat,Signed
BOL-SH-50121,SH-50121,Company Truck,2026-03-07,Keystone Bearing & Drive Co.,Hickory Water Authority Inc. - Plant 5,55,1,154.2,Prepaid & Add,N,Y
BOL-SH-50122,SH-50122,UPS Ground,2025-10-20,Keystone Bearing & Drive Co.,Fox River Paper Co. - Plant 11,50,1,559.1,Prepaid & Add,N,Y
BOL-SH-50123,SH-50123,Customer Pickup,2026-03-21,Keystone Bearing & Drive Co.,Hickory Lumber LLC - Plant 4,50,21,16323.9,Prepaid & Add,N,Y
BOL-SH-50124,SH-50124,Company Truck,2026-02-01,Keystone Bearing & Drive Co.,Pioneer Plastics LLC - Plant 4,50,21,16025.4,Prepaid & Add,N,Y
BOL-SH-50125,SH-50125,LTL - Estes,2025-05-17,Keystone Bearing & Drive Co.,Tennessee Valley Lumber LLC - Plant 1,50,2,1327.7,Prepaid & Add,N,Y
BOL-SH-50126,SH-50126,Customer Pickup,2026-01-23,Keystone Bearing & Drive Co.,Fox River Climate Inc. - Plant 6,50,3,2125.0,Prepaid,N,Y
BOL-SH-50127,SH-50127,UPS Ground,2026-01-03,Keystone Bearing & Drive Co. ,Susquehanna Packaging Systems Co. - Plant 10,85,2,1335.6,Prepaid,N,Y
BOL-SH-50129,SH-50129,UPS Ground,03/23/26,Keystone Bearing & Drive Co.,Keystone Plastics Inc. - Plant 4,60,6,4163.5,Prepaid & Add,N,Y
BOL-SH-50130,SH-50130,UPS Ground,2025-10-02,Keystone Bearing & Drive Co.,Keystone Steel LP - Plant 8,60,2,1386.3,Prepaid,N,Y
BOL-SH-50131,SH-50131,UPS Ground,2025-12-19,Keystone Bearing & Drive Co.,Susquehanna Packaging Systems Co. - Plant 10,70,1,559.5,Prepaid,N,Y
BOL-SH-50132,SH-50132,Customer Pickup,2026-03-17,Keystone Bearing & Drive Co.,Riverbend Plastics Inc. - Plant 4,70,1,263.2,Collect,N,Y
BOL-SH-50133,SH-50133,FedEx Ground,2025-10-29,Keystone Bearing & Drive Co.,Hickory Steel Co. - Plant 4,55,18,14247.0,Prepaid & Add ,N,Y
BOL-SH-50134,SH-50134,LTL - XPO,01/30/26,Keystone Bearing & Drive Co.,Tri-County Materials LLC - Plant 12,85,1,335.4,Prepaid & Add,N,Y
BOL-SH-50135,SH-50135,Customer Pickup,2026-03-01,Keystone Bearing & Drive Co.,"Cardinal Foods Group - Plant 12 - Hazleton, PA",55 ,1,595.2,Prepaid & Add,N,Y
BOL-SH-50136,SH-50136,LTL - Estes,2025-05-04,Keystone Bearing & Drive Co.,Tennessee Valley Lumber LLC - Plant 1,70,1,183.2,Collect,N,Y 
BOL-SH-50137,SH-50137,FedEx Ground,2025-11-03,Keystone Bearing & Drive Co.,Hickory Steel Co. - Plant 4,60,1,448.0,Prepaid & Add,N,Y
BOL-SH-50138,SH-50138,LTL - XPO,2025-08-11,Keystone Bearing & Drive Co.,Iron City Materials Co. - Plant 11,50,23,17651.9,Prepaid & Add,N,Y
BOL-SH-50139,SH-50139,FedEx Ground,2025-09-25,Keystone Bearing & Drive Co.,Lehigh Valley Ag Equipment LP - Plant 4,55,2,1140.8,Prepaid,N,Y
BOL-SH-50140,SH-50140,LTL - XPO,06/01/25,Keystone Bearing & Drive Co.,Iron City Materials Co. - Plant 11,55,2,1336.1,Collect,N,Y
BOL-SH-50141 ,SH-50141,Company Truck,2025-07-10,Keystone Bearing & Drive Co.,Cardinal Poultry Co. - Plant 2,50,1,182.5,Prepaid,N,Y
BOL-SH-50142,SH-50142,Customer Pickup,2026-01-24,Keystone Bearing & Drive Co.,Riverbend Plastics Inc. - Plant 4,85,1,183.2,Prepaid & Add,N,Y
BOL-SH-50143,SH-50143,LTL - XPO,2025-06-21,Keystone Bearing & Drive Co.,Iron City Materials Co. - Plant 11,70,1,452.8,Prepaid,N,Y
BOL-SH-50144,SH-50144,FedEx Ground,2025-06-30,Keystone Bearing & Drive Co.,Cardinal Plastics Corp. - Plant 3,85,12,9485.2,Prepaid & Add,N,Y
BOL-SH-50145,SH-50145,FedEx Ground,2025-08-15,Keystone Bearing & Drive Co.,Iron City Plastics Corp. - Plant 4,85,1,328.0,Prepaid,N,Y
BOL-SH-50147,SH-50147,FedEx Ground,08/18/25,Keystone Bearing & Drive Co.,Riverbend Packaging Systems Inc. - Plant 12,70,3,1622.6,Prepaid & Add,N,Y 
BOL-SH-50148,SH-50148,Customer Pickup,2025-10-22,Keystone Bearing & Drive Co.,Fox River Climate Inc. - Plant 6,85,20,15766.1,Prepaid & Add,N,Y
BOL-SH-50149,SH-50149,UPS Ground,2025-12-31,Keystone Bearing & Drive Co.,Keystone Steel LP - Plant 8,85,1,433.8,Prepaid & Add,N,Y
BOL-SH-50150,SH-50150,FedEx Ground,2025-08-07,Keystone Bearing & Drive Co.,Iron City Plastics Corp. - Plant 4,60,1,203.3,Prepaid,N,Y
BOL-SH-50151,SH-50151,Customer Pickup,07/18/25,Keystone Bearing & Drive Co.,Riverbend Plastics Inc. - Plant 4,70,15,11327.5,Prepaid & Add,N,Y
BOL-SH-50153,SH-50153,LTL - XPO,2025-12-17,Keystone Bearing & Drive Co.,Iron City Materials Co. - Plant 11,50,2,1034.5,Prepaid,N,Y
BOL-SH-50155,SH-50155,FedEx Ground,2025-12-31,Keystone Bearing & Drive Co.,Riverbend Packaging Systems Inc. - Plant 12,70,3,2247.1,Prepaid & Add,N,Y
BOL-SH-50156,SH-50156,UPS Ground,2025-06-28,Keystone Bearing & Drive Co.,Cardinal Foods Corp. - Plant 4,85,11,8467.0,Prepaid & Add,N,Y
BOL-SH-50159,SH-50159,UPS Ground,2026-03-25,Keystone Bearing & Drive Co.,Fox River Paper Co. - Plant 11,50,3,1601.5,Collect,N,Y
BOL-SH-50161,SH-50161,Customer Pickup,11/26/2025,Keystone Bearing & Drive Co.,"Cardinal Foods Group - Plant 12 - Hazleton, PA",55,3,1960.8,Prepaid,N,Y
BOL-SH-50162,SH-50162,Company Truck,2025-11-22,Keystone Bearing & Drive Co.,Northstar Plastics LP - Plant 1,85,1,399.0,Prepaid & Add,N,Y
BOL-SH-50163,SH-50163,Company Truck,05/20/2025,Keystone Bearing & Drive Co.,Tennessee Valley Plastics Inc. - Plant 5,60,7,5482.4,Prepaid & Add,N,Y
BOL-SH-50165,SH-50165,Customer Pickup,"Dec 07, 2025",Keystone Bearing & Drive Co.,Fox River Climate Inc. - Plant 6,60,21,16567.0,Prepaid & Add,N,Y
BOL-SH-50166,SH-50166,LTL - Estes ,2026-01-16,Keystone Bearing & Drive Co.,Tennessee Valley Lumber LLC - Plant 1,70,1,247.6,Prepaid,N,Y
BOL-SH-50169,SH-50169,Customer Pickup,2025-12-23,Keystone Bearing & Drive Co.,Hickory Lumber LLC - Plant 4,50,3,2129.2,Collect,N,Y
BOL-SH-50170,SH-50170,LTL - Estes,2025-04-15,Keystone Bearing & Drive Co.,Piedmont Ag Equipment LLC - Plant 2,60,2,1450.0,Prepaid,N,Y
BOL-SH-50171,SH-50171,LTL - Estes,2025-11-21,Keystone Bearing & Drive Co.,Piedmont Ag Equipment LLC - Plant 2,55,1,300.2,Prepaid,N,Y
BOL-SH-50172,SH-50172,UPS Ground,2026-02-03,Keystone Bearing & Drive Co.,Fox River Paper Co. - Plant 11,55,10,7325.1,Collect,N,Y
BOL-SH-50173,SH-50173,UPS Ground,2025-12-13,Keystone Bearing & Drive Co.,Keystone Plastics Inc. - Plant 4,55,1,361.0,Prepaid & Add,N,Y
BOL-SH-50174,SH-50174,Company Truck,2025-11-29,Keystone Bearing & Drive Co.,Tennessee Valley Plastics Inc. - Plant 5,85,3,1760.0,Prepaid & Add,N,Y
BOL-SH-50177,SH-50177,Customer Pickup,2025-10-16,Keystone Bearing & Drive Co.,Great Lakes Climate Inc. - Plant 6,55,5,3434.4,Prepaid,N,Y
BOL-SH-50179,SH-50179,FedEx Ground,2025-05-25,Keystone Bearing & Drive Co.,Hickory Steel Co. - Plant 4,50,1,237.1,Prepaid & Add,N,Y
BOL-SH-50181,SH-50181,Company Truck,2026-03-07,Keystone Bearing & Drive Co.,Northstar Plastics LP - Plant 1,50,2,1286.8,Prepaid & Add,N,Y
BOL-SH-50182,SH-50182,LTL - Estes,2025-05-23,Keystone Bearing & Drive Co.,Tennessee Valley Lumber LLC - Plant 1,55,8,5645.8,Prepaid & Add,N,Y
BOL-SH-50183,SH-50183,Customer Pickup,2025-11-15,Keystone Bearing & Drive Co.,Riverbend Plastics Inc. - Plant 4,85,2,1506.1,Prepaid,N,Y
BOL-SH-50184,SH-50184,UPS Ground,2025-04-23,Keystone Bearing & Drive Co.,Susquehanna Packaging Systems Co. - Plant 10,60,1,468.4,Prepaid & Add,N,Y
BOL-SH-50186,SH-50186,Customer Pickup,2026-02-27,Keystone Bearing & Drive Co.,Great Lakes Climate Inc. - Plant 6,55,2,800.9,Prepaid & Add,N,Y
BOL-SH-50187,SH-50187,FedEx Ground,2026-01-22,Keystone Bearing & Drive Co.,Hickory Steel Co. - Plant 4,70,15,11398.5,Prepaid,N,Y
BOL-SH-50190,SH-50190,UPS Ground,2025-12-24,Keystone Bearing & Drive Co.,Piedmont Poultry Inc. - Plant 9,60,1,761.4,Prepaid & Add,N,Y
BOL-SH-50191,SH-50191,Customer Pickup,2025-10-29,Keystone Bearing & Drive Co.,Great Lakes Climate Inc. - Plant 6,55,3,2343.2,Collect,N,Y
BOL-SH-50192,SH-50192,FedEx Ground,2026-02-21,Keystone Bearing & Drive Co.,Iron City Plastics Corp. - Plant 4,70,1,635.3,Prepaid & Add,N,Y
BOL-SH-50193,SH-50193,FedEx Ground,2025-09-23,Keystone Bearing & Drive Co.,Cardinal Plastics Corp. - Plant 3,70,2,976.2,Prepaid & Add,N,Y
BOL-SH-50195,SH-50195,Company Truck,2025-08-27,Keystone Bearing & Drive Co.,Hickory Water Authority Inc. - Plant 5,70,3,2015.2,Prepaid & Add,N,Y
BOL-SH-50196,SH-50196,FedEx Ground,2026-03-22,Keystone Bearing & Drive Co.,Lehigh Valley Ag Equipment LP - Plant 4,60,1,757.3,Prepaid & Add,N,Y
BOL-SH-50197,SH-50197,FedEx Ground,2025-07-07,Keystone Bearing & Drive Co.,Appalachian Packaging Systems Co. - Plant 8,50,4,2680.6,Collect,N,Y
BOL-SH-50199,SH-50199,LTL - XPO,2025-08-28,Keystone Bearing & Drive Co.,Tri-County Materials LLC - Plant 12,70,14,11105.7,Collect,N ,Y
BOL-SH-50200,SH-50200,FedEx Ground,2025-05-21,Keystone Bearing & Drive Co.,Tri-County Conveyor Inc. - Plant 7,50,2,1208.0,Collect,N,Y
BOL-SH-50201,SH-50201,UPS Ground,2025-11-27,Keystone Bearing & Drive Co.,Susquehanna Packaging Systems Co. - Plant 10,55,4,2915.4,Prepaid,N,Y
BOL-SH-50202,SH-50202,UPS Ground,2025-05-27,Keystone Bearing & Drive Co.,Fox River Paper Co. - Plant 11,70,1,237.3,Collect,N,Y
BOL-SH-50205,SH-50205,FedEx Ground,2025-11-25,Keystone Bearing & Drive Co.,Iron City Plastics Corp. - Plant 4,60,1,220.3,Prepaid & Add,N,Y
BOL-SH-50206 ,SH-50206,FedEx Ground,2025-07-08,Keystone Bearing & Drive Co.,Iron City Plastics Corp. - Plant 4,50,10,7973.8,Collect,N,Y
