Freight Invoice Id,Carrier,Shipment Id,Invoice Date,Quoted Amount,Billed Amount,Accessorials,Audit Status
FI-00032,Company Truck,SH-50040,2025-10-26,1929.71,1910.41,Liftgate,Disputed
FI-00033,UPS Ground,SH-50041,2026-03-28,161.33,175.85,,Approved
FI-00034,Customer Pickup,SH-50043,2026-04-08 ,7215.26,7576.02,,Disputed
FI-00035,Customer Pickup,SH-50044,2025-12-18,350.29,392.32,,Approved
FI-00036,Customer Pickup,SH-50045,10/09/25,247.79,297.35,,Disputed
FI-00037,Customer Pickup,SH-50046,05/19/2025,538.5,640.81,Redelivery,Approved
FI-00038,Customer Pickup,SH-50047,2025-06-25,1110.37,1088.16,Reweigh,Approved
FI-00039,UPS Ground,SH-50049,2025-05-14,1806.56,1770.43,Redelivery,Disputed
FI-00040,LTL - XPO,SH-50050,2025-05-11,1869.87,1888.57,Redelivery,Disputed
FI-00041,UPS Ground,SH-50051,2025-12-10,289.47,332.89,,Disputed
FI-00042,LTL - XPO,SH-50052,2025-11-28,112.22,111.1,Reweigh,Disputed
FI-00043,Company Truck,SH-50053,2025-09-07,4153.62,4319.76,,Pending
FI-00044,Company Truck,SH-50054 ,2025-07-09,268.77,274.15,,Approved
FI-00045,FedEx Ground,SH-50055,2025-12-27,1690.51,1808.85,,Approved
FI-00046,Company Truck,SH-50057,2025-11-01,91.53,105.26,Liftgate,Disputed
FI-00047,LTL - XPO,SH-50058,2025-05-24,336.04,342.76,,Approved
FI-00048,FedEx Ground,SH-50061,2026-01-19,87.39,89.14,Liftgate,Approved
FI-00049,FedEx Ground,SH-50062,2026-03-10,94.02,112.82,,Approved 
FI-00050,Customer Pickup,SH-50063,2025-10-31,1357.75,1425.64,Redelivery,Approved
FI-00051,UPS Ground,SH-50064,2026-03-31,742.65,846.62,Redelivery,Pending
FI-00052,Customer Pickup,SH-50065,2026-01-04,4116.5,4116.5,,Approved
FI-00053,FedEx Ground,SH-50066,2025-06-30,405.61,434.0,Liftgate,Approved
FI-00054,LTL - XPO,SH-50067,27-Sep-2025,546.97,557.91,,Disputed
FI-00055,LTL - Estes,SH-50069,2025-08-13,315.06,318.21,Liftgate,Pending
FI-00056,LTL - XPO,SH-50070,2025-08-29,202.49,218.69,Redelivery,Approved
FI-00057,FedEx Ground ,SH-50071,2025-09-17,887.49,922.99,Redelivery,Approved
FI-00058,Company Truck,SH-50072,2025-08-04 ,423.35,427.58,Liftgate,Approved
FI-00059,Company Truck,SH-50074,2025-11-09,1515.99,1819.19,,Disputed
FI-00060,LTL - Estes,SH-50075,2025-10-21,8501.62,8501.62,,Disputed
FI-00061,Customer Pickup,SH-50076,01/08/2026,92.33,97.87,Reweigh,Disputed
FI-00062,Customer Pickup,SH-50077,2026-01-29,179.91,181.71,Liftgate,Approved
FI-00063,FedEx Ground,SH-50078,2025-09-25,2037.38,2342.99,,Approved
FI-00064,Company Truck,SH-50079,2026-01-10,532.06,563.98,,Disputed
FI-00065,Customer Pickup,SH-50080,2025-12-16,924.13,1118.2,,Approved
FI-00066,Customer Pickup,SH-50081,2025-05-02,688.61,764.36,Liftgate,Pending
FI-00067,FedEx Ground,SH-50082,2025-07-30,215.1,215.1,,Approved
FI-00068,UPS Ground,SH-50083,2025-12-24,1764.46,1764.46,Redelivery,Disputed
FI-00069,Company Truck,SH-50084,2026-01-09,271.36,298.5,Residential,Pending
FI-00070,UPS Ground,SH-50086,2025-07-15,343.57,343.57,,Pending
FI-00071,FedEx Ground,SH-50088,2025-08-12,457.17,525.75,,Pending
FI-00072,Customer Pickup,SH-50089,2025-11-09,533.0,586.3,Redelivery,Approved
FI-00073,UPS Ground,SH-50090,2026-04-16,384.4,430.53,,Pending
FI-00074,UPS Ground,SH-50094,2026-01-24,7439.88,8481.46,Liftgate,Disputed
FI-00075,FedEx Ground,SH-50095,2026-01-28,5977.03,5917.26,,Disputed
FI-00076,FedEx Ground,SH-50096,01/31/2026,2919.34,3036.11,,Disputed
FI-00077,UPS Ground,SH-50097,08/13/2025,12271.64,13866.95,,Pending
FI-00078,UPS Ground,SH-50099,13-Aug-2025,153.67,165.96,,Approved
FI-00079,LTL - XPO,SH-50100,2025-07-21,584.74,613.98,Residential,Approved
FI-00080,Customer Pickup,SH-50101,2025-11-02,155.41,156.96,Reweigh,Approved
FI-00081,Customer Pickup,SH-50102,2025-08-30,103.05,123.66,Reweigh,Approved
FI-00082,FedEx Ground,SH-50103,2025-09-07,2313.46,2591.08,,Approved
FI-00083,FedEx Ground,SH-50104,2025-07-01,1449.24,1681.12,Liftgate,Approved
FI-00084,FedEx Ground,SH-50105,2025-12-31,307.44,362.78,,Pending
FI-00085,Customer Pickup,SH-50106,2025-08-13,9065.21,10696.95,Liftgate,Approved
FI-00086,UPS Ground,SH-50110,2025-05-08,556.47,667.76,Redelivery,Approved
FI-00087 ,Company Truck,SH-50111,2025-10-23,126.05,146.22,,Pending
FI-00088,Company Truck,SH-50112,2026-01-24,5822.5,6637.65,,Pending
FI-00089,FedEx Ground,SH-50115,04/10/2026,201.13,201.13,Liftgate,Disputed
FI-00090,FedEx Ground,SH-50116,2025-12-25,92.51,96.21,,Disputed
FI-00091,UPS Ground,SH-50117,2025-08-17,952.26,1057.01,Redelivery,Disputed
FI-00092,FedEx Ground,SH-50118,2025-09-23,956.12,1137.78,Liftgate,Approved
FI-00093,LTL - Estes,SH-50119,2026-04-15,1932.11,2067.36,Reweigh,Disputed
FI-00094,Customer Pickup,SH-50120,2026-01-05,5158.58,5468.09,Redelivery,Disputed
FI-00095,Company Truck,SH-50121,2026-03-14,85.98,85.12,Liftgate,Approved
FI-00096,UPS Ground,SH-50122,2025-11-04,276.44,276.44,Reweigh,Approved
FI-00097,Customer Pickup,SH-50123,2026-03-29,7692.2,8384.5,,Pending
FI-00098,Company Truck,SH-50124,2026-02-19,7551.79,8458.0,Reweigh,Pending
FI-00099,LTL - Estes,SH-50125,2025-06-02,637.99,676.27,,Pending
FI-00100,Customer Pickup,SH-50126,02/06/26,1013.04,1094.08,,Pending
FI-00101,UPS Ground,SH-50127,01/21/26,641.71,770.05,,Approved
FI-00102,UPS Ground,SH-50129,2026-04-10,1971.95,2386.06,Residential,Disputed
FI-00103,UPS Ground,SH-50130,2025-10-20,665.56,765.39,,Pending
FI-00104,UPS Ground,SH-50131,12/26/2025,276.63,320.89,Residential,Disputed
FI-00105,Customer Pickup,SH-50132 ,2026-04-01,137.25,137.25,Liftgate,Approved
FI-00106,FedEx Ground,SH-50133,2025-11-05,6715.23,7319.6,Residential,Disputed
FI-00107,LTL - XPO,SH-50134,2026-02-15,171.21,176.35,,Disputed
FI-00108,Customer Pickup,SH-50135,2026-03-18,293.42,343.3,Liftgate,Pending
FI-00109,LTL - Estes,SH-50136,2025-05-21,99.62,102.61,Residential,Disputed
FI-00110,FedEx Ground,SH-50137,2025-11-13,224.18,226.42,,Pending
FI-00111,LTL - XPO,SH-50138,2025-08-29,8316.89,9813.93,Redelivery,Approved
FI-00112,FedEx Ground,SH-50139,2025-10-08,550.07,605.08,,Disputed
FI-00113,LTL - XPO,SH-50140,06/12/2025,641.94,763.91,,Disputed
FI-00114,Company Truck ,SH-50141,"Jul 15, 2025 ",99.29,114.18,,Approved
FI-00115,Customer Pickup,SH-50142,2026-02-11,99.62,115.56,Liftgate,Approved
FI-00116,LTL - XPO,SH-50143,2025-06-27,226.44,267.2,Liftgate,Approved
FI-00117,FedEx Ground,SH-50144,07/12/2025,4475.28,4654.29,Reweigh,Approved
FI-00118,FedEx Ground,SH-50145 ,2025-08-23,167.73,201.28,Liftgate,Approved
FI-00119,FedEx Ground,SH-50147,2025-08-25,776.71,761.18,Liftgate,Disputed
FI-00120,Customer Pickup,SH-50148,2025-10-27,7429.81,7801.3,,Disputed
FI-00121,UPS Ground,SH-50149,2026-01-12,217.5,245.78,,Approved
FI-00122,FedEx Ground,SH-50150,2025-08-23,109.07,125.43,Redelivery,Pending
FI-00123,Customer Pickup,SH-50151,2025-08-02,5341.9,5395.32,,Approved
FI-00124,LTL - XPO,SH-50153,2025-12-25,500.07,535.07,,Disputed
FI-00125,FedEx Ground,SH-50155,"Jan 19, 2026",1070.48,1252.46,Reweigh,Approved
FI-00126,UPS Ground,SH-50156,07/04/2025,3996.32,4675.69,,Approved
FI-00127,UPS Ground,SH-50159,2026-04-11,766.79,897.14,Redelivery,Pending
FI-00128,Customer Pickup,SH-50161,2025-12-08,935.8,1029.38,,Approved
FI-00129,Company Truck,SH-50162,2025-12-02,201.13,217.22,Reweigh,Approved
FI-00130,Company Truck,SH-50163,03-Jun-2025,2592.36,3084.91,Reweigh,Approved
FI-00131,Customer Pickup,SH-50165,2025-12-15,7806.56,8353.02,Redelivery,Approved
FI-00132,LTL - Estes,SH-50166,2026-01-22,129.91,154.59,,Pending
FI-00133,Customer Pickup,SH-50169,2025-12-31,1015.02,1177.42,Residential,Pending
FI-00134,LTL - Estes,SH-50170,2025-04-25,695.52,806.8,Redelivery,Approved
FI-00135,LTL - Estes,SH-50171,2025-11-30,154.65,180.94,Residential ,Approved
FI-00136,UPS Ground,SH-50172,2026-02-12,3459.17,3943.45,Redelivery,Approved
FI-00137,UPS Ground ,SH-50173,2025-12-31,183.25,205.24,Reweigh,Pending
FI-00138,Company Truck,SH-50174,2025-12-15,841.34,883.41,Reweigh,Pending
FI-00139,Customer Pickup,SH-50177,2025-11-01,1628.98,1759.3,,Approved
FI-00140,FedEx Ground,SH-50179,2025-06-02,124.97,138.72,Liftgate,Disputed
FI-00141,Company Truck ,SH-50181,2026-03-17,618.75,649.69,Redelivery,Disputed
FI-00142,LTL - Estes,SH-50182,2025-06-02,2669.22,2722.6,Reweigh,Approved
FI-00143,Customer Pickup,SH-50183,2025-11-20,721.91,743.57,Liftgate,Approved
FI-00144,UPS Ground,SH-50184,2025-04-28,233.78,245.47,Residential,Disputed
FI-00145,Customer Pickup,SH-50186,2026-03-07,390.18,464.31,,Approved
FI-00146,FedEx Ground,SH-50187,2026-01-27,5375.29,6074.08,Redelivery,Disputed
FI-00147,UPS Ground,SH-50190,2025-12-30,371.6,412.48,Redelivery,Pending
FI-00148,Customer Pickup,SH-50191,2025-11-06 ,1115.68,1338.82,Redelivery,Disputed
FI-00149,FedEx Ground,SH-50192,2026-03-02,312.29,352.89,,Pending
FI-00150,FedEx Ground,SH-50193,2025-10-07,472.64,538.81,Reweigh,Approved
FI-00151,Company Truck,SH-50195,2025-09-13,961.39,1047.92,,Approved
FI-00152,FedEx Ground,SH-50196,2026-04-10,369.67,425.12,Redelivery,Approved
FI-00153,FedEx Ground,SH-50197,2025-07-18,1274.39,1491.04,Residential,Approved
FI-00154,LTL - XPO,SH-50199,2025-09-17,5237.56,5708.94,,Disputed
FI-00155,FedEx Ground,SH-50200,2025-05-26,581.68,709.65,,Disputed
FI-00156,UPS Ground ,SH-50201,2025-12-09,1384.84,1467.93,,Disputed
FI-00157,UPS Ground,SH-50202,2025-06-12,125.07,131.32,,Pending
FI-00158 ,FedEx Ground,SH-50205,2025-12-07,117.07,127.61,,Approved
FI-00159,FedEx Ground,SH-50206,2025-07-14,3764.32,3990.18,,Disputed
FI-00160,FedEx Ground,SH-50207,2026-01-18,2260.07,2712.08,Redelivery,Approved
FI-00161,LTL - Estes,SH-50208,2026-03-18,3234.27,3913.47,Redelivery,Disputed
FI-00162,UPS Ground,SH-50209,2025-11-11,2487.74,2637.0,Residential,Pending
FI-00163,FedEx Ground,SH-50210,2026-03-30,472.93,501.31,Reweigh,Approved
FI-00164,Company Truck,SH-50211,2026-03-25,2746.09,3212.93,Residential,Approved
FI-00165,Customer Pickup,SH-50215,2025-08-09,122.34,145.58,Liftgate,Approved
FI-00166,Customer Pickup,SH-50216,2026-03-22,6505.34,7871.46,,Approved
FI-00167,Customer Pickup,SH-50218,2025-05-21,758.88,781.65,Residential,Pending
FI-00168,UPS Ground,SH-50219,2026-03-25,462.72,471.97,Residential,Pending
FI-00169,Company Truck,SH-50220,2025-12-31,5423.04,6290.73,,Pending
FI-00170,FedEx Ground,SH-50221,2025-08-25,270.61,270.61,,Approved
FI-00171,Company Truck,SH-50222,2025-05-20,2300.29,2622.33,,Approved
FI-00172,FedEx Ground,SH-50224,2026-01-22,91.34,98.65,Redelivery,Disputed
FI-00173,LTL - XPO,SH-50225,2025-06-20,433.98,473.04,,Approved
FI-00174 ,LTL - Estes,SH-50226,2026-02-13,175.21,206.75,Residential,Approved
FI-00175 ,Company Truck,SH-50227,2025-09-12,426.55,439.35,Residential,Disputed
FI-00176,LTL - Estes,SH-50228,2026-01-14,393.1,475.65,Residential,Approved
FI-00177,LTL - Estes,SH-50229,2026-01-22,107.85,121.87,Liftgate,Disputed
FI-00178,FedEx Ground,SH-50230,2026-01-12,185.51,224.47,Liftgate,Pending
FI-00179,UPS Ground,SH-50231 ,2025-11-27,188.29,199.59,Liftgate,Approved
FI-00180,UPS Ground,SH-50232,"Sep 21, 2025",301.56,355.84,Residential,Approved
FI-00181,FedEx Ground,SH-50233,2025-08-20,106.63,118.36,Residential,Disputed 
FI-00182,UPS Ground,SH-50234,2025-06-08,403.78,492.61,,Approved
FI-00183,Customer Pickup,SH-50237,2026-03-22,1121.14,1132.35,Residential ,Approved
FI-00184,Company Truck,SH-50238,2025-09-26,535.49,610.46,Residential,Pending
FI-00185,Customer Pickup,SH-50239,2025-05-25,3753.78,4316.85,,Approved
FI-00186,UPS Ground,SH-50240,2025-06-23,293.7,317.2,,Disputed
FI-00187,LTL - Estes,SH-50244,2025-10-19,7074.9,8631.38,,Pending
FI-00188,Customer Pickup,SH-50245,2025-09-14,1057.21,1236.94,,Approved
FI-00189 ,Customer Pickup,SH-50247,2026-02-05,373.34,425.61,Redelivery,Disputed
FI-00190,UPS Ground,SH-50249,2026-01-28,2303.11,2418.27,,Disputed
FI-00191,Company Truck,SH-50250,2025-12-15,297.61,360.11,Reweigh,Pending
FI-00192,Company Truck,SH-50251,2025-12-25,721.53,721.53,Redelivery,Pending
FI-00193,FedEx Ground,SH-50252,2025-11-05,646.97,705.2,Reweigh,Pending
FI-00194,UPS Ground,SH-50253,07-Nov-2025,1707.54,1758.77,Residential,Pending
FI-00195,FedEx Ground,SH-50255,2026-03-16,452.09,456.61,,Approved
FI-00196,Customer Pickup,SH-50257,2025-08-24,466.86,513.55,Residential,Disputed
FI-00197,UPS Ground,SH-50258,2026-04-05,661.42,720.95,Residential,Approved
FI-00198,FedEx Ground,SH-50260,2025-11-08,2202.16,2642.59,Redelivery,Approved
FI-00199,FedEx Ground,SH-50261,2025-11-12,8395.4,8647.26,Redelivery,Approved 
FI-00200,Customer Pickup,SH-50262,2025-06-30,6811.66,7969.64,,Pending
FI-00201,Customer Pickup,SH-50263,"Sep 04, 2025",7864.42,8179.0,Reweigh,Disputed
FI-00202,Company Truck,SH-50264,2026-01-20,928.42,1011.98,,Approved
FI-00203,Customer Pickup,SH-50265,2026-02-05,424.33,437.06,Redelivery,Pending
FI-00204,Customer Pickup,SH-50266,2026-01-05,4268.77,4652.96,Residential,Approved
FI-00205,FedEx Ground,SH-50267 ,2025-08-12,405.52,401.46,Redelivery,Pending
FI-00206,LTL - Estes,SH-50269,2025-10-13,267.69,273.04,Residential,Pending
FI-00207,Company Truck,SH-50271,23-Mar-2026,158.98,158.98,Redelivery,Approved
FI-00208,UPS Ground,SH-50272,2025-10-19,534.08,587.49,Liftgate,Approved
FI-00209,FedEx Ground,SH-50273,2026-03-20,175.16,204.94,Liftgate,Approved
FI-00210,FedEx Ground,SH-50275,04/02/2026,170.69,191.17,Redelivery,Disputed
FI-00211,Company Truck,SH-50277,18-Jan-2026,790.78,925.21,,Disputed
FI-00212,UPS Ground,SH-50278,2026-01-29,599.98,707.98,Liftgate,Approved
FI-00213,LTL - Estes,SH-50279,2026-03-01,133.91,137.93,Redelivery,Approved
FI-00214,Company Truck,SH-50280,2026-01-10,847.55,847.55,Redelivery,Disputed
FI-00215,LTL - XPO,SH-50281,2025-09-29,998.6,1048.53,,Approved
FI-00216,FedEx Ground,SH-50282,28-Sep-2025,438.31,473.37,,Approved
FI-00217,Customer Pickup,SH-50283,2025-07-06,3205.57,3301.74,Reweigh,Disputed
FI-00218,UPS Ground,SH-50285,2025-05-25 ,175.02,204.77,Redelivery,Pending
FI-00219,FedEx Ground,SH-50286,07/12/2025,6017.81,6980.66,Redelivery,Disputed
FI-00220,Company Truck,SH-50287,2025-12-11,367.89,426.75,Residential,Approved
FI-00221,UPS Ground,SH-50288,2025-09-23,1217.29,1205.12,Redelivery,Approved
FI-00222,Customer Pickup,SH-50289,2026-02-27,1639.85,1836.63,Residential,Approved
FI-00223,UPS Ground,SH-50290,2025-07-27,506.28,582.22,,Disputed
FI-00224,Customer Pickup,SH-50291,2025-07-31,543.06,613.66,,Approved
FI-00225,LTL - XPO,SH-50293,2026-04-03,7691.12,7537.3,Redelivery,Pending
FI-00226,UPS Ground,SH-50294,2025-10-22,7900.21,9322.25,Redelivery,Approved
FI-00227,UPS Ground,SH-50295,2026-04-01,3617.88,4196.74,,Pending
FI-00228,UPS Ground,SH-50296,31-May-2025,400.16,472.19,Reweigh,Disputed
FI-00229,Company Truck,SH-50297,2025-07-14,216.84,216.84,Liftgate,Pending
FI-00230,UPS Ground,SH-50298,2025-08-29,219.38,236.93,,Pending
FI-00231 ,Customer Pickup,SH-50299,2026-02-21,347.19,392.32,Reweigh,Approved
FI-00232,LTL - XPO,SH-50300,08/05/25,3173.87,3872.12,,Approved
FI-00233,FedEx Ground,SH-50302,2026-02-14,418.83,510.97,,Approved
FI-00234,FedEx Ground,SH-50303,2025-11-22,94.87,95.82,,Pending
FI-00235,FedEx Ground,SH-50304,2025-11-11,371.41,427.12,Liftgate,Approved
FI-00236,FedEx Ground,SH-50306,2025-06-24,1002.93,1093.19,,Approved
FI-00237,Company Truck,SH-50307,2025-10-31,4301.61,4602.72,Liftgate,Pending
FI-00238,FedEx Ground,SH-50308,10/23/25,106.01,106.01,Residential,Disputed
FI-00239,FedEx Ground,SH-50309,2025-08-27,1230.93,1255.55,Residential,Approved
FI-00240,UPS Ground,SH-50310,2025-08-03,1285.87,1478.75,,Approved
FI-00241,UPS Ground,SH-50311,2026-02-08,1607.67,1655.9,,Approved
FI-00242,LTL - Estes,SH-50313,03/13/2026,5506.68,6608.02,Liftgate,Disputed
FI-00243,FedEx Ground,SH-50314,2025-08-10,202.96,202.96,Residential,Disputed
FI-00244,Customer Pickup ,SH-50317,"Jun 30, 2025",111.75,116.22,Redelivery,Disputed
FI-00245,LTL - Estes,SH-50318,2026-01-24,2218.82,2551.64,Liftgate,Pending
FI-00246,LTL - Estes,SH-50319,2025-07-19,520.15,582.57,Reweigh,Disputed
FI-00247,LTL - Estes ,SH-50320,2025-07-02,443.86,497.12,Liftgate,Approved
FI-00248,FedEx Ground,SH-50322,"Jan 19, 2026",204.42,239.17,Reweigh,Approved
FI-00249,LTL - XPO,SH-50324,2026-03-15,92.04,102.16,Redelivery,Approved
FI-00250,UPS Ground,SH-50325,2025-06-03,547.67,657.2,Residential,Pending
FI-00251,LTL - XPO,SH-50326,07/01/2025,776.19,830.52,Residential,Approved
FI-00252,FedEx Ground,SH-50327,2025-07-20,359.8,363.4,Redelivery,Approved
FI-00253,Customer Pickup,SH-50328,2025-06-21,384.4,453.59,Redelivery,Approved
FI-00254,FedEx Ground,SH-50330,2025-12-28,287.26,318.86,,Approved
FI-00255,Company Truck,SH-50331,03/08/26,2202.87,2224.9,Reweigh,Pending
FI-00256,LTL - Estes,SH-50332,2025-12-23,425.32,510.38,Redelivery,Pending
FI-00257,Customer Pickup,SH-50333,2025-07-28,2047.03,2006.09,Reweigh,Approved
FI-00258,FedEx Ground,SH-50334,01/10/26,7592.52,8731.4,,Disputed
FI-00259,Customer Pickup,SH-50335,2026-03-30,431.58,448.84,Redelivery,Pending
FI-00260,Customer Pickup,SH-50336,2025-05-18,140.78,156.27,,Approved
FI-00261,FedEx Ground,SH-50337,2026-01-18,5349.94,5724.44,Residential,Approved
FI-00262,Customer Pickup,SH-50338,2025-11-19,231.19,272.8,Liftgate,Disputed
FI-00263,FedEx Ground,SH-50339,2025-08-17,178.55,176.76,Redelivery,Approved
FI-00264,Customer Pickup,SH-50340,24-Nov-2025,4179.11,5056.72,Redelivery,Pending
FI-00265,Company Truck,SH-50341,2026-03-31,278.51,272.94,,Approved
FI-00266,FedEx Ground,SH-50342,2025-08-20,4986.98,5136.59,Residential,Approved
FI-00267,UPS Ground,SH-50343,2025-06-23,328.04,396.93,Liftgate,Disputed
FI-00268,Customer Pickup,SH-50344,2025-06-14,1209.71,1463.75,,Approved
FI-00269,FedEx Ground,SH-50346,2025-07-27,659.77,666.37,,Approved
FI-00270,Customer Pickup,SH-50347,2026-02-26,404.2,440.58,Redelivery,Disputed
FI-00271,FedEx Ground,SH-50350,2025-11-07,7579.64,8337.6,Redelivery,Disputed
FI-00272,FedEx Ground,SH-50351,2026-01-24,491.55,540.71,Reweigh,Pending
FI-00273,Customer Pickup,SH-50352,2026-02-26,691.57,746.9,Liftgate,Disputed
FI-00274,FedEx Ground,SH-50353,2025-06-25,1642.48,1856.0,Liftgate,Approved
FI-00275,UPS Ground,SH-50355,02/06/2026,2067.63,2357.1,,Approved
FI-00276,LTL - XPO,SH-50356,2025-08-05,1059.05,1154.36,Reweigh,Approved
FI-00277,LTL - Estes,SH-50357,22-Feb-2026,8915.81,10253.18,Redelivery,Approved
FI-00278,UPS Ground,SH-50358,2025-08-16,1572.82,1651.46,,Pending
FI-00279 ,FedEx Ground,SH-50360,2025-07-14,3947.49,4697.51,,Approved
FI-00280,UPS Ground,SH-50361,2025-08-01,329.78,362.76,Reweigh,Approved
FI-00281,Company Truck,SH-50362,2025-12-06,4273.15,4657.73,Liftgate ,Approved
FI-00282,Company Truck,SH-50363,2026-03-12,285.71,311.42,Redelivery,Approved
FI-00283,LTL - Estes,SH-50365,2026-01-10,2033.38,2419.72,,Pending
FI-00284,Customer Pickup,SH-50366,2025-07-03,823.42,872.83,Liftgate,Pending
FI-00285,UPS Ground,SH-50367,2026-01-01,915.1,1098.12,Liftgate,Approved
FI-00286,FedEx Ground,SH-50368,2026-03-26,4208.09,4713.06,Redelivery,Disputed
FI-00287,UPS Ground,SH-50371,2026-03-28,364.36,386.22,,Approved
FI-00288,Customer Pickup,SH-50373,2026-02-01,888.85,977.74,Liftgate,Approved
FI-00289,Customer Pickup,SH-50374,2025-06-15,761.19,867.76,Reweigh,Approved
FI-00290,Customer Pickup,SH-50377,2025-11-19,124.74,150.94,Redelivery,Approved
FI-00291,FedEx Ground,SH-50378,11/12/2025,122.34,137.02,,Approved
FI-00292,LTL - XPO,SH-50379,2025-07-20,3787.04,3938.52,Residential,Approved
FI-00293,FedEx Ground,SH-50380,2025-12-02,1994.81,2393.77,Residential,Pending
FI-00294,FedEx Ground,SH-50381,2025-12-30,805.17,909.84,Redelivery,Approved
FI-00295,UPS Ground,SH-50382,2025-11-01,222.58,220.35,Liftgate,Disputed
FI-00296,FedEx Ground,SH-50383,2026-04-02,156.21,179.64,,Approved
FI-00297,LTL - XPO,SH-50384,2025-05-26,1883.89,1921.57,,Approved
FI-00298,UPS Ground,SH-50385,2025-09-10,2078.4,2161.54,,Approved
FI-00299,Company Truck,SH-50388,02/12/26,633.43,658.77,Redelivery,Approved
FI-00300,FedEx Ground,SH-50389,2025-06-12,961.3,1134.33,Residential,Approved
FI-00301,Customer Pickup,SH-50390,2026-01-16,88.23,96.17,,Approved
FI-00302,FedEx Ground,SH-50391,2026-02-05,118.15,124.06,,Pending
FI-00303,Company Truck,SH-50392,2025-06-03,131.04,155.94,Residential,Pending
FI-00304,Company Truck,SH-50393,2025-10-08,165.0,171.6,Redelivery,Pending
FI-00305,LTL - Estes,SH-50394,2025-09-29,331.15,324.53,Reweigh,Pending
FI-00306,Customer Pickup,SH-50397,2025-06-04,593.16,688.07,Redelivery,Disputed
FI-00307,Customer Pickup,SH-50398,2025-05-14,429.51,446.69,Liftgate,Disputed
FI-00308,UPS Ground,SH-50399,"Oct 10, 2025",249.49,264.46,,Disputed
FI-00309,UPS Ground,SH-50400,2025-08-02,146.94,146.94,,Approved
FI-00310,UPS Ground,SH-50401,2025-09-03,1009.84,1070.43,Redelivery,Approved
FI-00311,LTL - Estes,SH-50402,2025-08-11,98.68,103.61,,Pending
FI-00312,FedEx Ground,SH-50403,2025-08-30,7591.21,8274.42,Reweigh,Approved
FI-00313,FedEx Ground,SH-50404,2026-01-27,395.88,427.55,,Pending
FI-00314,Customer Pickup,SH-50405,2026-02-12,3529.68,4094.43,,Approved
FI-00315,FedEx Ground,SH-50406,2025-05-24,258.33,291.91,Residential,Disputed
FI-00316,Company Truck,SH-50407,2025-09-05,157.43,177.9,Liftgate,Approved
FI-00317,Company Truck,SH-50408,2026-04-03,2115.23,2390.21,Reweigh,Pending
