Pick Id,So Number,So Line,Item Id,Qty To Pick,Qty Picked,Bin Location,Picker Id,Pick Date,Shipment Id
PK-00054,SO-26020,3,ROLL-1053,2,2,D-32-1,E029,2025-11-06,SH-50019
PK-00055,SO-26020,4,MOUN-1008,2,2,F-15-2,E029,2025-11-06,SH-50019
PK-00056,SO-26020,5,SPRO-1076,1,1,D-35-3,E028,2025-11-06,SH-50019
PK-00057,SO-26021,1,SPRO-1070,4,4,A-09-4,E026,2025-08-26,SH-50020
PK-00058,SO-26021,2,GAT-B62,200,200,F-37-2,E036,2025-08-26,SH-50020
PK-00059,SO-26022,1,SHEA-1003,3,3,C-13-4,E034,2025-10-13,SH-50021
PK-00060,SO-26022,2,SPRO-1041,100,100,D-14-2,E030,10/13/25,SH-50021
PK-00061,SO-26022,3,SHEA-1007,3,3,C-30-2,E032,2025-10-14,SH-50021 
PK-00062,SO-26022,4,SHEA-1003,1,1,A-11-2,E026,2025-10-14,SH-50021
PK-00063,SO-26023,2,SHEA-1037,100,100,F-32-4,E029,2025-06-29,SH-50022
PK-00064,SO-26023,3,TIMI-1056,100,100,E-32-5,E030,2025-06-30,SH-50022
PK-00065,SO-26023,4,GEAR-1010 ,1,1,C-32-5,E035,2025-06-30,SH-50022
PK-00066,SO-26024,2,AC-1057,1,1,B-23-5,E033,2025-06-07,SH-50023
PK-00067,SO-26024,3,CONV-1043,2,2,C-27-3,E039,2025-06-06,SH-50023
PK-00068,SO-26024,4,SHEA-1049,3,3,A-09-1,E037,2025-06-06,SH-50023
PK-00069,SO-26025,1,SPRO-1070,12,12,E-34-5,E026,2025-12-09,SH-50024
PK-00070,SO-26025,2,TIMI-1000,200,200,D-03-4,E033,2025-12-08,SH-50024
PK-00071,SO-26025,3,CONV-1052,1,1,B-18-4,E037,2025-12-08,SH-50024
PK-00072,SO-26025,4,AC-1063,3,3,C-10-5,E030,12/08/2025,SH-50024
PK-00073,SO-26026,1,DOD-TXT315,2,2,A-03-2,E030,2025-11-08,SH-50025
PK-00074,SO-26027,1,AC-1057,3,3,F-23-2,E026,2025-12-12,SH-50026
PK-00075,SO-26027,2,MOUN-1034,1,1,E-09-3 ,E032,12/11/25,SH-50026
PK-00076,SO-26027,3,SHEA-1068,3,3,C-40-1,E031,2025-12-12,SH-50026
PK-00077,SO-26027,4,TIMI-1058,1,1,A-38-2,E035 ,2025-12-11,SH-50026
PK-00078,SO-26028,1,TIMI-1030,6,6,D-02-3 ,E034,2026-01-31,SH-50027
PK-00079,SO-26028,2,ROLL-1079,5,5,A-36-4,E038,2026-01-31,SH-50027
PK-00080,SO-26028,3,AC-1085,1,1,A-32-2,E028,2026-01-31,SH-50027
PK-00081,SO-26028,4,MOUN-1008,10,10,F-08-3,E028,2026-01-31,SH-50027
PK-00082,SO-26029,1,SPRO-1015,6,6,D-19-1,E034,2025-09-12,SH-50028
PK-00083,SO-26030,1,SPRO-1087,200,200,B-28-2,E035 ,2025-12-02,SH-50029
PK-00084,SO-26030,2,CONV-1052,2,2,A-04-4,E029,2025-12-03,SH-50029
PK-00085,SO-26030,3,MOUN-1083,200,200,E-11-5,E032,2025-12-03,SH-50029
PK-00086,SO-26031,1,GEAR-1084,1,1,E-01-4,E029,2025-08-30,SH-50030
PK-00087,SO-26032,1,AC-1040,5,5,B-36-4,E037,2025-08-19,SH-50031
PK-00088,SO-26033,1,SPRO-1070,10,10,B-30-3,E039,2026-02-05,SH-50032
PK-00089,SO-26033,2,SHEA-1028,2,2,A-03-1,E029,2026-02-06,SH-50032
PK-00090,SO-26034,1,SKF-6205-2RS1,10,10,B-18-2,E038,2025-12-12,SH-50033
PK-00091,SO-26035,1,TIMI-1058,6,6,D-12-3,E038,2025-10-03,SH-50034
PK-00092,SO-26036,1,TIMI-1058,4,4,E-18-3,E036,2026-01-26,SH-50035
PK-00093,SO-26036,2,GEAR-1010,1,1,E-16-3,E028,2026-01-27,SH-50035
PK-00094,SO-26037,1,TIMI-1000 ,100,100,C-07-2,E034,2026-01-26,SH-50036
PK-00095,SO-26037,2,SHEA-1007,2,2,A-24-1,E033,"Jan 26, 2026",SH-50036
PK-00096,SO-26038,3,TIMI-1000 ,25,25,C-40-2,E028,2026-03-23,SH-50037
PK-00097,SO-26039,1,AC-1054 ,1,1,D-25-3,E037,2026-01-13,SH-50038
PK-00098,SO-26039,2,AC-1040,5,5,B-02-5,E027,2026-01-13,SH-50038
PK-00099,SO-26040,1,SPRO-1027,50,50,B-09-5,E033,2025-12-06,SH-50039
PK-00100,SO-26040,2,ROLL-1021,4,4,D-01-4,E036,2025-12-05,SH-50039
PK-00101,SO-26040,3,CONV-1046,3,3,F-20-2,E034,2025-12-05 ,SH-50039
PK-00102,SO-26040,4,CONV-1059,3,3,C-19-3,E035,2025-12-06,SH-50039
PK-00103,SO-26040,5,AC-1033,1,1,B-09-5,E038,2025-12-06,SH-50039
PK-00104,SO-26041,1,BRI-HHCS-0500-13-200-G8,12,12,C-09-3,E030,2025-10-09,SH-50040
PK-00105,SO-26041,2,AC-1048 ,5,5,C-40-5,E039,2025-10-08,SH-50040
PK-00106,SO-26041,3,SHEA-1064,3,3,F-11-2 ,E037,2025-10-08,SH-50040
PK-00107,SO-26041,4,ROLL-1044 ,1,1,E-01-3,E029,2025-10-08,SH-50040
PK-00108,SO-26041,5,MOUN-1029,50,50,B-31-4,E027,2025-10-09,SH-50040
PK-00109,SO-26042,1,SHEA-1038,2,2,A-36-5,E036,2026-03-10,SH-50041
PK-00110,SO-26042,2,ROLL-1044,2,2,E-22-4,E035,2026-03-11,SH-50041
PK-00111,SO-26042,3,AC-1006,1,1,B-15-4,E027,2026-03-10,SH-50041
PK-00112,SO-26043,1,CONV-1022,1,1,F-25-1,E034,2025-10-07,SH-50042
PK-00113,SO-26043 ,2,SHEA-1082,1,1,B-24-5,E028,2025-10-06,SH-50042
PK-00114,SO-26043,3,SKF-6308-2Z,6,6,F-32-4,E034,2025-10-06,SH-50042
PK-00115,SO-26043,4,DOD-TXT315,1,1,F-21-3,E036,2025-10-06,SH-50042
PK-00116,SO-26044,1,MOUN-1029,200,200,D-34-3,E033,2026-03-19,SH-50043
PK-00117,SO-26045,1,CONV-1046,1,1,E-38-3,E031,2025-12-03,SH-50044
PK-00118,SO-26045,2,CONV-1051,2,2,B-23-5 ,E030,2025-12-02,SH-50044
PK-00119,SO-26045,3,SHEA-1088,5,5,A-24-1,E033,2025-12-03,SH-50044
PK-00120,SO-26045,5,AC-1085,3,3,D-33-2,E038,2025-12-03 ,SH-50044
PK-00121,SO-26046,1,SHEA-1038,5,5,D-06-4,E037,2025-10-03,SH-50045
PK-00122,SO-26046,2,CONV-1022,5,5,A-21-2,E037,2025-10-02,SH-50045
PK-00123,SO-26046,3,SHEA-1007,1,1,E-22-1,E032,2025-10-02,SH-50045 
PK-00124,SO-26046,4,SHEA-1082,2,2,A-20-4,E030,2025-10-03,SH-50045
PK-00125,SO-26047,1,GEAR-1084,5,5,C-02-3,E032,2025-05-08,SH-50046
PK-00126,SO-26047,2,SPRO-1009,12,12,D-35-1,E036,2025-05-09,SH-50046
PK-00127,SO-26048,1,CONV-1051,1,1,D-33-4,E037,2025-06-19,SH-50047
PK-00128,SO-26048,2,SHEA-1019,6,6,F-26-5,E031,2025-06-19,SH-50047
PK-00129,SO-26048,3,TIMI-1032,25,25,E-02-5 ,E030,2025-06-19,SH-50047
PK-00130,SO-26049,1,CONV-1039,2,2,E-40-3,E026,06/10/2025,SH-50048
PK-00131,SO-26049,2,CONV-1043,1,1,A-26-1,E035,2025-06-10,SH-50048
PK-00132,SO-26050,1,CONV-1052,2,2,B-20-4,E030,2025-05-06,SH-50049 
PK-00133,SO-26050,2,CONV-1052,1,1,F-07-4,E030,2025-05-05,SH-50049 
PK-00134,SO-26050,3,TIMI-1030,12,12,B-15-4,E035,"May 05, 2025",SH-50049 
PK-00135,SO-26050,4,SPRO-1015,200,200,A-30-2,E035,2025-05-05,SH-50049
PK-00136,SO-26050,5,SPRO-1002,1,1,A-11-2,E035,2025-05-06,SH-50049
PK-00137,SO-26051,1,MOUN-1081,50,50,D-25-5,E037 ,2025-04-25,SH-50050
PK-00138,SO-26051,2,SPRO-1069,1,1,A-03-1,E033,2025-04-26,SH-50050
PK-00139,SO-26051,3,MOUN-1083,50,50,E-03-4,E026,2025-04-26,SH-50050
PK-00140,SO-26052,1,CONV-1013,1,1,D-17-5,E029,2025-11-29,SH-50051
PK-00141,SO-26052,2,AC-1086,3,3,B-17-2,E027,2025-11-28,SH-50051
PK-00142,SO-26052,3,GEAR-1060,5,5,E-17-1,E037,2025-11-28,SH-50051
PK-00143,SO-26052,4,CONV-1022,1,1,A-10-1,E039,2025-11-28,SH-50051
PK-00144,SO-26053,1,CONV-1089,2,2,A-19-5,E038,2025-11-11,SH-50052
PK-00145,SO-26053,3,CONV-1023,1,1,E-32-4,E033,2025-11-11,SH-50052
PK-00146,SO-26054,1,TIM-LM11949-LM11910,10,10,E-29-4,E033,"Aug 27, 2025",SH-50053
PK-00147,SO-26054,2,CONV-1059,1,1,F-05-2,E033,08/27/2025,SH-50053
PK-00148,SO-26054,3,TIMI-1020 ,6,6,C-16-5,E031,2025-08-26,SH-50053
PK-00149,SO-26054,4,ROLL-1012,100,100,E-09-2 ,E039,2025-08-27,SH-50053
PK-00150,SO-26055,1,SHEA-1038,1,1,C-07-2,E032,2025-06-21,SH-50054
PK-00151,SO-26055,3,TIMI-1071,12,12,A-05-3,E039,2025-06-21,SH-50054
PK-00152,SO-26056,1,SPRO-1002,25,25,B-06-4,E029,2025-12-18,SH-50055
PK-00153,SO-26056,2,ROLL-1044,3,3,D-02-4,E029,2025-12-17,SH-50055
PK-00154,SO-26056,3,TIMI-1030,10,10,B-16-2,E026,18-Dec-2025,SH-50055
PK-00155,SO-26056,4,GAT-B62,25,25,B-32-2,E032,2025-12-17,SH-50055
PK-00156,SO-26056,5,MOUN-1062,3,3,A-09-2,E036,2025-12-17,SH-50055
PK-00157,SO-26057,2,MOUN-1062,2,2,E-30-2,E031,2026-02-14,SH-50056
PK-00158,SO-26058,1,SHEA-1077,2,2,E-33-3,E029,2025-10-13,SH-50057
PK-00159,SO-26059,1,GEAR-1084,3,3,E-21-2,E033,2025-05-05,SH-50058
PK-00160,SO-26059,2,MOUN-1008,10,10,B-19-1,E029,2025-05-05,SH-50058
PK-00161,SO-26059,3,SHEA-1028,1,1,C-38-4,E030,2025-05-05,SH-50058 
PK-00162,SO-26059,4,MOUN-1081,2,2,E-23-5,E030,2025-05-05,SH-50058
PK-00163,SO-26060,1,CONV-1023,2,2,E-12-3,E038,10/29/2025,SH-50059
PK-00164,SO-26061,1,SPRO-1061 ,4,4,C-06-1,E035,2026-03-03,SH-50060
PK-00165,SO-26061,2,SPRO-1087,1,1,A-38-3,E029,2026-03-02,SH-50060
PK-00166,SO-26062,1,AC-1054,3,3,B-27-4,E030,2026-01-01,SH-50061
PK-00167,SO-26062,2,SPRO-1041,6,6,F-39-3,E035,2026-01-02,SH-50061
PK-00168 ,SO-26062,3,AC-1086,1,1,D-03-5,E039,2026-01-01,SH-50061
PK-00169,SO-26063,1,TIMI-1032,2,2,E-27-1,E033,2026-02-21,SH-50062
PK-00170,SO-26063,2,SHEA-1007,1,1,C-22-2,E031,2026-02-22,SH-50062
PK-00171,SO-26064,1,ROLL-1026,3,3,D-10-3,E036 ,2025-10-24,SH-50063
PK-00172,SO-26064,2,SPRO-1047,50,50,D-02-4,E035,10/24/25,SH-50063
PK-00173,SO-26065,1,SPRO-1087,10,10,F-17-1,E039 ,2026-03-11,SH-50064
PK-00174,SO-26065,2,MOUN-1083,2,2,A-39-2,E035,2026-03-11,SH-50064
PK-00175,SO-26065,3,TIMI-1014,10,10,E-04-5,E026,2026-03-12,SH-50064
PK-00176,SO-26065,4,GEAR-1060,1,1,C-35-2,E037,2026-03-11,SH-50064
PK-00177,SO-26065,5,SPRO-1070,6,6,E-17-4,E029,2026-03-11,SH-50064
PK-00178,SO-26066,1,AC-1086,5,5,D-13-3,E027,2025-12-23,SH-50065
PK-00179,SO-26066,2,SHEA-1028,1,1,B-20-5,E036,2025-12-23,SH-50065
PK-00180,SO-26066,3,CONV-1046,5,5,C-35-2,E028,12/23/25,SH-50065
PK-00181,SO-26066,4,MOUN-1031,100,100,A-23-5,E026,"Dec 23, 2025 ",SH-50065
PK-00182,SO-26066,5,GEAR-1016,2,2,F-30-5,E031,2025-12-23,SH-50065
PK-00183,SO-26067,1,SPRO-1050,1,1,C-15-4,E031,2025-06-11,SH-50066
PK-00184,SO-26067,2,ROLL-1044,5,5,A-40-2,E036,2025-06-12,SH-50066
PK-00185,SO-26067,3,AC-1074,1,1,D-10-2,E028,2025-06-12,SH-50066
PK-00186,SO-26067,4,GEAR-1073,2,2,F-30-3,E038,2025-06-11,SH-50066
PK-00187,SO-26067,5,ROLL-1021,4,4,F-36-2,E026,2025-06-12,SH-50066
PK-00188,SO-26068,1,SHEA-1045,50,50,C-14-5,E026,2025-09-10,SH-50067
PK-00189,SO-26068,2,TIMI-1056,10,10,D-33-3,E032,2025-09-10,SH-50067
PK-00190,SO-26068,3,TIM-LM11949-LM11910,4,4,F-15-1,E031,09/09/2025,SH-50067
PK-00191,SO-26068,4,CONV-1043,2,2,B-36-1,E030,2025-09-10,SH-50067
PK-00192,SO-26068,5,AC-1074,1,1,F-28-2,E035,2025-09-09,SH-50067
PK-00193,SO-26069,1,SHEA-1082,1,1,C-19-2,E038,03-Aug-2025,SH-50068
PK-00194,SO-26070,1,GEAR-1016,3,3,C-01-3,E027,2025-07-29,SH-50069
PK-00195,SO-26070,2,SHEA-1019,12,12,A-31-5,E039,2025-07-29,SH-50069
PK-00196,SO-26071,1,SHEA-1088,5,5,E-10-3,E031,2025-08-18,SH-50070
PK-00197,SO-26071,2,SHEA-1007,3,3,A-36-3,E035,2025-08-17,SH-50070
PK-00198,SO-26072,1,AC-1057,3,3,C-14-3,E031,2025-09-12,SH-50071 
PK-00199,SO-26072,2,ROLL-1012,10,10,B-24-2,E026,2025-09-12,SH-50071
PK-00200,SO-26072,3,TIMI-1032,6,6,C-29-4,E037,2025-09-12,SH-50071
PK-00201,SO-26072,4,SPRO-1087,25,25,A-06-3,E039,2025-09-12,SH-50071
PK-00202,SO-26072,5,SPRO-1069,2,2,C-34-3,E032,2025-09-12 ,SH-50071
PK-00203,SO-26073,1,MOUN-1083,12,12,C-07-5,E030,2025-07-22,SH-50072
PK-00204,SO-26073,2,SHEA-1035,1,1,A-07-1,E030,2025-07-21,SH-50072
PK-00205,SO-26074,2,CONV-1039,3,3,D-01-1,E038,2026-01-22,SH-50073
PK-00206,SO-26074,3,SHEA-1003,3,3,B-18-4,E036,2026-01-22,SH-50073
PK-00207,SO-26075,1,ROLL-1012,25,25,C-25-4,E032,2025-10-28,SH-50074
PK-00208,SO-26075,2,GEAR-1066,3,3,A-16-3,E031,2025-10-29,SH-50074
PK-00209,SO-26075,3,TIMI-1058,10,10,A-18-2,E032,2025-10-29,SH-50074
PK-00210,SO-26075,4,CONV-1051,5,5,A-33-3,E037,2025-10-28,SH-50074
PK-00211,SO-26076,1,SPRO-1055,200,200,C-30-3,E030,2025-10-15,SH-50075
PK-00212,SO-26076,3,CONV-1023,3,3,C-32-4,E032,10/15/25,SH-50075 
PK-00213,SO-26076,4,CONV-1046,2,2,A-21-4,E035,10/15/25,SH-50075
PK-00214,SO-26077,1,ROLL-1012,2,2,A-07-2 ,E026,2025-12-27,SH-50076
PK-00215,SO-26078,1,MOUN-1083,2,2,E-09-2,E039,12-Jan-2026,SH-50077
PK-00216,SO-26078,2,CONV-1046,3,3,A-25-1,E026,2026-01-12,SH-50077
PK-00217,SO-26079,1,SPRO-1076,25,25,E-03-3,E026,2025-09-16,SH-50078
PK-00218,SO-26079,2,SPRO-1041,1,1,D-32-2,E027,2025-09-16,SH-50078
PK-00219,SO-26079,3,MOUN-1062,1,1,C-40-5,E038,2025-09-15,SH-50078
PK-00220,SO-26079,4,SPRO-1076,50,50,C-28-2,E032,2025-09-16,SH-50078
PK-00221,SO-26079,5,SPRO-1015,100,100,A-37-2,E037,2025-09-15,SH-50078
PK-00222,SO-26080,1,SPRO-1070,10,10,D-40-5,E037,2025-12-27,SH-50079
PK-00223,SO-26080,2,SKF-6308-2Z,50,50,C-20-1,E028,2025-12-27,SH-50079
PK-00224,SO-26081,1,ROLL-1053,100,100,E-25-1,E026,2025-12-05,SH-50080
PK-00225,SO-26081,2,GEAR-1066,3,3,A-22-2,E029,2025-12-06,SH-50080
PK-00226,SO-26082,1,ROLL-1053,4,4,B-20-3,E036,2025-04-25,SH-50081
PK-00227,SO-26082,2,SPRO-1009,1,1,C-11-4,E033,2025-04-24,SH-50081
PK-00228,SO-26082,4,SHEA-1045,200,200,E-15-3,E032,2025-04-24,SH-50081
PK-00229,SO-26083,1,CONV-1042,3,3,C-12-4,E032,2025-07-09,SH-50082
PK-00230,SO-26083,2,TIMI-1000,2,2,F-40-3,E032,2025-07-10,SH-50082
PK-00231,SO-26083,3,SPRO-1069,1,1,E-15-1,E034,2025-07-10,SH-50082
PK-00232,SO-26083,4,AC-1063,1,1,A-39-3,E030,2025-07-10,SH-50082
PK-00233,SO-26083,5,GAT-B62,10,10,E-04-3,E028,2025-07-09,SH-50082
PK-00234,SO-26084,1,CONV-1089,5,5,D-26-5,E030,2025-12-03,SH-50083
PK-00235,SO-26084,2,SHEA-1068,1,1,F-12-3,E031,2025-12-03,SH-50083
PK-00236,SO-26084,3,SPRO-1015,200,200,E-05-1,E034,2025-12-03,SH-50083
PK-00237,SO-26084,4,TIMI-1014 ,6,6,E-18-5,E031,2025-12-03,SH-50083
PK-00238,SO-26084,5,CONV-1046,3,3,D-19-3,E028,2025-12-04,SH-50083
PK-00239,SO-26087,1,SPRO-1087,12,12,C-07-5,E031,2025-12-22,SH-50084
PK-00240,SO-26087,2,SPRO-1041,50,50,F-33-5,E033,2025-12-21,SH-50084
PK-00241,SO-26087,3,CONV-1042,2,2,A-30-1,E029,2025-12-22,SH-50084
PK-00242,SO-26088,1,MOUN-1034,4,4,D-15-5 ,E029,04/22/25,SH-50085
PK-00243,SO-26088,2,MOUN-1062,1,1,F-19-4,E026,2025-04-22,SH-50085
PK-00244,SO-26089,1,MOUN-1029,4,4,E-24-4,E032,2025-06-28,SH-50086 
PK-00245,SO-26089,2,AC-1086,5,5,E-38-1,E032,2025-06-27 ,SH-50086
PK-00246,SO-26089,3,GEAR-1067,1,1,A-36-3,E027,2025-06-28,SH-50086
PK-00247,SO-26089,4,AC-1054,3,3,A-15-4,E033,2025-06-27,SH-50086
PK-00248,SO-26090,1,CONV-1051,3,3,A-06-1,E032,2025-06-17,SH-50087
PK-00249,SO-26091,1,SPRO-1087,2,2,C-16-1,E035,07-Aug-2025,SH-50088
PK-00250,SO-26091,2,AC-1006,3,3,C-18-2,E026,2025-08-06,SH-50088
PK-00251,SO-26091,3,CONV-1042,2,2,B-27-1,E027,2025-08-07,SH-50088
PK-00252,SO-26091,4,TIMI-1000,10,10,B-20-4,E035,2025-08-07,SH-50088
PK-00253,SO-26092,1,CONV-1046,3,3,B-32-4,E034,2025-11-02,SH-50089
PK-00254 ,SO-26092,2,TIMI-1056,12,12,B-37-1,E028,2025-11-01,SH-50089
PK-00255,SO-26092,3,CONV-1013,1,1,D-26-5,E036,2025-11-01,SH-50089
PK-00256,SO-26093,1,AC-1085,5,5,C-05-2,E038,2026-03-27,SH-50090
PK-00257,SO-26093,4,MOUN-1083,6,6,B-22-4,E032,2026-03-27,SH-50090
PK-00258,SO-26094,1,ROLL-1079,2,2,D-20-2,E038,2025-10-02,SH-50091
PK-00259,SO-26095,1,SKF-6205-2RS1,100,100,C-07-3,E036,2025-06-08,SH-50092
PK-00260,SO-26096,1,CONV-1089,1,1,E-35-4,E035,2025-12-28,SH-50093
PK-00261,SO-26096,2,GEAR-1010 ,5,5,F-21-4,E032,2025-12-27,SH-50093
PK-00262,SO-26097,1,SPRO-1002,1,1,B-23-1,E034,2026-01-04,SH-50094
PK-00263,SO-26097,2,SPRO-1004,50,50,B-14-5,E035,2026-01-03,SH-50094
PK-00264,SO-26097 ,3,MOUN-1029,200,200,E-16-4,E027,2026-01-03,SH-50094
PK-00265,SO-26098,1,SPRO-1002,100,100,B-31-1,E026,2026-01-12,SH-50095
PK-00266,SO-26098,2,AC-1057,3,3,C-27-1,E030,2026-01-11,SH-50095
PK-00267,SO-26098,3,SKF-6308-2Z,1,1,F-01-4,E035,2026-01-11,SH-50095
PK-00268,SO-26098,4,SPRO-1076,100,100,E-04-1,E036,2026-01-11,SH-50095
PK-00269,SO-26099,1,SHEA-1077,25,25,D-30-5,E038,2026-01-11,SH-50096
PK-00270,SO-26099,2,TIMI-1032,50,50,F-11-1,E034,2026-01-10,SH-50096
PK-00271,SO-26100,1,ROLL-1012,10,10,D-34-2,E026,2025-08-05 ,SH-50097
PK-00272,SO-26100,2,ROLL-1012,200,200,D-25-3,E033,2025-08-04,SH-50097
PK-00273,SO-26100,3,SHEA-1035,1,1,C-24-4,E033,08/04/25,SH-50097
PK-00274,SO-26100,4,SHEA-1077,100,100,A-34-2,E033,2025-08-05,SH-50097
PK-00275,SO-26100,5,GEAR-1073,1,1,A-02-4,E036,2025-08-04,SH-50097
PK-00276,SO-26101,1,SPRO-1069,1,1,C-37-4,E030,2026-01-30,SH-50098
PK-00277,SO-26102,2,CONV-1059,3,3,F-15-4,E029,2025-07-27,SH-50099
PK-00278,SO-26102,3,SHEA-1038,3,3,D-12-5,E032,2025-07-27,SH-50099
PK-00279,SO-26102,4,GAT-B62,4,4,D-14-1,E026,2025-07-28,SH-50099
PK-00280,SO-26103,1,SPRO-1078,12,12,F-09-4,E026,2025-07-06,SH-50100 
PK-00281,SO-26103,2,CONV-1042,5,5,F-15-1,E030,2025-07-07,SH-50100
PK-00282,SO-26103,3,CONV-1013,1,1,C-20-1,E036,2025-07-06,SH-50100
PK-00283,SO-26104,1,SHEA-1025,5,5,D-38-2,E032,2025-10-14,SH-50101
PK-00284,SO-26105,1,MOUN-1062,3,3,C-25-2,E026,2025-08-18,SH-50102
PK-00285,SO-26106,1,SPRO-1055,12,12,D-18-2,E038,"Aug 23, 2025",SH-50103
PK-00286,SO-26106,2,MOUN-1029,50,50,E-31-5,E036,2025-08-22,SH-50103
PK-00287,SO-26108,1,SKF-6308-2Z,25,25,E-11-1,E028,2025-06-21,SH-50104
