Event Id,Workflow Type,Object Type,Object Id,Timestamp,Actor,Action,Previous State,New State,Source Document,Confidence,Requires Review
EV000169,marketing,submission,HAR-S00092,2025-03-11T16:00:00,E009,submitted,draft,submitted,HAR-S00092_package.pdf,1.0,N
EV000251,quote,quote,HAR-S00082-Q1,2025-03-12T11:00:00,carrier:LIB,quote_received,,received,HAR-S00082-Q1.pdf,0.92,N
EV000263,quote,quote,HAR-S00103-Q1,2025-03-13T11:00:00,carrier:HIG,quote_received,,received,HAR-S00103-Q1.pdf,0.92,Y
EV000212,quote,quote,HAR-S00016-Q1,2025-03-16T13:00:00,carrier:HIG,quote_received,,received,HAR-S00016-Q1.pdf,0.92,N
EV000099,marketing,submission,HAR-S00054,2025-03-18T09:00:00,E010,submitted,draft,submitted,HAR-S00054_package.pdf,1.0,N
EV000100 ,marketing,submission,HAR-S00054,2025-03-21T10:00:00,carrier:TRV,acknowledged,submitted,acknowledged,,1.0,N
EV000219,quote,quote,HAR-S00025-Q1,2025-03-21T13:00:00,carrier:PRG,quote_received,,received,HAR-S00025-Q1.pdf,0.92,Y
EV000050,marketing,submission,HAR-S00028,2025-03-21T17:00:00,E009,submitted,draft,submitted,HAR-S00028_package.pdf,1.0,N
EV000051,marketing,submission,HAR-S00028,2025-03-23T10:00:00,carrier:NAT,acknowledged,submitted,acknowledged,,1.0,N
EV000235,quote,quote,HAR-S00054-Q1,2025-03-28T11:00:00,carrier:TRV,quote_received,,received,HAR-S00054-Q1.pdf,0.92,N
EV000220,quote,quote,HAR-S00028-Q1,2025-03-30T14:00:00,carrier:NAT,quote_received,,received,HAR-S00028-Q1.pdf,0.92,N
EV000056,marketing,submission,HAR-S00031,2025-03-31T11:00:00,E010,submitted,draft,submitted,HAR-S00031_package.pdf,1.0,N
EV000057,marketing,submission,HAR-S00031,2025-04-02T10:00:00,carrier:CNA,acknowledged,submitted,acknowledged,,1.0,N
EV000398,billing,payment,HAR-PMT00014,2025-04-14T14:00:00,accounting,cash_applied,received,applied,PF711005,1.0,N
EV000097 ,marketing,submission,HAR-S00053,2025-04-16T10:00:00,E010,submitted,draft,submitted,HAR-S00053_package.pdf,1.0,N
EV000222,quote,quote,HAR-S00031-Q1,2025-04-17T14:00:00,carrier:CNA,quote_received,,received,HAR-S00031-Q1.pdf,0.92,N
EV000098,marketing,submission,HAR-S00053,2025-04-18T10:00:00,carrier:LIB,acknowledged,submitted,acknowledged,,1.0,N
EV000389,billing ,payment,HAR-PMT00005,2025-04-23T14:00:00,accounting,cash_applied,received,applied,CHK 23882,1.0,N
EV000189,marketing,submission,HAR-S00102,2025-04-23T17:00:00,E010,submitted,draft,submitted,HAR-S00102_package.pdf,1.0,N
EV000190,marketing,submission,HAR-S00102,2025-04-24T10:00:00,carrier:TRV,acknowledged,submitted,acknowledged,,1.0,N 
EV000146,marketing,submission,HAR-S00079,2025-04-26T16:00:00,E007,submitted,draft,submitted,HAR-S00079_package.pdf,1.0,N
EV000234,quote,quote,HAR-S00053-Q1,2025-04-30T10:00:00,carrier:LIB,quote_received,,received,HAR-S00053-Q1.pdf,0.92,N
EV000404,billing,payment,HAR-PMT00020,2025-05-03T14:00:00,accounting,cash_applied,received,applied,ACH709839515,1.0,N
EV000111,marketing,submission,HAR-S00060,2025-05-03T16:00:00,E007,submitted,draft,submitted,HAR-S00060_package.pdf,1.0,N
EV000112 ,marketing,submission,HAR-S00060,2025-05-05T10:00:00,carrier:LIB,acknowledged,submitted,acknowledged,,1.0,N
EV000262,quote,quote,HAR-S00102-Q1,2025-05-09T14:00:00,carrier:TRV,quote_received,,received,HAR-S00102-Q1.pdf,0.92,N
EV000058,marketing,submission,HAR-S00032,2025-05-10T11:00:00,E010,submitted ,draft,submitted,HAR-S00032_package.pdf,1.0,N
EV000101,marketing,submission,HAR-S00055,2025-05-11T08:00:00,E010,submitted,draft,submitted,HAR-S00055_package.pdf,1.0,N
EV000059,marketing,submission,HAR-S00032,2025-05-11T10:00:00,carrier:MKL,acknowledged,submitted,acknowledged,,1.0,N
EV000102,marketing,submission,HAR-S00055,2025-05-11T10:00:00,carrier:MKL,acknowledged,submitted,acknowledged,,1.0,N
EV000136,marketing,submission,HAR-S00074,2025-05-11T11:00:00,E010,submitted,draft,submitted,HAR-S00074_package.pdf,1.0,N
EV000137,marketing,submission,HAR-S00074,2025-05-13T10:00:00,carrier:CNA,acknowledged,submitted,acknowledged,,1.0,N
EV000093,marketing,submission,HAR-S00051,2025-05-14T09:00:00,E013,submitted,draft,submitted,HAR-S00051_package.pdf,1.0,N
EV000094,marketing,submission ,HAR-S00051,2025-05-15T10:00:00,carrier:MKL,acknowledged,submitted,acknowledged,,1.0,N
EV000148,marketing,submission,HAR-S00081,2025-05-28T12:00:00,E009,submitted,draft,submitted,HAR-S00081_package.pdf,1.0,N
EV000149,marketing,submission,HAR-S00081,2025-05-29T10:00:00,carrier:LIB,acknowledged,submitted,acknowledged,,1.0,N 
EV000135,marketing,submission,HAR-S00073,2025-05-29T13:00:00,E010,submitted,draft,submitted,HAR-S00073_package.pdf,1.0,N
EV000236,quote,quote,HAR-S00055-Q1,2025-05-29T15:00:00 ,carrier:MKL,quote_received,,received,HAR-S00055-Q1.pdf,0.92,N
EV000037,marketing,submission,HAR-S00021,2025-05-29T16:00:00,E011,submitted,draft,submitted,HAR-S00021_package.pdf,1.0,N
EV000147,marketing,submission,HAR-S00080,2025-05-31T14:00:00,E009,submitted,draft,submitted,HAR-S00080_package.pdf,1.0,N
EV000416,billing,payment,HAR-PMT00032,2025-06-01T14:00:00,accounting,cash_applied,received,applied,CHK 14463,1.0,N
EV000012,marketing,submission,HAR-S00007,2025-06-01T16:00:00 ,E007 ,submitted ,draft,submitted,HAR-S00007_package.pdf,1.0,N
EV000040,marketing,submission,HAR-S00023,2025-06-03T12:00:00,E011,submitted,draft,submitted,HAR-S00023_package.pdf,1.0,N
EV000041,marketing,submission,HAR-S00023,2025-06-04T10:00:00,carrier:NAT,acknowledged,submitted,acknowledged,,1.0,N
EV000067,marketing,submission,HAR-S00037,2025-06-04T12:00:00,E006,submitted,draft,submitted,HAR-S00037_package.pdf,1.0,N
EV000091,marketing,submission,HAR-S00050,2025-06-04T16:00:00,E010,submitted,draft,submitted,HAR-S00050_package.pdf,1.0,N
EV000013,marketing,submission,HAR-S00007,2025-06-05T10:00:00,carrier:CNA,acknowledged,submitted,acknowledged,,1.0,N
EV000223,quote,quote,HAR-S00032-Q1,2025-06-05T14:00:00,carrier:MKL,quote_received,,received,HAR-S00032-Q1.pdf,0.92,N
EV000035,marketing,submission,HAR-S00020,2025-06-06T11:00:00,E011,submitted,draft,submitted ,HAR-S00020_package.pdf,1.0,N
EV000092,marketing,submission,HAR-S00050,2025-06-08T10:00:00,carrier:GRD,acknowledged,submitted,acknowledged,,1.0,N
EV000207,quote,quote,HAR-S00007-Q1,2025-06-09T15:00:00,carrier:CNA,quote_received,,received,HAR-S00007-Q1.pdf,0.92,N
EV000036,marketing,submission,HAR-S00020,2025-06-10T10:00:00,carrier:LIB,acknowledged,submitted,acknowledged,,1.0,N
EV000217,quote,quote,HAR-S00023-Q1,2025-06-14T12:00:00,carrier:NAT,quote_received,,received,HAR-S00023-Q1.pdf,0.92,Y
EV000068,marketing ,submission,HAR-S00038,2025-06-18T08:00:00,E006,submitted,draft,submitted,HAR-S00038_package.pdf,1.0,N
EV000233,quote ,quote,HAR-S00050-Q1,2025-06-18T13:00:00,carrier:GRD,quote_received,,received,HAR-S00050-Q1.pdf,0.92,N
EV000069,marketing,submission,HAR-S00038,2025-06-19T10:00:00,carrier:HIG,acknowledged,submitted,acknowledged,,1.0,N
EV000133,marketing,submission,HAR-S00072,2025-06-19T12:00:00,E010,submitted,draft,submitted,HAR-S00072_package.pdf,1.0,N
EV000144,marketing,submission,HAR-S00078,2025-06-21T09:00:00,E007,submitted,draft,submitted,HAR-S00078_package.pdf,1.0,N
EV000134,marketing,submission,HAR-S00072,2025-06-21T10:00:00,carrier:TRV,acknowledged,submitted,acknowledged,,1.0,N
EV000145,marketing,submission,HAR-S00078,2025-06-25T10:00:00,carrier:CNA,acknowledged,submitted,acknowledged,,1.0,N
EV000131,marketing,submission,HAR-S00071,2025-06-30T09:00:00,E010,submitted,draft,submitted,HAR-S00071_package.pdf,1.0,N
EV000402,billing,payment,HAR-PMT00018,2025-06-30T14:00:00,accounting,cash_applied,received,applied,ACH159268629,1.0,N
EV000132,marketing,submission,HAR-S00071,2025-07-01T10:00:00,carrier:HIG,acknowledged,submitted,acknowledged,,1.0,N
EV000215,quote,quote,HAR-S00020-Q1,2025-07-05T11:00:00,carrier:LIB,quote_received,,received,HAR-S00020-Q1.pdf,0.92,N
EV000138,marketing,submission,HAR-S00075,2025-07-05T17:00:00,E007,submitted,draft,submitted,HAR-S00075_package.pdf,1.0,N
EV000139,marketing,submission,HAR-S00075,2025-07-07T10:00:00,carrier:MKL,acknowledged,submitted,acknowledged,,1.0,N
EV000227,quote,quote,HAR-S00038-Q1,2025-07-08T12:00:00,carrier:HIG,quote_received,,received,HAR-S00038-Q1.pdf ,0.92,N
EV000250,quote,quote,HAR-S00078-Q1,2025-07-10T09:00:00,carrier:CNA,quote_received,,received,HAR-S00078-Q1.pdf,0.92,N
EV000246,quote,quote,HAR-S00072-Q1,2025-07-11T13:00:00,carrier:TRV,quote_received,,received,HAR-S00072-Q1.pdf,0.92,N
EV000038,marketing,submission,HAR-S00022,2025-07-13T12:00:00,E011,submitted,draft,submitted,HAR-S00022_package.pdf,1.0,N
EV000127,marketing,submission,HAR-S00069,2025-07-14T13:00:00,E010,submitted,draft,submitted,HAR-S00069_package.pdf,1.0,N
EV000039,marketing,submission,HAR-S00022,2025-07-15T10:00:00,carrier:TRV,acknowledged,submitted,acknowledged,,1.0,N
EV000356,endorsements,endorsement_request,HAR-END0011,2025-07-15T10:00:00,E010,sent_to_carrier,requested,pending_carrier,,1.0,N
EV000143,marketing,submission,HAR-S00077,2025-07-16T10:00:00,carrier:HIG,acknowledged,submitted,acknowledged,,1.0,N
EV000142,marketing,submission,HAR-S00077,2025-07-16T11:00:00,E007,submitted,draft,submitted,HAR-S00077_package.pdf,1.0,N
EV000420,billing,payment,HAR-PMT00036,2025-07-16T14:00:00,accounting,cash_applied,received,applied,CHK 31783,1.0,N
EV000368,endorsements,endorsement_request,HAR-END0019,2025-07-17T10:00:00,E007,sent_to_carrier,requested ,pending_carrier,,1.0,N
EV000400,billing,payment,HAR-PMT00016,2025-07-17T14:00:00,accounting,cash_applied,received,applied,ACH354583914,1.0,N
EV000087,marketing,submission,HAR-S00048,2025-07-18T10:00:00,E010,submitted,draft,submitted,HAR-S00048_package.pdf,1.0,N
EV000128,marketing,submission,HAR-S00069,2025-07-18T10:00:00,carrier:NAT,acknowledged,submitted,acknowledged,,1.0,N
EV000088,marketing,submission,HAR-S00048,2025-07-19T10:00:00,carrier:CNA,acknowledged,submitted,acknowledged,,1.0,N
EV000089,marketing,submission,HAR-S00049,2025-07-19T15:00:00,E010,submitted,draft,submitted,HAR-S00049_package.pdf,1.0,N
EV000006,marketing,submission,HAR-S00004,2025-07-19T16:00:00 ,E012 ,submitted,draft,submitted ,HAR-S00004_package.pdf,1.0,N
EV000090,marketing,submission,HAR-S00049,2025-07-20T10:00:00,carrier:MKL,acknowledged,submitted,acknowledged,,1.0,N
EV000007,marketing,submission,HAR-S00004,2025-07-23T10:00:00,carrier:TRV,acknowledged,submitted ,acknowledged,,1.0,N
EV000359,endorsements,endorsement_request,HAR-END0013,2025-07-25T10:00:00,E010,sent_to_carrier,requested,pending_carrier,,1.0,N
EV000346,endorsements,endorsement_request,HAR-END0005,2025-07-26T10:00:00,E007,sent_to_carrier,requested,pending_carrier,,1.0,N
EV000180,marketing,submission,HAR-S00097,2025-07-27T10:00:00,carrier:HIG,acknowledged,submitted,acknowledged,,1.0,N
EV000216,quote,quote,HAR-S00022-Q1,2025-07-27T10:00:00,carrier:TRV,quote_received,,received,HAR-S00022-Q1.pdf,0.92,N
EV000347,endorsements,endorsement_request,HAR-END0006,2025-07-27T10:00:00,E009,sent_to_carrier,requested,pending_carrier,,1.0,N
EV000179,marketing,submission,HAR-S00097,2025-07-27T16:00:00,E008,submitted,draft,submitted,HAR-S00097_package.pdf,1.0,N
EV000232,quote,quote,HAR-S00049-Q1,2025-07-28T10:00:00,carrier:MKL,quote_received,,received,HAR-S00049-Q1.pdf,0.92,N
EV000365,endorsements,endorsement_request,HAR-END0017,2025-07-28T10:00:00,E009,sent_to_carrier,requested,pending_carrier,,1.0,N
EV000023,marketing,submission,HAR-S00014,2025-07-28T16:00:00,E012 ,submitted,draft,submitted,HAR-S00014_package.pdf,1.0,N
EV000024,marketing,submission,HAR-S00014,2025-07-29T10:00:00,carrier:TRV,acknowledged,submitted,acknowledged,,1.0,N
EV000249,quote,quote,HAR-S00077-Q1,2025-08-01T09:00:00,carrier:HIG ,quote_received,,received,HAR-S00077-Q1.pdf,0.92,Y
EV000025,marketing,submission,HAR-S00015,2025-08-01T10:00:00,E012,submitted,draft,submitted ,HAR-S00015_package.pdf,1.0,N
EV000129,marketing,submission,HAR-S00070,2025-08-02T09:00:00,E010,submitted,draft,submitted,HAR-S00070_package.pdf,1.0,N
EV000403,billing,payment,HAR-PMT00019,2025-08-02T14:00:00,accounting,cash_applied,received,applied,ACH512880193,1.0,N
EV000245,quote,quote,HAR-S00069-Q1,2025-08-03T09:00:00,carrier:NAT ,quote_received,,received,HAR-S00069-Q1.pdf,0.92,Y
EV000130,marketing,submission,HAR-S00070,2025-08-03T10:00:00,carrier:CNA,acknowledged,submitted,acknowledged,,1.0,N
EV000247,quote,quote,HAR-S00075-Q1,2025-08-03T11:00:00,carrier:MKL,quote_received,,received,HAR-S00075-Q1.pdf,0.92,Y
EV000181,marketing,submission,HAR-S00098,2025-08-03T14:00:00,E008,submitted,draft,submitted,HAR-S00098_package.pdf,1.0,N
EV000026,marketing,submission,HAR-S00015,2025-08-05T10:00:00,carrier:HIG,acknowledged,submitted,acknowledged,,1.0,N
EV000258,quote,quote,HAR-S00097-Q1,2025-08-05T12:00:00,carrier:HIG,quote_received,,received,HAR-S00097-Q1.pdf,0.92,Y
EV000210,quote,quote,HAR-S00014-Q1,2025-08-06T12:00:00,carrier:TRV,quote_received,,received,HAR-S00014-Q1.pdf,0.92,N
EV000182,marketing,submission,HAR-S00098,2025-08-07T10:00:00,carrier:GRD,acknowledged,submitted,acknowledged,,1.0,N
EV000187,marketing,submission,HAR-S00101,2025-08-08T17:00:00,E011,submitted,draft,submitted,HAR-S00101_package.pdf,1.0,N
EV000188,marketing,submission,HAR-S00101,2025-08-11T10:00:00,carrier:LIB,acknowledged,submitted,acknowledged,,1.0,N
EV000379,endorsements,endorsement_request,HAR-END0025,2025-08-11T10:00:00,E010,sent_to_carrier,requested,pending_carrier,,1.0,N
EV000085,marketing,submission,HAR-S00047,2025-08-15T08:00:00,E013,submitted,draft,submitted,HAR-S00047_package.pdf,1.0,N
EV000086,marketing,submission,HAR-S00047,2025-08-15T10:00:00,carrier:LIB,acknowledged,submitted,acknowledged,,1.0,N
EV000211,quote,quote,HAR-S00015-Q1,2025-08-15T14:00:00,carrier:HIG,quote_received,,received,HAR-S00015-Q1.pdf,0.92,N
EV000081,marketing,submission,HAR-S00045,2025-08-16T13:00:00,E013,submitted,draft,submitted,HAR-S00045_package.pdf,1.0,N
EV000348,endorsements,endorsement_request,HAR-END0006,2025-08-17T11:00:00,carrier:LIB,endorsement_received,pending_carrier,issued_-_discrepancy,END-948859.pdf,0.9,Y
EV000369,endorsements,endorsement_request,HAR-END0019,2025-08-17T11:00:00,carrier:TRV,endorsement_received,pending_carrier,issued,END-535400.pdf,0.9,N
EV000205,quote,quote,HAR-S00004-Q1,2025-08-17T12:00:00,carrier:TRV,quote_received,,received,HAR-S00004-Q1.pdf,0.92,N
EV000082,marketing,submission,HAR-S00045,2025-08-19T10:00:00,carrier:TRV,acknowledged,submitted,acknowledged,,1.0,N
EV000380,endorsements,endorsement_request,HAR-END0025,2025-08-19T11:00:00,carrier:NAT ,endorsement_received,pending_carrier,issued,END-759322.pdf,0.9,N
EV000394,billing,payment,HAR-PMT00010,2025-08-20T14:00:00,accounting,cash_applied ,received,applied,CHK 60087,1.0,N
EV000387,billing,payment,HAR-PMT00003,2025-08-23T14:00:00,accounting,cash_applied,received,applied,CHK 37613,1.0,N
EV000185,marketing,submission,HAR-S00100,2025-08-24T12:00:00,E011,submitted,draft,submitted,HAR-S00100_package.pdf,1.0,N
EV000186,marketing ,submission,HAR-S00100,2025-08-25T10:00:00,carrier:TRV,acknowledged,submitted,acknowledged,,1.0,N
EV000399,billing,payment,HAR-PMT00015,2025-08-26T14:00:00,accounting,cash_applied,received,applied,CHK 85890,1.0,N
EV000140,marketing,submission,HAR-S00076,2025-08-27T12:00:00,E007,submitted,draft,submitted,HAR-S00076_package.pdf,1.0,N
EV000201,marketing,submission,HAR-S00108,2025-08-27T12:00:00,E009,submitted,draft,submitted,HAR-S00108_package.pdf,1.0,N
EV000141,marketing,submission,HAR-S00076,2025-08-28T10:00:00,carrier:CNA,acknowledged,submitted,acknowledged,,1.0,N
EV000083,marketing,submission,HAR-S00046,2025-08-28T17:00:00,E013,submitted,draft,submitted,HAR-S00046_package.pdf,1.0,N
EV000202,marketing ,submission,HAR-S00108,2025-08-29T10:00:00,carrier:LIB,acknowledged,submitted,acknowledged,,1.0,N
EV000261,quote,quote,HAR-S00101-Q1,2025-08-29T15:00:00,carrier:LIB,quote_received,,received,HAR-S00101-Q1.pdf,0.92,N
EV000084,marketing,submission,HAR-S00046,2025-08-30T10:00:00,carrier:MKL,acknowledged,submitted,acknowledged,,1.0,N
EV000230,quote,quote,HAR-S00045-Q1,2025-09-02T10:00:00,carrier:TRV,quote_received,,received,HAR-S00045-Q1.pdf,0.92,N
EV000260,quote,quote,HAR-S00100-Q1,2025-09-05T10:00:00,carrier:TRV,quote_received,,received,HAR-S00100-Q1.pdf,0.92,N
EV000199,marketing,submission,HAR-S00107,2025-09-07T13:00:00,E009,submitted,draft,submitted,HAR-S00107_package.pdf,1.0,N
EV000066,marketing,submission,HAR-S00036,2025-09-07T16:00:00,E010,submitted,draft,submitted,HAR-S00036_package.pdf,1.0,N
EV000393,billing,payment,HAR-PMT00009,2025-09-08T14:00:00,accounting,cash_applied,received,applied,PF409124,1.0,N
EV000065,marketing,submission,HAR-S00035,2025-09-09T10:00:00,carrier:LIB,acknowledged,submitted,acknowledged,,1.0,N
EV000200,marketing,submission,HAR-S00107,2025-09-09T10:00:00,carrier:MKL,acknowledged,submitted,acknowledged,,1.0,N
EV000231,quote,quote,HAR-S00046-Q1,2025-09-09T13:00:00,carrier:MKL,quote_received,,received,HAR-S00046-Q1.pdf,0.92,N
EV000064,marketing,submission,HAR-S00035,2025-09-09T14:00:00,E010,submitted,draft,submitted,HAR-S00035_package.pdf,1.0,N
EV000248,quote,quote,HAR-S00076-Q1,2025-09-10T10:00:00,carrier:CNA,quote_received,,received,HAR-S00076-Q1.pdf,0.92,Y
EV000410,billing,payment,HAR-PMT00026,2025-09-13T14:00:00,accounting,cash_applied,received,applied,ACH577333439,1.0,N
EV000267,quote,quote,HAR-S00108-Q1,2025-09-14T14:00:00,carrier:LIB,quote_received,,received,HAR-S00108-Q1.pdf,0.92,N
EV000362,endorsements,endorsement_request,HAR-END0015,2025-09-16T10:00:00,E006,sent_to_carrier,requested,pending_carrier,,1.0,N
EV000266,quote,quote,HAR-S00107-Q1,2025-09-21T16:00:00,carrier:MKL,quote_received,,received,HAR-S00107-Q1.pdf,0.92,N 
EV000372,endorsements,endorsement_request,HAR-END0021,2025-09-23T10:00:00,E008,sent_to_carrier,requested,pending_carrier,,1.0,N
EV000414,billing,payment,HAR-PMT00030,2025-09-23T14:00:00,accounting ,cash_applied,received,applied,ACH252964376,1.0,N
EV000413,billing,payment,HAR-PMT00029,2025-09-24T14:00:00,accounting,cash_applied,received,applied,CHK 58096,1.0,N
EV000226,quote,quote,HAR-S00035-Q1,2025-09-25T11:00:00,carrier:LIB,quote_received,,received,HAR-S00035-Q1.pdf,0.92,N
EV000373,endorsements,endorsement_request,HAR-END0021,2025-10-01T11:00:00,carrier:NAT,endorsement_received,pending_carrier,issued_-_discrepancy,END-972257.pdf,0.9,Y
EV000330,certificates,certificate_request,HAR-CERT0032,2025-10-04T08:00:00,system:email_intake,request_received,,open,email,0.88,N
EV000331,certificates,certificate_request,HAR-CERT0032,2025-10-05T01:00:00,E010,certificate_issued,open,issued,HAR-COI0032.pdf,1.0,N
EV000197,marketing,submission,HAR-S00106,2025-10-05T13:00:00,E009,submitted,draft,submitted,HAR-S00106_package.pdf,1.0,N
EV000310,certificates,certificate_request,HAR-CERT0022,2025-10-08T11:00:00,system:email_intake,request_received,,open,email,0.88,N
EV000311,certificates,certificate_request,HAR-CERT0022,2025-10-08T13:00:00,E010,exception_flagged,open,exception,,0.97,Y
EV000062,marketing,submission,HAR-S00034,2025-10-08T16:00:00,E010,submitted,draft,submitted,HAR-S00034_package.pdf,1.0,N
EV000198,marketing,submission,HAR-S00106,2025-10-09T10:00:00,carrier:TRV,acknowledged,submitted,acknowledged,,1.0,N
EV000374,endorsements,endorsement_request,HAR-END0022,2025-10-10T10:00:00,E010,sent_to_carrier,requested,pending_carrier,,1.0,N
EV000063,marketing,submission,HAR-S00034,2025-10-12T10:00:00,carrier:TRV,acknowledged,submitted,acknowledged,,1.0,N
EV000126,marketing,submission,HAR-S00068,2025-10-15T10:00:00,carrier:MKL,acknowledged,submitted,acknowledged,,1.0,N
EV000125,marketing,submission,HAR-S00068,2025-10-15T14:00:00,E006,submitted,draft,submitted,HAR-S00068_package.pdf,1.0,N
EV000401,billing,payment,HAR-PMT00017,2025-10-18T14:00:00 ,accounting,cash_applied,received,applied,ACH155944873,1.0,N
EV000225,quote,quote,HAR-S00034-Q1,2025-10-21T09:00:00,carrier:TRV,quote_received,,received,HAR-S00034-Q1.pdf,0.92,N
EV000116,marketing,submission,HAR-S00063,2025-10-21T13:00:00,E010 ,submitted,draft,submitted,HAR-S00063_package.pdf,1.0,N
EV000388,billing,payment,HAR-PMT00004,2025-10-21T14:00:00,accounting,cash_applied,received,applied,CHK 16686,1.0,N
EV000042,marketing,submission,HAR-S00024,2025-10-21T17:00:00,E009,submitted,draft,submitted,HAR-S00024_package.pdf,1.0,N
EV000043,marketing,submission,HAR-S00024,2025-10-22T10:00:00 ,carrier:LIB,acknowledged,submitted,acknowledged,,1.0,N
EV000193,marketing,submission,HAR-S00104,2025-10-25T09:00:00,E007,submitted,draft,submitted,HAR-S00104_package.pdf,1.0,N
EV000274,certificates ,certificate_request,HAR-CERT0004,2025-10-25T09:00:00,system:email_intake,request_received,,open,email,0.88,N
EV000308,certificates,certificate_request,HAR-CERT0021,2025-10-25T10:00:00,system:email_intake,request_received,,open,email,0.88,N
EV000377,endorsements,endorsement_request,HAR-END0024,2025-10-25T10:00:00,E009,sent_to_carrier,requested,pending_carrier,,1.0,N
EV000275 ,certificates,certificate_request,HAR-CERT0004,2025-10-25T14:00:00,E011,certificate_issued,open,issued,HAR-COI0004.pdf,1.0,N
EV000309,certificates,certificate_request,HAR-CERT0021,2025-10-26T09:00:00,E011,certificate_issued,open,issued,HAR-COI0021.pdf,1.0,N
EV000375,endorsements,endorsement_request,HAR-END0022,2025-10-26T11:00:00,carrier:MKL,endorsement_received,pending_carrier,issued,END-526475.pdf,0.9,N
EV000078,marketing,submission,HAR-S00043,2025-10-28T10:00:00,carrier:TRV,acknowledged,submitted,acknowledged,,1.0,N
EV000164,marketing,submission,HAR-S00089,2025-10-28T10:00:00,carrier:AMT,acknowledged,submitted ,acknowledged,,1.0,N
EV000194,marketing,submission,HAR-S00104,2025-10-28T10:00:00,carrier:HIG,acknowledged,submitted,acknowledged,,1.0,N
EV000163,marketing,submission,HAR-S00089,2025-10-28T14:00:00,E008,submitted,draft,submitted,HAR-S00089_package.pdf,1.0,N
EV000077,marketing,submission,HAR-S00043,2025-10-28T17:00:00,E013,submitted,draft,submitted,HAR-S00043_package.pdf,1.0,N
EV000121,marketing,submission,HAR-S00066,2025-10-29T09:00:00,E010,submitted,draft,submitted,HAR-S00066_package.pdf,1.0,N
EV000122,marketing,submission,HAR-S00066,2025-10-31T10:00:00,carrier:TRV,acknowledged,submitted,acknowledged,,1.0,N
EV000332,certificates,certificate_request,HAR-CERT0033,2025-11-01T11:00:00,system:email_intake,request_received,,open,email,0.88,N
EV000292,certificates,certificate_request,HAR-CERT0013 ,2025-11-01T16:00:00,system:email_intake,request_received,,open,email,0.88,N
