Pay Period End,Employee Id,Department,Regular Hours,Overtime Hours,Gross Pay,Overtime Pay,Federal Tax,State Tax,Fica,401K,Health Deduction,Net Pay
2025-06-30,E030,Warehouse,173.3,3.0,6097.81,140.62,731.74,187.2,466.48,182.93,142.5,4386.96
2025-06-30,E031,Warehouse,173.3,9.0,5711.97,401.62,685.44,175.36,436.97,285.6,285.0,3843.6
2025-06-30,E032,Warehouse,173.3,13.0,6460.31,604.5,775.24,198.33,494.21,0.0,285.0,4707.53
2025-06-30,E033,Warehouse,173.3,2.0,5514.76,87.0,661.77,169.3,421.88,0.0,0,4261.81
2025-06-30,E034,Warehouse,173.3,13.0,5333.95,511.88,640.07,163.75,408.05,160.02,285.0,3677.06
2025-06-30,E035,Warehouse,173.3,12.0,5849.24,522.0,701.91,179.57,447.47,175.48,142.5,4202.31
2025-06-30,E036,Warehouse,,0,11833.33,0,1420.0,363.28,905.25,591.67,0,8553.13
2025-06-30,E037,Warehouse,173.3,8.0,5857.84,369.0,702.94,179.84,448.12,351.47,285.0,3890.47
2025-06-30,E038,Warehouse,173.3,8.0,3854.91,252.0,462.59,118.35,294.9,0.0,285.0,2694.07
2025-06-30,E039 ,Warehouse,173.3,12.0,4758.63,414.0,571.04,146.09,364.04,285.52,0,3391.94
2025-06-30,E040,Engineering,,0,8833.33,0,1060.0,271.18,675.75,441.67,285.0,6099.73
2025-06-30,E041,Engineering,,0,4833.33,0,580.0,148.38,369.75,145.0,285.0,3305.2
2025-06-30,E042,Sales,,0,7291.67,0,875.0,223.85,557.81,364.58,285.0,4985.43
2025-06-30,E043,Sales,,0,12333.33,0,1480.0,378.63,943.5,0.0,142.5,9388.7
2025-06-30,E044,HR,,0,8458.33,0,1015.0,259.67,647.06,253.75,0,6282.85
2025-06-30,E045,Quality,173.3,13.0,6460.31,604.5,775.24,198.33,494.21,193.81,142.5,4656.22
2025-07-31,E001,Executive,,0,12416.67,0,1490.0,381.19,949.88,372.5,142.5,9080.6
2025-07-31,E002,Finance,,0,11166.67,0,1340.0,342.82,854.25,335.0,0,8294.6
2025-07-31,E003,Finance,,0,8958.33,0,1075.0,275.02,685.31,268.75,285.0,6369.25
2025-07-31,E004,Operations,,0,10750.0,0,1290.0,330.03,822.38,322.5,0,7985.09
2025-07-31,E005,Operations,173.3,8.0,5626.32,345.0,675.16,172.73,430.41,168.79,0,4179.23
2025-07-31,E006,Operations,173.3,1.0,5424.09,43.12,650.89,166.52,414.94,271.2,0,3920.54
2025-07-31,E007,Operations,173.3,3.0,5951.47,137.25,714.18,182.71,455.29,178.54,142.5,4278.25
2025-07-31,E008,Operations,173.3,2.0,4991.81,78.75,599.02,153.25,381.87,149.75,285.0,3422.92
2025-07-31,E009,Operations,173.3,8.0,4864.12,315.0,583.69,149.33,372.11,145.92,0,3613.07
2025-07-31,E010,Operations,173.3,20.0,6517.19,930.0,782.06,200.08,498.57,325.86,285.0,4425.62
2025-07-31,E011,Purchasing,,0,10708.33,0,1285.0,328.75,819.19,321.25,285.0,7669.14
2025-07-31,E012,Purchasing,,0,11416.67,0,1370.0,350.49,873.38,0.0,285.0,8537.8
2025-07-31,E013,Sales,,0,11500.0,0,1380.0,353.05,879.75,575.0,285.0,8027.2
2025-07-31,E014,Sales,,0,7041.67,0,845.0,216.18,538.69,352.08,285.0,4804.72
2025-07-31,E015,Sales,,0,12541.67,0,1505.0,385.03,959.44,627.08,410.0,8655.12
2025-07-31,E016,Sales,,0,13416.67,0,1610.0,411.89,1026.38,0.0,0,10368.4
2025-07-31,E017,Sales,,0,5250.0,0,630.0,161.18,401.62,315.0,410.0,3332.2
2025-07-31,E018,Sales,,0,4791.67,0,575.0,147.1,366.56,0.0,410.0,3293.01
2025-07-31,E019,Sales,,0,8708.33,0,1045.0,267.35,666.19,261.25,0,6468.54
2025-07-31,E020,Sales,,0,10375.0,0,1245.0,318.51,793.69,518.75,410.0,7089.05
2025-07-31,E021,Sales,,0,6583.33,0,790.0,202.11,503.62,0.0,0,5087.6
2025-07-31,E022,Sales,,0,4791.67,0,575.0,147.1,366.56,239.58,142.5,3320.93
2025-07-31,E023,Sales,,0,6833.33,0,820.0,209.78,522.75,341.67,285.0,4654.13
2025-07-31,E024,Sales,,0,12958.33,0,1555.0,397.82,991.31,777.5,0,9236.7
2025-07-31,E025,Sales,,0,12958.33,0,1555.0,397.82,991.31,777.5,142.5,9094.2
2025-07-31,E026,Warehouse,173.3,11.0,5547.98,486.75,665.76,170.32,424.42,332.88,410.0,3544.6
2025-07-31,E027,Warehouse,173.3,16.0,5425.75,660.0,651.09,166.57,415.07,162.77,285.0,3745.25
2025-07-31,E028,Warehouse,173.3,0,4503.63,0.0,540.44,138.26,344.53,225.18,285.0,2970.22
2025-07-31,E029,Warehouse,173.3,7.0,3641.22,196.88,436.95,111.79,278.55,0.0,285.0,2528.93
2025-07-31,E030,Warehouse,173.3,2.0,5238.59,93.75,628.63,160.82,400.75,261.93,410.0,3376.46
2025-07-31,E031,Warehouse,173.3,2.0,5244.93,89.25,629.39,161.02,401.24,0.0,410.0,3643.28
2025-07-31,E032,Warehouse,173.3,14.0,6560.53,651.0,787.26,201.41,501.88,328.03,0,4741.95
2025-07-31,E033,Warehouse,173.3,2.0,4961.93,87.0,595.43,152.33,379.59,297.72,142.5,3394.36
2025-07-31,E034,Warehouse,173.3,21.0,5330.51,826.88,639.66,163.65,407.78,0.0,285.0,3834.42
2025-07-31,E035,Warehouse,173.3,16.0,6073.5,696.0,728.82,186.46,464.62,303.68,0,4389.92
2025-07-31,E036,Warehouse,,0,11833.33,0,1420.0,363.28,905.25,591.67,285.0,8268.13
2025-07-31,E037,Warehouse,173.3,3.0,5307.49,138.38,636.9,162.94,406.02,0.0,285.0,3816.63
2025-07-31,E038,Warehouse,173.3,1.0,3561.62,31.5,427.39,109.34,272.46,0.0,142.5,2609.93
2025-07-31,E039,Warehouse,173.3,6.0,4551.63,207.0,546.2,139.74,348.2,227.58,142.5,3147.41
2025-07-31,E040,Engineering,,0,8833.33,0,1060.0,271.18,675.75,530.0,410.0,5886.4
2025-07-31,E041,Engineering,,0,4833.33,0,580.0,148.38,369.75,290.0,410.0,3035.2
2025-07-31,E042,Sales,,0,7291.67,0,875.0,223.85,557.81,0.0,142.5,5492.51
2025-07-31,E043,Sales,,0,12333.33,0,1480.0,378.63,943.5,0.0,410.0,9121.2
2025-07-31,E044,HR,,0,8458.33,0,1015.0,259.67,647.06,507.5,285.0,5744.1
2025-07-31,E045,Quality,173.3,17.0,5947.91,790.5,713.75,182.6,455.02,178.44,410.0,4008.1
2025-08-31,E001,Executive,,0,12416.67,0,1490.0,381.19,949.88,372.5,410.0,8813.1
2025-08-31,E002,Finance,,0,11166.67,0,1340.0,342.82,854.25,0.0,410.0,8219.6
2025-08-31,E003,Finance,,0,8958.33,0,1075.0,275.02,685.31,447.92,142.5,6332.58
2025-08-31,E004,Operations,,0,10750.0,0,1290.0,330.03,822.38,0.0,285.0,8022.59
2025-08-31,E005,Operations,173.3,21.0,6037.47,905.62,724.5,185.35,461.87,362.25,0,4303.5
2025-08-31,E006,Operations,173.3,3.0,5261.23,129.38,631.35,161.52,402.48,0.0,142.5,3923.38
2025-08-31,E007,Operations,173.3,22.0,6397.86,1006.5,767.74,196.41,489.44,0.0,285.0,4659.27
2025-08-31,E008,Operations,173.3,18.0,5530.82,708.75,663.7,169.8,423.11,0.0,0,4274.21
2025-08-31,E009,Operations,173.3,8.0,5182.56,315.0,621.91,159.1,396.47,0.0,410.0,3595.08
2025-08-31,E010,Operations,173.3,12.0,6467.53,558.0,776.1,198.55,494.77,0.0,410.0,4588.11
2025-08-31,E011,Purchasing,,0,10708.33,0,1285.0,328.75,819.19,321.25,142.5,7811.64
2025-08-31,E012,Purchasing,,0,11416.67,0,1370.0,350.49,873.38,342.5,410.0,8070.3
2025-08-31,E013,Sales,,0,11500.0,0,1380.0,353.05,879.75,345.0,410.0,8132.2
2025-08-31,E014,Sales,,0,7041.67,0,845.0,216.18,538.69,211.25,0,5230.55
2025-08-31,E015,Sales,,0,12541.67,0,1505.0,385.03,959.44,376.25,285.0,9030.95
2025-08-31,E016 ,Sales,,0,13416.67,0,1610.0,411.89,1026.38,805.0,142.5,9420.9
2025-08-31,E017,Sales,,0,5250.0,0,630.0,161.18,401.62,0.0,0,4057.2
2025-08-31,E018,Sales,,0,4791.67,0,575.0,147.1,366.56,239.58,142.5,3320.93
2025-08-31,E019,Sales,,0,8708.33,0,1045.0,267.35,666.19,261.25,142.5,6326.04
2025-08-31,E020,Sales,,0,10375.0,0,1245.0,318.51,793.69,518.75,0,7499.05
2025-08-31,E021,Sales,,0,6583.33,0,790.0,202.11,503.62,329.17,285.0,4473.43
2025-08-31,E022,Sales,,0,4791.67,0,575.0,147.1,366.56,143.75,285.0,3274.26
2025-08-31,E023,Sales,,0,6833.33,0,820.0,209.78,522.75,205.0,410.0,4665.8
2025-08-31,E024,Sales,,0,12958.33,0,1555.0,397.82,991.31,388.75,142.5,9482.95
2025-08-31,E025,Sales,,0,12958.33,0,1555.0,397.82,991.31,388.75,285.0,9340.45
2025-08-31,E026,Warehouse,173.3,19.0,6259.84,840.75,751.18,192.18,478.88,187.8,410.0,4239.8
2025-08-31,E027,Warehouse,173.3,8.0,5334.04,330.0,640.08,163.76,408.05,266.7,142.5,3712.95
2025-08-31,E028,Warehouse,173.3,2.0,5173.77,78.75,620.85,158.83,395.79,310.43,142.5,3545.37
2025-08-31,E029,Warehouse,173.3,22.0,3868.13,618.75,464.18,118.75,295.91,0.0,410.0,2579.29
2025-08-31,E030,Warehouse,173.3,6.0,6184.28,281.25,742.11,189.86,473.1,371.06,0,4408.15
2025-08-31,E031,Warehouse,173.3,16.0,5972.79,714.0,716.73,183.36,456.92,358.37,285.0,3972.41
2025-08-31,E032,Warehouse,173.3,3.0,5726.69,139.5,687.2,175.81,438.09,0.0,410.0,4015.59
2025-08-31,E033,Warehouse,173.3,9.0,5769.0,391.5,692.28,177.11,441.33,346.14,0,4112.14
2025-08-31,E034,Warehouse,173.3,0,5049.53,0.0,605.94,155.02,386.29,302.97,410.0,3189.31
2025-08-31,E035,Warehouse,173.3,10.0,5259.67,435.0,631.16,161.47,402.36,315.58,410.0,3339.1
2025-08-31,E036,Warehouse,,0,11833.33,0,1420.0,363.28,905.25,0.0,285.0,8859.8
2025-08-31,E037,Warehouse,173.3,11.0,5569.91,507.38,668.39,171.0,426.1,278.5,285.0,3740.92
2025-08-31,E038,Warehouse,173.3,21.0,4664.73,661.5,559.77,143.21,356.85,233.24,410.0,2961.66
2025-08-31,E039,Warehouse,173.3,21.0,4989.41,724.5,598.73,153.17,381.69,299.36,410.0,3146.46
2025-08-31,E040,Engineering,,0,8833.33,0,1060.0,271.18,675.75,441.67,410.0,5974.73
2025-08-31,E041,Engineering,,0,4833.33,0,580.0,148.38,369.75,0.0,285.0,3450.2
2025-08-31,E042,Sales,,0,7291.67,0,875.0,223.85,557.81,364.58,0,5270.43
2025-08-31,E043,Sales,,0,12333.33,0,1480.0,378.63,943.5,740.0,142.5,8648.7
2025-08-31,E044,HR,,0,8458.33,0,1015.0,259.67,647.06,422.92,142.5,5971.18
2025-08-31,E045,Quality,173.3,16.0,5901.41,744.0,708.17,181.17,451.46,295.07,0,4265.54
2025-09-30,E001,Executive,,0,12416.67,0,1490.0,381.19,949.88,372.5,142.5,9080.6
2025-09-30,E002,Finance,,0,11166.67,0,1340.0,342.82,854.25,0.0,142.5,8487.1
2025-09-30,E003,Finance,,0,8958.33,0,1075.0,275.02,685.31,537.5,410.0,5975.5
2025-09-30,E004,Operations,,0,10750.0,0,1290.0,330.03,822.38,0.0,285.0,8022.59
2025-09-30,E005,Operations,173.3,0,5281.32,0.0,633.76,162.14,404.02,158.44,142.5,3780.46
2025-09-30,E006,Operations,173.3,18.0,5957.92,776.25,714.95,182.91,455.78,178.74,285.0,4140.54
2025-09-30,E007,Operations,173.3,10.0,6007.43,457.5,720.89,184.43,459.57,360.45,410.0,3872.09
2025-09-30,E008,Operations,173.3,3.0,5122.16,118.12,614.66,157.25,391.85,0.0,285.0,3673.4
2025-09-30,E009,Operations,173.3,5.0,4927.97,196.88,591.36,151.29,376.99,246.4,285.0,3276.93
2025-09-30,E010,Operations,173.3,13.0,6621.48,604.5,794.58,203.28,506.54,0.0,410.0,4707.08
2025-09-30,E011,Purchasing,,0,10708.33,0,1285.0,328.75,819.19,642.5,142.5,7490.39
2025-09-30,E012,Purchasing,,0,11416.67,0,1370.0,350.49,873.38,685.0,0,8137.8
2025-09-30,E013,Sales,,0,11500.0,0,1380.0,353.05,879.75,690.0,285.0,7912.2
2025-09-30,E014,Sales,,0,7041.67,0,845.0,216.18,538.69,211.25,0,5230.55
2025-09-30,E015,Sales,,0,12541.67,0,1505.0,385.03,959.44,376.25,410.0,8905.95
2025-09-30,E016,Sales,,0,13416.67,0,1610.0,411.89,1026.38,402.5,285.0,9680.9
2025-09-30,E017,Sales,,0,5250.0,0,630.0,161.18,401.62,315.0,410.0,3332.2
2025-09-30,E018,Sales,,0,4791.67,0,575.0,147.1,366.56,0.0,285.0,3418.01
2025-09-30,E019,Sales,,0,8708.33,0,1045.0,267.35,666.19,0.0,285.0,6444.79
2025-09-30,E020,Sales,,0,10375.0,0,1245.0,318.51,793.69,311.25,0,7706.55
2025-09-30,E021,Sales,,0,6583.33,0,790.0,202.11,503.62,197.5,0,4890.1
2025-09-30,E022,Sales,,0,4791.67,0,575.0,147.1,366.56,239.58,142.5,3320.93
2025-09-30,E023,Sales,,0,6833.33,0,820.0,209.78,522.75,205.0,285.0,4790.8
2025-09-30,E024,Sales ,,0,12958.33,0,1555.0,397.82,991.31,0.0,410.0,9604.2
2025-09-30,E025,Sales,,0,12958.33,0,1555.0,397.82,991.31,777.5,285.0,8951.7
2025-09-30,E026,Warehouse,173.3,19.0,5850.85,840.75,702.1,179.62,447.59,0.0,142.5,4379.04
2025-09-30,E027 ,Warehouse,173.3,4.0,5026.07,165.0,603.13,154.3,384.49,301.56,0,3582.59
2025-09-30,E028,Warehouse,173.3,18.0,5621.81,708.75,674.62,172.59,430.07,0.0,410.0,3934.53
2025-09-30,E029,Warehouse,173.3,1.0,3504.95,28.12,420.59,107.6,268.13,175.25,0,2533.38
2025-09-30,E030,Warehouse,173.3,11.0,5660.46,515.62,679.26,173.78,433.03,0.0,410.0,3964.39
2025-09-30,E031,Warehouse,173.3,9.0,5402.62,401.62,648.31,165.86,413.3,0.0,285.0,3890.15
2025-09-30,E032,Warehouse,173.3,0,5426.02,0.0,651.12,166.58,415.09,0.0,410.0,3783.23
2025-09-30,E033 ,Warehouse,173.3,14.0,5684.96,609.0,682.2,174.53,434.9,0.0,0,4393.33
2025-09-30,E034,Warehouse,173.3,13.0,4924.53,511.88,590.94,151.18,376.73,147.74,142.5,3515.44
2025-09-30,E035,Warehouse,173.3,4.0,5802.78,174.0,696.33,178.15,443.91,290.14,142.5,4051.75
2025-09-30,E036 ,Warehouse,,0,11833.33,0,1420.0,363.28,905.25,0.0,410.0,8734.8
2025-09-30,E037,Warehouse,173.3,2.0,5154.78,92.25,618.57,158.25,394.34,0.0,0,3983.62
