Document Id,Client Id,Policy Id,Document Type,File Name,Received Date,Source,Indexed By,Pages
DOC-HAR-P00029-POL,HAR-C0009 ,HAR-P00029,Policy,NAT-WC-4260708_Policy.pdf,2026-01-19,Carrier download,E010,79
DOC-HAR-P00029-APP,HAR-C0009,HAR-P00029,ACORD 125 Application,HAR-C0009_ACORD125_2025.pdf,2025-10-18,Email attachment,E010,8
DOC-HAR-P00030-POL,HAR-C0010,HAR-P00030,Policy,CNA-CYB-7096491_Policy.pdf,"Dec 27, 2025",Carrier download,E006,110
DOC-HAR-P00030-APP,HAR-C0010,HAR-P00030,ACORD 125 Application,HAR-C0010_ACORD125_2025.pdf,2025-09-17,Email attachment,E006,6
DOC-HAR-P00031-POL,HAR-C0010,HAR-P00031,Policy,MKL-PL-6537633_Policy.pdf,2025-06-13,Carrier download,E006,26
DOC-HAR-P00031-APP,HAR-C0010,HAR-P00031,ACORD 125 Application,HAR-C0010_ACORD125_2025.pdf,04/05/2025,Email attachment,E006,10
DOC-HAR-P00032-POL,HAR-C0010,HAR-P00032,Policy,HIG-GL-1566960_Policy.pdf,2025-09-19,Carrier download,E006,34
DOC-HAR-P00033-POL,HAR-C0011,HAR-P00033,Policy,LIB-GL-1970641_Policy.pdf,2026-04-18,Carrier download,E013,106
DOC-HAR-P00034-POL,HAR-C0011,HAR-P00034,Policy,GRD-WC-3894019_Policy.pdf,2026-02-03,Carrier download,E013,46
DOC-HAR-P00034-APP ,HAR-C0011,HAR-P00034,ACORD 125 Application,HAR-C0011_ACORD125_2026.pdf,2025-11-08,Email attachment,E013,8
DOC-HAR-P00035-POL,HAR-C0011,HAR-P00035,Policy,TRV-AUTO-6605955_Policy.pdf,2026-02-07,Carrier download,E013,120
DOC-HAR-P00035-APP,HAR-C0011,HAR-P00035,ACORD 125 Application,HAR-C0011_ACORD125_2026.pdf,"Dec 13, 2025",Email attachment,E013,4
DOC-HAR-P00036-POL ,HAR-C0011,HAR-P00036,Policy,TRV-UMB-9225974_Policy.pdf,2025-11-25,Carrier download,E013,110
DOC-HAR-P00037-POL,HAR-C0012,HAR-P00037,Policy,LIB-GL-1980984_Policy.pdf,2026-02-07,Carrier download,E010,45
DOC-HAR-P00038-POL,HAR-C0012,HAR-P00038,Policy,MKL-PL-1721204_Policy.pdf,2025-11-18,Email attachment,E010,46
DOC-HAR-P00039-POL,HAR-C0012,HAR-P00039,Policy,LIB-WC-8791492_Policy.pdf,2025-11-02,Email attachment,E010,45
DOC-HAR-P00040-POL,HAR-C0013,HAR-P00040,Policy,HIG-PROP-1100326_Policy.pdf,2025-06-07,Email attachment,E013,123
DOC-HAR-P00041-POL,HAR-C0013,HAR-P00041,Policy,CNA-GL-8534073_Policy.pdf ,2025-08-08,Carrier download,E013,63
DOC-HAR-P00042-POL,HAR-C0013,HAR-P00042,Policy,TRV-UMB-9363685_Policy.pdf,2025-07-21,Carrier download,E013,24
DOC-HAR-P00042-APP,HAR-C0013,HAR-P00042,ACORD 125 Application,HAR-C0013_ACORD125_2025.pdf,2025-04-03,Email attachment,E013,12
DOC-HAR-P00043-POL ,HAR-C0014,HAR-P00043,Policy,CNA-PROP-2797302_Policy.pdf,2025-11-21,Email attachment,E011,48
DOC-HAR-P00044-POL,HAR-C0014,HAR-P00044,Policy,LIB-WC-6993923_Policy.pdf,2026-04-01,Email attachment,E011,56
DOC-HAR-P00045-POL,HAR-C0015,HAR-P00045,Policy,HIG-GL-1962926_Policy.pdf,2026-01-09,Carrier download,E010,55
DOC-HAR-P00045-APP,HAR-C0015,HAR-P00045,ACORD 125 Application,HAR-C0015_ACORD125_2025.pdf,2025-09-19,Email attachment,E010,6
DOC-HAR-P00046-POL,HAR-C0015,HAR-P00046,Policy ,AMT-WC-7809356_Policy.pdf,"Dec 26, 2025",Carrier download,E010,99
DOC-HAR-P00047-POL,HAR-C0015,HAR-P00047,Policy,PRG-AUTO-1007658_Policy.pdf,2025-08-17,Email attachment,E010,36
DOC-HAR-P00047-APP,HAR-C0015,HAR-P00047,ACORD 125 Application,HAR-C0015_ACORD125_2025.pdf,2025-05-16,Email attachment,E010,10
DOC-HAR-P00048-POL,HAR-C0015,HAR-P00048,Policy,MKL-UMB-2801668_Policy.pdf,"Jul 09, 2025",Carrier download,E010,52
DOC-HAR-P00049-POL ,HAR-C0016,HAR-P00049,Policy,LIB-GL-8989340_Policy.pdf,2025-07-23,Carrier download,E007,24
DOC-HAR-P00049-APP,HAR-C0016,HAR-P00049,ACORD 125 Application,HAR-C0016_ACORD125_2025.pdf,2025-05-06,Email attachment,E007,5
DOC-HAR-P00050-POL,HAR-C0016,HAR-P00050,Policy,LIB-WC-2782069_Policy.pdf,2026-03-31,Email attachment,E007,86
DOC-HAR-P00051-POL,HAR-C0016,HAR-P00051,Policy,LIB-AUTO-3567307_Policy.pdf,"Feb 04, 2026",Carrier download,E007,45
DOC-HAR-P00052-POL,HAR-C0016,HAR-P00052,Policy,TRV-UMB-8785458_Policy.pdf,2026-04-15,Carrier download,E007,76
DOC-HAR-P00052-APP,HAR-C0016,HAR-P00052,ACORD 125 Application,HAR-C0016_ACORD125_2026.pdf,2026-01-25,Email attachment,E007,9
DOC-HAR-P00053-POL,HAR-C0016,HAR-P00053,Policy,HIG-PROP-6932424_Policy.pdf,2025-08-06,Carrier download,E007,98
DOC-HAR-P00054-POL,HAR-C0017,HAR-P00054,Policy,TRV-PROP-8848052_Policy.pdf,19-May-2025,Email attachment,E010,123
DOC-HAR-P00055-POL,HAR-C0017,HAR-P00055,Policy,MKL-GL-1641431_Policy.pdf,2026-02-17,Carrier download,E010,51
DOC-HAR-P00056-POL,HAR-C0017,HAR-P00056,Policy,GRD-WC-8470777_Policy.pdf,2026-01-19,Email attachment,E010,27
DOC-HAR-P00057-POL,HAR-C0018,HAR-P00057,Policy ,NAT-GL-8426434_Policy.pdf,2026-03-31,Carrier download,E009,59
DOC-HAR-P00057-APP,HAR-C0018,HAR-P00057,ACORD 125 Application,HAR-C0018_ACORD125_2026.pdf,2025-12-29,Email attachment,E009,9
DOC-HAR-P00058-POL,HAR-C0018,HAR-P00058,Policy,LIB-PROP-1741338_Policy.pdf,2025-08-22,Carrier download,E009,31
DOC-HAR-P00059-POL,HAR-C0018,HAR-P00059,Policy,HIG-WC-9031274_Policy.pdf,2025-12-22,Email attachment,E009,110
DOC-HAR-P00059-APP,HAR-C0018,HAR-P00059,ACORD 125 Application,HAR-C0018_ACORD125_2025.pdf,2025-10-09,Email attachment,E009,8
DOC-HAR-P00060-POL,HAR-C0019,HAR-P00060,Policy,MKL-PL-1964407_Policy.pdf,2026-02-25,Carrier download,E006,34
DOC-HAR-P00060-APP,HAR-C0019,HAR-P00060,ACORD 125 Application,HAR-C0019_ACORD125_2026.pdf,2025-11-01,Email attachment,E006,11
DOC-HAR-P00061-POL,HAR-C0019,HAR-P00061,Policy,CNA-CYB-8523472_Policy.pdf,2026-03-28,Email attachment,E006,109
DOC-HAR-P00062-POL,HAR-C0019,HAR-P00062,Policy,NAT-BOP-8210262_Policy.pdf,2025-07-16,Carrier download,E006,119
DOC-HAR-P00063-POL,HAR-C0020,HAR-P00063,Policy,MKL-PL-3683973_Policy.pdf,2026-04-24,Email attachment,E012,60
DOC-HAR-P00064-POL,HAR-C0020,HAR-P00064,Policy,LIB-GL-6486028_Policy.pdf,2026-02-18,Email attachment,E012,83
DOC-HAR-P00064-APP,HAR-C0020,HAR-P00064,ACORD 125 Application,HAR-C0020_ACORD125_2026.pdf,2025-11-23,Email attachment,E012,10
DOC-HAR-P00065-POL,HAR-C0020,HAR-P00065,Policy,LIB-PROP-2637048_Policy.pdf,2025-06-17,Carrier download,E012,69
DOC-HAR-P00066-POL,HAR-C0020,HAR-P00066,Policy,GRD-WC-2598958_Policy.pdf,2025-05-05,Carrier download,E012,108
DOC-HAR-P00066-APP,HAR-C0020,HAR-P00066,ACORD 125 Application,HAR-C0020_ACORD125_2025.pdf,2025-01-16,Email attachment,E012,11
DOC-HAR-P00067-POL,HAR-C0021,HAR-P00067,Policy,LIB-GL-2053776_Policy.pdf,2025-10-19,Email attachment,E010,40
DOC-HAR-P00067-APP,HAR-C0021,HAR-P00067,ACORD 125 Application,HAR-C0021_ACORD125_2025.pdf,2025-08-03,Email attachment,E010,12
DOC-HAR-P00068-POL,HAR-C0021,HAR-P00068,Policy,NAT-PROP-8965121_Policy.pdf,2025-09-07,Carrier download,E010,97
DOC-HAR-P00069-POL,HAR-C0021,HAR-P00069,Policy,HIG-WC-6629466_Policy.pdf,2026-01-11,Email attachment,E010,74
DOC-HAR-P00070-POL,HAR-C0021,HAR-P00070,Policy,TRV-AUTO-1986341_Policy.pdf,2025-09-09,Carrier download,E010,48
DOC-HAR-P00070-APP,HAR-C0021,HAR-P00070,ACORD 125 Application,HAR-C0021_ACORD125_2025.pdf,2025-07-27 ,Email attachment,E010,12
DOC-HAR-P00071-POL,HAR-C0022,HAR-P00071,Policy,CNA-PL-1865311_Policy.pdf,2025-10-11,Carrier download,E007,80
DOC-HAR-P00072-POL,HAR-C0022,HAR-P00072,Policy,CNA-GL-3469536_Policy.pdf,01-Feb-2026 ,Email attachment,E007,130
DOC-HAR-P00072-APP,HAR-C0022,HAR-P00072,ACORD 125 Application,HAR-C0022_ACORD125_2026.pdf,2025-10-22,Email attachment,E007,10
DOC-HAR-P00073-POL,HAR-C0022,HAR-P00073,Policy,HIG-PROP-1441396_Policy.pdf,2025-11-27,Carrier download,E007,45
DOC-HAR-P00074-POL,HAR-C0022,HAR-P00074,Policy,CNA-CYB-9113312_Policy.pdf,2025-09-02,Carrier download,E007,134
DOC-HAR-P00074-APP,HAR-C0022,HAR-P00074,ACORD 125 Application,HAR-C0022_ACORD125_2025.pdf,2025-06-09,Email attachment,E007,6
DOC-HAR-P00075-POL,HAR-C0022,HAR-P00075,Policy,LIB-WC-8316458_Policy.pdf,07/29/25,Email attachment,E007,113
DOC-HAR-P00075-APP,HAR-C0022,HAR-P00075,ACORD 125 Application,HAR-C0022_ACORD125_2025.pdf,2025-04-11,Email attachment,E007,5
DOC-HAR-P00076-POL,HAR-C0023,HAR-P00076,Policy,TRV-GL-1622321_Policy.pdf,2025-08-27,Email attachment,E009,37
DOC-HAR-P00077-POL,HAR-C0023,HAR-P00077,Policy,MKL-PL-5526497_Policy.pdf ,12/04/2025,Email attachment,E009,85
DOC-HAR-P00078-POL,HAR-C0023,HAR-P00078,Policy,HIG-WC-2929496_Policy.pdf,2025-10-19,Email attachment,E009,78
DOC-HAR-P00079-POL,HAR-C0024,HAR-P00079,Policy,CNA-GL-9432213_Policy.pdf,2025-04-18,Email attachment,E008,35
DOC-HAR-P00080-POL,HAR-C0024,HAR-P00080,Policy,GRD-WC-9264864_Policy.pdf,03/04/26,Email attachment,E008,102
DOC-HAR-P00081-POL,HAR-C0024,HAR-P00081,Policy,NAT-AUTO-6674099_Policy.pdf,08/05/25,Carrier download,E008,47
DOC-HAR-P00082-POL,HAR-C0024,HAR-P00082,Policy,MKL-UMB-4802811_Policy.pdf,2026-05-03,Carrier download,E008,108
DOC-HAR-P00083-POL,HAR-C0025,HAR-P00083,Policy,CNA-GL-9959621_Policy.pdf,2025-05-18,Carrier download,E009,44
DOC-HAR-P00083-APP,HAR-C0025,HAR-P00083,ACORD 125 Application,HAR-C0025_ACORD125_2025.pdf,2025-02-13,Email attachment,E009,4
DOC-HAR-P00084-POL,HAR-C0025,HAR-P00084,Policy ,HIG-PROP-3512372_Policy.pdf,2026-04-05,Carrier download,E009,48
DOC-HAR-P00085-POL,HAR-C0025,HAR-P00085,Policy,LIB-WC-7551335_Policy.pdf,"Mar 29, 2026",Carrier download,E009,40
DOC-HAR-P00085-APP,HAR-C0025,HAR-P00085,ACORD 125 Application,HAR-C0025_ACORD125_2026.pdf,02-Dec-2025,Email attachment,E009,4
DOC-HAR-P00086-POL,HAR-C0026,HAR-P00086,Policy ,HIG-BOP-5356761_Policy.pdf,2025-10-31,Carrier download,E008,121
DOC-HAR-P00086-APP,HAR-C0026,HAR-P00086,ACORD 125 Application,HAR-C0026_ACORD125_2025.pdf,2025-07-22,Email attachment,E008,8
DOC-HAR-P00087-POL,HAR-C0026,HAR-P00087,Policy,NAT-WC-8917179_Policy.pdf,15-Apr-2026,Carrier download,E008,103
DOC-HAR-P00088-POL,HAR-C0027,HAR-P00088,Policy,CNA-CYB-3262819_Policy.pdf,2026-04-16,Carrier download,E011,38
DOC-HAR-P00088-APP,HAR-C0027,HAR-P00088,ACORD 125 Application,HAR-C0027_ACORD125_2026.pdf,01/02/26,Email attachment,E011,10
DOC-HAR-P00089-POL,HAR-C0027,HAR-P00089,Policy,MKL-PL-9312741_Policy.pdf,"Dec 30, 2025",Carrier download,E011,110
DOC-HAR-P00089-APP,HAR-C0027,HAR-P00089,ACORD 125 Application,HAR-C0027_ACORD125_2025.pdf,2025-08-30,Email attachment,E011,6
DOC-HAR-P00090-POL,HAR-C0027,HAR-P00090,Policy,LIB-GL-4461213_Policy.pdf,2025-12-11,Carrier download,E011,73
DOC-HAR-P00091-POL,HAR-C0028,HAR-P00091,Policy,HIG-GL-9831639_Policy.pdf ,2025-07-02,Carrier download ,E010,73
DOC-HAR-P00092-POL,HAR-C0028,HAR-P00092,Policy,LIB-UMB-1606521_Policy.pdf,2025-06-26,Carrier download,E010,51
DOC-HAR-P00092-APP,HAR-C0028,HAR-P00092,ACORD 125 Application,HAR-C0028_ACORD125_2025.pdf,2025-03-18,Email attachment,E010,12
DOC-HAR-P00093-POL,HAR-C0029,HAR-P00093,Policy,CNA-PROP-8951034_Policy.pdf,2026-02-20,Carrier download,E007,134
DOC-HAR-P00093-APP,HAR-C0029,HAR-P00093,ACORD 125 Application,HAR-C0029_ACORD125_2026.pdf,2025-12-02,Email attachment,E007,11
DOC-HAR-P00094-POL,HAR-C0029,HAR-P00094,Policy,PRG-AUTO-4207370_Policy.pdf,11/19/25,Email attachment,E007,115
DOC-HAR-P00094-APP,HAR-C0029,HAR-P00094,ACORD 125 Application,HAR-C0029_ACORD125_2025.pdf,2025-08-17 ,Email attachment,E007,5
DOC-HAR-P00095-POL,HAR-C0029,HAR-P00095,Policy,TRV-WC-3266785_Policy.pdf,2025-07-02,Carrier download,E007,100
DOC-HAR-P00095-APP,HAR-C0029,HAR-P00095,ACORD 125 Application,HAR-C0029_ACORD125_2025.pdf,2025-04-16,Email attachment,E007,11
DOC-HAR-P00096-POL,HAR-C0030,HAR-P00096,Policy,TRV-GL-5363924_Policy.pdf,2026-04-10,Carrier download,E009,29
DOC-HAR-P00097-POL,HAR-C0030,HAR-P00097,Policy,HIG-WC-9046805_Policy.pdf,2025-12-09,Carrier download,E009,129
DOC-HAR-P00098-POL,HAR-C0030,HAR-P00098,Policy,LIB-AUTO-9319868_Policy.pdf,06-May-2026,Carrier download,E009,29
DOC-HAR-P00098-APP,HAR-C0030,HAR-P00098,ACORD 125 Application,HAR-C0030_ACORD125_2026.pdf,2026-01-21,Email attachment,E009,12
DOC-HAR-P00099-POL,HAR-C0030,HAR-P00099 ,Policy,MKL-UMB-8194789_Policy.pdf,01/15/26,Email attachment,E009,129
DOC-HAR-P00099-APP,HAR-C0030,HAR-P00099,ACORD 125 Application,HAR-C0030_ACORD125_2025.pdf,2025-09-17,Email attachment,E009,10
DOC-HAR-COI0001,HAR-C0016,,Certificate of Insurance (ACORD 25),HAR-COI0001_Gilbane.pdf,2026-01-20,Generated,E007,1
DOC-HAR-COI0004,HAR-C0027,,Certificate of Insurance (ACORD 25),HAR-COI0004_Amazon.com.pdf,2025-10-27,Generated,E011,1
DOC-HAR-COI0005,HAR-C0024,,Certificate of Insurance (ACORD 25),HAR-COI0005_City.pdf,2026-01-19,Generated,E008,1
DOC-HAR-COI0007,HAR-C0009,,Certificate of Insurance (ACORD 25),HAR-COI0007_Kiewit.pdf,2026-02-23,Generated,E010,1
DOC-HAR-COI0009,HAR-C0016,,Certificate of Insurance (ACORD 25),HAR-COI0009_Amazon.com.pdf,2026-01-23,Generated,E007,1
DOC-HAR-COI0010,HAR-C0009,,Certificate of Insurance (ACORD 25),HAR-COI0010_Home.pdf,2025-12-19,Generated,E010,1
DOC-HAR-COI0012,HAR-C0007,,Certificate of Insurance (ACORD 25),HAR-COI0012_Kiewit.pdf,24-Feb-2026,Generated,E011,1
DOC-HAR-COI0013,HAR-C0012,,Certificate of Insurance (ACORD 25),HAR-COI0013_Skanska.pdf,2025-11-03,Generated,E010,1
DOC-HAR-COI0015,HAR-C0002,,Certificate of Insurance (ACORD 25),HAR-COI0015_Amazon.com.pdf,2025-11-18,Generated,E012,1
DOC-HAR-COI0020,HAR-C0023,,Certificate of Insurance (ACORD 25),HAR-COI0020_City.pdf,2026-02-06,Generated,E009,1
DOC-HAR-COI0021,HAR-C0003,,Certificate of Insurance (ACORD 25),HAR-COI0021_CBRE.pdf,2025-10-25,Generated,E011,1
DOC-HAR-COI0024,HAR-C0010,,Certificate of Insurance (ACORD 25),HAR-COI0024_City.pdf ,2026-01-22,Generated,E006,1
DOC-HAR-COI0025,HAR-C0008,,Certificate of Insurance (ACORD 25),HAR-COI0025_Whiting-Turner.pdf,2026-02-10,Generated,E009,1
DOC-HAR-COI0026,HAR-C0010,,Certificate of Insurance (ACORD 25),HAR-COI0026_Whiting-Turner.pdf,11/12/25,Generated,E006,1
DOC-HAR-COI0027,HAR-C0030,,Certificate of Insurance (ACORD 25),HAR-COI0027_Walmart.pdf,21-Mar-2026,Generated,E009,1
DOC-HAR-COI0030,HAR-C0010,,Certificate of Insurance (ACORD 25),HAR-COI0030_Kiewit.pdf,2025-12-17,Generated,E006,1
DOC-HAR-COI0031,HAR-C0023,,Certificate of Insurance (ACORD 25),HAR-COI0031_Turner.pdf,"Nov 30, 2025",Generated,E009,1
DOC-HAR-COI0032,HAR-C0028,,Certificate of Insurance (ACORD 25),HAR-COI0032_Skanska.pdf,2025-10-05,Generated,E010,1
DOC-HAR-COI0033,HAR-C0016,,Certificate of Insurance (ACORD 25),HAR-COI0033_JLL.pdf,11/03/2025,Generated,E007,1
