Supplier Invoice Number,Po Number,Po Line,Item Id,Invoiced Qty,Unit Price,Extended
INV2640916,PO-31025,4,MOUN-1081,500,61.24,30620.0
SI7604679,PO-31026,1,SPRO-1015,160,74.58,11932.8
SI3056949,PO-31027,1,SHEA-1068,105,180.78,18981.9
SI3056949,PO-31027,3,SHEA-1068,105,180.78,18981.9
SI3056949,PO-31027,4,SHEA-1049,500,153.4,76700.0
92029408 ,PO-31028,1,SPRO-1078 ,50,69.25,3462.5
92029408,PO-31028,2,AC-1086,10,2390.86,23908.6
92029408,PO-31028,3,SIG-SF18-80,131,24.6,3222.6
9358121,PO-31029,1,ROLL-1021,101,81.74,8255.74
INV6348124,PO-31030,1,SHEA-1088,100,189.79,18979.0
INV6348124,PO-31030,2,SPRO-1027,100,77.98,7798.0
INV6348124,PO-31030,3,SHEA-1088,91,197.38,17961.58
INV6348124,PO-31030,4,SHEA-1088,45,189.79,8540.55
SI4515505,PO-31031,1,SHEA-1025,500,153.95000000000002,76975.0
SI4515505,PO-31031,2,MOUN-1083,50,87.77,4388.5
INV7694626,PO-31032,1,GEAR-1073,77,1938.75,149283.75
INV7694626,PO-31032,2,SHEA-1038,50,295.28000000000003,14764.0
INV7694626,PO-31032,3,GEAR-1073,77,1938.75,149283.75
INV5342354,PO-31033,1,SHEA-1037,25,99.06,2476.5
INV5342354,PO-31033,2,SHEA-1037,65,99.06,6438.9
INV5342354,PO-31033,3,SPRO-1027,183,77.98,14270.34
SI8848852,PO-31034,1,SHEA-1003,50,235.72,11786.0
SI8848852,PO-31034,2,SHEA-1038,101,295.28000000000003,29823.28
SI8848852,PO-31034,3,SHEA-1045,25,47.68,1192.0
7559349,PO-31035,2,TIMI-1058,25,85.29,2132.25
3259015,PO-31036,2,SPRO-1055,19,26.94,511.86
SI631213,PO-31037,1,SPRO-1004,177,42.84,7582.68
91661172 ,PO-31038,1,AC-1040,250,609.44,152360.0
91661172,PO-31038,3,TIMI-1071,136,74.85000000000001,10179.6
INV7348332,PO-31040,1,SHEA-1064,500,139.88,69940.0
INV7348332,PO-31040,2,SHEA-1064,23,137.08,3152.84
INV7348332,PO-31040,3,SHEA-1072,11,101.96000000000001,1121.56
99200340,PO-31041,1,SKF-6205-2RS1,98,3.55,347.9
99200340,PO-31041,2,SPRO-1076,141,13.24,1866.84
99200340,PO-31041,3,SKF-6308-2Z,192,10.25,1968.0
2405897,PO-31042,1,SPRO-1050,250,12.85,3212.5
2405897,PO-31042,2,SPRO-1050,53,13.36,708.08
2405897,PO-31042,3,SPRO-1050,50,12.85,642.5
2405897,PO-31042,4,SPRO-1050,25,12.85,321.25
INV7638244,PO-31043 ,1,ULI-S-4123,170,31.62,5375.4
INV7638244,PO-31043,2,AC-1086,10,2510.4,25104.0
INV7638244,PO-31043,3,SPRO-1078,50,69.25,3462.5
SI4061254,PO-31044,1,GEAR-1010,100,2784.15,278415.0
95977332,PO-31045,1,SHEA-1072,11,101.96000000000001,1121.56
95977332,PO-31045,2,SHEA-1072,250,101.96000000000001,25490.0
95977332,PO-31045,3,MOUN-1008,52,71.79,3733.08
SI4442108,PO-31046,1,ROLL-1021,101,81.74,8255.74
SI4442108,PO-31046,2,SHEA-1035,25,152.98,3824.5
INV9660187,PO-31047,1,SKF-6205-2RS1,25,3.55,88.75
INV9660187,PO-31047,2,DOD-TXT315,215,1180.0,253700.0
INV9660187,PO-31047,3,DOD-TXT315 ,500,1180.0,590000.0
SI9033609,PO-31048,1,SPRO-1009,25,24.54,613.5
SI9033609,PO-31048,2,MOUN-1008,250,71.79,17947.5
SI9033609,PO-31048,3,SHEA-1072,11,105.02,1155.22
SI9033609,PO-31048,4,SHEA-1064,100,141.25,14125.0
5648433,PO-31049,1,TIMI-1071,136,74.85000000000001,10179.6
5648433,PO-31049,2,TIMI-1071,136,74.85000000000001,10179.6
5648433,PO-31049 ,3,SHEA-1028,22,284.6,6261.2
SI4693485,PO-31050,1,SHEA-1088,91,189.79,17270.89
SI4693485,PO-31050,2,SHEA-1088,91,189.79,17270.89
SI4693485,PO-31050,3,SHEA-1088,500,189.79,94895.0
INV5740380,PO-31051,1,TIMI-1017,500,50.69,25345.0
96832322,PO-31052 ,1,KIM-G10,281,11.4,3203.4
INV3391737,PO-31053,1,TIMI-1058,166,84.45,14018.7
INV3391737,PO-31053,2,TIMI-1058,166,86.14,14299.24
INV3391737,PO-31053,3,TIMI-1014,500,49.480000000000004,24740.0
INV3391737,PO-31053,4,TIMI-1058,166,83.61,13879.26
91637374,PO-31054,1,AC-1054,168,1828.58,307201.44
1684698,PO-31055,1,3M-SF401AF,25,4.05,101.25
1684698,PO-31055,2,3M-SF401AF,84,4.05,340.2
SI2123422,PO-31056,1,SHEA-1088,91,189.79,17270.89
SI2123422,PO-31056,2,SHEA-1088,91,193.59,17616.69
SI2123422,PO-31056,3,SHEA-1088,91,189.79,17270.89
SI2123422,PO-31056,4,SHEA-1088,91,189.79,17270.89
INV206319,PO-31057,1,SHEA-1045,50,47.68,2384.0
INV206319,PO-31057,2,GEAR-1073,77,1899.97,146297.69
INV206319,PO-31057,3,GEAR-1073,100,1938.75,193875.0
INV206319,PO-31057,4,AC-1048,24,1745.47,41891.28
SI7699281,PO-31059,1,SPRO-1041,135,35.35,4772.25
SI7699281,PO-31059,2,SPRO-1078,13,71.33,927.29
94566515,PO-31060,1,GEAR-1080,179,1484.33,265695.07
94566515,PO-31060,2,GEAR-1080,250,1589.72,397430.0
94566515,PO-31060,3,TIMI-1030,137,66.14,9061.18
INV9233430,PO-31061,2,MOUN-1034,35,24.53,858.55
INV9233430,PO-31061,3,AC-1057,81,687.08,55653.48
4562271,PO-31062,2,SIG-SF18-80,131,24.6,3222.6
4562271,PO-31062,3,SPRO-1002,25,65.84,1646.0
646076,PO-31063,1,SHEA-1064,23,139.88,3217.24
4670772,PO-31064,1,SPRO-1002,25,65.18,1629.5
4670772,PO-31064,2,SPRO-1078,13,69.25,900.25
4670772,PO-31064,3,ROLL-1053,109,86.10000000000001,9384.9
4670772,PO-31064,4,SPRO-1078,50,72.71,3635.5
8305112,PO-31065,1,SPRO-1050,53,12.85,681.05
8305112,PO-31065,2,AC-1033,142,1126.07,159901.94
8305112,PO-31065,3,AC-1033,142,1093.27,155244.34
6947904,PO-31066,1,3M-SF401AF,84,4.05,340.2
6947904,PO-31066,2,3M-SF401AF ,84,4.05,340.2
6947904,PO-31066,3,HEN-243,240,22.1,5304.0
INV5558310,PO-31067,1,AC-1057,10,687.08,6870.8
INV5558310,PO-31067,2,MOUN-1034,500,24.77,12385.0
INV5558310,PO-31067,3,TIMI-1056,100,17.21,1721.0
SI9802172,PO-31068,1,SHEA-1038,101,295.28000000000003,29823.28
SI9802172,PO-31068,2,SHEA-1003,25,240.43,6010.75
SI9802172,PO-31068,3,GEAR-1073,77,1938.75,149283.75
99058267,PO-31069,1,ROLL-1053,109,86.10000000000001,9384.9
9837104,PO-31070,1,SPRO-1002,132,65.84,8690.88
9837104,PO-31070,2,SPRO-1078,13,67.86,882.18
9837104,PO-31070,3,SPRO-1078,500,69.25,34625.0
INV3066238,PO-31071 ,1,SPRO-1061,163,87.28,14226.64
INV3066238,PO-31071,2,MOUN-1034,50,23.82,1191.0
INV3066238,PO-31071,3,SPRO-1061,500,87.28,43640.0
SI4471251,PO-31072,1,MOUN-1029,103,86.28,8886.84
3279767,PO-31073,1,SHEA-1072,11,105.02,1155.22
3279767,PO-31073,2,MOUN-1008,52,71.79,3733.08
SI1658736,PO-31074,1,SPRO-1041,135,35.35,4772.25
SI1658736,PO-31074,2,ULI-S-4123,170,31.0,5270.0
SI1658736,PO-31074,3,SIG-SF18-80,131,24.6,3222.6
SI1658736,PO-31074,4,AC-1085,61,373.08,22757.88
1177837,PO-31075,1,TIMI-1071,10,74.85000000000001,748.5
1177837,PO-31075,2,SHEA-1028,250,284.6,71150.0
96901149 ,PO-31076,1,BRI-HHCS-0500-13-200-G8,79,44.75,3535.25
96901149,PO-31076,2,AC-1054,168,1865.15,313345.2
96901149,PO-31076,3,BRI-HHCS-0500-13-200-G8,79,45.2,3570.8
INV9588895,PO-31077,1,GEAR-1080,179,1484.33,265695.07
INV9588895,PO-31077,2,TIMI-1030,137,70.11,9605.07
INV9588895,PO-31077,3,TIMI-1030,137,66.14,9061.18
INV9588895,PO-31077,4,GEAR-1080,179,1484.33,265695.07
INV2218397,PO-31078,1,GEAR-1080,179,1484.33,265695.07
94757308,PO-31079,1,GAT-B62,289,12.7,3670.3
94757308,PO-31079,2,SHEA-1035 ,193,148.52,28664.36
94757308,PO-31079,3,GAT-B62,500,13.21,6605.0
94757308,PO-31079,4,GEAR-1016,122,2265.26,276361.72
4758210,PO-31080,1,SPRO-1050,53,12.85,681.05
SI6624399 ,PO-31081,1,MOUN-1018,95,106.95,10160.25
SI6624399,PO-31081,2,TIMI-1056,15,17.21,258.15
SI6624399,PO-31081,3,MOUN-1034,35,23.82,833.7
93294665,PO-31082,1,TIMI-1014,50,49.480000000000004,2474.0
SI3304553,PO-31083,1,SPRO-1041,250,35.35,8837.5
SI3304553,PO-31083,2,AC-1086,147,2390.86,351456.42
SI3304553,PO-31083,3,SPRO-1078,250,69.25,17312.5
SI3304553,PO-31083,4,AC-1085,100,365.76,36576.0
92876398,PO-31084,1,GEAR-1080,179,1484.33,265695.07
5821287,PO-31085,1,GEAR-1010,85,2728.47,231919.95
5821287,PO-31085,2,ROLL-1012 ,50,47.52,2376.0
5821287,PO-31085,3,GEAR-1010,85,2895.52,246119.2
91347766,PO-31086,2,DOD-TXT315,215,1180.0,253700.0
SI9755882,PO-31087,1,SHEA-1072,100,106.04,10604.0
3456834,PO-31088,3,SPRO-1027,91,77.98,7096.18
INV6468586,PO-31089,1,MOUN-1083,250,87.77,21942.5
7597081,PO-31090,1,TIMI-1058,166,84.45,14018.7
SI5134844,PO-31091,1,SPRO-1050,10,12.85,128.5
SI5134844,PO-31091,2,AC-1033,50,1137.0,56850.0
SI5134844,PO-31091,3,AC-1033,142,1093.27,155244.34
SI5134844,PO-31091,4,AC-1033,142,1093.27,155244.34
96217029,PO-31092,1,3M-SF401AF,25,4.05,101.25
96217029,PO-31092,2,KIM-G10,10,11.4,114.0
96217029,PO-31092,3,3M-SF401AF,250,4.05,1012.5
95753238,PO-31093,1,TIMI-1058,166,84.45,14018.7
95753238,PO-31093,2,TIMI-1058,166,84.45,14018.7
95753238,PO-31093,3,TIMI-1014,250,48.99,12247.5
6878908,PO-31094,1,HEN-243,100,22.54,2254.0
6878908,PO-31094,2,3M-SF401AF,84,4.05,340.2
6878908,PO-31094,3,KIM-G10,25,11.97,299.25
INV2881961,PO-31095,1,SPRO-1070,144,22.96,3306.24
INV2881961,PO-31095 ,2,SPRO-1055 ,50,26.94,1347.0
INV2881961,PO-31095,3,SPRO-1055,25,26.94,673.5
4084421,PO-31096,1,TIMI-1032,10,32.99,329.9
4084421,PO-31096,2,AC-1074,130,1629.88,211884.4
4084421,PO-31096,3,SPRO-1015,500,74.58,37290.0
SI6435742,PO-31097,2,TIMI-1014,94,49.480000000000004,4651.12
SI9769797,PO-31098,1,AC-1054,168,1865.15,313345.2
SI9769797,PO-31098,2,AC-1054,168,1865.15,313345.2
SI9769797,PO-31098,3,BRI-HHCS-0500-13-200-G8,79,46.09,3641.11
SI9769797,PO-31098,4,BRI-HHCS-0500-13-200-G8,79,44.75,3535.25
98341182,PO-31099,1,SHEA-1049,191,153.4,29299.4
SI1798694,PO-31100,2,SHEA-1072,500,101.96000000000001,50980.0
95318323,PO-31101,1,MOUN-1083,138,87.77,12112.26
95318323,PO-31101,2,SHEA-1025,10,152.41,1524.1
95318323 ,PO-31101,3,MOUN-1083 ,50,87.77,4388.5
9394749,PO-31102,1,SHEA-1088,100,189.79,18979.0
9394749,PO-31102,2,SHEA-1037,130,99.06,12877.8
SI2061471,PO-31103,1,SHEA-1068,105,180.78,18981.9
SI2061471,PO-31103 ,2,SHEA-1049,25,153.4,3835.0
SI2061471,PO-31103,3,SHEA-1049,25,153.4,3835.0
SI2061471,PO-31103,4,SHEA-1049,191,153.4,29299.4
97342566,PO-31104,1,GAT-B62,289,12.7,3670.3
97342566,PO-31104,2,GEAR-1016,122,2355.87,287416.14
97342566,PO-31104,3,ROLL-1021,25,81.74,2043.5
97342566,PO-31104,4,ROLL-1021,10,81.74,817.4
6013528,PO-31105 ,1,SHEA-1088,91,189.77,17269.07
6013528,PO-31105,2,SPRO-1027,250,77.98,19495.0
6013528,PO-31105,3,SPRO-1027,183,77.98,14270.34
7473736,PO-31106,1,TIMI-1014,189,49.480000000000004,9351.72
7473736,PO-31106,2,TIMI-1014,189,49.480000000000004,9351.72
7473736,PO-31106,3,TIMI-1058,166,82.76,13738.16
99749431,PO-31107,1,SHEA-1037,130,102.03,13263.9
98083799,PO-31108,1,AC-1048,24,1745.47,41891.28
98083799,PO-31108,2,SHEA-1038,100,295.28000000000003,29528.0
98083799,PO-31108,3,GEAR-1073,500,1938.75,969375.0
95802295,PO-31109,2,TIMI-1058,50,86.07,4303.5
SI6444561,PO-31110,1,TIMI-1030,137,64.82,8880.34
SI9255157,PO-31111,1,GEAR-1060,500,3102.4300000000003,1551215.0
SI9255157,PO-31111,2,TIMI-1020,163,52.03,8480.89
SI9255157,PO-31111,3,GEAR-1067,151,508.05,76715.55
SI9255157,PO-31111,4,MOUN-1062,97,135.75,13167.75
94368276,PO-31112,1,GEAR-1080,179,1484.33,265695.07
94368276,PO-31112,2,TIMI-1030,137,66.14,9061.18
94368276,PO-31112,3,GEAR-1080,500,1484.33,742165.0
INV2818920,PO-31113,1,SPRO-1070,144,22.96,3306.24
INV2818920,PO-31113,2,SPRO-1070,10,22.96,229.6
INV2818920,PO-31113,3,SPRO-1055,38,26.94,1023.72
7461611,PO-31114,1,SPRO-1050,250,12.72,3180.0
7461611,PO-31114,2,SPRO-1050,53,12.85,681.05
4380612,PO-31115 ,1,GEAR-1060,10,3102.4300000000003,31024.3
4380612,PO-31115,2,GEAR-1067,100,498.09000000000003,49809.0
4380612,PO-31115,3,ROLL-1079,24,102.65,2463.6
9342146,PO-31116,1,TIMI-1056,15,17.21,258.15
SI2517757,PO-31117,1,TIMI-1058,100,84.45,8445.0
SI2517757,PO-31117,2,TIMI-1058,166,84.45,14018.7
SI2517757,PO-31117,3,TIMI-1058,25,84.45,2111.25
SI2517757,PO-31117,4,TIMI-1058,25,84.45,2111.25
9259945,PO-31118,2,TIM-LM11949-LM11910,10,7.83,78.3
9259945,PO-31118,3,MOUN-1031,50,38.78,1939.0
9259945,PO-31118,4,DOD-TXT315,215,1203.6,258774.0
INV726543,PO-31119,1,SHEA-1028,44,284.6,12522.4
INV726543,PO-31119,2,AC-1040,171,609.44,104214.24
INV726543,PO-31119,3,SHEA-1028,100,284.6,28460.0
2082537,PO-31120,1,SPRO-1015,160,74.58,11932.8
2082537,PO-31120,2,SKF-6308-2Z,192,10.25,1968.0
2082537,PO-31120,3,MOUN-1031,100,38.78,3878.0
94060450,PO-31121,1,SHEA-1007,100,129.94,12994.0
INV5541275,PO-31122,1,SHEA-1038,101,295.28000000000003,29823.28
INV5541275,PO-31122,2,AC-1063,199,1677.24,333770.76
5299984,PO-31123,1,TIMI-1071,136,74.85000000000001,10179.6
5299984,PO-31123,2,SHEA-1028,25,284.6,7115.0
5890986,PO-31124,1,MOUN-1083 ,138,87.77,12112.26
SI6772560,PO-31125,1,SIG-SF18-80,100,24.35,2435.0
SI6772560,PO-31125,2,SIG-SF18-80,131,24.6,3222.6
96041340,PO-31126,1,SPRO-1050,53,12.85,681.05
96041340,PO-31126,2,AC-1033,100,1093.27,109327.0
SI3260903,PO-31127,1,GEAR-1080,179,1484.33,265695.07
SI3260903,PO-31127,2,TIMI-1030,137,66.14,9061.18
99004703,PO-31128,1,SPRO-1027,250,77.98,19495.0
92595741,PO-31129,1,AC-1054,168,1883.44,316417.92
INV8069868,PO-31130,1,SPRO-1009,125,24.54,3067.5
INV8069868,PO-31130,2,SPRO-1009,172,24.54,4220.88
INV8069868,PO-31130,3,MOUN-1008 ,52,71.79,3733.08
91844964,PO-31131,1,AC-1006,169,2109.21,356456.49
9711989,PO-31132,1,SPRO-1050,53,12.85,681.05
9711989,PO-31132,2,AC-1033,142,1093.27,155244.34
9711989,PO-31132,3,SPRO-1050,250,12.59,3147.5
95483298,PO-31133,1,AC-1054,50,1828.58,91429.0
INV5365710,PO-31134,1,MOUN-1083,25,87.77,2194.25
INV5365710,PO-31134,2,TIMI-1000,84,43.53,3656.52
INV5365710,PO-31134,3,MOUN-1083,138,87.77,12112.26
INV5365710,PO-31134,4,MOUN-1083,138,87.77,12112.26
SI1733959,PO-31135,1,SHEA-1045,169,47.68,8057.92
SI1733959,PO-31135,2,AC-1048,24,1745.47,41891.28
SI3436835,PO-31136,1,AC-1048,250,1745.47,436367.5
SI7132334,PO-31137,1,TIMI-1000 ,10,45.71,457.1
SI7132334,PO-31137,2,SPRO-1087,167,44.550000000000004,7439.85
97037180,PO-31138,1,GEAR-1016,250,2378.52,594630.0
97037180,PO-31138,2,GEAR-1016,122,2310.57,281889.54
97037180,PO-31138,3,GEAR-1016,50,2265.26,113263.0
97037180,PO-31138,4,GAT-B62,289,12.7,3670.3
93940035,PO-31139,1,ROLL-1012,182,47.52,8648.64
93940035,PO-31139,2,SHEA-1077,28,67.98,1903.44
93940035,PO-31139,3,TIMI-1017,500,50.69,25345.0
93940035,PO-31139,4,ROLL-1012,10,47.52,475.2
SI1368756,PO-31140,1,SPRO-1004,177,42.84,7582.68
SI1368756,PO-31140,2,SHEA-1068,105,180.78,18981.9
7024660,PO-31141,1,SPRO-1027,10,77.98,779.8
7024660,PO-31141,2,SHEA-1037,25,99.06,2476.5
95840640,PO-31142,1,SHEA-1025,186,153.95000000000002,28634.7
95840640,PO-31142,2,SHEA-1025,186,153.95000000000002,28634.7
95840640,PO-31142 ,3,TIMI-1000,84,43.53,3656.52
448751,PO-31143,1,GEAR-1066,100,1270.02,127002.0
448751,PO-31143 ,2,SPRO-1011,500,118.48,59240.0
448751,PO-31143,3,SPRO-1011,148,124.4,18411.2
448751,PO-31143,4,TIMI-1075,50,72.76,3638.0
95549720,PO-31144,1,SHEA-1037,65,99.06,6438.9
95549720,PO-31144 ,2,SHEA-1037,130,99.06,12877.8
95549720,PO-31144,3,SHEA-1037,130,99.06,12877.8
109103,PO-31145,1,SPRO-1041,67,35.35,2368.45
SI8732439,PO-31146,2,TIMI-1075,50,72.76,3638.0
SI8732439,PO-31146,3,BRI-HHCS-0500-13-200-G8,79,44.75,3535.25
INV5198809,PO-31147,1,SHEA-1077,50,67.98,3399.0
8468911,PO-31148,1,AC-1074,130,1663.14,216208.2
91551864 ,PO-31149,1,SPRO-1078,13,71.33,927.29
91551864,PO-31149,3,SHEA-1007,161,129.94,20920.34
91551864,PO-31149,4,AC-1086,147,2390.86,351456.42
98953038,PO-31150,1,TIMI-1030,137,66.14,9061.18
98953038,PO-31150,2,GEAR-1080,179,1484.33,265695.07
8742021,PO-31151,1,SHEA-1025,186,153.95000000000002,28634.7
8742021,PO-31151,3,MOUN-1083,138,87.77,12112.26
8742021,PO-31151,4,SPRO-1087,167,44.550000000000004,7439.85
INV8727064,PO-31152,1,GEAR-1060,176,3102.4300000000003,546027.68
INV8727064,PO-31152,2,SHEA-1019,52,94.5,4914.0
SI4669700,PO-31153 ,1,SHEA-1035,50,148.52,7426.0
SI4669700,PO-31153,2,GEAR-1016,122,2265.26,276361.72
SI4669700,PO-31153 ,3,GEAR-1016,122,2265.26,276361.72
SI4669700,PO-31153,4,ROLL-1021,50,81.74,4087.0
SI7143444,PO-31155,1,KIM-G10,281,11.4,3203.4
SI7143444,PO-31155,2,3M-SF401AF,84,4.05,340.2
SI5930594,PO-31156,1,SPRO-1050,53,12.59,667.27
SI5930594,PO-31156,2,AC-1033,250,1093.27,273317.5
SI5930594,PO-31156,3,SPRO-1050,53,13.36,708.08
SI5930594,PO-31156,4,SPRO-1050,25,12.85,321.25
SI6466811,PO-31157,2,MOUN-1083,10,87.77,877.7
SI1558178,PO-31158,1,GEAR-1010,42,2784.15,116934.3
INV2123111,PO-31159,1,SHEA-1077,14,68.66,961.24
INV2123111,PO-31159,2,TIMI-1017,173,50.69,8769.37
93181566,PO-31160,1,AC-1033,25,1093.27,27331.75
93181566,PO-31160,2,SPRO-1050,53,12.85,681.05
93181566,PO-31160,3,AC-1033,50,1093.27,54663.5
SI3336768,PO-31161,1,SKF-6308-2Z,192,10.25,1968.0
93318974,PO-31162,2,AC-1033,142,1093.27,155244.34
93318974,PO-31162,3,AC-1033,142,1147.93,163006.06
93318974,PO-31162,4,SPRO-1050,53,13.36,708.08
96661192,PO-31163,1,AC-1048,24,1745.47,41891.28
96661192,PO-31163,2,SHEA-1003,133,235.72,31350.76
9500966,PO-31164,1,SPRO-1050 ,100,12.85,1285.0
9500966,PO-31164,2,AC-1033,142,1093.27,155244.34
9500966,PO-31164,3,AC-1033,142,1093.27,155244.34
4996299,PO-31165,1,SHEA-1038,101,295.28000000000003,29823.28
95876187,PO-31166,2,ULI-S-4123,170,31.0,5270.0
95876187,PO-31166,4,SHEA-1007,161,129.94,20920.34
SI4400080,PO-31167,1,SHEA-1064,23,139.88,3217.24
SI4400080,PO-31167,2,MOUN-1008,25,71.79,1794.75
SI4400080,PO-31167,3,SHEA-1072,11,101.96000000000001,1121.56
93400426 ,PO-31168,1,SPRO-1011,148,118.48,17535.04
95260900,PO-31169,1,HEN-243,50,22.1,1105.0
95260900,PO-31169,2,3M-SF401AF,84,4.05,340.2
SI7324713,PO-31170,1,TIMI-1058,166,85.29,14158.14
SI7324713,PO-31170,2,TIMI-1058,50,84.45,4222.5
SI7324713,PO-31170,3,TIMI-1014,189,50.96,9631.44
2153364,PO-31171,1,SPRO-1070,50,22.96,1148.0
91503695 ,PO-31172,1,AC-1057,81,687.08,55653.48
91503695,PO-31172,2,AC-1057,25,687.08,17177.0
91503695,PO-31172,3,SPRO-1061,10,87.28,872.8
91503695,PO-31172,4,MOUN-1034,35,23.82,833.7
8398455,PO-31173,2,SHEA-1077,10,67.98,679.8
INV5261305,PO-31174,1,MOUN-1018,95,109.13,10367.35
INV5261305,PO-31174,2,AC-1057,100,687.08,68708.0
INV5261305,PO-31174,3,TIMI-1056,15,17.21,258.15
3014766,PO-31175,1,SPRO-1076,141,12.98,1830.18
3014766,PO-31175 ,2,SKF-6308-2Z,192,10.25,1968.0
3014766,PO-31175,3,SPRO-1015,160,74.58,11932.8
3014766,PO-31175,4,GEAR-1084,195,3456.0,673920.0
SI3024328,PO-31176,1,GAT-B62,25,12.7,317.5
SI3024328,PO-31176,2,GEAR-1016,50,2265.26,113263.0
SI3024328,PO-31176,3,GEAR-1016,122,2265.26,276361.72
SI3024328,PO-31176,4,GAT-B62,289,12.7,3670.3
9550811,PO-31178,1,TIMI-1056,15,17.9,268.5
9550811,PO-31178,2,SPRO-1061,163,87.28,14226.64
9550811,PO-31178,3,MOUN-1034,35,23.82,833.7
9550811,PO-31178,4,TIMI-1056,15,17.21,258.15
5443768,PO-31179,1,TIMI-1058,100,84.45,8445.0
5443768,PO-31179,2,TIMI-1058,166,84.45,14018.7
5443768 ,PO-31179,3,TIMI-1058,250,84.45,21112.5
5443768,PO-31179,4,TIMI-1058,500,84.45,42225.0
96646164,PO-31180,1,SPRO-1050,25,12.59,314.75
96646164,PO-31180,2,AC-1033,142,1093.27,155244.34
SI3058951,PO-31181,1,GEAR-1066,157,1295.42,203380.94
SI3058951,PO-31181,2,TIMI-1075,41,72.76,2983.16
INV724163,PO-31182,1,KIM-G10,100,11.17,1117.0
INV724163,PO-31182,2,HEN-243,240,22.32,5356.8
