Payment Id,Supplier Id,Supplier Invoice Number,Payment Date,Amount,Method,Check Number,Bank Account
KBD-APP00101,KBD-V004,9711989,2025-10-05,159131.74,Check,,1000
KBD-APP00102,KBD-V006,95483298,2025-07-04,91429.0,Check,21029,1000
KBD-APP00103,KBD-V002,INV5365710 ,10/16/2025,30075.29,ACH,11882,1000
KBD-APP00104,KBD-V005,SI1733959,2025-10-12,49949.2,Card,15080,1000
KBD-APP00105,KBD-V005,SI3436835,2025-11-13,436502.78,ACH ,10494,1000
KBD-APP00106,KBD-V002,SI7132334,11/21/25,8059.19,Check,,1000
KBD-APP00107,KBD-V010,97037180,2025-08-14,993452.84,ACH,28733,1000
KBD-APP00108,KBD-V009,93940035,2026-03-03,36372.28,Check,,1000
KBD-APP00109,KBD-V008,SI1368756,2026-01-10,26604.65,Check,10408,1000
KBD-APP00110,KBD-V017,7024660,2026-01-29,3256.3,ACH,,1000
KBD-APP00111,KBD-V002,95840640,2025-12-03,60998.44,ACH,,1000
KBD-APP00112,KBD-V006,448751,2025-07-09,208291.2,Check,25325,1000
KBD-APP00113,KBD-V017,95549720,2025-07-29,32343.06,Card,14816,1000
KBD-APP00114,KBD-V006,SI8732439,2025-07-27,7173.25,ACH,,1000
KBD-APP00115,KBD-V009,INV5198809,2025-11-03,3413.67,Card,,1000
KBD-APP00116,KBD-V003,8468911,2025-07-22,216208.2,ACH,,1000
KBD-APP00117,KBD-V014,98953038,2025-12-21,274756.25,ACH,,1000
KBD-APP00118,KBD-V002,8742021,2025-12-04,48218.74,Check,13867,1000
KBD-APP00119,KBD-V001,INV8727064,2026-01-06,550941.68,Check,,1000 
KBD-APP00120,KBD-V010,SI4669700,06/25/25,564236.44,Card,14347,1000
KBD-APP00121,KBD-V007,SI7143444,"Jul 31, 2025",3543.6,Check,,1000
KBD-APP00122,KBD-V004,SI5930594,2025-10-12,275014.1,Card,22588,1000
KBD-APP00123,KBD-V009,INV2123111,2025-06-19,9874.44,ACH,14954,1000
KBD-APP00124,KBD-V004,93181566,2026-02-28,82676.3,Check,,1000
KBD-APP00125,KBD-V003,SI3336768,2025-07-12,1995.06,ACH,,1000
KBD-APP00126,KBD-V004,93318974,2026-03-27,318958.48,Check,,1000
KBD-APP00127,KBD-V005,96661192,2025-08-21,73242.04,ACH,,1000
KBD-APP00128,KBD-V004,9500966,2026-02-14,311773.68,Check,12153,1000
KBD-APP00129,KBD-V011,SI4400080,2025-11-25,6133.55,Check,25582,1000
KBD-APP00130,KBD-V006,93400426,2025-08-01,17548.14,Card,24911,1000
KBD-APP00131,KBD-V007,95260900,02/04/26,1445.2,ACH,,1000
KBD-APP00132,KBD-V013,SI7324713,2025-09-03,28012.08,ACH,18376,1000
KBD-APP00133,KBD-V016,2153364,2025-12-17,1148.0,ACH,23650,1000
KBD-APP00134,KBD-V015,91503695,2025-12-06,74536.98,ACH,29940,1000
KBD-APP00135,KBD-V009,8398455,2025-11-28,761.82,Check,,1000
KBD-APP00136,KBD-V015,INV5261305,2026-02-15,79333.5,ACH,,1000
KBD-APP00137,KBD-V003,3014766,2026-02-13,689790.26,Card,28763,1000
KBD-APP00138,KBD-V010,SI3024328,26-Nov-2025,393612.52,Card,,1000
KBD-APP00139,KBD-V015,9550811,2026-03-31,15586.99,Check,,1000
KBD-APP00140,KBD-V013,5443768,2026-03-23,85801.2,Check,16678,1000
KBD-APP00141,KBD-V004,96646164,2025-07-19,155559.09,ACH,18380,1000
KBD-APP00142,KBD-V006,SI3058951,2025-08-17,206436.93,ACH,29390,1000
KBD-APP00143,KBD-V007,INV724163,2026-02-18,7384.0,Card,,1000
KBD-APP00144,KBD-V008,96006366,2026-01-22,90390.0,Card,,1000
KBD-APP00145,KBD-V014,96163998,2025-11-17 ,266356.47,Card,14250,1000
KBD-APP00146,KBD-V015,SI9961460,2025-09-28,6985.51,Card,17782,1000
KBD-APP00147,KBD-V002,SI844930,11-Feb-2026,445.5,Check,,1000
KBD-APP00148,KBD-V010,SI8925461,2025-11-13,14852.0,ACH,,1000
KBD-APP00149,KBD-V008,SI9082381,2026-03-08,8286.87,ACH,13016,1000
KBD-APP00150,KBD-V010,SI8506966,2025-11-06,92985.35,ACH,22366,1000
KBD-APP00151,KBD-V006,SI217493,2026-01-16,329089.54,Check,25502,1000
KBD-APP00152,KBD-V015,INV3621013,"Oct 20, 2025",358371.85,ACH,,1000
KBD-APP00153,KBD-V006,95671661,12/10/2025,61059.0,ACH,16947,1000
KBD-APP00154,KBD-V013,INV2256463,"Dec 10, 2025",9351.72,ACH,,1000
KBD-APP00155,KBD-V002,INV8696889,2025-11-04,83988.6,ACH,,1000
KBD-APP00156,KBD-V013,INV5184272,2025-08-16,60853.45,ACH,16038,1000
KBD-APP00157,KBD-V006,94842569,2025-08-15,22268.55,Check,,1000
KBD-APP00158,KBD-V004,INV5429818,2025-08-08,155244.34,Check,10180,1000
KBD-APP00159,KBD-V015,SI9757803,2026-01-05,55730.39,ACH,,1000
KBD-APP00160,KBD-V001,1789786,09/28/2025,15631.35,ACH,,1000
KBD-APP00161,KBD-V015,SI9018185,2026-01-15,1700.65,ACH,,1000
KBD-APP00162,KBD-V003,9810290,2025-12-11,216563.2,Card,,1000
KBD-APP00163,KBD-V007 ,INV4494787,2026-03-15,8677.5,ACH,,1000
KBD-APP00164,KBD-V013,1336619,2025-12-25,26388.7,ACH,,1000
KBD-APP00165,KBD-V014,INV3835099,2025-06-24,1314129.15,Check,,1000
KBD-APP00166,KBD-V004,99533002,2025-08-16,151222.74,ACH,,1000
KBD-APP00167,KBD-V005,6529587,2025-08-30,880792.92,ACH,,1000
KBD-APP00168,KBD-V013,9127562,2025-11-01,11505.22,ACH,,1000
KBD-APP00169,KBD-V006,SI8103127,2025-08-16,356529.11,Check,,1000
KBD-APP00170,KBD-V011,INV7957484,11/21/25,10328.79,ACH,,1000
KBD-APP00171,KBD-V005,INV9629691,2026-01-17,3543.36,Card,,1000
KBD-APP00172,KBD-V015,INV5696508,2026-03-17,8195.14,Check,,1000
KBD-APP00173,KBD-V018,SI6578947,2026-02-04,246.0,Check,,1000
KBD-APP00174,KBD-V001,94218643,2026-03-20,551590.99,Check,29956,1000
KBD-APP00175,KBD-V011 ,96758296,2026-02-08,10586.8,ACH,,1000
KBD-APP00176,KBD-V006,9761925,2026-01-13,17535.04,Card,,1000
KBD-APP00177,KBD-V004,INV5184730,2026-02-15,155939.17,ACH,17703,1000
KBD-APP00178,KBD-V017,INV1314900,2025-09-25,31541.23,Card,,1000
KBD-APP00179,KBD-V011,INV4727820,"Aug 17, 2025",9075.52,Card,14269,1000
KBD-APP00180,KBD-V002,SI119762,09/09/25,85827.54,ACH,,1000
KBD-APP00181,KBD-V010,5328758,2025-09-13,289772.96,ACH,11111,1000
KBD-APP00182,KBD-V009,6328148,2025-06-09,254308.96,Check,,1000
KBD-APP00183,KBD-V012,INV4744587,2025-08-10,299308.16,Check,,1000
KBD-APP00184,KBD-V001,INV5206160,"Oct 14, 2025",5184.0,Card,26715,1000
KBD-APP00185,KBD-V017,97264916,2026-03-11,40307.33,Card,10746,1000
KBD-APP00186,KBD-V003,INV8575934,09/18/25,16850.0,Card,22260,1000
KBD-APP00187,KBD-V003 ,SI4617165,2026-02-20,678497.12,Card,29375,1000
KBD-APP00188,KBD-V019,SI2041771,2026-03-01,665.7,Card,24027,1000
KBD-APP00189,KBD-V008,93302649,2025-10-23,34147.26,Card,,1000
KBD-APP00190,KBD-V011,INV6862298,2025-07-18,4220.88,Check,,1000
KBD-APP00191,KBD-V015,INV4176752,2025-12-14,8788.63,Check,,1000
KBD-APP00192,KBD-V016,91364630,2025-12-12,2230.74,Card,11012,1000
KBD-APP00193,KBD-V018,SI6592247,2026-02-27,21331.13,Card,,1000
KBD-APP00194,KBD-V008,93864620,"Sep 19, 2025",51259.1,Card,,1000
KBD-APP00195,KBD-V011,99809757,2026-02-22,4854.64,ACH,,1000
KBD-APP00196,KBD-V004,INV3593183,2025-10-28,156259.49,ACH,,1000
KBD-APP00197,KBD-V002,3062153,2025-12-08,61235.51,Check,,1000
KBD-APP00198,KBD-V006,SI2748175,17-Sep-2025,12563.9,ACH,,1000
KBD-APP00199,KBD-V002,5740867,2025-07-28,14916.91,ACH,16341,1000
KBD-APP00200,KBD-V001,9759450,2025-11-03 ,51859.0,ACH,,1000
KBD-APP00201,KBD-V012,INV5746916,2026-01-31 ,409056.32,ACH,13524,1000
KBD-APP00202,KBD-V003,9750341,2025-10-17,397576.23,Check,,1000
KBD-APP00203,KBD-V010,6200379,01/21/26,280141.84,Check,15475,1000
KBD-APP00204,KBD-V009,95700268,2026-03-17,264569.39,ACH,14009,1000
KBD-APP00205,KBD-V013,SI4561766,2025-12-17,38085.83,ACH,,1000
KBD-APP00206,KBD-V010,96174862,2026-02-28,1270.0,Card,28865,1000
KBD-APP00207,KBD-V003,SI9776651,2025-11-24,12110.51,ACH,26662,1000
KBD-APP00208,KBD-V009,INV824052,2025-11-24,414838.5,Check,14498,1000
KBD-APP00209,KBD-V004,SI1725755,2025-10-11,168094.34,ACH,,1000
KBD-APP00210,KBD-V007,INV4351435,2025-08-18,3364.16,ACH,,1000
KBD-APP00211,KBD-V011,6779292,05/15/2025,4935.08,ACH,,1000
KBD-APP00212,KBD-V001,SI4823123,2025-10-12,2463.6,Card,,1000
KBD-APP00213,KBD-V009,93923550,2025-10-28,23679.32,Card,,1000
KBD-APP00214,KBD-V016,97519776,2025-11-14,13470.0,ACH,12086,1000
KBD-APP00215,KBD-V017,SI3366405,2026-01-07,12993.5,ACH,11313,1000
KBD-APP00216,KBD-V007,INV5400499,2025-06-06,6512.55,ACH,,1000
KBD-APP00217,KBD-V014,INV8229764,2025-08-10,348972.75,ACH,11955,1000
KBD-APP00218,KBD-V018,2587784,2025-08-25,28484.6,Card,,1000
KBD-APP00219,KBD-V004,93235474,2025-11-03,429242.89,ACH,,1000
KBD-APP00220,KBD-V004,9850487,2026-02-25,703336.16,ACH,14567,1000
KBD-APP00221,KBD-V006,99035239,2026-01-07,279703.43,Check,,1000
KBD-APP00222,KBD-V015,SI4235034,2025-12-25,130953.16,Check,13382,1000
KBD-APP00223,KBD-V012,5040474,10/27/2025,104264.57,ACH,13718,1000
KBD-APP00224,KBD-V014,7379500,2026-01-21,283920.57,ACH,,1000
KBD-APP00225,KBD-V004,6183022,2025-10-14,34551.27,ACH,,1000 
KBD-APP00226,KBD-V004,SI7006862,16-Aug-2025,365473.43,Check,19276,1000
KBD-APP00227,KBD-V018,SI5743384,2026-01-03,32664.89,ACH,23898,1000
KBD-APP00228,KBD-V015,7124789,2025-10-03,69880.12,ACH,,1000
KBD-APP00229,KBD-V019,97807069,2025-09-24,5506.5,Check,,1000
KBD-APP00230,KBD-V010,INV2392659 ,2025-08-25,7603.59,ACH,28964,1000
KBD-APP00231,KBD-V010,368598,2025-09-26,284864.91,ACH,,1000
KBD-APP00232,KBD-V017,INV565538,"Nov 30, 2025",53710.57,Card,18536,1000
KBD-APP00233,KBD-V002,INV5451981,2025-12-18,22126.71,Check,,1000
KBD-APP00234,KBD-V014,SI2389111,2025-08-16,799905.38,Check,11279,1000
KBD-APP00235,KBD-V009,SI7831341,2025-11-29,8886.84,ACH,22749,1000
KBD-APP00236,KBD-V011,93741896,2025-09-06,6176.2,ACH,28612,1000
