Receipt Id,Po Number,Supplier Id,Receipt Date,Received By,Packing Slip Number,Carrier,Condition,Inspection Required
RCV-40062,PO-31064,KBD-V018,2026-01-23,E039,PS971183,LTL - Estes,OK,N
RCV-40063,PO-31065,KBD-V004,2025-05-20,E027,PS527432,FedEx Ground,OK,N
RCV-40064,PO-31066 ,KBD-V007,2025-10-07,E033,PS956100,Will Call,OK,N
RCV-40065,PO-31067,KBD-V015,2025-07-12,E036,PS845966,UPS Ground,Damaged carton - contents OK ,N
RCV-40066,PO-31068,KBD-V005,2025-10-07,E028,PS440932,LTL - Estes,Damaged carton - contents OK,N
RCV-40067,PO-31069,KBD-V018,2025-10-11,E031,PS215318,Supplier Truck,Short vs packing slip,N
RCV-40068,PO-31070,KBD-V018,2025-06-05,E026,PS126073,FedEx Ground,OK,N
RCV-40069,PO-31071,KBD-V015,2025-11-27,E036,PS470201,UPS Ground,Short vs packing slip,N
RCV-40070,PO-31072,KBD-V009,2026-03-15,E034,PS721798,UPS Ground,OK,N
RCV-40071,PO-31073,KBD-V011,2025-10-12,E027,PS897961,UPS Ground,OK,N
RCV-40072,PO-31074,KBD-V018,2025-09-24,E038,PS246058,UPS Ground,OK,N
RCV-40073,PO-31075,KBD-V012,2026-03-08,E028,PS783152,FedEx Ground,Damaged carton - contents OK,N
RCV-40074,PO-31076,KBD-V006,2025-08-01,E033,PS823797,LTL - Estes,OK,N
RCV-40075,PO-31077,KBD-V014,2025-07-18,E031,PS235111 ,Will Call,OK,N
RCV-40076,PO-31078,KBD-V014,2025-07-06,E033,PS812316,UPS Ground,OK,N
RCV-40077,PO-31079,KBD-V010,2026-01-17,E026,PS900711,Supplier Truck,OK,N
RCV-40078,PO-31080,KBD-V004,2025-06-18,E032,PS724694,UPS Ground,OK,N
RCV-40079,PO-31081,KBD-V015 ,2025-08-30,E026,PS702121,UPS Ground,OK,N
RCV-40080,PO-31082,KBD-V013,2026-02-26,E039,PS550201,LTL - Estes,OK,N
RCV-40081,PO-31083,KBD-V018,2025-09-02,E038,PS158544,UPS Ground,Damaged carton - contents OK,N
RCV-40082 ,PO-31084,KBD-V014,2025-08-09,E036,PS375337,UPS Ground,Short vs packing slip,N
RCV-40083,PO-31085,KBD-V009,2025-12-02,E031,PS143398 ,UPS Ground,Damaged carton - contents OK,N
RCV-40084,PO-31086,KBD-V003,2026-03-30,E033,PS914924,LTL - Estes,Short vs packing slip,N
RCV-40085,PO-31087,KBD-V011,2025-07-22,E031,PS674566,LTL - Estes,OK,N
RCV-40086,PO-31088,KBD-V017,2026-03-31,E034,PS764368,Will Call,OK,N
RCV-40087,PO-31089,KBD-V002,2025-09-13,E034,PS111062,UPS Ground,Damaged carton - contents OK,N
RCV-40088,PO-31090,KBD-V013,2025-07-20,E026,PS400945,Will Call,OK,N
RCV-40089,PO-31091,KBD-V004,2025-09-05,E030,PS213448,FedEx Ground,OK,N
RCV-40090,PO-31092,KBD-V007,15-Aug-2025,E037,PS336367,FedEx Ground,OK,N
RCV-40091,PO-31093,KBD-V013,2025-05-16,E039 ,PS969674,Supplier Truck ,OK,N
RCV-40092,PO-31094,KBD-V007,2025-06-09,E027 ,PS559376,Will Call,OK,N
RCV-40093,PO-31095,KBD-V016,2026-02-04,E030,PS335189,Supplier Truck,OK,N
RCV-40094,PO-31096,KBD-V003,2025-10-12,E034,PS789891,Will Call,OK,N
RCV-40095,PO-31097,KBD-V013,2026-03-31,E033,PS949714,FedEx Ground,Short vs packing slip,N
RCV-40096,PO-31098,KBD-V006,2025-07-27,E039,PS550512,LTL - Estes,Damaged carton - contents OK,N
RCV-40097,PO-31099,KBD-V008,2025-04-25,E038,PS823437,FedEx Ground,OK,N
RCV-40098,PO-31100,KBD-V011,2026-03-20,E028,PS582440,LTL - Estes,Damaged carton - contents OK,N
RCV-40099 ,PO-31101,KBD-V002,2025-08-13 ,E036,PS732115,Will Call,OK,N
RCV-40100,PO-31102,KBD-V017,2025-06-03,E033,PS217627,UPS Ground ,Damaged carton - contents OK,N
RCV-40101,PO-31103,KBD-V008,2025-09-07,E039,PS426966,Will Call,OK,N
RCV-40102,PO-31104,KBD-V010,2025-07-02,E028,PS773338 ,LTL - Estes,Damaged carton - contents OK,N
RCV-40103,PO-31105,KBD-V017,2025-12-23,E035 ,PS662400,Will Call,OK,N 
RCV-40104,PO-31106,KBD-V013,08/12/2025,E029,PS590215,UPS Ground,OK,N
RCV-40105,PO-31107,KBD-V017,2025-04-29 ,E038,PS142826,FedEx Ground,OK,N
RCV-40106,PO-31108,KBD-V005,2026-03-05,E033,PS745628,UPS Ground,OK,N
RCV-40107,PO-31109,KBD-V013,2025-08-29,E031,PS385372,Supplier Truck ,OK,N
RCV-40108,PO-31110,KBD-V014,2026-03-25,E033,PS397679,FedEx Ground,Short vs packing slip,N
RCV-40109,PO-31111,KBD-V001,2026-02-22,E034,PS752873,FedEx Ground,OK,N
RCV-40110 ,PO-31112,KBD-V014,2026-01-11,E034,PS179718,UPS Ground,Short vs packing slip,N
RCV-40111,PO-31113,KBD-V016,2026-02-02,E035,PS835438,Supplier Truck,Damaged carton - contents OK,N
RCV-40112,PO-31114,KBD-V004,2026-03-28,E026,PS526875,FedEx Ground,OK,N
RCV-40113,PO-31115,KBD-V001,2025-12-22,E036,PS893229,FedEx Ground ,OK,N
RCV-40114,PO-31116,KBD-V015,2026-01-09,E031,PS477770,LTL - Estes,OK,N
RCV-40115,PO-31117,KBD-V013 ,2026-03-11,E034,PS344691 ,Will Call,Short vs packing slip,N
RCV-40116,PO-31118,KBD-V003,2026-02-11,E037 ,PS265465,LTL - Estes,OK,N
RCV-40117,PO-31119,KBD-V012,2026-02-23,E035,PS469523,Will Call,Short vs packing slip,N
RCV-40118,PO-31120,KBD-V003,2025-10-17,E028,PS717057,LTL - Estes,OK,N
RCV-40119,PO-31121,KBD-V018,2025-08-09,E035,PS496096,LTL - Estes,OK,N
RCV-40120,PO-31122,KBD-V005,2025-11-13,E027,PS123790,Supplier Truck,OK,N
RCV-40121,PO-31123,KBD-V012,2025-11-11,E038,PS474525,LTL - Estes,OK,N
RCV-40122,PO-31124,KBD-V002,2025-07-21,E032,PS443253,Will Call,OK,N 
RCV-40123,PO-31125,KBD-V018,2025-12-07,E031,PS747357,LTL - Estes,OK,N
RCV-40124,PO-31126,KBD-V004,2025-07-22,E033,PS872508,Will Call,Short vs packing slip,N
RCV-40125,PO-31127,KBD-V014,2025-05-26,E038,PS705491,Supplier Truck,Damaged carton - contents OK,N
RCV-40126,PO-31128,KBD-V017,09-Dec-2025,E027,PS385161,LTL - Estes ,OK,N
RCV-40127,PO-31129,KBD-V006,2025-09-09,E030,PS917826,Supplier Truck,Damaged carton - contents OK,N
RCV-40128,PO-31130,KBD-V011,2025-06-20,E038,PS951167,FedEx Ground,OK,N
RCV-40129,PO-31131,KBD-V001,2025-10-12,E028,PS936140,LTL - Estes,OK,N
RCV-40130,PO-31132,KBD-V004,2025-08-14,E028,PS984804,Will Call,Short vs packing slip,N
RCV-40131,PO-31133,KBD-V006,2025-05-24,E035,PS290074,FedEx Ground,OK,N
RCV-40132,PO-31134,KBD-V002,2025-08-30,E039,PS609919 ,UPS Ground,Short vs packing slip,N
RCV-40133,PO-31135,KBD-V005,2025-09-06,E033,PS173268,Supplier Truck,Damaged carton - contents OK,N
RCV-40134,PO-31136,KBD-V005,2025-10-01,E028,PS653583,Will Call,OK,N
RCV-40135,PO-31137,KBD-V002,10/08/2025,E036,PS493560,Supplier Truck,Damaged carton - contents OK,N
RCV-40136,PO-31138,KBD-V010,2025-07-06,E038,PS590483,Will Call,OK,N
RCV-40137,PO-31139,KBD-V009,2026-01-29,E031,PS726284,Will Call,OK,N
RCV-40138,PO-31140,KBD-V008,12/02/25,E026,PS483802,Will Call,OK,N
RCV-40139,PO-31141,KBD-V017,2025-12-28,E032,PS875426,Supplier Truck,OK,N
RCV-40140,PO-31142 ,KBD-V002,2025-11-06,E026,PS981017,Will Call,Damaged carton - contents OK,N
RCV-40141,PO-31143,KBD-V006,"Jun 01, 2025",E035,PS947245,UPS Ground,OK,N
RCV-40142,PO-31144,KBD-V017 ,06/25/2025,E034,PS826308,Supplier Truck,OK,N
RCV-40143,PO-31145,KBD-V018,03/31/26,E034,PS439407,FedEx Ground,OK,N
RCV-40144,PO-31146,KBD-V006,2025-06-12,E037,PS900671,Will Call ,OK,N
RCV-40145,PO-31147,KBD-V009,25-Sep-2025,E037,PS627620,Supplier Truck,Short vs packing slip,N
RCV-40146,PO-31148,KBD-V003,2025-06-20,E035,PS767176,LTL - Estes,Short vs packing slip,N
RCV-40147,PO-31149,KBD-V018,2026-03-09,E039,PS182959,UPS Ground,OK,N
RCV-40148,PO-31150,KBD-V014,2025-10-19,E032,PS268405,FedEx Ground,OK,N
RCV-40149,PO-31151,KBD-V002,2025-10-31,E034,PS806221,FedEx Ground,Short vs packing slip,N
RCV-40150,PO-31152,KBD-V001,2025-12-10,E038,PS636457,LTL - Estes,OK,N 
RCV-40151,PO-31153 ,KBD-V010,30-May-2025,E031,PS798704,LTL - Estes,Damaged carton - contents OK,N
RCV-40152,PO-31155,KBD-V007,2025-07-04,E032,PS738951,UPS Ground,OK,N
RCV-40153,PO-31156,KBD-V004,2025-08-23,E031,PS587982,LTL - Estes,Short vs packing slip,N
RCV-40154,PO-31157,KBD-V002,2026-03-24,E036,PS469421,LTL - Estes,OK,N
RCV-40155,PO-31158,KBD-V009,2026-03-31,E039,PS270341,Supplier Truck,Damaged carton - contents OK,N
RCV-40156,PO-31159,KBD-V009,2025-05-10,E033,PS303332,LTL - Estes,OK,N
RCV-40157,PO-31160,KBD-V004,2026-01-10,E026,PS416142,Will Call,OK,N
RCV-40158,PO-31161,KBD-V003,2025-06-07,E031,PS563902,UPS Ground,OK,N
RCV-40159,PO-31162,KBD-V004,2026-01-29,E028 ,PS120553,FedEx Ground,OK,N
RCV-40160,PO-31163,KBD-V005,2025-07-19,E037,PS387037,LTL - Estes,Damaged carton - contents OK,N
RCV-40161,PO-31164,KBD-V004,2025-12-26,E034,PS139785,Supplier Truck,OK,N
RCV-40162,PO-31165,KBD-V005,02/19/26,E039,PS850470,Supplier Truck,OK,N
RCV-40163,PO-31166,KBD-V018,2026-03-13,E026,PS446349,UPS Ground,OK,N
RCV-40164,PO-31167,KBD-V011,2025-10-15,E035,PS530220,Supplier Truck,Damaged carton - contents OK,N
RCV-40165,PO-31168,KBD-V006,2025-06-26,E038,PS309262,LTL - Estes,Damaged carton - contents OK,N
RCV-40166,PO-31169,KBD-V007,2026-01-09,E028,PS987323,LTL - Estes,OK,N
RCV-40167,PO-31170,KBD-V013,2025-07-19,E028,PS395971,LTL - Estes,OK,N
RCV-40168,PO-31171,KBD-V016,2025-11-07,E033,PS418694,LTL - Estes,OK,N
RCV-40169,PO-31172,KBD-V015,2025-10-13,E030,PS787048,Will Call,Short vs packing slip,N
RCV-40170,PO-31173,KBD-V009,2025-10-28,E031,PS194951,FedEx Ground,Damaged carton - contents OK,N
RCV-40171,PO-31174,KBD-V015,2025-12-17,E030,PS496333,FedEx Ground,Damaged carton - contents OK ,N
RCV-40172,PO-31175,KBD-V003,2026-01-10,E029,PS934663,FedEx Ground,Damaged carton - contents OK,N
RCV-40173,PO-31176,KBD-V010,2025-10-09,E033,PS931814,FedEx Ground,OK,N 
RCV-40174,PO-31178,KBD-V015,2026-02-05,E033,PS106165,Supplier Truck,Short vs packing slip,N 
RCV-40175,PO-31179,KBD-V013,2026-02-09,E037,PS837280,FedEx Ground,OK,N
RCV-40176,PO-31180,KBD-V004,2025-05-31,E035,PS385026,Will Call,Damaged carton - contents OK,N
RCV-40177,PO-31181,KBD-V006,2025-07-08,E035,PS482536,LTL - Estes,OK,N
RCV-40178,PO-31182,KBD-V007,2026-01-11,E030,PS441235,LTL - Estes,OK,N
RCV-40179,PO-31183,KBD-V008,2025-12-12,E030,PS744105,LTL - Estes,Damaged carton - contents OK,N
RCV-40180,PO-31184,KBD-V014,2025-10-01,E031,PS554186,LTL - Estes,OK ,N
RCV-40181,PO-31185,KBD-V009,2026-03-28,E034,PS449441,Supplier Truck,OK,N
RCV-40182,PO-31186,KBD-V015,2025-08-02,E036,PS961955,FedEx Ground,OK,N
RCV-40183,PO-31187,KBD-V002,2026-01-02,E038,PS956490,Supplier Truck,OK,N
RCV-40184,PO-31188,KBD-V009,2026-03-01,E035,PS269443,UPS Ground,Damaged carton - contents OK,N
RCV-40185,PO-31189,KBD-V010,10/07/25,E037,PS103622,FedEx Ground,Damaged carton - contents OK,N
RCV-40186,PO-31190,KBD-V008,2026-01-30,E032,PS517932,UPS Ground,OK,N
RCV-40187,PO-31191,KBD-V010,09/29/25,E036,PS363628,Will Call,OK,N 
RCV-40188,PO-31192 ,KBD-V018,03/20/26,E027,PS494455,UPS Ground,OK,N
RCV-40189,PO-31193,KBD-V006,2025-12-11,E027,PS372026,UPS Ground,Damaged carton - contents OK,N
RCV-40190,PO-31194,KBD-V015,2025-09-02 ,E038,PS166410,Will Call,OK,N
RCV-40191,PO-31195,KBD-V006,2025-11-08,E036 ,PS273118,UPS Ground,OK,N
RCV-40192,PO-31196,KBD-V013,2025-11-04,E030,PS433932,FedEx Ground,Damaged carton - contents OK,N
RCV-40193,PO-31197,KBD-V002,2025-10-01,E038,PS829451,LTL - Estes,OK,N
RCV-40194,PO-31198,KBD-V013,2025-07-01,E031,PS253521,Supplier Truck,OK,N
RCV-40195,PO-31199,KBD-V006,2025-07-10,E026,PS467553,Will Call,Damaged carton - contents OK,N
RCV-40196,PO-31200,KBD-V004,2025-06-11 ,E029,PS698552,Will Call,Short vs packing slip,N
RCV-40197,PO-31201,KBD-V015,2025-11-26,E037,PS381135,Supplier Truck,OK,N
RCV-40198,PO-31202 ,KBD-V001,2025-08-26,E038,PS938441,LTL - Estes,Short vs packing slip,N
RCV-40199,PO-31203,KBD-V015,2025-11-29,E034,PS235216,Supplier Truck,OK,N
RCV-40200,PO-31204,KBD-V003,2025-11-08,E034,PS228597,FedEx Ground,OK ,N
RCV-40201,PO-31205,KBD-V007,2026-01-27,E035,PS711025,Supplier Truck,OK,N
RCV-40202,PO-31206,KBD-V013,2025-11-19,E035,PS635679,LTL - Estes,Short vs packing slip,N
RCV-40203,PO-31207,KBD-V008,2026-03-02,E028,PS968225,FedEx Ground,OK,N
RCV-40204,PO-31208,KBD-V010,2026-02-27,E036,PS595809,Will Call,Short vs packing slip,N
RCV-40205,PO-31209,KBD-V005,2026-03-31,E029,PS391607,Supplier Truck,OK,N
RCV-40206,PO-31211,KBD-V014,2025-04-30,E034,PS533579,Supplier Truck,Damaged carton - contents OK,N
RCV-40207,PO-31212,KBD-V004,2026-03-10,E029,PS368739,FedEx Ground,OK,N
RCV-40208,PO-31213,KBD-V004,2025-06-20,E036,PS494657,Supplier Truck,Damaged carton - contents OK,N
RCV-40209,PO-31214,KBD-V005,2025-07-13,E034,PS789308,LTL - Estes,OK,N
RCV-40210,PO-31215,KBD-V013,2025-09-15,E031,PS270374,FedEx Ground,Damaged carton - contents OK,N
RCV-40211,PO-31216,KBD-V009,2026-02-26,E034,PS221849,LTL - Estes,Damaged carton - contents OK,N
RCV-40212,PO-31217,KBD-V006,2025-07-19,E032,PS390191,Will Call,OK,N
RCV-40213,PO-31218,KBD-V011,2025-10-08,E037,PS804847,UPS Ground,Damaged carton - contents OK,N
RCV-40214,PO-31219,KBD-V005,2025-12-11,E033,PS796162,LTL - Estes,OK,N
RCV-40215,PO-31221,KBD-V015,2026-01-28,E031,PS858173,FedEx Ground,Damaged carton - contents OK,N
RCV-40216,PO-31222,KBD-V018,2026-01-03,E032,PS372086,Supplier Truck,Damaged carton - contents OK,N
RCV-40217,PO-31223,KBD-V001,2026-02-07,E034,PS504989 ,Supplier Truck,OK,N
RCV-40218,PO-31224,KBD-V011,2025-12-31,E029,PS620236,Will Call,Short vs packing slip,N
RCV-40219,PO-31226,KBD-V006,2025-12-17,E037,PS350699,FedEx Ground,OK,N
RCV-40220,PO-31227,KBD-V004,2026-01-03,E039,PS425261,FedEx Ground,Short vs packing slip,N
RCV-40221,PO-31228,KBD-V005,2026-02-15,E031,PS614822,Will Call,OK,N
RCV-40222,PO-31229,KBD-V017,2025-08-24,E032,PS430595,Will Call,OK,N
RCV-40223,PO-31230,KBD-V011,2025-07-05,E029,PS469407,Will Call,OK,N
RCV-40224,PO-31231,KBD-V005,2026-02-19,E039,PS585071,UPS Ground,Short vs packing slip,N
RCV-40225,PO-31232,KBD-V002,2025-08-05,E029,PS481695,Will Call,OK,N
RCV-40226,PO-31233,KBD-V010,2025-08-11,E029,PS432700,LTL - Estes,Short vs packing slip,N
RCV-40227,PO-31234,KBD-V009,2025-05-06,E037,PS275498,Will Call,OK,N
RCV-40228,PO-31235,KBD-V012,2025-06-28,E036,PS708211,UPS Ground ,OK,N
RCV-40229,PO-31236,KBD-V001,2025-09-05 ,E036,PS564665,UPS Ground,OK,N
RCV-40230,PO-31237,KBD-V017,2026-02-09,E032,PS875772,UPS Ground,Short vs packing slip,N
RCV-40231,PO-31239,KBD-V003,2025-08-14,E037,PS880577,UPS Ground,OK,N
RCV-40232,PO-31240,KBD-V001,2026-03-28,E029,PS412451,Will Call,Short vs packing slip,N
RCV-40233,PO-31241,KBD-V017,2026-03-15,E032,PS400132,Will Call,OK,N
RCV-40234,PO-31242,KBD-V003,2026-01-21 ,E034,PS419724,Supplier Truck,OK,N
RCV-40235,PO-31243,KBD-V019,2026-01-27,E034,PS281821,Will Call,OK,N
RCV-40236,PO-31244,KBD-V008,2025-09-10,E033,PS414581,UPS Ground ,OK,N
RCV-40237,PO-31245,KBD-V011,2025-06-13,E026,PS469107,FedEx Ground,Damaged carton - contents OK,N
RCV-40238,PO-31246,KBD-V015,2025-10-30,E030,PS724597,UPS Ground,OK,N
RCV-40239,PO-31247,KBD-V016,2025-10-20,E031,PS824098,Supplier Truck,Short vs packing slip,N
RCV-40240,PO-31248,KBD-V018,"Jan 16, 2026",E035,PS586814,FedEx Ground,OK,N
RCV-40241,PO-31249,KBD-V008,2025-08-15,E038,PS274073,FedEx Ground,OK,N
RCV-40242,PO-31250,KBD-V011,2026-01-16,E027,PS723820,Will Call,Short vs packing slip,N
RCV-40243,PO-31251,KBD-V004,2025-09-02,E034,PS893710,UPS Ground,OK,N
RCV-40244,PO-31252,KBD-V002,2025-11-11,E034,PS789759,Supplier Truck,Short vs packing slip,N
RCV-40245,PO-31253,KBD-V006,2025-08-04 ,E031,PS368805,UPS Ground,OK,N
RCV-40246 ,PO-31254,KBD-V002,2025-06-26,E035,PS274422,LTL - Estes,OK,N
RCV-40247,PO-31255,KBD-V001,2025-09-27,E039,PS844585,UPS Ground,Damaged carton - contents OK,N
RCV-40248,PO-31256,KBD-V012,2025-12-23 ,E035 ,PS443499,FedEx Ground,OK,N
RCV-40249,PO-31257,KBD-V003,2025-09-14,E032,PS631255,LTL - Estes,Damaged carton - contents OK,N
RCV-40250,PO-31258,KBD-V010,2025-12-10,E033,PS459336,Supplier Truck,Damaged carton - contents OK,N
RCV-40251,PO-31259,KBD-V009,2026-02-01,E039,PS308331,LTL - Estes ,OK,N
RCV-40252,PO-31260,KBD-V013,2025-11-05,E030,PS263134,FedEx Ground,OK,N
RCV-40253,PO-31261,KBD-V010,2026-01-29,E027,PS355872,Will Call,OK,N
RCV-40254,PO-31262,KBD-V003,2025-10-20,E033,PS845188,Supplier Truck,OK,N
RCV-40255,PO-31264,KBD-V009,2025-10-23,E029,PS394311,LTL - Estes,Damaged carton - contents OK,N
RCV-40256,PO-31265,KBD-V004,2025-08-14,E039,PS559283,FedEx Ground,OK,N
RCV-40257,PO-31266,KBD-V007,18-Jul-2025,E031,PS808015,LTL - Estes,OK,N
RCV-40258,PO-31267,KBD-V011,2025-04-20,E027,PS138216,FedEx Ground,OK,N
RCV-40259,PO-31268,KBD-V001,2025-09-02,E028,PS221522,LTL - Estes,OK,N
RCV-40260,PO-31269,KBD-V009,2025-09-14,E028,PS885629,Will Call,Damaged carton - contents OK,N
RCV-40261,PO-31270,KBD-V009,2026-03-02,E031,PS631363,FedEx Ground,OK,N
RCV-40262,PO-31271,KBD-V016,2025-09-20 ,E027,PS239345,Supplier Truck,OK,N
RCV-40263,PO-31272,KBD-V017,2025-11-29,E031,PS115251,LTL - Estes,OK,N
RCV-40264,PO-31274,KBD-V007,2025-04-28,E036,PS354457,Will Call,OK,N
RCV-40265,PO-31275,KBD-V014,2025-06-13,E037,PS754224,Supplier Truck,Damaged carton - contents OK,N
RCV-40266,PO-31276,KBD-V002,2026-03-24,E034,PS963081,FedEx Ground,OK,N
RCV-40267,PO-31277,KBD-V018,24-Jul-2025,E026,PS144334,LTL - Estes,OK,N
RCV-40268,PO-31278,KBD-V004,2025-09-13,E037,PS184448,UPS Ground,Short vs packing slip,N
RCV-40269,PO-31279,KBD-V004,2026-01-04,E032,PS532053,Will Call,OK,N
RCV-40270,PO-31280,KBD-V010,02/10/26,E028,PS266358 ,Will Call,Damaged carton - contents OK,N
RCV-40271,PO-31281,KBD-V006,2025-12-04,E034 ,PS491790,UPS Ground,Damaged carton - contents OK,N
RCV-40272,PO-31282,KBD-V015,"Oct 28, 2025",E026,PS600175,FedEx Ground,OK,N
RCV-40273,PO-31283,KBD-V007 ,2026-03-31,E035,PS495483,Supplier Truck,OK,N
RCV-40274,PO-31284,KBD-V012,2025-09-14,E030,PS603641,FedEx Ground,OK,N
RCV-40275,PO-31285,KBD-V014,2025-12-08,E032,PS806661,Supplier Truck,OK,N
