Supplier Invoice Number,Supplier Id,Supplier Name,Po Number,Invoice Date,Received Date,Due Date,Merchandise Total,Freight,Sales Tax,Invoice Total,Gl Account,Status,Match Status,Entered By
379297,KBD-V005,Brighton-Best International,PO-31021,2025-07-05,2025-07-07,2025-08-04,1217885.8,117.51,0.0,1218003.31,2000,Paid,Matched,E002
2538793,KBD-V004,Baldor-Reliance (ABB),PO-31022,2025-11-20,2025-11-24,2026-01-04,506865.06,0.0,0.0,506865.06,2000,Paid,Matched,E002
96256531,KBD-V009,Haas Automation,PO-31023,2026-02-28,2026-03-04,2026-03-30,28019.32,0.0,0.0,28019.32,2000,Approved,Matched,E002
93769357,KBD-V011,MSC Industrial Supply,PO-31024,2025-10-05,2025-10-09,2025-11-04,6918.12,49.93,0.0,6968.05,2000,Paid,Matched,E002
INV2640916,KBD-V008,Garlock Sealing Technologies,PO-31025,2025-07-15,2025-07-20,2025-08-14,94241.3,0.0,0.0,94241.3,2000,Paid,Matched,E002 
SI7604679,KBD-V003,Applied Industrial Technologies,PO-31026,2025-11-25,2025-11-26,2025-12-25,11932.8,0.0,0.0,11932.8,2000,Paid,Matched,E002
SI3056949,KBD-V008,Garlock Sealing Technologies,PO-31027,2026-01-18,2026-01-20,2026-02-17,114663.8,0.0,0.0,114663.8,2000,Paid,Matched,E002
92029408,KBD-V018,Uline,PO-31028,2026-03-26,2026-03-31,2026-04-25,30593.7,0.0,0.0,30593.7,2000,Approved,Matched,E002
9358121,KBD-V010,Kaman Industrial Technologies,PO-31029,2026-03-01,2026-03-03,2026-03-31,8255.74,0.0,0.0,8255.74,2000,Approved,Matched,E002
INV6348124,KBD-V017,Sandvik Coromant,PO-31030,2025-05-16,2025-05-18,2025-06-15,53279.13,123.86,0.0,53402.99,2000,Paid,Price variance,E002
SI4515505,KBD-V002,Apex Fastener Corp,PO-31031,2026-03-27,2026-03-28,2026-04-26,81363.5,0.0,0.0,81363.5,2000,Approved,Matched,E002
INV7694626,KBD-V005,Brighton-Best International,PO-31032,2025-06-29,2025-07-01,2025-07-29,313331.5,15.21,0.0,313346.71,2000,Paid,Matched,E002
INV5342354,KBD-V017,Sandvik Coromant,PO-31033,02/14/2026,2026-02-14,03/16/2026,23185.74,0.0,0.0,23185.74,2000,Approved,Matched,E002
SI8848852,KBD-V005,Brighton-Best International,PO-31034,2026-01-09,2026-01-12,2026-02-08,42801.28,153.94,0.0,42955.22,2000,Paid,Matched,E002
7559349,KBD-V013,Motion Industries,PO-31035,04/07/2026,2026-04-12,2026-05-07,2132.25,0.0,0.0,2132.25,2000,Approved,Matched,E002
3259015,KBD-V016,Ryerson,PO-31036,2026-04-03,2026-04-03,2026-05-18,511.86,0.0,0.0,511.86,2000,Approved,Matched,E002
SI631213,KBD-V008,Garlock Sealing Technologies,PO-31037,07/08/25,2025-07-10,2025-08-07,7582.68,0.0,0.0,7582.68,2000,Paid,Matched,E002
91661172,KBD-V012,McMaster-Carr,PO-31038,2026-03-26,31-Mar-2026,"Apr 25, 2026",162539.6,0.0,0.0,162539.6,2000,Approved,Matched,E002
INV7348332,KBD-V011,MSC Industrial Supply,PO-31040,2025-07-12,2025-07-14,2025-08-11,74214.4,66.98,0.0,74281.38,2000,Paid,Matched,E002
99200340,KBD-V003,Applied Industrial Technologies,PO-31041,2025-06-03,2025-06-07,2025-07-03,4182.74,0.0,0.0,4182.74,2000,Paid,Qty variance,E002
2405897,KBD-V004,Baldor-Reliance (ABB),PO-31042,2025-12-30,2025-12-31,2026-02-13,4884.33,0.0,0.0,4884.33,2000,Paid,Matched,E002
INV7638244,KBD-V018,Uline,PO-31043,12/09/2025,2025-12-11,2026-01-08,33941.9,0.0,0.0,33941.9,2000,Paid,Matched,E002
SI4061254,KBD-V009,Haas Automation,PO-31044,2025-12-29,2025-12-29,2026-01-28,278415.0,0.0,0.0,278415.0,2000,Paid,Matched,E002
95977332,KBD-V011,MSC Industrial Supply,PO-31045,28-Aug-2025,2025-09-02,2025-09-27,30344.64,0.0,0.0,30344.64,2000,Paid,Matched,E002
SI4442108,KBD-V010,Kaman Industrial Technologies,PO-31046,2026-03-03,2026-03-07,2026-04-02,12080.24,0.0,0.0,12080.24,2000,Approved,Matched,E002
INV9660187,KBD-V003,Applied Industrial Technologies,PO-31047,2026-01-28,2026-01-28,2026-02-27,843788.75,0.0,0.0,843788.75,2000,Paid,Matched,E002
SI9033609,KBD-V011,MSC Industrial Supply,PO-31048,11/30/25,2025-12-04,2025-12-30,33841.22,0.0,0.0,33841.22,2000,Paid,Price variance ,E002
5648433,KBD-V012,McMaster-Carr,PO-31049,2026-01-15,2026-01-20,02/14/26,26620.4,0.0,0.0,26620.4,2000,Paid,Matched,E002
SI4693485,KBD-V017,Sandvik Coromant,PO-31050,2025-11-30,2025-12-03,2025-12-30,129436.78,0.0,0.0,129436.78,2000,Paid,Matched,E002
INV5740380,KBD-V009,Haas Automation,PO-31051,2025-10-15,"Oct 20, 2025",2025-11-14,25345.0,0.0,0.0,25345.0,2000,Paid,Matched,E002
96832322,KBD-V007,GRAINGER,PO-31052,2025-06-29,2025-07-03,2025-07-29,3203.4,0.0,0.0,3203.4,2000,Paid,Matched,E002 
INV3391737,KBD-V013,Motion Industries,PO-31053,2025-11-19,11/24/25,2025-12-19,66937.2,131.77,0.0,67068.97,2000,Paid,Price variance,E002
91637374,KBD-V006,Fastenal,PO-31054,"Aug 03, 2025",2025-08-05,09/02/25,307201.44,0.0,0.0,307201.44,2000,Paid,Matched,E002
1684698,KBD-V007,GRAINGER,PO-31055,2025-09-06,2025-09-11,2025-10-06,441.45,0.0,0.0,441.45,2000,Paid,Matched,E002
SI2123422,KBD-V017,Sandvik Coromant,PO-31056,2025-09-20,09/22/2025,2025-10-20,69429.36,70.91,0.0,69500.27,2000,Paid,Price variance,E002
INV206319,KBD-V005,Brighton-Best International,PO-31057,2026-01-07,2026-01-10,2026-02-06,384447.97,0.0,0.0,384447.97,2000,Paid,Matched,E002
SI7699281,KBD-V018,Uline,PO-31059,2025-06-12,2025-06-15,12-Jul-2025,5699.54,0.0,0.0,5699.54,2000,Paid,Price variance,E002
94566515,KBD-V014,Parker Hannifin,PO-31060,2025-06-08,2025-06-13,2025-07-23,672186.25,0.0,0.0,672186.25,2000,Paid,Price variance,E002
INV9233430,KBD-V015,Regal Rexnord,PO-31061,20-Jan-2026,2026-01-24,2026-03-06,56512.03,0.0,0.0,56512.03,2000,Paid,Matched,E002
4562271,KBD-V018 ,Uline,PO-31062,03/10/26,2026-03-15,2026-04-09,4868.6,0.0,0.0,4868.6,2000,Approved,Matched,E002
646076,KBD-V011,MSC Industrial Supply,PO-31063,2026-04-05,2026-04-10,2026-05-05,3217.24,96.66,0.0,3313.9,2000 ,Approved,Matched,E002
4670772,KBD-V018,Uline,PO-31064,2026-01-30,2026-01-30,03/01/2026,15550.15,7.84,0.0,15557.99,2000,Paid,Matched,E002
8305112,KBD-V004,Baldor-Reliance (ABB),PO-31065,"May 22, 2025",2025-05-22,2025-07-06,315827.33,0.0,0.0,315827.33,2000,Paid,Matched,E002
6947904,KBD-V007,GRAINGER,PO-31066,2025-10-09,2025-10-13,2025-11-08,5984.4,0.0,0.0,5984.4,2000,Paid,Matched,E002
INV5558310,KBD-V015,Regal Rexnord,PO-31067,2025-07-17,2025-07-18,2025-08-31,20976.8,0.0,0.0,20976.8,2000,Paid,Price variance,E002
SI9802172,KBD-V005,Brighton-Best International,PO-31068,2025-10-07,2025-10-10,2025-11-06,185117.78,0.0,0.0,185117.78,2000,Paid,Matched,E002
99058267,KBD-V018,Uline,PO-31069,"Oct 13, 2025",2025-10-17,2025-11-12 ,9384.9,0.0,0.0,9384.9,2000,Paid,Matched,E002
9837104,KBD-V018,Uline,PO-31070,06/05/25 ,06/10/25,2025-07-05,44198.06,0.0,0.0,44198.06,2000,Paid,Matched,E002
INV3066238,KBD-V015,Regal Rexnord,PO-31071,2025-12-01,2025-12-04,2026-01-15,59057.64,0.0,0.0,59057.64,2000,Paid,Matched,E002
SI4471251,KBD-V009,Haas Automation,PO-31072,2026-03-16,2026-03-16,2026-04-15,8886.84,0.0,0.0,8886.84,2000,Approved,Matched,E002
3279767,KBD-V011,MSC Industrial Supply,PO-31073,2025-10-19,2025-10-20,11/18/25,4888.3,0.0,0.0,4888.3,2000,Paid,Matched ,E002 
SI1658736,KBD-V018,Uline,PO-31074,10/01/25,2025-10-04,2025-10-31,36022.73,0.0,0.0,36022.73,2000,Paid,Matched,E002
1177837,KBD-V012,McMaster-Carr,PO-31075,2026-03-11,2026-03-16,2026-04-10,71898.5,104.51,0.0,72003.01,2000,Approved,Matched,E002
96901149,KBD-V006,Fastenal,PO-31076,2025-08-07,2025-08-07,2025-09-06,320451.25,177.85,0.0,320629.1,2000,Paid,Price variance,E002
INV9588895,KBD-V014,Parker Hannifin,PO-31077,2025-07-20,2025-07-21,2025-09-03,550056.39,0.0,0.0,550056.39,2000,Paid,Matched,E002
INV2218397,KBD-V014,Parker Hannifin,PO-31078,2025-07-10,2025-07-12,2025-08-24,265695.07,0.0,0.0,265695.07,2000,Paid,Matched,E002
94757308,KBD-V010,Kaman Industrial Technologies,PO-31079,2026-01-20,2026-01-24,2026-02-19,315301.38,56.8,0.0,315358.18,2000,Paid,Matched,E002
4758210,KBD-V004,Baldor-Reliance (ABB),PO-31080,2025-06-23,2025-06-25,2025-08-07,681.05,0.0,0.0,681.05,2000,Paid,Matched,E002
SI6624399,KBD-V015,Regal Rexnord,PO-31081,2025-09-02,2025-09-03,2025-10-17,11252.1,0.0,0.0,11252.1,2000,Paid,Matched,E002 
93294665,KBD-V013,Motion Industries,PO-31082,2026-02-27,2026-03-02,2026-03-29,2474.0,10.83,0.0,2484.83,2000,Approved,Matched,E002
SI3304553,KBD-V018,Uline,PO-31083,2025-09-04,2025-09-04,2025-10-04,414182.42,0.0,0.0,414182.42,2000,Paid,Matched,E002
92876398,KBD-V014,Parker Hannifin,PO-31084,2025-08-16,2025-08-17,2025-09-30,265695.07,0.0,0.0,265695.07,2000,Paid,Matched,E002
5821287,KBD-V009,Haas Automation,PO-31085,2025-12-07,2025-12-07,2026-01-06,480415.15,0.0,0.0,480415.15,2000,Paid,Matched,E002
91347766,KBD-V003,Applied Industrial Technologies,PO-31086,2026-04-01,2026-04-03,2026-05-01,253700.0,0.0,0.0,253700.0,2000,Approved,Matched,E002
SI9755882,KBD-V011,MSC Industrial Supply,PO-31087,2025-07-27,2025-07-29,2025-08-26,10604.0,0.0,0.0,10604.0,2000,Paid,Matched,E002
3456834,KBD-V017,Sandvik Coromant,PO-31088,2026-03-31,2026-04-05,2026-04-30,7096.18,0.0,0.0,7096.18,2000,Approved ,Matched,E002
INV6468586,KBD-V002,Apex Fastener Corp,PO-31089,2025-09-16,09/18/2025,2025-10-16,21942.5,0.0,0.0,21942.5,2000,Paid,Matched,E002
7597081,KBD-V013,Motion Industries,PO-31090,"Jul 22, 2025",2025-07-22,2025-08-21,14018.7,0.0,0.0,14018.7,2000,Paid,Matched,E002
SI5134844,KBD-V004,Baldor-Reliance (ABB),PO-31091,09/09/2025,2025-09-12,2025-10-24,367467.18,0.0,0.0,367467.18,2000,Paid,Matched,E002
96217029,KBD-V007,GRAINGER,PO-31092,2025-08-20,2025-08-24,09/19/25,1227.75,29.3,0.0,1257.05,2000,Paid,Matched,E002
95753238,KBD-V013,Motion Industries,PO-31093,2025-05-16,2025-05-21,2025-06-15,40284.9,0.0,0.0,40284.9,2000,Paid,Matched,E002
6878908,KBD-V007,GRAINGER,PO-31094,2025-06-09,2025-06-14,2025-07-09,2893.45,0.0,0.0,2893.45,2000,Paid,Price variance,E002
INV2881961,KBD-V016,Ryerson,PO-31095,2026-02-06,2026-02-11,2026-03-23,5326.74,0.0,0.0,5326.74,2000,Paid,Matched,E002
4084421,KBD-V003,Applied Industrial Technologies ,PO-31096,2025-10-17,2025-10-22,16-Nov-2025,249504.3,0.0,0.0,249504.3,2000,Paid,Matched,E002
SI6435742,KBD-V013,Motion Industries,PO-31097,2026-04-06,2026-04-07,2026-05-06,4651.12,153.19,0.0,4804.31,2000,Approved,Matched,E002
SI9769797,KBD-V006,Fastenal,PO-31098,2025-07-31,2025-08-01,2025-08-30,633866.76,100.37,0.0,633967.13,2000,Paid,Matched,E002
98341182,KBD-V008,Garlock Sealing Technologies,PO-31099,"May 01, 2025",2025-05-03,2025-05-31,29299.4,166.47,0.0,29465.87,2000,Paid,Matched,E002
SI1798694,KBD-V011,MSC Industrial Supply,PO-31100,2026-03-24,2026-03-28,2026-04-23,50980.0,0.0,0.0,50980.0,2000,Approved,Matched,E002
95318323,KBD-V002,Apex Fastener Corp,PO-31101,2025-08-14,2025-08-15,2025-09-13,18024.86,0.0,0.0,18024.86,2000,Paid,Matched,E002
9394749,KBD-V017,Sandvik Coromant,PO-31102,2025-06-05,2025-06-10,2025-07-05,31856.8,128.23,0.0,31985.03,2000,Paid,Matched,E002
SI2061471,KBD-V008,Garlock Sealing Technologies,PO-31103,2025-09-13,2025-09-18,2025-10-13,55951.3,33.14,0.0,55984.44,2000,Paid,Matched,E002
97342566,KBD-V010,Kaman Industrial Technologies,PO-31104,2025-07-03,2025-07-04,2025-08-02,293947.34,0.0,0.0,293947.34,2000,Paid,Price variance,E002
6013528,KBD-V017,Sandvik Coromant,PO-31105,2025-12-30,2026-01-01,2026-01-29,51034.41,0.0,0.0,51034.41,2000,Paid,Price variance,E002
7473736,KBD-V013,Motion Industries,PO-31106,2025-08-14,2025-08-15,2025-09-13,32441.6,26.55,0.0,32468.15,2000,Paid,Matched,E002
99749431,KBD-V017,Sandvik Coromant,PO-31107,2025-05-02,2025-05-04,2025-06-01,13263.9,0.0,0.0,13263.9,2000,Paid,Price variance ,E002
98083799,KBD-V005,Brighton-Best International,PO-31108,2026-03-05,2026-03-10,2026-04-04,1040794.28,0.0,0.0,1040794.28,2000,Approved,Matched,E002
95802295,KBD-V013,Motion Industries,PO-31109,2025-08-30,2025-08-30,09/29/2025,4303.5,6.58,0.0,4310.08,2000,Paid,Price variance,E002
SI6444561,KBD-V014,Parker Hannifin,PO-31110,2026-03-29,2026-03-31,2026-05-13,8880.34,68.04,0.0,8948.38,2000,Approved,Matched,E002
SI9255157,KBD-V001,Alro Steel,PO-31111,2026-02-25,2026-03-01,2026-03-27,1649579.19,0.0,0.0,1649579.19,2000,Approved,Matched,E002
94368276,KBD-V014,Parker Hannifin,PO-31112,2026-01-15,2026-01-18,2026-03-01,1016921.25,0.0,0.0,1016921.25,2000,Paid,Matched,E002
INV2818920,KBD-V016,Ryerson,PO-31113,2026-02-08,2026-02-11,2026-03-25,4559.56,0.0,0.0,4559.56,2000,Paid,Matched,E002
7461611,KBD-V004,Baldor-Reliance (ABB) ,PO-31114,2026-03-30,2026-04-04,2026-05-14,3861.05,0.0,0.0,3861.05,2000,Approved,Matched,E002
4380612,KBD-V001,Alro Steel,PO-31115,2025-12-26,2025-12-29,2026-01-25,83296.9,0.0,0.0,83296.9,2000,Paid,Matched,E002
9342146,KBD-V015,Regal Rexnord,PO-31116,2026-01-10,2026-01-13,2026-02-24,258.15,0.0,0.0,258.15,2000,Paid ,Matched,E002
SI2517757,KBD-V013,Motion Industries,PO-31117,2026-03-13,2026-03-17,2026-04-12,26686.2,44.65,0.0,26730.85,2000,Approved,Matched,E002
9259945,KBD-V003,Applied Industrial Technologies,PO-31118,2026-02-17,2026-02-20,2026-03-19,260791.3,0.0,0.0,260791.3,2000,On Hold,Price variance,E002
INV726543,KBD-V012,McMaster-Carr,PO-31119,2026-03-02,2026-03-07,2026-04-01,145196.64,0.0,0.0,145196.64,2000,Approved,Matched,E002
2082537,KBD-V003,Applied Industrial Technologies,PO-31120,2025-10-23,10/25/2025,2025-11-22,17778.8,0.0,0.0,17778.8,2000,Paid,Matched,E002
94060450,KBD-V018,Uline,PO-31121,2025-08-15,2025-08-20,2025-09-14,12994.0,0.0,0.0,12994.0,2000,Paid,Matched,E002
INV5541275,KBD-V005,Brighton-Best International,PO-31122,2025-11-20,2025-11-23,2025-12-20,363594.04,0.0,0.0,363594.04,2000,Paid,Matched,E002
5299984,KBD-V012,McMaster-Carr,PO-31123,2025-11-13,2025-11-15,13-Dec-2025,17294.6,0.0,0.0,17294.6,2000,Paid,Matched,E002
5890986,KBD-V002,Apex Fastener Corp,PO-31124,2025-07-26,2025-07-26,2025-08-25,12112.26,0.0,0.0,12112.26,2000,Paid,Matched,E002
SI6772560,KBD-V018,Uline,PO-31125,2025-12-10,2025-12-13,2026-01-09,5657.6,0.0,0.0,5657.6,2000,Paid,Matched,E002
96041340,KBD-V004,Baldor-Reliance (ABB),PO-31126,2025-07-25,29-Jul-2025,2025-09-08,110008.05,13.61,0.0,110021.66,2000,Paid,Matched,E002
SI3260903,KBD-V014,Parker Hannifin,PO-31127,06/02/25,2025-06-02,2025-07-17,274756.25,0.0,0.0,274756.25,2000,Paid,Matched,E002
99004703,KBD-V017,Sandvik Coromant,PO-31128,2025-12-12,2025-12-14,01/11/26,19495.0,0.0,0.0,19495.0,2000,Paid,Matched,E002
92595741,KBD-V006,Fastenal,PO-31129,2025-09-09,2025-09-10,10/09/25,316417.92,0.0,0.0,316417.92,2000,Paid,Price variance,E002
INV8069868,KBD-V011,MSC Industrial Supply,PO-31130,2025-06-22,2025-06-22,2025-07-22,11021.46,82.62,0.0,11104.08,2000,Paid,Matched,E002
91844964,KBD-V001,Alro Steel,PO-31131,2025-10-14,2025-10-16,2025-11-13,356456.49,153.23,0.0,356609.72,2000,Paid,Matched,E002
9711989,KBD-V004,Baldor-Reliance (ABB),PO-31132,2025-08-16,2025-08-20,2025-09-30,159072.89,58.85,0.0,159131.74,2000,Paid,Matched,E002
95483298,KBD-V006,Fastenal,PO-31133,2025-05-29,2025-06-01,2025-06-28,91429.0,0.0,0.0,91429.0,2000,Paid,Matched,E002
INV5365710,KBD-V002,Apex Fastener Corp,PO-31134,2025-09-06,2025-09-08,2025-10-06,30075.29,0.0,0.0,30075.29,2000,Paid,Matched,E002
SI1733959,KBD-V005,Brighton-Best International,PO-31135,2025-09-08,2025-09-11,2025-10-08,49949.2,0.0,0.0,49949.2,2000,Paid,Matched,E002
SI3436835,KBD-V005,Brighton-Best International,PO-31136,10/07/25,08-Oct-2025,2025-11-06,436367.5,135.28,0.0,436502.78,2000,Paid,Matched ,E002
SI7132334,KBD-V002,Apex Fastener Corp,PO-31137,2025-10-14,2025-10-17,2025-11-13,7896.95,162.24,0.0,8059.19,2000,Paid,Price variance,E002
97037180,KBD-V010,Kaman Industrial Technologies,PO-31138,2025-07-06,2025-07-06,2025-08-05,993452.84,0.0,0.0,993452.84,2000,Paid,Matched,E002
93940035,KBD-V009,Haas Automation,PO-31139,2026-01-29,2026-01-30,2026-02-28,36372.28,0.0,0.0,36372.28,2000,Paid,Matched,E002
SI1368756,KBD-V008,Garlock Sealing Technologies ,PO-31140,2025-12-05,2025-12-08,2026-01-04,26564.58,40.07,0.0,26604.65,2000,Paid,Matched,E002
7024660,KBD-V017,Sandvik Coromant,PO-31141,2026-01-03,2026-01-07,2026-02-02,3256.3,0.0,0.0,3256.3,2000,Paid,Matched,E002
95840640,KBD-V002,Apex Fastener Corp,PO-31142,2025-11-08,2025-11-09,2025-12-08,60925.92,72.52,0.0,60998.44,2000,Paid,Matched,E002
448751,KBD-V006,Fastenal,PO-31143,2025-06-04,2025-06-04,"Jul 04, 2025",208291.2,0.0,0.0,208291.2,2000,Paid,Matched,E002
95549720 ,KBD-V017,Sandvik Coromant,PO-31144,2025-06-26,2025-06-27,2025-07-26,32194.5,148.56,0.0,32343.06,2000,Paid,Matched,E002
109103,KBD-V018,Uline,PO-31145,2026-04-04,2026-04-04,2026-05-04,2368.45,0.0,0.0,2368.45,2000,Approved,Matched,E002
SI8732439,KBD-V006,Fastenal,PO-31146,2025-06-18,06/23/25,2025-07-18,7173.25,0.0,0.0,7173.25,2000,Paid,Matched,E002
INV5198809,KBD-V009,Haas Automation,PO-31147,2025-09-29,2025-09-29,2025-10-29,3399.0,14.67,0.0,3413.67,2000,Paid,Matched,E002
8468911,KBD-V003,Applied Industrial Technologies ,PO-31148,2025-06-25,2025-06-26,"Jul 25, 2025",216208.2,0.0,0.0,216208.2,2000,Paid,Matched,E002
91551864,KBD-V018,Uline,PO-31149,03/10/26,2026-03-13,2026-04-09,373304.05,0.0,0.0,373304.05,2000,Approved,Matched,E002
98953038,KBD-V014,Parker Hannifin,PO-31150,2025-10-25,2025-10-28,2025-12-09,274756.25,0.0,0.0,274756.25,2000,Paid,Matched,E002
8742021,KBD-V002,Apex Fastener Corp,PO-31151,2025-11-04,2025-11-06,2025-12-04,48186.81,31.93,0.0,48218.74,2000,Paid,Matched,E002
INV8727064,KBD-V001,Alro Steel,PO-31152,2025-12-11,2025-12-15,2026-01-10,550941.68,0.0,0.0,550941.68,2000,Paid,Matched,E002
SI4669700,KBD-V010,Kaman Industrial Technologies,PO-31153,2025-05-30,2025-06-04,2025-06-29,564236.44,0.0,0.0,564236.44,2000,Paid,Matched,E002
SI7143444,KBD-V007,GRAINGER,PO-31155,2025-07-04,2025-07-07,2025-08-03,3543.6,0.0,0.0,3543.6,2000,Paid,Matched,E002
SI5930594,KBD-V004,Baldor-Reliance (ABB),PO-31156,2025-08-23,2025-08-23,2025-10-07,275014.1,0.0,0.0,275014.1,2000,Paid,Price variance,E002
SI6466811,KBD-V002,Apex Fastener Corp,PO-31157 ,2026-03-28,03/30/2026,2026-04-27,877.7,0.0,0.0,877.7,2000,Approved,Matched,E002
SI1558178,KBD-V009 ,Haas Automation,PO-31158,2026-04-05,2026-04-08,2026-05-05,116934.3,0.0,0.0,116934.3,2000,Approved,Matched,E002
INV2123111,KBD-V009,Haas Automation,PO-31159,2025-05-13,2025-05-15,2025-06-12,9730.61,143.83,0.0,9874.44,2000,Paid,Matched,E002
93181566,KBD-V004 ,Baldor-Reliance (ABB),PO-31160,2026-01-13,2026-01-14,2026-02-27,82676.3,0.0,0.0,82676.3,2000,Paid,Matched,E002
SI3336768,KBD-V003,Applied Industrial Technologies,PO-31161,2025-06-10,2025-06-10,2025-07-10,1968.0,27.06,0.0,1995.06,2000,Paid,Matched,E002
93318974,KBD-V004,Baldor-Reliance (ABB),PO-31162,2026-02-01,2026-02-06,2026-03-18,318958.48,0.0,0.0,318958.48,2000,Paid,Price variance,E002
96661192,KBD-V005,Brighton-Best International,PO-31163,22-Jul-2025,07/26/25,2025-08-21,73242.04,0.0,0.0,73242.04,2000,Paid,Matched,E002
9500966,KBD-V004,Baldor-Reliance (ABB),PO-31164,2025-12-27,12/31/25,2026-02-10,311773.68,0.0,0.0,311773.68,2000,Paid,Matched,E002
4996299,KBD-V005,Brighton-Best International,PO-31165,2026-02-23,2026-02-23,2026-03-25,29823.28,0.0,0.0,29823.28,2000,Approved,Matched,E002
95876187,KBD-V018,Uline,PO-31166,03/14/26,2026-03-16,2026-04-13,26190.34,0.0,0.0,26190.34,2000,Approved,Matched,E002
SI4400080,KBD-V011,MSC Industrial Supply,PO-31167,2025-10-21,10/21/25,2025-11-20,6133.55,0.0,0.0,6133.55,2000,Paid,Matched,E002
93400426,KBD-V006,Fastenal,PO-31168,2025-06-29,2025-06-30,2025-07-29,17535.04,13.1,0.0,17548.14,2000,Paid,Matched,E002
95260900,KBD-V007,GRAINGER,PO-31169,2026-01-09,2026-01-14,08-Feb-2026,1445.2,0.0,0.0,1445.2,2000,Paid,Matched,E002
SI7324713,KBD-V013,Motion Industries,PO-31170,2025-07-23,2025-07-24,"Aug 22, 2025",28012.08,0.0,0.0,28012.08,2000,Paid,Price variance,E002
2153364,KBD-V016,Ryerson,PO-31171,2025-11-07,2025-11-11,2025-12-22 ,1148.0,0.0,0.0,1148.0,2000,Paid,Matched,E002
91503695,KBD-V015,Regal Rexnord,PO-31172,2025-10-14,2025-10-14,2025-11-28,74536.98,0.0,0.0,74536.98,2000,Paid,Matched,E002
8398455,KBD-V009,Haas Automation,PO-31173,2025-10-30 ,01-Nov-2025,29-Nov-2025,679.8,82.02,0.0,761.82,2000,Paid,Matched,E002
INV5261305,KBD-V015,Regal Rexnord,PO-31174,2025-12-24,2025-12-26,2026-02-07,79333.5,0.0,0.0,79333.5,2000,Paid,Matched,E002
