Receipt Id,Po Number,Po Line,Item Id,Received Qty,Uom,Lot Number,Bin Location,Putaway By,Qc Status
RCV-40027,PO-31027,4,SHEA-1049,500,EA,,D-38-4,E028,Accepted
RCV-40028,PO-31028,1,SPRO-1078,50,EA,,A-19-5,E037,Accepted
RCV-40028,PO-31028,2,AC-1086,10,EA,,B-24-5,E032,Accepted
RCV-40028,PO-31028,3,SIG-SF18-80,131,RL ,,F-14-3,E029,Accepted
RCV-40029,PO-31029,1,ROLL-1021,101,EA,,C-38-5,E028,Accepted
RCV-40030,PO-31030,1,SHEA-1088,100,EA,,D-07-5,E036,Accepted
RCV-40030,PO-31030,2,SPRO-1027,100,EA,,A-26-1,E028,Accepted
RCV-40030,PO-31030,3,SHEA-1088,91,EA,,A-27-5,E038,Accepted
RCV-40030,PO-31030,4,SHEA-1088,45,EA,,A-07-5,E038,Accepted 
RCV-40031,PO-31031,1,SHEA-1025,500,EA,,F-14-5,E033,Accepted
RCV-40031,PO-31031,2,MOUN-1083,50,EA,,C-13-1,E032,Accepted
RCV-40032,PO-31032,1,GEAR-1073,77,EA,,A-01-3,E029,Accepted
RCV-40032,PO-31032,2,SHEA-1038,50,EA,,A-08-5,E036,Accepted
RCV-40032,PO-31032,3,GEAR-1073,77,EA,,D-17-1,E032,Accepted
RCV-40033,PO-31033,1,SHEA-1037,25,EA,,F-03-4,E032,Accepted
RCV-40033,PO-31033,2,SHEA-1037,65,EA,,B-10-2,E028,Accepted
RCV-40033,PO-31033,3,SPRO-1027,183,EA,,A-28-2,E038,Accepted
RCV-40034,PO-31034,1,SHEA-1003,50,EA,,C-10-2,E031,Accepted
RCV-40034,PO-31034,2,SHEA-1038,101,EA,,E-06-1,E033,Accepted
RCV-40034,PO-31034,3,SHEA-1045,25,EA,,D-01-5,E038,Accepted
RCV-40035,PO-31035,2,TIMI-1058,25,EA,,F-29-5,E036,Accepted
RCV-40036,PO-31036,2,SPRO-1055,19,EA,,C-08-5,E038,Accepted
RCV-40037,PO-31037,1,SPRO-1004,177,EA,,C-02-5,E033,Hold
RCV-40038,PO-31038,1,AC-1040,250,EA,,D-07-2,E033,Accepted
RCV-40038,PO-31038,3,TIMI-1071,136,EA,,A-05-1,E039,Accepted
RCV-40039,PO-31040,1,SHEA-1064,500,EA,,E-02-4,E037,Accepted
RCV-40039,PO-31040,2,SHEA-1064,23,EA,,E-12-1,E033,Accepted 
RCV-40039,PO-31040,3,SHEA-1072,11,EA,,D-35-1,E038,Accepted
RCV-40040,PO-31041,1,SKF-6205-2RS1,88,EA,,F-04-1,E038,Accepted
RCV-40040,PO-31041,2,SPRO-1076,141,EA,,D-15-1,E034,Accepted
RCV-40040,PO-31041,3,SKF-6308-2Z,192,EA,,E-13-4,E034,Accepted
RCV-40041,PO-31042,1,SPRO-1050,250,EA,,C-01-5,E037,Accepted
RCV-40041,PO-31042,2,SPRO-1050,53,EA,,A-24-5,E028,Accepted
RCV-40041,PO-31042,3,SPRO-1050,50,EA,,A-27-1,E034,Accepted
RCV-40041,PO-31042,4,SPRO-1050,25,EA,,A-28-3,E033,Accepted
RCV-40042,PO-31043,1,ULI-S-4123,170,BD,,E-40-5,E036,Accepted
RCV-40042,PO-31043,2,AC-1086,10,EA,,B-36-2,E034,Accepted
RCV-40042,PO-31043,3,SPRO-1078,50,EA,,C-37-5,E026,Accepted
RCV-40043,PO-31044,1,GEAR-1010,100,EA,,F-20-5,E033,Accepted
RCV-40044,PO-31045,1,SHEA-1072,11,EA,,B-38-4,E031,Accepted
RCV-40044,PO-31045,2,SHEA-1072,250,EA,,C-34-3,E030 ,Accepted
RCV-40044,PO-31045,3,MOUN-1008,52,EA,,D-09-5,E037,Accepted
RCV-40045,PO-31046,1,ROLL-1021,101,EA,,A-29-4,E029,Accepted
RCV-40045,PO-31046,2,SHEA-1035,25,EA,,E-21-3,E037,Accepted
RCV-40046,PO-31047,1,SKF-6205-2RS1,25,EA,,A-12-5,E032,Accepted
RCV-40046,PO-31047 ,2,DOD-TXT315,215,EA,,F-05-3,E036,Accepted
RCV-40046,PO-31047,3,DOD-TXT315,500,EA,,F-16-4,E036,Accepted
RCV-40047,PO-31048,1,SPRO-1009,25,EA,,F-22-5,E037,Accepted
RCV-40047,PO-31048 ,2,MOUN-1008,250,EA,,E-21-3,E033,Accepted
RCV-40047,PO-31048,3,SHEA-1072,11,EA,,A-30-2,E029,Accepted
RCV-40047,PO-31048,4,SHEA-1064,100,EA,,A-12-2,E037,Accepted
RCV-40048,PO-31049,1,TIMI-1071,136,EA,,D-28-3,E038,Accepted
RCV-40048,PO-31049,2,TIMI-1071,136,EA,,C-25-1,E035,Hold
RCV-40048 ,PO-31049,3,SHEA-1028,22,EA,,E-21-3,E026,Accepted
RCV-40049,PO-31050,1,SHEA-1088,91,EA,,D-03-3,E033,Accepted
RCV-40049,PO-31050,2,SHEA-1088 ,91,EA,,F-39-5,E035,Accepted
RCV-40049,PO-31050,3,SHEA-1088,500,EA,,F-11-4,E039,Hold
RCV-40050,PO-31051,1,TIMI-1017,500,EA,,D-14-3,E027,Accepted
RCV-40051,PO-31052,1,KIM-G10,281,BX,,D-32-3,E030,Accepted
RCV-40052,PO-31053,1,TIMI-1058,166,EA,,E-30-5,E039,Accepted
RCV-40052,PO-31053,2,TIMI-1058,166,EA,,B-23-4,E032,Accepted
RCV-40052,PO-31053,3,TIMI-1014,500,EA,,C-35-5,E028,Accepted
RCV-40052 ,PO-31053,4,TIMI-1058,166,EA,,A-08-5,E029,Accepted
RCV-40053,PO-31054,1,AC-1054,168,EA,,D-12-3,E032,Accepted
RCV-40054,PO-31055,1,3M-SF401AF,25,EA,,A-16-3,E032,Accepted
RCV-40054,PO-31055,2,3M-SF401AF,84,EA,,A-14-1,E034,Accepted
RCV-40055,PO-31056,1,SHEA-1088,91,EA,,A-28-5,E029,Accepted
RCV-40055,PO-31056,2,SHEA-1088,91,EA,,C-35-5,E035,Accepted
RCV-40055,PO-31056,3,SHEA-1088,91,EA,,A-28-2,E031,Accepted
RCV-40055 ,PO-31056,4,SHEA-1088,91,EA,,A-40-4,E032,Accepted
RCV-40056,PO-31057,1,SHEA-1045,50,EA,,A-22-3,E028,Accepted
RCV-40056,PO-31057,2,GEAR-1073,77,EA ,,D-24-4,E035,Accepted
RCV-40056,PO-31057,3,GEAR-1073,100,EA,,C-31-1,E035,Accepted
RCV-40056,PO-31057,4,AC-1048,24,EA,,E-40-3,E028,Accepted
RCV-40057,PO-31059,1,SPRO-1041,135,EA,,C-12-4,E027,Accepted
RCV-40057,PO-31059,2,SPRO-1078,13,EA,,A-14-2,E034,Accepted
RCV-40058,PO-31060,1,GEAR-1080,179,EA,,D-20-2,E028,Accepted
RCV-40058,PO-31060,2,GEAR-1080,250,EA ,,C-08-2,E036,Accepted
RCV-40058,PO-31060,3,TIMI-1030 ,137,EA,,B-18-1,E035,Accepted
RCV-40059,PO-31061,2,MOUN-1034,35,EA,,E-30-3,E031,Accepted
RCV-40059,PO-31061,3,AC-1057,81,EA,,B-15-1,E028,Accepted
RCV-40060,PO-31062,2,SIG-SF18-80,131,RL,,E-19-3,E038,Accepted
RCV-40060,PO-31062,3,SPRO-1002,25,EA,,B-30-5,E032,Accepted
RCV-40061,PO-31063,1,SHEA-1064,23,EA,,C-22-1,E037,Accepted
RCV-40062,PO-31064,1,SPRO-1002,25,EA,,A-03-3,E027,Accepted
RCV-40062,PO-31064,2,SPRO-1078,13,EA,,A-20-5,E032,Accepted
RCV-40062,PO-31064 ,3,ROLL-1053,109,EA,,E-30-1,E033,Accepted
RCV-40062,PO-31064,4,SPRO-1078,50,EA,,C-10-4 ,E036,Accepted
RCV-40063,PO-31065,1,SPRO-1050,53,EA,,D-07-5,E029,Accepted
RCV-40063,PO-31065,2,AC-1033,142,EA,,E-12-5,E027,Accepted
RCV-40063,PO-31065,3,AC-1033,142,EA,,B-10-1,E027,Accepted
RCV-40064,PO-31066,1,3M-SF401AF,84,EA,,D-34-4,E030,Accepted
RCV-40064,PO-31066,2,3M-SF401AF,84,EA,,D-17-3,E036,Accepted
RCV-40064,PO-31066 ,3,HEN-243,240,EA,,B-27-3,E039,Accepted
RCV-40065,PO-31067,1,AC-1057,10,EA,,E-19-4,E039,Accepted
RCV-40065,PO-31067,2,MOUN-1034,500,EA,,C-28-3,E036,Accepted
RCV-40065,PO-31067,3,TIMI-1056,100,EA,,E-22-1,E035,Accepted
RCV-40066,PO-31068,1,SHEA-1038,101,EA,,E-07-5,E039,Accepted
RCV-40066,PO-31068,2,SHEA-1003,25,EA,,B-01-4,E032,Accepted
RCV-40066,PO-31068,3,GEAR-1073,77,EA,,B-23-1,E038,Accepted
RCV-40067,PO-31069,1,ROLL-1053,109,EA,,A-40-4,E027,Accepted
RCV-40068 ,PO-31070,1,SPRO-1002,132,EA,,A-30-4,E038,Accepted
RCV-40068,PO-31070,2,SPRO-1078,13,EA,,C-06-2,E033,Accepted
RCV-40068,PO-31070,3,SPRO-1078,500,EA,,A-22-3,E034,Accepted
RCV-40069,PO-31071,1,SPRO-1061,163,EA,,E-15-4,E038,Accepted
RCV-40069,PO-31071,2,MOUN-1034,50,EA,,A-36-1,E039,Accepted
RCV-40069,PO-31071,3,SPRO-1061,500,EA,,B-33-3,E030,Accepted
RCV-40070,PO-31072,1,MOUN-1029,103,EA,,E-12-4,E033,Accepted
RCV-40071,PO-31073,1,SHEA-1072,11,EA,,E-21-3,E031,Accepted
RCV-40071,PO-31073,2,MOUN-1008,52,EA,,A-06-4,E029,Accepted
RCV-40072,PO-31074,1,SPRO-1041,135,EA,,D-01-4,E028,Accepted
RCV-40072,PO-31074,2,ULI-S-4123,170,BD,,A-32-3,E035,Accepted
RCV-40072,PO-31074,3,SIG-SF18-80,131,RL,,E-37-3,E039,Accepted
RCV-40072,PO-31074,4,AC-1085,61,EA,,C-38-3,E035,Accepted
RCV-40073,PO-31075,1,TIMI-1071,10,EA,,A-40-1,E039,Accepted
RCV-40073,PO-31075,2,SHEA-1028,250,EA,,A-39-4,E026,Accepted
RCV-40074,PO-31076,1,BRI-HHCS-0500-13-200-G8,79,BX,,A-27-5,E026,Accepted
RCV-40074,PO-31076,2,AC-1054,168,EA,,E-13-2,E030,Accepted
RCV-40074,PO-31076,3,BRI-HHCS-0500-13-200-G8,79,BX,,E-39-2,E036,Accepted
RCV-40075,PO-31077,1,GEAR-1080,179,EA,,F-24-2,E031,Accepted
RCV-40075,PO-31077,2,TIMI-1030,137,EA ,,A-05-4,E034,Accepted
RCV-40075,PO-31077,3,TIMI-1030,137,EA,,D-29-5,E032,Accepted
RCV-40075,PO-31077 ,4,GEAR-1080,179,EA,,B-21-4,E028,Accepted
RCV-40076,PO-31078,1,GEAR-1080,179,EA,,C-38-1,E028 ,Accepted
RCV-40077,PO-31079,1,GAT-B62,289,EA,,E-16-5,E036,Accepted
RCV-40077,PO-31079,2,SHEA-1035,193,EA,,E-10-4,E033,Accepted
RCV-40077,PO-31079,3,GAT-B62,500,EA,,C-16-1,E035,Accepted
RCV-40077,PO-31079,4,GEAR-1016,122,EA,,E-35-5,E034,Accepted
RCV-40078,PO-31080,1,SPRO-1050,53,EA,,C-36-1,E038,Accepted
RCV-40079,PO-31081,1,MOUN-1018,95,EA,,A-03-3,E026,Accepted
RCV-40079,PO-31081,2,TIMI-1056,15,EA,,E-14-3,E033,Accepted
RCV-40079,PO-31081,3,MOUN-1034,35,EA,,A-33-1,E037,Accepted
RCV-40080,PO-31082,1,TIMI-1014,50,EA,,B-04-2,E033,Accepted
RCV-40081,PO-31083,1,SPRO-1041,250,EA,,E-22-3,E034,Accepted
RCV-40081,PO-31083,2,AC-1086,147,EA,,F-32-2,E031 ,Accepted
RCV-40081,PO-31083,3,SPRO-1078,250,EA,,A-03-1,E035,Accepted
RCV-40081,PO-31083,4,AC-1085,100,EA,,D-21-2,E026,Accepted
RCV-40082,PO-31084,1,GEAR-1080,179,EA,,A-06-5,E028,Accepted
RCV-40083,PO-31085,1,GEAR-1010,85,EA,,D-21-1,E039,Accepted
RCV-40083,PO-31085,2,ROLL-1012,50,EA,,A-25-4,E031,Accepted
RCV-40083,PO-31085,3,GEAR-1010,85,EA,,C-10-4,E039,Accepted
RCV-40084,PO-31086,2,DOD-TXT315,215,EA,,E-05-2,E036,Accepted
RCV-40085,PO-31087,1,SHEA-1072,100,EA,,E-35-4,E034,Accepted
RCV-40086,PO-31088,3,SPRO-1027,91,EA,,B-36-1,E026,Accepted
RCV-40087,PO-31089,1,MOUN-1083,250,EA,,C-32-5,E036,Accepted
RCV-40088,PO-31090,1,TIMI-1058,166,EA,,E-30-5 ,E026,Accepted
RCV-40089,PO-31091,1,SPRO-1050,10,EA,,B-08-3,E039,Accepted
RCV-40089,PO-31091,2,AC-1033,50,EA,,A-20-3,E028,Accepted
RCV-40089,PO-31091,3,AC-1033,142,EA,,E-39-1,E029,Accepted
RCV-40089,PO-31091,4,AC-1033,142,EA,,E-40-4,E034,Accepted
RCV-40090,PO-31092,1,3M-SF401AF,25,EA,,C-06-2,E026,Accepted
RCV-40090,PO-31092,2,KIM-G10,10,BX,,C-34-3,E037,Accepted
RCV-40090,PO-31092,3,3M-SF401AF,250,EA,,F-02-4,E031,Accepted
RCV-40091,PO-31093,1,TIMI-1058,166,EA,,A-32-4,E034,Accepted
RCV-40091 ,PO-31093,2,TIMI-1058 ,166,EA,,E-11-4,E027,Accepted
RCV-40091,PO-31093,3,TIMI-1014,250,EA,,E-37-2,E026,Hold
RCV-40092,PO-31094,1,HEN-243,100,EA,,E-09-2,E029,Accepted
RCV-40092,PO-31094,2,3M-SF401AF,84,EA,,C-16-2,E034,Accepted
RCV-40092,PO-31094,3,KIM-G10,25,BX,,E-17-4,E035,Accepted
RCV-40093,PO-31095,1,SPRO-1070,144,EA,,E-12-2,E035,Accepted
RCV-40093,PO-31095,2,SPRO-1055,50,EA,,B-36-3,E027,Accepted
RCV-40093,PO-31095,3,SPRO-1055,25,EA,,A-07-5,E032,Accepted
RCV-40094,PO-31096,1,TIMI-1032,10,EA,,F-20-3,E031 ,Hold
RCV-40094,PO-31096,2,AC-1074,130,EA,,E-36-1,E027,Accepted
RCV-40094,PO-31096,3,SPRO-1015,500,EA,,C-18-2,E031,Accepted
RCV-40095,PO-31097,2,TIMI-1014,94,EA,,D-26-2,E033,Accepted
RCV-40096,PO-31098,1,AC-1054,168,EA,,D-30-4,E038,Hold
RCV-40096,PO-31098,2,AC-1054,168,EA,,A-04-1,E031,Accepted
RCV-40096,PO-31098,3,BRI-HHCS-0500-13-200-G8,79,BX,,F-26-5,E028,Accepted
RCV-40096,PO-31098,4,BRI-HHCS-0500-13-200-G8,79,BX,,D-03-1,E027,Accepted
RCV-40097,PO-31099,1,SHEA-1049,191,EA,,B-02-5,E037,Accepted
RCV-40098,PO-31100,2,SHEA-1072,500,EA,,D-38-2,E029,Accepted
RCV-40099,PO-31101,1,MOUN-1083,138,EA,,C-20-3,E028,Accepted
RCV-40099,PO-31101,2,SHEA-1025,10,EA,,C-26-5,E026,Accepted
RCV-40099,PO-31101,3,MOUN-1083,50,EA,,C-03-1,E034,Accepted
RCV-40100,PO-31102,1,SHEA-1088,100,EA,,B-08-1,E039,Accepted
RCV-40100,PO-31102,2,SHEA-1037,130,EA,,B-31-4,E038,Accepted
RCV-40101,PO-31103,1,SHEA-1068,105,EA ,,B-26-5,E029,Accepted
RCV-40101,PO-31103,2,SHEA-1049,25,EA,,E-05-4,E035,Accepted
RCV-40101,PO-31103,3,SHEA-1049,25,EA,,C-26-1,E031,Accepted
RCV-40101,PO-31103,4,SHEA-1049,191,EA,,F-14-2,E031,Accepted
RCV-40102,PO-31104,1,GAT-B62,289,EA,,B-06-4,E033,Accepted
RCV-40102,PO-31104,2,GEAR-1016,122,EA,,A-18-2,E037,Accepted
RCV-40102,PO-31104,3,ROLL-1021,25,EA,,E-36-5,E032,Hold
RCV-40102,PO-31104,4,ROLL-1021,10,EA,,F-38-3,E037,Accepted
RCV-40103,PO-31105,1,SHEA-1088,91,EA,,C-07-3,E029,Accepted
RCV-40103,PO-31105,2,SPRO-1027,250,EA,,F-20-1,E038,Accepted
RCV-40103,PO-31105,3,SPRO-1027,183,EA,,E-30-3,E032 ,Accepted
RCV-40104,PO-31106,1,TIMI-1014,189,EA,,D-18-1,E028,Accepted
RCV-40104,PO-31106,2,TIMI-1014,189,EA,,A-22-4 ,E033,Accepted
RCV-40104,PO-31106,3,TIMI-1058,166,EA,,F-06-1,E034,Accepted
RCV-40105,PO-31107,1,SHEA-1037,130,EA,,B-29-3,E034,Accepted
RCV-40106,PO-31108,1,AC-1048,24,EA,,B-17-4,E027,Accepted
RCV-40106 ,PO-31108,2,SHEA-1038,100,EA,,E-39-3,E038,Accepted
RCV-40106,PO-31108,3,GEAR-1073,500,EA,,C-40-2,E030,Accepted
RCV-40107,PO-31109 ,2,TIMI-1058,50,EA,,C-10-3,E030,Accepted
RCV-40108,PO-31110,1,TIMI-1030,137,EA,,B-34-5,E030,Accepted
RCV-40109,PO-31111,1,GEAR-1060,500,EA,,A-33-5,E036,Accepted
RCV-40109,PO-31111,2,TIMI-1020,163,EA,,D-28-3,E034,Accepted
RCV-40109,PO-31111,3,GEAR-1067,151,EA,,F-07-3,E032 ,Accepted
RCV-40109,PO-31111,4,MOUN-1062,97,EA,,E-29-4,E039,Accepted
RCV-40110,PO-31112,1,GEAR-1080,179,EA,,B-17-1,E034,Accepted
RCV-40110,PO-31112,2,TIMI-1030,137,EA,,C-01-3,E032,Accepted
RCV-40110,PO-31112,3,GEAR-1080,500,EA,,F-04-1,E028,Accepted
RCV-40111,PO-31113,1,SPRO-1070,144,EA,,B-34-1,E030,Accepted
RCV-40111,PO-31113,2,SPRO-1070,10,EA ,,E-04-2,E029,Accepted
RCV-40111,PO-31113,3,SPRO-1055,38,EA,,C-06-3,E034,Accepted
RCV-40112,PO-31114,1,SPRO-1050,250,EA,,A-07-2,E030,Accepted
RCV-40112,PO-31114,2,SPRO-1050,53,EA,,F-26-3,E038,Accepted
RCV-40113 ,PO-31115,1,GEAR-1060,10,EA,,E-20-5,E035,Accepted
RCV-40113,PO-31115,2,GEAR-1067,100,EA,,D-03-3,E027,Accepted
RCV-40113,PO-31115,3,ROLL-1079,24,EA,,C-07-2,E032,Hold
RCV-40114,PO-31116,1,TIMI-1056,15,EA,,D-04-1,E037,Accepted
RCV-40115,PO-31117,1,TIMI-1058,100,EA,,A-20-2,E032,Accepted
RCV-40115,PO-31117,2,TIMI-1058,166,EA,,B-35-3,E037,Accepted
RCV-40115,PO-31117,3,TIMI-1058,25,EA,,A-31-3,E039,Accepted
RCV-40115,PO-31117,4,TIMI-1058,25,EA,,C-39-1,E031,Accepted
RCV-40116,PO-31118,2,TIM-LM11949-LM11910,10,EA,,B-12-4,E029,Accepted
RCV-40116,PO-31118,3,MOUN-1031,50,EA,,A-09-4,E037,Accepted
RCV-40116,PO-31118,4,DOD-TXT315,215,EA,,B-16-4,E038,Accepted
RCV-40117,PO-31119,1,SHEA-1028,44,EA,,E-21-2,E038,Accepted
RCV-40117,PO-31119,2,AC-1040,171,EA,,F-40-1,E031,Accepted
RCV-40117,PO-31119,3,SHEA-1028,100,EA,,E-32-3,E031,Accepted
RCV-40118,PO-31120,1,SPRO-1015,160,EA,,A-08-3,E037,Accepted
RCV-40118,PO-31120,2,SKF-6308-2Z,192,EA,,A-36-3,E032,Accepted
RCV-40118,PO-31120,3,MOUN-1031,100,EA,,D-30-1,E030,Accepted
RCV-40119,PO-31121,1,SHEA-1007,100,EA,,F-40-1,E028,Accepted
RCV-40120,PO-31122,1,SHEA-1038,101,EA,,D-30-2,E035,Accepted
RCV-40120,PO-31122,2,AC-1063,199,EA,,B-07-2,E034,Accepted
RCV-40121,PO-31123,1,TIMI-1071,136,EA,,D-09-4,E027,Accepted
RCV-40121,PO-31123,2,SHEA-1028,25,EA,,E-08-5,E034,Accepted
RCV-40122,PO-31124,1,MOUN-1083,138,EA,,A-10-4,E039,Accepted
RCV-40123,PO-31125,1,SIG-SF18-80,100,RL,,B-18-4,E026,Accepted
RCV-40123,PO-31125,2,SIG-SF18-80,131,RL,,C-12-3,E035,Accepted
RCV-40124,PO-31126,1,SPRO-1050,53,EA,,A-03-5,E029,Accepted
RCV-40124,PO-31126,2,AC-1033,100,EA,,B-13-1,E038,Accepted
RCV-40125,PO-31127,1,GEAR-1080,179,EA,,A-33-5,E029,Accepted
RCV-40125,PO-31127,2,TIMI-1030,137,EA,,B-03-1,E036,Accepted
RCV-40126,PO-31128,1,SPRO-1027,250,EA,,E-12-2,E029,Hold
RCV-40127,PO-31129,1,AC-1054,168,EA,,D-40-3,E028,Accepted
RCV-40128,PO-31130,1,SPRO-1009,125,EA,,E-21-5 ,E038,Accepted
RCV-40128,PO-31130,2,SPRO-1009,172,EA,,E-07-1,E036,Accepted
RCV-40128,PO-31130,3,MOUN-1008,52,EA,,D-25-4,E039,Hold
RCV-40129,PO-31131,1,AC-1006,169,EA,,B-04-4,E039,Accepted
RCV-40130,PO-31132,1,SPRO-1050,53,EA,,F-37-1,E030,Accepted
RCV-40130,PO-31132,2,AC-1033,142,EA,,B-01-4,E030,Accepted
RCV-40130,PO-31132,3,SPRO-1050,250,EA,,D-19-1,E035,Accepted
RCV-40131,PO-31133,1,AC-1054,50,EA,,C-22-2,E039,Accepted
RCV-40132,PO-31134,1,MOUN-1083,25,EA,,B-40-5,E029,Accepted
RCV-40132,PO-31134,2,TIMI-1000,84,EA,,A-27-4,E038,Accepted
RCV-40132,PO-31134,3,MOUN-1083,138,EA,,D-36-3,E035,Accepted
RCV-40132,PO-31134,4,MOUN-1083 ,138,EA,,C-29-1,E034,Accepted
RCV-40133,PO-31135,1,SHEA-1045,169,EA,,E-38-1,E038,Accepted
RCV-40133,PO-31135,2,AC-1048,24,EA,,D-19-1,E036,Accepted
RCV-40134,PO-31136,1,AC-1048,250,EA,,F-17-2,E039,Accepted
