Supplier Invoice Number,Po Number,Receipt Id,Po Amount,Received Amount,Invoiced Amount,Variance,Result,Tolerance Pct,Resolved
SI9033609,PO-31048,RCV-40047,33564.22,33564.22,33841.22,277.0,Price variance,2.0,Y
5648433,PO-31049,RCV-40048,32881.6,26620.4,26620.4,0.0,Matched,2.0,Y
SI4693485,PO-31050,RCV-40049,129436.78,129436.78,129436.78,0.0,Matched,2.0,Y
INV5740380,PO-31051,RCV-40050,25345.0,25345.0,25345.0,0.0,Matched,2.0,Y
96832322,PO-31052,RCV-40051,3203.4,3203.4,3203.4,0.0,Matched ,2.0,Y
INV3391737,PO-31053,RCV-40052,66656.66,66656.66,66937.2,280.54,Price variance,2.0,Y
91637374,PO-31054,RCV-40053,307201.44,307201.44,307201.44,0.0,Matched,2.0,Y
1684698,PO-31055,RCV-40054,441.45,441.45,441.45,0.0,Matched,2.0,Y
SI2123422,PO-31056,RCV-40055,69083.56,69083.56,69429.36,345.8,Price variance,2.0,Y
INV206319,PO-31057,RCV-40056,384447.97,384447.97,384447.97,0.0,Matched,2.0,Y
SI7699281,PO-31059,RCV-40057,5672.5,5672.5,5699.54,27.04,Price variance,2.0,Y
94566515,PO-31060,RCV-40058,664393.75,664393.75,672186.25,7792.5,Price variance,2.0,Y
INV9233430,PO-31061,RCV-40059,56512.03,56512.03,56512.03,0.0,Matched,2.0,Y
4562271,PO-31062,RCV-40060,4868.6,4868.6,4868.6,0.0,Matched,2.0,Y
646076,PO-31063,RCV-40061,3217.24,3217.24,3217.24,0.0,Matched,2.0,Y
4670772,PO-31064,RCV-40062,15550.15,15550.15,15550.15,0.0,Matched,2.0,Y
8305112,PO-31065,RCV-40063,315827.33,315827.33,315827.33,0.0,Matched,2.0,Y
6947904,PO-31066,RCV-40064,5984.4,5984.4,5984.4,0.0,Matched,2.0,Y
INV5558310,PO-31067,RCV-40065,20501.8,20501.8,20976.8,475.0,Price variance,2.0,Y
SI9802172,PO-31068,RCV-40066,185117.78,185117.78,185117.78,0.0,Matched,2.0,Y
99058267,PO-31069,RCV-40067,9384.9,9384.9,9384.9,0.0,Matched,2.0,Y
9837104,PO-31070,RCV-40068,44198.06,44198.06,44198.06,0.0,Matched,2.0,Y
INV3066238,PO-31071,RCV-40069,59057.64,59057.64,59057.64,0.0,Matched,2.0,Y
SI4471251,PO-31072,RCV-40070,8886.84,8886.84,8886.84,0.0,Matched,2.0,Y
3279767,PO-31073,RCV-40071,4888.3,4888.3,4888.3,0.0,Matched,2.0,Y
SI1658736,PO-31074,RCV-40072,36022.73,36022.73,36022.73,0.0,Matched,2.0,Y 
1177837,PO-31075,RCV-40073,71898.5,71898.5,71898.5,0.0,Matched,2.0,Y
96901149,PO-31076,RCV-40074,314271.94,314271.94,320451.25,6179.31,Price variance,2.0,Y
INV9588895,PO-31077,RCV-40075,550056.39,550056.39,550056.39,0.0,Matched,2.0,Y
INV2218397,PO-31078,RCV-40076,265695.07,265695.07,265695.07,0.0,Matched,2.0,Y
94757308,PO-31079,RCV-40077,315301.38,315301.38,315301.38,0.0,Matched,2.0,Y
4758210,PO-31080,RCV-40078,681.05,681.05,681.05,0.0,Matched,2.0,Y
SI6624399,PO-31081,RCV-40079,11252.1,11252.1,11252.1,0.0,Matched,2.0,Y
93294665,PO-31082,RCV-40080,2474.0,2474.0,2474.0,0.0,Matched,2.0,Y
SI3304553,PO-31083,RCV-40081,414182.42,414182.42,414182.42,0.0,Matched,2.0,Y
92876398,PO-31084,RCV-40082,265695.07,265695.07,265695.07,0.0,Matched,2.0,Y
5821287,PO-31085,RCV-40083,480415.15,480415.15,480415.15,0.0,Matched,2.0,Y
91347766,PO-31086,RCV-40084,253700.0,253700.0,253700.0,0.0,Matched,2.0,Y
SI9755882,PO-31087,RCV-40085,10604.0,10604.0,10604.0,0.0,Matched,2.0,Y
3456834,PO-31088,RCV-40086,14270.34,7096.18,7096.18,0.0,Matched,2.0,Y
INV6468586,PO-31089,RCV-40087,21942.5,21942.5,21942.5,0.0,Matched,2.0,Y
7597081,PO-31090,RCV-40088,14018.7,14018.7,14018.7,0.0,Matched,2.0,Y
SI5134844,PO-31091,RCV-40089,367467.18,367467.18,367467.18,0.0,Matched,2.0,Y
96217029,PO-31092,RCV-40090,1227.75,1227.75,1227.75,0.0,Matched,2.0,Y
95753238,PO-31093,RCV-40091,40284.9,40284.9,40284.9,0.0,Matched,2.0,Y
6878908,PO-31094,RCV-40092,2879.2,2879.2,2893.45,14.25,Price variance,2.0,Y
INV2881961,PO-31095,RCV-40093,5326.74,5326.74,5326.74,0.0,Matched,2.0,Y
4084421,PO-31096,RCV-40094,249504.3,249504.3,249504.3,0.0,Matched,2.0,Y
SI6435742,PO-31097,RCV-40095,9351.72,4651.12,4651.12,0.0,Matched,2.0,Y
SI9769797,PO-31098,RCV-40096,633866.76,633866.76,633866.76,0.0,Matched,2.0,Y
98341182,PO-31099,RCV-40097 ,29299.4,29299.4,29299.4,0.0,Matched,2.0,Y
SI1798694,PO-31100,RCV-40098,50980.0,50980.0,50980.0,0.0,Matched,2.0,Y
95318323,PO-31101,RCV-40099,22413.36,18024.86,18024.86,0.0,Matched,2.0,Y
9394749,PO-31102,RCV-40100,31856.8,31856.8,31856.8,0.0,Matched,2.0,Y
SI2061471,PO-31103,RCV-40101,55951.3,55951.3,55951.3,0.0,Matched,2.0,Y
97342566,PO-31104 ,RCV-40102,282892.92,282892.92,293947.34,11054.42,Price variance,2.0,Y
6013528,PO-31105,RCV-40103,50863.33,50863.33,51034.41,171.08,Price variance,2.0,Y
7473736,PO-31106,RCV-40104,32441.6,32441.6,32441.6,0.0,Matched,2.0,Y
99749431,PO-31107,RCV-40105,12877.8,12877.8,13263.9,386.1,Price variance,2.0,Y
98083799,PO-31108,RCV-40106,1040794.28,1040794.28,1040794.28,0.0,Matched,2.0,Y
95802295,PO-31109,RCV-40107,4138.0,4138.0,4303.5,165.5,Price variance,2.0,Y
SI6444561,PO-31110,RCV-40108,8880.34,8880.34,8880.34,0.0,Matched,2.0,Y
SI9255157,PO-31111,RCV-40109 ,1649579.19,1649579.19,1649579.19,0.0,Matched,2.0,Y
94368276,PO-31112,RCV-40110,1016921.25,1016921.25,1016921.25,0.0,Matched,2.0,Y
INV2818920,PO-31113,RCV-40111,4559.56,4559.56,4559.56,0.0,Matched,2.0,Y
7461611,PO-31114,RCV-40112,3861.05,3861.05,3861.05,0.0,Matched,2.0,Y
4380612,PO-31115,RCV-40113,83296.9,83296.9,83296.9,0.0,Matched ,2.0,Y
9342146,PO-31116,RCV-40114,258.15,258.15,258.15,0.0,Matched,2.0,Y
SI2517757,PO-31117,RCV-40115,26686.2,26686.2,26686.2,0.0,Matched,2.0,Y
9259945,PO-31118,RCV-40116,255715.0,255715.0,260791.3,5076.3,Price variance,2.0,N
INV726543,PO-31119,RCV-40117,145196.64,145196.64,145196.64,0.0,Matched,2.0,Y
2082537,PO-31120,RCV-40118,17778.8,17778.8,17778.8,0.0,Matched,2.0,Y
94060450,PO-31121,RCV-40119,12994.0,12994.0,12994.0,0.0,Matched,2.0,Y
INV5541275,PO-31122,RCV-40120,363594.04,363594.04,363594.04,0.0,Matched,2.0,Y
5299984,PO-31123,RCV-40121,17294.6,17294.6,17294.6,0.0,Matched,2.0,Y
5890986,PO-31124,RCV-40122,12112.26,12112.26,12112.26,0.0,Matched,2.0,Y
SI6772560,PO-31125 ,RCV-40123,5657.6,5657.6,5657.6,0.0,Matched ,2.0,Y
96041340,PO-31126,RCV-40124,110008.05,110008.05,110008.05,0.0,Matched,2.0,Y
SI3260903,PO-31127,RCV-40125,274756.25,274756.25,274756.25,0.0,Matched,2.0,Y
99004703,PO-31128,RCV-40126,19495.0,19495.0,19495.0,0.0,Matched,2.0,Y
92595741,PO-31129,RCV-40127,307201.44,307201.44,316417.92,9216.48,Price variance,2.0,Y
INV8069868,PO-31130,RCV-40128,14088.96,11021.46,11021.46,0.0,Matched,2.0,Y
91844964,PO-31131,RCV-40129,356456.49,356456.49,356456.49,0.0,Matched,2.0,Y
9711989,PO-31132,RCV-40130,159072.89,159072.89,159072.89,0.0,Matched,2.0,Y
95483298,PO-31133,RCV-40131,91429.0,91429.0,91429.0,0.0,Matched,2.0,Y
INV5365710,PO-31134,RCV-40132,30075.29,30075.29,30075.29,0.0,Matched,2.0,Y
SI1733959,PO-31135,RCV-40133,49949.2,49949.2,49949.2,0.0,Matched,2.0,Y
SI3436835,PO-31136,RCV-40134,436367.5,436367.5,436367.5,0.0,Matched,2.0,Y
SI7132334,PO-31137,RCV-40135,7875.15,7875.15,7896.95,21.8,Price variance,2.0,Y
97037180,PO-31138,RCV-40136,993452.84,993452.84,993452.84,0.0,Matched,2.0,Y 
93940035,PO-31139,RCV-40137,36372.28,36372.28,36372.28,0.0,Matched,2.0,Y
SI1368756,PO-31140,RCV-40138,26564.58,26564.58,26564.58,0.0,Matched,2.0,Y
7024660,PO-31141,RCV-40139,3256.3,3256.3,3256.3,0.0,Matched,2.0,Y
95840640,PO-31142,RCV-40140,60925.92,60925.92,60925.92,0.0,Matched,2.0,Y
448751,PO-31143,RCV-40141,208291.2,208291.2,208291.2,0.0,Matched,2.0,Y
95549720,PO-31144,RCV-40142,38633.4,32194.5,32194.5,0.0,Matched,2.0,Y
109103,PO-31145,RCV-40143,4772.25,2368.45,2368.45,0.0,Matched,2.0,Y
SI8732439,PO-31146,RCV-40144 ,7173.25,7173.25,7173.25,0.0,Matched,2.0,Y
INV5198809,PO-31147,RCV-40145,3399.0,3399.0,3399.0,0.0,Matched,2.0,Y
8468911,PO-31148,RCV-40146,216208.2,216208.2,216208.2,0.0,Matched,2.0,Y
91551864,PO-31149,RCV-40147,373304.05,373304.05,373304.05,0.0,Matched,2.0,Y
98953038,PO-31150,RCV-40148,274756.25,274756.25,274756.25,0.0,Matched,2.0,Y
8742021,PO-31151,RCV-40149,48186.81,48186.81,48186.81,0.0,Matched,2.0,Y
INV8727064,PO-31152,RCV-40150,550941.68,550941.68,550941.68,0.0,Matched,2.0,Y
SI4669700,PO-31153,RCV-40151,564236.44,564236.44,564236.44,0.0,Matched,2.0,Y
SI7143444,PO-31155,RCV-40152,3543.6,3543.6,3543.6,0.0,Matched,2.0,Y
SI5930594,PO-31156,RCV-40153,274987.07,274987.07,275014.1,27.03,Price variance,2.0,Y
SI6466811,PO-31157,RCV-40154,877.7,877.7,877.7,0.0,Matched,2.0,Y
SI1558178,PO-31158,RCV-40155,236652.75,116934.3,116934.3,0.0,Matched,2.0,Y
INV2123111,PO-31159,RCV-40156,10691.85,9730.61,9730.61,0.0,Matched ,2.0,Y
93181566,PO-31160,RCV-40157,82676.3,82676.3,82676.3,0.0,Matched,2.0,Y
SI3336768,PO-31161,RCV-40158,1968.0,1968.0,1968.0,0.0,Matched,2.0,Y
93318974,PO-31162,RCV-40159,318931.45,318931.45,318958.48,27.03,Price variance,2.0,N
96661192,PO-31163,RCV-40160,73242.04,73242.04,73242.04,0.0,Matched,2.0,Y
9500966,PO-31164,RCV-40161,311773.68,311773.68,311773.68,0.0,Matched,2.0,Y
4996299,PO-31165,RCV-40162,29823.28,29823.28,29823.28,0.0,Matched,2.0,Y
95876187,PO-31166 ,RCV-40163,26190.34,26190.34,26190.34,0.0,Matched,2.0,Y
SI4400080,PO-31167,RCV-40164,6133.55,6133.55,6133.55,0.0,Matched,2.0,Y
93400426,PO-31168,RCV-40165,17535.04,17535.04,17535.04,0.0,Matched,2.0,Y
95260900,PO-31169,RCV-40166,1445.2,1445.2,1445.2,0.0,Matched,2.0,Y
SI7324713,PO-31170,RCV-40167,27592.92,27592.92,28012.08,419.16,Price variance,2.0,Y
2153364,PO-31171,RCV-40168,1148.0,1148.0,1148.0,0.0,Matched,2.0,Y
91503695,PO-31172,RCV-40169,74536.98,74536.98,74536.98,0.0,Matched,2.0,Y
8398455,PO-31173,RCV-40170,679.8,679.8,679.8,0.0,Matched,2.0,Y
INV5261305,PO-31174,RCV-40171,79333.5,79333.5,79333.5,0.0,Matched,2.0,Y
3014766,PO-31175,RCV-40172,689650.98,689650.98,689650.98,0.0,Matched,2.0,Y
SI3024328,PO-31176,RCV-40173,393612.52,393612.52,393612.52,0.0,Matched,2.0,Y
9550811,PO-31178,RCV-40174,15586.99,15586.99,15586.99,0.0,Matched,2.0,Y
5443768,PO-31179,RCV-40175,85801.2,85801.2,85801.2,0.0,Matched,2.0,Y
96646164,PO-31180,RCV-40176,155559.09,155559.09,155559.09,0.0,Matched,2.0,Y
SI3058951,PO-31181,RCV-40177,206364.1,206364.1,206364.1,0.0,Matched,2.0,Y
INV724163,PO-31182,RCV-40178,7331.2,7331.2,7384.0,52.8,Price variance,2.0,Y
96006366,PO-31183,RCV-40179,90390.0,90390.0,90390.0,0.0,Matched,2.0,Y
96163998,PO-31184,RCV-40180,266356.47,266356.47,266356.47,0.0,Matched,2.0,Y
SI1575334,PO-31185,RCV-40181,22939.36,21987.64,21987.64,0.0,Matched,2.0,Y
SI9961460,PO-31186,RCV-40182,6870.8,6870.8,6870.8,0.0,Matched,2.0,Y
SI844930,PO-31187,RCV-40183,445.5,445.5,445.5,0.0,Matched ,2.0,Y
97579869,PO-31188,RCV-40184,679.8,679.8,707.0,27.2,Price variance,2.0,N
SI8925461,PO-31189,RCV-40185,14852.0,14852.0,14852.0,0.0,Matched,2.0,Y
SI9082381,PO-31190,RCV-40186,8195.08,8195.08,8195.08,0.0,Matched,2.0,Y
SI8506966,PO-31191,RCV-40187,92985.35,92985.35,92985.35,0.0,Matched,2.0,Y
95248089,PO-31192,RCV-40188,31069.78,31069.78,31069.78,0.0,Matched,2.0,Y
SI217493,PO-31193,RCV-40189,328926.69,328926.69,328926.69,0.0,Matched,2.0,Y
INV3621013,PO-31194,RCV-40190,358371.85,358371.85,358371.85,0.0,Matched ,2.0,Y
95671661,PO-31195,RCV-40191,61059.0,61059.0,61059.0,0.0,Matched,2.0,Y 
INV2256463,PO-31196,RCV-40192,9351.72,9351.72,9351.72,0.0,Matched,2.0,Y 
INV8696889,PO-31197,RCV-40193,83988.6,83988.6,83988.6,0.0,Matched,2.0,Y
INV5184272 ,PO-31198,RCV-40194,60853.45,60853.45,60853.45,0.0,Matched,2.0,Y
94842569,PO-31199,RCV-40195,22268.55,22268.55,22268.55,0.0,Matched,2.0,Y
INV5429818,PO-31200,RCV-40196,155244.34,155244.34,155244.34,0.0,Matched,2.0,Y
SI9757803,PO-31201,RCV-40197,55653.48,55653.48,55653.48,0.0,Matched,2.0,Y
1789786,PO-31202,RCV-40198,15631.35,15631.35,15631.35,0.0,Matched,2.0,Y
SI9018185,PO-31203 ,RCV-40199,1667.4,1667.4,1700.65,33.25,Price variance,2.0,Y
9810290,PO-31204,RCV-40200,216563.2,216563.2,216563.2,0.0,Matched,2.0,Y
INV4494787,PO-31205,RCV-40201,8847.6,8677.5,8677.5,0.0,Matched,2.0,Y
1336619,PO-31206,RCV-40202,26388.7,26388.7,26388.7,0.0,Matched,2.0,Y
INV3472357,PO-31207,RCV-40203,30020.9,30020.9,30100.9,80.0,Price variance,2.0,N
SI9859808,PO-31208,RCV-40204,1152811.78,1152811.78,1152811.78,0.0,Matched,2.0,Y
INV6781275,PO-31209,RCV-40205,33677.13,32200.73,32200.73,0.0,Matched,2.0,Y
INV3835099,PO-31211,RCV-40206,1314045.14,1314045.14,1314045.14,0.0,Matched,2.0,Y 
91360287,PO-31212,RCV-40207,702560.39,702560.39,702560.39,0.0,Matched ,2.0,Y
99533002,PO-31213,RCV-40208,151222.74,151222.74,151222.74,0.0,Matched,2.0,Y
6529587,PO-31214,RCV-40209,880792.92,880792.92,880792.92,0.0,Matched,2.0,Y
9127562,PO-31215,RCV-40210,11505.22,11505.22,11505.22,0.0,Matched,2.0,Y
SI6235817,PO-31216,RCV-40211,6798.0,6798.0,6798.0,0.0,Matched,2.0,Y
SI8103127,PO-31217,RCV-40212,510129.83,356529.11,356529.11,0.0,Matched,2.0,Y
INV7957484,PO-31218 ,RCV-40213,10196.0,10196.0,10196.0,0.0,Matched,2.0,Y
INV9629691,PO-31219,RCV-40214,7382.0,3543.36,3543.36,0.0,Matched,2.0,Y
INV5696508,PO-31221,RCV-40215,8066.05,8066.05,8066.05,0.0,Matched,2.0,Y
SI6578947,PO-31222,RCV-40216,246.0,246.0,246.0,0.0,Matched,2.0,Y
94218643,PO-31223,RCV-40217,551590.99,551590.99,551590.99,0.0,Matched,2.0,Y
96758296,PO-31224,RCV-40218,10586.8,10586.8,10586.8,0.0,Matched,2.0,Y
9761925,PO-31226,RCV-40219,17535.04,17535.04,17535.04,0.0,Matched,2.0,Y
INV5184730,PO-31227,RCV-40220,155939.17,155939.17,155939.17,0.0,Matched,2.0,Y
SI3015425,PO-31228,RCV-40221,428671.78,428671.78,428671.78,0.0,Matched,2.0,Y
INV1314900,PO-31229,RCV-40222,31541.23,31541.23,31541.23,0.0,Matched,2.0,Y
INV4727820,PO-31230,RCV-40223,9075.52,9075.52,9075.52,0.0,Matched,2.0,Y
INV1531737,PO-31231,RCV-40224,336723.56,336723.56,336723.56,0.0,Matched,2.0,Y
SI119762,PO-31232,RCV-40225,85827.54,85827.54,85827.54,0.0,Matched,2.0,Y
5328758,PO-31233,RCV-40226,289772.96,289772.96,289772.96,0.0,Matched,2.0,Y
6328148 ,PO-31234,RCV-40227,254308.96,254308.96,254308.96,0.0,Matched,2.0,Y
INV4744587,PO-31235,RCV-40228,293999.24,293999.24,299209.61,5210.37,Price variance,2.0,Y
INV5206160,PO-31236,RCV-40229,5184.0,5184.0,5184.0,0.0,Matched,2.0,Y
97264916,PO-31237,RCV-40230,40252.69,40252.69,40252.69,0.0,Matched,2.0,Y
INV8575934,PO-31239,RCV-40231,16850.0,16850.0,16850.0,0.0,Matched,2.0,Y
8513875,PO-31240,RCV-40232,249990.0,249990.0,249990.0,0.0,Matched,2.0,Y
92367300,PO-31241,RCV-40233,31541.23,31541.23,31541.23,0.0,Matched,2.0,Y
SI4617165,PO-31242,RCV-40234,678497.12,678497.12,678497.12,0.0,Matched,2.0,Y
SI2041771,PO-31243,RCV-40235,665.7,665.7,665.7,0.0,Matched,2.0,Y
93302649,PO-31244,RCV-40236 ,34147.26,34147.26,34147.26,0.0,Matched,2.0,Y
INV6862298,PO-31245,RCV-40237,4220.88,4220.88,4220.88,0.0,Matched,2.0,Y
INV4176752,PO-31246,RCV-40238 ,8728.0,8728.0,8728.0,0.0,Matched,2.0,Y
91364630,PO-31247,RCV-40239,2230.74,2230.74,2230.74,0.0,Matched,2.0,Y
SI6592247,PO-31248,RCV-40240,21298.38,21298.38,21331.13,32.75,Price variance,2.0,Y
93864620,PO-31249,RCV-40241,51259.1,51259.1,51259.1,0.0,Matched,2.0,Y
99809757,PO-31250,RCV-40242,4854.64,4854.64,4854.64,0.0,Matched,2.0,Y
INV3593183,PO-31251,RCV-40243,156606.44,156259.49,156259.49,0.0,Matched,2.0,Y
3062153,PO-31252,RCV-40244,61114.7,61114.7,61114.7,0.0,Matched,2.0,Y
SI2748175,PO-31253,RCV-40245,21211.7,12444.18,12444.18,0.0,Matched,2.0,Y
5740867,PO-31254,RCV-40246,14879.7,14879.7,14879.7,0.0,Matched,2.0,Y
9759450,PO-31255,RCV-40247,51859.0,51859.0,51859.0,0.0,Matched,2.0,Y
INV5746916,PO-31256,RCV-40248,408934.24,408934.24,408934.24,0.0,Matched,2.0,Y
9750341,PO-31257,RCV-40249,397459.64,397459.64,397459.64,0.0,Matched,2.0,Y
6200379,PO-31258,RCV-40250 ,280141.84,280141.84,280141.84,0.0,Matched,2.0,Y
95700268,PO-31259,RCV-40251,276449.39,264569.39,264569.39,0.0,Matched,2.0,Y
SI4561766,PO-31260,RCV-40252,37883.92,37883.92,38085.83,201.91,Price variance,2.0,Y
96174862,PO-31261,RCV-40253,1270.0,1270.0,1270.0,0.0,Matched,2.0,Y
SI9776651,PO-31262,RCV-40254,11932.8,11932.8,11932.8,0.0,Matched,2.0,Y
INV824052,PO-31264,RCV-40255,414838.5,414838.5,414838.5,0.0,Matched,2.0,Y
SI1725755,PO-31265,RCV-40256,168094.34,168094.34,168094.34,0.0,Matched,2.0,Y
INV4351435,PO-31266,RCV-40257,3203.4,3203.4,3203.4,0.0,Matched,2.0,Y
6779292,PO-31267,RCV-40258,4854.64,4854.64,4854.64,0.0,Matched,2.0,Y
SI4823123,PO-31268,RCV-40259,2463.6,2463.6,2463.6,0.0,Matched,2.0,Y
93923550,PO-31269,RCV-40260,23679.32,23679.32,23679.32,0.0,Matched,2.0,Y
99208006,PO-31270,RCV-40261,37468.53,37468.53,37468.53,0.0,Matched,2.0,Y
97519776,PO-31271,RCV-40262,13470.0,13470.0,13470.0,0.0,Matched ,2.0,Y
SI3366405,PO-31272,RCV-40263,12877.8,12877.8,12877.8,0.0,Matched,2.0,Y
INV5400499,PO-31274,RCV-40264,6444.0,6444.0,6444.0,0.0,Matched,2.0,Y
INV8229764,PO-31275,RCV-40265,348972.75,348972.75,348972.75,0.0,Matched,2.0,Y
1501403,PO-31276,RCV-40266,11096.37,11096.37,11096.37,0.0,Matched,2.0,Y
2587784,PO-31277,RCV-40267,28484.6,28484.6,28484.6,0.0,Matched,2.0,Y
93235474,PO-31278,RCV-40268,429242.89,429242.89,429242.89,0.0,Matched,2.0,Y
9850487,PO-31279,RCV-40269,703241.44,703241.44,703241.44,0.0,Matched,2.0,Y
92294328,PO-31280,RCV-40270,94396.5,94231.4,94244.15,12.75,Price variance,2.0,N
99035239,PO-31281,RCV-40271,279703.43,279703.43,279703.43,0.0,Matched,2.0,Y
SI4235034,PO-31282,RCV-40272,130835.78,130835.78,130835.78,0.0,Matched,2.0,Y
INV6742790,PO-31283,RCV-40273,3543.6,1766.1,1766.1,0.0,Matched,2.0,Y
5040474,PO-31284,RCV-40274,104214.24,104214.24,104214.24,0.0,Matched,2.0,Y
7379500,PO-31285,RCV-40275,283817.43,283817.43,283817.43,0.0,Matched,2.0,Y
6183022,PO-31286,RCV-40276,34437.8,34437.8,34437.8,0.0,Matched,2.0,Y
99706485,PO-31288,RCV-40277,28055.16,28055.16,28055.16,0.0,Matched,2.0,Y
SI7006862,PO-31289,RCV-40278,365473.43,365473.43,365473.43,0.0,Matched,2.0,Y
SI5743384,PO-31290,RCV-40279,32485.0,32485.0,32485.0,0.0,Matched,2.0,Y
7124789,PO-31291,RCV-40280,69880.12,69880.12,69880.12,0.0,Matched,2.0,Y 
97807069,PO-31292,RCV-40281,5506.5,5506.5,5506.5,0.0,Matched ,2.0,Y
INV2392659,PO-31293,RCV-40282,7487.99,7487.99,7603.59,115.6,Price variance,2.0,Y
368598,PO-31294,RCV-40283,284864.91,284864.91,284864.91,0.0,Matched,2.0,Y
INV565538,PO-31295,RCV-40284,53710.57,53710.57,53710.57,0.0,Matched,2.0,Y
INV5451981,PO-31296,RCV-40285,21923.91,21923.91,22126.71,202.8,Price variance,2.0,Y
SI2389111,PO-31297,RCV-40286,799741.57,799741.57,799741.57,0.0,Matched,2.0,Y
SI7831341,PO-31298,RCV-40287,8886.84,8886.84,8886.84,0.0,Matched,2.0,Y
93741896,PO-31299,RCV-40288,6097.55,6097.55,6097.55,0.0,Matched,2.0,Y
