Asn Id,Po Number,Supplier Id,Ship Date,Carrier,Tracking Number,Cartons,Weight Lb
ASN-PO-31052,PO-31052,KBD-V007,2025-06-24,UPS Ground,1Z3130799638,1,522
ASN-PO-31054,PO-31054,KBD-V006,2025-07-28,UPS Ground,1Z7812230563 ,9,439
ASN-PO-31055,PO-31055,KBD-V007,2025-09-04,LTL - Estes,297812162015,6,506
ASN-PO-31056,PO-31056,KBD-V017,2025-09-12,Will Call,870833970114,11,237
ASN-PO-31060,PO-31060,KBD-V014,2025-06-05,Will Call,744819657555,12,429
ASN-PO-31061,PO-31061,KBD-V015,2026-01-09,FedEx Ground,703289422454,10,593
ASN-PO-31063,PO-31063,KBD-V011,2026-03-30,FedEx Ground,564992072714,7,456
ASN-PO-31065,PO-31065,KBD-V004,2025-05-19,FedEx Ground,488735935499,6,752
ASN-PO-31066 ,PO-31066,KBD-V007,2025-10-04,Will Call,849790581169,8,35
ASN-PO-31068,PO-31068,KBD-V005,2025-10-06,LTL - Estes,641276273675,6,725
ASN-PO-31070,PO-31070 ,KBD-V018,2025-06-02,FedEx Ground,123347428200,4,136
ASN-PO-31071,PO-31071,KBD-V015,2025-11-24,UPS Ground,1Z2782562818,10,359
ASN-PO-31072,PO-31072,KBD-V009,2026-03-12,UPS Ground,1Z3949596915,3,571
ASN-PO-31073,PO-31073,KBD-V011,2025-10-09,UPS Ground,1Z4210056495,9,723
ASN-PO-31074,PO-31074,KBD-V018,2025-09-20,UPS Ground,1Z9243793690,12,743
ASN-PO-31075,PO-31075,KBD-V012,2026-03-06 ,FedEx Ground,138881492902,2,699
ASN-PO-31076,PO-31076,KBD-V006,2025-07-29,LTL - Estes,985279318822,3,108
ASN-PO-31078,PO-31078,KBD-V014,2025-07-04,UPS Ground,1Z9452274435,9,256
ASN-PO-31082,PO-31082,KBD-V013,2026-02-25,LTL - Estes,444276930112,3,729
ASN-PO-31085,PO-31085,KBD-V009,2025-11-30,UPS Ground,1Z9899997808,2,678
ASN-PO-31086,PO-31086,KBD-V003,2026-03-28,LTL - Estes,653279911875,1,132
ASN-PO-31088,PO-31088,KBD-V017,2026-03-29,Will Call,237914634231,7,212
ASN-PO-31089,PO-31089,KBD-V002,2025-09-10,UPS Ground,1Z9682709361,6,117
ASN-PO-31091,PO-31091,KBD-V004,2025-09-01,FedEx Ground,827378566634,12,43
ASN-PO-31092,PO-31092,KBD-V007,2025-08-11,FedEx Ground,418709754585,9,56
ASN-PO-31094,PO-31094,KBD-V007,2025-06-05,Will Call,551225575360,10,797
ASN-PO-31095,PO-31095,KBD-V016,2026-01-31,Supplier Truck,201967097777,8,41
ASN-PO-31096,PO-31096,KBD-V003,2025-10-11,Will Call,806274536729,8,380
ASN-PO-31097,PO-31097,KBD-V013,2026-03-28,FedEx Ground,461827054099,5,82
ASN-PO-31098,PO-31098,KBD-V006,2025-07-23,LTL - Estes,833512041344,8,693
ASN-PO-31100,PO-31100,KBD-V011,2026-03-17,LTL - Estes,544953131792,6,243
ASN-PO-31104,PO-31104,KBD-V010,2025-06-28,LTL - Estes,272753028758,6,208
ASN-PO-31105,PO-31105,KBD-V017,2025-12-19,Will Call,330607148701,4,251
ASN-PO-31106,PO-31106,KBD-V013,2025-08-09,UPS Ground,1Z8687828661,8,550
ASN-PO-31107,PO-31107,KBD-V017,2025-04-26,FedEx Ground,766901776260,8,467
ASN-PO-31112,PO-31112,KBD-V014,2026-01-10,UPS Ground,1Z6391214264,9,79
ASN-PO-31119,PO-31119,KBD-V012,2026-02-19,Will Call,579525803019,9,413
ASN-PO-31120,PO-31120,KBD-V003,2025-10-13,LTL - Estes,222756739684,1,144
ASN-PO-31121,PO-31121,KBD-V018,2025-08-08,LTL - Estes,293687534954,5,580
ASN-PO-31122,PO-31122,KBD-V005,2025-11-10,Supplier Truck,473715858263,5,651
ASN-PO-31123,PO-31123,KBD-V012,2025-11-08,LTL - Estes,497297727758,5,730
ASN-PO-31125,PO-31125,KBD-V018,2025-12-05,LTL - Estes,174519972629,10,275
ASN-PO-31126,PO-31126,KBD-V004,2025-07-18,Will Call,963576207574,2,409
ASN-PO-31130,PO-31130,KBD-V011,2025-06-19,FedEx Ground,183416235111,3,150
ASN-PO-31131,PO-31131,KBD-V001,2025-10-09,LTL - Estes,980174853114,8,786
ASN-PO-31132,PO-31132,KBD-V004,2025-08-11,Will Call,231201226985,2,43
ASN-PO-31133,PO-31133,KBD-V006,2025-05-20,FedEx Ground,953547439648,1,106
ASN-PO-31134,PO-31134,KBD-V002,2025-08-29,UPS Ground,1Z1975123360,8,436
ASN-PO-31135,PO-31135,KBD-V005,03-Sep-2025,Supplier Truck,589724520316,2,729
ASN-PO-31137,PO-31137,KBD-V002,05-Oct-2025,Supplier Truck,256971269424,11,298
ASN-PO-31139,PO-31139,KBD-V009 ,2026-01-25,Will Call,179950677410,10,330
ASN-PO-31143,PO-31143,KBD-V006,2025-05-28,UPS Ground,1Z3622676959,5,620
ASN-PO-31144,PO-31144,KBD-V017,2025-06-24,Supplier Truck,292725360571,3,728
ASN-PO-31148,PO-31148,KBD-V003,2025-06-16,LTL - Estes,670076756528,9,636
ASN-PO-31155,PO-31155,KBD-V007,07/03/2025,UPS Ground,1Z1743920110,8,214
ASN-PO-31163,PO-31163,KBD-V005,2025-07-16,LTL - Estes,326123518540,8,187
ASN-PO-31167,PO-31167,KBD-V011,2025-10-11,Supplier Truck,529520404460,6,302
ASN-PO-31168,PO-31168,KBD-V006,06/24/2025,LTL - Estes,295483583932,1,767
ASN-PO-31169,PO-31169,KBD-V007,2026-01-05,LTL - Estes,262769611616,4,339
ASN-PO-31170,PO-31170,KBD-V013,2025-07-18,LTL - Estes,162232552107,5,721
ASN-PO-31172,PO-31172,KBD-V015,2025-10-12,Will Call,188216377716,6,603
ASN-PO-31179,PO-31179,KBD-V013,2026-02-08,FedEx Ground,237144511776,12,604
ASN-PO-31180,PO-31180,KBD-V004,2025-05-27,Will Call,257367520245,9,590
ASN-PO-31183,PO-31183,KBD-V008,2025-12-09,LTL - Estes,616997359999,5,173
ASN-PO-31185,PO-31185,KBD-V009,2026-03-27,Supplier Truck,496277081358,6,804
ASN-PO-31187,PO-31187,KBD-V002,2025-12-30,Supplier Truck ,158437953010,1,725
ASN-PO-31188,PO-31188,KBD-V009,"Feb 28, 2026",UPS Ground,1Z4484509869,9,44
ASN-PO-31190,PO-31190,KBD-V008,2026-01-28,UPS Ground,1Z2818593804,8,591
ASN-PO-31191,PO-31191,KBD-V010,2025-09-27,Will Call,513662177090,8,146
ASN-PO-31192,PO-31192,KBD-V018,03/19/26,UPS Ground,1Z2629248989,3,567
ASN-PO-31194,PO-31194,KBD-V015,2025-08-30,Will Call,726218980853,2,696
ASN-PO-31195,PO-31195,KBD-V006,2025-11-06,UPS Ground,1Z9818004103,9,661
ASN-PO-31196,PO-31196,KBD-V013,2025-11-03,FedEx Ground,986135428446,3,263
ASN-PO-31198,PO-31198,KBD-V013,2025-06-29,Supplier Truck,573152845740,9,821
ASN-PO-31200,PO-31200,KBD-V004,2025-06-09,Will Call,747374752014,7,603
ASN-PO-31202,PO-31202,KBD-V001,08/24/2025,LTL - Estes,315633863895,1,326
ASN-PO-31204,PO-31204,KBD-V003,2025-11-05,FedEx Ground,187360161311,7,246
ASN-PO-31207,PO-31207,KBD-V008,2026-02-26,FedEx Ground,317253350745,5,648
ASN-PO-31208,PO-31208,KBD-V010,2026-02-25,Will Call,144024387401,1,66
ASN-PO-31209,PO-31209,KBD-V005,2026-03-28,Supplier Truck,571592842385,1,517
ASN-PO-31211,PO-31211,KBD-V014,2025-04-26,Supplier Truck,332348220506,5,567
ASN-PO-31212,PO-31212,KBD-V004,2026-03-07,FedEx Ground,142199485983,2,375
ASN-PO-31214,PO-31214,KBD-V005,2025-07-09,LTL - Estes,826825445976,10,478
ASN-PO-31216,PO-31216,KBD-V009,2026-02-25,LTL - Estes,295361906313,2,482
ASN-PO-31217,PO-31217,KBD-V006,2025-07-15,Will Call,255928527314,7,114
ASN-PO-31218,PO-31218,KBD-V011,10/04/25,UPS Ground,1Z6501440493,10,389
ASN-PO-31219,PO-31219,KBD-V005,2025-12-08,LTL - Estes,576107673515,7,58
ASN-PO-31222,PO-31222,KBD-V018,2026-01-01,Supplier Truck,350381356712,6,13
ASN-PO-31224,PO-31224,KBD-V011,2025-12-28,Will Call ,773563229348,2,460
ASN-PO-31226,PO-31226,KBD-V006,"Dec 15, 2025",FedEx Ground,900041842588,11,405
ASN-PO-31229,PO-31229,KBD-V017,2025-08-22,Will Call,768287261494,3,152
ASN-PO-31230,PO-31230,KBD-V011,07/04/25,Will Call,734976319340,6,834
ASN-PO-31232,PO-31232 ,KBD-V002,2025-08-03,Will Call,583935306465,10,745
ASN-PO-31234,PO-31234,KBD-V009,2025-05-02,Will Call,812774393147,9,634
ASN-PO-31235,PO-31235,KBD-V012,2025-06-25,UPS Ground,1Z8086121862,9,302
ASN-PO-31237,PO-31237,KBD-V017,2026-02-07,UPS Ground,1Z5249279050,9,82
ASN-PO-31239,PO-31239,KBD-V003,2025-08-12,UPS Ground,1Z1203525923,4,352
ASN-PO-31240,PO-31240,KBD-V001,2026-03-27,Will Call,952797540121,9,660
ASN-PO-31241,PO-31241,KBD-V017,2026-03-11,Will Call,330882252335,12,429
ASN-PO-31242,PO-31242,KBD-V003,2026-01-20,Supplier Truck,946336658913,8,423
ASN-PO-31243,PO-31243,KBD-V019,2026-01-25,Will Call,149758763143,5,57
ASN-PO-31244,PO-31244,KBD-V008,2025-09-08,UPS Ground,1Z5224041681,2,463
ASN-PO-31246,PO-31246,KBD-V015,2025-10-26,UPS Ground,1Z2416189703,1,757
ASN-PO-31248,PO-31248,KBD-V018,2026-01-12,FedEx Ground,171535752097,8,415
ASN-PO-31250,PO-31250,KBD-V011,"Jan 12, 2026",Will Call ,775197627801,6,329
ASN-PO-31253,PO-31253,KBD-V006,2025-07-31,UPS Ground,1Z7984901048,2,580
ASN-PO-31254,PO-31254,KBD-V002,06/24/2025,LTL - Estes,766059642218,12,796
ASN-PO-31255,PO-31255,KBD-V001,2025-09-24,UPS Ground,1Z4323529258,5,851
ASN-PO-31258,PO-31258,KBD-V010 ,2025-12-07,Supplier Truck,988031275691,3,470
ASN-PO-31259,PO-31259 ,KBD-V009,2026-01-31,LTL - Estes,407724933154,5,644
ASN-PO-31260,PO-31260,KBD-V013,2025-11-01,FedEx Ground,879604749395,3,758
ASN-PO-31261,PO-31261,KBD-V010,2026-01-26,Will Call,723659882111,8,869
ASN-PO-31262,PO-31262,KBD-V003,2025-10-17,Supplier Truck,242040600539,10,379
ASN-PO-31264,PO-31264,KBD-V009,2025-10-20,LTL - Estes,799166313316,7,648
ASN-PO-31265,PO-31265,KBD-V004,2025-08-11,FedEx Ground,600950383110,11,744
ASN-PO-31266,PO-31266,KBD-V007,2025-07-16,LTL - Estes,418339335001,12,573
ASN-PO-31267,PO-31267,KBD-V011,2025-04-19,FedEx Ground,427946801467,9,179
ASN-PO-31268,PO-31268,KBD-V001,2025-08-29,LTL - Estes,750476388698,5,27
ASN-PO-31270,PO-31270,KBD-V009,02/26/26,FedEx Ground,345019358655,8,362
ASN-PO-31272,PO-31272,KBD-V017,2025-11-27,LTL - Estes,333114642963,10,800
ASN-PO-31274,PO-31274,KBD-V007,2025-04-26,Will Call,921223334940,7,170
ASN-PO-31275,PO-31275,KBD-V014,"Jun 10, 2025",Supplier Truck,893877421748,3,133
ASN-PO-31276,PO-31276,KBD-V002,2026-03-21,FedEx Ground,994870789609,6,304
ASN-PO-31278,PO-31278,KBD-V004,2025-09-12,UPS Ground ,1Z9723583006,1,68
ASN-PO-31279,PO-31279,KBD-V004,2026-01-02,Will Call,966782144816,11,224
ASN-PO-31281,PO-31281,KBD-V006,2025-11-30,UPS Ground,1Z6809241507,2,69
ASN-PO-31284,PO-31284,KBD-V012,2025-09-13,FedEx Ground,598285300130,10,774
ASN-PO-31285,PO-31285,KBD-V014,2025-12-04,Supplier Truck,617085025544,5,814
ASN-PO-31286,PO-31286,KBD-V004,2025-08-22,FedEx Ground,785580575545,3,677
ASN-PO-31288,PO-31288,KBD-V013,02/19/26,FedEx Ground,539214344722,4,804
ASN-PO-31289,PO-31289,KBD-V004,2025-06-14,UPS Ground,1Z4331375436,3,57
ASN-PO-31293,PO-31293,KBD-V010,2025-07-15,Supplier Truck,913120161021,2,365
ASN-PO-31295,PO-31295,KBD-V017,2025-10-24,UPS Ground,1Z7542758749,7,699
ASN-PO-31296,PO-31296,KBD-V002,2025-11-08,FedEx Ground,263605439317,5,549
ASN-PO-31300,PO-31300,KBD-V012,2026-02-22,Supplier Truck,387431624566,5,613
