transaction_id,transaction_date,type,item_id,qty,uom,from_location,to_location,reference,lot_number,user_id,unit_cost
IT-000782,2025-04-29,SO Issue,A-20110,-3,EA,A-03-3,SHIPPING,SO-26075,,E078,2979.18
IT-001399,2025-04-29,SO Issue,A-20070,-1,EA,A-24-3,SHIPPING,SO-26293,,E080,1739.22
IT-001466,2025-04-29,SO Issue,A-20030,-5,EA,D-28-1,SHIPPING,SO-26318,,E104,176.98
IT-001686,2025-04-29,SO Issue,A-20110,-5,EA,B-32-5,SHIPPING,SO-26410,,E083,2979.18
IT-000308,2025-04-30,PO Receipt,P-20049,25,EA,RECEIVING,A-21-1,PO-31139,L250430-770,E076,6.0200000000000005
IT-000309,2025-04-30,PO Receipt,P-20084,164,EA,RECEIVING,E-19-4,PO-31139,L250430-412,E076,14.89
IT-000783,2025-04-30,SO Issue,A-20031,-5,EA,A-16-5,SHIPPING,SO-26075,,E081,128.84
IT-000784,2025-04-30,SO Issue,A-20114,-1,EA,D-16-3,SHIPPING,SO-26075,,E082,244.69
IT-001331,2025-04-30,SO Issue,A-20033,-1,EA,B-35-4,SHIPPING,SO-26271,,E082,328.62
IT-000035,2025-05-01,PO Receipt,P-10063,10,BD,RECEIVING,B-04-4,PO-31017,L250501-245,E081,31.0
IT-000036,2025-05-01,PO Receipt,P-20099,250,EA,RECEIVING,A-22-5,PO-31017,L250501-809,E104,0.77
IT-000055,2025-05-01,PO Receipt,P-10049,10,BX,RECEIVING,E-35-1,PO-31025,L250501-250,E076,9.85
IT-000056,2025-05-01,PO Receipt,P-10070,165,EA,RECEIVING,E-38-3,PO-31025,L250501-845,E104,3.15
IT-000057,2025-05-01,PO Receipt,P-10049,250,BX,RECEIVING,F-39-5,PO-31025,L250501-381,E078,9.85
IT-001141,2025-05-01,SO Issue,A-20043,-1,EA,C-40-3,SHIPPING,SO-26202,,E076,1336.88
IT-001332,2025-05-01,SO Issue,A-20043,-1,EA,E-04-4,SHIPPING,SO-26271,,E081,1336.88
IT-001550,2025-05-01,SO Issue,A-20072,-3,EA,B-15-5,SHIPPING,SO-26355,,E082,402.48
IT-000150,2025-05-02,PO Receipt,P-10035,193,EA,RECEIVING,E-10-2,PO-31065,L250502-948,E083,21.4
IT-000151,2025-05-02,PO Receipt,P-10035,193,EA,RECEIVING,A-17-5,PO-31065,L250502-794,E103,21.4
IT-000152,2025-05-02,PO Receipt,P-10035,193,EA,RECEIVING,A-26-5,PO-31065,L250502-312,E078,21.4
IT-000153,2025-05-02,PO Receipt,P-10035,250,EA,RECEIVING,F-32-4,PO-31065,L250502-353,E100,21.4
IT-000862,2025-05-02,SO Issue,A-20036,-1,EA,B-22-3,SHIPPING,SO-26104,,E104,2945.65
IT-001464,2025-05-02,SO Issue,A-20110,-1,EA,F-18-5,SHIPPING,SO-26318,,E100,2979.18
IT-000729,2025-05-03,SO Issue,A-20097,-3,EA,C-07-5,SHIPPING,SO-26057,,E083,246.81
IT-000832,2025-05-03,SO Issue,A-20077,-3,EA,E-34-5,SHIPPING,SO-26091,,E099,869.98
IT-000552,2025-05-04,PO Receipt,P-20059,197,EA,RECEIVING,B-09-2,PO-31253,L250504-350,E101,9.370000000000001
IT-000553,2025-05-04,PO Receipt,P-10091,50,BX,RECEIVING,E-09-1,PO-31253,L250504-618,E105,19.2
IT-000554,2025-05-04,PO Receipt,P-20008,28,EA,RECEIVING,A-21-3,PO-31253,L250504-546,E079,1.71
IT-000555,2025-05-04,PO Receipt,P-20008,25,EA,RECEIVING,F-35-1,PO-31253,L250504-425,E099,1.71
IT-001295,2025-05-04,SO Issue,A-20107,-5,EA,B-07-4,SHIPPING,SO-26255,,E104,2631.9500000000003
IT-001384,2025-05-04,SO Issue,A-20110,-2,EA,E-17-5,SHIPPING,SO-26287,,E079,2979.18
IT-001577,2025-05-04,SO Issue,A-20061,-1,EA,D-14-3,SHIPPING,SO-26368,,E104,175.52
IT-000189,2025-05-05,PO Receipt,P-20060,10,EA,RECEIVING,B-07-5,PO-31083,L250505-209,E104,26.88
IT-000190,2025-05-05,PO Receipt,P-20118,25,EA,RECEIVING,D-39-1,PO-31083,L250505-991,E082,13.91
IT-000717,2025-05-05,SO Issue,A-20076,-3,EA,F-25-5,SHIPPING,SO-26052,,E083,721.1800000000001
IT-000794,2025-05-05,SO Issue,A-20058,-1,EA,B-35-3,SHIPPING,SO-26079,,E083,254.75
IT-000817,2025-05-05,SO Issue,A-20053,-1,EA,E-03-4,SHIPPING,SO-26087,,E104,695.65
IT-001003,2025-05-05,SO Issue,A-20058,-3,EA,C-12-4,SHIPPING,SO-26156,,E099,254.75
IT-001383,2025-05-05,SO Issue,A-20022,-1,EA,C-01-2,SHIPPING,SO-26287,,E079,155.41
IT-000170,2025-05-06,PO Receipt,P-20068,250,EA,RECEIVING,A-10-2,PO-31072,L250506-343,E077,11.97
IT-000171,2025-05-06,PO Receipt,P-20068,111,EA,RECEIVING,E-27-2,PO-31072,L250506-125,E079,11.97
IT-001142,2025-05-06,SO Issue,A-20101,-1,EA,F-34-5,SHIPPING,SO-26202,,E102,2382.4
IT-001284,2025-05-06,SO Issue,A-20040,-2,EA,A-02-4,SHIPPING,SO-26250,,E100,210.93
IT-001566,2025-05-06,SO Issue,A-20107,-3,EA,B-32-5,SHIPPING,SO-26362,,E102,2631.9500000000003
IT-001567,2025-05-06,SO Issue,A-20038,-2,EA,C-13-5,SHIPPING,SO-26362,,E101,1997.97
IT-001595,2025-05-06,SO Issue,A-20097,-5,EA,D-09-2,SHIPPING,SO-26377,,E078,246.81
IT-001685,2025-05-06,SO Issue,A-20053,-5,EA,C-17-5,SHIPPING,SO-26410,,E099,695.65
IT-000831,2025-05-08,SO Issue,A-20073,-2,EA,E-39-3,SHIPPING,SO-26091,,E080,496.53000000000003
IT-000858,2025-05-08,SO Issue,A-20039,-1,EA,E-39-3,SHIPPING,SO-26103,,E078,415.87
IT-000863,2025-05-08,SO Issue,A-20087,-1,EA,D-32-1,SHIPPING,SO-26104,,E081,333.06
IT-000176,2025-05-09,PO Receipt,P-20028,26,EA,RECEIVING,C-39-4,PO-31074,L250509-976,E080,39.64
IT-000793,2025-05-09,SO Issue,A-20039,-3,EA,B-12-1,SHIPPING,SO-26079,,E099,415.87
IT-000837,2025-05-09,SO Issue,A-20065,-5,EA,E-22-5,SHIPPING,SO-26094,,E077,798.0
IT-001138,2025-05-09,SO Issue,A-20058,-2,EA,A-02-4,SHIPPING,SO-26202,,E106,254.75
IT-001140,2025-05-09,SO Issue,A-20065,-1,EA,B-06-4,SHIPPING,SO-26202,,E076,798.0
IT-001282,2025-05-09,SO Issue,A-20087,-5,EA,D-18-2,SHIPPING,SO-26250,,E081,333.06
IT-000446,2025-05-10,PO Receipt,P-20062,100,EA,RECEIVING,D-01-4,PO-31205,L250510-161,E102,18.77
IT-000447,2025-05-10,PO Receipt,P-20062,10,EA,RECEIVING,C-22-4,PO-31205,L250510-165,E102,18.77
IT-000448,2025-05-10,PO Receipt,P-20109,149,EA,RECEIVING,C-23-4,PO-31205,L250510-144,E081,9.8
IT-000449,2025-05-10,PO Receipt,P-20109,149,EA,RECEIVING,E-11-1,PO-31205,L250510-848,E076,9.8
IT-000671,2025-05-10,SO Issue,A-20034,-1,EA,D-21-3,SHIPPING,SO-26036,,E101,111.33
IT-000818,2025-05-10,SO Issue,A-20077,-5,EA,C-05-2,SHIPPING,SO-26087,,E106,869.98
IT-000718,2025-05-12,SO Issue,A-20072,-2,EA,B-07-4,SHIPPING,SO-26052,,E104,402.48
IT-001001,2025-05-12,SO Issue,A-20107,-1,EA,D-23-2,SHIPPING,SO-26156,,E076,2631.9500000000003
IT-001281,2025-05-12,SO Issue,A-20090,-2,EA,F-16-1,SHIPPING,SO-26250,,E083,821.3000000000001
IT-001717,2025-05-12,Transfer,P-20051,-11,EA,D-35-2,D-14-2,Count,,E080,11.200000000000001
IT-000672,2025-05-13,SO Issue,A-20073,-5,EA,B-35-3,SHIPPING,SO-26036,,E105,496.53000000000003
IT-000983,2025-05-13,SO Issue,A-20038,-1,EA,E-17-4,SHIPPING,SO-26149,,E106,1997.97
IT-001494,2025-05-13,SO Issue,A-20097,-5,EA,B-07-2,SHIPPING,SO-26333,,E083,246.81
IT-001576,2025-05-13,SO Issue,A-20063,-1,EA,D-40-4,SHIPPING,SO-26368,,E082,1372.91
IT-000712,2025-05-14,SO Issue,A-20038,-1,EA,D-23-3,SHIPPING,SO-26051,,E080,1997.97
IT-000714,2025-05-14,SO Issue,A-20036,-1,EA,D-16-3,SHIPPING,SO-26051,,E100,2945.65
IT-001139,2025-05-14,SO Issue,A-20107,-1,EA,D-31-2,SHIPPING,SO-26202,,E077,2631.9500000000003
IT-000532,2025-05-15,PO Receipt,P-20017,100,EA,RECEIVING,D-14-1,PO-31245,L250515-757,E079,84.28
IT-001206,2025-05-15,SO Issue,A-20082,-2,EA,D-16-3,SHIPPING,SO-26223,,E101,841.44
IT-001280,2025-05-15,SO Issue,A-20058,-1,EA,D-31-2,SHIPPING,SO-26250,,E083,254.75
IT-001674,2025-05-15,SO Issue,A-20031,-5,EA,E-04-4,SHIPPING,SO-26405,,E104,128.84
IT-001723,2025-05-15,Cycle Count Adj,P-20111,3,EA,E-37-5,B-09-3,Count,,E103,23.71
IT-000710,2025-05-16,SO Issue,A-20061,-1,EA,E-04-4,SHIPPING,SO-26050,,E079,175.52
IT-000865,2025-05-16,SO Issue,A-20038,-3,EA,E-31-2,SHIPPING,SO-26105,,E104,1997.97
IT-001285,2025-05-16,SO Issue,A-20070,-1,EA,C-40-2,SHIPPING,SO-26251,,E103,1739.22
IT-000226,2025-05-17,PO Receipt,P-20041,11,EA,RECEIVING,C-07-1,PO-31102,L250517-480,E103,13.870000000000001
IT-000227,2025-05-17,PO Receipt,P-20041,11,EA,RECEIVING,C-38-4,PO-31102,L250517-237,E077,13.870000000000001
IT-000830,2025-05-17,SO Issue,A-20040,-5,EA,A-19-3,SHIPPING,SO-26091,,E106,210.93
IT-001205,2025-05-17,SO Issue,A-20070,-5,EA,D-19-4,SHIPPING,SO-26223,,E078,1739.22
IT-001283,2025-05-17,SO Issue,A-20034,-1,EA,C-12-4,SHIPPING,SO-26250,,E103,111.33
IT-000472,2025-05-18,PO Receipt,P-20088,250,EA,RECEIVING,E-39-1,PO-31214,L250518-251,E104,12.5
IT-001286,2025-05-18,SO Issue,A-20110,-2,EA,F-25-5,SHIPPING,SO-26251,,E104,2979.18
IT-001354,2025-05-18,SO Issue,A-20070,-1,EA,E-34-5,SHIPPING,SO-26277,,E078,1739.22
IT-001544,2025-05-18,SO Issue,A-20039,-1,EA,D-18-2,SHIPPING,SO-26353,,E099,415.87
IT-001287,2025-05-20,SO Issue,A-20002,-1,EA,D-27-4,SHIPPING,SO-26251,,E078,1931.15
IT-000610,2025-05-21,SO Issue,A-20065,-2,EA,D-22-1,SHIPPING,SO-26014,,E083,798.0
IT-000791,2025-05-21,SO Issue,A-20077,-3,EA,E-02-5,SHIPPING,SO-26079,,E106,869.98
IT-001353,2025-05-21,SO Issue,A-20039,-1,EA,B-22-4,SHIPPING,SO-26277,,E081,415.87
IT-001562,2025-05-21,SO Issue,A-20077,-1,EA,D-32-3,SHIPPING,SO-26361,,E080,869.98
IT-000024,2025-05-22,PO Receipt,P-20103,116,EA,RECEIVING,B-26-3,PO-31013,L250522-898,E079,17.330000000000002
IT-000025,2025-05-22,PO Receipt,P-20015,97,EA,RECEIVING,B-07-1,PO-31013,L250522-916,E106,5.42
IT-000026,2025-05-22,PO Receipt,P-20047,175,EA,RECEIVING,B-40-4,PO-31013,L250522-600,E103,15.41
IT-000027,2025-05-22,PO Receipt,P-20041,11,EA,RECEIVING,C-30-4,PO-31013,L250522-896,E082,13.870000000000001
IT-000838,2025-05-22,SO Issue,A-20040,-3,EA,A-21-2,SHIPPING,SO-26094,,E104,210.93
IT-001415,2025-05-22,SO Issue,A-20013,-3,EA,D-19-4,SHIPPING,SO-26299,,E105,162.20000000000002
IT-000504,2025-05-23,PO Receipt,P-20088,25,EA,RECEIVING,A-12-4,PO-31230,L250523-838,E076,12.5
IT-000505,2025-05-23,PO Receipt,P-20088,46,EA,RECEIVING,D-30-2,PO-31230,L250523-338,E081,12.5
IT-000523,2025-05-23,PO Receipt,P-20108,74,EA,RECEIVING,F-09-2,PO-31240,L250523-116,E106,68.82000000000001
IT-000524,2025-05-23,PO Receipt,P-20100,157,EA,RECEIVING,A-10-5,PO-31240,L250523-505,E103,36.730000000000004
IT-001089,2025-05-23,SO Issue,A-20090,-5,EA,D-23-3,SHIPPING,SO-26185,,E079,821.3000000000001
IT-001565,2025-05-23,SO Issue,A-20043,-2,EA,B-22-3,SHIPPING,SO-26361,,E101,1336.88
IT-000192,2025-05-24,PO Receipt,P-20109,50,EA,RECEIVING,A-14-3,PO-31086,L250524-252,E099,9.8
IT-000193,2025-05-24,PO Receipt,P-20062,100,EA,RECEIVING,B-40-3,PO-31086,L250524-719,E082,18.77
IT-000194,2025-05-24,PO Receipt,P-20109,149,EA,RECEIVING,F-27-2,PO-31086,L250524-790,E103,9.8
IT-000609,2025-05-24,SO Issue,A-20030,-1,EA,A-26-1,SHIPPING,SO-26014,,E106,176.98
IT-000708,2025-05-24,SO Issue,A-20090,-1,EA,F-01-5,SHIPPING,SO-26049,,E104,821.3000000000001
IT-000969,2025-05-24,SO Issue,A-20058,-5,EA,B-12-1,SHIPPING,SO-26143,,E077,254.75
IT-001310,2025-05-24,SO Issue,A-20076,-1,EA,D-16-3,SHIPPING,SO-26261,,E102,721.1800000000001
IT-001414,2025-05-24,SO Issue,A-20087,-5,EA,C-01-2,SHIPPING,SO-26299,,E105,333.06
IT-001594,2025-05-24,SO Issue,A-20082,-1,EA,A-25-1,SHIPPING,SO-26377,,E101,841.44
IT-000006,2025-05-25,PO Receipt,P-20064,42,EA,RECEIVING,D-34-5,PO-31005,L250525-767,E104,0.7000000000000001
IT-000007,2025-05-25,PO Receipt,P-20051,129,EA,RECEIVING,D-12-5,PO-31005,L250525-845,E083,11.200000000000001
IT-000008,2025-05-25,PO Receipt,P-20045,82,EA,RECEIVING,A-03-3,PO-31005,L250525-912,E101,0.18
IT-000009,2025-05-25,PO Receipt,P-20045,50,EA,RECEIVING,C-25-5,PO-31005,L250525-875,E102,0.18
IT-000682,2025-05-25,SO Issue,A-20087,-1,EA,A-05-3,SHIPPING,SO-26040,,E105,333.06
IT-000968,2025-05-25,SO Issue,A-20058,-3,EA,C-13-5,SHIPPING,SO-26143,,E080,254.75
IT-001578,2025-05-25,SO Issue,A-20101,-1,EA,C-30-1,SHIPPING,SO-26368,,E081,2382.4
IT-000608,2025-05-26,SO Issue,A-20090,-1,EA,E-22-5,SHIPPING,SO-26014,,E078,821.3000000000001
IT-000792,2025-05-26,SO Issue,A-20022,-1,EA,E-03-3,SHIPPING,SO-26079,,E078,155.41
IT-001169,2025-05-26,SO Issue,A-20092,-5,EA,E-31-2,SHIPPING,SO-26213,,E101,1915.78
IT-001204,2025-05-26,SO Issue,A-20097,-1,EA,E-22-5,SHIPPING,SO-26223,,E080,246.81
IT-001270,2025-05-26,SO Issue,A-20110,-1,EA,B-32-5,SHIPPING,SO-26247,,E076,2979.18
IT-001317,2025-05-26,SO Issue,A-20022,-1,EA,E-11-4,SHIPPING,SO-26263,,E078,155.41
IT-001355,2025-05-26,SO Issue,A-20090,-1,EA,E-17-4,SHIPPING,SO-26277,,E083,821.3000000000001
IT-001608,2025-05-26,SO Issue,A-20072,-5,EA,B-35-3,SHIPPING,SO-26380,,E081,402.48
IT-000716,2025-05-27,SO Issue,A-20070,-2,EA,B-35-3,SHIPPING,SO-26051,,E076,1739.22
IT-000836,2025-05-27,SO Issue,A-20072,-3,EA,E-04-2,SHIPPING,SO-26094,,E105,402.48
IT-000220,2025-05-28,PO Receipt,P-20029,10,EA,RECEIVING,C-37-4,PO-31099,L250528-442,E105,0.71
IT-000399,2025-05-28,PO Receipt,P-20032,50,EA,RECEIVING,E-39-3,PO-31183,L250528-132,E081,48.19
IT-000400,2025-05-28,PO Receipt,P-20018,250,EA,RECEIVING,A-10-4,PO-31183,L250528-328,E104,25.87
IT-000711,2025-05-28,SO Issue,A-20031,-5,EA,A-15-3,SHIPPING,SO-26050,,E083,128.84
IT-000713,2025-05-28,SO Issue,A-20003,-1,EA,E-04-2,SHIPPING,SO-26051,,E100,2450.66
IT-000715,2025-05-28,SO Issue,A-20061,-2,EA,B-35-4,SHIPPING,SO-26051,,E083,175.52
IT-001004,2025-05-28,SO Issue,A-20030,-1,EA,C-25-2,SHIPPING,SO-26158,,E100,176.98
IT-001311,2025-05-28,SO Issue,A-20114,-2,EA,D-06-4,SHIPPING,SO-26261,,E078,244.69
IT-001312,2025-05-28,SO Issue,A-20058,-1,EA,B-32-5,SHIPPING,SO-26261,,E077,254.75
IT-001207,2025-05-29,SO Issue,A-20022,-1,EA,B-18-5,SHIPPING,SO-26223,,E099,155.41
IT-001273,2025-05-29,SO Issue,A-20063,-3,EA,B-12-1,SHIPPING,SO-26247,,E099,1372.91
IT-000288,2025-05-30,PO Receipt,P-20046,109,EA,RECEIVING,C-30-3,PO-31131,L250530-889,E076,13.76
IT-000289,2025-05-30,PO Receipt,P-20046,109,EA,RECEIVING,C-35-5,PO-31131,L250530-636,E080,13.76
IT-001605,2025-05-30,SO Issue,A-20030,-5,EA,E-29-1,SHIPPING,SO-26380,,E099,176.98
IT-000481,2025-05-31,PO Receipt,P-20056,112,EA,RECEIVING,E-37-4,PO-31218,L250531-794,E078,0.35000000000000003
IT-000482,2025-05-31,PO Receipt,P-20079,66,EA,RECEIVING,C-08-1,PO-31218,L250531-590,E082,0.38
IT-001501,2025-05-31,SO Issue,A-20076,-1,EA,E-03-4,SHIPPING,SO-26335,,E103,721.1800000000001
IT-001515,2025-05-31,SO Issue,A-20039,-3,EA,D-23-2,SHIPPING,SO-26341,,E103,415.87
IT-000967,2025-06-01,SO Issue,A-20022,-1,EA,F-39-5,SHIPPING,SO-26143,,E078,155.41
IT-001271,2025-06-01,SO Issue,A-20101,-1,EA,B-13-3,SHIPPING,SO-26247,,E077,2382.4
IT-001356,2025-06-01,SO Issue,A-20078,-1,EA,F-03-4,SHIPPING,SO-26277,,E100,704.75
IT-001542,2025-06-01,SO Issue,A-20093,-1,EA,A-04-3,SHIPPING,SO-26353,,E078,2017.22
IT-001596,2025-06-01,SO Issue,A-20090,-5,EA,C-28-4,SHIPPING,SO-26377,,E100,821.3000000000001
IT-000899,2025-06-02,SO Issue,A-20022,-2,EA,D-32-1,SHIPPING,SO-26116,,E083,155.41
IT-001040,2025-06-02,SO Issue,A-20033,-2,EA,B-07-4,SHIPPING,SO-26169,,E083,328.62
IT-001606,2025-06-02,SO Issue,A-20107,-3,EA,D-28-1,SHIPPING,SO-26380,,E078,2631.9500000000003
IT-000058,2025-06-03,PO Receipt,P-20044,97,EA,RECEIVING,A-34-3,PO-31026,L250603-881,E082,25.1
IT-000059,2025-06-03,PO Receipt,P-20035,79,EA,RECEIVING,F-19-3,PO-31026,L250603-861,E079,12.200000000000001
IT-000060,2025-06-03,PO Receipt,P-20085,100,EA,RECEIVING,F-39-4,PO-31026,L250603-960,E102,1.16
IT-000584,2025-06-03,SO Issue,A-20097,-3,EA,C-36-2,SHIPPING,SO-26005,,E080,246.81
IT-001272,2025-06-03,SO Issue,A-20090,-1,EA,D-12-2,SHIPPING,SO-26247,,E077,821.3000000000001
IT-001564,2025-06-03,SO Issue,A-20038,-5,EA,E-31-2,SHIPPING,SO-26361,,E102,1997.97
IT-001711,2025-06-03,SO Issue,A-20022,-5,EA,E-28-3,SHIPPING,SO-26418,,E082,155.41
