AP_INVOICE_ID,VENDOR_ID,VENDOR_NAME,INVOICE_NUMBER,INVOICE_DATE,DUE_DATE,AMOUNT,GL_ACCOUNT,APPROVED_BY,STATUS,PAID_DATE,PAYMENT_METHOD,CATEGORY
AP00066,V004,Landlord - Lackawanna Ave Realty,274593 ,2025-12-29,28-Jan-2026,"$13,000.00",6300,Carlos Jackson,Paid ,"Feb 08, 2026 ",Check,Rent
AP00067,V005,PPL Electric,881384,2025-12-19,"Jan 18, 2026",833,6700,David Fitzgerald,Paid,2026-01-09,Corporate Card,Utilities
,V006,Frontier ,615578,2025-12-20,2026-01-19,1018,6700,Andrew Lee,Paid,01/12/2026,Corporate Card,Telecom / Internet
AP00069,V010,Shred-it,518235,2025-12-19,01/18/2026 ,$122.00,6700,Aisha Davis,Paid,2026-01-09,Check,Shredding
AP00070,V011,Aramark Refreshments,579201,2025-12-20,2026-01-19,$309.00,6700,Carlos Jackson ,Paid,2026-01-29,Check,Office
AP00071,V001,Iron Mtn,651218,08-Jan-2026,02/07/26,422,6700,Aisha Davis,Paid,02/22/2026,,Records Storage / Shredding
AP00072,V002,Staples,820120,01/06/26,2026-02-05,251,6700 ,Joseph White,Paid,2026-02-13,Check,Office Supplies
AP00073,V003,Iron Mtn Landscaping LLC,180683,2026-01-17,"Feb 16, 2026",$507.00,6700,Patricia O'Brien,Paid,2026-02-25,ACH,Landscaping
AP00074,V004,Landlord - Lackawanna Ave Realty,623465,2026-01-15,2026-02-14,9000,6300,Richard Wilson,Paid,02/09/26,Check,Rent
AP00075,V005,,592958,2026-01-30,2026-03-01,930,6700,Daniel Martin,Paid,2026-03-11,Corporate Card,Utilities
AP00076,V006,Frontier,630013,04-Jan-2026,02/03/26,987,6700,Richard Wilson,Paid,2026-02-17,ACH,Telecom / Internet
AP00077,V007,Local CPA - Steven Smith,823091,2026-01-24,2026-02-23,8942,6500,Joseph White,Paid,2026-03-10,ACH,Professional Fees 
AP00078,V009,Westport Insurance Corp (Swiss Re),558586,01/06/26,2026-02-05,"$2,833.33",6650,Sandra Wright,Paid,2026-02-07,ACH,E&O Insurance
AP00079,V010,Shred-it,77706,2026-01-07,02/06/2026,$114.00,6700,Aisha Davis,Paid,"Jan 29, 2026",Corporate Card,Shredding
AP00080,V011,Aramark Refreshments,205911 ,2026-01-11,02/10/2026,$198.00,6700,David Walker,PAID,2026-02-02,Corporate Card,Office
AP00081 ,V001,Iron Mtn,457851,2026-02-17,2026-03-19,285,6700,Daniel Martin,Paid,16-Mar-2026,Corporate Card,Records Storage / Shredding
AP00082,V002,Staples,,2026-02-12,2026-03-14,562,6700,Sandra Wright,Paid,2026-03-19,Check ,Office Supplies
AP00083,V004,Landlord - Lackawanna Ave Realty,214805,2026-02-06,2026-03-08,9000,,Andrew Lee,Paid,2026-03-14,ACH,Rent
AP00084,V005,PPL Electric,935928,02/25/26,2026-03-27,1678,6700,David Fitzgerald,Pending approval,,Check,Utilities
AP00085,V006,Frontier,676034,07-Feb-2026,"Mar 09, 2026",,6700,Patricia O'Brien,Paid,2026-03-04,ACH,Telecom / Internet
AP00086,V010,Shred-it,334039,2026-02-12,03/14/2026,77,6700,Emily Thompson,Paid,2026-03-14,ACH,Shredding
AP00087,V011,Aramark Refreshments,363952,2026-02-04,06-Mar-2026,97,,Andrew Lee,Paid,2026-03-21,Corporate Card,Office
AP00088,V012,Local Print Shop,634300,2026-02-14,03/16/2026,"$2,106.00",6700,Patricia O'Brien,Paid,2026-03-16,Corporate Card,Marketing
AP00089,V001,Iron Mtn,950165,2026-03-25,2026-04-24,$279.00,6700,Joseph White,Paid,,Corporate Card,Records Storage / Shredding
AP00090,V002,Staples,438606,07-Mar-2026,2026-04-06,169,6700,Richard Wilson,Paid,,ACH,Office Supplies
AP00091,V004,Landlord - Lackawanna Ave Realty,345464,2026-03-24,2026-04-23,"$12,000.00",6300,Michael Wright,Pending approval,,ACH,Rent
AP00092,V005,PPL Electric,515325,2026-03-10,"Apr 09, 2026","$1,662.00",6700,Emily Thompson,Paid,,ACH,Utilities
AP00093,V006,Frontier,347502,2026-03-04,04/03/26,,,Carlos Jackson,Approved - scheduled,,Corporate Card,Telecom / Internet 
AP00094,V010,Shred-it,370738,2026-03-04,"Apr 03, 2026",120,6700,David Walker,,,Corporate Card,Shredding
AP00095,V011,Aramark Refreshments,787704,2026-03-23,22-Apr-2026,94,6700,David Walker,Pending approval,,ACH,Office
AP00004,V004,Landlord - Lackawanna Ave Realty,899252,2025-04-07,2025-05-07,17000,6300,,Paid,2025-05-22,ACH,Rent
AP00096,V012,,221663,08-Mar-2026,"Apr 07, 2026","$2,042.00",6700,Joseph White,Pending approval,,Check,Marketing
AP00097,,HawkSoft,INV-721904,2025-10-04,11/03/2025,"$10,098.00",6400,Andrew Lee,Paid,2025-10-27,Corporate Card,Software Subscriptions
AP00098,,Microsoft,INV-4975214,2025-12-09,08-Jan-2026,132.0,6400,Andrew Lee,Paid,2025-12-22,Corporate Card,Software Subscriptions
AP00099,,Microsoft,INV-3181947,"Aug 24, 2025",2025-09-23,132.0,6400,Andrew Lee,Paid,08/29/25,Corporate Card,Software Subscriptions
AP00100,,Microsoft,INV-2886036 ,2025-06-09,2025-07-09,132.0,6400,Andrew Lee,Paid,21-Jun-2025,Corporate Card,Software Subscriptions
AP00101,,Microsoft,INV-2567202 ,08-Jan-2026,2026-02-07,132.0,6400,Andrew Lee,Paid,"Jan 30, 2026",CORPORATE CARD,Software Subscriptions
AP00102,,Microsoft,INV-8838398,02/05/26,2026-03-07,132.0,6400,Andrew Lee,Paid,03/03/26,Corporate Card,Software Subscriptions
AP00103,,Microsoft,INV-5532406,2025-11-23,2025-12-23,132.0,,Andrew Lee,Paid,2025-12-15,Corporate Card,Software Subscriptions
AP00104,,Microsoft,INV-8829981,2025-08-01,2025-08-31,$132.00,6400,Andrew Lee,PAID,2025-08-16,Corporate Card,Software Subscriptions
AP00105,,Microsoft,INV-6940825,2025-04-05,2025-05-05,$132.00,6400,Andrew Lee,Paid,04/13/25,Corporate Card,Software Subscriptions
AP00106,,Microsoft,INV-5129087,,06/13/2025,$132.00,6400,Andrew Lee,Paid,19-May-2025,Corporate Card,Software Subscriptions 
AP00107,,Microsoft,INV-1349027 ,04/17/2025 ,"May 17, 2025",$132.00,6400,Andrew Lee,Paid,2025-04-21,Corporate Card,Software Subscriptions
AP00108,,Microsoft,INV-267065,2025-12-21,2026-01-20,$132.00,6400,,Paid,2026-01-07,Corporate Card,Software Subscriptions
AP00109,,Microsoft,,08/27/2025,26-Sep-2025 ,132.0,6400,Andrew Lee,Paid,08/29/2025,Corporate Card,Software Subscriptions
AP00110,,Intuit,INV-3271613,2026-03-11,2026-04-10,$150.42,6400,Joseph White,Paid,03/27/26,Corporate Card,Software Subscriptions
AP00111,,Intuit,INV-6448201,2025-07-29,08/28/25,150.42,6400,Joseph White,Paid,09-Aug-2025,Corporate Card,Software Subscriptions
AP00112,,Intuit,INV-4886143,2025-12-06,2026-01-05,150.42,6400,Joseph White,,2025-12-28,Corporate Card,Software Subscriptions
AP00113,,Intuit,INV-9774742,24-OCT-2025,23-Nov-2025,150.42,6400,Joseph White,PAID,10/31/25,Corporate Card,Software Subscriptions
AP00114,,Intuit,INV-8728323,02/13/2026,2026-03-15,$150.42,6400,Joseph White,Paid,03/06/2026 ,Corporate Card,Software Subscriptions
AP00115,,Intuit,INV-7336623,11/02/25,02-Dec-2025,150.42,6400,Joseph White,Paid,"Nov 29, 2025",Corporate Card,Software Subscriptions
AP00057,V002,Staples,15507 ,03-Nov-2025,12/03/2025,$635.00,6700,Richard Wilson,Paid,2025-12-15,CORPORATE CARD,Office Supplies
AP00116,,Intuit,INV-9047230,"Apr 07, 2025",2025-05-07,150.42,6400,Joseph White,Paid,2025-04-17,Corporate Card,Software Subscriptions
AP00117,,Intuit,INV-9545813,11-Aug-2025,"Sep 10, 2025",150.42,6400,Joseph White,Paid,08/14/25,Corporate Card,Software Subscriptions
AP00118,,Intuit,INV-9139083,01-Sep-2025,2025-10-01,150.42,6400,Joseph White,Paid,2025-09-22,Corporate Card,Software Subscriptions
AP00119,,Intuit,INV-7166261,2025-09-10,10/10/2025,150.42,6400,Joseph White,Paid,09/22/25,Corporate Card,Software Subscriptions
AP00120,,Intuit,INV-5021456,2025-09-04,04-Oct-2025,,6400,Joseph White ,PAID,"Oct 03, 2025",Corporate Card,Software Subscriptions
AP00121,,Intuit,INV-5927894,"Aug 10, 2025",2025-09-09,$150.42,6400,Joseph White,Paid,2025-08-30,Corporate Card,Software Subscriptions
AP00122,,Gusto,INV-7366200,2025-04-18,2025-05-18,431.2,6400,Joseph White,Paid,2025-04-28,Corporate Card,Software Subscriptions
AP00123,,Gusto,INV-8085819 ,2025-10-26,25-Nov-2025,431.2,6400,Joseph White,Paid,"Nov 03, 2025",Corporate Card,Software Subscriptions
AP00124,,Gusto,INV-5180801,17-Mar-2026,2026-04-16,431.2,6400,Joseph White,Paid,2026-03-25,Corporate Card,Software Subscriptions
AP00125,,Gusto,INV-8030005,2026-01-25,2026-02-24,431.2,6400,Joseph White,Paid,"Feb 06, 2026",Corporate Card,Software Subscriptions
AP00126,,Gusto,INV-8067333,12/14/2025,13-Jan-2026,431.2,6400,Joseph White,Paid,"Jan 03, 2026",Corporate Card,Software Subscriptions
AP00127,,Gusto ,INV-6460864,02/13/26,03/15/2026,431.2,6400,Joseph White,Paid,03/15/26,Corporate Card,Software Subscriptions
AP00019,V005,PPL ELECTRIC,514451,26-Jun-2025,07/26/2025,1195,6700,Emily Thompson,Paid,2025-07-17,ACH,Utilities
AP00128,,Gusto,INV-1921430,02/22/26,2026-03-24,431.2,6400,Joseph White,Paid,04-Mar-2026,Corporate Card,Software Subscriptions
AP00129,,Gusto,,2025-07-11,2025-08-10,$431.20,6400,Joseph White,Paid,"Jul 24, 2025",Corporate Card,Software Subscriptions
AP00130,,Gusto,INV-5957007,2025-07-03,2025-08-02,431.2,6400,Joseph White,Paid ,20-Jul-2025,Corporate Card,Software Subscriptions
AP00131,,Gusto,INV-3577558,2025-07-05,2025-08-04,431.2,6400,Joseph White,Paid,2025-07-25,Corporate Card,Software Subscriptions
AP00132,,Gusto,INV-172978,13-Jul-2025,2025-08-12,431.2,6400,Joseph White ,Paid,08/05/25,Corporate Card,Software Subscriptions
AP00133,,Gusto,INV-7322620,18-Oct-2025,2025-11-17,431.2,6400 ,Joseph White,Paid,2025-11-13,Corporate Card,Software Subscriptions
AP00134,,Dropbox,INV-1666777,2025-12-17,16-Jan-2026,2692.8,,Joseph White,Paid,2025-12-29,Corporate Card,Software Subscriptions
AP00135,,Zoom,INV-773702,2025-08-30,29-Sep-2025,1960.2,6400,Michael Wright,Paid,09/18/25,Corporate Card,Software Subscriptions
AP00136,,DocuSign,INV-831818,01/28/26,2026-02-27,"$5,184.00",6400,Richard Wilson,Paid,2026-01-30,Corporate Card,Software Subscriptions
