task_id,renewal_id,policy_id,task,due_date,assigned_to,status,completed_date
REN-MER-P00019-T10,REN-MER-P00019,MER-P00019,Obtain signed bind order,2026-08-07,E014,Open,
REN-MER-P00021-T120,REN-MER-P00021,MER-P00021,Send renewal questionnaire,2026-02-03,E016,Complete,2026-02-03
REN-MER-P00021-T90,REN-MER-P00021,MER-P00021,Request updated exposures / SOV,2026-03-05,E016,Overdue,2026-03-10
REN-MER-P00021-T75,REN-MER-P00021,MER-P00021,Order loss runs,2026-03-20,E016,Complete,2026-03-22
REN-MER-P00021-T60,REN-MER-P00021,MER-P00021,Prepare and send submissions,2026-04-04,E016,Open,
REN-MER-P00021-T30,REN-MER-P00021,MER-P00021,Deliver renewal proposal,2026-05-04,E016,Open,
REN-MER-P00021-T10,REN-MER-P00021,MER-P00021,Obtain signed bind order,2026-05-24,E016,Open,
REN-MER-P00023-T120,REN-MER-P00023,MER-P00023,Send renewal questionnaire,2026-01-08,E016,Complete,2026-01-11
REN-MER-P00023-T90,REN-MER-P00023,MER-P00023,Request updated exposures / SOV,2026-02-07,E016,Complete,
REN-MER-P00023-T75,REN-MER-P00023,MER-P00023,Order loss runs,2026-02-22,E016,Complete,
REN-MER-P00023-T60,REN-MER-P00023,MER-P00023,Prepare and send submissions,2026-03-09,E016,Complete,2026-03-08
REN-MER-P00023-T30,REN-MER-P00023,MER-P00023,Deliver renewal proposal,2026-04-08,E016,Open,
REN-MER-P00023-T10,REN-MER-P00023,MER-P00023,Obtain signed bind order,2026-04-28,E016,Open,
REN-MER-P00024-T120,REN-MER-P00024,MER-P00024,Send renewal questionnaire,2026-02-17,E016,Complete,
REN-MER-P00024-T90,REN-MER-P00024,MER-P00024,Request updated exposures / SOV,2026-03-19,E016,Complete,2026-03-22
REN-MER-P00024-T75,REN-MER-P00024,MER-P00024,Order loss runs,2026-04-03,E016,Open,
REN-MER-P00024-T60,REN-MER-P00024,MER-P00024,Prepare and send submissions,2026-04-18,E016,Open,
REN-MER-P00024-T30,REN-MER-P00024,MER-P00024,Deliver renewal proposal,2026-05-18,E016,Open,
REN-MER-P00024-T10,REN-MER-P00024,MER-P00024,Obtain signed bind order,2026-06-07,E016,Open,
REN-MER-P00025-T120,REN-MER-P00025,MER-P00025,Send renewal questionnaire,2025-12-13,E016,Complete,2025-12-19
REN-MER-P00025-T90,REN-MER-P00025,MER-P00025,Request updated exposures / SOV,2026-01-12,E016,Overdue,2026-01-17
REN-MER-P00025-T75,REN-MER-P00025,MER-P00025,Order loss runs,2026-01-27,E016,Complete,2026-01-25
REN-MER-P00025-T60,REN-MER-P00025,MER-P00025,Prepare and send submissions,2026-02-11,E016,Complete,2026-02-17
REN-MER-P00025-T30,REN-MER-P00025,MER-P00025,Deliver renewal proposal,2026-03-13,E016,Complete,2026-03-13
REN-MER-P00025-T10,REN-MER-P00025,MER-P00025,Obtain signed bind order,2026-04-02,E016,Open,
REN-MER-P00031-T120,REN-MER-P00031,MER-P00031,Send renewal questionnaire,2026-03-20,E020,Complete,2026-03-20
REN-MER-P00031-T90,REN-MER-P00031,MER-P00031,Request updated exposures / SOV,2026-04-19,E020,Open,
REN-MER-P00031-T75,REN-MER-P00031,MER-P00031,Order loss runs,2026-05-04,E020,Open,
REN-MER-P00031-T60,REN-MER-P00031,MER-P00031,Prepare and send submissions,2026-05-19,E020,Open,
REN-MER-P00031-T30,REN-MER-P00031,MER-P00031,Deliver renewal proposal,2026-06-18,E020,Open,
REN-MER-P00031-T10,REN-MER-P00031,MER-P00031,Obtain signed bind order,2026-07-08,E020,Open,
REN-MER-P00036-T120,REN-MER-P00036,MER-P00036,Send renewal questionnaire,2025-12-26,E014,Complete,2026-01-01
REN-MER-P00036-T90,REN-MER-P00036,MER-P00036,Request updated exposures / SOV,2026-01-25,E014,Complete,2026-01-30
REN-MER-P00036-T75,REN-MER-P00036,MER-P00036,Order loss runs,2026-02-09,E014,Complete,2026-02-12
REN-MER-P00036-T60,REN-MER-P00036,MER-P00036,Prepare and send submissions,2026-02-24,E014,Complete,2026-02-26
REN-MER-P00036-T30,REN-MER-P00036,MER-P00036,Deliver renewal proposal,2026-03-26,E014,Overdue,
REN-MER-P00036-T10,REN-MER-P00036,MER-P00036,Obtain signed bind order,2026-04-15,E014,Open,
REN-MER-P00039-T120,REN-MER-P00039,MER-P00039,Send renewal questionnaire,2026-04-30,E014,Open,
REN-MER-P00039-T90,REN-MER-P00039,MER-P00039,Request updated exposures / SOV,2026-05-30,E014,Open,
REN-MER-P00039-T75,REN-MER-P00039,MER-P00039,Order loss runs,2026-06-14,E014,Open,
REN-MER-P00039-T60,REN-MER-P00039,MER-P00039,Prepare and send submissions,2026-06-29,E014,Open,
REN-MER-P00039-T30,REN-MER-P00039,MER-P00039,Deliver renewal proposal,2026-07-29,E014,Open,
REN-MER-P00039-T10,REN-MER-P00039,MER-P00039,Obtain signed bind order,2026-08-18,E014,Open,
REN-MER-P00043-T120,REN-MER-P00043,MER-P00043,Send renewal questionnaire,2026-04-30,E014,Open,
REN-MER-P00043-T90,REN-MER-P00043,MER-P00043,Request updated exposures / SOV,2026-05-30,E014,Open,
REN-MER-P00043-T75,REN-MER-P00043,MER-P00043,Order loss runs,2026-06-14,E014,Open,
REN-MER-P00043-T60,REN-MER-P00043,MER-P00043,Prepare and send submissions,2026-06-29,E014,Open,
REN-MER-P00043-T30,REN-MER-P00043,MER-P00043,Deliver renewal proposal,2026-07-29,E014,Open,
REN-MER-P00043-T10,REN-MER-P00043,MER-P00043,Obtain signed bind order,2026-08-18,E014,Open,
REN-MER-P00046-T120,REN-MER-P00046,MER-P00046,Send renewal questionnaire,2026-03-22,E014,Complete,2026-03-20
REN-MER-P00046-T90,REN-MER-P00046,MER-P00046,Request updated exposures / SOV,2026-04-21,E014,Open,
REN-MER-P00046-T75,REN-MER-P00046,MER-P00046,Order loss runs,2026-05-06,E014,Open,
REN-MER-P00046-T60,REN-MER-P00046,MER-P00046,Prepare and send submissions,2026-05-21,E014,Open,
REN-MER-P00046-T30,REN-MER-P00046,MER-P00046,Deliver renewal proposal,2026-06-20,E014,Open,
REN-MER-P00046-T10,REN-MER-P00046,MER-P00046,Obtain signed bind order,2026-07-10,E014,Open,
REN-MER-P00047-T120,REN-MER-P00047,MER-P00047,Send renewal questionnaire,2026-04-25,E014,Open,
REN-MER-P00047-T90,REN-MER-P00047,MER-P00047,Request updated exposures / SOV,2026-05-25,E014,Open,
REN-MER-P00047-T75,REN-MER-P00047,MER-P00047,Order loss runs,2026-06-09,E014,Open,
REN-MER-P00047-T60,REN-MER-P00047,MER-P00047,Prepare and send submissions,2026-06-24,E014,Open,
REN-MER-P00047-T30,REN-MER-P00047,MER-P00047,Deliver renewal proposal,2026-07-24,E014,Open,
REN-MER-P00047-T10,REN-MER-P00047,MER-P00047,Obtain signed bind order,2026-08-13,E014,Open,
REN-MER-P00048-T120,REN-MER-P00048,MER-P00048,Send renewal questionnaire,2026-01-27,E009,Overdue,2026-02-02
REN-MER-P00048-T90,REN-MER-P00048,MER-P00048,Request updated exposures / SOV,2026-02-26,E009,Complete,2026-02-24
REN-MER-P00048-T75,REN-MER-P00048,MER-P00048,Order loss runs,2026-03-13,E009,Complete,2026-03-14
REN-MER-P00048-T60,REN-MER-P00048,MER-P00048,Prepare and send submissions,2026-03-28,E009,Overdue,
REN-MER-P00048-T30,REN-MER-P00048,MER-P00048,Deliver renewal proposal,2026-04-27,E009,Open,
REN-MER-P00048-T10,REN-MER-P00048,MER-P00048,Obtain signed bind order,2026-05-17,E009,Open,
REN-MER-P00050-T120,REN-MER-P00050,MER-P00050,Send renewal questionnaire,2026-03-27,E009,Overdue,
REN-MER-P00050-T90,REN-MER-P00050,MER-P00050,Request updated exposures / SOV,2026-04-26,E009,Open,
REN-MER-P00050-T75,REN-MER-P00050,MER-P00050,Order loss runs,2026-05-11,E009,Open,
REN-MER-P00050-T60,REN-MER-P00050,MER-P00050,Prepare and send submissions,2026-05-26,E009,Open,
REN-MER-P00050-T30,REN-MER-P00050,MER-P00050,Deliver renewal proposal,2026-06-25,E009,Open,
REN-MER-P00050-T10,REN-MER-P00050,MER-P00050,Obtain signed bind order,2026-07-15,E009,Open,
REN-MER-P00053-T120,REN-MER-P00053,MER-P00053,Send renewal questionnaire,2026-04-14,E019,Open,
REN-MER-P00053-T90,REN-MER-P00053,MER-P00053,Request updated exposures / SOV,2026-05-14,E019,Open,
REN-MER-P00053-T75,REN-MER-P00053,MER-P00053,Order loss runs,2026-05-29,E019,Open,
REN-MER-P00053-T60,REN-MER-P00053,MER-P00053,Prepare and send submissions,2026-06-13,E019,Open,
REN-MER-P00053-T30,REN-MER-P00053,MER-P00053,Deliver renewal proposal,2026-07-13,E019,Open,
REN-MER-P00053-T10,REN-MER-P00053,MER-P00053,Obtain signed bind order,2026-08-02,E019,Open,
REN-MER-P00055-T120,REN-MER-P00055,MER-P00055,Send renewal questionnaire,2026-01-20,E019,Complete,2026-01-21
REN-MER-P00055-T90,REN-MER-P00055,MER-P00055,Request updated exposures / SOV,2026-02-19,E019,Complete,2026-02-23
REN-MER-P00055-T75,REN-MER-P00055,MER-P00055,Order loss runs,2026-03-06,E019,Overdue,2026-03-03
REN-MER-P00055-T60,REN-MER-P00055,MER-P00055,Prepare and send submissions,2026-03-21,E019,Complete,2026-03-25
REN-MER-P00055-T30,REN-MER-P00055,MER-P00055,Deliver renewal proposal,2026-04-20,E019,Open,
REN-MER-P00055-T10,REN-MER-P00055,MER-P00055,Obtain signed bind order,2026-05-10,E019,Open,
REN-MER-P00056-T120,REN-MER-P00056,MER-P00056,Send renewal questionnaire,2026-01-25,E012,Complete,2026-01-22
REN-MER-P00056-T90,REN-MER-P00056,MER-P00056,Request updated exposures / SOV,2026-02-24,E012,Complete,
REN-MER-P00056-T75,REN-MER-P00056,MER-P00056,Order loss runs,2026-03-11,E012,Complete,2026-03-08
REN-MER-P00056-T60,REN-MER-P00056,MER-P00056,Prepare and send submissions,2026-03-26,E012,Overdue,
REN-MER-P00056-T30,REN-MER-P00056,MER-P00056,Deliver renewal proposal,2026-04-25,E012,Open,
REN-MER-P00056-T10,REN-MER-P00056,MER-P00056,Obtain signed bind order,2026-05-15,E012,Open,
REN-MER-P00058-T120,REN-MER-P00058,MER-P00058,Send renewal questionnaire,2026-01-03,E012,Complete,
REN-MER-P00058-T90,REN-MER-P00058,MER-P00058,Request updated exposures / SOV,2026-02-02,E012,Overdue,2026-01-31
REN-MER-P00058-T75,REN-MER-P00058,MER-P00058,Order loss runs,2026-02-17,E012,Complete,2026-02-21
REN-MER-P00058-T60,REN-MER-P00058,MER-P00058,Prepare and send submissions,2026-03-04,E012,Complete,2026-03-06
REN-MER-P00058-T30,REN-MER-P00058,MER-P00058,Deliver renewal proposal,2026-04-03,E012,Open,
REN-MER-P00058-T10,REN-MER-P00058,MER-P00058,Obtain signed bind order,2026-04-23,E012,Open,
REN-MER-P00059-T120,REN-MER-P00059,MER-P00059,Send renewal questionnaire,2026-03-30,E012,Overdue,
REN-MER-P00059-T90,REN-MER-P00059,MER-P00059,Request updated exposures / SOV,2026-04-29,E012,Open,
REN-MER-P00059-T75,REN-MER-P00059,MER-P00059,Order loss runs,2026-05-14,E012,Open,
REN-MER-P00059-T60,REN-MER-P00059,MER-P00059,Prepare and send submissions,2026-05-29,E012,Open,
REN-MER-P00059-T30,REN-MER-P00059,MER-P00059,Deliver renewal proposal,2026-06-28,E012,Open,
REN-MER-P00059-T10,REN-MER-P00059,MER-P00059,Obtain signed bind order,2026-07-18,E012,Open,
REN-MER-P00063-T120,REN-MER-P00063,MER-P00063,Send renewal questionnaire,2026-04-11,E011,Open,
REN-MER-P00063-T90,REN-MER-P00063,MER-P00063,Request updated exposures / SOV,2026-05-11,E011,Open,
REN-MER-P00063-T75,REN-MER-P00063,MER-P00063,Order loss runs,2026-05-26,E011,Open,
REN-MER-P00063-T60,REN-MER-P00063,MER-P00063,Prepare and send submissions,2026-06-10,E011,Open,
REN-MER-P00063-T30,REN-MER-P00063,MER-P00063,Deliver renewal proposal,2026-07-10,E011,Open,
REN-MER-P00063-T10,REN-MER-P00063,MER-P00063,Obtain signed bind order,2026-07-30,E011,Open,
REN-MER-P00064-T120,REN-MER-P00064,MER-P00064,Send renewal questionnaire,2026-04-09,E011,Open,
REN-MER-P00064-T90,REN-MER-P00064,MER-P00064,Request updated exposures / SOV,2026-05-09,E011,Open,
REN-MER-P00064-T75,REN-MER-P00064,MER-P00064,Order loss runs,2026-05-24,E011,Open,
REN-MER-P00064-T60,REN-MER-P00064,MER-P00064,Prepare and send submissions,2026-06-08,E011,Open,
REN-MER-P00064-T30,REN-MER-P00064,MER-P00064,Deliver renewal proposal,2026-07-08,E011,Open,
REN-MER-P00064-T10,REN-MER-P00064,MER-P00064,Obtain signed bind order,2026-07-28,E011,Open,
REN-MER-P00066-T120,REN-MER-P00066,MER-P00066,Send renewal questionnaire,2026-02-01,E018,Complete,2026-01-31
REN-MER-P00066-T90,REN-MER-P00066,MER-P00066,Request updated exposures / SOV,2026-03-03,E018,Complete,2026-03-05
REN-MER-P00066-T75,REN-MER-P00066,MER-P00066,Order loss runs,2026-03-18,E018,Complete,2026-03-24
REN-MER-P00066-T60,REN-MER-P00066,MER-P00066,Prepare and send submissions,2026-04-02,E018,Open,
REN-MER-P00066-T30,REN-MER-P00066,MER-P00066,Deliver renewal proposal,2026-05-02,E018,Open,
REN-MER-P00066-T10,REN-MER-P00066,MER-P00066,Obtain signed bind order,2026-05-22,E018,Open,
REN-MER-P00067-T120,REN-MER-P00067,MER-P00067,Send renewal questionnaire,2026-03-22,E018,Complete,2026-03-22
REN-MER-P00067-T90,REN-MER-P00067,MER-P00067,Request updated exposures / SOV,2026-04-21,E018,Open,
REN-MER-P00067-T75,REN-MER-P00067,MER-P00067,Order loss runs,2026-05-06,E018,Open,
REN-MER-P00067-T60,REN-MER-P00067,MER-P00067,Prepare and send submissions,2026-05-21,E018,Open,
REN-MER-P00067-T30,REN-MER-P00067,MER-P00067,Deliver renewal proposal,2026-06-20,E018,Open,
REN-MER-P00067-T10,REN-MER-P00067,MER-P00067,Obtain signed bind order,2026-07-10,E018,Open,
REN-MER-P00068-T120,REN-MER-P00068,MER-P00068,Send renewal questionnaire,2026-01-18,E018,Complete,
REN-MER-P00068-T90,REN-MER-P00068,MER-P00068,Request updated exposures / SOV,2026-02-17,E018,Complete,2026-02-14
REN-MER-P00068-T75,REN-MER-P00068,MER-P00068,Order loss runs,2026-03-04,E018,Complete,2026-03-01
REN-MER-P00068-T60,REN-MER-P00068,MER-P00068,Prepare and send submissions,2026-03-19,E018,Overdue,2026-03-23
REN-MER-P00068-T30,REN-MER-P00068,MER-P00068,Deliver renewal proposal,2026-04-18,E018,Open,
REN-MER-P00068-T10,REN-MER-P00068,MER-P00068,Obtain signed bind order,2026-05-08,E018,Open,
REN-MER-P00069-T120,REN-MER-P00069,MER-P00069,Send renewal questionnaire,2026-01-20,E018,Complete,2026-01-19
REN-MER-P00069-T90,REN-MER-P00069,MER-P00069,Request updated exposures / SOV,2026-02-19,E018,Complete,2026-02-19
REN-MER-P00069-T75,REN-MER-P00069,MER-P00069,Order loss runs,2026-03-06,E018,Complete,2026-03-03
REN-MER-P00069-T60,REN-MER-P00069,MER-P00069,Prepare and send submissions,2026-03-21,E018,Complete,2026-03-25
REN-MER-P00069-T30,REN-MER-P00069,MER-P00069,Deliver renewal proposal,2026-04-20,E018,Open,
REN-MER-P00069-T10,REN-MER-P00069,MER-P00069,Obtain signed bind order,2026-05-10,E018,Open,
REN-MER-P00070-T120,REN-MER-P00070,MER-P00070,Send renewal questionnaire,2026-01-22,E015,Overdue,2026-01-19
REN-MER-P00070-T90,REN-MER-P00070,MER-P00070,Request updated exposures / SOV,2026-02-21,E015,Complete,
REN-MER-P00070-T75,REN-MER-P00070,MER-P00070,Order loss runs,2026-03-08,E015,Complete,2026-03-14
REN-MER-P00070-T60,REN-MER-P00070,MER-P00070,Prepare and send submissions,2026-03-23,E015,Complete,2026-03-27
REN-MER-P00070-T30,REN-MER-P00070,MER-P00070,Deliver renewal proposal,2026-04-22,E015,Open,
REN-MER-P00070-T10,REN-MER-P00070,MER-P00070,Obtain signed bind order,2026-05-12,E015,Open,
REN-MER-P00071-T120,REN-MER-P00071,MER-P00071,Send renewal questionnaire,2026-01-14,E015,Complete,
REN-MER-P00071-T90,REN-MER-P00071,MER-P00071,Request updated exposures / SOV,2026-02-13,E015,Overdue,2026-02-14
REN-MER-P00071-T75,REN-MER-P00071,MER-P00071,Order loss runs,2026-02-28,E015,Complete,2026-03-03
REN-MER-P00071-T60,REN-MER-P00071,MER-P00071,Prepare and send submissions,2026-03-15,E015,Complete,2026-03-12
REN-MER-P00071-T30,REN-MER-P00071,MER-P00071,Deliver renewal proposal,2026-04-14,E015,Open,
REN-MER-P00071-T10,REN-MER-P00071,MER-P00071,Obtain signed bind order,2026-05-04,E015,Open,
REN-MER-P00072-T120,REN-MER-P00072,MER-P00072,Send renewal questionnaire,2026-04-11,E021,Open,
REN-MER-P00072-T90,REN-MER-P00072,MER-P00072,Request updated exposures / SOV,2026-05-11,E021,Open,
REN-MER-P00072-T75,REN-MER-P00072,MER-P00072,Order loss runs,2026-05-26,E021,Open,
REN-MER-P00072-T60,REN-MER-P00072,MER-P00072,Prepare and send submissions,2026-06-10,E021,Open,
REN-MER-P00072-T30,REN-MER-P00072,MER-P00072,Deliver renewal proposal,2026-07-10,E021,Open,
REN-MER-P00072-T10,REN-MER-P00072,MER-P00072,Obtain signed bind order,2026-07-30,E021,Open,
REN-MER-P00074-T120,REN-MER-P00074,MER-P00074,Send renewal questionnaire,2026-03-19,E021,Overdue,
REN-MER-P00074-T90,REN-MER-P00074,MER-P00074,Request updated exposures / SOV,2026-04-18,E021,Open,
REN-MER-P00074-T75,REN-MER-P00074,MER-P00074,Order loss runs,2026-05-03,E021,Open,
REN-MER-P00074-T60,REN-MER-P00074,MER-P00074,Prepare and send submissions,2026-05-18,E021,Open,
REN-MER-P00074-T30,REN-MER-P00074,MER-P00074,Deliver renewal proposal,2026-06-17,E021,Open,
REN-MER-P00074-T10,REN-MER-P00074,MER-P00074,Obtain signed bind order,2026-07-07,E021,Open,
REN-MER-P00075-T120,REN-MER-P00075,MER-P00075,Send renewal questionnaire,2026-04-16,E021,Open,
REN-MER-P00075-T90,REN-MER-P00075,MER-P00075,Request updated exposures / SOV,2026-05-16,E021,Open,
REN-MER-P00075-T75,REN-MER-P00075,MER-P00075,Order loss runs,2026-05-31,E021,Open,
REN-MER-P00075-T60,REN-MER-P00075,MER-P00075,Prepare and send submissions,2026-06-15,E021,Open,
REN-MER-P00075-T30,REN-MER-P00075,MER-P00075,Deliver renewal proposal,2026-07-15,E021,Open,
REN-MER-P00075-T10,REN-MER-P00075,MER-P00075,Obtain signed bind order,2026-08-04,E021,Open,
REN-MER-P00076-T120,REN-MER-P00076,MER-P00076,Send renewal questionnaire,2026-04-06,E021,Open,
REN-MER-P00076-T90,REN-MER-P00076,MER-P00076,Request updated exposures / SOV,2026-05-06,E021,Open,
REN-MER-P00076-T75,REN-MER-P00076,MER-P00076,Order loss runs,2026-05-21,E021,Open,
REN-MER-P00076-T60,REN-MER-P00076,MER-P00076,Prepare and send submissions,2026-06-05,E021,Open,
REN-MER-P00076-T30,REN-MER-P00076,MER-P00076,Deliver renewal proposal,2026-07-05,E021,Open,
REN-MER-P00076-T10,REN-MER-P00076,MER-P00076,Obtain signed bind order,2026-07-25,E021,Open,
REN-MER-P00079-T120,REN-MER-P00079,MER-P00079,Send renewal questionnaire,2026-02-07,E016,Complete,2026-02-06
REN-MER-P00079-T90,REN-MER-P00079,MER-P00079,Request updated exposures / SOV,2026-03-09,E016,Complete,2026-03-07
REN-MER-P00079-T75,REN-MER-P00079,MER-P00079,Order loss runs,2026-03-24,E016,Complete,
REN-MER-P00079-T60,REN-MER-P00079,MER-P00079,Prepare and send submissions,2026-04-08,E016,Open,
REN-MER-P00079-T30,REN-MER-P00079,MER-P00079,Deliver renewal proposal,2026-05-08,E016,Open,
REN-MER-P00079-T10,REN-MER-P00079,MER-P00079,Obtain signed bind order,2026-05-28,E016,Open,
REN-MER-P00081-T120,REN-MER-P00081,MER-P00081,Send renewal questionnaire,2026-04-21,E019,Open,
REN-MER-P00081-T90,REN-MER-P00081,MER-P00081,Request updated exposures / SOV,2026-05-21,E019,Open,
REN-MER-P00081-T75,REN-MER-P00081,MER-P00081,Order loss runs,2026-06-05,E019,Open,
REN-MER-P00081-T60,REN-MER-P00081,MER-P00081,Prepare and send submissions,2026-06-20,E019,Open,
REN-MER-P00081-T30,REN-MER-P00081,MER-P00081,Deliver renewal proposal,2026-07-20,E019,Open,
REN-MER-P00081-T10,REN-MER-P00081,MER-P00081,Obtain signed bind order,2026-08-09,E019,Open,
REN-MER-P00086-T120,REN-MER-P00086,MER-P00086,Send renewal questionnaire,2026-04-25,E011,Open,
REN-MER-P00086-T90,REN-MER-P00086,MER-P00086,Request updated exposures / SOV,2026-05-25,E011,Open,
REN-MER-P00086-T75,REN-MER-P00086,MER-P00086,Order loss runs,2026-06-09,E011,Open,
REN-MER-P00086-T60,REN-MER-P00086,MER-P00086,Prepare and send submissions,2026-06-24,E011,Open,
REN-MER-P00086-T30,REN-MER-P00086,MER-P00086,Deliver renewal proposal,2026-07-24,E011,Open,
REN-MER-P00086-T10,REN-MER-P00086,MER-P00086,Obtain signed bind order,2026-08-13,E011,Open,
REN-MER-P00087-T120,REN-MER-P00087,MER-P00087,Send renewal questionnaire,2026-01-30,E011,Overdue,2026-01-27
REN-MER-P00087-T90,REN-MER-P00087,MER-P00087,Request updated exposures / SOV,2026-03-01,E011,Overdue,2026-03-02
REN-MER-P00087-T75,REN-MER-P00087,MER-P00087,Order loss runs,2026-03-16,E011,Complete,2026-03-18
REN-MER-P00087-T60,REN-MER-P00087,MER-P00087,Prepare and send submissions,2026-03-31,E011,Open,
REN-MER-P00087-T30,REN-MER-P00087,MER-P00087,Deliver renewal proposal,2026-04-30,E011,Open,
REN-MER-P00087-T10,REN-MER-P00087,MER-P00087,Obtain signed bind order,2026-05-20,E011,Open,
REN-MER-P00089-T120,REN-MER-P00089,MER-P00089,Send renewal questionnaire,2025-12-04,E021,Complete,2025-12-04
REN-MER-P00089-T90,REN-MER-P00089,MER-P00089,Request updated exposures / SOV,2026-01-03,E021,Complete,2025-12-31
