shipment_id,so_number,customer_id,ship_to_id,ship_date,carrier,mode,service,tracking_number,cartons,weight_lb,freight_cost,freight_billed_to_customer,shipped_by,packing_slip,status
SH-50028,SO-26031,NIC-CUST0040,NIC-CUST0040-S1,2025-12-10,FedEx Ground,LTL,,558905130707,14,523.7,231.95,238.91,E105,PS-SH-50028.pdf,Delivered
SH-50029,SO-26032,NIC-CUST0024,NIC-CUST0024-S1,2026-01-04,Company Truck,LTL,,PRO647949361,21,828.0,359.76,464.09,E100,PS-SH-50029.pdf,Delivered
SH-50030,SO-26033,NIC-CUST0017,NIC-CUST0017-S1,2025-09-21,UPS Ground,LTL,,1Z3998577128,10,368.5,166.77,175.11,E102,PS-SH-50030.pdf,Delivered
SH-50031,SO-26034,NIC-CUST0033,NIC-CUST0033-S1,2025-10-08,LTL - XPO,Company Truck,,,3,80.9,0.0,0.0,E078,PS-SH-50031.pdf,Delivered
SH-50032,SO-26035,NIC-CUST0030,NIC-CUST0030-S1,2025-07-02,LTL - Estes,LTL,,PRO873708085,26,1021.2,440.9,0.0,E099,PS-SH-50032.pdf,Delivered
SH-50033,SO-26036,NIC-CUST0031,NIC-CUST0031-S1,2025-05-13,LTL - XPO,LTL,,PRO313106926,8,312.7,143.33,0.0,E076,PS-SH-50033.pdf,Delivered
SH-50034,SO-26037,NIC-CUST0009,NIC-CUST0009-S1,2026-02-06,LTL - Estes,LTL,,PRO541308456,5,176.9,86.3,0.0,E080,PS-SH-50034.pdf,Delivered
SH-50035,SO-26038,NIC-CUST0033,NIC-CUST0033-S1,2025-09-15,LTL - XPO,LTL,,PRO855425320,19,751.1,327.46,370.03,E103,PS-SH-50035.pdf,Delivered
SH-50036,SO-26039,NIC-CUST0029,NIC-CUST0029-S1,2025-12-31,Customer Pickup,LTL,,PRO462219865,8,287.2,132.62,0.0,E101,PS-SH-50036.pdf,Delivered
SH-50037,SO-26040,NIC-CUST0013,NIC-CUST0013-S1,2025-05-25,FedEx Ground,Parcel,3 Day,220199440240,1,34.5,26.49,34.97,E099,PS-SH-50037.pdf,Delivered
SH-50038,SO-26041,NIC-CUST0023,NIC-CUST0023-S1,2025-12-28,Customer Pickup,LTL,,PRO382019288,15,597.7,263.03,0.0,E099,PS-SH-50038.pdf,Delivered
SH-50039,SO-26042,NIC-CUST0018,NIC-CUST0018-S1,2026-01-06,FedEx Ground,LTL,,118531686150,14,554.5,244.89,0.0,E083,PS-SH-50039.pdf,Delivered
SH-50040,SO-26043,NIC-CUST0020,NIC-CUST0020-S1,2026-03-25,Customer Pickup,LTL,,PRO415813636,6,237.1,111.58,136.13,E080,PS-SH-50040.pdf,Delivered
SH-50041,SO-26044,NIC-CUST0006,NIC-CUST0006-S1,2025-11-09,UPS Ground,LTL,,1Z5730088740,10,378.4,170.93,174.35,E083,PS-SH-50041.pdf,Delivered
SH-50042,SO-26045,NIC-CUST0019,NIC-CUST0019-S1,2026-02-20,LTL - Estes,LTL,,PRO170881216,13,501.9,222.8,0.0,E105,PS-SH-50042.pdf,Delivered
SH-50043,SO-26046,NIC-CUST0024,NIC-CUST0024-S1,2025-07-01,Company Truck,LTL,,PRO628390951,14,524.1,232.12,0.0,E105,PS-SH-50043.pdf,Delivered
SH-50044,SO-26047,NIC-CUST0034,NIC-CUST0034-S1,2025-06-20,Customer Pickup,LTL,,PRO585394177,18,697.7,305.03,381.29,E082,PS-SH-50044.pdf,Delivered
SH-50045,SO-26049,NIC-CUST0018,NIC-CUST0018-S1,2025-06-18,FedEx Ground,Parcel,3 Day,489949950839,3,95.6,52.15,65.71,E102,PS-SH-50045.pdf,Delivered
SH-50046,SO-26050,NIC-CUST0020,NIC-CUST0020-S1,2025-05-28,Customer Pickup,LTL,,PRO204763488,10,384.7,173.57,222.17,E082,PS-SH-50046.pdf,Delivered
SH-50047,SO-26051,NIC-CUST0025,NIC-CUST0025-S1,2025-05-28,FedEx Ground,LTL,,694982489098,7,257.5,120.15,0.0,E076,PS-SH-50047.pdf,Delivered
SH-50048,SO-26052,NIC-CUST0019,NIC-CUST0019-S1,2025-05-12,LTL - Estes,LTL,,PRO450610490,13,503.2,223.34,254.61,E103,PS-SH-50048.pdf,Delivered
SH-50049,SO-26053,NIC-CUST0004,NIC-CUST0004-S1,2026-03-06,Customer Pickup,LTL,,PRO641946415,7,260.0,121.2,0.0,E081,PS-SH-50049.pdf,Delivered
SH-50050,SO-26054,NIC-CUST0010,NIC-CUST0010-S1,2026-01-11,UPS Ground,Parcel,Ground,1Z5338329775,1,8.6,15.61,19.2,E083,PS-SH-50050.pdf,Delivered
SH-50051,SO-26055,NIC-CUST0007,NIC-CUST0007-S1,2026-03-17,Customer Pickup,Pickup,,,3,98.8,0.0,0.0,E102,PS-SH-50051.pdf,Delivered
SH-50052,SO-26056,NIC-CUST0035,NIC-CUST0035-S1,2025-12-17,Customer Pickup,LTL,,PRO926321827,20,798.2,347.24,0.0,E106,PS-SH-50052.pdf,Delivered
SH-50053,SO-26057,NIC-CUST0004,NIC-CUST0004-S1,2025-05-03,Customer Pickup,LTL,,PRO949134775,6,204.0,97.68,101.59,E105,PS-SH-50053.pdf,Delivered
SH-50054,SO-26058,NIC-CUST0030,NIC-CUST0030-S1,2025-09-30,LTL - Estes,LTL,,PRO385147798,12,470.1,209.44,0.0,E102,PS-SH-50054.pdf,Delivered
SH-50055,SO-26059,NIC-CUST0026,NIC-CUST0026-S1,2025-07-25,Customer Pickup,LTL,,PRO405380913,18,692.5,302.85,0.0,E102,PS-SH-50055.pdf,Delivered
SH-50056,SO-26060,NIC-CUST0011,NIC-CUST0011-S1,2025-12-08,Company Truck,LTL,,PRO383757131,7,260.1,121.24,137.0,E099,PS-SH-50056.pdf,Delivered
SH-50057,SO-26061,NIC-CUST0014,NIC-CUST0014-S1,2026-02-11,Company Truck,LTL,,PRO938206244,17,668.9,292.94,0.0,E103,PS-SH-50057.pdf,Delivered
SH-50058,SO-26062,NIC-CUST0026,NIC-CUST0026-S1,2025-04-28,Customer Pickup,LTL,,PRO742159763,24,923.9,400.04,0.0,E076,PS-SH-50058.pdf,Delivered
SH-50059,SO-26063,NIC-CUST0004,NIC-CUST0004-S1,2026-03-25,Customer Pickup,LTL,,PRO218430322,8,314.6,144.13,0.0,E080,PS-SH-50059.pdf,Delivered
SH-50060,SO-26064,NIC-CUST0035,NIC-CUST0035-S1,2026-03-20,Customer Pickup,Pickup,,,4,129.4,0.0,0.0,E101,PS-SH-50060.pdf,Delivered
SH-50061,SO-26065,NIC-CUST0022,NIC-CUST0022-S1,2025-07-28,LTL - Estes,Company Truck,,,2,62.1,0.0,0.0,E106,PS-SH-50061.pdf,Delivered
SH-50062,SO-26066,NIC-CUST0011,NIC-CUST0011-S1,2025-08-02,Company Truck,LTL,,PRO273638718,17,661.8,289.96,0.0,E099,PS-SH-50062.pdf,Delivered
SH-50063,SO-26067,NIC-CUST0002,NIC-CUST0002-S1,2025-10-01,UPS Ground,LTL,,1Z3614858888,6,206.7,98.81,132.41,E080,PS-SH-50063.pdf,Delivered
SH-50064,SO-26068,NIC-CUST0005,NIC-CUST0005-S1,2026-01-29,LTL - XPO,LTL,,PRO934887058,8,304.0,139.68,0.0,E101,PS-SH-50064.pdf,Delivered
SH-50065,SO-26069,NIC-CUST0008,NIC-CUST0008-S1,2025-09-28,UPS Ground,LTL,,1Z3772351224,6,203.7,97.55,125.84,E077,PS-SH-50065.pdf,Delivered
SH-50066,SO-26071,NIC-CUST0030,NIC-CUST0030-S1,2025-11-17,LTL - Estes,Company Truck,,,1,16.2,0.0,0.0,E105,PS-SH-50066.pdf,Delivered
SH-50067,SO-26072,NIC-CUST0001,NIC-CUST0001-S1,2025-11-13,Company Truck,LTL,,PRO247431991,7,253.6,118.51,0.0,E100,PS-SH-50067.pdf,Delivered
SH-50068,SO-26073,NIC-CUST0031,NIC-CUST0031-S1,2026-01-04,LTL - XPO,LTL,,PRO992690159,10,387.3,174.67,0.0,E105,PS-SH-50068.pdf,Delivered
SH-50069,SO-26074,NIC-CUST0031,NIC-CUST0031-S1,2025-12-04,LTL - XPO,LTL,,PRO988220551,6,235.3,110.83,0.0,E104,PS-SH-50069.pdf,Delivered
SH-50070,SO-26075,NIC-CUST0030,NIC-CUST0030-S1,2025-04-30,LTL - Estes,LTL,,PRO554580047,20,768.4,334.73,0.0,E103,PS-SH-50070.pdf,Delivered
SH-50071,SO-26077,NIC-CUST0036,NIC-CUST0036-S1,2026-01-10,UPS Ground,LTL,,1Z5111993909,15,581.1,256.06,0.0,E079,PS-SH-50071.pdf,Delivered
SH-50072,SO-26078,NIC-CUST0008,NIC-CUST0008-S1,2026-03-23,UPS Ground,LTL,,1Z8455947323,8,305.5,140.31,173.98,E082,PS-SH-50072.pdf,Delivered
SH-50073,SO-26079,NIC-CUST0015,NIC-CUST0015-S1,2025-05-26,UPS Ground,LTL,,1Z5520844493,11,429.2,192.26,223.02,E102,PS-SH-50073.pdf,Delivered
SH-50074,SO-26080,NIC-CUST0029,NIC-CUST0029-S1,2025-09-18,Customer Pickup,Pickup,,,2,76.7,0.0,0.0,E106,PS-SH-50074.pdf,Delivered
SH-50075,SO-26082,NIC-CUST0015,NIC-CUST0015-S1,2025-06-22,UPS Ground,LTL,,1Z3161505454,9,344.0,156.48,0.0,E081,PS-SH-50075.pdf,Delivered
SH-50076,SO-26083,NIC-CUST0039,NIC-CUST0039-S1,2025-12-04,Company Truck,LTL,,PRO443190229,27,1053.9,454.64,0.0,E099,PS-SH-50076.pdf,Delivered
SH-50077,SO-26084,NIC-CUST0023,NIC-CUST0023-S1,2025-10-23,Customer Pickup,LTL,,PRO497482054,8,307.8,141.28,178.01,E102,PS-SH-50077.pdf,Delivered
SH-50078,SO-26085,NIC-CUST0033,NIC-CUST0033-S1,2025-08-06,LTL - XPO,LTL,,PRO822972519,7,257.6,120.19,126.2,E082,PS-SH-50078.pdf,Delivered
SH-50079,SO-26086,NIC-CUST0015,NIC-CUST0015-S1,2026-03-09,UPS Ground,LTL,,1Z2129399421,15,577.1,254.38,0.0,E083,PS-SH-50079.pdf,Delivered
SH-50080,SO-26087,NIC-CUST0001,NIC-CUST0001-S1,2025-05-10,Company Truck,LTL,,PRO367145683,7,266.7,124.01,126.49,E106,PS-SH-50080.pdf,Delivered
SH-50081,SO-26088,NIC-CUST0025,NIC-CUST0025-S1,2025-06-25,FedEx Ground,LTL,,496909000733,11,416.8,187.06,0.0,E104,PS-SH-50081.pdf,Delivered
SH-50082,SO-26089,NIC-CUST0034,NIC-CUST0034-S1,2025-09-27,Customer Pickup,LTL,,PRO160841708,9,332.9,151.82,163.97,E099,PS-SH-50082.pdf,Delivered
SH-50083,SO-26090,NIC-CUST0001,NIC-CUST0001-S1,2025-07-04,Company Truck,LTL,,PRO436753454,15,589.0,259.38,0.0,E102,PS-SH-50083.pdf,Delivered
SH-50084,SO-26091,NIC-CUST0030,NIC-CUST0030-S1,2025-05-17,LTL - Estes,LTL,,PRO237162413,8,284.9,131.66,0.0,E101,PS-SH-50084.pdf,Delivered
SH-50085,SO-26093,NIC-CUST0021,NIC-CUST0021-S1,2026-03-11,LTL - XPO,LTL,,PRO743460812,12,464.2,206.96,238.0,E081,PS-SH-50085.pdf,Delivered
SH-50086,SO-26094,NIC-CUST0006,NIC-CUST0006-S1,2025-05-27,UPS Ground,LTL,,1Z3326965891,7,260.0,121.2,149.08,E101,PS-SH-50086.pdf,Delivered
SH-50087,SO-26095,NIC-CUST0029,NIC-CUST0029-S1,2025-08-03,Customer Pickup,Pickup,,,3,117.7,0.0,0.0,E079,PS-SH-50087.pdf,Delivered
SH-50088,SO-26097,NIC-CUST0013,NIC-CUST0013-S1,2025-12-25,FedEx Ground,LTL,,562897945560,23,886.9,384.5,492.16,E079,PS-SH-50088.pdf,Delivered
SH-50089,SO-26098,NIC-CUST0020,NIC-CUST0020-S1,2025-10-31,Customer Pickup,LTL,,PRO844803654,18,684.3,299.41,0.0,E076,PS-SH-50089.pdf,Delivered
SH-50090,SO-26099,NIC-CUST0029,NIC-CUST0029-S1,2026-02-28,Customer Pickup,Pickup,,,4,136.0,0.0,0.0,E078,PS-SH-50090.pdf,Delivered
SH-50091,SO-26100,NIC-CUST0037,NIC-CUST0037-S1,2025-08-16,LTL - XPO,Company Truck,,,2,75.1,0.0,0.0,E077,PS-SH-50091.pdf,Delivered
SH-50092,SO-26101,NIC-CUST0004,NIC-CUST0004-S1,2025-08-26,Customer Pickup,LTL,,PRO478552746,14,539.5,238.59,252.91,E100,PS-SH-50092.pdf,Delivered
SH-50093,SO-26102,NIC-CUST0009,NIC-CUST0009-S1,2025-07-03,LTL - Estes,LTL,,PRO667050008,12,468.6,208.81,233.87,E082,PS-SH-50093.pdf,Delivered
SH-50094,SO-26103,NIC-CUST0008,NIC-CUST0008-S1,2025-05-08,UPS Ground,Parcel,Ground,1Z9626795681,3,107.0,56.94,0.0,E080,PS-SH-50094.pdf,Delivered
SH-50095,SO-26104,NIC-CUST0003,NIC-CUST0003-S1,2025-05-08,FedEx Ground,LTL,,486231471975,23,880.2,381.68,0.0,E105,PS-SH-50095.pdf,Delivered
SH-50096,SO-26105,NIC-CUST0013,NIC-CUST0013-S1,2025-05-16,FedEx Ground,LTL,,922144410297,12,440.9,197.18,0.0,E102,PS-SH-50096.pdf,Delivered
SH-50097,SO-26106,NIC-CUST0002,NIC-CUST0002-S1,2026-02-01,UPS Ground,Parcel,Ground,1Z2796684335,4,137.1,69.58,84.19,E103,PS-SH-50097.pdf,Delivered
SH-50098,SO-26107,NIC-CUST0025,NIC-CUST0025-S1,2025-12-17,FedEx Ground,LTL,,138586713096,6,231.0,109.02,112.29,E080,PS-SH-50098.pdf,Delivered
SH-50099,SO-26108,NIC-CUST0013,NIC-CUST0013-S1,2025-08-02,FedEx Ground,Parcel,3 Day,941246899715,1,21.9,21.2,23.53,E077,PS-SH-50099.pdf,Delivered
SH-50100,SO-26109,NIC-CUST0022,NIC-CUST0022-S1,2025-09-29,LTL - Estes,LTL,,PRO163631401,13,489.0,217.38,252.16,E100,PS-SH-50100.pdf,Delivered
SH-50101,SO-26111,NIC-CUST0040,NIC-CUST0040-S1,2025-04-27,FedEx Ground,LTL,,959558706177,16,636.4,279.29,357.49,E079,PS-SH-50101.pdf,Delivered
SH-50102,SO-26112,NIC-CUST0034,NIC-CUST0034-S1,2026-02-16,Customer Pickup,LTL,,PRO972440389,22,850.0,369.0,409.59,E106,PS-SH-50102.pdf,Delivered
SH-50103,SO-26113,NIC-CUST0014,NIC-CUST0014-S1,2025-07-13,Company Truck,LTL,,PRO178093316,17,642.3,281.77,0.0,E079,PS-SH-50103.pdf,Delivered
SH-50104,SO-26114,NIC-CUST0014,NIC-CUST0014-S1,2026-01-14,Company Truck,LTL,,PRO790522345,11,418.5,187.77,202.79,E079,PS-SH-50104.pdf,Delivered
SH-50105,SO-26115,NIC-CUST0040,NIC-CUST0040-S1,2025-08-05,FedEx Ground,LTL,,222104710980,23,888.0,384.96,408.06,E102,PS-SH-50105.pdf,Delivered
SH-50106,SO-26116,NIC-CUST0037,NIC-CUST0037-S1,2025-06-17,LTL - XPO,LTL,,PRO523936515,14,544.0,240.48,0.0,E079,PS-SH-50106.pdf,Delivered
SH-50107,SO-26117,NIC-CUST0035,NIC-CUST0035-S1,2025-11-03,Customer Pickup,Pickup,,,2,54.9,0.0,0.0,E076,PS-SH-50107.pdf,Delivered
SH-50108,SO-26118,NIC-CUST0025,NIC-CUST0025-S1,2025-09-17,FedEx Ground,LTL,,834539654811,5,197.8,95.08,0.0,E099,PS-SH-50108.pdf,Delivered
SH-50109,SO-26120,NIC-CUST0040,NIC-CUST0040-S1,2026-03-24,FedEx Ground,Parcel,3 Day,788114757801,3,108.8,57.7,61.74,E104,PS-SH-50109.pdf,Delivered
SH-50110,SO-26121,NIC-CUST0007,NIC-CUST0007-S1,2025-09-16,Customer Pickup,LTL,,PRO479046899,6,227.4,107.51,0.0,E078,PS-SH-50110.pdf,Delivered
SH-50111,SO-26122,NIC-CUST0015,NIC-CUST0015-S1,2025-11-20,UPS Ground,LTL,,1Z8362401443,15,590.1,259.84,319.6,E100,PS-SH-50111.pdf,Delivered
SH-50112,SO-26123,NIC-CUST0006,NIC-CUST0006-S1,2025-10-05,UPS Ground,Parcel,Next Day Air,1Z9687630367,4,123.9,64.04,68.52,E105,PS-SH-50112.pdf,Delivered
SH-50113,SO-26124,NIC-CUST0040,NIC-CUST0040-S1,2025-12-08,FedEx Ground,LTL,,788992158426,13,501.3,222.55,284.86,E082,PS-SH-50113.pdf,Delivered
SH-50114,SO-26125,NIC-CUST0007,NIC-CUST0007-S1,2025-08-02,Customer Pickup,LTL,,PRO412564999,9,334.3,152.41,0.0,E105,PS-SH-50114.pdf,Delivered
SH-50115,SO-26126,NIC-CUST0023,NIC-CUST0023-S1,2026-02-07,Customer Pickup,LTL,,PRO412514697,16,611.9,269.0,336.25,E106,PS-SH-50115.pdf,Delivered
SH-50116,SO-26127,NIC-CUST0011,NIC-CUST0011-S1,2026-02-06,Company Truck,LTL,,PRO269692420,5,176.6,86.17,87.89,E101,PS-SH-50116.pdf,Delivered
SH-50117,SO-26128,NIC-CUST0007,NIC-CUST0007-S1,2026-02-12,Customer Pickup,LTL,,PRO575964734,9,339.9,154.76,0.0,E079,PS-SH-50117.pdf,Delivered
SH-50118,SO-26129,NIC-CUST0030,NIC-CUST0030-S1,2026-01-26,LTL - Estes,LTL,,PRO989015666,8,281.8,130.36,0.0,E080,PS-SH-50118.pdf,Delivered
SH-50119,SO-26130,NIC-CUST0001,NIC-CUST0001-S1,2025-12-21,Company Truck,LTL,,PRO742915940,5,178.4,86.93,0.0,E106,PS-SH-50119.pdf,Delivered
SH-50120,SO-26131,NIC-CUST0003,NIC-CUST0003-S1,2025-08-17,FedEx Ground,LTL,,750617149288,38,1508.8,645.7,0.0,E102,PS-SH-50120.pdf,Delivered
SH-50121,SO-26132,NIC-CUST0035,NIC-CUST0035-S1,2025-11-04,Customer Pickup,LTL,,PRO697134434,14,550.8,243.34,245.77,E077,PS-SH-50121.pdf,Delivered
SH-50122,SO-26133,NIC-CUST0001,NIC-CUST0001-S1,2025-11-15,Company Truck,Company Truck,,,2,68.0,0.0,0.0,E078,PS-SH-50122.pdf,Delivered
SH-50123,SO-26134,NIC-CUST0023,NIC-CUST0023-S1,2025-08-04,Customer Pickup,LTL,,PRO394762337,12,467.8,208.48,0.0,E077,PS-SH-50123.pdf,Delivered
SH-50124,SO-26135,NIC-CUST0029,NIC-CUST0029-S1,2025-07-31,Customer Pickup,Pickup,,,3,86.7,0.0,0.0,E099,PS-SH-50124.pdf,Delivered
SH-50125,SO-26136,NIC-CUST0005,NIC-CUST0005-S1,2026-03-27,LTL - XPO,Company Truck,,,1,19.6,0.0,0.0,E102,PS-SH-50125.pdf,In Transit
SH-50126,SO-26137,NIC-CUST0008,NIC-CUST0008-S1,2025-08-03,UPS Ground,LTL,,1Z5204358919,23,905.8,392.44,0.0,E083,PS-SH-50126.pdf,Delivered
SH-50127,SO-26138,NIC-CUST0022,NIC-CUST0022-S1,2025-04-22,LTL - Estes,LTL,,PRO126756354,5,162.6,80.29,102.77,E079,PS-SH-50127.pdf,Delivered
SH-50128,SO-26139,NIC-CUST0026,NIC-CUST0026-S1,2026-01-15,Customer Pickup,LTL,,PRO188645896,7,264.3,123.01,127.93,E102,PS-SH-50128.pdf,Delivered
SH-50129,SO-26140,NIC-CUST0033,NIC-CUST0033-S1,2025-10-17,LTL - XPO,LTL,,PRO631057178,12,458.2,204.44,228.97,E079,PS-SH-50129.pdf,Delivered
SH-50130,SO-26141,NIC-CUST0008,NIC-CUST0008-S1,2025-06-28,UPS Ground,LTL,,1Z8990880581,6,234.5,110.49,0.0,E081,PS-SH-50130.pdf,Delivered
SH-50131,SO-26142,NIC-CUST0008,NIC-CUST0008-S1,2025-08-17,UPS Ground,LTL,,1Z9315927700,17,675.6,295.75,0.0,E079,PS-SH-50131.pdf,Delivered
SH-50132,SO-26143,NIC-CUST0013,NIC-CUST0013-S1,2025-06-01,FedEx Ground,LTL,,733113930552,15,578.2,254.84,0.0,E100,PS-SH-50132.pdf,Delivered
SH-50133,SO-26144,NIC-CUST0023,NIC-CUST0023-S1,2025-08-22,Customer Pickup,Pickup,,,3,83.0,0.0,0.0,E105,PS-SH-50133.pdf,Delivered
SH-50134,SO-26145,NIC-CUST0030,NIC-CUST0030-S1,2025-12-29,LTL - Estes,LTL,,PRO358848832,8,304.2,139.76,0.0,E081,PS-SH-50134.pdf,Delivered
SH-50135,SO-26146,NIC-CUST0005,NIC-CUST0005-S1,2025-10-02,LTL - XPO,LTL,,PRO785103288,25,993.2,429.14,562.17,E077,PS-SH-50135.pdf,Delivered
SH-50136,SO-26147,NIC-CUST0003,NIC-CUST0003-S1,2025-09-15,FedEx Ground,LTL,,513825044297,8,289.7,133.67,152.38,E083,PS-SH-50136.pdf,Delivered
SH-50137,SO-26148,NIC-CUST0007,NIC-CUST0007-S1,2026-01-29,Customer Pickup,LTL,,PRO858058070,19,740.2,322.88,0.0,E080,PS-SH-50137.pdf,Delivered
SH-50138,SO-26149,NIC-CUST0029,NIC-CUST0029-S1,2025-05-13,Customer Pickup,Pickup,,,2,64.7,0.0,0.0,E100,PS-SH-50138.pdf,Delivered
SH-50139,SO-26150,NIC-CUST0012,NIC-CUST0012-S1,2025-08-04,LTL - XPO,LTL,,PRO687285860,5,194.5,93.69,0.0,E083,PS-SH-50139.pdf,Delivered
SH-50140,SO-26151,NIC-CUST0008,NIC-CUST0008-S1,2026-03-22,UPS Ground,Parcel,Ground,1Z7447591088,2,58.9,36.74,44.46,E105,PS-SH-50140.pdf,Delivered
SH-50141,SO-26152,NIC-CUST0022,NIC-CUST0022-S1,2025-08-17,LTL - Estes,LTL,,PRO725960148,6,217.8,103.48,104.51,E106,PS-SH-50141.pdf,Delivered
SH-50142,SO-26153,NIC-CUST0017,NIC-CUST0017-S1,2025-12-26,UPS Ground,LTL,,1Z2408712689,10,396.0,178.32,0.0,E078,PS-SH-50142.pdf,Delivered
SH-50143,SO-26154,NIC-CUST0019,NIC-CUST0019-S1,2025-10-27,LTL - Estes,LTL,,PRO755899921,14,521.0,230.82,235.44,E100,PS-SH-50143.pdf,Delivered
