pick_id,so_number,so_line,item_id,qty_to_pick,qty_picked,bin_location,picker_id,pick_date,shipment_id
PK-00090,SO-26032,3,A-20114,5,5,E-30-3,E106,2026-01-03,SH-50029
PK-00091,SO-26033,1,A-20093,2,2,D-10-2,E081,2025-09-20,SH-50030
PK-00092,SO-26033,2,A-20097,3,3,B-35-4,E105,2025-09-21,SH-50030
PK-00093,SO-26034,1,A-20058,1,1,D-15-3,E080,2025-10-08,SH-50031
PK-00094,SO-26034,2,A-20090,3,3,A-40-1,E079,2025-10-07,SH-50031
PK-00095,SO-26035,1,A-20097,5,5,B-08-4,E102,2025-07-02,SH-50032
PK-00096,SO-26035,2,A-20092,1,1,B-18-4,E082,2025-07-01,SH-50032
PK-00097,SO-26035,3,A-20040,5,5,B-34-1,E080,2025-07-01,SH-50032
PK-00098,SO-26035,4,A-20036,5,5,A-14-2,E082,2025-07-01,SH-50032
PK-00099,SO-26035,5,A-20073,2,2,F-25-4,E080,2025-07-01,SH-50032
PK-00100,SO-26036,1,A-20034,1,1,B-34-2,E076,2025-05-13,SH-50033
PK-00101,SO-26036,2,A-20073,5,5,E-09-4,E103,2025-05-12,SH-50033
PK-00102,SO-26037,1,A-20033,1,1,F-23-3,E080,2026-02-05,SH-50034
PK-00103,SO-26037,2,A-20077,5,5,A-24-1,E076,2026-02-06,SH-50034
PK-00104,SO-26037,3,A-20090,1,1,D-27-3,E104,2026-02-05,SH-50034
PK-00105,SO-26037,4,A-20061,1,1,D-06-1,E076,2026-02-05,SH-50034
PK-00106,SO-26038,1,A-20022,2,2,A-19-3,E099,2025-09-15,SH-50035
PK-00107,SO-26038,2,A-20097,2,2,A-03-4,E083,2025-09-14,SH-50035
PK-00108,SO-26038,3,A-20034,5,5,B-24-4,E079,2025-09-14,SH-50035
PK-00109,SO-26039,2,A-20038,3,3,A-34-3,E082,2025-12-31,SH-50036
PK-00110,SO-26039,3,A-20002,2,2,D-14-5,E077,2025-12-30,SH-50036
PK-00111,SO-26040,1,A-20087,1,1,B-34-2,E080,2025-05-24,SH-50037
PK-00112,SO-26041,1,A-20020,2,2,F-13-3,E102,2025-12-27,SH-50038
PK-00113,SO-26041,2,A-20063,2,2,C-23-4,E083,2025-12-28,SH-50038
PK-00114,SO-26041,3,A-20078,5,5,C-05-4,E102,2025-12-27,SH-50038
PK-00115,SO-26041,4,A-20073,3,3,E-08-3,E078,2025-12-28,SH-50038
PK-00116,SO-26042,1,A-20039,2,2,F-05-2,E099,2026-01-05,SH-50039
PK-00117,SO-26042,2,A-20013,1,1,A-35-3,E103,2026-01-05,SH-50039
PK-00118,SO-26042,3,A-20040,2,2,B-16-3,E105,2026-01-05,SH-50039
PK-00119,SO-26042,4,A-20058,1,1,C-31-5,E106,2026-01-05,SH-50039
PK-00120,SO-26042,5,A-20072,5,5,D-25-4,E081,2026-01-06,SH-50039
PK-00121,SO-26043,1,A-20072,3,3,B-17-4,E082,2026-03-25,SH-50040
PK-00122,SO-26043,2,A-20063,1,1,C-06-1,E083,2026-03-24,SH-50040
PK-00123,SO-26044,1,A-20092,3,3,D-13-3,E077,2025-11-08,SH-50041
PK-00124,SO-26044,3,A-20043,1,1,E-01-2,E076,2025-11-09,SH-50041
PK-00125,SO-26044,4,A-20013,5,5,A-26-5,E078,2025-11-08,SH-50041
PK-00126,SO-26045,1,A-20073,1,1,B-19-3,E100,2026-02-20,SH-50042
PK-00127,SO-26045,2,A-20076,1,1,D-25-3,E081,2026-02-20,SH-50042
PK-00128,SO-26045,3,A-20053,5,5,E-40-4,E077,2026-02-19,SH-50042
PK-00129,SO-26046,1,A-20093,5,5,D-11-3,E103,2025-07-01,SH-50043
PK-00130,SO-26046,2,A-20072,1,1,C-07-1,E103,2025-06-30,SH-50043
PK-00131,SO-26046,3,A-20065,5,5,F-26-3,E104,2025-07-01,SH-50043
PK-00132,SO-26046,4,A-20101,1,1,F-21-4,E076,2025-06-30,SH-50043
PK-00133,SO-26047,1,A-20030,2,2,A-40-4,E083,2025-06-19,SH-50044
PK-00134,SO-26047,2,A-20114,1,1,B-36-5,E100,2025-06-20,SH-50044
PK-00135,SO-26047,3,A-20063,1,1,E-37-3,E104,2025-06-19,SH-50044
PK-00136,SO-26047,4,A-20093,5,5,E-05-2,E080,2025-06-20,SH-50044
PK-00137,SO-26049,1,A-20090,1,1,D-24-4,E078,2025-06-17,SH-50045
PK-00138,SO-26049,2,A-20034,1,1,F-11-1,E106,2025-06-17,SH-50045
PK-00139,SO-26050,1,A-20061,1,1,D-02-1,E076,2025-05-27,SH-50046
PK-00140,SO-26050,2,A-20031,5,5,C-10-5,E106,2025-05-28,SH-50046
PK-00141,SO-26051,1,A-20038,1,1,D-37-3,E105,2025-05-27,SH-50047
PK-00142,SO-26051,2,A-20003,1,1,F-14-2,E100,2025-05-28,SH-50047
PK-00143,SO-26051,3,A-20036,1,1,F-38-1,E079,2025-05-27,SH-50047
PK-00144,SO-26051,4,A-20061,2,2,E-13-2,E081,2025-05-28,SH-50047
PK-00145,SO-26051,5,A-20070,2,2,D-25-4,E099,2025-05-27,SH-50047
PK-00146,SO-26052,1,A-20076,3,3,B-07-4,E100,2025-05-12,SH-50048
PK-00147,SO-26052,2,A-20072,2,2,F-10-3,E106,2025-05-11,SH-50048
PK-00148,SO-26052,3,A-20114,2,2,C-36-2,E082,2025-05-11,SH-50048
PK-00149,SO-26052,4,A-20022,2,2,B-03-5,E100,2025-05-11,SH-50048
PK-00150,SO-26053,2,A-20114,3,3,D-04-3,E078,2026-03-06,SH-50049
PK-00151,SO-26054,1,A-20090,1,1,C-32-2,E105,2026-01-11,SH-50050
PK-00152,SO-26054,2,A-20061,1,1,E-15-4,E101,2026-01-10,SH-50050
PK-00153,SO-26055,1,A-20065,1,1,E-37-5,E103,2026-03-17,SH-50051
PK-00154,SO-26055,2,A-20090,2,2,A-18-2,E103,2026-03-17,SH-50051
PK-00155,SO-26055,3,A-20101,2,2,C-32-1,E080,2026-03-17,SH-50051
PK-00156,SO-26056,1,A-20003,5,5,C-26-2,E083,2025-12-17,SH-50052
PK-00157,SO-26056,3,A-20020,5,5,B-10-3,E078,2025-12-17,SH-50052
PK-00158,SO-26057,2,A-20097,3,3,E-40-3,E083,2025-05-02,SH-50053
PK-00159,SO-26058,1,A-20033,1,1,B-02-5,E079,2025-09-30,SH-50054
PK-00160,SO-26058,2,A-20093,5,5,A-38-5,E101,2025-09-30,SH-50054
PK-00161,SO-26059,1,A-20092,1,1,D-37-4,E083,2025-07-25,SH-50055
PK-00162,SO-26059,2,A-20043,2,2,C-23-4,E083,2025-07-24,SH-50055
PK-00163,SO-26059,3,A-20058,1,1,E-15-2,E106,2025-07-24,SH-50055
PK-00164,SO-26059,4,A-20034,5,5,F-06-1,E078,2025-07-25,SH-50055
PK-00165,SO-26060,1,A-20063,2,2,E-36-2,E078,2025-12-08,SH-50056
PK-00166,SO-26060,2,A-20033,2,2,E-03-2,E076,2025-12-08,SH-50056
PK-00167,SO-26061,1,A-20077,5,5,D-37-4,E080,2026-02-10,SH-50057
PK-00168,SO-26061,2,A-20092,2,2,C-27-5,E104,2026-02-10,SH-50057
PK-00169,SO-26061,3,A-20020,1,1,F-34-5,E080,2026-02-11,SH-50057
PK-00170,SO-26061,4,A-20036,1,1,F-05-5,E077,2026-02-10,SH-50057
PK-00171,SO-26061,5,A-20020,3,3,D-13-2,E081,2026-02-11,SH-50057
PK-00172,SO-26062,1,A-20002,1,1,F-26-3,E076,2025-04-27,SH-50058
PK-00173,SO-26062,2,A-20053,3,3,B-40-1,E081,2025-04-28,SH-50058
PK-00174,SO-26062,3,A-20063,2,2,F-23-1,E106,2025-04-27,SH-50058
PK-00175,SO-26062,4,A-20072,5,5,F-32-4,E081,2025-04-28,SH-50058
PK-00176,SO-26062,5,A-20107,3,3,E-02-5,E082,2025-04-27,SH-50058
PK-00177,SO-26063,1,A-20082,2,2,B-04-4,E078,2026-03-24,SH-50059
PK-00178,SO-26063,2,A-20092,1,1,A-32-1,E081,2026-03-25,SH-50059
PK-00179,SO-26063,3,A-20030,1,1,F-10-4,E106,2026-03-25,SH-50059
PK-00180,SO-26063,4,A-20065,1,1,C-35-2,E100,2026-03-24,SH-50059
PK-00181,SO-26064,2,A-20038,2,2,B-10-3,E104,2026-03-19,SH-50060
PK-00182,SO-26065,1,A-20078,2,2,F-38-1,E080,2025-07-28,SH-50061
PK-00183,SO-26066,1,A-20053,1,1,F-05-1,E106,2025-08-02,SH-50062
PK-00184,SO-26066,2,A-20020,3,3,F-24-5,E081,2025-08-01,SH-50062
PK-00185,SO-26066,3,A-20082,3,3,C-18-4,E077,2025-08-01,SH-50062
PK-00186,SO-26066,4,A-20076,3,3,B-04-4,E104,2025-08-01,SH-50062
PK-00187,SO-26066,5,A-20076,1,1,F-15-3,E099,2025-08-02,SH-50062
PK-00188,SO-26067,1,A-20076,1,1,A-31-4,E082,2025-10-01,SH-50063
PK-00189,SO-26067,2,A-20036,1,1,C-31-2,E082,2025-10-01,SH-50063
PK-00190,SO-26067,3,A-20101,1,1,B-13-3,E106,2025-09-30,SH-50063
PK-00191,SO-26067,4,A-20063,1,1,C-11-4,E077,2025-10-01,SH-50063
PK-00192,SO-26068,1,A-20013,3,3,A-10-5,E104,2026-01-29,SH-50064
PK-00193,SO-26068,2,A-20107,1,1,D-15-3,E099,2026-01-28,SH-50064
PK-00194,SO-26068,3,A-20003,1,1,E-04-1,E081,2026-01-28,SH-50064
PK-00195,SO-26068,4,A-20087,3,3,A-28-1,E082,2026-01-28,SH-50064
PK-00196,SO-26069,1,A-20022,1,1,D-24-1,E104,2025-09-28,SH-50065
PK-00197,SO-26069,2,A-20063,1,1,A-01-3,E105,2025-09-27,SH-50065
PK-00198,SO-26069,3,A-20101,1,1,D-30-4,E103,2025-09-28,SH-50065
PK-00199,SO-26069,4,A-20061,3,3,C-07-4,E078,2025-09-28,SH-50065
PK-00200,SO-26071,2,A-20065,5,5,B-03-3,E100,2025-11-17,SH-50066
PK-00201,SO-26072,1,A-20022,3,3,D-04-5,E100,2025-11-13,SH-50067
PK-00202,SO-26073,1,A-20013,1,1,D-16-2,E077,2026-01-03,SH-50068
PK-00203,SO-26073,2,A-20040,1,1,C-22-2,E100,2026-01-04,SH-50068
PK-00204,SO-26073,3,A-20002,3,3,F-23-4,E105,2026-01-04,SH-50068
PK-00205,SO-26073,4,A-20092,2,2,A-25-2,E103,2026-01-04,SH-50068
PK-00206,SO-26073,5,A-20040,2,2,E-09-3,E077,2026-01-03,SH-50068
PK-00207,SO-26074,1,A-20030,2,2,B-12-4,E076,2025-12-03,SH-50069
PK-00208,SO-26074,2,A-20070,2,2,C-24-2,E105,2025-12-03,SH-50069
PK-00209,SO-26074,3,A-20039,1,1,C-08-1,E076,2025-12-03,SH-50069
PK-00210,SO-26075,1,A-20020,1,1,E-27-3,E076,2025-04-29,SH-50070
PK-00211,SO-26075,2,A-20110,3,3,A-09-4,E104,2025-04-29,SH-50070
PK-00212,SO-26075,3,A-20031,5,5,C-21-4,E082,2025-04-29,SH-50070
PK-00213,SO-26075,4,A-20114,1,1,F-04-2,E105,2025-04-30,SH-50070
PK-00214,SO-26077,1,A-20038,1,1,B-23-1,E082,2026-01-10,SH-50071
PK-00215,SO-26077,2,A-20114,1,1,F-26-4,E103,2026-01-10,SH-50071
PK-00216,SO-26077,3,A-20082,5,5,A-16-5,E076,2026-01-10,SH-50071
PK-00217,SO-26078,1,A-20082,1,1,C-21-3,E104,2026-03-22,SH-50072
PK-00218,SO-26078,2,A-20110,3,3,D-35-1,E103,2026-03-23,SH-50072
PK-00219,SO-26078,4,A-20065,1,1,A-03-5,E078,2026-03-23,SH-50072
PK-00220,SO-26079,1,A-20077,3,3,A-22-2,E105,2025-05-25,SH-50073
PK-00221,SO-26079,2,A-20022,1,1,F-34-5,E100,2025-05-25,SH-50073
PK-00222,SO-26079,3,A-20039,3,3,F-07-2,E099,2025-05-26,SH-50073
PK-00223,SO-26079,4,A-20058,1,1,C-22-1,E083,2025-05-26,SH-50073
PK-00224,SO-26080,1,A-20003,1,1,F-16-2,E077,2025-09-18,SH-50074
PK-00225,SO-26082,1,A-20020,1,1,F-20-3,E099,2025-06-22,SH-50075
PK-00226,SO-26082,2,A-20076,1,1,D-21-5,E080,2025-06-21,SH-50075
PK-00227,SO-26082,3,A-20082,2,2,C-40-3,E080,2025-06-22,SH-50075
PK-00228,SO-26082,4,A-20039,1,1,A-27-2,E081,2025-06-21,SH-50075
PK-00229,SO-26083,1,A-20053,5,5,B-17-1,E082,2025-12-03,SH-50076
PK-00230,SO-26083,2,A-20070,3,3,B-35-5,E105,2025-12-04,SH-50076
PK-00231,SO-26083,3,A-20031,1,1,C-09-5,E105,2025-12-03,SH-50076
PK-00232,SO-26083,4,A-20063,5,5,F-39-3,E077,2025-12-04,SH-50076
PK-00233,SO-26083,5,A-20038,2,2,A-02-3,E081,2025-12-03,SH-50076
PK-00234,SO-26084,1,A-20063,2,2,A-24-1,E099,2025-10-22,SH-50077
PK-00235,SO-26084,2,A-20058,1,1,E-20-1,E106,2025-10-23,SH-50077
PK-00236,SO-26084,3,A-20087,3,3,E-11-3,E106,2025-10-22,SH-50077
PK-00237,SO-26085,1,A-20038,3,3,C-18-4,E101,2025-08-05,SH-50078
PK-00238,SO-26085,2,A-20013,1,1,A-30-3,E078,2025-08-05,SH-50078
PK-00239,SO-26085,3,A-20077,2,2,D-09-1,E079,2025-08-06,SH-50078
PK-00240,SO-26086,1,A-20072,5,5,B-16-5,E101,2026-03-08,SH-50079
PK-00241,SO-26086,2,A-20038,2,2,A-13-3,E080,2026-03-09,SH-50079
PK-00242,SO-26086,3,A-20077,2,2,F-23-1,E080,2026-03-09,SH-50079
PK-00243,SO-26086,4,A-20072,1,1,C-15-3,E082,2026-03-09,SH-50079
PK-00244,SO-26086,5,A-20110,1,1,F-16-4,E102,2026-03-08,SH-50079
PK-00245,SO-26087,2,A-20087,2,2,B-13-1,E079,2025-05-10,SH-50080
PK-00246,SO-26087,3,A-20053,1,1,B-38-2,E082,2025-05-10,SH-50080
PK-00247,SO-26087,4,A-20077,5,5,A-01-1,E076,2025-05-09,SH-50080
PK-00248,SO-26088,1,A-20101,1,1,C-40-2,E102,2025-06-25,SH-50081
PK-00249,SO-26088,2,A-20092,2,2,A-17-4,E077,2025-06-25,SH-50081
PK-00250,SO-26088,3,A-20092,3,3,B-24-4,E083,2025-06-24,SH-50081
PK-00251,SO-26089,1,A-20030,2,2,B-10-2,E099,2025-09-26,SH-50082
PK-00252,SO-26089,2,A-20040,1,1,D-18-5,E080,2025-09-27,SH-50082
PK-00253,SO-26089,3,A-20034,2,2,E-29-4,E080,2025-09-27,SH-50082
PK-00254,SO-26090,1,A-20061,3,3,F-35-4,E076,2025-07-03,SH-50083
PK-00255,SO-26090,2,A-20002,1,1,A-19-4,E076,2025-07-04,SH-50083
PK-00256,SO-26090,3,A-20077,5,5,E-01-1,E077,2025-07-03,SH-50083
PK-00257,SO-26090,4,A-20013,2,2,D-40-5,E101,2025-07-04,SH-50083
PK-00258,SO-26090,5,A-20036,5,5,A-23-2,E083,2025-07-03,SH-50083
PK-00259,SO-26091,1,A-20040,5,5,D-07-1,E080,2025-05-17,SH-50084
PK-00260,SO-26091,2,A-20073,2,2,C-30-2,E082,2025-05-17,SH-50084
PK-00261,SO-26091,3,A-20077,3,3,D-14-3,E101,2025-05-16,SH-50084
PK-00262,SO-26093,1,A-20036,5,5,F-20-3,E082,2026-03-10,SH-50085
PK-00263,SO-26093,2,A-20072,1,1,C-19-5,E081,2026-03-11,SH-50085
PK-00264,SO-26093,3,A-20077,1,1,A-10-3,E100,2026-03-10,SH-50085
PK-00265,SO-26094,1,A-20072,3,3,C-21-2,E099,2025-05-27,SH-50086
PK-00266,SO-26094,2,A-20065,5,5,A-38-4,E101,2025-05-26,SH-50086
PK-00267,SO-26094,3,A-20040,3,3,E-11-3,E104,2025-05-27,SH-50086
PK-00268,SO-26095,1,A-20107,1,1,A-30-2,E083,2025-08-03,SH-50087
PK-00269,SO-26095,2,A-20078,1,1,D-19-5,E080,2025-08-02,SH-50087
PK-00270,SO-26095,3,A-20077,1,1,A-18-4,E102,2025-08-02,SH-50087
PK-00271,SO-26097,1,A-20022,1,1,D-32-2,E102,2025-12-25,SH-50088
PK-00272,SO-26097,2,A-20082,3,3,B-28-4,E102,2025-12-24,SH-50088
PK-00273,SO-26097,3,A-20114,5,5,D-16-2,E103,2025-12-25,SH-50088
PK-00274,SO-26097,4,A-20003,1,1,F-35-5,E078,2025-12-25,SH-50088
PK-00275,SO-26097,5,A-20087,1,1,B-35-2,E077,2025-12-24,SH-50088
PK-00276,SO-26098,1,A-20038,5,5,E-23-5,E083,2025-10-31,SH-50089
PK-00277,SO-26098,2,A-20087,1,1,C-07-1,E103,2025-10-31,SH-50089
PK-00278,SO-26098,3,A-20020,3,3,F-35-1,E103,2025-10-30,SH-50089
PK-00279,SO-26098,4,A-20036,1,1,C-10-5,E100,2025-10-30,SH-50089
PK-00280,SO-26099,1,A-20097,2,2,C-36-3,E078,2026-02-28,SH-50090
PK-00281,SO-26100,1,A-20092,1,1,F-21-1,E100,2025-08-16,SH-50091
PK-00282,SO-26101,1,A-20040,1,1,D-31-4,E081,2025-08-25,SH-50092
PK-00283,SO-26101,2,A-20022,3,3,A-12-3,E100,2025-08-26,SH-50092
PK-00284,SO-26101,3,A-20114,3,3,F-12-2,E099,2025-08-25,SH-50092
PK-00285,SO-26102,1,A-20092,5,5,E-20-3,E105,2025-07-03,SH-50093
PK-00286,SO-26102,2,A-20078,3,3,C-29-4,E102,2025-07-02,SH-50093
PK-00287,SO-26103,1,A-20039,1,1,A-34-3,E101,2025-05-07,SH-50094
PK-00288,SO-26103,2,A-20087,1,1,F-32-4,E083,2025-05-07,SH-50094
PK-00289,SO-26104,1,A-20082,5,5,D-24-2,E106,2025-05-08,SH-50095
PK-00290,SO-26104,2,A-20043,5,5,E-11-4,E081,2025-05-07,SH-50095
PK-00291,SO-26104,3,A-20036,1,1,E-35-3,E103,2025-05-08,SH-50095
PK-00292,SO-26104,4,A-20087,1,1,F-36-1,E100,2025-05-08,SH-50095
PK-00293,SO-26104,5,A-20030,1,1,E-10-2,E081,2025-05-08,SH-50095
PK-00294,SO-26105,1,A-20038,3,3,A-06-1,E076,2025-05-15,SH-50096
PK-00295,SO-26105,2,A-20093,3,3,A-36-4,E099,2025-05-15,SH-50096
PK-00296,SO-26106,1,A-20038,1,1,F-40-1,E083,2026-02-01,SH-50097
PK-00297,SO-26106,2,A-20039,1,1,D-28-3,E076,2026-01-31,SH-50097
PK-00298,SO-26107,1,A-20043,1,1,B-24-4,E079,2025-12-17,SH-50098
PK-00299,SO-26107,2,A-20110,2,2,B-39-3,E104,2025-12-16,SH-50098
PK-00300,SO-26107,3,A-20090,5,5,B-16-2,E101,2025-12-17,SH-50098
PK-00301,SO-26108,1,A-20077,1,1,B-07-5,E081,2025-08-02,SH-50099
PK-00302,SO-26109,1,A-20039,5,5,E-21-2,E083,2025-09-29,SH-50100
PK-00303,SO-26109,2,A-20110,1,1,F-25-1,E076,2025-09-28,SH-50100
PK-00304,SO-26109,3,A-20043,1,1,F-15-3,E106,2025-09-29,SH-50100
PK-00305,SO-26111,1,A-20002,2,2,D-15-4,E104,2025-04-27,SH-50101
PK-00306,SO-26111,2,A-20078,1,1,F-25-5,E078,2025-04-26,SH-50101
PK-00307,SO-26111,3,A-20043,2,2,D-30-4,E081,2025-04-26,SH-50101
PK-00308,SO-26111,4,A-20002,1,1,E-08-5,E104,2025-04-27,SH-50101
