Event Id,Company Id,Workflow Type,Object Type,Object Id,Timestamp,Actor,Action,Previous State,New State,Source Document,Confidence,Requires Review
EV-000265,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26142,2025-04-12T14:27:00,E014,order_entered,,open,customer_po_4500138407,0.9,N
EV-000169,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26047,2025-04-14T08:35:00,E018,order_entered,,open,customer_po_PO719075,1.0,N
EV-001304,keystone_bearing_and_drive ,order_to_cash,customer_invoice,INV-60169,2025-04-15T07:02:00,E002,invoice_issued,,open,INV-60169.pdf,1.0,N
EV-000817,keystone_bearing_and_drive,fulfillment,shipment,SH-50170,2025-04-15T10:22:00,E026,shipment_confirmed,picked,shipped,PS-SH-50170.pdf,1.0,N
EV-002173,keystone_bearing_and_drive,procure_to_pay,purchase_order,PO-31153,2025-04-15T11:04:00,E012,po_issued,draft,open,PO-31153.pdf,1.0,N
EV-000495,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26369,2025-04-15T15:36:00,E025,order_entered,,open,customer_po_PO815097,1.0,N
EV-000044,keystone_bearing_and_drive,quote_to_order,quote,Q-26044,2025-04-16T12:26:00,E021,quote_sent,draft,sent,Q-26044.pdf,1.0,N
EV-002231,keystone_bearing_and_drive,procure_to_pay,purchase_order,PO-31211,2025-04-16T12:37:00,E012,po_issued,draft,open,PO-31211.pdf,1.0,N
EV-000057,keystone_bearing_and_drive ,quote_to_order,quote,Q-26057,2025-04-16T12:42:00,E018,quote_sent,draft,sent,Q-26057.pdf,1.0,N
EV-000172 ,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26050,2025-04-16T12:55:00,E018,order_entered,,open,customer_po_4500856894,1.0,N
EV-000377,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26253,2025-04-16T17:09:00,E016,order_entered,,open,customer_po_P816384,0.9,N
EV-002037,keystone_bearing_and_drive,procure_to_pay,purchase_order,PO-31017,2025-04-17T07:53:00,E012,po_issued,draft,open,PO-31017.pdf,1.0,N
EV-002911,keystone_bearing_and_drive,manufacturing,work_order,WO-70008,2025-04-19T12:30:00,E040,wo_released,planned,released,MRP,1.0,N
EV-002968,keystone_bearing_and_drive,manufacturing,work_order,WO-70037,2025-04-19T14:13:00,E045,wo_closed,in_process,closed,COC-WO-70037.pdf,1.0,N
EV-002920,keystone_bearing_and_drive,manufacturing,work_order,WO-70012,2025-04-19T15:35:00,E045,wo_closed,in_process,closed,COC-WO-70012.pdf,1.0,N
EV-002578,keystone_bearing_and_drive,procure_to_pay,receipt,RCV-40258,2025-04-20T07:29:00,E027,goods_received,open,received,PS138216,1.0,N
EV-000591,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26464,2025-04-20T09:30:00,E016,order_entered,,open,customer_po_PO417061,1.0,N
EV-002163,keystone_bearing_and_drive,procure_to_pay,purchase_order,PO-31143,2025-04-20T10:46:00,E012,po_issued,draft,open,PO-31143.pdf,1.0,N
EV-000482,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26356,2025-04-20T14:06:00,E013,order_entered,,open,customer_po_PUR-276827,1.0,N
EV-000360,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26236,2025-04-20T15:42:00,E016,order_entered,,open,customer_po_P194958,0.9,N
EV-000361,keystone_bearing_and_drive,quote_to_order,sales_order ,SO-26237,2025-04-20T15:51:00,E016,order_entered,,open,customer_po_4500316856,1.0,N
EV-003012,keystone_bearing_and_drive,quality,ncr,NCR-0002,2025-04-20T16:11:00,E045,ncr_opened,,open,RCV-40258,1.0,Y
EV-001075,keystone_bearing_and_drive,fulfillment,shipment,SH-50428,2025-04-21T07:09:00,E037,shipment_confirmed,picked,shipped,PS-SH-50428.pdf,1.0,N
EV-001617,keystone_bearing_and_drive,order_to_cash,customer_invoice,INV-60482,2025-04-21T07:27:00,E002,invoice_issued,,open,INV-60482.pdf,1.0,N
EV-000468,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26342,2025-04-21T10:21:00,E017,order_entered,,open,customer_po_4500588626,0.9,N
EV-001130,keystone_bearing_and_drive,fulfillment,shipment,SH-50483,2025-04-21T11:16:00,E037,shipment_confirmed,picked,shipped,PS-SH-50483.pdf,1.0,N
EV-001562,keystone_bearing_and_drive,order_to_cash,customer_invoice,INV-60427,2025-04-21T12:17:00,E002,invoice_issued,,open,INV-60427.pdf,1.0,N
EV-000295,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26171,2025-04-21T14:48:00,E016,order_entered,,open,customer_po_4500556402,0.9,N
EV-000518,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26391,2025-04-22T07:10:00,E024,order_entered,,open,customer_po_PO121122,1.0,N
EV-000040,keystone_bearing_and_drive,quote_to_order,quote,Q-26040,2025-04-22T09:29:00,E016,quote_sent,draft,sent,Q-26040.pdf,1.0,N
EV-002119,keystone_bearing_and_drive,procure_to_pay,purchase_order,PO-31099,2025-04-22T12:19:00,E011,po_issued,draft,open,PO-31099.pdf,1.0,N
EV-000548,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26421,2025-04-22T12:28:00,E015,order_entered,,open,customer_po_PO281731,0.9,N
EV-002942,keystone_bearing_and_drive,manufacturing,work_order,WO-70024,2025-04-22T13:20:00,E005,wo_released,planned,released,MRP,1.0,N
EV-000609,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26482,2025-04-22T13:34:00,E017,order_entered,,open,customer_po_PO140756,0.9,N
EV-000831,keystone_bearing_and_drive ,fulfillment,shipment,SH-50184,2025-04-23T07:01:00,E036,shipment_confirmed,picked,shipped,PS-SH-50184.pdf,1.0,N
EV-002986,keystone_bearing_and_drive,manufacturing,work_order,WO-70048,2025-04-23T07:05:00,E020,wo_released,planned,released,MRP,1.0,N
EV-001318,keystone_bearing_and_drive ,order_to_cash,customer_invoice,INV-60183,2025-04-23T09:08:00,E002,invoice_issued,,open,INV-60183.pdf,1.0,N
EV-000757,keystone_bearing_and_drive,fulfillment,shipment,SH-50110,2025-04-23T15:10:00,E034,shipment_confirmed,picked,shipped,PS-SH-50110.pdf,1.0,N
EV-000732,keystone_bearing_and_drive,fulfillment,shipment,SH-50085,2025-04-23T15:25:00,E035,shipment_confirmed,picked,shipped,PS-SH-50085.pdf,1.0,N
EV-001219,keystone_bearing_and_drive,order_to_cash,customer_invoice,INV-60084,2025-04-23T15:33:00,E002,invoice_issued,,open,INV-60084.pdf,1.0,N
EV-001244 ,keystone_bearing_and_drive,order_to_cash,customer_invoice,INV-60109,2025-04-23T16:46:00,E002,invoice_issued,,open,INV-60109.pdf,1.0,N
EV-000566,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26439,2025-04-24T09:49:00,E024 ,order_entered,,open,customer_po_4500552572,0.9,N
EV-000041,keystone_bearing_and_drive,quote_to_order,quote,Q-26041,2025-04-24T12:47:00,E018,quote_sent,draft,sent,Q-26041.pdf,1.0,N
EV-000069,keystone_bearing_and_drive,quote_to_order,quote,Q-26069,2025-04-24T13:56:00,E016 ,quote_sent,draft,sent,Q-26069.pdf,1.0,N
EV-002867,keystone_bearing_and_drive,procure_to_pay,supplier_invoice,6779292,2025-04-24T14:10:00,E002,invoice_matched,received,paid,6779292,1.0,N
EV-000728,keystone_bearing_and_drive,fulfillment,shipment,SH-50081,2025-04-25T07:31:00,E036,shipment_confirmed,picked,shipped,PS-SH-50081.pdf,1.0,N
EV-001215,keystone_bearing_and_drive,order_to_cash,customer_invoice,INV-60080,2025-04-25T08:36:00,E002,invoice_issued,,open,INV-60080.pdf,1.0,N
EV-001483,keystone_bearing_and_drive ,order_to_cash,customer_invoice,INV-60348,2025-04-25T08:39:00,E002,invoice_issued,,open,INV-60348.pdf,1.0,N
EV-000996,keystone_bearing_and_drive,fulfillment,shipment,SH-50349,2025-04-25T10:14:00,E037,shipment_confirmed,picked,shipped,PS-SH-50349.pdf,1.0,N
EV-000326,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26202,2025-04-25T11:12:00,E014,order_entered,,open,customer_po_4500641694,1.0,N
EV-000436,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26311,2025-04-25T13:46:00,E024,order_entered,,open,customer_po_PO660989,0.9,N
EV-000336,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26212,2025-04-25T17:44:00,E013,order_entered,,open,customer_po_P800160,1.0,N
EV-002417,keystone_bearing_and_drive,procure_to_pay,receipt,RCV-40097,2025-04-25T17:53:00,E038,goods_received,open,received,PS823437,1.0,N
EV-000535,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26408,2025-04-26T07:03:00,E015,order_entered,,open,customer_po_PO317529,0.9,N
EV-000697,keystone_bearing_and_drive,fulfillment ,shipment,SH-50050,2025-04-26T08:19:00,E036,shipment_confirmed,picked,shipped,PS-SH-50050.pdf,1.0,N
EV-001532,keystone_bearing_and_drive,order_to_cash,customer_invoice,INV-60397,2025-04-26T10:30:00,E002,invoice_issued,,open,INV-60397.pdf,1.0,N
EV-001184,keystone_bearing_and_drive ,order_to_cash,customer_invoice,INV-60049,2025-04-26T12:49:00,E002,invoice_issued,,open,INV-60049.pdf,1.0,N
EV-002333,keystone_bearing_and_drive,procure_to_pay,receipt,RCV-40013,2025-04-26T14:25:00,E028,goods_received,open,received,PS113891,1.0,N
EV-001045,keystone_bearing_and_drive,fulfillment ,shipment,SH-50398,2025-04-26T15:43:00,E038,shipment_confirmed ,picked,shipped,PS-SH-50398.pdf,1.0,N
EV-000424,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26299,2025-04-28T07:37:00,E017,order_entered,,open,customer_po_P751269,0.9,N
EV-000544,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26417,2025-04-28T08:38:00,E017,order_entered,,open,customer_po_PO114586,1.0,N
EV-002584,keystone_bearing_and_drive,procure_to_pay,receipt,RCV-40264,2025-04-28T14:11:00,E036,goods_received,open,received,PS354457,1.0,N
EV-000317,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26193,2025-04-29T08:15:00,E016,order_entered,,open,customer_po_PO465684,1.0,N
EV-000254,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26131,2025-04-29T13:29:00,E025,order_entered,,open,customer_po_P574828,0.9,N
EV-002425,keystone_bearing_and_drive,procure_to_pay,receipt,RCV-40105,2025-04-29T14:52:00,E038,goods_received,open,received,PS142826,1.0,N
EV-002166,keystone_bearing_and_drive ,procure_to_pay,purchase_order,PO-31146,2025-04-29T15:56:00,E011,po_issued,draft,open ,PO-31146.pdf,1.0,N
EV-000425,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26300,2025-04-30T10:52:00,E014,order_entered,,open,customer_po_4500143860,1.0,N
EV-000541,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26414,2025-04-30T15:03:00,E024,order_entered,,open,customer_po_PUR-815733,0.9,N
EV-000398,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26274,2025-04-30T15:35:00,E015,order_entered,,open,customer_po_P414086,0.9,N
EV-002526,keystone_bearing_and_drive,procure_to_pay,receipt,RCV-40206,2025-04-30T16:53:00,E034,goods_received,open,received,PS533579,0.85,Y
EV-002085,keystone_bearing_and_drive,procure_to_pay,purchase_order,PO-31065,2025-04-30T17:20:00,E011,po_issued,draft,open,PO-31065.pdf,1.0,N
EV-000490,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26364,2025-05-01T12:14:00,E018,order_entered,,open,customer_po_PO442209 ,0.9,N
EV-000334,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26210,2025-05-02T10:23:00,E017,order_entered,,open,customer_po_4500719514,1.0,N
EV-002122,keystone_bearing_and_drive,procure_to_pay,purchase_order,PO-31102,2025-05-02T11:53:00,E012,po_issued,draft,open,PO-31102.pdf,1.0,N
EV-002706,keystone_bearing_and_drive,procure_to_pay,supplier_invoice,98341182,2025-05-03T08:45:00,E002,invoice_matched,received,paid,98341182,1.0,N
EV-000084,keystone_bearing_and_drive,quote_to_order,quote,Q-26084,2025-05-03T14:40:00,E023,quote_sent,draft,sent,Q-26084.pdf,1.0,N
EV-000314,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26190,2025-05-03T15:17:00,E024,order_entered,,open,customer_po_P574657,1.0,N
EV-000549,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26422,2025-05-03T15:54:00,E016,order_entered,,open,customer_po_PUR-942247,0.9,N
EV-002179,keystone_bearing_and_drive,procure_to_pay,purchase_order,PO-31159,2025-05-03T16:28:00,E011,po_issued,draft,open,PO-31159.pdf,1.0,N
EV-002026,keystone_bearing_and_drive,procure_to_pay,purchase_order,PO-31006,2025-05-03T17:19:00,E011,po_issued,draft,open,PO-31006.pdf,1.0,N
EV-001540,keystone_bearing_and_drive,order_to_cash,customer_invoice,INV-60405,2025-05-04T07:28:00,E002,invoice_issued,,open,INV-60405.pdf,1.0,N
EV-001270,keystone_bearing_and_drive,order_to_cash,customer_invoice,INV-60135 ,2025-05-04T08:03:00,E002,invoice_issued,,open,INV-60135.pdf,1.0,N
EV-002220,keystone_bearing_and_drive,procure_to_pay,purchase_order,PO-31200,2025-05-04T09:15:00,E012,po_issued,draft,open,PO-31200.pdf,1.0,N
EV-002714,keystone_bearing_and_drive,procure_to_pay,supplier_invoice,99749431,2025-05-04T12:55:00,E002,match_exception,received,paid,99749431,0.7,Y
EV-000783,keystone_bearing_and_drive,fulfillment,shipment,SH-50136,2025-05-04T13:41:00,E027,shipment_confirmed,picked,shipped,PS-SH-50136.pdf,1.0,N
EV-001053,keystone_bearing_and_drive,fulfillment,shipment,SH-50406,2025-05-04T14:30:00,E031,shipment_confirmed,picked,shipped,PS-SH-50406.pdf,1.0,N
EV-001192,keystone_bearing_and_drive,order_to_cash,customer_invoice,INV-60057,2025-05-05T08:22:00,E002,invoice_issued,,open,INV-60057.pdf,1.0,N
EV-001016,keystone_bearing_and_drive,fulfillment,shipment,SH-50369,2025-05-05T10:49:00,E035,shipment_confirmed,picked,shipped,PS-SH-50369.pdf,1.0,N
EV-001503,keystone_bearing_and_drive,order_to_cash,customer_invoice,INV-60368,2025-05-05T11:40:00,E002,invoice_issued,,open,INV-60368.pdf,1.0,N
EV-000271,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26148,2025-05-05T12:59:00,E017,order_entered,,open,customer_po_P532563,0.9,N
EV-000311,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26187,2025-05-05T13:06:00,E015,order_entered,,open,customer_po_PUR-772513,0.9,N
EV-003001,keystone_bearing_and_drive,manufacturing,work_order,WO-70056,2025-05-05T14:54:00,E030,wo_released,planned ,released,MRP,1.0,N
EV-002873,keystone_bearing_and_drive,procure_to_pay,supplier_invoice,INV5400499,2025-05-05T15:39:00,E002,invoice_matched,received,paid,INV5400499,1.0,N
EV-000705,keystone_bearing_and_drive,fulfillment,shipment,SH-50058,2025-05-05T17:51:00,E039,shipment_confirmed,picked,shipped,PS-SH-50058.pdf,1.0,N
EV-002547,keystone_bearing_and_drive,procure_to_pay,receipt,RCV-40227,2025-05-06T07:35:00,E037,goods_received,open,received,PS275498,1.0,N
EV-001183,keystone_bearing_and_drive,order_to_cash ,customer_invoice,INV-60048,2025-05-06T08:09:00,E002,invoice_issued,,open,INV-60048.pdf,1.0,N
EV-000108,keystone_bearing_and_drive,quote_to_order,quote,Q-26108,2025-05-06T10:21:00,E019,quote_sent,draft,sent,Q-26108.pdf,1.0,N
EV-000696,keystone_bearing_and_drive,fulfillment,shipment,SH-50049,2025-05-06T13:11:00,E035,shipment_confirmed,picked,shipped,PS-SH-50049.pdf,1.0,N
EV-002622,keystone_bearing_and_drive,procure_to_pay,supplier_invoice,3069796,2025-05-06T14:34:00,E002,invoice_matched,received,paid,3069796,1.0,N
EV-000903,keystone_bearing_and_drive,fulfillment,shipment,SH-50256,2025-05-07T07:15:00,E028,shipment_confirmed,picked,shipped,PS-SH-50256.pdf,1.0,N
EV-001470,keystone_bearing_and_drive,order_to_cash,customer_invoice,INV-60335,2025-05-07T07:16:00,E002 ,invoice_issued,,open,INV-60335.pdf,1.0,N
EV-001390,keystone_bearing_and_drive,order_to_cash,customer_invoice,INV-60255,2025-05-07T14:53:00,E002,invoice_issued,,open ,INV-60255.pdf,1.0,N
EV-000983,keystone_bearing_and_drive,fulfillment,shipment,SH-50336,2025-05-07T14:54:00,E037,shipment_confirmed,picked,shipped,PS-SH-50336.pdf,1.0,N
EV-002338,keystone_bearing_and_drive,procure_to_pay,receipt,RCV-40018,2025-05-07T15:59:00,E032,goods_received,open,received,PS180456,1.0,N
EV-002815,keystone_bearing_and_drive,procure_to_pay,supplier_invoice,INV3835099,2025-05-07T17:43:00,E002,invoice_matched,received,paid,INV3835099,1.0,N
EV-000593,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26466,2025-05-08T08:56:00,E014,order_entered,,open,customer_po_PUR-186465,1.0,N
EV-000010,keystone_bearing_and_drive,quote_to_order,quote,Q-26010,2025-05-08T09:18:00,E018,quote_sent,draft,sent,Q-26010.pdf,1.0,N
EV-000600,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26473,2025-05-08T09:50:00,E018,order_entered,,open,customer_po_PO643345,0.9,N
EV-002331,keystone_bearing_and_drive,procure_to_pay,receipt,RCV-40011,2025-05-08T14:29:00,E031,goods_received,open,received,PS352120,1.0,N
EV-002904,keystone_bearing_and_drive,manufacturing,work_order,WO-70004,2025-05-08T14:35:00,E031,wo_released,planned,released,MRP,1.0,N
EV-002079,keystone_bearing_and_drive,procure_to_pay,purchase_order,PO-31059,2025-05-08T14:45:00,E011,po_issued,draft,open,PO-31059.pdf,1.0,N
EV-001418,keystone_bearing_and_drive,order_to_cash,customer_invoice,INV-60283,2025-05-08T15:02:00,E002,invoice_issued,,open ,INV-60283.pdf,1.0,N
EV-000931,keystone_bearing_and_drive,fulfillment,shipment,SH-50284,2025-05-08T15:14:00,E029,shipment_confirmed,picked,shipped,PS-SH-50284.pdf,1.0,N
EV-000019,keystone_bearing_and_drive,quote_to_order,quote,Q-26019,2025-05-08T16:40:00,E017,quote_sent,draft,sent,Q-26019.pdf ,1.0,N
EV-002337,keystone_bearing_and_drive ,procure_to_pay,receipt,RCV-40017,2025-05-09T11:51:00,E030,goods_received,open,received ,PS143877,1.0,N
EV-000111,keystone_bearing_and_drive,quote_to_order,quote,Q-26111,2025-05-09T12:35:00,E023,quote_sent,draft,sent,Q-26111.pdf,1.0,N
EV-000693,keystone_bearing_and_drive,fulfillment,shipment,SH-50046,2025-05-09T14:51:00,E039,shipment_confirmed,picked,shipped,PS-SH-50046.pdf,1.0,N
EV-000144,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26024,2025-05-09T17:04:00,E018,order_entered,,open,customer_po_P608920,0.9,N
EV-002620,keystone_bearing_and_drive,procure_to_pay,supplier_invoice,92327789,2025-05-09T17:14:00,E002,invoice_matched,received,paid,92327789,1.0,N
EV-001180,keystone_bearing_and_drive,order_to_cash,customer_invoice,INV-60045,2025-05-09T17:18:00,E002,invoice_issued,,open,INV-60045.pdf,1.0,N
EV-002200,keystone_bearing_and_drive ,procure_to_pay ,purchase_order,PO-31180,2025-05-09T17:49:00,E011,po_issued,draft,open,PO-31180.pdf,1.0,N
EV-001352,keystone_bearing_and_drive,order_to_cash,customer_invoice,INV-60217,2025-05-10T08:19:00,E002,invoice_issued,,open ,INV-60217.pdf,1.0,N
EV-001357,keystone_bearing_and_drive,order_to_cash,customer_invoice,INV-60222,2025-05-10T09:23:00,E002,invoice_issued,,open,INV-60222.pdf,1.0,N
EV-000870,keystone_bearing_and_drive,fulfillment,shipment,SH-50223,2025-05-10T10:02:00,E038,shipment_confirmed,picked,shipped,PS-SH-50223.pdf,1.0,N
EV-002476,keystone_bearing_and_drive,procure_to_pay,receipt,RCV-40156,2025-05-10T10:08:00,E033,goods_received,open,received,PS303332,1.0,N
EV-002979,keystone_bearing_and_drive,manufacturing,work_order,WO-70043,2025-05-10T12:29:00,E045,wo_closed,in_process,closed,COC-WO-70043.pdf,1.0,N
EV-000865,keystone_bearing_and_drive,fulfillment,shipment,SH-50218,2025-05-10T13:55:00,E032,shipment_confirmed,picked,shipped,PS-SH-50218.pdf,1.0,N
EV-002627,keystone_bearing_and_drive,procure_to_pay,supplier_invoice,SI4483768,2025-05-10T17:37:00,E002,invoice_matched,received,paid,SI4483768,1.0,N
EV-000189,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26067,2025-05-10T17:47:00,E025,order_entered,,open,customer_po_PUR-353641,1.0,N
EV-000384,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26260,2025-05-11T09:44:00,E018,order_entered,,open,customer_po_P397894,0.9,N
EV-000020,keystone_bearing_and_drive,quote_to_order,quote,Q-26020,2025-05-11T16:08:00,E019,quote_sent,draft ,sent,Q-26020.pdf,1.0,N
EV-002350,keystone_bearing_and_drive,procure_to_pay,receipt,RCV-40030,2025-05-11T16:19:00,E038,goods_received,open,received,PS187270,1.0,N
EV-000257,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26134,2025-05-12T07:44:00,E018,order_entered,,open,customer_po_P298660,0.9,N
EV-001373,keystone_bearing_and_drive,order_to_cash,customer_invoice,INV-60238,2025-05-12T07:54:00,E002,invoice_issued,,open,INV-60238.pdf,1.0,N
EV-001419,keystone_bearing_and_drive,order_to_cash,customer_invoice,INV-60284,2025-05-12T09:12:00,E002,invoice_issued,,open,INV-60284.pdf,1.0,N
EV-000932,keystone_bearing_and_drive,fulfillment,shipment,SH-50285,2025-05-12T10:57:00,E030,shipment_confirmed,picked,shipped,PS-SH-50285.pdf,1.0,N
EV-000886,keystone_bearing_and_drive,fulfillment,shipment,SH-50239,2025-05-12T11:41:00,E033,shipment_confirmed,picked,shipped,PS-SH-50239.pdf,1.0,N
EV-002309,keystone_bearing_and_drive,procure_to_pay,purchase_order,PO-31289,2025-05-12T12:12:00,E011,po_issued,draft,open,PO-31289.pdf,1.0,N
EV-000645,keystone_bearing_and_drive,quote_to_order ,sales_order,SO-26518,2025-05-12T13:04:00,E018,order_entered,,open,customer_po_PUR-810798,0.9,N
EV-000523,keystone_bearing_and_drive,quote_to_order,sales_order,SO-26396,2025-05-12T16:09:00,E025,order_entered,,open,customer_po_PUR-755160,0.9,N
EV-002836,keystone_bearing_and_drive,procure_to_pay,supplier_invoice,6328148,2025-05-12T17:51:00,E002,invoice_matched,received,paid,6328148,1.0,N
EV-001043,keystone_bearing_and_drive,fulfillment,shipment,SH-50396,2025-05-13T07:10:00,E029,shipment_confirmed,picked,shipped,PS-SH-50396.pdf,1.0,N
EV-002147,keystone_bearing_and_drive,procure_to_pay,purchase_order,PO-31127,2025-05-13T08:28:00,E012,po_issued,draft,open,PO-31127.pdf,1.0,N 
EV-002265,keystone_bearing_and_drive,procure_to_pay,purchase_order,PO-31245,2025-05-13T14:51:00,E011,po_issued,draft,open,PO-31245.pdf,1.0,N
EV-001530,keystone_bearing_and_drive,order_to_cash,customer_invoice,INV-60395,2025-05-13T14:58:00,E002,invoice_issued,,open,INV-60395.pdf,1.0,N
