payment_id,supplier_id,supplier_invoice_number,payment_date,amount,method,check_number,bank_account
NIC-APP00038,NIC-V011,INV4118589,2025-11-15,25559.72,ACH,10299,1000
NIC-APP00039,NIC-V007,96186701,2025-11-01,3969.0,ACH,25775,1000
NIC-APP00040,NIC-V004,INV1808582,2025-10-22,2029.17,ACH,,1000
NIC-APP00041,NIC-V004,4063167,2025-08-19,31974.47,ACH,,1000
NIC-APP00042,NIC-V006,4317908,2026-02-02,5496.0,ACH,,1000
NIC-APP00043,NIC-V006,INV461497,2025-07-29,3233.45,ACH,,1000
NIC-APP00044,NIC-V003,99669852,2025-11-02,14555.38,Check,,1000
NIC-APP00045,NIC-V007,SI422963,2025-09-14,6197.48,Check,,1000
NIC-APP00046,NIC-V009,91640772,2026-02-07,1163.81,ACH,23445,1000
NIC-APP00047,NIC-V016,SI8382615,2026-03-10,20199.14,Card,,1000
NIC-APP00048,NIC-V010,SI449685,2025-12-14,2394.0,ACH,,1000
NIC-APP00049,NIC-V018,INV5453534,2026-02-23,9090.0,Card,,1000
NIC-APP00050,NIC-V010,9443587,2026-01-13,229.68,ACH,,1000
NIC-APP00051,NIC-V018,INV5944082,2025-06-07,17740.6,Check,27114,1000
NIC-APP00052,NIC-V015,SI1384947,2025-10-23,130.0,Check,,1000
NIC-APP00053,NIC-V017,5163627,2026-01-02,15654.19,ACH,,1000
NIC-APP00054,NIC-V013,96586239,2026-01-23,4327.68,Card,,1000
NIC-APP00055,NIC-V013,INV739993,2025-08-31,9486.39,ACH,,1000
NIC-APP00056,NIC-V002,INV1561691,2025-06-10,4321.17,ACH,11855,1000
NIC-APP00057,NIC-V008,SI9285576,2025-08-26,12431.07,ACH,,1000
NIC-APP00058,NIC-V010,INV6064633,2025-06-06,1030.64,ACH,16239,1000
NIC-APP00059,NIC-V012,95122887,2025-10-27,2928.0,Card,,1000
NIC-APP00060,NIC-V005,SI5183212,2025-09-05,4381.81,Check,25671,1000
NIC-APP00061,NIC-V017,INV3059718,2025-11-09,131.06,ACH,13097,1000
NIC-APP00062,NIC-V015,SI8662411,2025-06-21,562.06,Check,,1000
NIC-APP00063,NIC-V003,SI3849539,2025-10-20,27996.25,Check,28845,1000
NIC-APP00064,NIC-V012,3598184,2025-11-16,137.0,Card,29430,1000
NIC-APP00065,NIC-V008,INV1066654,2025-06-07,627.35,Card,27676,1000
NIC-APP00066,NIC-V018,773817,2025-11-09,4130.2,Check,,1000
NIC-APP00067,NIC-V011,SI2257488,2025-06-21,3827.2,ACH,12834,1000
NIC-APP00068,NIC-V010,9775848,2026-03-09,770.82,ACH,,1000
NIC-APP00069,NIC-V016,INV8101322,2025-08-22,3319.31,ACH,19819,1000
NIC-APP00070,NIC-V015,6104089,2026-03-03,510.0,Card,,1000
NIC-APP00071,NIC-V017,INV4150002,2025-10-20,8069.25,Card,,1000
NIC-APP00072,NIC-V003,99936777,2025-10-03,4741.76,Check,,1000
NIC-APP00073,NIC-V017,SI2316064,2025-08-12,7547.63,Card,20518,1000
NIC-APP00074,NIC-V009,4127748,2025-10-23,1203.4,ACH,20457,1000
NIC-APP00075,NIC-V013,SI7025118,2026-03-27,6861.84,ACH,,1000
NIC-APP00076,NIC-V017,7256388,2025-06-23,127.05,ACH,,1000
NIC-APP00077,NIC-V018,555849,2025-05-23,6941.19,Card,,1000
NIC-APP00078,NIC-V007,1058062,2025-12-26,2807.0,ACH,27579,1000
NIC-APP00079,NIC-V004,93163940,2025-07-10,303.6,Card,29482,1000
NIC-APP00080,NIC-V016,91147507,2025-12-23,18036.43,ACH,,1000
NIC-APP00081,NIC-V004,98491932,2026-03-07,155.65,Card,,1000
NIC-APP00082,NIC-V005,93820667,2026-01-25,2994.46,Check,,1000
NIC-APP00083,NIC-V015,INV2020069,2025-09-24,170.0,Card,,1000
NIC-APP00084,NIC-V009,INV5089310,2025-10-17,2072.6,ACH,14102,1000
NIC-APP00085,NIC-V002,91220841,2026-01-09,3564.62,ACH,18553,1000
NIC-APP00086,NIC-V016,92591690,2025-11-13,1067.64,Check,,1000
NIC-APP00087,NIC-V007,SI1203417,2025-07-29,103.8,ACH,10703,1000
NIC-APP00088,NIC-V004,5341287,2026-03-18,5251.66,ACH,,1000
NIC-APP00089,NIC-V005,SI8315891,2025-07-23,105.43,ACH,,1000
NIC-APP00090,NIC-V005,INV3552367,2025-12-22,927.08,ACH,29291,1000
NIC-APP00091,NIC-V006,SI198626,2025-05-25,4964.4,ACH,,1000
NIC-APP00092,NIC-V018,91704147,2025-05-30,18945.62,ACH,,1000
NIC-APP00093,NIC-V011,7385578,2025-10-16,13196.6,ACH,,1000
NIC-APP00094,NIC-V005,SI1413653,2025-11-06,1032.51,ACH,,1000
NIC-APP00095,NIC-V002,SI635022,2025-07-07,6768.4,ACH,15419,1000
NIC-APP00096,NIC-V012,SI1409718,2025-10-05,1049.16,Check,,1000
NIC-APP00097,NIC-V012,92787697,2026-03-13,18447.12,Check,,1000
NIC-APP00098,NIC-V010,3300669,2025-11-17,12550.0,Check,15947,1000
NIC-APP00099,NIC-V003,INV6541915,2025-09-30,7712.22,Check,,1000
NIC-APP00100,NIC-V014,3315451,2025-10-23,1942.57,Card,,1000
NIC-APP00101,NIC-V003,SI5886563,2025-07-04,2999.68,ACH,,1000
NIC-APP00102,NIC-V003,INV4307492,2025-11-29,4500.55,Check,23450,1000
NIC-APP00103,NIC-V007,4345370,2026-03-11,6085.58,Card,,1000
NIC-APP00104,NIC-V003,92310980,2026-03-09,1543.64,ACH,,1000
NIC-APP00105,NIC-V002,94962123,2025-11-24,6616.1,ACH,10360,1000
NIC-APP00106,NIC-V017,INV8915439,2025-12-11,3352.27,Card,,1000
NIC-APP00107,NIC-V002,91932295,2025-06-07,2592.46,Check,25376,1000
NIC-APP00108,NIC-V010,9832979,2025-08-11,2722.94,Check,,1000
NIC-APP00109,NIC-V015,4280659,2025-06-07,109.2,Card,,1000
NIC-APP00110,NIC-V014,9190768,2025-08-08,250.0,ACH,18716,1000
NIC-APP00111,NIC-V006,INV2867870,2025-08-17,3976.53,ACH,19157,1000
NIC-APP00112,NIC-V014,SI3661724,2026-01-20,2481.0,ACH,,1000
NIC-APP00113,NIC-V006,INV1794858,2025-07-28,3770.6,ACH,,1000
NIC-APP00114,NIC-V005,SI2440693,2025-09-08,2994.46,Card,,1000
NIC-APP00115,NIC-V006,92342777,2025-12-19,3484.14,Check,29441,1000
NIC-APP00116,NIC-V018,92459026,2026-01-07,4130.2,Check,,1000
NIC-APP00117,NIC-V005,INV7656742,2025-11-25,6011.92,Card,,1000
NIC-APP00118,NIC-V016,SI3687653,2026-02-26,3323.3,ACH,,1000
NIC-APP00119,NIC-V002,97118396,2025-11-29,2576.75,ACH,27434,1000
NIC-APP00120,NIC-V010,9295188,2026-01-31,6225.61,Check,26885,1000
NIC-APP00121,NIC-V004,INV8628655,2025-09-13,866.5,Check,21681,1000
NIC-APP00122,NIC-V008,INV4597068,2025-09-06,5041.56,Check,,1000
NIC-APP00123,NIC-V016,INV7755295,2025-10-11,1042.56,ACH,,1000
NIC-APP00124,NIC-V003,8099990,2025-09-16,2328.06,Card,,1000
NIC-APP00125,NIC-V018,INV1646354,2025-11-26,21285.51,Check,27882,1000
NIC-APP00126,NIC-V017,INV7471162,2025-09-19,207.13,ACH,,1000
NIC-APP00127,NIC-V015,SI1220396,2025-11-15,143.05,Card,11723,1000
NIC-APP00128,NIC-V003,4296062,2026-03-11,556.7,Check,,1000
NIC-APP00129,NIC-V018,93112313,2025-09-04,17980.23,Card,,1000
NIC-APP00130,NIC-V014,6667389,2026-01-08,603.52,ACH,,1000
NIC-APP00131,NIC-V006,96533985,2025-09-17,325.0,ACH,16692,1000
NIC-APP00132,NIC-V003,INV6956676,2026-01-05,4939.84,ACH,,1000
NIC-APP00133,NIC-V016,6802601,2025-10-26,99.94,Check,18154,1000
NIC-APP00134,NIC-V006,SI9163921,2025-08-01,2687.0,ACH,11046,1000
NIC-APP00135,NIC-V014,9753446,2026-03-29,1719.48,ACH,29783,1000
NIC-APP00136,NIC-V008,9531385,2026-01-14,15326.06,ACH,18837,1000
NIC-APP00137,NIC-V018,98583679,2025-10-13,5524.65,ACH,11090,1000
NIC-APP00138,NIC-V018,2509053,2025-10-21,11942.0,ACH,20838,1000
NIC-APP00139,NIC-V012,SI6682578,2025-11-24,359.62,Check,,1000
NIC-APP00140,NIC-V010,7786573,2025-07-24,7623.21,Card,15134,1000
NIC-APP00141,NIC-V018,INV9625346,2025-07-23,16767.2,Check,,1000
NIC-APP00142,NIC-V008,INV183023,2025-07-04,8877.0,Card,,1000
NIC-APP00143,NIC-V016,INV2937891,2026-03-09,25.08,ACH,,1000
NIC-APP00144,NIC-V018,SI1904120,2025-11-26,11942.0,Check,21293,1000
NIC-APP00145,NIC-V003,INV4647621,2025-07-30,32875.42,ACH,,1000
NIC-APP00146,NIC-V006,7110649,2025-12-08,3403.71,ACH,,1000
NIC-APP00147,NIC-V006,99669115,2026-02-21,3309.6,ACH,,1000
NIC-APP00148,NIC-V014,131082,2026-02-27,1352.04,ACH,,1000
NIC-APP00149,NIC-V012,INV8024555,2025-12-23,320611.02,ACH,,1000
NIC-APP00150,NIC-V004,INV1425654,2025-10-24,1318.41,Card,14925,1000
NIC-APP00151,NIC-V002,2572925,2025-08-10,5018.55,ACH,16365,1000
NIC-APP00152,NIC-V013,4617623,2025-12-18,8992.68,ACH,,1000
NIC-APP00153,NIC-V015,SI8745663,2025-07-27,270.32,ACH,,1000
NIC-APP00154,NIC-V004,SI8342819,2026-03-24,2016.44,ACH,,1000
NIC-APP00155,NIC-V008,98845131,2025-11-18,4018.77,Check,24008,1000
NIC-APP00156,NIC-V014,8260079,2025-11-04,575.0,ACH,,1000
NIC-APP00157,NIC-V006,SI3569738,2026-01-04,2561.0,ACH,,1000
NIC-APP00158,NIC-V010,8107540,2025-12-16,2135.87,ACH,22648,1000
NIC-APP00159,NIC-V011,8799739,2025-06-14,5014.9,Check,,1000
NIC-APP00160,NIC-V012,92967701,2025-10-02,894411.72,Check,,1000
NIC-APP00161,NIC-V001,INV4712284,2025-10-16,666.02,ACH,,1000
NIC-APP00162,NIC-V017,INV636475,2025-07-24,8929.8,ACH,16702,1000
NIC-APP00163,NIC-V005,98738245,2026-02-03,12248.5,ACH,16497,1000
NIC-APP00164,NIC-V014,SI1016405,2025-07-14,3154.43,Check,,1000
NIC-APP00165,NIC-V016,5015556,2026-02-13,7573.31,ACH,,1000
NIC-APP00166,NIC-V012,INV8045928,2026-01-13,6899.65,ACH,,1000
NIC-APP00167,NIC-V002,INV4728054,2025-11-10,3109.58,Check,21956,1000
NIC-APP00168,NIC-V016,INV5616204,2025-07-15,96.98,ACH,,1000
NIC-APP00169,NIC-V004,93331535,2026-02-18,3263.0,Check,,1000
NIC-APP00170,NIC-V010,INV1365800,2026-01-03,1193.48,Card,,1000
NIC-APP00171,NIC-V014,SI2169966,2025-08-21,2400.0,ACH,22247,1000
NIC-APP00172,NIC-V013,SI1258872,2025-08-04,3210.0,Check,16074,1000
NIC-APP00173,NIC-V017,SI225226,2026-02-01,7945.25,ACH,,1000
NIC-APP00174,NIC-V002,92893976,2025-10-17,602.0,ACH,,1000
NIC-APP00175,NIC-V009,5366927,2026-03-12,20160.99,Card,27623,1000
NIC-APP00176,NIC-V008,3657413,2026-02-09,34296.01,Card,,1000
NIC-APP00177,NIC-V014,7169175,2025-07-20,887.5,ACH,,1000
NIC-APP00178,NIC-V003,8268442,2025-12-01,4686.5,Card,13409,1000
NIC-APP00179,NIC-V005,SI4785499,2026-02-22,2994.46,Card,,1000
NIC-APP00180,NIC-V017,99145401,2026-01-22,39.14,Check,,1000
NIC-APP00181,NIC-V017,INV1216867,2025-08-17,246.0,ACH,,1000
NIC-APP00182,NIC-V017,SI8806529,2026-01-24,207.13,Card,,1000
NIC-APP00183,NIC-V006,SI468828,2026-03-21,519.75,ACH,,1000
NIC-APP00184,NIC-V011,INV6930678,2025-08-28,21738.12,ACH,,1000
NIC-APP00185,NIC-V009,5982708,2025-06-28,10910.35,Card,12256,1000
NIC-APP00186,NIC-V015,INV5367363,2026-03-12,362.0,ACH,,1000
NIC-APP00187,NIC-V003,SI4293488,2025-10-09,2669.4,ACH,,1000
NIC-APP00188,NIC-V015,SI8668631,2025-11-30,351.88,Check,14777,1000
NIC-APP00189,NIC-V005,8644998,2025-06-20,8428.0,Check,,1000
NIC-APP00190,NIC-V012,9618166,2025-11-02,6704.98,Check,21627,1000
NIC-APP00191,NIC-V016,9567718,2025-09-18,64.28,ACH,,1000
NIC-APP00192,NIC-V008,SI2597314,2025-06-01,18357.12,Card,,1000
NIC-APP00193,NIC-V007,9039846,2026-02-09,806.22,Card,,1000
NIC-APP00194,NIC-V018,SI5332460,2026-03-09,18777.51,Card,,1000
NIC-APP00195,NIC-V004,97467262,2025-10-26,8952.2,ACH,,1000
NIC-APP00196,NIC-V002,INV8674354,2025-06-12,2989.11,Card,14614,1000
NIC-APP00197,NIC-V007,270330,2026-01-03,116.46,ACH,10116,1000
NIC-APP00198,NIC-V008,99280050,2026-02-11,7080.37,ACH,21863,1000
NIC-APP00199,NIC-V014,INV6286207,2025-12-03,4325.0,Card,,1000
NIC-APP00200,NIC-V007,SI644656,2025-10-17,44.16,ACH,,1000
