supplier_invoice_number,supplier_id,supplier_name,po_number,invoice_date,received_date,due_date,merchandise_total,freight,sales_tax,invoice_total,gl_account,status,match_status,entered_by
94297536,NIC-V005,Brighton-Best International,PO-31018,2025-08-27,2025-08-29,2025-09-26,3134.07,0.0,0.0,3134.07,2000,Paid,Matched,E002
SI8867698,NIC-V014,Regal Rexnord,PO-31019,2025-09-19,2025-09-19,2025-11-03,1730.52,153.63,0.0,1884.15,2000,Paid,Matched,E002
2510331,NIC-V007,Fastenal,PO-31020,2025-06-17,2025-06-19,2025-07-17,124.16,0.0,0.0,124.16,2000,Paid,Matched,E002
SI5525005,NIC-V018,"W.W. Grainger, Inc.",PO-31021,2025-12-18,2025-12-19,2026-01-17,4130.2,45.88,0.0,4176.08,2000,Paid,Matched,E002
INV858820,NIC-V004,Baldor-Reliance (ABB),PO-31022,2025-07-18,2025-07-19,2025-09-01,2710.0,0.0,0.0,2710.0,2000,Paid,Matched,E002
6301400,NIC-V010,MSC Industrial Supply,PO-31023,2025-10-29,2025-11-03,2025-11-28,626.08,8.16,0.0,634.24,2000,Paid,Matched,E002
SI6179706,NIC-V009,Haas Automation,PO-31024,2025-12-02,2025-12-03,2026-01-01,6583.1,151.1,0.0,6734.2,2000,Paid,Matched,E002
INV6802647,NIC-V006,Cintas Corporation,PO-31025,2025-05-05,2025-05-08,2025-06-04,3080.75,76.08,0.0,3156.83,2000,Paid,Matched,E002
91769614,NIC-V010,MSC Industrial Supply,PO-31026,2025-06-04,2025-06-05,2025-07-04,3514.5,0.0,0.0,3514.5,2000,Paid,Matched,E002
INV6367144,NIC-V008,Garlock Sealing Technologies,PO-31027,2025-06-04,2025-06-05,2025-07-04,8333.64,0.0,0.0,8333.64,2000,Paid,Matched,E002
3109501,NIC-V009,Haas Automation,PO-31028,2025-12-30,2026-01-04,2026-01-29,1197.58,72.54,0.0,1270.12,2000,Paid,Matched,E002
156484,NIC-V006,Cintas Corporation,PO-31029,2025-07-09,2025-07-10,2025-08-08,2273.05,0.0,0.0,2273.05,2000,Paid,Matched,E002
7675947,NIC-V016,Sandvik Coromant,PO-31030,2026-02-20,2026-02-21,2026-03-22,6259.5,0.0,0.0,6259.5,2000,Approved,Matched,E002
INV3862958,NIC-V002,Apex Fastener Corp,PO-31031,2026-03-25,2026-03-28,2026-04-24,618.86,0.0,0.0,618.86,2000,On Hold,Price variance,E002
SI256267,NIC-V004,Baldor-Reliance (ABB),PO-31032,2025-10-16,2025-10-20,2025-11-30,7877.15,0.0,0.0,7877.15,2000,Paid,Matched,E002
4786721,NIC-V013,Parker Hannifin,PO-31033,2026-02-10,2026-02-14,2026-03-27,2272.68,0.0,0.0,2272.68,2000,Paid,Matched,E002
92321886,NIC-V003,Applied Industrial Technologies,PO-31034,2025-07-02,2025-07-02,2025-08-01,17521.88,0.0,0.0,17521.88,2000,Paid,Matched,E002
3547981,NIC-V009,Haas Automation,PO-31035,2025-10-28,2025-11-01,2025-11-27,1372.0,99.67,0.0,1471.67,2000,Paid,Matched,E002
INV1107305,NIC-V005,Brighton-Best International,PO-31036,2025-09-08,2025-09-08,2025-10-08,942.83,0.0,0.0,942.83,2000,Paid,Matched,E002
9813480,NIC-V009,Haas Automation,PO-31037,2025-08-27,2025-09-01,2025-09-26,6198.6,138.86,0.0,6337.46,2000,Paid,Matched,E002
91425565,NIC-V010,MSC Industrial Supply,PO-31038,2025-08-15,2025-08-19,2025-09-14,2394.0,0.0,0.0,2394.0,2000,Paid,Matched,E002
SI8647283,NIC-V011,McMaster-Carr,PO-31039,2025-08-17,2025-08-18,2025-09-16,5545.79,0.0,0.0,5545.79,2000,Paid,Matched,E002
INV4730161,NIC-V001,Alro Steel,PO-31040,2025-08-30,2025-09-03,2025-09-29,2263.7,69.11,0.0,2332.81,2000,Paid,Matched,E002
SI4039045,NIC-V013,Parker Hannifin,PO-31041,2026-02-26,2026-02-28,2026-04-12,16546.48,0.0,0.0,16546.48,2000,Approved,Matched,E002
SI7461425,NIC-V018,"W.W. Grainger, Inc.",PO-31042,2025-07-06,2025-07-09,2025-08-05,9640.2,0.0,0.0,9640.2,2000,Paid,Matched,E002
INV4118589,NIC-V011,McMaster-Carr,PO-31043,2025-10-15,2025-10-15,2025-11-14,25550.22,9.5,0.0,25559.72,2000,Paid,Matched,E002
96186701,NIC-V007,Fastenal,PO-31044,2025-10-06,2025-10-10,2025-11-05,3969.0,0.0,0.0,3969.0,2000,Paid,Matched,E002
INV1808582,NIC-V004,Baldor-Reliance (ABB),PO-31045,2025-08-28,2025-08-31,2025-10-12,2029.17,0.0,0.0,2029.17,2000,Paid,Matched,E002
INV9355515,NIC-V004,Baldor-Reliance (ABB),PO-31046,2026-03-23,2026-03-26,2026-05-07,9664.21,0.0,0.0,9664.21,2000,Approved,Matched,E002
SI2071386,NIC-V001,Alro Steel,PO-31047,2026-03-20,2026-03-20,2026-04-19,939.06,0.0,0.0,939.06,2000,Approved,Matched,E002
92237159,NIC-V003,Applied Industrial Technologies,PO-31048,2026-03-21,2026-03-25,2026-04-20,16835.94,0.0,0.0,16835.94,2000,Approved,Matched,E002
4063167,NIC-V004,Baldor-Reliance (ABB),PO-31049,2025-06-30,2025-07-05,2025-08-14,31974.47,0.0,0.0,31974.47,2000,Paid,Matched,E002
SI3934842,NIC-V007,Fastenal,PO-31050,2026-02-17,2026-02-17,2026-03-19,10331.91,60.65,0.0,10392.56,2000,Approved,Matched,E002
4317908,NIC-V006,Cintas Corporation,PO-31051,2025-12-28,2025-12-28,2026-01-27,5496.0,0.0,0.0,5496.0,2000,Paid,Matched,E002
INV461497,NIC-V006,Cintas Corporation,PO-31052,2025-06-28,2025-06-29,2025-07-28,3233.45,0.0,0.0,3233.45,2000,Paid,Price variance,E002
99669852,NIC-V003,Applied Industrial Technologies,PO-31053,2025-10-06,2025-10-11,2025-11-05,14555.38,0.0,0.0,14555.38,2000,Paid,Matched,E002
SI422963,NIC-V007,Fastenal,PO-31055,2025-08-18,2025-08-19,2025-09-17,6105.0,92.48,0.0,6197.48,2000,Paid,Matched,E002
INV2949188,NIC-V016,Sandvik Coromant,PO-31056,2026-02-19,2026-02-19,2026-03-21,1120.96,0.0,0.0,1120.96,2000,Approved,Matched,E002
91640772,NIC-V009,Haas Automation,PO-31057,2026-01-04,2026-01-09,2026-02-03,1076.92,86.89,0.0,1163.81,2000,Paid,Matched,E002
SI8382615,NIC-V016,Sandvik Coromant,PO-31058,2026-01-29,2026-02-01,2026-02-28,20074.36,124.78,0.0,20199.14,2000,Paid,Matched,E002
SI3556625,NIC-V015,Ryerson,PO-31059,2026-03-05,2026-03-06,2026-04-19,273.76,66.02,0.0,339.78,2000,Approved,Matched,E002
SI449685,NIC-V010,MSC Industrial Supply,PO-31060,2025-11-04,2025-11-07,2025-12-04,2394.0,0.0,0.0,2394.0,2000,Paid,Matched,E002
SI3517527,NIC-V014,Regal Rexnord,PO-31061,2026-04-02,2026-04-04,2026-05-17,775.0,127.69,0.0,902.69,2000,Approved,Matched,E002
INV5453534,NIC-V018,"W.W. Grainger, Inc.",PO-31063,2026-01-12,2026-01-17,2026-02-11,9090.0,0.0,0.0,9090.0,2000,Paid,Matched,E002
9443587,NIC-V010,MSC Industrial Supply,PO-31064,2025-12-10,2025-12-14,2026-01-09,229.68,0.0,0.0,229.68,2000,Paid,Matched,E002
INV5944082,NIC-V018,"W.W. Grainger, Inc.",PO-31065,2025-05-08,2025-05-10,2025-06-07,17740.6,0.0,0.0,17740.6,2000,Paid,Matched,E002
INV7937516,NIC-V008,Garlock Sealing Technologies,PO-31066,2026-04-02,2026-04-05,2026-05-02,8582.24,7.82,0.0,8590.06,2000,Approved,Matched,E002
SI1384947,NIC-V015,Ryerson,PO-31067,2025-08-28,2025-08-30,2025-10-12,130.0,0.0,0.0,130.0,2000,Paid,Matched,E002
5163627,NIC-V017,Uline,PO-31068,2025-12-07,2025-12-08,2026-01-06,15606.74,47.45,0.0,15654.19,2000,Paid,Matched,E002
96586239,NIC-V013,Parker Hannifin,PO-31069,2025-12-07,2025-12-08,2026-01-21,4327.68,0.0,0.0,4327.68,2000,Paid,Matched,E002
9275059,NIC-V010,MSC Industrial Supply,PO-31070,2026-03-25,2026-03-30,2026-04-24,2907.0,139.58,0.0,3046.58,2000,On Hold,Price variance,E002
INV739993,NIC-V013,Parker Hannifin,PO-31071,2025-07-12,2025-07-12,2025-08-26,9373.18,113.21,0.0,9486.39,2000,Paid,Matched,E002
INV1561691,NIC-V002,Apex Fastener Corp,PO-31072,2025-05-11,2025-05-12,2025-06-10,4321.17,0.0,0.0,4321.17,2000,Paid,Matched,E002
SI9285576,NIC-V008,Garlock Sealing Technologies,PO-31073,2025-07-26,2025-07-29,2025-08-25,12387.9,43.17,0.0,12431.07,2000,Paid,Matched,E002
INV6064633,NIC-V010,MSC Industrial Supply,PO-31074,2025-05-12,2025-05-12,2025-06-11,1030.64,0.0,0.0,1030.64,2000,Paid,Matched,E002
95122887,NIC-V012,Motion Industries,PO-31075,2025-09-22,2025-09-27,2025-10-22,2928.0,0.0,0.0,2928.0,2000,Paid,Matched,E002
SI5183212,NIC-V005,Brighton-Best International,PO-31077,2025-07-31,2025-08-04,2025-08-30,4381.81,0.0,0.0,4381.81,2000,Paid,Price variance,E002
INV3059718,NIC-V017,Uline,PO-31078,2025-09-28,2025-09-29,2025-10-28,76.0,55.06,0.0,131.06,2000,Paid,Matched,E002
SI8662411,NIC-V015,Ryerson,PO-31079,2025-05-01,2025-05-02,2025-06-15,562.06,0.0,0.0,562.06,2000,Paid,Matched,E002
SI3849539,NIC-V003,Applied Industrial Technologies,PO-31080,2025-09-22,2025-09-22,2025-10-22,27996.25,0.0,0.0,27996.25,2000,Paid,Matched,E002
3598184,NIC-V012,Motion Industries,PO-31082,2025-10-06,2025-10-08,2025-11-05,137.0,0.0,0.0,137.0,2000,Paid,Matched,E002
INV1066654,NIC-V008,Garlock Sealing Technologies,PO-31083,2025-05-08,2025-05-08,2025-06-07,627.35,0.0,0.0,627.35,2000,Paid,Price variance,E002
773817,NIC-V018,"W.W. Grainger, Inc.",PO-31085,2025-10-09,2025-10-10,2025-11-08,4130.2,0.0,0.0,4130.2,2000,Paid,Matched,E002
SI2257488,NIC-V011,McMaster-Carr,PO-31086,2025-05-25,2025-05-25,2025-06-24,3827.2,0.0,0.0,3827.2,2000,Paid,Matched,E002
9775848,NIC-V010,MSC Industrial Supply,PO-31087,2026-02-01,2026-02-03,2026-03-03,627.5,143.32,0.0,770.82,2000,Paid,Matched,E002
1504749,NIC-V008,Garlock Sealing Technologies,PO-31088,2026-02-22,2026-02-22,2026-03-24,15859.73,0.0,0.0,15859.73,2000,Approved,Matched,E002
96059004,NIC-V005,Brighton-Best International,PO-31089,2026-02-23,2026-02-23,2026-03-25,105.43,0.0,0.0,105.43,2000,Approved,Matched,E002
INV8101322,NIC-V016,Sandvik Coromant,PO-31090,2025-07-25,2025-07-25,2025-08-24,3319.31,0.0,0.0,3319.31,2000,Paid,Matched,E002
6104089,NIC-V015,Ryerson,PO-31091,2026-01-19,2026-01-23,2026-03-05,510.0,0.0,0.0,510.0,2000,Paid,Matched,E002
INV4150002,NIC-V017,Uline,PO-31092,2025-09-23,2025-09-28,2025-10-23,8069.25,0.0,0.0,8069.25,2000,Paid,Price variance,E002
99936777,NIC-V003,Applied Industrial Technologies,PO-31093,2025-08-27,2025-08-28,2025-09-26,4571.55,170.21,0.0,4741.76,2000,Paid,Matched,E002
8609659,NIC-V001,Alro Steel,PO-31094,2026-02-25,2026-02-27,2026-03-27,1447.14,0.0,0.0,1447.14,2000,Approved,Matched,E002
INV2195791,NIC-V010,MSC Industrial Supply,PO-31095,2026-03-29,2026-04-01,2026-04-28,4788.0,157.11,0.0,4945.11,2000,Approved,Matched,E002
SI2316064,NIC-V017,Uline,PO-31096,2025-07-04,2025-07-04,2025-08-03,7547.63,0.0,0.0,7547.63,2000,Paid,Matched,E002
4127748,NIC-V009,Haas Automation,PO-31097,2025-09-16,2025-09-20,2025-10-16,1203.4,0.0,0.0,1203.4,2000,Paid,Matched,E002
SI7025118,NIC-V013,Parker Hannifin,PO-31098,2026-02-07,2026-02-12,2026-03-24,6861.84,0.0,0.0,6861.84,2000,Paid,Matched,E002
7256388,NIC-V017,Uline,PO-31099,2025-05-29,2025-06-01,2025-06-28,7.1,119.95,0.0,127.05,2000,Paid,Matched,E002
555849,NIC-V018,"W.W. Grainger, Inc.",PO-31100,2025-04-23,2025-04-27,2025-05-23,6941.19,0.0,0.0,6941.19,2000,Paid,Price variance,E002
1058062,NIC-V007,Fastenal,PO-31101,2025-12-01,2025-12-06,2025-12-31,2807.0,0.0,0.0,2807.0,2000,Paid,Matched,E002
93163940,NIC-V004,Baldor-Reliance (ABB),PO-31102,2025-05-22,2025-05-24,2025-07-06,303.6,0.0,0.0,303.6,2000,Paid,Matched,E002
91147507,NIC-V016,Sandvik Coromant,PO-31103,2025-11-24,2025-11-26,2025-12-24,18002.0,34.43,0.0,18036.43,2000,Paid,Matched,E002
98491932,NIC-V004,Baldor-Reliance (ABB),PO-31104,2026-01-19,2026-01-21,2026-03-05,155.65,0.0,0.0,155.65,2000,Paid,Matched,E002
94075810,NIC-V003,Applied Industrial Technologies,PO-31105,2026-03-07,2026-03-07,2026-04-06,3559.1,0.0,0.0,3559.1,2000,Approved,Matched,E002
93820667,NIC-V005,Brighton-Best International,PO-31106,2025-12-24,2025-12-24,2026-01-23,2994.46,0.0,0.0,2994.46,2000,Paid,Matched,E002
SI3587005,NIC-V005,Brighton-Best International,PO-31107,2026-04-06,2026-04-09,2026-05-06,3.15,0.0,0.0,3.15,2000,Approved,Matched,E002
INV2020069,NIC-V015,Ryerson,PO-31110,2025-07-30,2025-07-31,2025-09-13,170.0,0.0,0.0,170.0,2000,Paid,Matched,E002
INV5089310,NIC-V009,Haas Automation,PO-31111,2025-09-22,2025-09-22,2025-10-22,2072.6,0.0,0.0,2072.6,2000,Paid,Matched,E002
91220841,NIC-V002,Apex Fastener Corp,PO-31112,2025-11-28,2025-12-02,2025-12-28,3404.95,159.67,0.0,3564.62,2000,Paid,Price variance,E002
92591690,NIC-V016,Sandvik Coromant,PO-31113,2025-10-05,2025-10-05,2025-11-04,1067.64,0.0,0.0,1067.64,2000,Paid,Matched,E002
SI1203417,NIC-V007,Fastenal,PO-31115,2025-06-26,2025-06-29,2025-07-26,103.8,0.0,0.0,103.8,2000,Paid,Matched,E002
5341287,NIC-V004,Baldor-Reliance (ABB),PO-31116,2026-02-06,2026-02-11,2026-03-23,5251.66,0.0,0.0,5251.66,2000,Paid,Matched,E002
SI8315891,NIC-V005,Brighton-Best International,PO-31117,2025-06-21,2025-06-22,2025-07-21,105.43,0.0,0.0,105.43,2000,Paid,Matched,E002
INV3552367,NIC-V005,Brighton-Best International,PO-31118,2025-11-10,2025-11-10,2025-12-10,927.08,0.0,0.0,927.08,2000,Paid,Matched,E002
SI198626,NIC-V006,Cintas Corporation,PO-31119,2025-04-28,2025-04-28,2025-05-28,4964.4,0.0,0.0,4964.4,2000,Paid,Matched,E002
91704147,NIC-V018,"W.W. Grainger, Inc.",PO-31120,2025-04-29,2025-05-02,2025-05-29,18892.0,53.62,0.0,18945.62,2000,Paid,Matched,E002
7385578,NIC-V011,McMaster-Carr,PO-31121,2025-09-20,2025-09-25,2025-10-20,13196.6,0.0,0.0,13196.6,2000,Paid,Matched,E002
SI1413653,NIC-V005,Brighton-Best International,PO-31122,2025-10-11,2025-10-12,2025-11-10,1032.51,0.0,0.0,1032.51,2000,Paid,Matched,E002
SI635022,NIC-V002,Apex Fastener Corp,PO-31123,2025-06-05,2025-06-06,2025-07-05,6768.4,0.0,0.0,6768.4,2000,Paid,Matched,E002
SI1409718,NIC-V012,Motion Industries,PO-31124,2025-08-28,2025-09-02,2025-09-27,1049.16,0.0,0.0,1049.16,2000,Paid,Matched,E002
92787697,NIC-V012,Motion Industries,PO-31125,2026-02-07,2026-02-10,2026-03-09,18447.12,0.0,0.0,18447.12,2000,Paid,Matched,E002
3300669,NIC-V010,MSC Industrial Supply,PO-31126,2025-10-06,2025-10-06,2025-11-05,12550.0,0.0,0.0,12550.0,2000,Paid,Matched,E002
INV6541915,NIC-V003,Applied Industrial Technologies,PO-31127,2025-08-31,2025-09-02,2025-09-30,7712.22,0.0,0.0,7712.22,2000,Paid,Matched,E002
3315451,NIC-V014,Regal Rexnord,PO-31128,2025-09-03,2025-09-08,2025-10-18,1900.0,42.57,0.0,1942.57,2000,Paid,Matched,E002
SI5919416,NIC-V010,MSC Industrial Supply,PO-31129,2026-03-21,2026-03-25,2026-04-20,1030.64,0.0,0.0,1030.64,2000,Approved,Matched,E002
92145940,NIC-V001,Alro Steel,PO-31130,2026-04-03,2026-04-07,2026-05-03,6610.84,0.0,0.0,6610.84,2000,Approved,Matched,E002
SI5886563,NIC-V003,Applied Industrial Technologies,PO-31131,2025-06-06,2025-06-08,2025-07-06,2999.68,0.0,0.0,2999.68,2000,Paid,Matched,E002
INV4307492,NIC-V003,Applied Industrial Technologies,PO-31132,2025-10-27,2025-10-28,2025-11-26,4500.55,0.0,0.0,4500.55,2000,Paid,Matched,E002
SI7289576,NIC-V010,MSC Industrial Supply,PO-31133,2026-02-21,2026-02-21,2026-03-23,4869.4,0.0,0.0,4869.4,2000,Approved,Matched,E002
4345370,NIC-V007,Fastenal,PO-31134,2026-01-30,2026-02-02,2026-03-01,6085.58,0.0,0.0,6085.58,2000,Paid,Matched,E002
92310980,NIC-V003,Applied Industrial Technologies,PO-31135,2026-02-09,2026-02-10,2026-03-11,1474.0,69.64,0.0,1543.64,2000,Paid,Matched,E002
94962123,NIC-V002,Apex Fastener Corp,PO-31136,2025-10-28,2025-10-29,2025-11-27,6616.1,0.0,0.0,6616.1,2000,Paid,Matched,E002
INV8915439,NIC-V017,Uline,PO-31137,2025-11-07,2025-11-07,2025-12-07,3324.34,27.93,0.0,3352.27,2000,Paid,Matched,E002
SI7889822,NIC-V014,Regal Rexnord,PO-31138,2026-02-21,2026-02-25,2026-04-07,5525.0,0.0,0.0,5525.0,2000,Approved,Matched,E002
91932295,NIC-V002,Apex Fastener Corp,PO-31139,2025-05-07,2025-05-09,2025-06-06,2592.46,0.0,0.0,2592.46,2000,Paid,Matched,E002
9832979,NIC-V010,MSC Industrial Supply,PO-31140,2025-07-17,2025-07-18,2025-08-16,2722.94,0.0,0.0,2722.94,2000,Paid,Matched,E002
4280659,NIC-V015,Ryerson,PO-31141,2025-04-24,2025-04-24,2025-06-08,109.2,0.0,0.0,109.2,2000,Paid,Matched,E002
9190768,NIC-V014,Regal Rexnord,PO-31142,2025-06-19,2025-06-22,2025-08-03,250.0,0.0,0.0,250.0,2000,Paid,Matched,E002
INV2867870,NIC-V006,Cintas Corporation,PO-31143,2025-07-23,2025-07-24,2025-08-22,3829.35,147.18,0.0,3976.53,2000,Paid,Matched,E002
7159705,NIC-V005,Brighton-Best International,PO-31144,2026-03-14,2026-03-16,2026-04-13,111.73,0.0,0.0,111.73,2000,Approved,Matched,E002
SI3661724,NIC-V014,Regal Rexnord,PO-31145,2025-11-26,2025-11-29,2026-01-10,2481.0,0.0,0.0,2481.0,2000,Paid,Matched,E002
INV1794858,NIC-V006,Cintas Corporation,PO-31146,2025-06-22,2025-06-23,2025-07-22,3630.6,140.0,0.0,3770.6,2000,Paid,Matched,E002
SI2440693,NIC-V005,Brighton-Best International,PO-31148,2025-08-09,2025-08-11,2025-09-08,2994.46,0.0,0.0,2994.46,2000,Paid,Matched,E002
92342777,NIC-V006,Cintas Corporation,PO-31149,2025-11-13,2025-11-16,2025-12-13,3307.92,176.22,0.0,3484.14,2000,Paid,Price variance,E002
92459026,NIC-V018,"W.W. Grainger, Inc.",PO-31150,2025-12-05,2025-12-10,2026-01-04,4130.2,0.0,0.0,4130.2,2000,Paid,Matched,E002
94179131,NIC-V016,Sandvik Coromant,PO-31151,2026-02-14,2026-02-18,2026-03-16,3592.85,0.0,0.0,3592.85,2000,Approved,Matched,E002
INV7656742,NIC-V005,Brighton-Best International,PO-31152,2025-10-21,2025-10-22,2025-11-20,6011.92,0.0,0.0,6011.92,2000,Paid,Matched,E002
INV1586204,NIC-V016,Sandvik Coromant,PO-31153,2026-03-20,2026-03-23,2026-04-19,2234.87,0.0,0.0,2234.87,2000,Approved,Matched,E002
6734166,NIC-V015,Ryerson,PO-31154,2026-03-18,2026-03-18,2026-05-02,75.2,0.0,0.0,75.2,2000,Approved,Matched,E002
SI3687653,NIC-V016,Sandvik Coromant,PO-31155,2026-01-17,2026-01-20,2026-02-16,3305.19,18.11,0.0,3323.3,2000,Paid,Matched,E002
97118396,NIC-V002,Apex Fastener Corp,PO-31156,2025-11-01,2025-11-03,2025-12-01,2576.75,0.0,0.0,2576.75,2000,Paid,Matched,E002
9295188,NIC-V010,MSC Industrial Supply,PO-31157,2025-12-21,2025-12-26,2026-01-20,6100.0,125.61,0.0,6225.61,2000,Paid,Matched,E002
2819564,NIC-V006,Cintas Corporation,PO-31158,2026-03-31,2026-04-03,2026-04-30,2562.0,0.0,0.0,2562.0,2000,Approved,Matched,E002
INV8628655,NIC-V004,Baldor-Reliance (ABB),PO-31159,2025-08-02,2025-08-04,2025-09-16,866.5,0.0,0.0,866.5,2000,Paid,Matched,E002
INV4597068,NIC-V008,Garlock Sealing Technologies,PO-31160,2025-08-06,2025-08-11,2025-09-05,5041.56,0.0,0.0,5041.56,2000,Paid,Matched,E002
INV7755295,NIC-V016,Sandvik Coromant,PO-31161,2025-09-07,2025-09-11,2025-10-07,1042.56,0.0,0.0,1042.56,2000,Paid,Matched,E002
8099990,NIC-V003,Applied Industrial Technologies,PO-31162,2025-08-14,2025-08-14,2025-09-13,2328.06,0.0,0.0,2328.06,2000,Paid,Matched,E002
INV1646354,NIC-V018,"W.W. Grainger, Inc.",PO-31163,2025-10-31,2025-11-05,2025-11-30,21285.51,0.0,0.0,21285.51,2000,Paid,Matched,E002
INV7471162,NIC-V017,Uline,PO-31164,2025-08-16,2025-08-20,2025-09-15,207.13,0.0,0.0,207.13,2000,Paid,Matched,E002
SI1220396,NIC-V015,Ryerson,PO-31165,2025-10-02,2025-10-06,2025-11-16,56.4,86.65,0.0,143.05,2000,Paid,Matched,E002
4296062,NIC-V003,Applied Industrial Technologies,PO-31166,2026-02-07,2026-02-12,2026-03-09,556.7,0.0,0.0,556.7,2000,Paid,Matched,E002
93112313,NIC-V018,"W.W. Grainger, Inc.",PO-31167,2025-08-06,2025-08-10,2025-09-05,17977.6,2.63,0.0,17980.23,2000,Paid,Matched,E002
6667389,NIC-V014,Regal Rexnord,PO-31168,2025-11-17,2025-11-21,2026-01-01,603.52,0.0,0.0,603.52,2000,Paid,Matched,E002
96533985,NIC-V006,Cintas Corporation,PO-31169,2025-08-13,2025-08-18,2025-09-12,325.0,0.0,0.0,325.0,2000,Paid,Matched,E002
9948635,NIC-V011,McMaster-Carr,PO-31170,2026-03-17,2026-03-18,2026-04-16,3882.87,0.0,0.0,3882.87,2000,On Hold,Price variance,E002
INV6956676,NIC-V003,Applied Industrial Technologies,PO-31171,2025-12-01,2025-12-04,2025-12-31,4939.84,0.0,0.0,4939.84,2000,Paid,Matched,E002
6802601,NIC-V016,Sandvik Coromant,PO-31172,2025-09-23,2025-09-24,2025-10-23,99.94,0.0,0.0,99.94,2000,Paid,Matched,E002
SI9163921,NIC-V006,Cintas Corporation,PO-31173,2025-07-05,2025-07-07,2025-08-04,2639.8,47.2,0.0,2687.0,2000,Paid,Matched,E002
9753446,NIC-V014,Regal Rexnord,PO-31174,2026-01-31,2026-01-31,2026-03-17,1719.48,0.0,0.0,1719.48,2000,Paid,Matched,E002
9531385,NIC-V008,Garlock Sealing Technologies,PO-31175,2025-12-11,2025-12-13,2026-01-10,15326.06,0.0,0.0,15326.06,2000,Paid,Matched,E002
98583679,NIC-V018,"W.W. Grainger, Inc.",PO-31176,2025-09-18,2025-09-23,2025-10-18,5350.0,174.65,0.0,5524.65,2000,Paid,Matched,E002
2509053,NIC-V018,"W.W. Grainger, Inc.",PO-31177,2025-09-20,2025-09-21,2025-10-20,11942.0,0.0,0.0,11942.0,2000,Paid,Matched,E002
SI6682578,NIC-V012,Motion Industries,PO-31178,2025-10-13,2025-10-15,2025-11-12,279.48,80.14,0.0,359.62,2000,Paid,Matched,E002
7786573,NIC-V010,MSC Industrial Supply,PO-31179,2025-06-19,2025-06-22,2025-07-19,7623.21,0.0,0.0,7623.21,2000,Paid,Price variance,E002
INV9625346,NIC-V018,"W.W. Grainger, Inc.",PO-31180,2025-06-23,2025-06-28,2025-07-23,16767.2,0.0,0.0,16767.2,2000,Paid,Matched,E002
INV6283473,NIC-V013,Parker Hannifin,PO-31181,2026-02-15,2026-02-18,2026-04-01,17020.5,131.99,0.0,17152.49,2000,Approved,Matched,E002
