supplier_invoice_number,po_number,receipt_id,po_amount,received_amount,invoiced_amount,variance,result,tolerance_pct,resolved
INV9355515,PO-31046,RCV-40046,9664.21,9664.21,9664.21,0.0,Matched,2.0,Y
SI2071386,PO-31047,RCV-40047,939.06,939.06,939.06,0.0,Matched,2.0,Y
92237159,PO-31048,RCV-40048,16835.94,16835.94,16835.94,0.0,Matched,2.0,Y
4063167,PO-31049,RCV-40049,31974.47,31974.47,31974.47,0.0,Matched,2.0,Y
SI3934842,PO-31050,RCV-40050,10331.91,10331.91,10331.91,0.0,Matched,2.0,Y
4317908,PO-31051,RCV-40051,5496.0,5496.0,5496.0,0.0,Matched,2.0,Y
INV461497,PO-31052,RCV-40052,3228.5,3228.5,3233.45,4.95,Price variance,2.0,Y
99669852,PO-31053,RCV-40053,14555.38,14555.38,14555.38,0.0,Matched,2.0,Y
SI422963,PO-31055,RCV-40054,6105.0,6105.0,6105.0,0.0,Matched,2.0,Y
INV2949188,PO-31056,RCV-40055,1120.96,1120.96,1120.96,0.0,Matched,2.0,Y
91640772,PO-31057,RCV-40056,1076.92,1076.92,1076.92,0.0,Matched,2.0,Y
SI8382615,PO-31058,RCV-40057,20074.36,20074.36,20074.36,0.0,Matched,2.0,Y
SI3556625,PO-31059,RCV-40058,273.76,273.76,273.76,0.0,Matched,2.0,Y
SI449685,PO-31060,RCV-40059,2394.0,2394.0,2394.0,0.0,Matched,2.0,Y
SI3517527,PO-31061,RCV-40060,1562.5,775.0,775.0,0.0,Matched,2.0,Y
INV5453534,PO-31063,RCV-40061,9090.0,9090.0,9090.0,0.0,Matched,2.0,Y
9443587,PO-31064,RCV-40062,229.68,229.68,229.68,0.0,Matched,2.0,Y
INV5944082,PO-31065,RCV-40063,17740.6,17740.6,17740.6,0.0,Matched,2.0,Y
INV7937516,PO-31066,RCV-40064,16968.8,8582.24,8582.24,0.0,Matched,2.0,Y
SI1384947,PO-31067,RCV-40065,130.0,130.0,130.0,0.0,Matched,2.0,Y
5163627,PO-31068,RCV-40066,15606.74,15606.74,15606.74,0.0,Matched,2.0,Y
96586239,PO-31069,RCV-40067,4327.68,4327.68,4327.68,0.0,Matched,2.0,Y
9275059,PO-31070,RCV-40068,2850.0,2850.0,2907.0,57.0,Price variance,2.0,N
INV739993,PO-31071,RCV-40069,9373.18,9373.18,9373.18,0.0,Matched,2.0,Y
INV1561691,PO-31072,RCV-40070,4321.17,4321.17,4321.17,0.0,Matched,2.0,Y
SI9285576,PO-31073,RCV-40071,12387.9,12387.9,12387.9,0.0,Matched,2.0,Y
INV6064633,PO-31074,RCV-40072,1030.64,1030.64,1030.64,0.0,Matched,2.0,Y
95122887,PO-31075,RCV-40073,2928.0,2928.0,2928.0,0.0,Matched,2.0,Y
SI5183212,PO-31077,RCV-40074,4228.51,4228.51,4381.81,153.3,Price variance,2.0,Y
INV3059718,PO-31078,RCV-40075,76.0,76.0,76.0,0.0,Matched,2.0,Y
SI8662411,PO-31079,RCV-40076,562.06,562.06,562.06,0.0,Matched,2.0,Y
SI3849539,PO-31080,RCV-40077,27996.25,27996.25,27996.25,0.0,Matched,2.0,Y
3598184,PO-31082,RCV-40078,137.0,137.0,137.0,0.0,Matched,2.0,Y
INV1066654,PO-31083,RCV-40079,619.25,619.25,627.35,8.1,Price variance,2.0,Y
773817,PO-31085,RCV-40080,4130.2,4130.2,4130.2,0.0,Matched,2.0,Y
SI2257488,PO-31086,RCV-40081,3827.2,3827.2,3827.2,0.0,Matched,2.0,Y
9775848,PO-31087,RCV-40082,627.5,627.5,627.5,0.0,Matched,2.0,Y
1504749,PO-31088,RCV-40083,15859.73,15859.73,15859.73,0.0,Matched,2.0,Y
96059004,PO-31089,RCV-40084,105.43,105.43,105.43,0.0,Matched,2.0,Y
INV8101322,PO-31090,RCV-40085,3319.31,3319.31,3319.31,0.0,Matched,2.0,Y
6104089,PO-31091,RCV-40086,510.0,510.0,510.0,0.0,Matched,2.0,Y
INV4150002,PO-31092,RCV-40087,7768.5,7759.25,8069.25,310.0,Price variance,2.0,Y
99936777,PO-31093,RCV-40088,4571.55,4571.55,4571.55,0.0,Matched,2.0,Y
8609659,PO-31094,RCV-40089,1447.14,1447.14,1447.14,0.0,Matched,2.0,Y
INV2195791,PO-31095,RCV-40090,4788.0,4788.0,4788.0,0.0,Matched,2.0,Y
SI2316064,PO-31096,RCV-40091,7547.63,7547.63,7547.63,0.0,Matched,2.0,Y
4127748,PO-31097,RCV-40092,1203.4,1203.4,1203.4,0.0,Matched,2.0,Y
SI7025118,PO-31098,RCV-40093,6861.84,6861.84,6861.84,0.0,Matched,2.0,Y
7256388,PO-31099,RCV-40094,7.1,7.1,7.1,0.0,Matched,2.0,Y
555849,PO-31100,RCV-40095,6920.19,6920.19,6941.19,21.0,Price variance,2.0,Y
1058062,PO-31101,RCV-40096,2807.0,2807.0,2807.0,0.0,Matched,2.0,Y
93163940,PO-31102,RCV-40097,303.6,303.6,303.6,0.0,Matched,2.0,Y
91147507,PO-31103,RCV-40098,18002.0,18002.0,18002.0,0.0,Matched,2.0,Y
98491932,PO-31104,RCV-40099,155.65,155.65,155.65,0.0,Matched,2.0,Y
94075810,PO-31105,RCV-40100,3559.1,3559.1,3559.1,0.0,Matched,2.0,Y
93820667,PO-31106,RCV-40101,2994.46,2994.46,2994.46,0.0,Matched,2.0,Y
SI3587005,PO-31107,RCV-40102,6.3,3.15,3.15,0.0,Matched,2.0,Y
INV2020069,PO-31110,RCV-40103,170.0,170.0,170.0,0.0,Matched,2.0,Y
INV5089310,PO-31111,RCV-40104,2072.6,2072.6,2072.6,0.0,Matched,2.0,Y
91220841,PO-31112,RCV-40105,3451.2,3402.5,3404.95,2.45,Price variance,2.0,Y
92591690,PO-31113,RCV-40106,1067.64,1067.64,1067.64,0.0,Matched,2.0,Y
SI1203417,PO-31115,RCV-40107,103.8,103.8,103.8,0.0,Matched,2.0,Y
5341287,PO-31116,RCV-40108,5251.66,5251.66,5251.66,0.0,Matched,2.0,Y
SI8315891,PO-31117,RCV-40109,105.43,105.43,105.43,0.0,Matched,2.0,Y
INV3552367,PO-31118,RCV-40110,927.08,927.08,927.08,0.0,Matched,2.0,Y
SI198626,PO-31119,RCV-40111,4964.4,4964.4,4964.4,0.0,Matched,2.0,Y
91704147,PO-31120,RCV-40112,18892.0,18892.0,18892.0,0.0,Matched,2.0,Y
7385578,PO-31121,RCV-40113,13196.6,13196.6,13196.6,0.0,Matched,2.0,Y
SI1413653,PO-31122,RCV-40114,1032.51,1032.51,1032.51,0.0,Matched,2.0,Y
SI635022,PO-31123,RCV-40115,10510.9,6768.4,6768.4,0.0,Matched,2.0,Y
SI1409718,PO-31124,RCV-40116,1049.16,1049.16,1049.16,0.0,Matched,2.0,Y
92787697,PO-31125,RCV-40117,18447.12,18447.12,18447.12,0.0,Matched,2.0,Y
3300669,PO-31126,RCV-40118,12550.0,12550.0,12550.0,0.0,Matched,2.0,Y
INV6541915,PO-31127,RCV-40119,7712.22,7712.22,7712.22,0.0,Matched,2.0,Y
3315451,PO-31128,RCV-40120,1900.0,1900.0,1900.0,0.0,Matched,2.0,Y
SI5919416,PO-31129,RCV-40121,1030.64,1030.64,1030.64,0.0,Matched,2.0,Y
92145940,PO-31130,RCV-40122,13245.46,6610.84,6610.84,0.0,Matched,2.0,Y
SI5886563,PO-31131,RCV-40123,2999.68,2999.68,2999.68,0.0,Matched,2.0,Y
INV4307492,PO-31132,RCV-40124,4500.55,4500.55,4500.55,0.0,Matched,2.0,Y
SI7289576,PO-31133,RCV-40125,4869.4,4869.4,4869.4,0.0,Matched,2.0,Y
4345370,PO-31134,RCV-40126,6085.58,6085.58,6085.58,0.0,Matched,2.0,Y
92310980,PO-31135,RCV-40127,1474.0,1474.0,1474.0,0.0,Matched,2.0,Y
94962123,PO-31136,RCV-40128,6616.1,6616.1,6616.1,0.0,Matched,2.0,Y
INV8915439,PO-31137,RCV-40129,3324.34,3324.34,3324.34,0.0,Matched,2.0,Y
SI7889822,PO-31138,RCV-40130,5525.0,5525.0,5525.0,0.0,Matched,2.0,Y
91932295,PO-31139,RCV-40131,2592.46,2592.46,2592.46,0.0,Matched,2.0,Y
9832979,PO-31140,RCV-40132,2722.94,2722.94,2722.94,0.0,Matched,2.0,Y
4280659,PO-31141,RCV-40133,109.2,109.2,109.2,0.0,Matched,2.0,Y
9190768,PO-31142,RCV-40134,250.0,250.0,250.0,0.0,Matched,2.0,Y
INV2867870,PO-31143,RCV-40135,3829.35,3829.35,3829.35,0.0,Matched,2.0,Y
7159705,PO-31144,RCV-40136,111.73,111.73,111.73,0.0,Matched,2.0,Y
SI3661724,PO-31145,RCV-40137,2481.0,2481.0,2481.0,0.0,Matched,2.0,Y
INV1794858,PO-31146,RCV-40138,3630.6,3630.6,3630.6,0.0,Matched,2.0,Y
SI2440693,PO-31148,RCV-40139,2994.46,2994.46,2994.46,0.0,Matched,2.0,Y
92342777,PO-31149,RCV-40140,3276.0,3276.0,3307.92,31.92,Price variance,2.0,Y
92459026,PO-31150,RCV-40141,4130.2,4130.2,4130.2,0.0,Matched,2.0,Y
94179131,PO-31151,RCV-40142,3592.85,3592.85,3592.85,0.0,Matched,2.0,Y
INV7656742,PO-31152,RCV-40143,6011.92,6011.92,6011.92,0.0,Matched,2.0,Y
INV1586204,PO-31153,RCV-40144,2234.87,2234.87,2234.87,0.0,Matched,2.0,Y
6734166,PO-31154,RCV-40145,75.2,75.2,75.2,0.0,Matched,2.0,Y
SI3687653,PO-31155,RCV-40146,3305.19,3305.19,3305.19,0.0,Matched,2.0,Y
97118396,PO-31156,RCV-40147,2576.75,2576.75,2576.75,0.0,Matched,2.0,Y
9295188,PO-31157,RCV-40148,6100.0,6100.0,6100.0,0.0,Matched,2.0,Y
2819564,PO-31158,RCV-40149,2562.0,2562.0,2562.0,0.0,Matched,2.0,Y
INV8628655,PO-31159,RCV-40150,866.5,866.5,866.5,0.0,Matched,2.0,Y
INV4597068,PO-31160,RCV-40151,5041.56,5041.56,5041.56,0.0,Matched,2.0,Y
INV7755295,PO-31161,RCV-40152,1042.56,1042.56,1042.56,0.0,Matched,2.0,Y
8099990,PO-31162,RCV-40153,2328.06,2328.06,2328.06,0.0,Matched,2.0,Y
INV1646354,PO-31163,RCV-40154,21285.51,21285.51,21285.51,0.0,Matched,2.0,Y
INV7471162,PO-31164,RCV-40155,207.13,207.13,207.13,0.0,Matched,2.0,Y
SI1220396,PO-31165,RCV-40156,56.4,56.4,56.4,0.0,Matched,2.0,Y
4296062,PO-31166,RCV-40157,888.4,556.7,556.7,0.0,Matched,2.0,Y
93112313,PO-31167,RCV-40158,17977.6,17977.6,17977.6,0.0,Matched,2.0,Y
6667389,PO-31168,RCV-40159,603.52,603.52,603.52,0.0,Matched,2.0,Y
96533985,PO-31169,RCV-40160,325.0,325.0,325.0,0.0,Matched,2.0,Y
9948635,PO-31170,RCV-40161,3697.69,3697.69,3882.87,185.18,Price variance,2.0,N
INV6956676,PO-31171,RCV-40162,4939.84,4939.84,4939.84,0.0,Matched,2.0,Y
6802601,PO-31172,RCV-40163,99.94,99.94,99.94,0.0,Matched,2.0,Y
SI9163921,PO-31173,RCV-40164,2639.8,2639.8,2639.8,0.0,Matched,2.0,Y
9753446,PO-31174,RCV-40165,1719.48,1719.48,1719.48,0.0,Matched,2.0,Y
9531385,PO-31175,RCV-40166,15326.06,15326.06,15326.06,0.0,Matched,2.0,Y
98583679,PO-31176,RCV-40167,5350.0,5350.0,5350.0,0.0,Matched,2.0,Y
2509053,PO-31177,RCV-40168,11942.0,11942.0,11942.0,0.0,Matched,2.0,Y
SI6682578,PO-31178,RCV-40169,279.48,279.48,279.48,0.0,Matched,2.0,Y
7786573,PO-31179,RCV-40170,7574.07,7574.07,7623.21,49.14,Price variance,2.0,Y
INV9625346,PO-31180,RCV-40171,16767.2,16767.2,16767.2,0.0,Matched,2.0,Y
INV6283473,PO-31181,RCV-40172,17020.5,17020.5,17020.5,0.0,Matched,2.0,Y
INV3323362,PO-31182,RCV-40173,84.2,42.1,42.1,0.0,Matched,2.0,Y
INV183023,PO-31183,RCV-40174,8877.0,8877.0,8877.0,0.0,Matched,2.0,Y
INV2937891,PO-31184,RCV-40175,25.08,25.08,25.08,0.0,Matched,2.0,Y
SI1904120,PO-31185,RCV-40176,11942.0,11942.0,11942.0,0.0,Matched,2.0,Y
INV4647621,PO-31186,RCV-40177,32704.56,32704.56,32704.56,0.0,Matched,2.0,Y
7110649,PO-31187,RCV-40178,3375.2,3375.2,3375.2,0.0,Matched,2.0,Y
97725486,PO-31188,RCV-40179,436.24,436.24,436.24,0.0,Matched,2.0,Y
99669115,PO-31189,RCV-40180,3309.6,3309.6,3309.6,0.0,Matched,2.0,Y
SI4268072,PO-31190,RCV-40181,519.75,519.75,519.75,0.0,Matched,2.0,Y
131082,PO-31191,RCV-40182,1275.0,1275.0,1275.0,0.0,Matched,2.0,Y
INV8024555,PO-31192,RCV-40183,320611.02,320611.02,320611.02,0.0,Matched,2.0,Y
INV1425654,PO-31193,RCV-40184,1141.45,1141.45,1141.45,0.0,Matched,2.0,Y
2572925,PO-31194,RCV-40185,4989.35,4989.35,4989.35,0.0,Matched,2.0,Y
93058235,PO-31195,RCV-40186,290.76,290.76,299.52,8.76,Price variance,2.0,N
4617623,PO-31196,RCV-40187,8992.68,8992.68,8992.68,0.0,Matched,2.0,Y
SI8745663,PO-31198,RCV-40188,270.32,270.32,270.32,0.0,Matched,2.0,Y
SI8342819,PO-31199,RCV-40189,2010.28,2010.28,2010.28,0.0,Matched,2.0,Y
98845131,PO-31200,RCV-40190,4018.77,4018.77,4018.77,0.0,Matched,2.0,Y
8260079,PO-31201,RCV-40191,575.0,575.0,575.0,0.0,Matched,2.0,Y
SI9885817,PO-31202,RCV-40192,8552.95,8552.95,8552.95,0.0,Matched,2.0,Y
SI3569738,PO-31203,RCV-40193,2561.0,2561.0,2561.0,0.0,Matched,2.0,Y
8107540,PO-31204,RCV-40194,2052.5,2052.5,2052.5,0.0,Matched,2.0,Y
8799739,PO-31205,RCV-40195,5014.9,5014.9,5014.9,0.0,Matched,2.0,Y
92967701,PO-31206,RCV-40196,894411.72,894411.72,894411.72,0.0,Matched,2.0,Y
92095316,PO-31207,RCV-40197,497.2,497.2,497.2,0.0,Matched,2.0,Y
INV4712284,PO-31208,RCV-40198,666.02,666.02,666.02,0.0,Matched,2.0,Y
INV636475,PO-31209,RCV-40199,8929.8,8929.8,8929.8,0.0,Matched,2.0,Y
SI629919,PO-31210,RCV-40200,27401.96,27401.96,27401.96,0.0,Matched,2.0,Y
SI5797069,PO-31211,RCV-40201,2333.31,2333.31,2333.31,0.0,Matched,2.0,Y
98738245,PO-31212,RCV-40202,12248.5,12248.5,12248.5,0.0,Matched,2.0,Y
INV4203567,PO-31213,RCV-40203,760.0,760.0,760.0,0.0,Matched,2.0,Y
SI1016405,PO-31214,RCV-40204,3125.0,3125.0,3125.0,0.0,Matched,2.0,Y
5015556,PO-31215,RCV-40205,7573.31,7573.31,7573.31,0.0,Matched,2.0,Y
INV8045928,PO-31216,RCV-40206,6770.88,6770.88,6899.65,128.77,Price variance,2.0,Y
INV4728054,PO-31217,RCV-40207,3109.58,3109.58,3109.58,0.0,Matched,2.0,Y
INV5616204,PO-31218,RCV-40208,64.28,64.28,64.28,0.0,Matched,2.0,Y
93331535,PO-31219,RCV-40209,3263.0,3263.0,3263.0,0.0,Matched,2.0,Y
INV1365800,PO-31220,RCV-40210,1193.48,1193.48,1193.48,0.0,Matched,2.0,Y
SI2169966,PO-31221,RCV-40211,2400.0,2400.0,2400.0,0.0,Matched,2.0,Y
SI1258872,PO-31222,RCV-40212,3210.0,3210.0,3210.0,0.0,Matched,2.0,Y
SI225226,PO-31224,RCV-40213,7945.25,7945.25,7945.25,0.0,Matched,2.0,Y
INV2607240,PO-31225,RCV-40214,8345.87,4161.08,4161.08,0.0,Matched,2.0,Y
92893976,PO-31226,RCV-40215,602.0,602.0,602.0,0.0,Matched,2.0,Y
5366927,PO-31227,RCV-40216,19981.1,19981.1,19981.1,0.0,Matched,2.0,Y
3657413,PO-31229,RCV-40217,34274.1,34274.1,34274.1,0.0,Matched,2.0,Y
7169175,PO-31230,RCV-40218,887.5,887.5,887.5,0.0,Matched,2.0,Y
8268442,PO-31231,RCV-40219,4686.5,4686.5,4686.5,0.0,Matched,2.0,Y
SI4785499,PO-31232,RCV-40220,2994.46,2994.46,2994.46,0.0,Matched,2.0,Y
SI5597422,PO-31233,RCV-40221,9107.91,4529.86,4529.86,0.0,Matched,2.0,Y
99145401,PO-31234,RCV-40222,39.14,39.14,39.14,0.0,Matched,2.0,Y
SI1008898,PO-31235,RCV-40223,7672.82,7672.82,7672.82,0.0,Matched,2.0,Y
INV1216867,PO-31236,RCV-40224,246.0,246.0,246.0,0.0,Matched,2.0,Y
SI8806529,PO-31237,RCV-40225,207.13,207.13,207.13,0.0,Matched,2.0,Y
SI468828,PO-31238,RCV-40226,519.75,519.75,519.75,0.0,Matched,2.0,Y
INV6930678,PO-31239,RCV-40227,21738.12,21738.12,21738.12,0.0,Matched,2.0,Y
5982708,PO-31240,RCV-40228,10910.35,10910.35,10910.35,0.0,Matched,2.0,Y
INV5367363,PO-31241,RCV-40229,362.0,362.0,362.0,0.0,Matched,2.0,Y
SI4293488,PO-31242,RCV-40230,2669.4,2669.4,2669.4,0.0,Matched,2.0,Y
SI8668631,PO-31243,RCV-40231,351.88,351.88,351.88,0.0,Matched,2.0,Y
8644998,PO-31245,RCV-40232,8428.0,8428.0,8428.0,0.0,Matched,2.0,Y
SI8967692,PO-31246,RCV-40233,41.92,33.17,33.17,0.0,Matched,2.0,Y
9618166,PO-31247,RCV-40234,6698.0,6698.0,6698.0,0.0,Matched,2.0,Y
9567718,PO-31248,RCV-40235,64.28,64.28,64.28,0.0,Matched,2.0,Y
SI2597314,PO-31249,RCV-40236,18215.82,18215.82,18215.82,0.0,Matched,2.0,Y
9039846,PO-31250,RCV-40237,728.9,667.95,667.95,0.0,Matched,2.0,Y
SI5332460,PO-31251,RCV-40238,18770.51,18770.51,18777.51,7.0,Price variance,2.0,N
97467262,PO-31252,RCV-40239,8952.2,8952.2,8952.2,0.0,Matched,2.0,Y
INV8674354,PO-31253,RCV-40240,2896.52,2896.52,2989.11,92.59,Price variance,2.0,Y
270330,PO-31254,RCV-40241,116.46,116.46,116.46,0.0,Matched,2.0,Y
3598568,PO-31255,RCV-40242,4211.24,4211.24,4211.24,0.0,Matched,2.0,Y
SI6063283,PO-31256,RCV-40243,261930.9,261930.9,261930.9,0.0,Matched,2.0,Y
99280050,PO-31257,RCV-40244,7080.37,7080.37,7080.37,0.0,Matched,2.0,Y
INV6286207,PO-31258,RCV-40245,4325.0,4325.0,4325.0,0.0,Matched,2.0,Y
SI6646953,PO-31259,RCV-40246,5666.9,5666.9,5666.9,0.0,Matched,2.0,Y
SI644656,PO-31260,RCV-40247,44.16,44.16,44.16,0.0,Matched,2.0,Y
