supplier_invoice_number,po_number,po_line,item_id,invoiced_qty,unit_price,extended
INV6541915,PO-31127,3,P-20048,100,55.620000000000005,5562.0
3315451,PO-31128,1,P-20088,46,12.5,575.0
3315451,PO-31128,2,P-20088,46,12.5,575.0
3315451,PO-31128,3,P-20088,10,12.5,125.0
3315451,PO-31128,4,P-20088,50,12.5,625.0
SI5919416,PO-31129,1,P-20028,26,39.64,1030.64
92145940,PO-31130,1,P-20021,250,23.78,5945.0
92145940,PO-31130,3,P-20021,28,23.78,665.84
SI5886563,PO-31131,1,P-20046,109,13.76,1499.84
SI5886563,PO-31131,2,P-20046,109,13.76,1499.84
INV4307492,PO-31132,1,P-20080,25,11.25,281.25
INV4307492,PO-31132,2,P-20046,250,13.76,3440.0
INV4307492,PO-31132,3,P-20000,10,55.43,554.3
INV4307492,PO-31132,4,P-20080,20,11.25,225.0
SI7289576,PO-31133,1,P-20044,194,25.1,4869.4
4345370,PO-31134,1,P-20095,250,24.28,6070.0
4345370,PO-31134,3,P-20045,82,0.19,15.58
92310980,PO-31135,1,P-20048,25,58.96,1474.0
94962123,PO-31136,1,P-10091,139,18.62,2588.18
94962123,PO-31136,2,P-20007,156,25.82,4027.92
INV8915439,PO-31137,1,P-20099,10,0.77,7.7
INV8915439,PO-31137,2,P-20024,103,0.38,39.14
INV8915439,PO-31137,3,P-10063,100,31.0,3100.0
INV8915439,PO-31137,4,P-20029,250,0.71,177.5
SI7889822,PO-31138,1,P-20088,100,12.5,1250.0
SI7889822,PO-31138,2,P-20088,46,12.5,575.0
SI7889822,PO-31138,3,P-20088,46,12.5,575.0
SI7889822,PO-31138,4,P-20088,250,12.5,3125.0
91932295,PO-31139,1,P-20049,25,6.0200000000000005,150.5
91932295,PO-31139,2,P-20084,164,14.89,2441.96
9832979,PO-31140,1,P-20035,25,12.200000000000001,305.0
9832979,PO-31140,2,P-20081,126,19.19,2417.94
4280659,PO-31141,1,P-10105,80,0.94,75.2
4280659,PO-31141,2,P-10098,50,0.68,34.0
9190768,PO-31142,1,P-20088,10,12.5,125.0
9190768,PO-31142,2,P-20088,10,12.5,125.0
INV2867870,PO-31143,1,P-10049,168,9.85,1654.8
INV2867870,PO-31143,2,P-10070,165,3.15,519.75
INV2867870,PO-31143,3,P-10049,168,9.85,1654.8
7159705,PO-31144,1,P-20026,10,0.63,6.3
7159705,PO-31144,2,P-20119,13,8.11,105.43
SI3661724,PO-31145,1,P-20088,46,12.5,575.0
SI3661724,PO-31145,2,P-20088,50,13.12,656.0
SI3661724,PO-31145,3,P-20088,100,12.5,1250.0
INV1794858,PO-31146,1,P-10049,168,9.85,1654.8
INV1794858,PO-31146,2,P-10049,168,9.85,1654.8
INV1794858,PO-31146,3,P-10070,100,3.21,321.0
SI2440693,PO-31148,1,P-20067,146,20.51,2994.46
92342777,PO-31149,1,P-10049,168,9.85,1654.8
92342777,PO-31149,2,P-10049,168,9.84,1653.12
92459026,PO-31150,1,P-10035,193,21.4,4130.2
94179131,PO-31151,1,P-20117,79,27.150000000000002,2144.85
94179131,PO-31151,2,P-20075,100,14.48,1448.0
INV7656742,PO-31152,1,P-20067,146,20.51,2994.46
INV7656742,PO-31152,2,P-20116,115,0.1,11.5
INV7656742,PO-31152,3,P-20116,115,0.1,11.5
INV7656742,PO-31152,4,P-20067,146,20.51,2994.46
INV1586204,PO-31153,1,P-20056,112,0.35000000000000003,39.2
INV1586204,PO-31153,2,P-20117,79,27.150000000000002,2144.85
INV1586204,PO-31153,3,P-20079,66,0.39,25.74
INV1586204,PO-31153,4,P-20079,66,0.38,25.08
6734166,PO-31154,2,P-10105,80,0.94,75.2
SI3687653,PO-31155,2,P-20055,93,35.27,3280.11
SI3687653,PO-31155,3,P-20079,66,0.38,25.08
97118396,PO-31156,1,P-20059,250,9.370000000000001,2342.5
97118396,PO-31156,2,P-20059,25,9.370000000000001,234.25
9295188,PO-31157,1,P-20035,500,12.200000000000001,6100.0
2819564,PO-31158,2,P-10049,10,9.95,99.5
2819564,PO-31158,3,P-10049,250,9.85,2462.5
INV8628655,PO-31159,1,P-20103,50,17.330000000000002,866.5
INV4597068,PO-31160,2,P-20032,100,48.19,4819.0
INV4597068,PO-31160,3,P-20118,16,13.91,222.56
INV7755295,PO-31161,1,P-20075,72,14.48,1042.56
8099990,PO-31162,1,P-20000,42,55.43,2328.06
INV1646354,PO-31163,1,P-10077,281,27.8,7811.8
INV1646354,PO-31163,2,P-10077,281,28.91,8123.71
INV1646354,PO-31163,3,P-10035,250,21.4,5350.0
INV7471162,PO-31164,1,P-20099,250,0.77,192.5
INV7471162,PO-31164,2,P-20099,19,0.77,14.63
SI1220396,PO-31165,1,P-10105,50,0.94,47.0
SI1220396,PO-31165,2,P-10105,10,0.94,9.4
4296062,PO-31166,1,P-20080,20,11.25,225.0
4296062,PO-31166,2,P-20052,31,10.7,331.7
93112313,PO-31167,1,P-10077,281,27.8,7811.8
93112313,PO-31167,2,P-10035,100,21.4,2140.0
93112313,PO-31167,3,P-10035,10,21.4,214.0
93112313,PO-31167,4,P-10077,281,27.8,7811.8
6667389,PO-31168,1,P-20088,46,13.12,603.52
96533985,PO-31169,1,P-10070,25,3.15,78.75
96533985,PO-31169,2,P-10049,25,9.85,246.25
9948635,PO-31170,2,P-20062,197,19.71,3882.87
INV6956676,PO-31171,1,P-20046,250,13.76,3440.0
INV6956676,PO-31171,2,P-20046,109,13.76,1499.84
6802601,PO-31172,1,P-20056,112,0.35000000000000003,39.2
6802601,PO-31172,2,P-20079,66,0.39,25.74
6802601,PO-31172,3,P-20056,100,0.35000000000000003,35.0
SI9163921,PO-31173,1,P-10049,168,9.85,1654.8
SI9163921,PO-31173,2,P-10049,100,9.85,985.0
9753446,PO-31174,1,P-20088,46,12.5,575.0
9753446,PO-31174,2,P-20088,46,12.38,569.48
9753446,PO-31174,3,P-20088,46,12.5,575.0
9531385,PO-31175,1,P-20111,500,23.71,11855.0
9531385,PO-31175,2,P-20060,123,28.22,3471.06
98583679,PO-31176,1,P-10035,250,21.4,5350.0
2509053,PO-31177,1,P-10035,193,21.4,4130.2
2509053,PO-31177,2,P-10077,281,27.8,7811.8
SI6682578,PO-31178,1,P-20083,137,1.02,139.74
SI6682578,PO-31178,2,P-20083,137,1.02,139.74
7786573,PO-31179,1,P-10042,84,28.5,2394.0
7786573,PO-31179,2,P-20035,25,12.81,320.25
7786573,PO-31179,3,P-10042,84,28.5,2394.0
7786573,PO-31179,4,P-20081,126,19.96,2514.96
INV9625346,PO-31180,1,P-10077,281,27.8,7811.8
INV9625346,PO-31180,2,P-10077,25,27.8,695.0
INV9625346,PO-31180,3,P-10035,193,21.4,4130.2
INV9625346,PO-31180,4,P-10035,193,21.4,4130.2
INV6283473,PO-31181,1,P-20105,25,81.05,2026.25
INV6283473,PO-31181,3,P-20105,185,81.05,14994.25
INV3323362,PO-31182,1,P-20027,5,8.42,42.1
INV183023,PO-31183,1,P-20032,50,48.19,2409.5
INV183023,PO-31183,2,P-20018,250,25.87,6467.5
INV2937891,PO-31184,1,P-20079,66,0.38,25.08
SI1904120,PO-31185,1,P-10077,281,27.8,7811.8
SI1904120,PO-31185,2,P-10035,193,21.4,4130.2
INV4647621,PO-31186,1,P-20048,500,55.620000000000005,27810.0
INV4647621,PO-31186,2,P-20048,88,55.620000000000005,4894.56
7110649,PO-31187,1,P-10049,168,10.15,1705.2
7110649,PO-31187,2,P-10070,500,3.34,1670.0
97725486,PO-31188,1,P-20054,191,0.48,91.68
97725486,PO-31188,2,P-20069,73,4.72,344.56
99669115,PO-31189,1,P-10049,168,9.85,1654.8
99669115,PO-31189,2,P-10049,168,9.85,1654.8
SI4268072,PO-31190,1,P-10070,165,3.15,519.75
131082,PO-31191,1,P-20088,46,12.5,575.0
131082,PO-31191,2,P-20088,46,12.5,575.0
131082,PO-31191,3,P-20088,10,12.5,125.0
INV8024555,PO-31192,1,P-20083,137,1.02,139.74
INV8024555,PO-31192,2,P-10007,10,11.8,118.0
INV8024555,PO-31192,3,P-10028,250,1265.0,316250.0
INV8024555,PO-31192,4,P-10007,328,12.51,4103.28
INV1425654,PO-31193,1,P-20089,10,14.19,141.9
INV1425654,PO-31193,2,P-20103,10,17.330000000000002,173.3
INV1425654,PO-31193,3,P-20015,25,5.31,132.75
INV1425654,PO-31193,4,P-20041,50,13.870000000000001,693.5
2572925,PO-31194,1,P-20023,25,28.060000000000002,701.5
2572925,PO-31194,2,P-20084,164,14.89,2441.96
2572925,PO-31194,3,P-20059,197,9.370000000000001,1845.89
93058235,PO-31195,1,P-10105,80,0.94,75.2
93058235,PO-31195,2,P-10098,292,0.71,207.32
93058235,PO-31195,3,P-10098,25,0.68,17.0
4617623,PO-31196,1,P-20112,250,26.88,6720.0
4617623,PO-31196,2,P-20050,177,12.84,2272.68
SI8745663,PO-31198,1,P-10098,292,0.66,192.72
SI8745663,PO-31198,3,P-10105,80,0.97,77.6
SI8342819,PO-31199,1,P-20103,116,17.330000000000002,2010.28
98845131,PO-31200,1,P-20018,27,26.39,712.53
98845131,PO-31200,2,P-20060,123,26.88,3306.24
8260079,PO-31201,1,P-20088,46,12.5,575.0
SI9885817,PO-31202,1,P-20014,52,20.71,1076.92
SI9885817,PO-31202,2,P-20014,52,20.71,1076.92
SI9885817,PO-31202,3,P-20019,50,12.65,632.5
SI9885817,PO-31202,4,P-20100,157,36.730000000000004,5766.61
SI3569738,PO-31203,1,P-10049,250,9.85,2462.5
SI3569738,PO-31203,2,P-10049,10,9.85,98.5
8107540,PO-31204,1,P-20044,25,25.1,627.5
8107540,PO-31204,2,P-10042,50,28.5,1425.0
8799739,PO-31205,1,P-20062,100,18.77,1877.0
8799739,PO-31205,2,P-20062,10,18.77,187.7
8799739,PO-31205,3,P-20109,149,9.8,1460.2
8799739,PO-31205,4,P-20109,149,10.0,1490.0
92967701,PO-31206,1,P-20011,128,5.14,657.92
92967701,PO-31206,2,P-10028,203,1265.0,256795.0
92967701,PO-31206,3,P-10028,500,1265.0,632500.0
92967701,PO-31206,4,P-20104,157,28.4,4458.8
92095316,PO-31207,1,P-20042,10,49.72,497.2
INV4712284,PO-31208,1,P-20054,191,0.48,91.68
INV4712284,PO-31208,2,P-20054,500,0.48,240.0
INV4712284,PO-31208,3,P-20069,73,4.58,334.34
INV636475,PO-31209,1,P-10056,50,24.6,1230.0
INV636475,PO-31209,2,P-10056,313,24.6,7699.8
SI629919,PO-31210,1,P-10084,25,38.4,960.0
SI629919,PO-31210,2,P-10084,500,38.4,19200.0
SI629919,PO-31210,3,P-10091,250,19.2,4800.0
SI629919,PO-31210,4,P-20084,164,14.89,2441.96
SI5797069,PO-31211,1,P-20064,42,0.7000000000000001,29.4
SI5797069,PO-31211,2,P-20037,189,12.19,2303.91
98738245,PO-31212,1,P-20067,146,20.51,2994.46
98738245,PO-31212,2,P-20017,11,84.28,927.08
98738245,PO-31212,3,P-20067,146,20.51,2994.46
98738245,PO-31212,4,P-20067,250,21.33,5332.5
INV4203567,PO-31213,1,P-20083,500,1.02,510.0
INV4203567,PO-31213,2,P-20083,250,1.0,250.0
SI1016405,PO-31214,1,P-20088,250,12.5,3125.0
5015556,PO-31215,1,P-20117,79,27.150000000000002,2144.85
5015556,PO-31215,2,P-20117,79,27.150000000000002,2144.85
5015556,PO-31215,3,P-20055,93,35.27,3280.11
5015556,PO-31215,4,P-20056,10,0.35000000000000003,3.5
INV8045928,PO-31216,1,P-10021,250,14.2,3550.0
INV8045928,PO-31216,2,P-20074,163,20.55,3349.65
INV4728054,PO-31217,1,P-20023,50,28.060000000000002,1403.0
