asn_id,po_number,supplier_id,ship_date,carrier,tracking_number,cartons,weight_lb
ASN-PO-31125,PO-31125,NIC-V012,2026-02-04,Will Call,987631272152,8,97
ASN-PO-31127,PO-31127,NIC-V003,2025-08-23,Will Call,615462608283,5,83
ASN-PO-31128,PO-31128,NIC-V014,2025-08-28,Will Call,952653235331,7,84
ASN-PO-31129,PO-31129,NIC-V010,2026-03-15,LTL - Estes,293167442407,12,433
ASN-PO-31130,PO-31130,NIC-V001,2026-03-30,LTL - Estes,616620878811,1,658
ASN-PO-31133,PO-31133,NIC-V010,2026-02-17,Will Call,896958487611,7,116
ASN-PO-31134,PO-31134,NIC-V007,2026-01-24,Supplier Truck,519885191426,5,37
ASN-PO-31135,PO-31135,NIC-V003,2026-01-30,Supplier Truck,340110721927,6,885
ASN-PO-31137,PO-31137,NIC-V017,2025-10-27,FedEx Ground,609311251244,9,142
ASN-PO-31139,PO-31139,NIC-V002,2025-04-28,LTL - Estes,940692477609,4,591
ASN-PO-31140,PO-31140,NIC-V010,2025-07-07,FedEx Ground,312517526906,9,211
ASN-PO-31141,PO-31141,NIC-V015,2025-04-20,Supplier Truck,933685294506,7,638
ASN-PO-31144,PO-31144,NIC-V005,2026-03-08,Will Call,187784186060,11,868
ASN-PO-31145,PO-31145,NIC-V014,2025-11-18,Will Call,106678715807,11,104
ASN-PO-31148,PO-31148,NIC-V005,2025-07-31,Will Call,202757230463,11,694
ASN-PO-31150,PO-31150,NIC-V018,2025-12-02,FedEx Ground,707622575126,12,594
ASN-PO-31151,PO-31151,NIC-V016,2026-02-12,LTL - Estes,834446336947,4,345
ASN-PO-31153,PO-31153,NIC-V016,2026-03-17,Will Call,551326060626,5,192
ASN-PO-31154,PO-31154,NIC-V015,2026-03-15,Supplier Truck,795455331189,6,470
ASN-PO-31156,PO-31156,NIC-V002,2025-10-24,Supplier Truck,347035333344,1,430
ASN-PO-31157,PO-31157,NIC-V010,2025-12-17,LTL - Estes,340953105798,2,24
ASN-PO-31160,PO-31160,NIC-V008,2025-08-05,UPS Ground,1Z7314880698,12,168
ASN-PO-31161,PO-31161,NIC-V016,2025-08-30,UPS Ground,1Z5322179347,12,836
ASN-PO-31162,PO-31162,NIC-V003,2025-08-05,Will Call,969622511119,11,647
ASN-PO-31163,PO-31163,NIC-V018,2025-10-27,Will Call,675173849430,5,841
ASN-PO-31167,PO-31167,NIC-V018,2025-08-03,UPS Ground,1Z6698047131,12,263
ASN-PO-31170,PO-31170,NIC-V011,2026-03-08,Will Call,752225255906,11,35
ASN-PO-31171,PO-31171,NIC-V003,2025-11-28,LTL - Estes,405970416722,2,892
ASN-PO-31172,PO-31172,NIC-V016,2025-09-20,Will Call,176270898691,7,783
ASN-PO-31173,PO-31173,NIC-V006,2025-06-27,FedEx Ground,893846920944,4,766
ASN-PO-31176,PO-31176,NIC-V018,2025-09-15,UPS Ground,1Z4464301090,2,37
ASN-PO-31177,PO-31177,NIC-V018,2025-09-19,UPS Ground,1Z8214543936,6,23
ASN-PO-31180,PO-31180,NIC-V018,2025-06-21,FedEx Ground,690013622007,4,83
ASN-PO-31181,PO-31181,NIC-V013,2026-02-06,LTL - Estes,158961183128,2,867
ASN-PO-31183,PO-31183,NIC-V008,2025-05-24,LTL - Estes,342944938387,10,300
ASN-PO-31184,PO-31184,NIC-V016,2026-01-20,Will Call,762374442427,3,198
ASN-PO-31192,PO-31192,NIC-V012,2025-11-08,UPS Ground,1Z3783312465,6,881
ASN-PO-31193,PO-31193,NIC-V004,2025-08-20,LTL - Estes,593273932169,5,248
ASN-PO-31194,PO-31194,NIC-V002,2025-07-02,UPS Ground,1Z8132264218,4,542
ASN-PO-31196,PO-31196,NIC-V013,2025-10-18,Will Call,262311412517,8,604
ASN-PO-31199,PO-31199,NIC-V004,2026-02-06,Supplier Truck,694035831012,2,178
ASN-PO-31200,PO-31200,NIC-V008,2025-10-02,UPS Ground,1Z4826269267,11,821
ASN-PO-31204,PO-31204,NIC-V010,2025-11-06,Supplier Truck,780729850246,6,593
ASN-PO-31205,PO-31205,NIC-V011,2025-05-07,FedEx Ground,820844892611,8,118
ASN-PO-31206,PO-31206,NIC-V012,2025-08-16,Supplier Truck,712974694295,6,330
ASN-PO-31208,PO-31208,NIC-V001,2025-09-15,Supplier Truck,136708914804,2,804
ASN-PO-31209,PO-31209,NIC-V017,2025-06-11,UPS Ground,1Z2392281107,8,9
ASN-PO-31210,PO-31210,NIC-V002,2026-02-08,Supplier Truck,131425437330,7,534
ASN-PO-31211,PO-31211,NIC-V007,2026-03-03,Supplier Truck,886968219481,9,106
ASN-PO-31212,PO-31212,NIC-V005,2026-01-01,LTL - Estes,997153776505,3,41
ASN-PO-31215,PO-31215,NIC-V016,2026-01-08,FedEx Ground,866266381990,7,750
ASN-PO-31219,PO-31219,NIC-V004,2026-01-02,FedEx Ground,364491672027,7,46
ASN-PO-31220,PO-31220,NIC-V010,2025-11-19,Supplier Truck,228666852611,11,649
ASN-PO-31221,PO-31221,NIC-V014,2025-06-24,UPS Ground,1Z7407042034,9,832
ASN-PO-31224,PO-31224,NIC-V017,2025-12-24,FedEx Ground,300794869186,12,603
ASN-PO-31225,PO-31225,NIC-V008,2026-03-29,FedEx Ground,869592257103,3,855
ASN-PO-31226,PO-31226,NIC-V002,2025-09-05,Supplier Truck,263408056182,8,826
ASN-PO-31230,PO-31230,NIC-V014,2025-05-19,UPS Ground,1Z7511211069,7,646
ASN-PO-31231,PO-31231,NIC-V003,2025-10-30,UPS Ground,1Z5438073764,8,468
ASN-PO-31232,PO-31232,NIC-V005,2026-01-09,FedEx Ground,750943237790,8,682
ASN-PO-31235,PO-31235,NIC-V007,2026-03-16,UPS Ground,1Z4228403042,12,38
ASN-PO-31236,PO-31236,NIC-V017,2025-07-12,FedEx Ground,988398142396,12,186
ASN-PO-31237,PO-31237,NIC-V017,2025-12-22,FedEx Ground,586754884149,9,745
ASN-PO-31238,PO-31238,NIC-V006,2026-02-01,FedEx Ground,958140388646,7,700
ASN-PO-31239,PO-31239,NIC-V011,2025-07-09,UPS Ground,1Z9586867278,4,68
ASN-PO-31240,PO-31240,NIC-V009,2025-05-20,UPS Ground,1Z8478853286,10,30
ASN-PO-31241,PO-31241,NIC-V015,2026-01-22,LTL - Estes,698560182689,3,319
ASN-PO-31243,PO-31243,NIC-V015,2025-10-11,Supplier Truck,609181061723,11,335
ASN-PO-31245,PO-31245,NIC-V005,2025-05-12,Supplier Truck,723908695672,6,751
ASN-PO-31246,PO-31246,NIC-V016,2026-03-22,Supplier Truck,478632420968,4,314
ASN-PO-31248,PO-31248,NIC-V016,2025-08-11,Will Call,775090793290,7,428
ASN-PO-31249,PO-31249,NIC-V008,2025-04-14,FedEx Ground,301556054088,11,49
ASN-PO-31251,PO-31251,NIC-V018,2026-01-31,Will Call,130782781396,3,44
ASN-PO-31252,PO-31252,NIC-V004,2025-09-03,UPS Ground,1Z9560095836,1,283
ASN-PO-31253,PO-31253,NIC-V002,2025-05-01,UPS Ground,1Z6503922781,6,565
ASN-PO-31254,PO-31254,NIC-V007,2025-12-02,Supplier Truck,379905664271,5,855
ASN-PO-31255,PO-31255,NIC-V005,2026-02-24,Supplier Truck,848710326641,2,356
ASN-PO-31256,PO-31256,NIC-V012,2026-02-15,Will Call,789659919738,11,32
ASN-PO-31257,PO-31257,NIC-V008,2026-01-02,Will Call,447502229765,9,73
ASN-PO-31258,PO-31258,NIC-V014,2025-10-10,FedEx Ground,796853297275,10,384
