receipt_id,po_number,supplier_id,receipt_date,received_by,packing_slip_number,carrier,condition,inspection_required
RCV-40023,PO-31023,NIC-V010,2025-10-26,E103,PS598280,FedEx Ground,Short vs packing slip,Y
RCV-40024,PO-31024,NIC-V009,2025-11-25,E080,PS686070,UPS Ground,OK,N
RCV-40025,PO-31025,NIC-V006,2025-05-01,E076,PS178900,Supplier Truck,OK,N
RCV-40026,PO-31026,NIC-V010,2025-06-03,E104,PS319362,Will Call,Damaged carton - contents OK,N
RCV-40027,PO-31027,NIC-V008,2025-06-04,E079,PS836938,Supplier Truck,Damaged carton - contents OK,Y
RCV-40028,PO-31028,NIC-V009,2025-12-30,E081,PS933197,Supplier Truck,OK,N
RCV-40029,PO-31029,NIC-V006,2025-07-02,E077,PS947302,FedEx Ground,Damaged carton - contents OK,N
RCV-40030,PO-31030,NIC-V016,2026-02-18,E106,PS756143,LTL - Estes,OK,N
RCV-40031,PO-31031,NIC-V002,2026-03-22,E076,PS103388,LTL - Estes,OK,Y
RCV-40032,PO-31032,NIC-V004,2025-10-13,E105,PS472801,LTL - Estes,OK,N
RCV-40033,PO-31033,NIC-V013,2026-02-09,E078,PS279060,UPS Ground,Short vs packing slip,N
RCV-40034,PO-31034,NIC-V003,2025-06-27,E100,PS880265,FedEx Ground,OK,N
RCV-40035,PO-31035,NIC-V009,2025-10-28,E101,PS503255,FedEx Ground,OK,N
RCV-40036,PO-31036,NIC-V005,2025-09-03,E082,PS196159,LTL - Estes,Damaged carton - contents OK,N
RCV-40037,PO-31037,NIC-V009,2025-08-23,E102,PS617449,LTL - Estes,OK,N
RCV-40038,PO-31038,NIC-V010,2025-08-11,E102,PS316033,FedEx Ground,OK,N
RCV-40039,PO-31039,NIC-V011,2025-08-13,E100,PS106114,LTL - Estes,OK,N
RCV-40040,PO-31040,NIC-V001,2025-08-25,E105,PS129551,LTL - Estes,OK,N
RCV-40041,PO-31041,NIC-V013,2026-02-19,E100,PS321616,FedEx Ground,OK,N
RCV-40042,PO-31042,NIC-V018,2025-07-02,E079,PS951531,Supplier Truck,OK,Y
RCV-40043,PO-31043,NIC-V011,2025-10-10,E106,PS233637,Will Call,OK,Y
RCV-40044,PO-31044,NIC-V007,2025-09-30,E102,PS669759,Will Call,Short vs packing slip,N
RCV-40045,PO-31045,NIC-V004,2025-08-23,E105,PS260577,LTL - Estes,OK,N
RCV-40046,PO-31046,NIC-V004,2026-03-20,E076,PS587279,Supplier Truck,OK,Y
RCV-40047,PO-31047,NIC-V001,2026-03-18,E102,PS952304,UPS Ground,Short vs packing slip,N
RCV-40048,PO-31048,NIC-V003,2026-03-15,E102,PS480133,FedEx Ground,Damaged carton - contents OK,Y
RCV-40049,PO-31049,NIC-V004,2025-06-23,E100,PS246931,FedEx Ground,OK,N
RCV-40050,PO-31050,NIC-V007,2026-02-10,E102,PS349359,UPS Ground,Damaged carton - contents OK,Y
RCV-40051,PO-31051,NIC-V006,2025-12-26,E103,PS236663,FedEx Ground,OK,N
RCV-40052,PO-31052,NIC-V006,2025-06-28,E105,PS801231,UPS Ground,OK,N
RCV-40053,PO-31053,NIC-V003,2025-09-30,E106,PS655423,Supplier Truck,OK,Y
RCV-40054,PO-31055,NIC-V007,2025-08-11,E080,PS313759,Will Call,OK,Y
RCV-40055,PO-31056,NIC-V016,2026-02-18,E076,PS792499,Will Call,Short vs packing slip,N
RCV-40056,PO-31057,NIC-V009,2025-12-28,E079,PS638294,Will Call,OK,N
RCV-40057,PO-31058,NIC-V016,2026-01-29,E102,PS145909,LTL - Estes,Short vs packing slip,N
RCV-40058,PO-31059,NIC-V015,2026-03-05,E103,PS882806,UPS Ground,OK,N
RCV-40059,PO-31060,NIC-V010,2025-10-28,E103,PS369166,UPS Ground,OK,N
RCV-40060,PO-31061,NIC-V014,2026-03-31,E102,PS306387,Supplier Truck,OK,N
RCV-40061,PO-31063,NIC-V018,2026-01-05,E103,PS353059,FedEx Ground,OK,N
RCV-40062,PO-31064,NIC-V010,2025-12-06,E101,PS448386,LTL - Estes,OK,N
RCV-40063,PO-31065,NIC-V018,2025-05-02,E106,PS749607,Will Call,Damaged carton - contents OK,N
RCV-40064,PO-31066,NIC-V008,2026-03-31,E101,PS679028,Supplier Truck,OK,N
RCV-40065,PO-31067,NIC-V015,2025-08-21,E078,PS665474,FedEx Ground,OK,N
RCV-40066,PO-31068,NIC-V017,2025-12-05,E076,PS220611,Supplier Truck,OK,N
RCV-40067,PO-31069,NIC-V013,2025-12-02,E083,PS955496,Supplier Truck,OK,Y
RCV-40068,PO-31070,NIC-V010,2026-03-25,E080,PS725520,UPS Ground,Short vs packing slip,N
RCV-40069,PO-31071,NIC-V013,2025-07-07,E083,PS643449,LTL - Estes,OK,N
RCV-40070,PO-31072,NIC-V002,2025-05-06,E102,PS656159,Supplier Truck,OK,Y
RCV-40071,PO-31073,NIC-V008,2025-07-26,E105,PS778630,Supplier Truck,Short vs packing slip,Y
RCV-40072,PO-31074,NIC-V010,2025-05-09,E076,PS718463,Will Call,Damaged carton - contents OK,N
RCV-40073,PO-31075,NIC-V012,2025-09-21,E105,PS169646,Supplier Truck,OK,N
RCV-40074,PO-31077,NIC-V005,2025-07-29,E099,PS600361,UPS Ground,OK,N
RCV-40075,PO-31078,NIC-V017,2025-09-25,E106,PS336789,LTL - Estes,OK,N
RCV-40076,PO-31079,NIC-V015,2025-04-27,E106,PS108626,UPS Ground,OK,N
RCV-40077,PO-31080,NIC-V003,2025-09-18,E080,PS481271,Will Call,Damaged carton - contents OK,N
RCV-40078,PO-31082,NIC-V012,2025-10-04,E079,PS980471,FedEx Ground,OK,N
RCV-40079,PO-31083,NIC-V008,2025-05-05,E078,PS930966,Will Call,OK,Y
RCV-40080,PO-31085,NIC-V018,2025-10-02,E078,PS795309,FedEx Ground,Short vs packing slip,Y
RCV-40081,PO-31086,NIC-V011,2025-05-24,E101,PS377034,FedEx Ground,OK,N
RCV-40082,PO-31087,NIC-V010,2026-01-29,E104,PS367065,Supplier Truck,OK,N
RCV-40083,PO-31088,NIC-V008,2026-02-18,E105,PS455237,Will Call,OK,N
RCV-40084,PO-31089,NIC-V005,2026-02-17,E105,PS514994,FedEx Ground,Short vs packing slip,N
RCV-40085,PO-31090,NIC-V016,2025-07-23,E105,PS680394,FedEx Ground,OK,N
RCV-40086,PO-31091,NIC-V015,2026-01-16,E106,PS847376,UPS Ground,OK,N
RCV-40087,PO-31092,NIC-V017,2025-09-23,E081,PS463932,Will Call,Short vs packing slip,Y
RCV-40088,PO-31093,NIC-V003,2025-08-20,E099,PS542201,FedEx Ground,OK,N
RCV-40089,PO-31094,NIC-V001,2026-02-21,E080,PS650561,FedEx Ground,Damaged carton - contents OK,N
RCV-40090,PO-31095,NIC-V010,2026-03-28,E078,PS517673,Will Call,OK,N
RCV-40091,PO-31096,NIC-V017,2025-06-28,E101,PS825858,Will Call,OK,N
RCV-40092,PO-31097,NIC-V009,2025-09-11,E103,PS228677,FedEx Ground,OK,N
RCV-40093,PO-31098,NIC-V013,2026-01-31,E104,PS229588,Supplier Truck,OK,Y
RCV-40094,PO-31099,NIC-V017,2025-05-28,E106,PS383974,Supplier Truck,Damaged carton - contents OK,N
RCV-40095,PO-31100,NIC-V018,2025-04-20,E100,PS897076,Will Call,OK,Y
RCV-40096,PO-31101,NIC-V007,2025-11-28,E102,PS189957,UPS Ground,Short vs packing slip,N
RCV-40097,PO-31102,NIC-V004,2025-05-17,E079,PS990324,Supplier Truck,OK,N
RCV-40098,PO-31103,NIC-V016,2025-11-24,E104,PS490639,Will Call,Short vs packing slip,N
RCV-40099,PO-31104,NIC-V004,2026-01-14,E076,PS704827,LTL - Estes,OK,N
RCV-40100,PO-31105,NIC-V003,2026-03-05,E103,PS914134,FedEx Ground,OK,N
RCV-40101,PO-31106,NIC-V005,2025-12-18,E079,PS459608,Supplier Truck,Short vs packing slip,N
RCV-40102,PO-31107,NIC-V005,2026-03-31,E083,PS504550,UPS Ground,OK,Y
RCV-40103,PO-31110,NIC-V015,2025-07-29,E099,PS697260,Will Call,Damaged carton - contents OK,N
RCV-40104,PO-31111,NIC-V009,2025-09-20,E101,PS163591,Will Call,OK,Y
RCV-40105,PO-31112,NIC-V002,2025-11-28,E103,PS711204,LTL - Estes,OK,N
RCV-40106,PO-31113,NIC-V016,2025-10-01,E079,PS892477,Will Call,Damaged carton - contents OK,N
RCV-40107,PO-31115,NIC-V007,2025-06-21,E103,PS478970,UPS Ground,Damaged carton - contents OK,N
RCV-40108,PO-31116,NIC-V004,2026-01-31,E099,PS697780,LTL - Estes,Damaged carton - contents OK,N
RCV-40109,PO-31117,NIC-V005,2025-06-19,E105,PS301016,Will Call,OK,Y
RCV-40110,PO-31118,NIC-V005,2025-11-06,E078,PS827537,UPS Ground,Short vs packing slip,N
RCV-40111,PO-31119,NIC-V006,2025-04-26,E105,PS748671,LTL - Estes,OK,N
RCV-40112,PO-31120,NIC-V018,2025-04-24,E082,PS441976,UPS Ground,OK,N
RCV-40113,PO-31121,NIC-V011,2025-09-18,E082,PS360393,Will Call,Damaged carton - contents OK,Y
RCV-40114,PO-31122,NIC-V005,2025-10-11,E099,PS436514,LTL - Estes,OK,Y
RCV-40115,PO-31123,NIC-V002,2025-06-05,E076,PS406767,Will Call,Short vs packing slip,N
RCV-40116,PO-31124,NIC-V012,2025-08-21,E082,PS674723,LTL - Estes,OK,Y
RCV-40117,PO-31125,NIC-V012,2026-02-07,E080,PS435265,Will Call,OK,Y
RCV-40118,PO-31126,NIC-V010,2025-10-04,E105,PS360520,Will Call,OK,N
RCV-40119,PO-31127,NIC-V003,2025-08-26,E078,PS262104,Will Call,Damaged carton - contents OK,N
RCV-40120,PO-31128,NIC-V014,2025-08-30,E099,PS312994,Will Call,OK,N
RCV-40121,PO-31129,NIC-V010,2026-03-16,E099,PS690043,LTL - Estes,Damaged carton - contents OK,N
RCV-40122,PO-31130,NIC-V001,2026-03-31,E099,PS730437,LTL - Estes,OK,N
RCV-40123,PO-31131,NIC-V003,2025-05-30,E101,PS759929,Will Call,OK,Y
RCV-40124,PO-31132,NIC-V003,2025-10-27,E081,PS427370,FedEx Ground,Short vs packing slip,N
RCV-40125,PO-31133,NIC-V010,2026-02-20,E099,PS875234,Will Call,Damaged carton - contents OK,N
RCV-40126,PO-31134,NIC-V007,2026-01-25,E100,PS647013,Supplier Truck,OK,Y
RCV-40127,PO-31135,NIC-V003,2026-02-03,E104,PS868533,Supplier Truck,OK,N
RCV-40128,PO-31136,NIC-V002,2025-10-23,E078,PS405678,FedEx Ground,OK,N
RCV-40129,PO-31137,NIC-V017,2025-10-31,E103,PS622899,FedEx Ground,OK,Y
RCV-40130,PO-31138,NIC-V014,2026-02-18,E106,PS918733,Supplier Truck,OK,Y
RCV-40131,PO-31139,NIC-V002,2025-04-30,E099,PS662102,LTL - Estes,OK,Y
RCV-40132,PO-31140,NIC-V010,2025-07-10,E102,PS940423,FedEx Ground,OK,N
RCV-40133,PO-31141,NIC-V015,2025-04-23,E079,PS245003,Supplier Truck,OK,N
RCV-40134,PO-31142,NIC-V014,2025-06-15,E102,PS562286,Supplier Truck,Damaged carton - contents OK,N
RCV-40135,PO-31143,NIC-V006,2025-07-20,E077,PS769787,UPS Ground,OK,Y
RCV-40136,PO-31144,NIC-V005,2026-03-11,E106,PS201104,Will Call,OK,N
RCV-40137,PO-31145,NIC-V014,2025-11-20,E077,PS169727,Will Call,Short vs packing slip,N
RCV-40138,PO-31146,NIC-V006,2025-06-18,E099,PS874134,Supplier Truck,OK,Y
RCV-40139,PO-31148,NIC-V005,2025-08-04,E105,PS511783,Will Call,OK,N
RCV-40140,PO-31149,NIC-V006,2025-11-12,E083,PS622152,UPS Ground,OK,N
RCV-40141,PO-31150,NIC-V018,2025-12-04,E076,PS776965,FedEx Ground,Short vs packing slip,Y
RCV-40142,PO-31151,NIC-V016,2026-02-13,E076,PS672014,LTL - Estes,OK,N
RCV-40143,PO-31152,NIC-V005,2025-10-17,E104,PS454885,FedEx Ground,Short vs packing slip,N
RCV-40144,PO-31153,NIC-V016,2026-03-20,E099,PS312372,Will Call,OK,Y
RCV-40145,PO-31154,NIC-V015,2026-03-18,E079,PS437687,Supplier Truck,OK,N
RCV-40146,PO-31155,NIC-V016,2026-01-15,E101,PS640168,Will Call,OK,Y
RCV-40147,PO-31156,NIC-V002,2025-10-27,E082,PS722915,Supplier Truck,OK,N
RCV-40148,PO-31157,NIC-V010,2025-12-20,E105,PS944205,LTL - Estes,OK,Y
RCV-40149,PO-31158,NIC-V006,2026-03-31,E099,PS547891,LTL - Estes,OK,N
RCV-40150,PO-31159,NIC-V004,2025-07-29,E102,PS418754,UPS Ground,Short vs packing slip,N
RCV-40151,PO-31160,NIC-V008,2025-08-06,E100,PS661642,UPS Ground,OK,N
RCV-40152,PO-31161,NIC-V016,2025-08-31,E106,PS308915,UPS Ground,Short vs packing slip,N
RCV-40153,PO-31162,NIC-V003,2025-08-08,E100,PS845517,Will Call,Short vs packing slip,Y
RCV-40154,PO-31163,NIC-V018,2025-10-28,E101,PS525775,Will Call,OK,N
RCV-40155,PO-31164,NIC-V017,2025-08-15,E077,PS482068,FedEx Ground,Damaged carton - contents OK,N
RCV-40156,PO-31165,NIC-V015,2025-09-27,E081,PS160996,Supplier Truck,OK,Y
RCV-40157,PO-31166,NIC-V003,2026-02-03,E099,PS478052,Will Call,OK,N
RCV-40158,PO-31167,NIC-V018,2025-08-04,E105,PS124202,UPS Ground,OK,N
RCV-40159,PO-31168,NIC-V014,2025-11-12,E099,PS720652,LTL - Estes,OK,N
RCV-40160,PO-31169,NIC-V006,2025-08-13,E076,PS715085,Supplier Truck,OK,Y
RCV-40161,PO-31170,NIC-V011,2026-03-11,E100,PS998556,Will Call,OK,N
RCV-40162,PO-31171,NIC-V003,2025-11-30,E082,PS397711,LTL - Estes,Damaged carton - contents OK,N
RCV-40163,PO-31172,NIC-V016,2025-09-22,E081,PS228381,Will Call,Short vs packing slip,N
RCV-40164,PO-31173,NIC-V006,2025-06-28,E101,PS635349,FedEx Ground,OK,N
RCV-40165,PO-31174,NIC-V014,2026-01-31,E076,PS359264,FedEx Ground,OK,Y
RCV-40166,PO-31175,NIC-V008,2025-12-09,E102,PS867926,Supplier Truck,OK,Y
RCV-40167,PO-31176,NIC-V018,2025-09-18,E078,PS853993,UPS Ground,Damaged carton - contents OK,N
RCV-40168,PO-31177,NIC-V018,2025-09-20,E077,PS798182,UPS Ground,OK,Y
RCV-40169,PO-31178,NIC-V012,2025-10-10,E079,PS684204,Will Call,OK,N
RCV-40170,PO-31179,NIC-V010,2025-06-13,E102,PS252063,Supplier Truck,OK,N
RCV-40171,PO-31180,NIC-V018,2025-06-23,E104,PS649141,FedEx Ground,Damaged carton - contents OK,N
RCV-40172,PO-31181,NIC-V013,2026-02-10,E080,PS677611,LTL - Estes,OK,N
RCV-40173,PO-31182,NIC-V007,2026-03-31,E104,PS830099,FedEx Ground,OK,Y
RCV-40174,PO-31183,NIC-V008,2025-05-28,E100,PS509239,LTL - Estes,OK,Y
RCV-40175,PO-31184,NIC-V016,2026-01-24,E100,PS186838,Will Call,OK,N
RCV-40176,PO-31185,NIC-V018,2025-10-15,E079,PS403169,Supplier Truck,Short vs packing slip,N
RCV-40177,PO-31186,NIC-V003,2025-06-16,E101,PS533770,FedEx Ground,OK,N
RCV-40178,PO-31187,NIC-V006,2025-10-23,E081,PS746854,UPS Ground,OK,N
RCV-40179,PO-31188,NIC-V001,2026-03-12,E081,PS809668,LTL - Estes,OK,N
RCV-40180,PO-31189,NIC-V006,2026-01-22,E104,PS766761,UPS Ground,OK,N
RCV-40181,PO-31190,NIC-V006,2026-03-05,E082,PS197507,Will Call,Damaged carton - contents OK,N
RCV-40182,PO-31191,NIC-V014,2026-01-01,E104,PS865174,Supplier Truck,OK,N
RCV-40183,PO-31192,NIC-V012,2025-11-12,E103,PS208226,UPS Ground,OK,N
RCV-40184,PO-31193,NIC-V004,2025-08-24,E103,PS387920,LTL - Estes,Damaged carton - contents OK,N
RCV-40185,PO-31194,NIC-V002,2025-07-03,E081,PS735885,UPS Ground,Short vs packing slip,N
RCV-40186,PO-31195,NIC-V015,2026-03-10,E082,PS594656,Will Call,OK,N
RCV-40187,PO-31196,NIC-V013,2025-10-22,E102,PS432390,Will Call,Damaged carton - contents OK,N
RCV-40188,PO-31198,NIC-V015,2025-06-13,E100,PS519874,Supplier Truck,OK,N
RCV-40189,PO-31199,NIC-V004,2026-02-08,E105,PS556137,Supplier Truck,OK,Y
RCV-40190,PO-31200,NIC-V008,2025-10-05,E076,PS518969,UPS Ground,OK,N
RCV-40191,PO-31201,NIC-V014,2025-09-14,E106,PS934642,Supplier Truck,OK,N
RCV-40192,PO-31202,NIC-V009,2026-02-21,E102,PS242468,Will Call,OK,N
RCV-40193,PO-31203,NIC-V006,2025-11-30,E078,PS359879,UPS Ground,Damaged carton - contents OK,Y
RCV-40194,PO-31204,NIC-V010,2025-11-08,E079,PS974499,Supplier Truck,OK,N
RCV-40195,PO-31205,NIC-V011,2025-05-10,E099,PS316896,FedEx Ground,Damaged carton - contents OK,N
RCV-40196,PO-31206,NIC-V012,2025-08-18,E102,PS332964,Supplier Truck,OK,N
RCV-40197,PO-31207,NIC-V013,2026-03-20,E103,PS321175,LTL - Estes,Short vs packing slip,N
RCV-40198,PO-31208,NIC-V001,2025-09-17,E080,PS933221,Supplier Truck,OK,Y
RCV-40199,PO-31209,NIC-V017,2025-06-13,E079,PS431334,UPS Ground,OK,N
RCV-40200,PO-31210,NIC-V002,2026-02-10,E100,PS967864,Supplier Truck,OK,Y
RCV-40201,PO-31211,NIC-V007,2026-03-05,E106,PS662446,Supplier Truck,Short vs packing slip,N
RCV-40202,PO-31212,NIC-V005,2026-01-05,E083,PS324658,LTL - Estes,OK,N
RCV-40203,PO-31213,NIC-V012,2026-03-14,E104,PS386992,Supplier Truck,Damaged carton - contents OK,Y
RCV-40204,PO-31214,NIC-V014,2025-05-18,E079,PS769458,Supplier Truck,OK,N
RCV-40205,PO-31215,NIC-V016,2026-01-10,E076,PS739050,FedEx Ground,OK,N
RCV-40206,PO-31216,NIC-V012,2025-12-17,E101,PS303939,Will Call,Damaged carton - contents OK,Y
RCV-40207,PO-31217,NIC-V002,2025-10-01,E080,PS312211,UPS Ground,Short vs packing slip,N
RCV-40208,PO-31218,NIC-V016,2025-05-31,E078,PS556642,LTL - Estes,OK,N
RCV-40209,PO-31219,NIC-V004,2026-01-05,E077,PS614543,FedEx Ground,OK,Y
RCV-40210,PO-31220,NIC-V010,2025-11-21,E076,PS238003,Supplier Truck,Short vs packing slip,N
RCV-40211,PO-31221,NIC-V014,2025-06-26,E081,PS459351,UPS Ground,OK,N
RCV-40212,PO-31222,NIC-V013,2025-06-14,E104,PS660873,LTL - Estes,OK,Y
RCV-40213,PO-31224,NIC-V017,2025-12-26,E105,PS737760,FedEx Ground,OK,Y
RCV-40214,PO-31225,NIC-V008,2026-03-31,E076,PS384057,FedEx Ground,OK,N
RCV-40215,PO-31226,NIC-V002,2025-09-09,E104,PS906999,Supplier Truck,Damaged carton - contents OK,N
RCV-40216,PO-31227,NIC-V009,2026-02-01,E076,PS678999,UPS Ground,Short vs packing slip,N
RCV-40217,PO-31229,NIC-V008,2026-01-01,E083,PS688086,Will Call,Damaged carton - contents OK,Y
RCV-40218,PO-31230,NIC-V014,2025-05-23,E105,PS919886,UPS Ground,OK,Y
RCV-40219,PO-31231,NIC-V003,2025-11-01,E081,PS923492,UPS Ground,Damaged carton - contents OK,Y
RCV-40220,PO-31232,NIC-V005,2026-01-12,E081,PS908871,FedEx Ground,Damaged carton - contents OK,N
RCV-40221,PO-31233,NIC-V008,2026-03-31,E106,PS531492,UPS Ground,Short vs packing slip,N
RCV-40222,PO-31234,NIC-V017,2025-12-17,E080,PS103029,Supplier Truck,OK,Y
RCV-40223,PO-31235,NIC-V007,2026-03-20,E080,PS310871,UPS Ground,OK,N
RCV-40224,PO-31236,NIC-V017,2025-07-14,E102,PS894291,FedEx Ground,OK,N
RCV-40225,PO-31237,NIC-V017,2025-12-23,E104,PS198160,FedEx Ground,Short vs packing slip,Y
RCV-40226,PO-31238,NIC-V006,2026-02-05,E105,PS733921,FedEx Ground,OK,N
RCV-40227,PO-31239,NIC-V011,2025-07-12,E080,PS837632,UPS Ground,Damaged carton - contents OK,N
RCV-40228,PO-31240,NIC-V009,2025-05-23,E082,PS459168,UPS Ground,OK,N
RCV-40229,PO-31241,NIC-V015,2026-01-25,E104,PS272980,LTL - Estes,Short vs packing slip,N
RCV-40230,PO-31242,NIC-V003,2025-09-05,E083,PS564263,LTL - Estes,OK,N
RCV-40231,PO-31243,NIC-V015,2025-10-12,E080,PS582218,Supplier Truck,OK,Y
RCV-40232,PO-31245,NIC-V005,2025-05-15,E082,PS769005,Supplier Truck,OK,Y
RCV-40233,PO-31246,NIC-V016,2026-03-23,E077,PS315902,Supplier Truck,OK,N
RCV-40234,PO-31247,NIC-V012,2025-09-21,E080,PS527012,LTL - Estes,OK,N
RCV-40235,PO-31248,NIC-V016,2025-08-12,E099,PS683772,Will Call,OK,N
RCV-40236,PO-31249,NIC-V008,2025-04-15,E079,PS247037,FedEx Ground,Short vs packing slip,N
RCV-40237,PO-31250,NIC-V007,2026-01-05,E080,PS488062,LTL - Estes,OK,N
RCV-40238,PO-31251,NIC-V018,2026-02-03,E104,PS977587,Will Call,OK,N
RCV-40239,PO-31252,NIC-V004,2025-09-04,E076,PS124709,UPS Ground,OK,N
RCV-40240,PO-31253,NIC-V002,2025-05-04,E079,PS373290,UPS Ground,OK,N
RCV-40241,PO-31254,NIC-V007,2025-12-04,E101,PS484141,Supplier Truck,OK,N
RCV-40242,PO-31255,NIC-V005,2026-02-25,E077,PS614061,Supplier Truck,OK,N
RCV-40243,PO-31256,NIC-V012,2026-02-19,E103,PS602737,Will Call,Short vs packing slip,N
RCV-40244,PO-31257,NIC-V008,2026-01-04,E080,PS403367,Will Call,OK,N
RCV-40245,PO-31258,NIC-V014,2025-10-13,E082,PS130048,FedEx Ground,OK,Y
RCV-40246,PO-31259,NIC-V003,2026-03-29,E078,PS943836,LTL - Estes,OK,N
RCV-40247,PO-31260,NIC-V007,2025-09-03,E080,PS669509,FedEx Ground,OK,N
