receipt_id,po_number,po_line,item_id,received_qty,uom,lot_number,bin_location,putaway_by,qc_status
RCV-40053,PO-31053,3,P-20048,250,EA,L250930-112,D-19-4,E083,Accepted
RCV-40054,PO-31055,1,P-20095,250,EA,L250811-680,C-07-2,E082,Accepted
RCV-40054,PO-31055,2,P-20064,50,EA,L250811-512,B-35-1,E100,Accepted
RCV-40055,PO-31056,1,P-20056,112,EA,L260218-157,B-14-3,E101,Accepted
RCV-40055,PO-31056,2,P-20075,72,EA,L260218-952,C-34-5,E104,Accepted
RCV-40055,PO-31056,3,P-20056,112,EA,L260218-469,A-38-4,E102,Accepted
RCV-40056,PO-31057,1,P-20014,52,EA,L251228-381,D-17-4,E076,Accepted
RCV-40057,PO-31058,1,P-20055,500,EA,L260129-987,C-10-5,E105,Accepted
RCV-40057,PO-31058,2,P-20117,79,EA,L260129-312,C-21-5,E103,Accepted
RCV-40057,PO-31058,3,P-20056,10,EA,L260129-797,E-04-4,E105,Accepted
RCV-40058,PO-31059,1,P-10105,80,LB,L260305-262,F-40-4,E101,Accepted
RCV-40058,PO-31059,2,P-10098,292,LB,L260305-760,B-09-5,E083,Accepted
RCV-40059,PO-31060,1,P-20081,126,EA,L251028-452,C-26-4,E100,Accepted
RCV-40060,PO-31061,2,P-20088,12,EA,L260331-485,D-01-1,E078,Accepted
RCV-40060,PO-31061,3,P-20088,50,EA,L260331-242,D-38-3,E099,Accepted
RCV-40061,PO-31063,1,P-10077,250,GA,L260105-250,C-03-2,E104,Accepted
RCV-40061,PO-31063,2,P-10035,100,EA,L260105-704,B-06-2,E076,Accepted
RCV-40062,PO-31064,1,P-20085,198,EA,L251206-474,A-24-4,E083,Accepted
RCV-40063,PO-31065,1,P-10035,193,EA,L250502-948,E-10-2,E083,Accepted
RCV-40063,PO-31065,2,P-10035,193,EA,L250502-794,A-17-5,E103,Accepted
RCV-40063,PO-31065,3,P-10035,193,EA,L250502-312,A-26-5,E078,Accepted
RCV-40063,PO-31065,4,P-10035,250,EA,L250502-353,F-32-4,E100,Accepted
RCV-40064,PO-31066,1,P-20060,61,EA,L260331-793,F-32-4,E083,Accepted
RCV-40064,PO-31066,2,P-20118,16,EA,L260331-857,C-01-2,E079,Accepted
RCV-40064,PO-31066,3,P-20060,250,EA,L260331-960,C-20-2,E080,Accepted
RCV-40065,PO-31067,1,P-10105,80,LB,L250821-597,A-27-5,E104,Accepted
RCV-40065,PO-31067,2,P-10105,50,LB,L250821-834,E-37-3,E105,Accepted
RCV-40065,PO-31067,3,P-10098,10,LB,L250821-313,E-20-1,E100,Accepted
RCV-40066,PO-31068,1,P-20024,103,EA,L251205-793,D-30-4,E102,Accepted
RCV-40066,PO-31068,2,P-20099,19,EA,L251205-434,C-27-3,E099,Accepted
RCV-40066,PO-31068,3,P-10056,313,RL,L251205-552,F-07-4,E100,Accepted
RCV-40066,PO-31068,4,P-10056,313,RL,L251205-953,C-35-5,E080,Accepted
RCV-40067,PO-31069,1,P-20112,161,EA,L251202-651,E-39-3,E080,Accepted
RCV-40068,PO-31070,1,P-10042,100,BX,L260325-749,B-38-2,E076,Accepted
RCV-40069,PO-31071,1,P-20086,100,EA,L250707-886,E-22-2,E106,Accepted
RCV-40069,PO-31071,2,P-20050,177,EA,L250707-434,C-38-4,E081,Hold
RCV-40069,PO-31071,3,P-20050,177,EA,L250707-252,A-07-5,E083,Accepted
RCV-40069,PO-31071,4,P-20042,97,EA,L250707-317,E-39-5,E078,Accepted
RCV-40070,PO-31072,1,P-20068,250,EA,L250506-343,A-10-2,E077,Accepted
RCV-40070,PO-31072,2,P-20068,111,EA,L250506-125,E-27-2,E079,Accepted
RCV-40071,PO-31073,1,P-20096,171,EA,L250726-389,B-11-2,E077,Accepted
RCV-40071,PO-31073,2,P-20032,189,EA,L250726-262,A-14-4,E101,Accepted
RCV-40071,PO-31073,3,P-20018,27,EA,L250726-601,D-25-4,E083,Accepted
RCV-40071,PO-31073,4,P-20096,25,EA,L250726-652,A-06-4,E106,Accepted
RCV-40072,PO-31074,1,P-20028,26,EA,L250509-976,C-39-4,E080,Accepted
RCV-40073,PO-31075,1,P-20104,100,EA,L250921-898,F-12-1,E076,Accepted
RCV-40074,PO-31077,1,P-20026,79,EA,L250729-860,B-01-4,E080,Accepted
RCV-40074,PO-31077,2,P-20026,500,EA,L250729-339,C-22-2,E105,Accepted
RCV-40074,PO-31077,3,P-20119,100,EA,L250729-257,C-10-5,E106,Accepted
RCV-40074,PO-31077,4,P-20067,146,EA,L250729-303,A-09-3,E106,Accepted
RCV-40075,PO-31078,1,P-20099,100,EA,L250925-402,E-40-3,E104,Accepted
RCV-40076,PO-31079,1,P-10098,292,LB,L250427-108,B-02-3,E082,Accepted
RCV-40076,PO-31079,2,P-10098,500,LB,L250427-587,C-36-2,E080,Accepted
RCV-40076,PO-31079,3,P-10105,25,LB,L250427-573,D-22-2,E105,Accepted
RCV-40077,PO-31080,1,P-20080,25,EA,L250918-145,E-01-3,E105,Accepted
RCV-40077,PO-31080,2,P-20000,500,EA,L250918-611,C-05-5,E103,Accepted
RCV-40078,PO-31082,1,P-20083,137,EA,L251004-461,D-33-1,E079,Accepted
RCV-40079,PO-31083,1,P-20060,10,EA,L250505-209,B-07-5,E104,Accepted
RCV-40079,PO-31083,2,P-20118,25,EA,L250505-991,D-39-1,E082,Accepted
RCV-40080,PO-31085,1,P-10035,193,EA,L251002-275,B-37-2,E080,Accepted
RCV-40081,PO-31086,1,P-20109,50,EA,L250524-252,A-14-3,E099,Accepted
RCV-40081,PO-31086,2,P-20062,100,EA,L250524-719,B-40-3,E082,Accepted
RCV-40081,PO-31086,3,P-20109,149,EA,L250524-790,F-27-2,E103,Accepted
RCV-40082,PO-31087,1,P-20044,25,EA,L260129-533,F-32-5,E101,Accepted
RCV-40083,PO-31088,1,P-20018,27,EA,L260218-525,C-40-3,E076,Accepted
RCV-40083,PO-31088,2,P-20060,123,EA,L260218-668,D-35-4,E104,Hold
RCV-40083,PO-31088,3,P-20111,500,EA,L260218-362,A-18-5,E077,Accepted
RCV-40084,PO-31089,2,P-20119,13,EA,L260217-244,F-29-3,E082,Accepted
RCV-40085,PO-31090,1,P-20055,93,EA,L250723-150,E-14-2,E106,Accepted
RCV-40085,PO-31090,3,P-20056,112,EA,L250723-657,E-26-2,E081,Accepted
RCV-40086,PO-31091,1,P-10098,500,LB,L260116-921,D-02-2,E105,Accepted
RCV-40086,PO-31091,2,P-10098,250,LB,L260116-637,F-35-4,E080,Accepted
RCV-40087,PO-31092,1,P-20024,25,EA,L250923-677,D-23-4,E083,Accepted
RCV-40087,PO-31092,2,P-10063,250,BD,L250923-928,D-20-2,E083,Accepted
RCV-40088,PO-31093,1,P-20046,109,EA,L250820-937,D-08-3,E102,Accepted
RCV-40088,PO-31093,2,P-20080,20,EA,L250820-421,F-28-3,E081,Accepted
RCV-40088,PO-31093,3,P-20000,50,EA,L250820-981,B-12-3,E078,Accepted
RCV-40089,PO-31094,1,P-20021,57,EA,L260221-514,B-40-3,E081,Accepted
RCV-40089,PO-31094,2,P-20054,191,EA,L260221-940,C-28-5,E100,Hold
RCV-40090,PO-31095,1,P-10042,84,BX,L260328-541,B-24-3,E082,Accepted
RCV-40090,PO-31095,2,P-10042,84,BX,L260328-690,F-20-2,E082,Accepted
RCV-40091,PO-31096,1,P-10063,243,BD,L250628-233,A-33-4,E099,Accepted
RCV-40091,PO-31096,2,P-20099,19,EA,L250628-764,B-27-1,E105,Accepted
RCV-40092,PO-31097,1,P-20091,100,EA,L250911-877,A-08-3,E104,Accepted
RCV-40092,PO-31097,2,P-20006,112,EA,L250911-524,C-11-4,E100,Accepted
RCV-40093,PO-31098,1,P-20105,25,EA,L260131-221,C-26-1,E083,Accepted
RCV-40093,PO-31098,2,P-20086,25,EA,L260131-489,D-17-4,E103,Accepted
RCV-40093,PO-31098,3,P-20042,97,EA,L260131-448,D-35-2,E081,Accepted
RCV-40094,PO-31099,1,P-20029,10,EA,L250528-442,C-37-4,E105,Accepted
RCV-40095,PO-31100,1,P-10035,100,EA,L250420-196,B-12-1,E106,Accepted
RCV-40095,PO-31100,2,P-10035,25,EA,L250420-985,F-13-1,E102,Accepted
RCV-40095,PO-31100,3,P-10035,193,EA,L250420-886,B-07-1,E078,Accepted
RCV-40096,PO-31101,1,P-20064,10,EA,L251128-947,F-35-1,E079,Accepted
RCV-40096,PO-31101,3,P-20051,250,EA,L251128-518,B-13-5,E106,Accepted
RCV-40097,PO-31102,1,P-20041,11,EA,L250517-480,C-07-1,E103,Accepted
RCV-40097,PO-31102,2,P-20041,11,EA,L250517-237,C-38-4,E077,Accepted
RCV-40098,PO-31103,1,P-20117,500,EA,L251124-762,E-13-2,E079,Accepted
RCV-40098,PO-31103,2,P-20055,100,EA,L251124-160,F-12-5,E080,Accepted
RCV-40098,PO-31103,3,P-20075,50,EA,L251124-652,F-07-4,E100,Accepted
RCV-40099,PO-31104,1,P-20041,11,EA,L260114-644,E-06-5,E102,Accepted
RCV-40100,PO-31105,1,P-20000,42,EA,L260305-340,C-19-3,E106,Accepted
RCV-40100,PO-31105,2,P-20052,62,EA,L260305-409,F-37-4,E104,Accepted
RCV-40100,PO-31105,3,P-20052,62,EA,L260305-777,D-30-2,E105,Accepted
RCV-40101,PO-31106,1,P-20067,146,EA,L251218-579,E-20-2,E083,Accepted
RCV-40102,PO-31107,2,P-20026,5,EA,L260331-523,A-40-2,E079,Accepted
RCV-40103,PO-31110,3,P-10098,250,LB,L250729-499,E-04-4,E076,Accepted
RCV-40104,PO-31111,1,P-20091,50,EA,L250920-903,A-24-4,E078,Hold
RCV-40104,PO-31111,2,P-20091,112,EA,L250920-346,E-36-2,E106,Accepted
RCV-40104,PO-31111,4,P-20091,10,EA,L250920-791,D-24-3,E079,Accepted
RCV-40105,PO-31112,1,P-20049,50,EA,L251128-627,B-10-1,E080,Accepted
RCV-40105,PO-31112,2,P-10091,139,BX,L251128-784,A-39-4,E078,Accepted
RCV-40105,PO-31112,3,P-20059,5,EA,L251128-895,A-10-3,E077,Accepted
RCV-40105,PO-31112,4,P-10084,10,BX,L251128-693,B-33-2,E106,Accepted
RCV-40106,PO-31113,1,P-20075,72,EA,L251001-396,E-04-3,E081,Accepted
RCV-40106,PO-31113,2,P-20079,66,EA,L251001-423,C-29-3,E081,Accepted
RCV-40107,PO-31115,1,P-20064,42,EA,L250621-227,A-35-4,E099,Accepted
RCV-40107,PO-31115,2,P-20064,42,EA,L250621-412,F-32-4,E106,Accepted
RCV-40107,PO-31115,4,P-20045,250,EA,L250621-529,E-27-2,E083,Accepted
RCV-40108,PO-31116,1,P-20015,97,EA,L260131-403,A-12-4,E080,Accepted
RCV-40108,PO-31116,2,P-20047,175,EA,L260131-363,F-36-5,E101,Accepted
RCV-40108,PO-31116,3,P-20089,143,EA,L260131-984,F-36-1,E077,Accepted
RCV-40109,PO-31117,1,P-20119,13,EA,L250619-747,C-25-3,E076,Accepted
RCV-40110,PO-31118,1,P-20017,11,EA,L251106-457,A-30-3,E099,Accepted
RCV-40111,PO-31119,1,P-10049,168,BX,L250426-336,C-31-5,E080,Accepted
RCV-40111,PO-31119,2,P-10049,168,BX,L250426-532,E-37-1,E099,Accepted
RCV-40111,PO-31119,3,P-10049,168,BX,L250426-428,A-35-5,E105,Accepted
RCV-40112,PO-31120,1,P-10077,281,GA,L250424-181,D-13-4,E105,Accepted
RCV-40112,PO-31120,2,P-10035,193,EA,L250424-562,C-28-5,E076,Accepted
RCV-40112,PO-31120,3,P-10077,250,GA,L250424-366,E-40-5,E101,Accepted
RCV-40113,PO-31121,1,P-20113,162,EA,L250918-828,E-25-2,E081,Accepted
RCV-40113,PO-31121,2,P-20062,197,EA,L250918-765,A-38-4,E105,Accepted
RCV-40113,PO-31121,3,P-20062,197,EA,L250918-514,B-28-2,E099,Accepted
RCV-40114,PO-31122,1,P-20017,11,EA,L251011-880,F-26-5,E077,Accepted
RCV-40114,PO-31122,2,P-20119,13,EA,L251011-936,F-36-5,E099,Accepted
RCV-40115,PO-31123,1,P-20084,164,EA,L250605-629,F-38-2,E082,Accepted
RCV-40115,PO-31123,2,P-20049,97,EA,L250605-366,D-07-2,E104,Accepted
RCV-40115,PO-31123,3,P-20012,125,EA,L250605-851,E-15-5,E099,Accepted
RCV-40116,PO-31124,1,P-20083,137,EA,L250821-488,A-29-4,E081,Accepted
RCV-40116,PO-31124,2,P-20011,128,EA,L250821-335,C-15-3,E076,Accepted
RCV-40116,PO-31124,3,P-20009,127,EA,L250821-893,C-32-3,E082,Accepted
RCV-40116,PO-31124,4,P-20083,137,EA,L250821-277,F-02-4,E106,Accepted
RCV-40117,PO-31125,1,P-20104,157,EA,L260207-764,E-26-1,E078,Accepted
RCV-40117,PO-31125,2,P-20104,157,EA,L260207-964,D-16-3,E099,Accepted
RCV-40117,PO-31125,3,P-10014,216,EA,L260207-789,D-07-2,E099,Accepted
RCV-40117,PO-31125,4,P-20104,250,EA,L260207-376,D-24-3,E083,Accepted
RCV-40118,PO-31126,1,P-20044,500,EA,L251004-581,C-07-4,E081,Accepted
RCV-40119,PO-31127,1,P-20046,109,EA,L250826-438,D-01-1,E104,Accepted
RCV-40119,PO-31127,2,P-20052,62,EA,L250826-294,F-06-1,E077,Accepted
RCV-40119,PO-31127,3,P-20048,100,EA,L250826-906,C-30-1,E079,Accepted
RCV-40120,PO-31128,1,P-20088,46,EA,L250830-886,C-33-2,E079,Accepted
RCV-40120,PO-31128,2,P-20088,46,EA,L250830-716,E-31-5,E082,Hold
RCV-40120,PO-31128,3,P-20088,10,EA,L250830-865,A-20-4,E083,Accepted
RCV-40120,PO-31128,4,P-20088,50,EA,L250830-173,D-34-2,E101,Accepted
RCV-40121,PO-31129,1,P-20028,26,EA,L260316-852,A-37-1,E102,Accepted
RCV-40122,PO-31130,1,P-20021,250,EA,L260331-154,B-36-2,E076,Accepted
RCV-40122,PO-31130,3,P-20021,28,EA,L260331-827,B-06-5,E076,Accepted
RCV-40123,PO-31131,1,P-20046,109,EA,L250530-889,C-30-3,E076,Accepted
RCV-40123,PO-31131,2,P-20046,109,EA,L250530-636,C-35-5,E080,Accepted
RCV-40124,PO-31132,1,P-20080,25,EA,L251027-416,F-25-5,E079,Accepted
RCV-40124,PO-31132,2,P-20046,250,EA,L251027-641,F-28-3,E103,Accepted
RCV-40124,PO-31132,3,P-20000,10,EA,L251027-998,B-19-1,E105,Accepted
RCV-40124,PO-31132,4,P-20080,20,EA,L251027-338,E-16-1,E104,Accepted
RCV-40125,PO-31133,1,P-20044,194,EA,L260220-448,D-19-5,E102,Accepted
RCV-40126,PO-31134,1,P-20095,250,EA,L260125-244,E-07-5,E103,Accepted
RCV-40126,PO-31134,3,P-20045,82,EA,L260125-998,D-39-3,E081,Accepted
RCV-40127,PO-31135,1,P-20048,25,EA,L260203-122,E-33-4,E078,Accepted
RCV-40128,PO-31136,1,P-10091,139,BX,L251023-159,D-24-5,E104,Accepted
RCV-40128,PO-31136,2,P-20007,156,EA,L251023-122,B-22-2,E083,Accepted
RCV-40129,PO-31137,1,P-20099,10,EA,L251031-941,E-29-5,E079,Accepted
RCV-40129,PO-31137,2,P-20024,103,EA,L251031-385,F-09-2,E083,Accepted
RCV-40129,PO-31137,3,P-10063,100,BD,L251031-663,B-35-3,E078,Accepted
RCV-40129,PO-31137,4,P-20029,250,EA,L251031-674,A-38-3,E102,Accepted
RCV-40130,PO-31138,1,P-20088,100,EA,L260218-805,D-02-3,E106,Accepted
RCV-40130,PO-31138,2,P-20088,46,EA,L260218-523,A-17-2,E077,Accepted
RCV-40130,PO-31138,3,P-20088,46,EA,L260218-415,A-01-1,E105,Accepted
RCV-40130,PO-31138,4,P-20088,250,EA,L260218-340,B-19-5,E083,Accepted
RCV-40131,PO-31139,1,P-20049,25,EA,L250430-770,A-21-1,E076,Accepted
RCV-40131,PO-31139,2,P-20084,164,EA,L250430-412,E-19-4,E076,Accepted
