event_id,workflow_type,object_type,object_id,timestamp,actor,action,previous_state,new_state,source_document,confidence,requires_review
EV000328,quote,quote,MER-S00110-Q1,2025-03-11T10:00:00,carrier:BEZ,quote_received,,received,MER-S00110-Q1.pdf,0.92,Y
EV000155,marketing,submission,MER-S00087,2025-03-12T16:00:00,E015,submitted,draft,submitted,MER-S00087_package.pdf,1.0,N
EV000341,quote,quote,MER-S00133-Q1,2025-03-12T16:00:00,carrier:MKL,quote_received,,received,MER-S00133-Q1.pdf,0.92,N
EV000141,marketing,submission,MER-S00079,2025-03-12T17:00:00,E018,submitted,draft,submitted,MER-S00079_package.pdf,1.0,N
EV000156,marketing,submission,MER-S00087,2025-03-14T10:00:00,carrier:AMT,acknowledged,submitted,acknowledged,,1.0,N
EV000232,marketing,submission,MER-S00129,2025-03-14T10:00:00,carrier:HIG,acknowledged,submitted,acknowledged,,1.0,N
EV000302,quote,quote,MER-S00076-Q1,2025-03-15T09:00:00,carrier:TRV,quote_received,,received,MER-S00076-Q1.pdf,0.92,N
EV000151,marketing,submission,MER-S00085,2025-03-15T12:00:00,E015,submitted,draft,submitted,MER-S00085_package.pdf,1.0,N
EV000262,quote,quote,MER-S00014-Q1,2025-03-16T09:00:00,carrier:TRV,quote_received,,received,MER-S00014-Q1.pdf,0.92,N
EV000191,marketing,submission,MER-S00106,2025-03-16T15:00:00,E011,submitted,draft,submitted,MER-S00106_package.pdf,1.0,N
EV000152,marketing,submission,MER-S00085,2025-03-17T10:00:00,carrier:HIG,acknowledged,submitted,acknowledged,,1.0,N
EV000192,marketing,submission,MER-S00106,2025-03-17T10:00:00,carrier:TRV,acknowledged,submitted,acknowledged,,1.0,N
EV000047,marketing,submission,MER-S00028,2025-03-18T10:00:00,E016,submitted,draft,submitted,MER-S00028_package.pdf,1.0,N
EV000339,quote,quote,MER-S00129-Q1,2025-03-19T09:00:00,carrier:HIG,quote_received,,received,MER-S00129-Q1.pdf,0.92,N
EV000153,marketing,submission,MER-S00086,2025-03-19T14:00:00,E015,submitted,draft,submitted,MER-S00086_package.pdf,1.0,N
EV000104,marketing,submission,MER-S00059,2025-03-19T15:00:00,E009,submitted,draft,submitted,MER-S00059_package.pdf,1.0,N
EV000142,marketing,submission,MER-S00080,2025-03-19T17:00:00,E018,submitted,draft,submitted,MER-S00080_package.pdf,1.0,N
EV000105,marketing,submission,MER-S00059,2025-03-22T10:00:00,carrier:CHB,acknowledged,submitted,acknowledged,,1.0,N
EV000143,marketing,submission,MER-S00080,2025-03-22T10:00:00,carrier:TRV,acknowledged,submitted,acknowledged,,1.0,N
EV000154,marketing,submission,MER-S00086,2025-03-22T10:00:00,carrier:LIB,acknowledged,submitted,acknowledged,,1.0,N
EV000048,marketing,submission,MER-S00029,2025-03-24T16:00:00,E016,submitted,draft,submitted,MER-S00029_package.pdf,1.0,N
EV000148,marketing,submission,MER-S00083,2025-03-25T13:00:00,E015,submitted,draft,submitted,MER-S00083_package.pdf,1.0,N
EV000050,marketing,submission,MER-S00030,2025-03-26T08:00:00,E016,submitted,draft,submitted,MER-S00030_package.pdf,1.0,N
EV000049,marketing,submission,MER-S00029,2025-03-26T10:00:00,carrier:CHB,acknowledged,submitted,acknowledged,,1.0,N
EV000051,marketing,submission,MER-S00030,2025-03-26T10:00:00,carrier:HIG,acknowledged,submitted,acknowledged,,1.0,N
EV000239,marketing,submission,MER-S00134,2025-03-27T14:00:00,E012,submitted,draft,submitted,MER-S00134_package.pdf,1.0,N
EV000149,marketing,submission,MER-S00083,2025-03-28T10:00:00,carrier:LIB,acknowledged,submitted,acknowledged,,1.0,N
EV000137,marketing,submission,MER-S00077,2025-03-30T09:00:00,E018,submitted,draft,submitted,MER-S00077_package.pdf,1.0,N
EV000058,marketing,submission,MER-S00034,2025-03-30T10:00:00,E016,submitted,draft,submitted,MER-S00034_package.pdf,1.0,N
EV000203,marketing,submission,MER-S00112,2025-03-31T13:00:00,E018,submitted,draft,submitted,MER-S00112_package.pdf,1.0,N
EV000138,marketing,submission,MER-S00077,2025-04-02T10:00:00,carrier:LIB,acknowledged,submitted,acknowledged,,1.0,N
EV000197,marketing,submission,MER-S00109,2025-04-02T11:00:00,E013,submitted,draft,submitted,MER-S00109_package.pdf,1.0,N
EV000198,marketing,submission,MER-S00109,2025-04-04T10:00:00,carrier:CNA,acknowledged,submitted,acknowledged,,1.0,N
EV000146,marketing,submission,MER-S00082,2025-04-04T15:00:00,E015,submitted,draft,submitted,MER-S00082_package.pdf,1.0,N
EV000308,quote,quote,MER-S00085-Q1,2025-04-07T14:00:00,carrier:HIG,quote_received,,received,MER-S00085-Q1.pdf,0.92,N
EV000147,marketing,submission,MER-S00082,2025-04-08T10:00:00,carrier:CHB,acknowledged,submitted,acknowledged,,1.0,N
EV000040,marketing,submission,MER-S00024,2025-04-08T12:00:00,E013,submitted,draft,submitted,MER-S00024_package.pdf,1.0,N
EV000106,marketing,submission,MER-S00060,2025-04-09T16:00:00,E009,submitted,draft,submitted,MER-S00060_package.pdf,1.0,N
EV000271,quote,quote,MER-S00029-Q1,2025-04-09T16:00:00,carrier:CHB,quote_received,,received,MER-S00029-Q1.pdf,0.92,N
EV000307,quote,quote,MER-S00083-Q1,2025-04-11T09:00:00,carrier:LIB,quote_received,,received,MER-S00083-Q1.pdf,0.92,N
EV000107,marketing,submission,MER-S00060,2025-04-11T10:00:00,carrier:TRV,acknowledged,submitted,acknowledged,,1.0,N
EV000304,quote,quote,MER-S00080-Q1,2025-04-11T10:00:00,carrier:TRV,quote_received,,received,MER-S00080-Q1.pdf,0.92,N
EV000240,marketing,submission,MER-S00135,2025-04-11T11:00:00,E012,submitted,draft,submitted,MER-S00135_package.pdf,1.0,N
EV000144,marketing,submission,MER-S00081,2025-04-12T09:00:00,E018,submitted,draft,submitted,MER-S00081_package.pdf,1.0,N
EV000041,marketing,submission,MER-S00024,2025-04-12T10:00:00,carrier:MKL,acknowledged,submitted,acknowledged,,1.0,N
EV000324,quote,quote,MER-S00106-Q1,2025-04-13T10:00:00,carrier:TRV,quote_received,,received,MER-S00106-Q1.pdf,0.92,N
EV000241,marketing,submission,MER-S00135,2025-04-14T10:00:00,carrier:BEZ,acknowledged,submitted,acknowledged,,1.0,N
EV000272,quote,quote,MER-S00030-Q1,2025-04-15T14:00:00,carrier:HIG,quote_received,,received,MER-S00030-Q1.pdf,0.92,N
EV000145,marketing,submission,MER-S00081,2025-04-16T10:00:00,carrier:LIB,acknowledged,submitted,acknowledged,,1.0,N
EV000309,quote,quote,MER-S00086-Q1,2025-04-17T09:00:00,carrier:LIB,quote_received,,received,MER-S00086-Q1.pdf,0.92,Y
EV000247,marketing,submission,MER-S00138,2025-04-17T10:00:00,carrier:TRV,acknowledged,submitted,acknowledged,,1.0,N
EV000246,marketing,submission,MER-S00138,2025-04-17T12:00:00,E010,submitted,draft,submitted,MER-S00138_package.pdf,1.0,N
EV000193,marketing,submission,MER-S00107,2025-04-19T09:00:00,E020,submitted,draft,submitted,MER-S00107_package.pdf,1.0,N
EV000194,marketing,submission,MER-S00107,2025-04-19T10:00:00,carrier:CHB,acknowledged,submitted,acknowledged,,1.0,N
EV000327,quote,quote,MER-S00109-Q1,2025-04-19T11:00:00,carrier:CNA,quote_received,,received,MER-S00109-Q1.pdf,0.92,N
EV000209,marketing,submission,MER-S00116,2025-04-21T08:00:00,E018,submitted,draft,submitted,MER-S00116_package.pdf,1.0,N
EV000042,marketing,submission,MER-S00025,2025-04-21T14:00:00,E013,submitted,draft,submitted,MER-S00025_package.pdf,1.0,N
EV000244,marketing,submission,MER-S00137,2025-04-22T08:00:00,E010,submitted,draft,submitted,MER-S00137_package.pdf,1.0,N
EV000043,marketing,submission,MER-S00025,2025-04-22T10:00:00,carrier:LIB,acknowledged,submitted,acknowledged,,1.0,N
EV000303,quote,quote,MER-S00077-Q1,2025-04-22T12:00:00,carrier:LIB,quote_received,,received,MER-S00077-Q1.pdf,0.92,N
EV000196,marketing,submission,MER-S00108,2025-04-23T10:00:00,carrier:HIG,acknowledged,submitted,acknowledged,,1.0,N
EV000195,marketing,submission,MER-S00108,2025-04-23T17:00:00,E020,submitted,draft,submitted,MER-S00108_package.pdf,1.0,N
EV000210,marketing,submission,MER-S00116,2025-04-24T10:00:00,carrier:TRV,acknowledged,submitted,acknowledged,,1.0,N
EV000117,marketing,submission,MER-S00066,2025-04-25T09:00:00,E012,submitted,draft,submitted,MER-S00066_package.pdf,1.0,N
EV000245,marketing,submission,MER-S00137,2025-04-25T10:00:00,carrier:LIB,acknowledged,submitted,acknowledged,,1.0,N
EV000059,marketing,submission,MER-S00035,2025-04-26T11:00:00,E016,submitted,draft,submitted,MER-S00035_package.pdf,1.0,N
EV000119,marketing,submission,MER-S00067,2025-04-26T15:00:00,E012,submitted,draft,submitted,MER-S00067_package.pdf,1.0,N
EV000342,quote,quote,MER-S00135-Q1,2025-04-27T11:00:00,carrier:BEZ,quote_received,,received,MER-S00135-Q1.pdf,0.92,N
EV000060,marketing,submission,MER-S00035,2025-04-28T10:00:00,carrier:TRV,acknowledged,submitted,acknowledged,,1.0,N
EV000121,marketing,submission,MER-S00068,2025-04-29T09:00:00,E012,submitted,draft,submitted,MER-S00068_package.pdf,1.0,N
EV000118,marketing,submission,MER-S00066,2025-04-29T10:00:00,carrier:BEZ,acknowledged,submitted,acknowledged,,1.0,N
EV000122,marketing,submission,MER-S00068,2025-04-29T10:00:00,carrier:CHB,acknowledged,submitted,acknowledged,,1.0,N
EV000305,quote,quote,MER-S00081-Q1,2025-04-29T10:00:00,carrier:LIB,quote_received,,received,MER-S00081-Q1.pdf,0.92,Y
EV000039,marketing,submission,MER-S00023,2025-04-30T10:00:00,carrier:LIB,acknowledged,submitted,acknowledged,,1.0,N
EV000120,marketing,submission,MER-S00067,2025-04-30T10:00:00,carrier:CNA,acknowledged,submitted,acknowledged,,1.0,N
EV000038,marketing,submission,MER-S00023,2025-04-30T14:00:00,E021,submitted,draft,submitted,MER-S00023_package.pdf,1.0,N
EV000306,quote,quote,MER-S00082-Q1,2025-05-02T11:00:00,carrier:CHB,quote_received,,received,MER-S00082-Q1.pdf,0.92,Y
EV000250,marketing,submission,MER-S00140,2025-05-02T17:00:00,E014,submitted,draft,submitted,MER-S00140_package.pdf,1.0,N
EV000325,quote,quote,MER-S00107-Q1,2025-05-03T12:00:00,carrier:CHB,quote_received,,received,MER-S00107-Q1.pdf,0.92,N
EV000251,marketing,submission,MER-S00140,2025-05-05T10:00:00,carrier:AMT,acknowledged,submitted,acknowledged,,1.0,N
EV000054,marketing,submission,MER-S00032,2025-05-05T11:00:00,E016,submitted,draft,submitted,MER-S00032_package.pdf,1.0,N
EV000269,quote,quote,MER-S00025-Q1,2025-05-05T12:00:00,carrier:LIB,quote_received,,received,MER-S00025-Q1.pdf,0.92,N
EV000326,quote,quote,MER-S00108-Q1,2025-05-06T16:00:00,carrier:HIG,quote_received,,received,MER-S00108-Q1.pdf,0.92,N
EV000298,quote,quote,MER-S00068-Q1,2025-05-07T10:00:00,carrier:CHB,quote_received,,received,MER-S00068-Q1.pdf,0.92,N
EV000268,quote,quote,MER-S00024-Q1,2025-05-07T11:00:00,carrier:MKL,quote_received,,received,MER-S00024-Q1.pdf,0.92,N
EV000331,quote,quote,MER-S00116-Q1,2025-05-07T13:00:00,carrier:TRV,quote_received,,received,MER-S00116-Q1.pdf,0.92,Y
EV000582,billing,payment,MER-PMT00040,2025-05-08T14:00:00,accounting,cash_applied,received,applied,ACH332117758,1.0,N
EV000345,quote,quote,MER-S00138-Q1,2025-05-08T16:00:00,carrier:TRV,quote_received,,received,MER-S00138-Q1.pdf,0.92,Y
EV000055,marketing,submission,MER-S00032,2025-05-09T10:00:00,carrier:LIB,acknowledged,submitted,acknowledged,,1.0,N
EV000296,quote,quote,MER-S00066-Q1,2025-05-09T15:00:00,carrier:BEZ,quote_received,,received,MER-S00066-Q1.pdf,0.92,N
EV000157,marketing,submission,MER-S00088,2025-05-09T16:00:00,E021,submitted,draft,submitted,MER-S00088_package.pdf,1.0,N
EV000159,marketing,submission,MER-S00089,2025-05-11T12:00:00,E021,submitted,draft,submitted,MER-S00089_package.pdf,1.0,N
EV000158,marketing,submission,MER-S00088,2025-05-12T10:00:00,carrier:LIB,acknowledged,submitted,acknowledged,,1.0,N
EV000132,marketing,submission,MER-S00074,2025-05-12T12:00:00,E018,submitted,draft,submitted,MER-S00074_package.pdf,1.0,N
EV000076,marketing,submission,MER-S00044,2025-05-12T17:00:00,E020,submitted,draft,submitted,MER-S00044_package.pdf,1.0,N
EV000134,marketing,submission,MER-S00075,2025-05-13T08:00:00,E018,submitted,draft,submitted,MER-S00075_package.pdf,1.0,N
EV000056,marketing,submission,MER-S00033,2025-05-13T17:00:00,E016,submitted,draft,submitted,MER-S00033_package.pdf,1.0,N
EV000211,marketing,submission,MER-S00117,2025-05-13T17:00:00,E018,submitted,draft,submitted,MER-S00117_package.pdf,1.0,N
EV000077,marketing,submission,MER-S00044,2025-05-14T10:00:00,carrier:AMT,acknowledged,submitted,acknowledged,,1.0,N
EV000133,marketing,submission,MER-S00074,2025-05-14T10:00:00,carrier:HIG,acknowledged,submitted,acknowledged,,1.0,N
EV000212,marketing,submission,MER-S00117,2025-05-14T10:00:00,carrier:HIG,acknowledged,submitted,acknowledged,,1.0,N
EV000160,marketing,submission,MER-S00089,2025-05-15T10:00:00,carrier:HIG,acknowledged,submitted,acknowledged,,1.0,N
EV000177,marketing,submission,MER-S00098,2025-05-15T10:00:00,E021,submitted,draft,submitted,MER-S00098_package.pdf,1.0,N
EV000057,marketing,submission,MER-S00033,2025-05-16T10:00:00,carrier:AMT,acknowledged,submitted,acknowledged,,1.0,N
EV000178,marketing,submission,MER-S00098,2025-05-16T10:00:00,carrier:HIG,acknowledged,submitted,acknowledged,,1.0,N
EV000297,quote,quote,MER-S00067-Q1,2025-05-18T09:00:00,carrier:CNA,quote_received,,received,MER-S00067-Q1.pdf,0.92,Y
EV000344,quote,quote,MER-S00137-Q1,2025-05-19T16:00:00,carrier:LIB,quote_received,,received,MER-S00137-Q1.pdf,0.92,Y
EV000275,quote,quote,MER-S00033-Q1,2025-05-20T15:00:00,carrier:AMT,quote_received,,received,MER-S00033-Q1.pdf,0.92,N
EV000550,billing,payment,MER-PMT00008,2025-05-21T14:00:00,accounting,cash_applied,received,applied,CHK 9106,1.0,N
EV000579,billing,payment,MER-PMT00037,2025-05-21T14:00:00,accounting,cash_applied,received,applied,ACH336871163,1.0,N
EV000276,quote,quote,MER-S00035-Q1,2025-05-23T09:00:00,carrier:TRV,quote_received,,received,MER-S00035-Q1.pdf,0.92,N
EV000171,marketing,submission,MER-S00095,2025-05-24T09:00:00,E021,submitted,draft,submitted,MER-S00095_package.pdf,1.0,N
EV000572,billing,payment,MER-PMT00030,2025-05-24T14:00:00,accounting,cash_applied,received,applied,ACH647474581,1.0,N
EV000274,quote,quote,MER-S00032-Q1,2025-05-25T14:00:00,carrier:LIB,quote_received,,received,MER-S00032-Q1.pdf,0.92,N
EV000310,quote,quote,MER-S00088-Q1,2025-05-26T12:00:00,carrier:LIB,quote_received,,received,MER-S00088-Q1.pdf,0.92,N
EV000187,marketing,submission,MER-S00104,2025-05-27T14:00:00,E011,submitted,draft,submitted,MER-S00104_package.pdf,1.0,N
EV000301,quote,quote,MER-S00074-Q1,2025-05-27T16:00:00,carrier:HIG,quote_received,,received,MER-S00074-Q1.pdf,0.92,N
EV000172,marketing,submission,MER-S00095,2025-05-28T10:00:00,carrier:HIG,acknowledged,submitted,acknowledged,,1.0,N
EV000078,marketing,submission,MER-S00045,2025-05-29T11:00:00,E020,submitted,draft,submitted,MER-S00045_package.pdf,1.0,N
EV000113,marketing,submission,MER-S00064,2025-05-30T08:00:00,E019,submitted,draft,submitted,MER-S00064_package.pdf,1.0,N
EV000267,quote,quote,MER-S00023-Q1,2025-05-30T11:00:00,carrier:LIB,quote_received,,received,MER-S00023-Q1.pdf,0.92,N
EV000311,quote,quote,MER-S00089-Q1,2025-05-30T11:00:00,carrier:HIG,quote_received,,received,MER-S00089-Q1.pdf,0.92,N
EV000564,billing,payment,MER-PMT00022,2025-05-30T14:00:00,accounting,cash_applied,received,applied,CHK 11890,1.0,N
EV000580,billing,payment,MER-PMT00038,2025-05-30T14:00:00,accounting,cash_applied,received,applied,ACH451334438,1.0,N
EV000079,marketing,submission,MER-S00045,2025-05-31T10:00:00,carrier:LIB,acknowledged,submitted,acknowledged,,1.0,N
EV000114,marketing,submission,MER-S00064,2025-05-31T10:00:00,carrier:HIG,acknowledged,submitted,acknowledged,,1.0,N
EV000188,marketing,submission,MER-S00104,2025-05-31T10:00:00,carrier:HIG,acknowledged,submitted,acknowledged,,1.0,N
EV000577,billing,payment,MER-PMT00035,2025-05-31T14:00:00,accounting,cash_applied,received,applied,PF688386,1.0,N
EV000283,quote,quote,MER-S00044-Q1,2025-06-01T12:00:00,carrier:AMT,quote_received,,received,MER-S00044-Q1.pdf,0.92,N
EV000559,billing,payment,MER-PMT00017,2025-06-04T14:00:00,accounting,cash_applied,received,applied,ACH396833670,1.0,N
EV000161,marketing,submission,MER-S00090,2025-06-05T10:00:00,E021,submitted,draft,submitted,MER-S00090_package.pdf,1.0,N
EV000130,marketing,submission,MER-S00073,2025-06-06T13:00:00,E018,submitted,draft,submitted,MER-S00073_package.pdf,1.0,N
EV000565,billing,payment,MER-PMT00023,2025-06-06T14:00:00,accounting,cash_applied,received,applied,ACH315324356,1.0,N
EV000036,marketing,submission,MER-S00022,2025-06-07T11:00:00,E021,submitted,draft,submitted,MER-S00022_package.pdf,1.0,N
EV000162,marketing,submission,MER-S00090,2025-06-08T10:00:00,carrier:TRV,acknowledged,submitted,acknowledged,,1.0,N
EV000019,marketing,submission,MER-S00012,2025-06-08T15:00:00,E009,submitted,draft,submitted,MER-S00012_package.pdf,1.0,N
EV000318,quote,quote,MER-S00098-Q1,2025-06-09T09:00:00,carrier:HIG,quote_received,,received,MER-S00098-Q1.pdf,0.92,N
EV000020,marketing,submission,MER-S00012,2025-06-09T10:00:00,carrier:HIG,acknowledged,submitted,acknowledged,,1.0,N
EV000037,marketing,submission,MER-S00022,2025-06-09T10:00:00,carrier:HIG,acknowledged,submitted,acknowledged,,1.0,N
EV000021,marketing,submission,MER-S00013,2025-06-10T10:00:00,E009,submitted,draft,submitted,MER-S00013_package.pdf,1.0,N
EV000131,marketing,submission,MER-S00073,2025-06-10T10:00:00,carrier:CNA,acknowledged,submitted,acknowledged,,1.0,N
EV000115,marketing,submission,MER-S00065,2025-06-11T14:00:00,E019,submitted,draft,submitted,MER-S00065_package.pdf,1.0,N
EV000581,billing,payment,MER-PMT00039,2025-06-11T14:00:00,accounting,cash_applied,received,applied,CHK 16542,1.0,N
EV000022,marketing,submission,MER-S00013,2025-06-12T10:00:00,carrier:CHB,acknowledged,submitted,acknowledged,,1.0,N
EV000252,marketing,submission,MER-S00141,2025-06-13T09:00:00,E014,submitted,draft,submitted,MER-S00141_package.pdf,1.0,N
EV000253,marketing,submission,MER-S00141,2025-06-13T10:00:00,carrier:HIG,acknowledged,submitted,acknowledged,,1.0,N
EV000116,marketing,submission,MER-S00065,2025-06-14T10:00:00,carrier:LIB,acknowledged,submitted,acknowledged,,1.0,N
EV000097,marketing,submission,MER-S00055,2025-06-14T11:00:00,E014,submitted,draft,submitted,MER-S00055_package.pdf,1.0,N
EV000003,marketing,submission,MER-S00002,2025-06-15T09:00:00,E011,submitted,draft,submitted,MER-S00002_package.pdf,1.0,N
EV000004,marketing,submission,MER-S00002,2025-06-15T10:00:00,carrier:CHB,acknowledged,submitted,acknowledged,,1.0,N
EV000557,billing,payment,MER-PMT00015,2025-06-16T14:00:00,accounting,cash_applied,received,applied,PF586371,1.0,N
EV000322,quote,quote,MER-S00104-Q1,2025-06-17T13:00:00,carrier:HIG,quote_received,,received,MER-S00104-Q1.pdf,0.92,N
EV000027,marketing,submission,MER-S00017,2025-06-18T12:00:00,E021,submitted,draft,submitted,MER-S00017_package.pdf,1.0,N
EV000315,quote,quote,MER-S00095-Q1,2025-06-18T15:00:00,carrier:HIG,quote_received,,received,MER-S00095-Q1.pdf,0.92,Y
EV000260,quote,quote,MER-S00012-Q1,2025-06-20T12:00:00,carrier:HIG,quote_received,,received,MER-S00012-Q1.pdf,0.92,N
EV000017,marketing,submission,MER-S00011,2025-06-20T14:00:00,E009,submitted,draft,submitted,MER-S00011_package.pdf,1.0,N
EV000173,marketing,submission,MER-S00096,2025-06-21T15:00:00,E021,submitted,draft,submitted,MER-S00096_package.pdf,1.0,N
EV000124,marketing,submission,MER-S00070,2025-06-23T08:00:00,E013,submitted,draft,submitted,MER-S00070_package.pdf,1.0,N
EV000346,quote,quote,MER-S00141-Q1,2025-06-23T12:00:00,carrier:HIG,quote_received,,received,MER-S00141-Q1.pdf,0.92,N
EV000227,marketing,submission,MER-S00126,2025-06-24T08:00:00,E020,submitted,draft,submitted,MER-S00126_package.pdf,1.0,N
EV000018,marketing,submission,MER-S00011,2025-06-24T10:00:00,carrier:CNA,acknowledged,submitted,acknowledged,,1.0,N
EV000174,marketing,submission,MER-S00096,2025-06-24T10:00:00,carrier:TRV,acknowledged,submitted,acknowledged,,1.0,N
EV000098,marketing,submission,MER-S00056,2025-06-24T14:00:00,E014,submitted,draft,submitted,MER-S00056_package.pdf,1.0,N
EV000228,marketing,submission,MER-S00126,2025-06-25T10:00:00,carrier:BEZ,acknowledged,submitted,acknowledged,,1.0,N
EV000026,marketing,submission,MER-S00016,2025-06-26T12:00:00,E021,submitted,draft,submitted,MER-S00016_package.pdf,1.0,N
EV000284,quote,quote,MER-S00045-Q1,2025-06-26T13:00:00,carrier:LIB,quote_received,,received,MER-S00045-Q1.pdf,0.92,N
EV000125,marketing,submission,MER-S00070,2025-06-27T10:00:00,carrier:LIB,acknowledged,submitted,acknowledged,,1.0,N
EV000229,marketing,submission,MER-S00127,2025-06-27T17:00:00,E020,submitted,draft,submitted,MER-S00127_package.pdf,1.0,N
EV000099,marketing,submission,MER-S00056,2025-06-28T10:00:00,carrier:CNA,acknowledged,submitted,acknowledged,,1.0,N
EV000295,quote,quote,MER-S00065-Q1,2025-06-28T10:00:00,carrier:LIB,quote_received,,received,MER-S00065-Q1.pdf,0.92,N
EV000266,quote,quote,MER-S00022-Q1,2025-06-28T11:00:00,carrier:HIG,quote_received,,received,MER-S00022-Q1.pdf,0.92,N
EV000254,marketing,submission,MER-S00142,2025-06-29T08:00:00,E014,submitted,draft,submitted,MER-S00142_package.pdf,1.0,N
EV000175,marketing,submission,MER-S00097,2025-06-29T10:00:00,E021,submitted,draft,submitted,MER-S00097_package.pdf,1.0,N
EV000573,billing,payment,MER-PMT00031,2025-06-29T14:00:00,accounting,cash_applied,received,applied,CHK 2572,1.0,N
EV000261,quote,quote,MER-S00013-Q1,2025-07-01T12:00:00,carrier:CHB,quote_received,,received,MER-S00013-Q1.pdf,0.92,N
EV000126,marketing,submission,MER-S00071,2025-07-01T17:00:00,E011,submitted,draft,submitted,MER-S00071_package.pdf,1.0,N
EV000127,marketing,submission,MER-S00071,2025-07-02T10:00:00,carrier:BEZ,acknowledged,submitted,acknowledged,,1.0,N
EV000255,marketing,submission,MER-S00142,2025-07-02T10:00:00,carrier:TRV,acknowledged,submitted,acknowledged,,1.0,N
