Item Id,Forecast Month,Forecast Qty,Method,Planner Id,Customer Id
CONV-1042,2026-06,3,Sales input,E012,KBD-CUST0018
CONV-1042,2026-07,3,Sales input,E005,
CONV-1042,2026-08,4,Exp smoothing,E029,KBD-CUST0028
CONV-1042,2026-09,3,Exp smoothing,E015,
AC-1040,2026-04,4,Exp smoothing,E011,
AC-1040,2026-05,3,Sales input,E004,
AC-1040,2026-06,5,12-mo moving avg,E038,
AC-1040,2026-07,4,12-mo moving avg,E004,
AC-1040,2026-08,5,12-mo moving avg,E017,KBD-CUST0012
AC-1040,2026-09,4,12-mo moving avg,E002,
SPRO-1055,2026-04,108,12-mo moving avg,E026,
SPRO-1055,2026-05,86,Sales input,E032,
SPRO-1055,2026-06,84,Sales input,E016,
SPRO-1055,2026-07,80,Exp smoothing,E008,KBD-CUST0003
SPRO-1055,2026-08,100,12-mo moving avg,E022,KBD-CUST0018
SPRO-1055,2026-09,115,Exp smoothing,E021,
TIMI-1014,2026-04,99,12-mo moving avg,E018,KBD-CUST0012
TIMI-1014,2026-05,109,Exp smoothing,E015,
TIMI-1014 ,2026-06,106,Exp smoothing,E016,
TIMI-1014,2026-07,113,Sales input,E005,
TIMI-1014,2026-08,93,12-mo moving avg,E029,
TIMI-1014,2026-09,111,12-mo moving avg,E003,
SPRO-1061,2026-04,63,Exp smoothing,E012,KBD-CUST0011
SPRO-1061,2026-05,51,Sales input,E043,KBD-CUST0016
SPRO-1061,2026-06,52,Sales input,E013,
SPRO-1061,2026-07,60,Exp smoothing,E016,
SPRO-1061,2026-08,79,Sales input,E026,KBD-CUST0010
SPRO-1061,2026-09,76,Exp smoothing,E037,KBD-CUST0018
TIMI-1030,2026-04,40,Sales input ,E002,
TIMI-1030,2026-05,38,Exp smoothing,E029,
TIMI-1030,2026-06,35,12-mo moving avg,E004,
TIMI-1030,2026-07,41,12-mo moving avg,E025,
TIMI-1030,2026-08,51,12-mo moving avg,E019,
TIMI-1030,2026-09,57,Exp smoothing,E038 ,
SHEA-1088,2026-04,4,Sales input,E019,KBD-CUST0015
SHEA-1088,2026-05,4,Exp smoothing,E003,KBD-CUST0029
SHEA-1088,2026-06,5,12-mo moving avg,E035,
SHEA-1088,2026-07,7,12-mo moving avg,E037,KBD-CUST0001
SHEA-1088,2026-08,6,Exp smoothing,E017,KBD-CUST0016
SHEA-1088,2026-09,5,Sales input,E023,
SPRO-1050,2026-04,40,Sales input,E008,KBD-CUST0017
SPRO-1050,2026-05,33,Sales input,E028,
SPRO-1050,2026-06,37,Sales input,E005,
SPRO-1050,2026-07,52,Sales input,E012,
SPRO-1050,2026-08,50,Exp smoothing,E013,
SPRO-1050,2026-09,35,12-mo moving avg,E006,
TIMI-1058,2026-04,36,12-mo moving avg,E011,
TIMI-1058,2026-05,42,Sales input,E021,
TIMI-1058,2026-06,29,Exp smoothing,E005,
TIMI-1058,2026-07,38,Sales input,E019,
TIMI-1058,2026-08,39,Sales input,E026,KBD-CUST0003
TIMI-1058,2026-09,39,Exp smoothing,E003,
AC-1006,2026-04,2,Sales input,E031,KBD-CUST0007
AC-1006 ,2026-05,2,Sales input,E022,KBD-CUST0017
AC-1006,2026-06,2,12-mo moving avg,E045,
AC-1006,2026-07,2,Sales input,E033,
AC-1006,2026-08,1,Sales input,E028,
AC-1006,2026-09,2,12-mo moving avg,E020,
SPRO-1041 ,2026-04,79,Sales input,E021,
SPRO-1041,2026-05,87,Exp smoothing,E029,
SPRO-1041,2026-06,97,12-mo moving avg,E031,
SPRO-1041,2026-07,73,Sales input,E038,
SPRO-1041,2026-08,120,Exp smoothing,E013,KBD-CUST0003
SPRO-1041,2026-09,104,Exp smoothing,E041,KBD-CUST0025
ROLL-1012,2026-04 ,91,12-mo moving avg,E035,
ROLL-1012,2026-05,89,Exp smoothing,E033,
ROLL-1012,2026-06,69,Sales input,E032,
ROLL-1012,2026-07,84,Sales input,E025,
ROLL-1012,2026-08,74,Sales input,E034,
ROLL-1012,2026-09,88,12-mo moving avg,E033,
GEAR-1073,2026-04,3,Exp smoothing,E014,KBD-CUST0014
GEAR-1073 ,2026-05,3,Sales input,E028,
GEAR-1073,2026-06,2,12-mo moving avg,E016,
GEAR-1073,2026-07,2,Sales input,E025,KBD-CUST0004
GEAR-1073,2026-08,2,Sales input,E033,
GEAR-1073,2026-09,3,Exp smoothing,E034,
SHEA-1019,2026-04,42,12-mo moving avg,E030,
SHEA-1019,2026-05,49,Exp smoothing,E004,KBD-CUST0027
SHEA-1019,2026-06,71,12-mo moving avg,E003,
SHEA-1019,2026-07,71,12-mo moving avg,E011,KBD-CUST0024
SHEA-1019,2026-08 ,56,Exp smoothing,E017,KBD-CUST0025
SHEA-1019,2026-09,66,Exp smoothing,E042,
GAT-B62,2026-04,111,Sales input,E004,
GAT-B62,2026-05,100,Exp smoothing,E005,KBD-CUST0027
GAT-B62,2026-06,89,Exp smoothing,E019,KBD-CUST0004
GAT-B62,2026-07,79,Sales input,E026,KBD-CUST0006
GAT-B62,2026-08,78,12-mo moving avg,E038,
GAT-B62,2026-09,89,Sales input,E005,
SPRO-1076,2026-04,23,12-mo moving avg ,E045,
SPRO-1076,2026-05,24,12-mo moving avg,E001,
SPRO-1076,2026-06,32,Sales input,E045,KBD-CUST0018
SPRO-1076,2026-07,24,Sales input,E011,
SPRO-1076,2026-08,33,Exp smoothing,E041,
SPRO-1076,2026-09,25,12-mo moving avg,E007,
AC-1074,2026-04,4,Exp smoothing,E020,
AC-1074,2026-05 ,4,Sales input,E034,
AC-1074,2026-06,4,12-mo moving avg,E035,KBD-CUST0019
AC-1074,2026-07,4,12-mo moving avg,E035,
AC-1074,2026-08,4,Exp smoothing,E040,
AC-1074,2026-09,5,Sales input,E021,
AC-1085,2026-04,3,12-mo moving avg,E025,
AC-1085,2026-05,4,12-mo moving avg,E042,KBD-CUST0026
AC-1085,2026-06,4,Exp smoothing,E018,KBD-CUST0013
AC-1085,2026-07,3,Exp smoothing,E041,KBD-CUST0011
AC-1085,2026-08,4,12-mo moving avg,E004,KBD-CUST0028
AC-1085,2026-09,4,Sales input,E001,KBD-CUST0020
AC-1033,2026-04,3,Sales input,E019,
AC-1033,2026-05,2,Exp smoothing,E006,
AC-1033,2026-06,3,Sales input,E020,
AC-1033,2026-07,2,12-mo moving avg,E019,
AC-1033,2026-08,2,12-mo moving avg,E011,
AC-1033,2026-09,2,Exp smoothing,E004,KBD-CUST0011
CONV-1065,2026-04,5,12-mo moving avg,E026,
CONV-1065,2026-05,5,Exp smoothing,E024,KBD-CUST0004
CONV-1065,2026-06,5,Sales input,E014,
CONV-1065,2026-07,5,Sales input,E040,KBD-CUST0026
CONV-1065,2026-08,4,12-mo moving avg,E028,
CONV-1065,2026-09,4,12-mo moving avg,E005,KBD-CUST0008
SHEA-1049,2026-04,3,Sales input,E013,
SHEA-1049,2026-05,3,Exp smoothing,E025,KBD-CUST0017
SHEA-1049,2026-06,4,Exp smoothing,E011,
SHEA-1049,2026-07,3,12-mo moving avg,E014,KBD-CUST0018
SHEA-1049,2026-08,3,12-mo moving avg,E032,
SHEA-1049,2026-09,3,Exp smoothing,E039,
SHEA-1072,2026-04,3,Sales input,E014,
SHEA-1072,2026-05,2,12-mo moving avg,E040,
SHEA-1072,2026-06,2,Sales input,E032,KBD-CUST0014
SHEA-1072,2026-07,2,12-mo moving avg,E011,
SHEA-1072,2026-08,3,Exp smoothing,E023,
SHEA-1072,2026-09,2,12-mo moving avg,E014,
CONV-1051,2026-04,7,12-mo moving avg,E025,
CONV-1051,2026-05,5,Exp smoothing,E017,
CONV-1051,2026-06 ,6,Exp smoothing,E023,
CONV-1051,2026-07,4,Sales input,E021,
CONV-1051,2026-08,7,Sales input,E022,
CONV-1051,2026-09,6,12-mo moving avg,E037,KBD-CUST0030
CONV-1022,2026-04,5,12-mo moving avg,E022,KBD-CUST0026
CONV-1022,2026-05,4,Sales input,E037,
CONV-1022,2026-06,5,Sales input,E038,
CONV-1022,2026-07,3,Sales input,E014,
CONV-1022,2026-08,5,12-mo moving avg,E024,KBD-CUST0018
CONV-1022,2026-09,4,Exp smoothing,E032,KBD-CUST0031
MOUN-1031,2026-04,39,12-mo moving avg,E034,KBD-CUST0029
MOUN-1031,2026-05,45,12-mo moving avg,E044,KBD-CUST0030
MOUN-1031,2026-06,58,12-mo moving avg,E019,
MOUN-1031,2026-07,33,12-mo moving avg,E033,
MOUN-1031,2026-08,56,12-mo moving avg,E029,
MOUN-1031,2026-09,45,12-mo moving avg,E041,
GEAR-1016,2026-04,3,Exp smoothing,E005,KBD-CUST0025
GEAR-1016,2026-05,5,12-mo moving avg,E014,
GEAR-1016,2026-06 ,4,Sales input,E031,
GEAR-1016,2026-07,5,12-mo moving avg,E001,
GEAR-1016,2026-08,3,Sales input,E007 ,KBD-CUST0004
GEAR-1016,2026-09,4,Exp smoothing,E043,KBD-CUST0020
TIMI-1071,2026-04,49,12-mo moving avg,E015,
TIMI-1071,2026-05 ,50,Exp smoothing,E026,
TIMI-1071,2026-06,45,Sales input,E039,
TIMI-1071,2026-07,60,Sales input,E030,
TIMI-1071,2026-08,37,Exp smoothing,E033,KBD-CUST0007
TIMI-1071,2026-09,59,Sales input,E036,KBD-CUST0014
DOD-TXT315 ,2026-04,3,Exp smoothing,E022,KBD-CUST0017
DOD-TXT315,2026-05,5,Exp smoothing,E002,
DOD-TXT315,2026-06,5,12-mo moving avg,E042,
DOD-TXT315,2026-07,3,Exp smoothing,E039,KBD-CUST0026
DOD-TXT315,2026-08,4,Exp smoothing,E021,
DOD-TXT315,2026-09,5,Sales input,E044,
SHEA-1038,2026-04,5,12-mo moving avg,E019,
SHEA-1038 ,2026-05,5,Sales input,E001,
SHEA-1038,2026-06,5,Exp smoothing,E024,KBD-CUST0005
SHEA-1038,2026-07,5,Sales input,E007,
SHEA-1038,2026-08,3,12-mo moving avg,E045,KBD-CUST0007
SHEA-1038 ,2026-09,4,Exp smoothing,E040,
CONV-1059,2026-04,3,Exp smoothing,E029,
CONV-1059,2026-05,3,12-mo moving avg,E044,
CONV-1059,2026-06,2,Sales input,E013,
CONV-1059,2026-07,3,Exp smoothing,E029,
CONV-1059,2026-08,2,Exp smoothing,E005,
CONV-1059,2026-09,2,Sales input,E029,
MOUN-1029,2026-04,115,Exp smoothing,E045,KBD-CUST0024
MOUN-1029,2026-05,143,12-mo moving avg,E006,KBD-CUST0024
MOUN-1029,2026-06,105,12-mo moving avg,E014,
MOUN-1029,2026-07,113,12-mo moving avg,E006,
MOUN-1029,2026-08,103,Exp smoothing,E016,KBD-CUST0012
MOUN-1029,2026-09,85,12-mo moving avg,E024,
TIMI-1056,2026-04 ,64,Exp smoothing,E032,
TIMI-1056,2026-05,38,12-mo moving avg,E010,KBD-CUST0024
TIMI-1056,2026-06,43,Sales input,E020,
TIMI-1056,2026-07,41,Sales input,E045,
TIMI-1056,2026-08,51,Sales input,E037,KBD-CUST0030
TIMI-1056,2026-09,51,12-mo moving avg,E007,
SKF-6308-2Z,2026-04,29,Sales input,E008,
SKF-6308-2Z,2026-05,28,12-mo moving avg,E010,
SKF-6308-2Z,2026-06,20,Sales input,E036,KBD-CUST0005
SKF-6308-2Z ,2026-07 ,24,Sales input,E002,
SKF-6308-2Z,2026-08,28,12-mo moving avg,E008,
SKF-6308-2Z,2026-09,18,12-mo moving avg,E003,
