SHIPMENT_ID,SO_NUMBER,CUSTOMER_ID,SHIP_TO_ID,SHIP_DATE,CARRIER,MODE,SERVICE,TRACKING_NUMBER,CARTONS,WEIGHT_LB,FRT,FRT_BILLED,SHIPPED_BY,PACKING_SLIP,STATUS
SH-50093,10815,RFS-CUST0011,RFS-CUST0011-S1,2025-11-21,Customer Pickup,LTL,,PRO923198526,8,317.6,$190.46,0.0,E021,PS-SH-50093.pdf,Delivered
SH-50094,15535,RFS-CUST0001,RFS-CUST0001-S1,2025-10-18,FedEx Ground,LTL,,642837379376,5,162.4,$105.07 ,116.63,E019,PS-SH-50094.pdf,Delivered
SH-50095,14974,RFS-CUST0019,RFS-CUST0019-S1,12/12/25,LTL - XPO,Company Truck,,,1,17.6,$0.00,0.0,E021 ,PS-SH-50095.pdf,Delivered
SH-50096,16074,RFS-CUST0001,RFS-CUST0001-S1 ,2026-03-01,FedEx Ground,LTL,,284592635588,311,12422.9,6850.8,8769.02,E014,PS-SH-50096.pdf,Delivered
SH-50097,14398,RFS-CUST0015,RFS-CUST0015-S1,"Jan 18, 2026",Company Truck,LTL,,PRO949992501,40,1575.9,$882.78,0.0,E012,PS-SH-50097.pdf,Delivered
SH-50098,16508,RFS-CUST0008,RFS-CUST0008-S1,2025-12-20,LTL - XPO,LTL,,PRO930115426,271,10812.1,5964.54,0.0,E017,PS-SH-50098.pdf,Delivered
SH-50099,11343,,RFS-CUST0013-S1 ,2025-06-29,LTL - Estes,LTL,,,60,2394.7,"$1,333.28",1493.27,E012,PS-SH-50099.pdf,Delivered
SH-50176,17567,RFS-CUST0018,RFS-CUST0018-S1,05/10/25,Company Truck,LTL,,PRO830165424,117,4643.5,"$2,570.57",0.0,E016,PS-SH-50176.pdf,Delivered
SH-50100,11401,RFS-CUST0006,RFS-CUST0006-S1,2025-12-24,Customer Pickup,LTL,,PRO930490554,26,1025.4,579.9,0.0,E020,PS-SH-50100.pdf,Delivered
SH-50101,17386,RFS-CUST0020,RFS-CUST0020-S1,2025-10-09,FedEx Ground ,LTL,,586785222869,19,735.1,$420.17,0.0,E013,PS-SH-50101.pdf,Delivered
SH-50102,,RFS-CUST0006,RFS-CUST0006-S1,2026-02-13,Customer Pickup,Pickup,,,4,123.0,$0.00,,E017,PS-SH-50102.pdf,Delivered
SH-50103,16390,RFS-CUST0016,RFS-CUST0016-S1,2025-05-10,UPS Ground,LTL,,1Z2681618778,311,12415.3,"$6,846.62",0.0,E018,PS-SH-50103.pdf,Delivered
SH-50104,11415,RFS-CUST0001,RFS-CUST0001-S1,10/11/25,FedEx Ground,LTL,,779025662216,12,472.8,$275.85,0.0,E020,PS-SH-50104.pdf,Delivered
SH-50105,16821,RFS-CUST0023,RFS-CUST0023-S1,01/23/26,LTL - XPO,LTL,,PRO173767270,113,4515.4,"$2,500.09",2925.11,E018,PS-SH-50105.pdf,Delivered
SH-50106,16045,RFS-CUST0023,RFS-CUST0023-S1 ,2026-03-19,LTL - XPO,LTL,,PRO960715013,93,3719.8,2062.35,2289.21,E019,PS-SH-50106.pdf,Delivered
SH-50107,,RFS-CUST0018 ,RFS-CUST0018-S1,08/20/25,Company Truck,LTL,,PRO401901155,36,1417.3,795.52,1073.95,E021,PS-SH-50107.pdf,Delivered
SH-50108 ,14207,RFS-CUST0017,RFS-CUST0017-S1,"Nov 19, 2025",UPS Ground,LTL,,1Z5258381352,437,17443.2,"$9,612.97",0.0,E015,PS-SH-50108.pdf,Delivered
SH-50109,18622,RFS-CUST0007,RFS-CUST0007-S1,2025-08-27,LTL - XPO,LTL,,PRO636397641,30,1173.8,$661.54,813.69,E019,PS-SH-50109.pdf,Delivered
SH-50110,14397,RFS-CUST0007,RFS-CUST0007-S1,2026-02-12,LTL - XPO,LTL,,PRO316012864,96,3820.2,"$2,117.59",0.0,E018,PS-SH-50110.pdf,DELIVERED
SH-50111,14076,RFS-CUST0025,RFS-CUST0025-S1,"Sep 30, 2025",LTL - XPO,LTL,,PRO584323938,71,2802.0,1557.38,1557.38,E017 ,PS-SH-50111.pdf,Delivered
SH-50112,14705,RFS-CUST0009,RFS-CUST0009-S1,2025-11-30,LTL - Estes,LTL,,PRO624335692,221,8816.5,4866.56,5255.88,E012,PS-SH-50112.pdf,Delivered
SH-50113,16947,RFS-CUST0008,RFS-CUST0008-S1,2025-06-11,LTL - XPO,LTL,,PRO194343605,49,1958.4,1093.23,0.0,E020,PS-SH-50113.pdf,Delivered
SH-50114,16163,RFS-CUST0011,RFS-CUST0011-S1,2025-05-05,Customer Pickup,LTL,,PRO151942905,247,9863.5,5442.62,5932.46,E018,PS-SH-50114.pdf,Delivered
SH-50115,12686,RFS-CUST0009,RFS-CUST0009-S1,2025-11-15,,LTL,,PRO949566561,115,,,0.0,E016,PS-SH-50115.pdf,Delivered
SH-50116,,RFS-CUST0017,RFS-CUST0017-S1,06/07/25,UPS Ground,LTL,,1Z9064342629,33,1292.9,$727.07,981.54,E016,PS-SH-50116.pdf,Delivered
SH-50117 ,16965,RFS-CUST0022,RFS-CUST0022-S1,"Feb 27, 2026",UPS Ground,LTL,,1Z6587472345,34,1351.3,759.21,0.0,E017,PS-SH-50117.pdf,Delivered
SH-50118,17965 ,RFS-CUST0004,RFS-CUST0004-S1,"Nov 28, 2025",FedEx Ground,Parcel,Ground,570051111551,1,10.5,21.5,21.71,E012,PS-SH-50118.pdf,Delivered
SH-50119,10559,RFS-CUST0020,RFS-CUST0020-S1,2025-06-17,FedEx Ground,LTL,,608630725125,140,5584.2,3088.15,3088.15,E013,PS-SH-50119.pdf,Delivered
SH-50120,12328,RFS-CUST0025,RFS-CUST0025-S1,,LTL - XPO,LTL ,,PRO636029801,76,3025.0,"$1,680.08",0.0,E016,PS-SH-50120.pdf,Delivered
SH-50121,17894,RFS-CUST0009,RFS-CUST0009-S1,2025-09-12,LTL - Estes,LTL,,PRO872788190,541,21621.2,"$11,911.70",0.0,E015,PS-SH-50121.pdf ,Delivered
SH-50122,12971,RFS-CUST0012,RFS-CUST0012-S1,2025-10-19,UPS Ground,LTL,,1Z1688404343,91,3632.7,"$2,014.43",2135.3,E020,PS-SH-50122.pdf,Delivered
SH-50123,19138,RFS-CUST0010,RFS-CUST0010-S1,2025-05-25 ,UPS Ground,LTL,,1Z4964861993,35,1382.5,776.37,993.75,E018,PS-SH-50123.pdf,Delivered
SH-50124,16103,RFS-CUST0012,RFS-CUST0012-S1,"Sep 09, 2025",UPS Ground,LTL,,1Z3118560775,9,356.1,211.65,222.23,E021,PS-SH-50124.pdf,Delivered
SH-50125,11828,RFS-CUST0004,RFS-CUST0004-S1,2025-11-04,FedEx Ground ,LTL,,410352635546,505,20179.0,11118.21,0.0,E021,PS-SH-50125.pdf,Delivered
SH-50126,19351,RFS-CUST0021,RFS-CUST0021-S1,2026-02-08,Customer Pickup,LTL,,PRO237120641,14,520.5,302.1,0.0,E012,PS-SH-50126.pdf,Delivered
SH-50127,18933,RFS-CUST0003,RFS-CUST0003-S1,2026-01-01,,LTL,,1Z1784159417,323,12900.1,"$7,113.36",8607.17,E016,PS-SH-50127.pdf,Delivered
SH-50128,10240,RFS-CUST0010,RFS-CUST0010-S1,2025-12-04,UPS Ground,LTL,,1Z2006288136,33,1283.0,$721.63,0.0,E020,PS-SH-50128.pdf,Delivered
SH-50129,19034,RFS-CUST0011,RFS-CUST0011-S1,22-Mar-2026,Customer Pickup,LTL,,PRO215166353,80,3167.6,"$1,758.53",1987.14,E021,PS-SH-50129.pdf,Delivered
SH-50130,17120,RFS-CUST0020 ,RFS-CUST0020-S1,2025-08-31,FEDEX GROUND,LTL,,493094724547,188,7491.4,4137.49,0.0,E018,PS-SH-50130.pdf,Delivered
SH-50267,13535,RFS-CUST0013,RFS-CUST0013-S1,12/08/25,LTL - Estes,LTL,,PRO321590020,43,1718.0,960.96,0.0,E013,PS-SH-50267.pdf,Delivered
SH-50131,13266,RFS-CUST0014,RFS-CUST0014-S1,2025-11-16,LTL - Estes,LTL,,PRO724939524,832,33269.9,18320.82,0.0,E021,PS-SH-50131.pdf,Delivered
SH-50132,11443,RFS-CUST0021,RFS-CUST0021-S1,03/22/26,Customer Pickup,LTL,,PRO628626071,42,1649.7,923.38,0.0,E021,PS-SH-50132.pdf,Delivered
SH-50133,13171,RFS-CUST0004,RFS-CUST0004-S1,2025-10-13,FEDEX GROUND,,,,143,5715.0,3160.11,3634.13,E013,PS-SH-50133.pdf,Delivered
SH-50134,14944,RFS-CUST0001,RFS-CUST0001-S1,02-Oct-2025,,Parcel,Ground,444257469560,2,76.2,57.65,75.52,E015,PS-SH-50134.pdf,Delivered
SH-50135,15271,RFS-CUST0013,RFS-CUST0013-S1,12/27/2025,LTL - Estes,LTL,,PRO186450507,241,9620.3,5308.81,0.0,E017,PS-SH-50135.pdf,Delivered
SH-50136,18029,RFS-CUST0008,RFS-CUST0008-S1,2025-05-22 ,LTL - XPO,LTL,,PRO165615527,60,2369.4,"$1,319.36",1358.94,E017,PS-SH-50136.pdf,Delivered
SH-50137,17091,RFS-CUST0021,RFS-CUST0021-S1,2025-06-04,Customer Pickup,LTL,,PRO700104590,62,2463.5,"$1,371.14",1480.83,E019 ,PS-SH-50137.pdf ,Delivered
SH-50138,19519,RFS-CUST0012,RFS-CUST0012-S1,09/25/25,UPS Ground,Parcel,Ground,1Z6338671593,1,5.2,18.58,20.62,E021,PS-SH-50138.pdf,Delivered
SH-50139,11694,RFS-CUST0006,RFS-CUST0006-S1,"JAN 17, 2026",Customer Pickup,LTL,,PRO467896813,101,4003.3,2218.34,2906.03,E014,PS-SH-50139.pdf,Delivered
