account,date,description,amount,balance
Premium Trust Acct x4471,2025-12-17,DEPOSIT CREDIT CARD RIVERSIDE ELECTRIC LLC CHK 25876,22454.0,1348528.56
Premium Trust Acct x4471,2025-12-26,ACH DEBIT LIB ACCT CURRENT LIB-STMT-202511,-19759.52,1448619.73
Premium Trust Acct x4471,2025-12-27,DEPOSIT ACH COASTAL MEDICAL GROUP  CHK 93572,50425.0,1398953.56
Premium Trust Acct x4471,2026-01-05,DEPOSIT CREDIT CARD EVERGREEN ELECTRIC LLC CHK 70758,25270.24,1424223.8
Premium Trust Acct x4471,2026-01-25,DEPOSIT ACH PATRIOT MEDICAL GROUP  CHK 46500,15136.37,1439360.17
Premium Trust Acct x4471,2026-01-26,ACH DEBIT CNA ACCT CURRENT CNA-STMT-202512,-42648.75,1551142.26
Premium Trust Acct x4471,2026-01-29,ACH DEBIT BEZ ACCT CURRENT BEZ-STMT-202512,-23661.45,1734596.91
Premium Trust Acct x4471,2026-02-01,ACH DEBIT MKL ACCT CURRENT MKL-STMT-202512,-20448.56,1388362.61
Premium Trust Acct x4471,2026-02-11,DEPOSIT ACH IRONCLAD ELECTRIC LLC ACH117883794,45237.0,1484597.17
Premium Trust Acct x4471,2026-02-14,DEPOSIT ACH METRO SOFTWARE LLC CHK 75917,32139.0,1516736.17
Premium Trust Acct x4471,2026-02-16,DEPOSIT ACH AFCO PF398353,54640,1571376.17
Premium Trust Acct x4471,2026-03-08,DEPOSIT ACH KEYSTONE STATE SOFTWAR CHK 20583,34740.0,1606116.17
Premium Trust Acct x4471,2026-03-09,ACH DEBIT CNA ACCT CURRENT CNA-STMT-202601,-56209.65,1494932.61
Premium Trust Acct x4471,2026-03-12,ACH DEBIT LIB ACCT CURRENT LIB-STMT-202601,-39808.56,1408811.17
Premium Trust Acct x4471,2026-03-17,DEPOSIT WIRE SUMMIT SOFTWARE INC. ACH131519509,26953.69,1633069.86
Premium Trust Acct x4471,2026-03-21,DEPOSIT ACH BAYSIDE AUTOMOTIVE COR ACH718244667,12667.5,1645737.36
Premium Trust Acct x4471,2026-03-21,DEPOSIT CHECK KEYSTONE STATE SOFTWAR CHK 58884,4086,1649823.36
Premium Trust Acct x4471,2026-03-24,ACH DEBIT CHB ACCT CURRENT CHB-STMT-202602,-46316.5,1650606.71
Premium Trust Acct x4471,2026-03-31,DEPOSIT CHECK METRO SOFTWARE LLC CHK 54370,1127,1650950.36
Premium Trust Acct x4471,2026-04-01,DEPOSIT ACH IMPERIAL PFS PF351693,82258,1733208.36
Premium Trust Acct x4471,2026-04-20,DEPOSIT WIRE PIONEER SUPPLY LLC CHK 17822,25050.0,1758258.36
