Transaction Id,Transaction Date,Type,Item Id,Qty,Uom,From Location,To Location,Reference,Lot Number,User Id,Unit Cost
IT-000831,2025-05-02 ,SO Issue,SPRO-1015,-200,EA,B-14-4,SHIPPING,SO-26050,,E031,74.58
IT-001248,2025-05-02,SO Issue,DOD-TXT315,-3,EA,E-22-1,SHIPPING,SO-26212,,E038 ,1180.0
IT-001337,05/02/2025,SO Issue,SPRO-1076,-4,EA,B-34-4,SHIPPING,SO-26253,,E036,13.24
IT-000828,2025-05-03,SO Issue,CONV-1052,-2,EA,E-23-5,SHIPPING,SO-26050,,E033,2311.6
IT-001575,2025-05-03,SO Issue,SPRO-1061,-50,EA,F-04-4,SHIPPING,SO-26342,,E028,87.28
IT-001703,2025-05-03,SO Issue,TIM-LM11949-LM11910,-2,EA,E-34-4 ,SHIPPING,SO-26391,,E039,7.6
IT-001744,"May 03, 2025",SO Issue,TIMI-1000,-50,EA,E-31-4,SHIPPING,SO-26408,,E031,43.53
IT-001768,2025-05-03,SO Issue,SPRO-1015,-2,EA,E-15-1,SHIPPING,SO-26417,,E032,74.58
IT-001073,2025-05-04,SO Issue,GAT-B62,-2,EA,F-12-4,SHIPPING,SO-26142,,E037,12.7
IT-001142,2025-05-04,SO Issue,SPRO-1002,-10,EA,D-23-5,SHIPPING,SO-26171,,E033,65.84
IT-001803,05/04/2025,SO Issue,GEAR-1060,-2,EA,E-03-1,SHIPPING,SO-26431,,E038,3102.4300000000003
IT-001804,2025-05-04,SO Issue,SHEA-1025,-1,EA,C-17-4 ,SHIPPING,SO-26431,,E035,153.95000000000002
IT-000821,2025-05-05,SO Issue,GEAR-1084,-5,EA,B-20-2,SHIPPING,SO-26047,,E032,3456.0
IT-000857,2025-05-05,SO Issue,SHEA-1028,-1,EA,A-36-4,SHIPPING,SO-26059,,E030,284.6
IT-001704,2025-05-05,SO Issue,ROLL-1026,-1,EA,E-05-1,SHIPPING,SO-26391,,E029,129.92000000000002
IT-000543,2025-05-06,PO Receipt,GEAR-1010,85,EA,RECEIVING,B-03-1,PO-31234,,E032,2784.15
IT-000544,2025-05-06,PO Receipt,TIMI-1017,173,EA,RECEIVING,B-07-4,PO-31234,,E028,50.69
IT-000545,"May 06, 2025",PO Receipt,MOUN-1029,103,EA,RECEIVING,B-16-3,PO-31234,,E032,86.28
IT-000829,2025-05-06,SO Issue,CONV-1052,-1,EA,F-09-3,SHIPPING,SO-26050,,E029,2311.6
IT-001240,2025-05-06,SO Issue,SPRO-1069,-1,EA,C-11-2,SHIPPING,SO-26210,,E038,115.11
IT-001577,2025-05-06,SO Issue,AC-1054 ,-5,EA,B-34-4,SHIPPING,SO-26342,,E035,1828.58
IT-000042,2025-05-07,PO Receipt,SHEA-1037,130,EA,RECEIVING,F-21-5,PO-31018,,E036,99.06
IT-001143,05/07/2025,SO Issue,CONV-1065,-5,EA,D-27-4,SHIPPING,SO-26171,,E034,2903.56
IT-001295,2025-05-07,SO Issue,GEAR-1067,-1,EA,B-08-3,SHIPPING,SO-26236,,E034,498.09000000000003
IT-001384,2025-05-07,SO Issue,CONV-1022,-5,EA,A-36-4,SHIPPING,SO-26271,,E034,2154.05
IT-001504,2025-05-07,SO Issue,TIM-LM11949-LM11910,-50,EA,B-20-3,SHIPPING,SO-26311,,E039,7.6
IT-001613,2025-05-07,SO Issue,MOUN-1062,-3,EA,C-03-2,SHIPPING,SO-26356,,E029,135.75
IT-001778,2025-05-07,SO Issue,GEAR-1010,-1,EA ,A-36-4,SHIPPING,SO-26422,,E029,2784.15
IT-002080,2025-05-07,Scrap,SPRO-1002,1,EA,F-37-1,D-16-4,Bin move,,E028,65.84
IT-000025,2025-05-08,PO Receipt,AC-1040,25,EA,RECEIVING,F-19-4,PO-31011,,E028,609.44
IT-001092,"May 08, 2025",SO Issue,TIMI-1017,-10,EA,B-04-5,SHIPPING,SO-26148,,E034,50.69
IT-001468,2025-05-08,SO Issue,GEAR-1084,-1,EA,C-10-5,SHIPPING,SO-26299,,E028,3456.0
IT-001501,2025-05-08,SO Issue,CONV-1052,-3,EA,A-36-4,SHIPPING,SO-26311,,E036,2311.6
IT-000039,2025-05-09,PO Receipt,SPRO-1011,148,EA,RECEIVING,F-13-4,PO-31017,,E026,118.48
IT-000040,2025-05-09,PO Receipt,BRI-HHCS-0500-13-200-G8,79,BX,RECEIVING,C-10-1,PO-31017,,E026,44.75
IT-000041,2025-05-09,PO Receipt,SPRO-1069,70,EA,RECEIVING,A-40-2,PO-31017,,E028,115.11
IT-000822,2025-05-09,SO Issue ,SPRO-1009,-12,EA,B-14-4,SHIPPING,SO-26047,,E039,24.54
IT-001188 ,2025-05-09,SO Issue,SPRO-1047,-100,EA,B-26-2,SHIPPING,SO-26190,,E026 ,13.77
IT-001336,2025-05-09,SO Issue,ROLL-1021,-6,EA,A-14-1,SHIPPING,SO-26253,,E026,81.74
IT-001745,2025-05-09,SO Issue,GAT-B62,-4,EA,F-01-5,SHIPPING,SO-26408,,E032,12.7
IT-001767,2025-05-09,SO Issue,MOUN-1062,-2,EA,F-04-4,SHIPPING,SO-26417,,E027,135.75
IT-001900,2025-05-09,SO Issue,ROLL-1026,-1,EA,F-34-2,SHIPPING,SO-26464,,E027,129.92000000000002
IT-000373,2025-05-10,PO Receipt,SHEA-1077,14,EA,RECEIVING,F-09-4,PO-31159,,E033,67.98
IT-000374,2025-05-10,PO Receipt,TIMI-1017,173,EA,RECEIVING,C-21-1,PO-31159,,E035,50.69
IT-001284,2025-05-10,SO Issue,TIMI-1071,-25,EA,E-06-5,SHIPPING,SO-26231,,E036,74.85000000000001
IT-001297,2025-05-10,SO Issue,ROLL-1021,-1,EA,A-21-2,SHIPPING,SO-26237,,E036,81.74
IT-001742,2025-05-10 ,SO Issue,DOD-TXT315,-3,EA,D-17-2,SHIPPING,SO-26408,,E039,1180.0
IT-001746,2025-05-10,SO Issue,SPRO-1061,-6,EA,A-36-4,SHIPPING,SO-26408,,E037,87.28
IT-001779,2025-05-10,SO Issue,SPRO-1047,-6,EA,E-36-5,SHIPPING,SO-26422,,E027,13.77
IT-000072,2025-05-11,PO Receipt,SHEA-1088,100,EA,RECEIVING,D-07-5,PO-31030,,E036,189.79
IT-000073,2025-05-11,PO Receipt,SPRO-1027,100,EA,RECEIVING,A-26-1,PO-31030,,E028,77.98
IT-000074,2025-05-11,PO Receipt,SHEA-1088,91,EA,RECEIVING,A-27-5,PO-31030,,E038,189.79
IT-000075,2025-05-11,PO Receipt,SHEA-1088,45,EA,RECEIVING,A-07-5,PO-31030,,E038 ,189.79
IT-001178,2025-05-12,SO Issue,SHEA-1003,-5,EA,F-12-3,SHIPPING,SO-26187,,E031,235.72
IT-001335,2025-05-12,SO Issue,ROLL-1021,-10,EA,A-18-1,SHIPPING,SO-26253,,E029,81.74
IT-001469,2025-05-12,SO Issue,SPRO-1004,-10,EA,F-06-1,SHIPPING,SO-26300,,E037,42.84
IT-001470,2025-05-12,SO Issue,CONV-1042,-5,EA,E-36-5,SHIPPING,SO-26300,,E030,5159.58
IT-001780,2025-05-12,SO Issue,ROLL-1053,-50,EA,E-26-3,SHIPPING,SO-26422,,E026,86.10000000000001
IT-001223,2025-05-13,SO Issue,GEAR-1066,-1,EA,B-08-3,SHIPPING,SO-26202,,E029,1270.02
IT-001294,2025-05-13,SO Issue,SPRO-1055,-50,EA,E-15-1,SHIPPING,SO-26236,,E029,26.94
IT-001637,2025-05-13,SO Issue,ROLL-1012,-25,EA,C-03-2,SHIPPING,SO-26364,,E032,47.52
IT-001761,2025-05-13,SO Issue,SPRO-1050,-100,EA,E-34-4,SHIPPING,SO-26414,,E038,12.85
IT-001776,2025-05-13,SO Issue,CONV-1051,-5,EA,F-06-1,SHIPPING,SO-26421,,E026,4147.58
IT-001825,2025-05-13,SO Issue,SKF-6308-2Z,-12,EA,E-22-1,SHIPPING,SO-26439,,E039,10.25
IT-001039,2025-05-14,SO Issue,SPRO-1011 ,-3,EA,C-17-4,SHIPPING,SO-26131,,E035,118.48
IT-001296 ,2025-05-14,SO Issue,AC-1057,-5,EA,E-05-1,SHIPPING,SO-26236,,E039,687.08
IT-001827,2025-05-14,SO Issue,SPRO-1004,-10,EA,B-21-3,SHIPPING,SO-26439,,E031,42.84
IT-001090,2025-05-15,SO Issue,SHEA-1064,-1,EA,F-12-3,SHIPPING,SO-26148,,E031,139.88
IT-001503,2025-05-15,SO Issue,GEAR-1060,-3,EA,A-24-3,SHIPPING,SO-26311,,E034,3102.4300000000003
IT-001635,2025-05-15 ,SO Issue,GAT-B62,-50,EA,F-01-5,SHIPPING,SO-26364,,E039,12.7
IT-000220,2025-05-16,PO Receipt,TIMI-1058,166,EA,RECEIVING,A-32-4,PO-31093,,E034,84.45
IT-000221,2025-05-16,PO Receipt,TIMI-1058,166,EA,RECEIVING,E-11-4,PO-31093,,E027,84.45
IT-000222,2025-05-16,PO Receipt,TIMI-1014,250,EA,RECEIVING,E-37-2,PO-31093,,E026,49.480000000000004
IT-001757,2025-05-16,SO Issue,GEAR-1016,-3,EA,D-28-2,SHIPPING,SO-26414,,E033,2265.26
IT-001038,2025-05-17,SO Issue,SPRO-1055,-12,EA,C-19-1,SHIPPING,SO-26131,,E037,26.94
IT-001175,2025-05-17,SO Issue,SHEA-1072,-1,EA,A-23-4,SHIPPING,SO-26187,,E036,101.96000000000001
IT-001187,2025-05-17,SO Issue,SHEA-1003,-1,EA,B-31-3,SHIPPING,SO-26190,,E029,235.72
IT-001898,17-May-2025,SO Issue,SPRO-1061,-50,EA,C-19-1,SHIPPING,SO-26464,,E039,87.28
IT-000763 ,2025-05-18,SO Issue,CONV-1043,-2,EA,B-08-3,SHIPPING,SO-26024,,E032,1971.53
IT-000764,2025-05-18,SO Issue,SHEA-1049,-3,EA,A-31-5,SHIPPING,SO-26024,,E038,153.4
IT-001224,2025-05-18,SO Issue,SHEA-1003,-1,EA,C-28-3,SHIPPING,SO-26202,,E030,235.72
IT-001241 ,2025-05-18,SO Issue,GEAR-1066,-2,EA,D-17-4,SHIPPING,SO-26210,,E034,1270.02
IT-001634,2025-05-18,SO Issue,ROLL-1053,-1,EA,E-34-4,SHIPPING,SO-26364,,E039,86.10000000000001
IT-001502,2025-05-19,SO Issue,TIMI-1071,-2,EA,C-11-2,SHIPPING,SO-26311,,E032,74.85000000000001
IT-001578,2025-05-19,SO Issue ,SHEA-1007,-2,EA,F-34-2,SHIPPING,SO-26342,,E038,129.94
IT-001759,2025-05-19,SO Issue,GEAR-1066,-1,EA,C-10-4,SHIPPING,SO-26414,,E038,1270.02
IT-001949,2025-05-19,SO Issue,SPRO-1069,-2,EA,B-20-3,SHIPPING,SO-26482,,E029,115.11
IT-000155,2025-05-20,PO Receipt,SPRO-1050,53,EA,RECEIVING,D-07-5,PO-31065,,E029,12.85
IT-000156,2025-05-20,PO Receipt,AC-1033,142,EA,RECEIVING,E-12-5,PO-31065,,E027,1093.27
IT-000157,2025-05-20,PO Receipt,AC-1033,142,EA,RECEIVING,B-10-1,PO-31065,,E027,1093.27
IT-001089,2025-05-20,SO Issue,CONV-1043,-1,EA,F-12-3,SHIPPING,SO-26148,,E034,1971.53
IT-001144,2025-05-20,SO Issue,TIMI-1071,-100,EA,B-04-5,SHIPPING,SO-26171,,E033,74.85000000000001
IT-001177,2025-05-20,SO Issue,AC-1063,-3,EA,F-02-3,SHIPPING,SO-26187,,E027,1677.24
IT-001743,2025-05-20,SO Issue,TIMI-1075,-25,EA,A-22-3,SHIPPING,SO-26408,,E038,72.76
IT-002041,2025-05-20,SO Issue,CONV-1039,-2,EA,D-17-2,SHIPPING,SO-26518,,E027,7046.72
IT-001242,2025-05-21,SO Issue,TIMI-1075,-50,EA,C-11-2,SHIPPING,SO-26210,,E034,72.76
IT-001828,2025-05-21,SO Issue,GEAR-1010,-5,EA,D-17-2,SHIPPING,SO-26439,,E032,2784.15
IT-001044,2025-05-22,SO Issue,DOD-TXT315 ,-2,EA,A-14-1,SHIPPING,SO-26134,,E036,1180.0
IT-001186,2025-05-22,SO Issue,AC-1063,-1,EA,C-38-3,SHIPPING,SO-26190,,E034,1677.24
IT-001777,2025-05-22,SO Issue,CONV-1022,-2,EA,A-10-1,SHIPPING,SO-26422,,E039,2154.05
IT-001947,2025-05-22,SO Issue,GEAR-1067,-5,EA,F-04-4,SHIPPING,SO-26482,,E032,498.09000000000003
IT-000883,2025-05-23,SO Issue,ROLL-1021,-4,EA,D-17-2,SHIPPING,SO-26067,,E035,81.74
IT-001043,2025-05-23,SO Issue,TIM-LM11949-LM11910,-4,EA,E-23-5,SHIPPING,SO-26134,,E036,7.6
IT-001185,05/23/25,SO Issue,SKF-6308-2Z,-50,EA,D-14-3,SHIPPING,SO-26190,,E038,10.25
IT-001197,2025-05-23,SO Issue,SHEA-1007,-1,EA,E-06-5,SHIPPING,SO-26193,,E033,129.94
IT-001929,2025-05-23,SO Issue,AC-1085,-1,EA,B-34-4,SHIPPING,SO-26473,,E039,365.76
IT-000314,2025-05-24,PO Receipt,AC-1054,50,EA,RECEIVING,C-22-2,PO-31133,,E039,1828.58
IT-001093,2025-05-24,SO Issue,MOUN-1034,-25,EA,C-10-4,SHIPPING,SO-26148,,E035,23.82
IT-001930,2025-05-24,SO Issue,SHEA-1007,-3,EA,A-14-1,SHIPPING,SO-26473,,E031,129.94
IT-001176,2025-05-25,SO Issue,SHEA-1068,-1,EA,F-09-3,SHIPPING,SO-26187,,E036,180.78
IT-001691,2025-05-25,SO Issue,TIMI-1000,-6,EA,C-10-4,SHIPPING,SO-26388,,E036,43.53
IT-001904,2025-05-25,SO Issue,SKF-6308-2Z,-6,EA,A-21-2,SHIPPING,SO-26466,,E036,10.25
IT-002040,2025-05-25,SO Issue,SPRO-1076,-100,EA,B-26-4,SHIPPING,SO-26518,,E034,13.24
IT-000303,2025-05-26,PO Receipt,GEAR-1080,179,EA,RECEIVING,A-33-5,PO-31127,,E029,1484.33
IT-000304,2025-05-26,PO Receipt,TIMI-1030,137,EA,RECEIVING,B-03-1,PO-31127,,E036,66.14
IT-000827,2025-05-26,SO Issue,CONV-1043,-1,EA,C-09-4,SHIPPING,SO-26049,,E031,1971.53
IT-001765,2025-05-26,SO Issue,GEAR-1060,-1,EA,A-22-3,SHIPPING,SO-26417,,E031,3102.4300000000003
IT-001928,2025-05-26,SO Issue,SPRO-1047,-100,EA,A-10-1,SHIPPING,SO-26473,,E038,13.77
IT-001933,2025-05-26,SO Issue,MOUN-1029,-6,EA,F-12-4,SHIPPING,SO-26474,,E028,86.28
IT-000882,2025-05-27,SO Issue,GEAR-1073,-2,EA,F-34-2,SHIPPING,SO-26067 ,,E031,1938.75
IT-001246,2025-05-27,SO Issue,SHEA-1003,-1,EA,D-28-2,SHIPPING,SO-26212,,E029,235.72
IT-001692,2025-05-27,SO Issue,TIMI-1075,-50,EA,F-23-3,SHIPPING,SO-26388,,E037,72.76
IT-001758,2025-05-27,SO Issue,SHEA-1064,-2,EA,C-11-3,SHIPPING,SO-26414,,E031,139.88
IT-001907,2025-05-27,SO Issue,TIMI-1030,-4,EA,D-08-4,SHIPPING ,SO-26466,,E037,66.14
IT-001932,2025-05-27,SO Issue,GEAR-1010,-1,EA,F-12-3 ,SHIPPING,SO-26474,,E030,2784.15
IT-000012,2025-05-28,PO Receipt,SHEA-1037,50,EA,RECEIVING ,E-24-3,PO-31006,,E027,99.06
IT-000013,2025-05-28,PO Receipt,SPRO-1027,500,EA,RECEIVING,D-11-4,PO-31006,,E029,77.98
IT-001099,2025-05-28,SO Issue,MOUN-1034,-10,EA,F-12-4,SHIPPING,SO-26151,,E034,23.82
IT-001325,2025-05-28,SO Issue,TIMI-1056,-12,EA,C-30-4,SHIPPING,SO-26248,,E027,17.21
IT-001399,2025-05-28,SO Issue,MOUN-1083,-200,EA,E-23-5,SHIPPING,SO-26277,,E038,87.77
IT-001690,2025-05-28,SO Issue,GAT-B62,-6,EA,A-14-1,SHIPPING,SO-26388,,E035,12.7
IT-001760,05/28/25,SO Issue,GEAR-1073,-1,EA,B-24-5,SHIPPING,SO-26414,,E038,1938.75
IT-001927,2025-05-28,SO Issue,SPRO-1050,-10,EA,A-10-3,SHIPPING,SO-26473,,E030,12.85
IT-001632,2025-05-29,SO Issue,SPRO-1009,-6,EA,F-36-1,SHIPPING,SO-26363,,E032,24.54
IT-000361,2025-05-30,PO Receipt,SHEA-1035,50,EA,RECEIVING,D-27-3,PO-31153,,E027,148.52
IT-000362,2025-05-30,PO Receipt,GEAR-1016,122,EA,RECEIVING,C-02-4,PO-31153,,E032,2265.26
IT-000363,"May 30, 2025",PO Receipt,GEAR-1016,122,EA,RECEIVING,D-19-1,PO-31153,,E030,2265.26
IT-000364,2025-05-30,PO Receipt,ROLL-1021,50,EA,RECEIVING,D-08-5,PO-31153,,E030,81.74
IT-001591,2025-05-30,SO Issue,SHEA-1072,-2,EA,F-12-4,SHIPPING,SO-26345,,E037,101.96000000000001
IT-001977,2025-05-30,SO Issue,CONV-1023,-5,EA,F-09-3,SHIPPING,SO-26495,,E034 ,3652.15
IT-000424,05/31/25,PO Receipt,SPRO-1050,25,EA,RECEIVING,F-36-5,PO-31180,,E034,12.85
IT-000425,2025-05-31,PO Receipt,AC-1033,142,EA,RECEIVING,A-19-1,PO-31180,,E035,1093.27
IT-000339,06/01/25,PO Receipt,GEAR-1066,100,EA,RECEIVING,D-06-2 ,PO-31143 ,,E029,1270.02
IT-000340,2025-06-01,PO Receipt,SPRO-1011,500,EA,RECEIVING,F-23-4,PO-31143,,E030,118.48
IT-000341,2025-06-01,PO Receipt,SPRO-1011,148,EA,RECEIVING,D-18-3,PO-31143,,E031,118.48
IT-000342,2025-06-01,PO Receipt,TIMI-1075,50,EA,RECEIVING,B-22-1,PO-31143,,E034,72.76
IT-001091,2025-06-01,SO Issue,TIMI-1075,-25,EA,A-24-3,SHIPPING,SO-26148,,E033,72.76
IT-001392,06/01/2025,SO Issue ,CONV-1042,-1,EA,F-08-1,SHIPPING,SO-26274,,E035,5159.58
IT-001636,06/01/2025,SO Issue,SKF-6205-2RS1,-6,EA,C-06-1,SHIPPING,SO-26364,,E026,3.55
IT-001905,2025-06-01,SO Issue,CONV-1051,-1,EA,C-38-3,SHIPPING,SO-26466,,E029,4147.58
IT-001105,2025-06-02,SO Issue,CONV-1023,-3,EA,C-19-1,SHIPPING,SO-26152,,E028,3652.15
IT-001352,06/02/2025,SO Issue,GEAR-1084,-1,EA,F-34-2,SHIPPING,SO-26260,,E031,3456.0
IT-001717,2025-06-02,SO Issue ,TIM-LM11949-LM11910,-100,EA,B-11-2,SHIPPING,SO-26396,,E031,7.6
IT-000095,2025-06-03,PO Receipt,SKF-6205-2RS1,88,EA,RECEIVING,F-04-1,PO-31041,,E038,3.55
IT-000096,2025-06-03,PO Receipt,SPRO-1076,141,EA,RECEIVING,D-15-1,PO-31041,,E034,13.24
IT-000097,2025-06-03,PO Receipt,SKF-6308-2Z,192,EA,RECEIVING,E-13-4,PO-31041,,E034,10.25
IT-000242,2025-06-03,PO Receipt,SHEA-1088,100,EA,RECEIVING,B-08-1,PO-31102,,E039,189.79
IT-000243,2025-06-03,PO Receipt,SHEA-1037,130,EA,RECEIVING,B-31-4,PO-31102,,E038,99.06
IT-001588,2025-06-03,SO Issue,CONV-1065,-1,EA,B-35-2,SHIPPING,SO-26345,,E032,2903.56
IT-001104,2025-06-04,SO Issue,TIMI-1058,-100,EA,F-12-4,SHIPPING,SO-26152,,E027,84.45
IT-001535,2025-06-04,SO Issue,TIMI-1071,-50,EA,C-30-4,SHIPPING,SO-26322,,E034,74.85000000000001
IT-000168,2025-06-05,PO Receipt,SPRO-1002,132,EA,RECEIVING,A-30-4,PO-31070,,E038,65.84
IT-000169,2025-06-05,PO Receipt,SPRO-1078,13,EA,RECEIVING,C-06-2,PO-31070,,E033,69.25
IT-000170,2025-06-05,PO Receipt,SPRO-1078 ,500,EA,RECEIVING,A-22-3 ,PO-31070,,E034,69.25
IT-000881,2025-06-05,SO Issue,AC-1074,-1,EA,C-09-4,SHIPPING,SO-26067,,E035,1663.14
IT-001351 ,2025-06-05,SO Issue,GEAR-1084,-2,EA,C-10-4,SHIPPING,SO-26260,,E031,3456.0
IT-001718,2025-06-05,SO Issue,TIMI-1032,-12,EA,E-15-1,SHIPPING,SO-26396,,E033,32.99
