NUM,CUSTOMER_ID,SO_NUMBER,SHIPMENT_ID,CUSTOMER_PO_NUMBER,INVOICE_DATE,DUE_DATE,PAYMENT_TERMS,MERCHANDISE_TOTAL,FREIGHT,SALES_TAX,AMOUNT,AMOUNT_PAID,OPEN_BAL,STATUS,DELIVERY_METHOD,GL_REVENUE_ACCOUNT
29700,RFS-CUST0010,18678,SH-50012,P739311,10/31/2025,2025-11-30,2% 10 Net 30,$311.53,0.0,0.0,$311.53,$311.53,$0.00,Paid,,4010
29342,RFS-CUST0018 ,15068,SH-50013,PO968897,2025-09-13,2025-10-13,2% 10 Net 30,$693.22,285.57,0.0,$978.79,$978.79 ,$0.00,Paid,EDI 810,4010
27319,RFS-CUST0004,19863,SH-50014,PUR-544001,06-Oct-2025,2025-12-05,Net 60,"$5,579.00 ",11883.56,0.0,"$17,462.56",17462.56,0.0,Paid,Email PDF,"$4,010.00"
28893,RFS-CUST0014,17002,SH-50015,PUR-380041,2025-08-17,"Sep 16, 2025",2% 10 Net 30,,935.96,0.0,2358.21,2358.21,0.0,Paid,Mail,4010
25218,RFS-CUST0011,19999,SH-50220,PUR-629793,2025-05-13,06/12/25,Net 30,6616.5,1905.41,0.0,8521.91,,0.0,Paid,Email PDF,"$4,010.00"
28496,RFS-CUST0001,12574,SH-50065,P844518,06/23/2025 ,2025-07-23,2% 10 Net 30,1047.92,0.0,0.0,1047.92,"$1,047.92",0.0,Paid,EDI 810,"$4,010.00"
28809,RFS-CUST0007,19916,SH-50016,4500657316,2025-11-29,2025-11-29,COD,"$3,670.29",1955.88,0.0,"$5,626.17","$5,626.17",$0.00,PAID,EDI 810,4010
22296,RFS-CUST0003,16630,SH-50017,PUR-192284,2026-01-19,"Feb 18, 2026",2% 10 Net 30,"$2,540.31",1026.7,0.0,3567.01,3567.01,0.0,Paid,EDI 810,4010
26305,RFS-CUST0001,,SH-50018,PUR-963162,"Oct 22, 2025",2025-11-21,2% 10 Net 30,"$9,936.31",0.0,0.0,9936.31,9936.31,0.0,Paid,Email PDF,4010
28966,RFS-CUST0003,17468,SH-50019,PUR-300194,"May 25, 2025",2025-06-24,2% 10 Net 30,238.76,0.0,0.0,$238.76,238.76,$0.00,PAID,Email PDF,"$4,010.00"
27041,RFS-CUST0010,,SH-50020,PO819978,2025-10-20 ,2025-11-19,2% 10 Net 30,3043.35,0.0,0.0,"$3,043.35 ","$3,043.35",$0.00,Paid,Portal upload,4010
28171,RFS-CUST0014,11649,SH-50021,P393865,2025-08-14,2025-09-13,2% 10 Net 30,19854.9,0.0,0.0,19854.9,"$19,854.90",$0.00,Paid,Portal upload,
23807,RFS-CUST0011,15309,SH-50022,PUR-536812,2025-09-03,10/03/2025,Net 30,82.72,0.0,0.0,82.72,82.72,0.0,Paid,Portal upload,4010
24246,RFS-CUST0023,11616,SH-50023,4500129090,10/18/2025,,Net 60,"$8,864.02",0.0,642.64,"$9,506.66",9506.66,$0.00,Paid,Mail,4010
21553 ,RFS-CUST0010,15092,SH-50024,4500622818,2025-11-30,2025-12-30,2% 10 Net 30,"$15,148.66",13034.1,0.0,"$28,182.76","$28,182.76",$0.00,Paid,Email PDF,4010
23401,RFS-CUST0004,10863,SH-50025,4500768658 ,2025-06-18,2025-08-17,Net 60,717.37,509.77,0.0,1227.14,1227.14,0.0,Paid,Email PDF,4010
21610,RFS-CUST0016,19131,SH-50026,4500581130 ,2025-07-19,2025-09-02,Net 45,$372.84,0.0,0.0,372.84,$372.84,$0.00 ,Paid,Email PDF,4010
21062,RFS-CUST0022,18901,SH-50027,PO394619,10/29/2025,12/28/25,Net 60,"$20,546.81",0.0,0.0,"$20,546.81",20546.81,$0.00,Paid,Portal upload,"$4,010.00"
21821,RFS-CUST0011,19099,SH-50028,PO682319,14-Nov-2025,2025-12-14,Net 30,6988.3,0.0,0.0,6988.3,6988.3,0.0,Paid,Email PDF,"$4,010.00"
25515,RFS-CUST0015,10122,SH-50029,PO772989,2026-03-07,04/06/2026,Net 30,"$16,936.68",9370.51,0.0,"$26,307.19",0.0,"$26,307.19",Open,Email PDF,4010
21377,RFS-CUST0022,16833,SH-50030,P827438,2025-08-16,10/15/25,Net 60,"$3,830.49",1227.28,0.0,5057.77,5057.77,$0.00,Paid,,4010
20204,RFS-CUST0014,18441,SH-50031,P408024,10-Jul-2025,"Aug 09, 2025",2% 10 Net 30,2383.83,0.0,0.0,2383.83,2383.83,0.0,Paid,EDI 810,"$4,010.00"
26776,RFS-CUST0008,10719,SH-50032,PO780344,04/28/2025,2025-06-12,Net 45,20923.73,0.0,1516.97,"$22,440.70",22440.7,0.0,Paid,Portal upload,4010
28211 ,RFS-CUST0005 ,14133,SH-50211,P368638,"Oct 30, 2025",2025-11-29,Net 30,12229.48,4624.39,0.0,16853.87,"$16,853.87",$0.00,Paid,Email PDF,"$4,010.00"
20784,RFS-CUST0020 ,12130,SH-50033,PO688568,05/03/25,06/02/2025,Net 30,"$7,389.24",1403.13,535.72,"$9,328.09","$9,328.09",$0.00,Paid,Mail,"$4,010.00"
20418,RFS-CUST0012,11933,SH-50034,PO203265,2025-09-24,2025-09-24,COD,775.34,557.61,0.0,1332.95,1332.95,$0.00,Paid,Email PDF,"$4,010.00"
29985,RFS-CUST0012,10645,SH-50035,PO570791,02-Sep-2025,02-Sep-2025,COD,5093.97,0.0,0.0,5093.97,5093.97,0.0,Paid,Email PDF,"$4,010.00"
27331,RFS-CUST0017,18712,SH-50036,4500483386,11/17/2025,2025-12-17,2% 10 Net 30,"$16,392.22",12738.24,0.0,29130.46,29130.46,0.0,Paid,Email PDF,"$4,010.00"
28687,RFS-CUST0015,11271,SH-50037,P939334,2025-11-24,2025-12-24,Net 30,671.11,0.0,,671.11,671.11,$0.00,Paid,Email PDF,"$4,010.00"
22593,RFS-CUST0009,18673,SH-50038,4500853685,12-Sep-2025,12-Oct-2025,Net 30,15753.86,0.0,0.0,15753.86,"$15,753.86",0.0,Paid,Mail,"$4,010.00"
26986,RFS-CUST0008,19684,SH-50039,PO975230,2025-08-12,2025-09-26,Net 45 ,37306.79,0.0,2704.74,"$40,011.53","$40,011.53",$0.00,Paid,Portal upload,"$4,010.00"
22258,RFS-CUST0025,17904,SH-50040,P307436,2025-07-05,"Jul 05, 2025",COD,"$5,772.27",2448.96,418.49,"$8,639.72",8639.72,0.0,Paid,Email PDF,4010
27986,RFS-CUST0017,13428,SH-50041,4500539947,"Feb 11, 2026",03/13/2026,2% 10 Net 30,8846.98,8352.91,0.0,17199.89,0.0,17199.89,Past Due,Portal upload,4010
24856,RFS-CUST0022,15368,SH-50042,PO839330,2025-07-25,"Sep 23, 2025",Net 60,138.28,73.3,0.0,211.58,131.95,79.63,Short Paid,Email PDF,4010
28868,RFS-CUST0013,14413,SH-50043,PO416720,2025-05-04,06/03/2025,Net 30,21547.94,2178.24,0.0,"$23,726.18",23726.18,0.0,Paid ,Email PDF,4010
21331,RFS-CUST0008,16765,SH-50044,PO267570,20-Jul-2025,2025-09-03,Net 45,"$4,366.77",3586.94,316.59,8270.3,"$8,270.30",0.0,Paid,Mail,4010
21224,RFS-CUST0006,14934,SH-50045,P424311,02-Jun-2025,02-Jul-2025,2% 10 Net 30,"$4,777.25",1415.57,0.0,6192.82,6192.82,0.0,Paid,Mail,4010
22528,RFS-CUST0006,17015,SH-50046,PUR-810082,2025-06-12,12-Jul-2025,2% 10 Net 30,5229.9,0.0,0.0,5229.9,5229.9,$0.00,Paid,Email PDF,"$4,010.00"
20481,RFS-CUST0005,15650,SH-50047,PUR-141096,"Dec 08, 2025",2026-01-07,Net 30,5304.67,0.0,0.0,5304.67,"$5,304.67",0.0,Paid,Email PDF,4010
29746,RFS-CUST0015,18320,SH-50048,PO732376,2025-10-06,11/05/25,Net 30,"$2,183.45",0.0,0.0,"$2,183.45",2183.45,0.0,Paid,Email PDF,4010
28553,RFS-CUST0020,10901,SH-50049,PUR-736629,2025-06-01,2025-07-01,NET 30,"$1,569.30",0.0,113.77,1683.07,"$1,683.07",$0.00,Paid,Mail,"$4,010.00"
22543,RFS-CUST0022,14512,SH-50050,PUR-458643,2026-03-22,2026-05-21,NET 60,"$8,753.58",1944.38,0.0,"$10,697.96",$0.00,10697.96,Open,Mail,"$4,010.00"
27864,RFS-CUST0023,13187,SH-50051,P513032,2026-03-02,2026-05-01,Net 60,"$7,923.03",0.0,574.42,8497.45,0.0,"$8,497.45",Open,Email PDF,4010
28172,RFS-CUST0021,12871,SH-50052,PO605089,"Sep 18, 2025",2025-10-18,Net 30,6221.88,0.0,0.0,"$6,221.88",6221.88,0.0,Paid,Email PDF,"$4,010.00"
29171,RFS-CUST0021,19501,SH-50053,PO812755,03/27/2026,04/26/2026 ,Net 30,16233.14,0.0,0.0,"$16,233.14",$0.00,16233.14,Open,Email PDF,"$4,010.00"
24664,RFS-CUST0004,10029,SH-50054,4500548893,2026-03-20,2026-05-19,Net 60,1120.39,0.0,0.0,1120.39,0.0,1120.39,Open,EDI 810,"$4,010.00"
24618,RFS-CUST0013,14530,SH-50055,4500692660 ,2025-10-23,"Nov 22, 2025",,"$6,247.40",0.0,0.0,"$6,247.40","$6,247.40",0.0,Paid,Mail,"$4,010.00"
27172,RFS-CUST0008,16173,SH-50056,PO922117,2025-09-24,2025-11-08,Net 45 ,2468.96,0.0,179.0,2647.96,"$2,647.96 ",0.0,Paid,Mail,4010
26267,RFS-CUST0006,13048,SH-50057,4500829440,2026-03-09,2026-04-08,2% 10 Net 30,"$8,239.54",1906.44,0.0,"$10,145.98",$0.00,"$10,145.98",Open,Portal upload,4010
29602,RFS-CUST0022,13625,SH-50058,PO274077,2025-12-18,2026-02-16,Net 60,2303.72,2070.01,0.0,4373.73,4373.73,0.0,,EDI 810,"$4,010.00"
26622,RFS-CUST0015,11455,SH-50059,PO893498,06/20/2025,"Jul 20, 2025",Net 30,,0.0,0.0,184.06,124.82,$59.24,Short Paid,EDI 810 ,4010
28763,RFS-CUST0017,16494,SH-50060,PO137249,01/28/26,02/27/2026,2% 10 Net 30,1823.36,1163.58,0.0,2986.94,$0.00,2986.94,Past Due,Email PDF,4010
20529,RFS-CUST0005,10582,SH-50061,4500190930,17-Oct-2025,2025-11-16,Net 30,7204.0,0.0,0.0,"$7,204.00","$7,204.00",$0.00,Paid,Mail,"$4,010.00"
29491,RFS-CUST0006,10139,SH-50062 ,PUR-242939,2025-06-24,07/24/25,2% 10 Net 30,10413.23,8675.45,0.0,19088.68,19088.68,0.0,Paid,Email PDF,4010
28184,RFS-CUST0018,11967,SH-50063,P874645,"Jan 07, 2026",2026-02-06,2% 10 Net 30,"$11,723.16",9353.35,,"$21,076.51",21076.51,$0.00,PAID,Portal upload,"$4,010.00"
28093,RFS-CUST0006,15931,SH-50064 ,4500990664,"Jan 15, 2026",2026-02-14 ,2% 10 Net 30,13095.73,0.0,0.0,13095.73,13095.73,$0.00,Paid,Email PDF,"$4,010.00"
28496,RFS-CUST0001,12574,SH-50065,P844518,06/23/2025 ,2025-07-23,2% 10 Net 30,1047.92,0.0,0.0,1047.92,"$1,047.92",0.0,Paid,EDI 810,"$4,010.00"
28763,RFS-CUST0017,16494,SH-50060,PO137249,01/28/26,02/27/2026,2% 10 Net 30,1823.36,1163.58,0.0,2986.94,$0.00,2986.94,Past Due,Email PDF,4010
25378,,12530,SH-50066,P963212,2025-08-02,2025-09-01,Net 30,153.32,0.0,0.0,153.32,153.32,0.0,Paid,EDI 810,"$4,010.00"
26221,RFS-CUST0025,13419,SH-50067,PO424788,2025-08-25,2025-08-25,COD,6669.15,5100.48,483.51,12253.14,12253.14,$0.00,Paid,EDI 810,4010
25858,RFS-CUST0013,16170,SH-50068,PO787038,2025-10-31,2025-11-30,Net 30,"$7,826.88",0.0,0.0,7826.88,7826.88,0.0,Paid,Mail,4010
21417,RFS-CUST0011,16081,SH-50298 ,4500159542,2025-11-06,06-Dec-2025,Net 30,750.68,3664.47,0.0,4415.15,"$4,415.15",0.0,Paid,Mail,4010
27586,RFS-CUST0025,,SH-50069,PO578436,2025-12-03,12/03/2025,COD,"$22,427.94",12662.8,1626.03,"$36,716.77",36716.77,$0.00,Paid,EMAIL PDF,4010
23807,RFS-CUST0007,12868,SH-50075,4500385376,"Feb 27, 2026",02/27/2026,COD,"$11,574.00",0.0,0.0,11574.0,"$11,574.00",0.0,Paid,Email PDF,4010
29016,RFS-CUST0003,17352,SH-50070,4500835102,07/14/2025,2025-08-13,2% 10 Net 30,1176.48,0.0,0.0,1176.48,"$1,176.48",$0.00,Paid,Mail,4010
28354,RFS-CUST0010,19561,SH-50071,PUR-807794,2025-06-09,07/09/25,2% 10 Net 30,"$1,560.94",0.0,0.0,1560.94,1560.94,0.0,Paid,Email PDF,"$4,010.00"
24445,RFS-CUST0019,11362,SH-50072,PO811257,"Mar 20, 2026",19-Apr-2026,2% 10 Net 30,6548.03,680.58,0.0,7228.61,0.0,"$7,228.61 ",Open,Mail,4010
25424,RFS-CUST0013,19035,SH-50073,,2025-06-04,2025-07-04,Net 30,15.19,0.0,0.0,$15.19,$15.19,0.0,Paid,Portal upload,4010
29526,RFS-CUST0025,10474,SH-50074,PUR-901650,2026-03-25 ,2026-03-25,COD,4250.27,0.0,308.14,4558.41,0.0,"$4,558.41",Past Due,Mail,"$4,010.00"
29663,RFS-CUST0008,11175 ,SH-50276,P479385,2025-05-11,06/25/25,Net 45,"$5,752.36",9785.52,417.05,15954.93,15787.11,$167.82,Short Paid,Email PDF,4010
23807,RFS-CUST0007,12868,SH-50075,4500385376,"Feb 27, 2026",02/27/2026,COD,"$11,574.00",0.0,0.0,11574.0,"$11,574.00",0.0,Paid,Email PDF,4010
26282,RFS-CUST0025,17754,,PUR-355186,2025-06-23,23-Jun-2025,COD,"$3,619.93",0.0,262.44,3882.37,3882.37,0.0,Paid,Mail,4010
29631,RFS-CUST0013,16425,SH-50077,PO654886,2026-02-05,07-Mar-2026,Net 30,980.57,1254.33,0.0,2234.9,2234.9,$0.00,Paid,Portal upload,4010
21903,RFS-CUST0012,10795,SH-50078,4500108102,"Nov 02, 2025",2025-11-02,COD,170.2,0.0,0.0,$170.20,$170.20,0.0,Paid,EDI 810,"$4,010.00"
25966,RFS-CUST0015,13572,SH-50079,PO771086,09/15/2025,10/15/2025,Net 30,945.04,0.0,0.0,,$945.04,0.0,Paid,Email PDF,4010
28981,RFS-CUST0008,16604,SH-50080,PUR-202284,2025-05-29,07/13/2025,NET 45,$391.68,304.53,28.4,$724.61,724.61,0.0,Paid,Portal upload,4010
28016,RFS-CUST0015,11948,SH-50081,PUR-644441,"Aug 14, 2025",2025-09-13,Net 30,"$4,687.30",0.0,0.0,"$4,687.30","$4,687.30",$0.00,Paid,Mail,
26240,RFS-CUST0006,11598,SH-50082,PO585832,2025-06-27,2025-07-27,2% 10 Net 30,2321.22,,0.0,"$3,852.31",3852.31,$0.00,Paid,Portal upload,4010
24492,RFS-CUST0006,17735,SH-50083,4500303861,2025-08-02,2025-09-01,2% 10 Net 30,10106.5,0.0,0.0,"$10,106.50",10106.5,0.0,Paid,Email PDF,4010
25368,RFS-CUST0004,10765,SH-50084,P689234,2025-11-06,"Jan 05, 2026",Net 60,"$14,129.91",5508.93,0.0,19638.84,"$19,638.84",0.0,Paid,Portal upload,4010
26236,RFS-CUST0004,12983,SH-50085,4500935836,2025-06-18,2025-08-17,Net 60,577.36,0.0,0.0,577.36,577.36,$0.00,Paid,Email PDF ,4010
23186,RFS-CUST0025,,SH-50086,PO530200,2025-06-19,"Jun 19, 2025",COD,8463.79,0.0,613.62,"$9,077.41",9077.41,0.0,Paid,Email PDF,4010
28167,RFS-CUST0016,18229,SH-50087,4500973463,"Mar 25, 2026",2026-05-09,Net 45,2420.18,0.0,0.0,2420.18,$0.00,2420.18,Open,Email PDF,"$4,010.00 "
22616,RFS-CUST0003,19228,SH-50088,PO350013,31-Jul-2025,2025-08-30,2% 10 Net 30,7644.54,0.0,0.0,"$7,644.54","$7,644.54",0.0,Paid,Mail,4010
24659,RFS-CUST0007,11676,SH-50089,4500626641,01/30/2026,2026-01-30,COD,$991.65,708.45,0.0,"$1,700.10",1700.1,0.0,Paid,EDI 810,4010
22499,RFS-CUST0009,17241,SH-50090,PO728507,2025-12-04,2026-01-03,Net 30,"$3,440.72",4669.71,0.0,8110.43,8110.43,0.0,Paid,Mail,4010
28140,RFS-CUST0021,16676,SH-50091,PO987236,05/24/2025,2025-06-23,Net 30,356.5,0.0,0.0,$356.50,356.5,$0.00,Paid,,4010
21160,RFS-CUST0003,15882,SH-50092,PUR-711547,2025-06-24,07/24/25,2% 10 Net 30,1752.5,409.16,0.0,2161.66,"$2,161.66",0.0,Paid,Email PDF,"$4,010.00"
26611,RFS-CUST0011,10815,SH-50093,P131562,11/21/25,2025-12-21,Net 30,$52.44,0.0,,52.44,$52.44 ,0.0,Paid,,"$4,010.00"
20824,RFS-CUST0001,15535,SH-50094,4500483115,2025-10-18,2025-11-17,2% 10 Net 30,95.9,116.63,0.0,$212.53,212.53,0.0,Paid,Email PDF,4010
28645,RFS-CUST0019,14974,SH-50095,PUR-459757,2025-12-12,2026-01-11,2% 10 Net 30,134.64,0.0,0.0,134.64,134.64,0.0,Paid,,4010
23296,RFS-CUST0001,16074,SH-50096,P227934,03/01/26,03/31/2026,2% 10 Net 30,"$31,714.01",8769.02,0.0,40483.03,0.0,"$40,483.03",Open,Email PDF,"$4,010.00"
27632,RFS-CUST0015,14398,SH-50097,PO422453,01/18/26,2026-02-17,Net 30,3147.06,0.0,0.0,3147.06,3147.06,0.0,PAID,Portal upload,4010
27211,RFS-CUST0008,16508,SH-50098,P547049,2025-12-20,2026-02-03,Net 45,,0.0,470.46,6959.57,"$6,959.57",0.0,Paid,Mail,"$4,010.00"
27395,RFS-CUST0013,11343,SH-50099,PO165839,2025-06-29,2025-07-29,Net 30,"$4,400.02",1493.27,0.0,5893.29,"$5,893.29",$0.00,Paid,Mail,4010
20594,RFS-CUST0006,11401 ,SH-50100 ,PO870041,2025-12-24,"Jan 23, 2026",2% 10 Net 30,"$3,767.55",0.0,0.0,3767.55,3767.55,0.0,Paid,Email PDF,4010
21200,RFS-CUST0020,17386,SH-50101,PO425167,10/09/25,2025-11-08,NET 30,1165.84,0.0,84.52,"$1,250.36","$1,250.36",$0.00,Paid,Email PDF,4010
28530,RFS-CUST0006,11493,SH-50102,P723241,2026-02-13 ,2026-03-15,2% 10 Net 30,$209.70,0.0,0.0,209.7,209.7,0.0,Paid,Email PDF,4010
21598 ,RFS-CUST0016,16390,SH-50103,4500346674,2025-05-10,24-JUN-2025,Net 45,8654.84,0.0,0.0,8654.84,"$8,654.84",0.0,Paid,Email PDF,"$4,010.00"
22127,RFS-CUST0001,11415,SH-50104,PUR-910082,"Oct 11, 2025",2025-11-10,2% 10 Net 30,$899.14,0.0,0.0,899.14,834.19,$64.95,Short Paid ,Portal upload,4010
20146,RFS-CUST0023,16821,SH-50105,4500129890,23-Jan-2026,"Mar 24, 2026",Net 60,"$11,076.02",2925.11,803.01,14804.14,14804.14,0.0,Paid,Mail,"$4,010.00"
27832,RFS-CUST0023,,SH-50106,4500907691,2026-03-19,2026-05-18,Net 60,6366.7,2289.21,461.59,9117.5,0.0,9117.5,Open,Portal upload,"$4,010.00"
24879,RFS-CUST0018,19757,SH-50107,4500145091,20-Aug-2025,09/19/2025,2% 10 Net 30,1642.16,1073.95,0.0,2716.11,2716.11,$0.00,Paid,Email PDF,4010
28743,RFS-CUST0017,14207,,PO105129,"Nov 19, 2025",2025-12-19,2% 10 Net 30,10023.71,0.0,0.0,"$10,023.71","$10,023.71",0.0,Paid,Portal upload,4010
22907,RFS-CUST0007,18622,SH-50109 ,4500164794,"Aug 27, 2025","Aug 27, 2025",COD,823.72,813.69,0.0,1637.41,1359.97,277.44,Short Paid,Mail,"$4,010.00"
22253,RFS-CUST0007,14397,SH-50110,P761745,,2026-02-12,COD,"$3,726.87",0.0,0.0,3726.87,$0.00,"$3,726.87",Past Due,Mail,4010
25749,RFS-CUST0025 ,14076,SH-50111,4500248245,09/30/25,2025-09-30,COD,2276.56,1557.38,165.05,"$3,998.99","$3,998.99",0.0,Paid,Portal upload,"$4,010.00"
28065,,14705,SH-50112,P204376,2025-11-30,2025-12-30,Net 30,"$15,710.57",5255.88,0.0,20966.45,20966.45,0.0,Paid,Email PDF,"$4,010.00"
29547,RFS-CUST0008,16947,SH-50113,4500344504 ,11-Jun-2025,2025-07-26,Net 45,$518.97,0.0,37.63,556.6,$556.60,0.0,Paid,Email PDF,4010
20528,RFS-CUST0011,16163,SH-50114,PO538068,05/05/2025,2025-06-04,Net 30,"$3,454.53",5932.46,0.0,9386.99,"$9,386.99",$0.00,Paid,PORTAL UPLOAD,4010
22118 ,RFS-CUST0009,12686,SH-50115,PUR-810531,2025-11-15,2025-12-15,Net 30,"$4,195.75",0.0,0.0,4195.75,4195.75,0.0,Paid,Email PDF,4010
26910,RFS-CUST0017,18718,SH-50116,P344291,2025-06-07,"Jul 07, 2025",2% 10 Net 30,654.1,981.54,0.0,"$1,635.64",1635.64,0.0,Paid,Email PDF,4010
22147,RFS-CUST0022,16965,SH-50117,PUR-575003,02/27/2026,04/28/26,Net 60,,0.0,0.0,1271.69,0.0,1271.69,Open,Email PDF,4010
26943,RFS-CUST0004,17965,SH-50118,PUR-296956,11/28/25,2026-01-27,Net 60,101.0,21.71,,122.71,$122.71,0.0,Paid,Portal upload,"$4,010.00"
22227,RFS-CUST0020,10559,SH-50119,PUR-608727,2025-06-17,2025-07-17,Net 30,"$1,574.88",3088.15,114.18,4777.21,"$4,777.21",0.0,Paid,Email PDF,4010
28061,,11591,SH-50233,4500161232,2025-09-05,2025-10-05,Net 30,15656.0,0.0,0.0,15656.0,15427.71,$228.29,Short Paid,Portal upload,4010
20068,RFS-CUST0025,12328,SH-50120,PUR-922762,2025-10-12,2025-10-12,COD,1773.5,0.0,128.58,"$1,902.08","$1,902.08",$0.00,Paid,Portal upload,4010
24074,RFS-CUST0009,17894,SH-50121,P862300,09/12/2025,,Net 30,38022.14,0.0,0.0,38022.14,"$38,022.14",$0.00,Paid,Email PDF,"$4,010.00"
25896,RFS-CUST0012,12971 ,SH-50122,PUR-188251,2025-10-19,2025-10-19,COD,4444.36,2135.3,0.0,6579.66,6579.66,0.0,Paid,Mail,4010
21390,RFS-CUST0010,19138,SH-50123,P403344,05/25/25,06/24/2025,2% 10 Net 30,830.35,993.75,0.0,1824.1,"$1,824.10",0.0,Paid,EDI 810,4010
23520,RFS-CUST0012,16103,SH-50124,4500128309,2025-09-09,09/09/25,COD ,379.5,222.23,0.0,601.73,601.73,$0.00 ,Paid,Portal upload,"$4,010.00"
29233,RFS-CUST0004,11828,SH-50125,PUR-385325,11/04/2025,2026-01-03,Net 60 ,"$19,477.95",0.0,0.0,19477.95,19477.95,0.0,Paid,EDI 810,4010
27812 ,RFS-CUST0021,19351,SH-50126,P840585,08-Feb-2026,03/10/26,Net 30,"$1,196.69",0.0,0.0,1196.69,1196.69,0.0,Paid,Email PDF,"$4,010.00"
27761 ,RFS-CUST0003,18933,SH-50127,P368012,01/01/26,01/31/2026,2% 10 Net 30,7437.71,8607.17,0.0,16044.88,"$16,044.88",0.0,Paid,Email PDF,"$4,010.00"
28344,RFS-CUST0010,10240,SH-50128,4500730986,2025-12-04,01/03/26,2% 10 Net 30,1516.95,0.0,0.0,1516.95,1516.95,0.0,Paid,Portal upload,4010
,RFS-CUST0011,19034,SH-50129,PO526951,2026-03-22,04/21/26 ,Net 30,"$9,439.24",,0.0,11426.38,$0.00,"$11,426.38",Open,Portal upload,4010
27962,RFS-CUST0020,17120,SH-50130,P756048,08/31/25,2025-09-30,Net 30,7113.1,0.0,515.7,,7628.8,$0.00,Paid,Mail,"$4,010.00"
28210,RFS-CUST0014,13266,SH-50131,,11/16/25,2025-12-16,2% 10 Net 30,21429.5,0.0,0.0,21429.5,"$21,429.50",0.0,Paid,Mail,4010
20057,RFS-CUST0021 ,11443,SH-50132,PO658006,2026-03-22,2026-04-21,Net 30,1390.76,0.0,0.0,1390.76,0.0,"$1,390.76",Open,Email PDF,"$4,010.00"
23349,RFS-CUST0004,13171,SH-50133,PO905800,"Oct 13, 2025",2025-12-12,Net 60,9400.0,3634.13,0.0,"$13,034.13","$13,034.13",$0.00,Paid,Portal upload,"$4,010.00"
29139,RFS-CUST0001,14944,SH-50134,P874962,02-Oct-2025,2025-11-01,2% 10 Net 30,249.6,75.52,0.0,325.12,,$0.00,Paid,EDI 810,"$4,010.00"
20861,RFS-CUST0013,15271,SH-50135,PO385108,12/27/2025,2026-01-26,Net 30,"$14,577.27",0.0,0.0,"$14,577.27",14577.27,$0.00,Paid,Email PDF,"$4,010.00"
21027,RFS-CUST0008,18029,SH-50136,P921167 ,2025-05-22,2025-07-06,Net 45,"$2,393.13",1358.94,173.5,"$3,925.57","$3,925.57",0.0,Paid,Mail,4010
26663,RFS-CUST0021,17091,SH-50137,PUR-482180,04-Jun-2025,04-Jul-2025,Net 30,,1480.83,0.0,5587.16,5587.16,0.0,Paid,EDI 810,"$4,010.00"
