AS_OF_DATE,CUSTOMER_ID,INVOICE_NUMBER,INVOICE_DATE,DUE_DATE,DAYS_PAST_DUE,BALANCE,AGING_BUCKET,COLLECTOR_ID,LAST_CONTACT,PROMISE_TO_PAY
2026-03-31,RFS-CUST0007,25115,2026-03-26,26-Mar-2026,5,,1-30,E002,,
03/31/26,RFS-CUST0001,26983,14-Aug-2025,09/13/25,199,356.7,90+,E002,2026-01-02,2026-04-07
2026-03-31,RFS-CUST0009,25410,02/13/26,2026-03-15,16,1522.82,1-30,E002,2026-03-27,
2026-03-31,RFS-CUST0009,29366,03/04/26,2026-04-03,0,759.44,Current,E002,,
"Mar 31, 2026",RFS-CUST0002,20082,2026-02-02,2026-03-04,27,5258.65,1-30,E002,2026-03-15,
03/31/26,RFS-CUST0025,24980,2025-06-30,2025-06-30,274,$236.80,90+,E002,2026-03-18,
31-MAR-2026,RFS-CUST0017,22578,26-Feb-2026,2026-03-28,3,"$18,450.05",1-30,E002,,
03/31/2026,RFS-CUST0018,26894,"Feb 28, 2026",2026-03-30,1,5131.26,1-30,E002,,
03/31/26,RFS-CUST0010,20448,2026-03-26,2026-04-25,0,"$20,431.08",Current,E002,,
"Mar 31, 2026",RFS-CUST0008,27648,02/21/2026,2026-04-07,0,29081.9,Current,E002,,
03/31/2026,RFS-CUST0022,20545,"Feb 10, 2026","Apr 11, 2026",0,7308.55,Current,E002,,
2026-03-31,RFS-CUST0022,20451,2026-02-26,"Apr 27, 2026",0,7.38,Current,E002,,
03/31/2026,RFS-CUST0015,,12/22/2025 ,2026-01-21,69,$290.78,61-90,E002,2026-02-19,2026-04-05
,RFS-CUST0011,28061,2025-09-05,2025-10-05,177,228.29,90+,E002 ,2026-03-23,2026-04-05
2026-03-31,RFS-CUST0025,24234,2025-12-14,12/14/2025,107,$49.73,90+,E002,2026-02-11,2026-04-05
,RFS-CUST0013,24708,07/21/2025,2025-08-20,223,42.62,90+,E002,2026-03-30 ,
2026-03-31,RFS-CUST0025,27871,03/06/2026,2026-03-06,25,7250.81,1-30,E002,2026-02-07,
03/31/2026,RFS-CUST0002,21032,2026-03-26,2026-04-25 ,0,827.81,Current,E002,,
03/31/26,RFS-CUST0017,28875,02/03/2026,2026-03-05,26,$69.14,1-30,E002,2026-02-01,
03/31/26,,21896,09-Mar-2026,04/08/2026,0,"$5,167.40",Current,E002,,
2026-03-31,RFS-CUST0005,27049,07/08/25,,236,$145.77,90+,E002,2026-02-10,2026-04-15
2026-03-31,RFS-CUST0023,28605,2026-02-12,2026-04-13,0,"$2,376.01",Current,E002,,
2026-03-31,RFS-CUST0012,20696,"Mar 18, 2026",2026-03-18,13,228.55,1-30,E002,,
03/31/26,RFS-CUST0003,20379,03/04/2026,2026-04-03,0,7707.86,Current,E002,,
2026-03-31 ,RFS-CUST0022,29916 ,03/14/2026,2026-05-13,0,5834.85,CURRENT,,,
2026-03-31,RFS-CUST0008,29663,"May 11, 2025",25-Jun-2025,279,$167.82 ,90+,E002,2026-03-20,
03/31/2026,RFS-CUST0002,22801,2025-07-08,2025-08-07,236,183.73,90+,E002,2026-01-01,
"Mar 31, 2026",RFS-CUST0019,20357,"Mar 11, 2026",04/10/26,0,9844.24,Current,E002,,
2026-03-31,RFS-CUST0007,28229,2026-02-09,09-Feb-2026,50,4551.48,31-60 ,E002,2026-01-26,
2026-03-31,RFS-CUST0005,27424,07/05/2025,04-Aug-2025,239,$76.66,90+,E002,2026-03-19,
31-MAR-2026,RFS-CUST0008,27802,"Feb 25, 2026",04/11/2026,0,8282.68,Current,,,
2026-03-31,RFS-CUST0002,25311,2026-03-25,04/24/26,0,$430.16,Current,E002,,
03/31/26,RFS-CUST0001,26983,14-Aug-2025,09/13/25,199,356.7,90+,E002,2026-01-02,2026-04-07
2026-03-31,RFS-CUST0017 ,27986,,03/13/26,18,"$17,199.89",1-30,E002,2026-01-24,
"Mar 31, 2026",RFS-CUST0019,27743,,"Apr 04, 2026",0,"$8,825.62",Current,E002,,
03/31/2026,RFS-CUST0018,20945,02-Feb-2026,03/04/26,27,"$31,125.93",1-30,E002,2026-01-07 ,
2026-03-31,RFS-CUST0017,25832,18-Mar-2026,04/17/2026,,20649.85,Current,E002,,
"Mar 31, 2026",RFS-CUST0018,20947,2026-03-16,2026-04-15,0,140.84,Current,E002,,
2026-03-31,RFS-CUST0017,25832,18-Mar-2026,04/17/2026,,20649.85,Current,E002,,
31-Mar-2026,RFS-CUST0007,25138,12/22/25,2025-12-22,99,$182.74,90+,E002,2026-01-01,
"Mar 31, 2026",RFS-CUST0025,27038 ,09/15/2025,09/15/2025,197,$365.85,90+,E002,2026-02-18,2026-04-16
2026-03-31,RFS-CUST0021,24280,2026-03-25,"Apr 24, 2026",0,"$9,222.16",Current,E002,,
31-Mar-2026,RFS-CUST0020,26427,2025-12-11,10-Jan-2026,80,$215.74,61-90,E002,2026-02-16,2026-04-04
31-Mar-2026,RFS-CUST0013,22284,2026-01-05 ,2026-02-04,55,$298.67,31-60,E002,2026-03-23,
2026-03-31,RFS-CUST0002,28668,,03/24/26,7,"$18,797.62",1-30,E002,,
03/31/2026,RFS-CUST0015,29605,2026-03-23,2026-04-22,0,8071.46,Current,E002,,
2026-03-31,RFS-CUST0001,20567,2026-02-11,2026-03-13,18,20355.23,1-30,E002,2026-02-14,
2026-03-31,RFS-CUST0015,23989,2026-03-21,2026-04-20,0,"$5,501.47",Current,E002,,
2026-03-31,RFS-CUST0006 ,23092,26-Aug-2025,2025-09-25,187,82.61,90+,E002,2026-01-31,2026-04-09
2026-03-31,RFS-CUST0012,24656,27-Mar-2026,2026-03-27,4,13937.25,1-30,E002,,
