INVOICE_NUMBER,LINE,ITEM_ID,QTY,UNIT_PRICE,EXTENDED,UNIT_COST,MARGIN
,5,DRI3410-068,2,39.99,79.98,27.16,25.66
21062,6,CUT5811-066,2,59.67,119.34,$38.77,41.8
21062,7,FLA1420-090,6,$3.69,22.14,$2.17,9.12
21062,8,ANC3410-034,1,187.14,187.14,115.2,71.94
21821,1,ANC51618-020,5,132.16,660.8,111.15,105.05
21821,2,HEXsize8-101,4,67.97,271.88,52.13,63.36
21821,3,HOSsize6-084,12,13.33,159.96,11.21,25.44
21821,4,LOC60-076,200,$22.86,4572.0,$17.87,998.0
21821,5,ANC51618-020,1,,,111.15,21.01
21821,8,HEX2000-093,50,23.83,1191.5,15.71,406.0
25515,2,CUT3410-037,100,34.67,3467.0,21.6,1307.0
25515,3,FLAM12-013,10,7.27,72.7,$5.50,17.7
25515,4,LOC60-076,2,$26.49,52.98,17.87,17.24
25515,5,CUTM12-054,200,$66.72,13344.0,$48.77 ,3590.0
21377,1,SOC51618-129,2,112.44,224.88,82.77,59.34
21377,2,SOC51618-129,25,$112.44,2811.0,82.77,741.75
21377 ,3,HEXsize8-000,2,39.99,79.98,25.3,29.38
21377,5,HEXM12-056,4,45.47,181.88,$27.04,73.72
21377,6,NITM12-036,10,$18.60,186.0,12.01,65.9
21377,7,LOCM8-108,25,$13.87,346.75,$7.98,147.25
20204,1,FLA1213-026,4,$18.85,75.4,$13.17,22.72
20204,3,LOC60-076,12,$25.09,301.08,$17.87,86.64
20204,4,LOCsize4-081,4,$16.16,64.64,9.5,26.64
20204,5,FLA1213-026,50,18.85,942.5,13.17,284.0
20204,6,ABRM12-095,6,$31.77,190.62,26.150000000000002,33.72
20204,7,BRG-6205,25,$7.63,190.75,5.2,60.75
20204,8,ABRM12-109,6,$103.14,618.84,72.03,186.66
26776,1,DRIsize6-105,12,,206.64,10.34,82.56
26776 ,2,LOCsize4-081,12,$16.16,193.92,9.5,79.92
26776,3,DRIsize4-017,2,$81.85,163.7,63.95,35.8
26776,4,LOC2000-115,25,10.1,252.5,$8.31,44.75
,5,ANCM6-073,12,$127.56,1530.72,$82.40,541.92
26776,6,CUT1420-049,200,$43.83,8766.0,26.61,3444.0
26776 ,7,CUT3410-037,25,32.85,821.25,$21.60,281.25
26776,8,CUT2000-023,100,$89.89,8989.0,58.75,3114.0
20210,1,FLA1420-002,1,$31.22,31.22,19.51,11.71
20784,1,SOCsize6-063,2,$78.17,156.34,46.81,62.72
20784,2,HEXM10-116,100,$69.96,6996.0,$38.02,3194.0
29995,5,FLA1420-002,10,$25.60,256.0,19.51,60.9
20204,7,BRG-6205,25,$7.63,190.75,5.2,60.75
20784,3,CAB5811-137,1,26.96,26.96,15.32,11.64
20784,5,DRI1500-016,6,34.99,209.94,$22.87,72.72
20418,1,CUT80-015,2,66.72,133.44,43.1,47.24
20418,2,HEX80-033,10,64.19,641.9,47.230000000000004,169.6
29985,1,FLAM10-028,200,$15.18,3036.0,9.75,1086.0
29985,2,DRIsize8-138,10,$63.25,632.5,53.24,100.1
29985,3,ANC51618-019,2,$81.18,162.36,53.06,56.24
29985,4,HEXsize8-101,2,74.6,149.2,52.13,44.94
29985,5,DRIsize6-105,25,17.22,430.5,10.34,172.0
29985,6,DRIM10-072,1,52.51,52.51,33.72,18.79
29985,7,SOCM10-021,10,63.09,,$52.31,107.8
27331,1,CUT1213-024,4,55.27,221.08,32.87,89.6
27331,2,FLAsize8-045,2,22.04,44.08,$13.89,16.3
22270,,DRI2000-048,4,68.23,,$43.46,99.08
27331,3,ABRM12-046,10,99.22,992.2,$57.07,421.5
27331,4,HEX1250-124,100,13.08,1308.0,7.96,512.0
27331,5,DRIsize8-138,200,66.77,13354.0,53.24,2706.0
27331,6,HOSsize6-103,6,15.19,91.14,10.450000000000001,28.44
,7,DRIM12-083,1,$110.72,110.72,$64.39,46.33
27331,8,HEX80-033,4,67.75,271.0,47.230000000000004,82.08
28687,1,HEX60-055,12,,311.28,19.51,77.16
28687,2,ABRM12-095,4,33.53,134.12,26.150000000000002,29.52
28687,3,DRI2000-004,1,70.73,70.73,$45.12,25.61
28687,4,ABR1250-018,2,44.59,89.18,32.56,24.06
28687,5,SOC51618-057,1,65.8,65.8,$52.87,12.93
22593,1,FLA60-122,25,$21.32,533.0,$18.44,72.0
22593,2,HOSsize6-103,1,13.11,13.11,$10.45,2.66
22593,3,ANC3410-074,5,178.45,892.25,118.92,297.65
22593,4,,10,36.72,367.2,25.3,114.2
22593,5,HEX3410-042,200,66.17,13234.0,$44.58 ,4318.0
22593,6,ABRM12-095,4,$28.95,115.8,26.150000000000002,11.2
27283,1,DRIM10-072,12,47.84,574.08,$33.72,169.44
22593,7,LOCM8-108,50,11.97,598.5,,199.5
26986,1,ANC51618-019,6,$81.18,487.08,53.06,168.72
26986,2,SOC1500-097,200,$124.54,24908.0,$77.74,9360.0
26986,3,ABRM8-051,10,$42.58,425.8,$28.33,142.5
26986,4,HOSsize8-128,4,$40.85,163.4,$23.89,67.84
26986,5,SOCsize6-098,25,105.77,2644.25,$69.54,905.75
26986,6,CUT60-119,200,36.98,7396.0,25.84,2228.0
26986,7,SOC2000-071,50,24.81,1240.5,15.49,466.0
26986,8,FLASIZE8-045,2,20.88,41.76,13.89,13.98
22258,1,FLA50-065,12,14.86,178.32,12.14,32.64
22258,2,FLAsize6-134,25,4.54,113.5,2.8000000000000003,
22258,3,ANC51618-020,1,136.35,136.35,$111.15,25.2
22258,4,HOSM12-104,6,,240.3,28.71,68.04
22258,5,NIT80-132,200,,4540.0,$13.63,1814.0
22258,6,FLA1213-026,4,18.85,75.4,$13.17,22.72
22258,7,CAB80-139,25,7.82,195.5,$7.26,14.0
22258,8,DRIsize4-077,10,29.29,292.9,$20.09,92.0
27986,1,LOC60-069,6,32.58,195.48,21.71,65.22
27986,2,FLAM10-028,100,16.03,1603.0,9.75,628.0
27986,3,DRI1500-016,200,$33.24,6648.0,22.87,2074.0
27986,4,ABRsize8-032,10,40.05,400.5,$28.88,111.7
24856,1,ABR50-010,4,$34.57,138.28,$26.37,32.8
28868,1,BRG-6205,1,8.06,8.06,5.2,2.86
28868,2,LOCM6-053,100,$43.50,4350.0,24.1,1940.0
,1,DRI3816-044,1,$76.56,76.56,51.33,25.23
28868,3,ANC51618-019,200,85.69,17138.0,$53.06,6526.0
28868,4,HEX60-055,2,$25.94,51.88,19.51,12.86
21331,1,DRI3816-044,25,72.53,1813.25,51.33,530.0
21331,2,CUTM6-061,50,39.12,1956.0,32.44,334.0
21331 ,3,6308-882,12,$19.71,236.52,14.9,57.72
21331,4,CUT1213-024,4,52.36,209.44,$32.87,77.96
21331,5,DRI3410-068,4,,151.56,$27.16,42.92
21224,1,CUTM6-061,25,$31.37,,$32.44,-26.75
21224,2,CUT1420-049,100,39.93,3993.0,26.61,1332.0
22528,1,LOC60-135,1,$41.78,41.78,$29.62,12.16
22528,2,HHCS-254,2,$33.41,66.82,$29.10,8.62
22528,3,ANCM6-043,50,98.05,4902.5,$66.43,1581.0
22528,4,B62-454,4,21.66,86.64,17.85,15.24
22528,5,ANC51618-020,1,132.16,132.16,$111.15,21.01
20481,1,HEX60-080,10,34.1,341.0,22.36,117.4
29444 ,1,ABRsize8-003,10,58.44,584.4,$40.96,174.8
20481,2,CAB1420-107,1,34.95,34.95,28.41,6.54
20481,,NIT1250-117,2,$13.11,26.22,8.74,8.74
20481,5,ANCM6-043,50,98.05,4902.5,66.43,1581.0
29746,1,B62-454,2,$25.10,50.2,17.85,14.5
29746,2,ABRM12-046,25,85.33,2133.25,$57.07,706.5
28553,1,NIT80-132,6,25.22,151.32,13.63,69.54
28553,2,,25,9.66,241.5,$7.26,60.0
28553,3,SOC1250-011,12,$98.04,1176.48,59.42,463.44
22543,1,ABRM8-051,6,,269.64,$28.33,99.66
22543,3,CABsize4-007,12,48.84,586.08,27.94,
22543,6,HHCS-254,200,38.7,7740.0,29.1,1920.0
22543,7,SOC2000-025 ,6,$26.31,157.86,$15.39,65.52
27864,1,CAB5811-137,12,$24.26,291.12,15.32,107.28
27864,2,CAB1250-008,2,38.86,77.72,27.86,22.0
27864,3,FLAM10-028 ,50,$15.18,759.0,9.75,271.5
27864,4,ABRM12-095,200,$31.77,6354.0,26.150000000000002,1124.0
27864,6,LOCsize4-081,10,15.03,150.3,$9.50,55.3
27864,7,DRIsize4-077 ,1,26.65,26.65,20.09,6.56
27864 ,8,,4,$66.06,264.24,52.43,54.52
28172,1,ABR1250-018,4,50.47,201.88,32.56,71.64
28172,2,ANC3816-039,50,100.03,5001.5,62.910000000000004,
28172 ,3,HHCS-254,25,$40.74,1018.5,29.1,291.0
29171,1,ANCM8-001,2,$153.57,307.14,100.37,106.4
29171,,HEXM8-094,200,79.63,15926.0,51.42,5642.0
,1,CUTM12-054,1,63.21,63.21,$48.77,14.44
24664,2,HEXsize8-101,1,74.6,74.6,52.13,22.47
24664,3,ANCM6-043,2,107.61,215.22,66.43,82.36
24664,4,ABR1250-018,6,45.42,272.52,32.56,77.16
24664,5,LOC1420-087,2,32.07,64.14,$22.41,19.32
24664,6,HEXM12-056,10,$43.07,430.7,27.04,160.3
24618 ,1,HOSsize6-103,10,$15.19,151.9,$10.45,47.4
24618,2,HEX2000-093,25,$27.61,690.25,15.71,297.5
24618,3,ANCM8-040,4,33.7,134.8,29.41,17.16
24618,4,HEXM10-131,50,$85.59,4279.5,54.6,1549.5
24618,5,HOSM10-070,50,18.08,904.0,$11.82,313.0
24618,6,HEXM8-094,1,86.95,86.95,$51.42,35.53
27172,1,CAB1250-008,50,$38.86,1943.0,27.86,550.0
27172,2,CUT1420-049,12,43.83,525.96,26.61,206.64
26267,1,CAB1250-008,4,$35.41,141.64,$27.86,30.2
26267,2,DRI2000-048,2,55.95,111.9,$43.46,24.98
26267,3,CUT1420-049,200,39.93,7986.0,26.61,2664.0
29602,1,FLA1213-026,4,$19.89,79.56,13.17,26.88
29602 ,2,HOSM10-070,100,$18.08,1808.0,$11.82,626.0
29602,3,LOC60-135,6,43.56,261.36,29.62,83.64
29602,4,HHCS-254,4,$38.70,154.8,29.1,38.4
26622,1,ANCsize6-005,1,184.06,184.06,115.33,68.73
28763,1,ABRM8-051,10,44.94,449.4,28.330000000000002,166.1
28763,2,CUTM12-054,12,66.72,800.64,48.77,215.4
28763,3,LOCsize8-120,,$40.08,160.32,$26.70,53.52
,4,CUTM6-061,10,41.3,413.0,$32.44,88.6
20529,1,CAB80-139,100,$7.92,792.0,7.26,66.0
20529,2,LOC3410-096,200,32.06,6412.0,$27.93,826.0
29491,1,HEX1250-124,200,11.29,2258.0,7.96,666.0
29491,2,ANC51618-019,100,$73.96,7396.0,$53.06,2090.0
29491,3,LOCM6-053,4,37.55,150.2,24.1,53.8
29491,4,SOC1375-113,6,35.07,210.42,22.75,73.92
29491,5,6308-882,10,$17.96,179.6,$14.90,30.6
29491,6,NIT80-132,2,20.68,41.36,$13.63,14.1
29491,7,ABR1250-018,1,41.39,41.39,32.56,8.83
29491,8,SOC2000-025,6,22.71,136.26,15.39,43.92
28184,1,CUT3410-037,12,$32.94,395.28,21.6,136.08
28184,2,FLA1213-026,200,19.89,3978.0,13.17,1344.0
28184,3,CUTM6-047,12,$69.49,833.88,41.800000000000004,332.28
28184,4,LOC60-069,200,32.58,6516.0,$21.71,2174.0
28093,1,HEXM10-116,10,57.37,573.7,$38.02,193.5
28093 ,2,6308-882,,17.96,71.84,14.9,12.24
28093,3,LOCM8-108,100,$11.97,1197.0,7.98,399.0
28093,4,FLAM12-013,1,6.27,6.27,5.5,0.77
28093,5,CUT1213-024,200,$47.71 ,9542.0,32.87,2968.0
28093,6,LOC60-060,200,$4.54,908.0,3.18,272.0
28093,7,HHCS-254,12,33.41,400.92,29.1,51.72
28093,8,FLAsize6-118,50,7.92,396.0,6.0,96.0
28496,1,HEXM8-094,10,86.95,869.5,51.42,355.3
28496,2,HEX3410-042,2,$76.66,153.32,44.58,64.16
28496,4,B62-454,1,$25.10,25.1,,7.25
25378,2,HEX3410-042,2,$76.66,,$44.58,64.16
26221,1,CAB1420-107,2,38.36,76.72,28.41,19.9
28678,2,CAB1250-008,50,38.86,,$27.86,550.0
,2,LOC3410-092,50,31.73,1586.5,$29.56,108.5
26221,4,LOC3410-092,25,35.65,,29.560000000000002,152.25
22178,1,HEX60-080,4,34.1,136.4,$22.36,46.96
26221,5,NIT1250-117,12,14.39,172.68,8.74,67.8
26221,6,6308-882,200,$19.71,3942.0,14.9,962.0
25858,1,CABsize8-111,12,20.52,246.24,13.25,87.24
25858,2,ANCM8-040,200,37.44,7488.0,29.41,1606.0
25858,3,HOSsize6-084,6,15.44,92.64,$11.21,25.38
27586,1,ABRM12-046,200,94.0,18800.0,$57.07,7386.0
27586,2,HOSsize6-084,12,$14.62,175.44,11.21,40.92
27586,3,LOC60-069,100,$30.87,3087.0,21.71,916.0
27586,5,HOSsize6-084,25,$14.62,365.5,11.21,85.25
29016,1,SOC1250-011,12,$98.04,1176.48,59.42,463.44
28354,1,CUT2000-023,6,89.89,539.34,58.75,186.84
28354,2,LOC5811-099,25,21.52,538.0,13.36,204.0
28354,3,HEXsize8-000,12,40.3,483.6,$25.30,180.0
24445,1,FLAM12-013,1,$7.27,7.27,$5.50,1.77
24445,2,HEX60-055,4,$25.94,103.76,19.51,25.72
24445,3,SOC51618-057,25,$65.80,1645.0,$52.87,323.25
24445,4,NIT80-132,200,$23.96,4792.0,$13.63,2066.0
25424,1,NIT1250-117,1,15.19,15.19,8.74,6.45
29526,1,LOC5811-099,25,21.52,538.0,13.36,204.0
29526,3,ABRM12-109,10,119.93,1199.3,72.03,479.0
25329,1,DRIM10-072,10,55.42,554.2,33.72,217.0
29526,4,HEXM8-094,10,82.38,823.8,51.42,309.6
29526,5,FLA1213-026,10,18.85,188.5,13.17,56.8
29526,6,SOC1250-123,10,$96.88,968.8,69.72,271.6
29526,8,ANC3410-034,,$177.29,531.87,$115.20,186.27
23807,1,SOC1250-123,100,115.74,11574.0,69.72,4602.0
26282,1,ANC3816-039,12,90.03,1080.36,$62.91,325.44
26282,2,ABRM8-051,4,,170.32,$28.33,57.0
26282,3,LOC60-135,25,$42.19,1054.75,$29.62,314.25
26282,4,HEX1420-014,50,$26.29,1314.5,22.13,208.0
29631,1,ABRsize6-012,6,75.37,452.22,57.08,109.74
29631,2,LOC3410-096,4,37.15,148.6,$27.93,36.88
29631,4,NIT1250-117,25,$15.19,379.75,8.74,161.25
21903,1,ANC3410-034,1,$170.20,170.2,115.2,55.0
25966,1,CAB1420-125,100,$9.23,923.0,5.46,377.0
25966,2,FLAsize8-045,1,22.04,22.04,13.89,8.15
28981,1,CUT3410-037,4,32.85,131.4,$21.60,45.0
28981,3,CUTM6-041,4,65.07,260.28,51.28,55.16
28016,1,CUT5811-066,1,59.67,59.67,$38.77,20.9
28016,2,,50,$85.69,4284.5,$53.06,
28016,3,HOSsize6-084,2,$15.44,30.88,11.21,8.46
28016,4,CAB1250-008,4,$41.02,164.08,27.86,
28016 ,5,LOC3410-092,1,37.63,37.63,29.560000000000002,8.07
28016,6,CUT1213-024,2,55.27,110.54,32.87,44.8
26240,1,HEX3410-042,25,66.17,,44.58,539.75
26240,3,LOC3410-096,12,$32.06,384.72,$27.93,49.56
26240,4,HEX1250-124,25,11.29,282.25,7.96,83.25
24492,1,DRI3410-068,50,34.52,1726.0,$27.16,368.0
24492,2,DRIM10-072 ,25,$47.84,1196.0,33.72,353.0
24492,3,CUT3410-037,100,$29.93,2993.0,21.6,833.0
24492,4,CUTsize8-078,50,83.83,4191.5,55.26,1428.5
25368,1,CAB5811-137,1,21.35,21.35,15.32,6.03
25368,3,FLAsize8-045 ,25,20.88,522.0,$13.89,174.75
25368,4,SOCsize6-063,10,$70.35,703.5,$46.81,235.4
25368,5,HOSM12-104,10,40.05,400.5,28.71,113.4
25368,6,CUT50-067,200,$62.35,12470.0,$42.50,3970.0
25368,7,BRG-6205-IMP,4,3.14,12.56,1.85,5.16
26236,1,ANC51618-019,2,81.18,162.36,53.06,56.24
26236,2,DRIM12-083,2,97.55,195.1,$64.39,66.32
26236,3,ABR50-010,6,$32.75,196.5,$26.37,38.28
26236,4,FLA60-122,1,$23.40,23.4,$18.44,4.96
23186,1,DRI3410-068,25,37.89,,$27.16,268.25
23186,2,HOS1213-006,,49.97,1249.25,$37.01,324.0
23186,3,DRI2000-048,50,61.41,3070.5,43.46,897.5
23186,4,LOCM6-053,50,41.21,2060.5,24.1,855.5
28338,3,CAB1250-008,12,35.41,424.92,27.86,90.6
23186,5,ANC3410-034,1,$177.29,177.29,115.2,62.09
23186,6,CAB1420-107,25,38.36,959.0,28.41,248.75
,1,CUT1213-024,50,47.12,2356.0,32.87,
28167,3,DRI3410-068,1,37.89,37.89,$27.16,10.73
28167,4,HEX1420-014,1,26.29,26.29,22.13,4.16
22616,1,,100,70.28,7028.0,$53.24,1704.0
22616,2,CUT50-067,2,$69.28,138.56,42.5,53.56
22616,3,FLA50-065,4,$16.51,66.04,$12.14,17.48
22616,4,LOC60-069,4,34.3,137.2,21.71,50.36
22616,5,LOCM6-053 ,,$45.79,274.74,$24.10,130.14
24659,1,CUT60-119,6,$41.09,246.54,$25.84,91.5
23151,4,DRIsize4-017,1,90.94,90.94,63.95,26.99
24659,2,ANCM8-001,3,147.43,442.29,100.37,141.18
24659,3,ABR1250-018,6,50.47,302.82,$32.56,107.46
22499,1,HEX1250-124,2,$11.29 ,22.58,$7.96,6.66
22499,2,HEXsize8-101,4,$67.97,271.88,52.13,63.36
22499,3,LOCM6-130,100,21.29,2129.0,16.43,486.0
22499,5,LOC60-069,1,$28.13,28.13,21.71,6.42
29631,1,ABRsize6-012,6,75.37,452.22,57.08,109.74
22499,6,FLA1420-090,25,3.18,79.5,2.17,25.25
22499,7,CUT60-119 ,25,$33.69,842.25,$25.84,196.25
22499,8,CUT60-119,2,33.69,67.38,25.84,15.7
28140,1,ANCsize6-005,2,178.25,356.5,$115.33,125.84
21160,1,SOCM10-021,25,$70.10,1752.5,52.31,444.75
26611,1,NIT1250-117,4,$13.11,52.44,8.74,17.48
20824,1,ABR1250-018,2,$47.95,95.9,32.56,30.78
28645,1,ANCM6-073,1,134.64,134.64,$82.40,52.24
23296,1,LOC1420-087,1,33.85,33.85,22.41,11.44
23296,2,SOC51618-129 ,100,96.7,9670.0,$82.77,1393.0
23296,3,LOC5811-099,6,$22.71,136.26,$13.36,56.1
23296,4,CUT50-067,25,65.82,1645.5,$42.50,583.0
23296,5,HEXM10-131,100,85.59,8559.0,$54.60,3099.0
23296,6,DRI1500-016,10,33.24,332.4,$22.87,103.7
23296,7,LOCM6-053,200,43.5,8700.0,,3880.0
23296,8,HOS1213-006,50,$52.74,2637.0,$37.01 ,786.5
27632,1,DRIsize4-017,10,95.99,959.9,63.95,320.4
27632 ,2,LOC2000-115,50,10.66,533.0,8.31,117.5
27632,3,LOCM6-053,4,43.5,174.0,$24.10,77.6
27632,4,DRIsize4-077,6,30.92,185.52,20.09,64.98
27632,6,CUT2000-023,1,94.89,94.89,58.75,36.14
27632,7,HOS1213-006,25,47.99,1199.75,37.01,274.5
23246,,ANC51618-020,1,153.11,153.11,$111.15,41.96
24656,5,CUT1500-089,200,66.06,13212.0,$52.43 ,2726.0
27211,1,CUTM6-041,1,65.07,65.07,51.28,13.79
27211,2,FLAM12-013,100,6.89,689.0,$5.50,139.0
27211,3,NITM12-036,25,17.62,440.5,$12.01,140.25
27211,4,SOC51618-129,2,106.52,213.04,82.77,47.5
27211,5,HEX60-080,,37.43,3743.0,22.36,1507.0
27211,6,ANCM10-050,50,26.77,1338.5,$18.82,397.5
27395,1,FLA1420-002,4,$29.66,118.64,19.51,40.6
27395,2,DRISIZE6-110,50,62.76,3138.0,$45.25,875.5
27395,3,CUT1420-049,6,46.27,277.62,26.61,117.96
27395,4,CAB50-127,10,17.42,174.2,12.31,51.1
27395,5,LOC60-135,12,48.4,580.8,29.62,225.36
27395,7,CAB1420-125,12,$9.23,110.76,$5.46,45.24
20594,1,ANCM8-001,1,125.93,125.93,100.37,25.56
20594,2,LOC2000-115,200,$9.20,1840.0,8.31,178.0
20594,,SOC51618-057,4,56.79,227.16,$52.87,15.68
20594,4,ABRM12-095,50,$28.95,1447.5,26.150000000000002,140.0
20594,5,HOS1000-086,12,10.58,126.96,$7.96,31.44
21200,1,HOS1213-006,2,$55.52,111.04,37.01,37.02
21200,2,SOCsize6-063,10,78.17,781.7,$46.81,313.6
21200,3,HEX60-055,10,$27.31,273.1,19.51,78.0
28530,1,CAB1420-107,6,$34.95,209.7,$28.41,39.24
21598,1,CUT2000-023,12,89.89,1078.68,58.75,373.68
