so_number,line,item_id,description,ordered_qty,uom,unit_price,extended_price,unit_cost_at_order,price_source,requested_date,promised_date,shipped_qty,line_status,ship_to_id
SO-26004,2,A-20034,Shaft Coupling M10,2,EA,127.81,255.62,111.33,Price List D,2025-08-23,2025-08-23,2,Shipped,NIC-CUST0011-S1
SO-26004,3,A-20077,Machined Housing 1.250,5,EA,1062.94,5314.7,869.98,Price List D,2025-08-26,2025-08-26,5,Shipped,NIC-CUST0011-S1
SO-26005,1,A-20097,Machined Housing #80,3,EA,375.4,1126.2,246.81,Price List C,2025-06-03,2025-06-03,3,Shipped,NIC-CUST0034-S1
SO-26006,1,A-20063,Gearbox Sub-Assembly 5/8-11,3,EA,1702.06,5106.18,1372.91,Manual override,2025-12-18,2025-12-19,3,Shipped,NIC-CUST0010-S1
SO-26006,2,A-20072,Machined Housing 1.250,3,EA,512.35,1537.05,402.48,Price List B,2025-12-07,2025-12-14,3,Shipped,NIC-CUST0010-S1
SO-26006,3,A-20013,Shaft Coupling 5/8-11,1,EA,218.8,218.8,162.20000000000002,Price List B,2025-12-08,2025-12-08,1,Shipped,NIC-CUST0010-S1
SO-26006,4,A-20033,Shaft Coupling 2.000,3,EA,508.87,1526.61,328.62,Price List B,2025-12-20,2025-12-21,3,Shipped,NIC-CUST0010-S1
SO-26006,5,A-20002,Gearbox Sub-Assembly 3/8-16,1,EA,2440.01,2440.01,1931.15,Price List B,2025-12-15,2025-12-16,1,Shipped,NIC-CUST0010-S1
SO-26007,1,A-20082,Machined Housing #60,1,EA,1089.66,1089.66,841.44,NIC-CPA013,2025-07-21,2025-07-21,0,Open,NIC-CUST0018-S1
SO-26008,1,A-20072,Machined Housing 1.250,2,EA,442.24,884.48,402.48,Price List D,2025-10-18,2025-10-18,2,Shipped,NIC-CUST0015-S1
SO-26008,2,A-20022,Machined Housing 1.500,5,EA,184.78,923.9,155.41,Price List D,2025-10-17,2025-10-17,5,Shipped,NIC-CUST0015-S1
SO-26009,1,A-20090,Machined Housing 1.250,5,EA,1212.24,6061.2,821.3000000000001,Price List C,2025-09-26,2025-09-27,5,Shipped,NIC-CUST0031-S1
SO-26009,2,A-20107,Gearbox Sub-Assembly M12,1,EA,3339.95,3339.95,2631.9500000000003,Price List C,2025-09-14,2025-09-14,1,Shipped,NIC-CUST0031-S1
SO-26009,3,A-20033,Shaft Coupling 2.000,3,EA,482.08,1446.24,328.62,Price List C,2025-10-04,2025-10-05,3,Shipped,NIC-CUST0031-S1
SO-26009,4,A-20030,Shaft Coupling M8,1,EA,245.3,245.3,176.98,Price List C,2025-09-19,2025-09-19,1,Shipped,NIC-CUST0031-S1
SO-26009,5,A-20034,Shaft Coupling M10,1,EA,140.27,140.27,111.33,Price List C,2025-09-11,2025-09-18,1,Shipped,NIC-CUST0031-S1
SO-26010,1,A-20073,Machined Housing 1.500,5,EA,770.11,3850.55,496.53000000000003,Manual override,2025-12-30,2025-12-30,5,Shipped,NIC-CUST0039-S1
SO-26010,2,A-20114,Shaft Coupling 3/8-16,2,EA,442.89,885.78,244.69,Price List A,2025-12-24,2025-12-24,2,Shipped,NIC-CUST0039-S1
SO-26011,1,A-20110,Gearbox Sub-Assembly 2.000,5,EA,4055.26,20276.3,2979.18,Price List D,2025-07-26,2025-07-26,5,Shipped,NIC-CUST0009-S1
SO-26011,2,A-20077,Machined Housing 1.250,5,EA,1062.94,5314.7,869.98,Price List D,2025-07-08,2025-07-11,5,Shipped,NIC-CUST0009-S1
SO-26011,3,A-20101,Gearbox Sub-Assembly 5/8-11,1,EA,2949.88,2949.88,2382.4,Price List D,2025-07-23,2025-07-26,0,Open,NIC-CUST0009-S1
SO-26011,4,A-20034,Shaft Coupling M10,2,EA,127.81,255.62,111.33,Price List D,2025-07-18,2025-07-19,2,Shipped,NIC-CUST0009-S1
SO-26011,5,A-20092,Gearbox Sub-Assembly 2.000,2,EA,2120.77,4241.54,1915.78,Price List D,2025-08-01,2025-08-08,2,Shipped,NIC-CUST0009-S1
SO-26012,1,A-20063,Gearbox Sub-Assembly 5/8-11,1,EA,1632.39,1632.39,1372.91,Price List D,2025-07-16,2025-07-23,1,Shipped,NIC-CUST0003-S1
SO-26012,2,A-20002,Gearbox Sub-Assembly 3/8-16,2,EA,2106.11,4212.22,1931.15,Price List D,2025-07-21,2025-07-21,2,Shipped,NIC-CUST0003-S1
SO-26012,3,A-20030,Shaft Coupling M8,5,EA,223.49,1117.45,176.98,Price List D,2025-07-16,2025-07-16,5,Shipped,NIC-CUST0003-S1
SO-26012,4,A-20003,Gearbox Sub-Assembly 2.000,1,EA,2753.07,2753.07,2450.66,Price List D,2025-07-18,2025-07-18,1,Shipped,NIC-CUST0003-S1
SO-26013,1,A-20114,Shaft Coupling 3/8-16,2,EA,442.89,885.78,244.69,Price List A,2025-09-15,2025-09-22,2,Shipped,NIC-CUST0021-S1
SO-26014,1,A-20090,Machined Housing 1.250,1,EA,1104.48,1104.48,821.3000000000001,Price List D,2025-05-19,2025-05-26,1,Shipped,NIC-CUST0040-S1
SO-26014,2,A-20030,Shaft Coupling M8,1,EA,214.55,214.55,176.98,Manual override,2025-05-24,2025-05-24,1,Shipped,NIC-CUST0040-S1
SO-26014,3,A-20038,Gearbox Sub-Assembly #80,2,EA,2572.18,5144.36,1997.97,Price List D,2025-05-06,2025-05-13,0,Open,NIC-CUST0040-S1
SO-26014,4,A-20065,Machined Housing M6,2,EA,929.19,1858.38,798.0,Price List D,2025-05-21,2025-05-21,2,Shipped,NIC-CUST0040-S1
SO-26015,1,A-20087,Machined Housing M12,1,EA,588.52,588.52,333.06,Price List B,2025-08-10,2025-08-10,1,Shipped,NIC-CUST0010-S1
SO-26016,1,A-20061,Shaft Coupling 2.000,1,EA,265.04,265.04,175.52,Price List A,2025-06-05,2025-06-06,1,Shipped,NIC-CUST0039-S1
SO-26016,2,A-20020,Shaft Coupling 5/8-11,1,EA,588.91,588.91,316.62,Price List A,2025-06-17,2025-06-24,1,Shipped,NIC-CUST0039-S1
SO-26016,3,A-20034,Shaft Coupling M10,1,EA,155.86,155.86,111.33,Price List A,2025-05-28,2025-05-31,0,Backordered,NIC-CUST0039-S1
SO-26016,4,A-20082,Machined Housing #60,3,EA,1472.52,4417.56,841.44,Price List A,2025-06-10,2025-06-10,3,Shipped,NIC-CUST0039-S1
SO-26017,1,A-20097,Machined Housing #80,1,EA,375.4,375.4,246.81,Price List C,2025-12-10,2025-12-11,1,Shipped,NIC-CUST0017-S1
SO-26017,2,A-20022,Machined Housing 1.500,1,EA,202.81,202.81,155.41,Price List C,2025-12-18,2025-12-21,1,Shipped,NIC-CUST0017-S1
SO-26017,3,A-20043,Gearbox Sub-Assembly 1.000,1,EA,2081.52,2081.52,1336.88,Price List C,2025-12-12,2025-12-13,1,Shipped,NIC-CUST0017-S1
SO-26017,4,A-20114,Shaft Coupling 3/8-16,3,EA,398.6,1195.8,244.69,Price List C,2025-12-27,2025-12-30,3,Shipped,NIC-CUST0017-S1
SO-26018,1,A-20114,Shaft Coupling 3/8-16,1,EA,442.89,442.89,244.69,Price List A,2025-08-29,2025-08-29,1,Shipped,NIC-CUST0006-S1
SO-26018,2,A-20003,Gearbox Sub-Assembly 2.000,1,EA,3357.4,3357.4,2450.66,Price List A,2025-08-13,2025-08-14,1,Shipped,NIC-CUST0006-S1
SO-26018,3,A-20110,Gearbox Sub-Assembly 2.000,5,EA,4945.44,24727.2,2979.18,Price List A,2025-08-25,2025-08-28,5,Shipped,NIC-CUST0006-S1
SO-26018,4,A-20093,Gearbox Sub-Assembly M12,5,EA,3550.31,17751.55,2017.22,Price List A,2025-08-13,2025-08-20,5,Shipped,NIC-CUST0006-S1
SO-26018,5,A-20038,Gearbox Sub-Assembly #80,1,EA,3136.81,3136.81,1997.97,Price List A,2025-08-08,2025-08-08,1,Shipped,NIC-CUST0006-S1
SO-26019,1,A-20110,Gearbox Sub-Assembly 2.000,1,EA,4698.17,4698.17,2979.18,Price List B,2025-07-12,2025-07-13,1,Shipped,NIC-CUST0026-S1
SO-26020,1,A-20061,Shaft Coupling 2.000,2,EA,238.54,477.08,175.52,Price List C,2025-07-31,2025-07-31,2,Shipped,NIC-CUST0001-S1
SO-26021,1,A-20110,Gearbox Sub-Assembly 2.000,3,EA,4055.26,12165.78,2979.18,Price List D,2025-10-04,2025-10-04,3,Shipped,NIC-CUST0015-S1
SO-26021,2,A-20093,Gearbox Sub-Assembly M12,2,EA,2911.25,5822.5,2017.22,Price List D,2025-10-06,2025-10-06,2,Shipped,NIC-CUST0015-S1
SO-26021,3,A-20033,Shaft Coupling 2.000,1,EA,386.52,386.52,328.62,Manual override,2025-10-09,2025-10-12,1,Shipped,NIC-CUST0015-S1
SO-26021,4,A-20072,Machined Housing 1.250,1,EA,442.24,442.24,402.48,Price List D,2025-10-16,2025-10-17,1,Shipped,NIC-CUST0015-S1
SO-26022,1,A-20078,Machined Housing 3/8-16,2,EA,1275.6,2551.2,704.75,Price List A,2025-11-17,2025-11-24,2,Shipped,NIC-CUST0022-S1
SO-26022,2,A-20063,Gearbox Sub-Assembly 5/8-11,3,EA,1990.72,5972.16,1372.91,Price List A,2025-11-01,2025-11-01,3,Shipped,NIC-CUST0022-S1
SO-26022,3,A-20087,Machined Housing M12,5,EA,619.49,3097.45,333.06,Price List A,2025-11-01,2025-11-01,5,Shipped,NIC-CUST0022-S1
SO-26023,1,A-20039,Shaft Coupling 1.000,2,EA,562.68,1125.36,415.87,Price List D,2025-07-09,2025-07-09,2,Shipped,NIC-CUST0040-S1
SO-26023,2,A-20020,Shaft Coupling 5/8-11,5,EA,482.91,2414.55,316.62,Price List D,2025-07-24,2025-07-31,5,Shipped,NIC-CUST0040-S1
SO-26023,3,A-20031,Shaft Coupling M10,5,EA,188.62,943.1,128.84,NIC-CPA019,2025-07-15,2025-07-15,5,Shipped,NIC-CUST0040-S1
SO-26023,4,A-20076,Gearbox Sub-Assembly 1.375,2,EA,1094.03,2188.06,721.1800000000001,Price List D,2025-07-18,2025-07-18,2,Shipped,NIC-CUST0040-S1
SO-26024,1,A-20073,Machined Housing 1.500,3,EA,819.27,2457.81,496.53000000000003,Price List A,2025-06-16,2025-06-16,3,Shipped,NIC-CUST0022-S1
SO-26024,2,A-20033,Shaft Coupling 2.000,3,EA,535.65,1606.95,328.62,Price List A,2025-06-06,2025-06-13,3,Shipped,NIC-CUST0022-S1
SO-26024,3,A-20077,Machined Housing 1.250,2,EA,1296.27,2592.54,869.98,Price List A,2025-06-13,2025-06-13,2,Shipped,NIC-CUST0022-S1
SO-26024,4,A-20053,Machined Housing #50,2,EA,932.17,1864.34,695.65,Price List A,2025-06-16,2025-06-19,2,Shipped,NIC-CUST0022-S1
SO-26025,1,A-20034,Shaft Coupling M10,5,EA,140.27,701.35,111.33,Price List C,2026-01-26,2026-01-26,5,Shipped,NIC-CUST0001-S1
SO-26025,2,A-20107,Gearbox Sub-Assembly M12,3,EA,3339.95,10019.85,2631.9500000000003,Price List C,2026-01-16,2026-01-17,3,Shipped,NIC-CUST0001-S1
SO-26025,3,A-20013,Shaft Coupling 5/8-11,1,EA,207.29,207.29,162.20000000000002,Price List C,2026-01-11,2026-01-12,1,Shipped,NIC-CUST0001-S1
SO-26025,4,A-20076,Gearbox Sub-Assembly 1.375,2,EA,1200.76,2401.52,721.1800000000001,Price List C,2026-01-29,2026-01-29,2,Shipped,NIC-CUST0001-S1
SO-26025,5,A-20031,Shaft Coupling M10,1,EA,212.2,212.2,128.84,Price List C,2026-01-17,2026-01-17,1,Shipped,NIC-CUST0001-S1
SO-26026,1,A-20061,Shaft Coupling 2.000,1,EA,217.33,217.33,175.52,Price List D,2026-04-03,2026-04-03,0,Open,NIC-CUST0003-S1
SO-26026,2,A-20061,Shaft Coupling 2.000,5,EA,217.33,1086.65,175.52,Price List D,2026-04-19,2026-04-26,0,Open,NIC-CUST0003-S1
SO-26026,3,A-20092,Gearbox Sub-Assembly 2.000,3,EA,1972.32,5916.96,1915.78,Manual override,2026-04-13,2026-04-13,0,Open,NIC-CUST0003-S1
SO-26026,4,A-20039,Shaft Coupling 1.000,5,EA,562.68,2813.4,415.87,Price List D,2026-04-24,2026-04-25,0,Backordered,NIC-CUST0003-S1
SO-26026,5,A-20097,Machined Housing #80,1,EA,321.51,321.51,246.81,Manual override,2026-04-19,2026-04-26,0,Open,NIC-CUST0003-S1
SO-26027,1,A-20097,Machined Housing #80,5,EA,342.03,1710.15,246.81,Price List D,2026-02-06,2026-02-06,5,Shipped,NIC-CUST0011-S1
SO-26027,2,A-20087,Machined Housing M12,2,EA,441.94,883.88,333.06,Manual override,2026-02-09,2026-02-09,2,Shipped,NIC-CUST0011-S1
SO-26028,1,A-20040,Machined Housing #60,1,EA,298.58,298.58,210.93,Price List B,2026-04-02,2026-04-05,0,Open,NIC-CUST0035-S1
SO-26029,1,A-20043,Gearbox Sub-Assembly 1.000,1,EA,2197.16,2197.16,1336.88,Price List B,2026-03-25,2026-03-25,1,Shipped,NIC-CUST0026-S1
SO-26029,2,A-20020,Shaft Coupling 5/8-11,5,EA,503.51,2517.55,316.62,Manual override,2026-03-17,2026-03-17,5,Shipped,NIC-CUST0026-S1
SO-26029,3,A-20053,Machined Housing #50,2,EA,858.99,1717.98,695.65,Manual override,2026-03-19,2026-03-20,2,Shipped,NIC-CUST0026-S1
SO-26029,4,A-20073,Machined Housing 1.500,1,EA,778.31,778.31,496.53000000000003,Price List B,2026-03-09,2026-03-09,1,Shipped,NIC-CUST0026-S1
SO-26030,1,A-20020,Shaft Coupling 5/8-11,5,EA,482.91,2414.55,316.62,Price List D,2026-03-28,2026-03-28,0,Open,NIC-CUST0008-S1
SO-26030,2,A-20033,Shaft Coupling 2.000,3,EA,439.23,1317.69,328.62,Price List D,2026-03-21,2026-03-21,3,Shipped,NIC-CUST0008-S1
SO-26030,3,A-20110,Gearbox Sub-Assembly 2.000,2,EA,4055.26,8110.52,2979.18,Price List D,2026-03-23,2026-03-26,2,Shipped,NIC-CUST0008-S1
SO-26030,4,A-20065,Machined Housing M6,3,EA,929.19,2787.57,798.0,Price List D,2026-03-30,2026-04-06,0,Open,NIC-CUST0008-S1
SO-26031,1,A-20013,Shaft Coupling 5/8-11,2,EA,188.86,377.72,162.20000000000002,Price List D,2025-11-21,2025-11-22,2,Shipped,NIC-CUST0040-S1
SO-26031,2,A-20070,Gearbox Sub-Assembly 1.000,1,EA,2453.71,2453.71,1739.22,Manual override,2025-11-26,2025-12-03,1,Shipped,NIC-CUST0040-S1
SO-26031,3,A-20036,Gearbox Sub-Assembly M10,3,EA,3144.9,9434.7,2945.65,Manual override,2025-11-29,2025-11-29,3,Shipped,NIC-CUST0040-S1
SO-26031,4,A-20058,Shaft Coupling size 6,1,EA,353.03,353.03,254.75,Price List D,2025-12-10,2025-12-10,1,Shipped,NIC-CUST0040-S1
SO-26031,5,A-20114,Shaft Coupling 3/8-16,2,EA,363.17,726.34,244.69,Price List D,2025-12-01,2025-12-01,2,Shipped,NIC-CUST0040-S1
SO-26032,1,A-20038,Gearbox Sub-Assembly #80,5,EA,2823.13,14115.65,1997.97,Price List C,2025-12-25,2025-12-28,5,Shipped,NIC-CUST0024-S1
SO-26032,2,A-20063,Gearbox Sub-Assembly 5/8-11,1,EA,1791.65,1791.65,1372.91,Price List C,2026-01-04,2026-01-04,1,Shipped,NIC-CUST0024-S1
SO-26032,3,A-20114,Shaft Coupling 3/8-16,5,EA,398.6,1993.0,244.69,Price List C,2025-12-24,2025-12-24,5,Shipped,NIC-CUST0024-S1
SO-26033,1,A-20093,Gearbox Sub-Assembly M12,2,EA,3195.28,6390.56,2017.22,Price List C,2025-09-15,2025-09-15,2,Shipped,NIC-CUST0017-S1
SO-26033,2,A-20097,Machined Housing #80,3,EA,375.4,1126.2,246.81,Price List C,2025-09-21,2025-09-21,3,Shipped,NIC-CUST0017-S1
SO-26034,1,A-20058,Shaft Coupling size 6,1,EA,430.53,430.53,254.75,Price List A,2025-10-05,2025-10-08,1,Shipped,NIC-CUST0033-S1
SO-26034,2,A-20090,Machined Housing 1.250,3,EA,1346.93,4040.79,821.3000000000001,Price List A,2025-09-30,2025-10-07,3,Shipped,NIC-CUST0033-S1
SO-26035,1,A-20097,Machined Housing #80,5,EA,322.84,1614.2,246.81,Manual override,2025-07-02,2025-07-02,5,Shipped,NIC-CUST0030-S1
SO-26035,2,A-20092,Gearbox Sub-Assembly 2.000,1,EA,2327.67,2327.67,1915.78,Price List C,2025-06-27,2025-06-27,1,Shipped,NIC-CUST0030-S1
SO-26035,3,A-20040,Machined Housing #60,5,EA,282.86,1414.3,210.93,Price List C,2025-06-10,2025-06-10,5,Shipped,NIC-CUST0030-S1
SO-26035,4,A-20036,Gearbox Sub-Assembly M10,5,EA,3711.52,18557.6,2945.65,Price List C,2025-06-09,2025-06-10,5,Shipped,NIC-CUST0030-S1
SO-26035,5,A-20073,Machined Housing 1.500,2,EA,737.34,1474.68,496.53000000000003,Price List C,2025-06-08,2025-06-09,2,Shipped,NIC-CUST0030-S1
SO-26036,1,A-20034,Shaft Coupling M10,1,EA,140.27,140.27,111.33,Price List C,2025-05-07,2025-05-10,1,Shipped,NIC-CUST0031-S1
SO-26036,2,A-20073,Machined Housing 1.500,5,EA,737.34,3686.7,496.53000000000003,Price List C,2025-05-06,2025-05-13,5,Shipped,NIC-CUST0031-S1
SO-26037,1,A-20033,Shaft Coupling 2.000,1,EA,439.23,439.23,328.62,Price List D,2026-02-06,2026-02-06,1,Shipped,NIC-CUST0009-S1
SO-26037,2,A-20077,Machined Housing 1.250,5,EA,1062.94,5314.7,869.98,Price List D,2026-02-03,2026-02-03,5,Shipped,NIC-CUST0009-S1
SO-26037,3,A-20090,Machined Housing 1.250,1,EA,1104.48,1104.48,821.3000000000001,Price List D,2026-02-06,2026-02-06,1,Shipped,NIC-CUST0009-S1
SO-26037,4,A-20061,Shaft Coupling 2.000,1,EA,217.33,217.33,175.52,Price List D,2026-01-18,2026-01-18,1,Shipped,NIC-CUST0009-S1
SO-26038,1,A-20022,Machined Housing 1.500,2,EA,225.34,450.68,155.41,Price List A,2025-08-15,2025-08-15,2,Shipped,NIC-CUST0033-S1
SO-26038,2,A-20097,Machined Housing #80,2,EA,417.11,834.22,246.81,Price List A,2025-09-04,2025-09-05,2,Shipped,NIC-CUST0033-S1
SO-26038,3,A-20034,Shaft Coupling M10,5,EA,155.86,779.3,111.33,Price List A,2025-09-08,2025-09-15,5,Shipped,NIC-CUST0033-S1
SO-26039,1,A-20087,Machined Housing M12,5,EA,588.52,2942.6,333.06,Price List B,2025-12-28,2025-12-29,0,Open,NIC-CUST0029-S1
SO-26039,2,A-20038,Gearbox Sub-Assembly #80,3,EA,2771.37,8314.11,1997.97,Manual override,2025-12-31,2025-12-31,3,Shipped,NIC-CUST0029-S1
SO-26039,3,A-20002,Gearbox Sub-Assembly 3/8-16,2,EA,2440.01,4880.02,1931.15,Price List B,2025-12-29,2025-12-29,2,Shipped,NIC-CUST0029-S1
SO-26040,1,A-20087,Machined Housing M12,1,EA,588.52,588.52,333.06,Price List B,2025-05-22,2025-05-25,1,Shipped,NIC-CUST0013-S1
SO-26041,1,A-20020,Shaft Coupling 5/8-11,2,EA,559.46,1118.92,316.62,Manual override,2025-12-27,2025-12-27,2,Shipped,NIC-CUST0023-S1
SO-26041,2,A-20063,Gearbox Sub-Assembly 5/8-11,2,EA,1990.72,3981.44,1372.91,Price List A,2025-12-25,2025-12-28,2,Shipped,NIC-CUST0023-S1
SO-26041,3,A-20078,Machined Housing 3/8-16,5,EA,1275.6,6378.0,704.75,Price List A,2025-12-26,2025-12-26,5,Shipped,NIC-CUST0023-S1
SO-26041,4,A-20073,Machined Housing 1.500,3,EA,819.27,2457.81,496.53000000000003,Price List A,2025-12-27,2025-12-27,3,Shipped,NIC-CUST0023-S1
SO-26042,1,A-20039,Shaft Coupling 1.000,2,EA,617.57,1235.14,415.87,Price List C,2025-12-27,2025-12-28,2,Shipped,NIC-CUST0018-S1
SO-26042,2,A-20013,Shaft Coupling 5/8-11,1,EA,207.29,207.29,162.20000000000002,Price List C,2026-01-06,2026-01-06,1,Shipped,NIC-CUST0018-S1
SO-26042,3,A-20040,Machined Housing #60,2,EA,282.86,565.72,210.93,Price List C,2025-12-27,2025-12-30,2,Shipped,NIC-CUST0018-S1
SO-26042,4,A-20058,Shaft Coupling size 6,1,EA,387.48,387.48,254.75,Price List C,2025-12-23,2025-12-30,1,Shipped,NIC-CUST0018-S1
SO-26042,5,A-20072,Machined Housing 1.250,5,EA,485.39,2426.95,402.48,Price List C,2026-01-03,2026-01-03,5,Shipped,NIC-CUST0018-S1
SO-26043,1,A-20072,Machined Housing 1.250,3,EA,512.35,1537.05,402.48,Price List B,2026-03-25,2026-03-25,3,Shipped,NIC-CUST0020-S1
SO-26043,2,A-20063,Gearbox Sub-Assembly 5/8-11,1,EA,1891.18,1891.18,1372.91,Price List B,2026-03-13,2026-03-13,1,Shipped,NIC-CUST0020-S1
SO-26044,1,A-20092,Gearbox Sub-Assembly 2.000,3,EA,2586.3,7758.9,1915.78,Price List A,2025-11-02,2025-11-09,3,Shipped,NIC-CUST0006-S1
SO-26044,2,A-20092,Gearbox Sub-Assembly 2.000,2,EA,2586.3,5172.6,1915.78,Price List A,2025-10-28,2025-10-28,0,Open,NIC-CUST0006-S1
SO-26044,3,A-20043,Gearbox Sub-Assembly 1.000,1,EA,2035.26,2035.26,1336.88,Manual override,2025-10-25,2025-10-25,1,Shipped,NIC-CUST0006-S1
SO-26044,4,A-20013,Shaft Coupling 5/8-11,5,EA,230.32,1151.6,162.20000000000002,Price List A,2025-11-02,2025-11-03,5,Shipped,NIC-CUST0006-S1
SO-26045,1,A-20073,Machined Housing 1.500,1,EA,671.8,671.8,496.53000000000003,Price List D,2026-02-11,2026-02-18,1,Shipped,NIC-CUST0019-S1
SO-26045,2,A-20076,Gearbox Sub-Assembly 1.375,1,EA,1094.03,1094.03,721.1800000000001,Price List D,2026-02-13,2026-02-20,1,Shipped,NIC-CUST0019-S1
SO-26045,3,A-20053,Machined Housing #50,5,EA,764.38,3821.9,695.65,Price List D,2026-02-20,2026-02-20,5,Shipped,NIC-CUST0019-S1
SO-26046,1,A-20093,Gearbox Sub-Assembly M12,5,EA,2811.85,14059.25,2017.22,Manual override,2025-06-19,2025-06-19,5,Shipped,NIC-CUST0024-S1
SO-26046,2,A-20072,Machined Housing 1.250,1,EA,485.39,485.39,402.48,Price List C,2025-06-25,2025-06-28,1,Shipped,NIC-CUST0024-S1
SO-26046,3,A-20065,Machined Housing M6,5,EA,948.45,4742.25,798.0,Manual override,2025-07-01,2025-07-01,5,Shipped,NIC-CUST0024-S1
SO-26046,4,A-20101,Gearbox Sub-Assembly 5/8-11,1,EA,3237.68,3237.68,2382.4,Price List C,2025-06-29,2025-06-29,1,Shipped,NIC-CUST0024-S1
SO-26047,1,A-20030,Shaft Coupling M8,2,EA,245.3,490.6,176.98,Price List C,2025-05-29,2025-06-05,2,Shipped,NIC-CUST0034-S1
SO-26047,2,A-20114,Shaft Coupling 3/8-16,1,EA,398.6,398.6,244.69,Price List C,2025-06-19,2025-06-20,1,Shipped,NIC-CUST0034-S1
SO-26047,3,A-20063,Gearbox Sub-Assembly 5/8-11,1,EA,1791.65,1791.65,1372.91,Price List C,2025-06-18,2025-06-18,1,Shipped,NIC-CUST0034-S1
SO-26047,4,A-20093,Gearbox Sub-Assembly M12,5,EA,3195.28,15976.4,2017.22,Price List C,2025-06-17,2025-06-17,5,Shipped,NIC-CUST0034-S1
SO-26048,1,A-20038,Gearbox Sub-Assembly #80,2,EA,2572.18,5144.36,1997.97,Price List D,2026-03-31,2026-04-01,0,Open,NIC-CUST0037-S1
SO-26048,2,A-20040,Machined Housing #60,3,EA,257.72,773.16,210.93,Price List D,2026-04-21,2026-04-28,0,Open,NIC-CUST0037-S1
SO-26048,3,A-20072,Machined Housing 1.250,5,EA,442.24,2211.2,402.48,Price List D,2026-04-23,2026-04-26,0,Open,NIC-CUST0037-S1
SO-26049,1,A-20090,Machined Housing 1.250,1,EA,1212.24,1212.24,821.3000000000001,Price List C,2025-05-24,2025-05-24,1,Shipped,NIC-CUST0018-S1
SO-26049,2,A-20034,Shaft Coupling M10,1,EA,140.27,140.27,111.33,Price List C,2025-06-18,2025-06-18,1,Shipped,NIC-CUST0018-S1
SO-26050,1,A-20061,Shaft Coupling 2.000,1,EA,251.79,251.79,175.52,Price List B,2025-05-13,2025-05-16,1,Shipped,NIC-CUST0020-S1
SO-26050,2,A-20031,Shaft Coupling M10,5,EA,223.99,1119.95,128.84,Price List B,2025-05-28,2025-05-28,5,Shipped,NIC-CUST0020-S1
SO-26051,1,A-20038,Gearbox Sub-Assembly #80,1,EA,2823.13,2823.13,1997.97,Price List C,2025-05-14,2025-05-14,1,Shipped,NIC-CUST0025-S1
SO-26051,2,A-20003,Gearbox Sub-Assembly 2.000,1,EA,3021.66,3021.66,2450.66,Price List C,2025-05-28,2025-05-28,1,Shipped,NIC-CUST0025-S1
SO-26051,3,A-20036,Gearbox Sub-Assembly M10,1,EA,3711.52,3711.52,2945.65,Price List C,2025-05-13,2025-05-14,1,Shipped,NIC-CUST0025-S1
SO-26051,4,A-20061,Shaft Coupling 2.000,2,EA,204.08,408.16,175.52,NIC-CPA007,2025-05-21,2025-05-28,2,Shipped,NIC-CUST0025-S1
SO-26051,5,A-20070,Gearbox Sub-Assembly 1.000,2,EA,2895.8,5791.6,1739.22,Price List C,2025-05-26,2025-05-27,2,Shipped,NIC-CUST0025-S1
SO-26052,1,A-20076,Gearbox Sub-Assembly 1.375,3,EA,1094.03,3282.09,721.1800000000001,Price List D,2025-05-05,2025-05-05,3,Shipped,NIC-CUST0019-S1
