so_number,check_date,customer_id,credit_limit,open_ar_at_check,order_total,result,reviewed_by
SO-26099,2026-01-30,NIC-CUST0029,25000,16740.69,792.5,Approved,E002
SO-26102,2025-06-13,NIC-CUST0009,250000,155256.3,13741.82,Approved,E002
SO-26103,2025-04-15,NIC-CUST0008,50000,22857.77,1070.66,Approved,E002
SO-26104,2025-04-08,NIC-CUST0003,25000,23982.2,19632.93,Approved,E002
SO-26105,2025-04-18,NIC-CUST0013,25000,2137.99,18611.28,Approved,E002
SO-26106,2026-01-07,NIC-CUST0002,25000,25348.06,3440.7,Approved,E002
SO-26108,2025-07-30,NIC-CUST0013,25000,27368.55,1231.46,Approved,E002
SO-26111,2025-04-04,NIC-CUST0040,50000,50421.29,18977.24,Approved,E002
SO-26112,2026-01-12,NIC-CUST0034,100000,99811.62,32953.28,Approved,E002
SO-26113,2025-06-12,NIC-CUST0014,25000,6107.91,7034.43,Approved,E002
SO-26114,2025-12-19,NIC-CUST0014,25000,17056.8,5392.05,Approved,E002
SO-26115,2025-07-10,NIC-CUST0040,50000,34995.01,26800.4,Approved,E002
SO-26117,2025-10-05,NIC-CUST0035,250000,111817.94,2197.16,Approved,E002
SO-26119,2026-03-20,NIC-CUST0003,25000,22605.31,8062.3,Approved,E002
SO-26120,2026-03-06,NIC-CUST0040,50000,4618.25,2850.9,Approved,E002
SO-26121,2025-08-21,NIC-CUST0007,25000,25667.62,739.95,Approved,E002
SO-26123,2025-09-14,NIC-CUST0006,50000,29201.48,3551.78,Approved,E002
SO-26124,2025-11-10,NIC-CUST0040,50000,29378.39,1081.29,Approved,E002
SO-26125,2025-07-06,NIC-CUST0007,25000,17841.3,3650.98,Approved,E002
SO-26127,2026-01-16,NIC-CUST0011,25000,19017.73,1225.44,Approved,E002
SO-26128,2026-01-16,NIC-CUST0007,25000,14468.58,13823.12,Approved,E002
SO-26129,2025-12-29,NIC-CUST0030,25000,25722.4,14840.67,Approved,E002
SO-26130,2025-12-06,NIC-CUST0001,75000,70727.67,280.54,Approved,E002
SO-26131,2025-07-24,NIC-CUST0003,25000,25713.38,23542.27,Approved,E002
SO-26135,2025-06-26,NIC-CUST0029,25000,5819.77,2917.22,Approved,E002
SO-26137,2025-07-10,NIC-CUST0008,50000,627.86,11304.97,Approved,E002
SO-26139,2025-12-25,NIC-CUST0026,150000,149468.73,2656.68,Approved,E002
SO-26141,2025-06-11,NIC-CUST0008,50000,3164.12,7809.12,Approved,E002
SO-26142,2025-07-29,NIC-CUST0008,50000,49073.98,23963.43,Approved,E002
SO-26143,2025-05-11,NIC-CUST0013,25000,24478.43,3404.27,Approved,E002
SO-26145,2025-12-19,NIC-CUST0030,25000,10369.31,11396.68,Approved,E002
SO-26147,2025-09-01,NIC-CUST0003,25000,12541.32,17297.24,Approved,E002
SO-26148,2026-01-13,NIC-CUST0007,25000,15406.98,2750.2,Approved,E002
SO-26149,2025-05-02,NIC-CUST0029,25000,6764.26,2979.97,Approved,E002
SO-26151,2026-03-11,NIC-CUST0008,50000,20276.43,566.58,Approved,E002
SO-26154,2025-10-06,NIC-CUST0019,250000,169405.02,5684.14,Approved,E002
SO-26155,2026-03-13,NIC-CUST0002,25000,4879.83,7374.74,Approved,E002
SO-26157,2026-03-31,NIC-CUST0007,25000,26781.0,238.54,Approved,E002
SO-26159,2025-10-09,NIC-CUST0001,75000,54975.4,18910.31,Approved,E002
SO-26161,2025-11-27,NIC-CUST0035,250000,196351.82,2456.99,Approved,E002
SO-26163,2026-01-15,NIC-CUST0018,50000,44665.0,23068.12,Approved,E002
SO-26164,2026-03-05,NIC-CUST0002,25000,1223.81,1446.24,Approved,E002
SO-26167,2025-11-27,NIC-CUST0029,25000,7693.45,22937.56,Approved,E002
SO-26168,2025-07-02,NIC-CUST0030,25000,18213.2,14729.69,Approved,E002
SO-26170,2026-01-12,NIC-CUST0040,50000,975.76,7738.05,Approved,E002
SO-26172,2026-03-03,NIC-CUST0002,25000,24555.24,21677.76,Approved,E002
SO-26173,2025-09-09,NIC-CUST0003,25000,20990.29,13765.35,Approved,E002
SO-26175,2025-08-06,NIC-CUST0001,75000,77158.18,5875.21,Approved,E002
SO-26178,2026-02-05,NIC-CUST0040,50000,29259.63,9736.72,Approved,E002
SO-26181,2025-09-03,NIC-CUST0030,25000,7324.2,4202.05,Approved,E002
SO-26182,2025-04-09,NIC-CUST0034,100000,10384.95,10456.28,Approved,E002
SO-26183,2026-01-04,NIC-CUST0003,25000,4966.82,363.17,Approved,E002
SO-26184,2025-09-25,NIC-CUST0009,250000,67105.42,20428.64,Approved,E002
SO-26185,2025-04-28,NIC-CUST0003,25000,1692.94,5522.4,Approved,E002
SO-26190,2025-04-06,NIC-CUST0008,50000,13449.21,14728.12,Approved,E002
SO-26191,2025-12-05,NIC-CUST0018,50000,2502.33,398.6,Approved,E002
SO-26193,2026-03-04,NIC-CUST0026,150000,62848.61,26064.6,Approved,E002
SO-26196,2025-10-18,NIC-CUST0030,25000,19690.06,14497.49,Approved,E002
SO-26200,2025-09-07,NIC-CUST0013,25000,27214.89,11416.22,Approved,E002
SO-26202,2025-04-25,NIC-CUST0040,50000,4272.96,9524.69,Approved,E002
SO-26203,2025-08-01,NIC-CUST0014,25000,19285.06,2731.6,Approved,E002
SO-26205,2025-08-02,NIC-CUST0002,25000,24664.75,1542.04,Approved,E002
SO-26206,2025-11-18,NIC-CUST0014,25000,5740.37,2905.72,Approved,E002
SO-26207,2025-06-22,NIC-CUST0014,25000,25705.32,3867.57,Approved,E002
SO-26208,2025-06-03,NIC-CUST0029,25000,17280.55,3161.4,Approved,E002
SO-26209,2025-07-10,NIC-CUST0030,25000,23021.78,530.02,Approved,E002
SO-26210,2025-10-16,NIC-CUST0006,50000,4554.72,417.11,Approved,E002
SO-26211,2026-01-04,NIC-CUST0026,150000,132429.73,14010.93,Approved,E002
SO-26215,2025-08-17,NIC-CUST0023,250000,169960.71,3387.29,Approved,E002
SO-26216,2025-12-23,NIC-CUST0002,25000,13812.54,3087.85,Approved,E002
SO-26217,2025-10-04,NIC-CUST0031,75000,73090.87,17406.81,Approved,E002
SO-26218,2026-02-23,NIC-CUST0040,50000,14236.39,4230.81,Approved,E002
SO-26222,2025-11-20,NIC-CUST0007,25000,21037.25,8551.65,Approved,E002
SO-26223,2025-05-11,NIC-CUST0040,50000,8398.1,16133.75,Approved,E002
SO-26225,2025-12-08,NIC-CUST0007,25000,19829.49,10212.53,Approved,E002
SO-26227,2025-09-08,NIC-CUST0002,25000,3460.58,4147.86,Approved,E002
SO-26230,2025-10-06,NIC-CUST0014,25000,5031.01,5119.23,Approved,E002
SO-26234,2026-03-19,NIC-CUST0003,25000,1008.37,10373.58,Approved,E002
SO-26235,2025-11-18,NIC-CUST0019,250000,54525.03,193.34,Approved,E002
SO-26238,2025-11-08,NIC-CUST0006,50000,40463.58,6273.62,Approved,E002
SO-26240,2025-10-15,NIC-CUST0003,25000,14171.88,5918.42,Approved,E002
SO-26241,2025-06-16,NIC-CUST0034,100000,42005.91,2039.68,Approved,E002
SO-26243,2025-11-11,NIC-CUST0007,25000,10290.93,3350.13,Approved,E002
SO-26245,2025-08-06,NIC-CUST0006,50000,15268.04,14389.68,Approved,E002
SO-26248,2025-12-23,NIC-CUST0013,25000,20802.49,6047.0,Approved,E002
SO-26249,2025-08-24,NIC-CUST0013,25000,12533.5,10292.08,Approved,E002
SO-26253,2025-12-04,NIC-CUST0002,25000,18828.44,7003.84,Approved,E002
SO-26254,2025-04-03,NIC-CUST0029,25000,8954.6,12503.75,Hold,E002
SO-26255,2025-04-21,NIC-CUST0008,50000,3262.77,15215.3,Approved,E002
SO-26256,2025-11-05,NIC-CUST0006,50000,32353.38,6420.42,Approved,E002
SO-26258,2026-01-25,NIC-CUST0014,25000,2629.88,24658.87,Approved,E002
SO-26259,2025-08-25,NIC-CUST0014,25000,5061.05,1784.51,Approved,E002
SO-26260,2025-10-08,NIC-CUST0006,50000,28726.32,3097.45,Approved,E002
SO-26261,2025-05-09,NIC-CUST0011,25000,1381.33,9530.48,Approved,E002
SO-26265,2026-03-21,NIC-CUST0018,50000,37375.05,617.39,Approved,E002
SO-26267,2025-11-22,NIC-CUST0040,50000,380.95,7629.51,Approved,E002
SO-26268,2026-01-03,NIC-CUST0030,25000,18348.14,14678.04,Approved,E002
SO-26271,2025-04-02,NIC-CUST0030,25000,5840.58,6916.18,Approved,E002
SO-26274,2025-10-09,NIC-CUST0040,50000,48606.97,5819.75,Approved,E002
SO-26275,2025-12-31,NIC-CUST0007,25000,12323.15,12525.54,Approved,E002
SO-26277,2025-05-11,NIC-CUST0006,50000,16084.38,6526.28,Approved,E002
SO-26278,2025-10-28,NIC-CUST0025,250000,183256.25,15757.0,Approved,E002
SO-26279,2026-02-18,NIC-CUST0007,25000,371.18,8474.76,Approved,E002
SO-26283,2026-01-12,NIC-CUST0008,50000,17247.4,7356.49,Approved,E002
SO-26287,2025-04-17,NIC-CUST0026,150000,3909.04,10238.21,Approved,E002
SO-26289,2025-06-12,NIC-CUST0021,25000,16754.16,5447.05,Approved,E002
SO-26294,2025-06-19,NIC-CUST0009,250000,136459.31,7414.8,Approved,E002
SO-26295,2025-08-03,NIC-CUST0015,100000,106285.93,3043.06,Approved,E002
SO-26296,2026-01-27,NIC-CUST0002,25000,26219.18,3575.51,Approved,E002
SO-26298,2025-05-13,NIC-CUST0021,25000,4978.38,676.02,Approved,E002
SO-26301,2025-04-03,NIC-CUST0006,50000,36015.52,1827.89,Approved,E002
SO-26308,2026-02-19,NIC-CUST0018,50000,38459.53,19646.64,Hold,E002
SO-26311,2025-07-30,NIC-CUST0040,50000,44780.79,11043.61,Approved,E002
SO-26314,2025-08-14,NIC-CUST0011,25000,18301.17,18393.51,Approved,E002
SO-26315,2025-06-10,NIC-CUST0001,75000,76626.44,26805.02,Approved,E002
SO-26316,2025-12-02,NIC-CUST0036,100000,100724.33,24492.45,Approved,E002
SO-26319,2026-03-06,NIC-CUST0040,50000,41888.97,23502.46,Approved,E002
SO-26322,2025-09-04,NIC-CUST0014,25000,21023.38,5724.38,Approved,E002
SO-26323,2025-07-14,NIC-CUST0011,25000,939.15,10461.72,Approved,E002
SO-26326,2025-10-12,NIC-CUST0006,50000,42241.76,707.34,Hold,E002
SO-26327,2025-08-16,NIC-CUST0018,50000,54724.63,3009.6,Approved,E002
SO-26328,2026-02-26,NIC-CUST0022,75000,32129.49,6831.7,Approved,E002
SO-26329,2025-05-25,NIC-CUST0008,50000,39130.14,9922.35,Approved,E002
SO-26330,2026-03-29,NIC-CUST0021,25000,10387.56,1197.21,Approved,E002
SO-26335,2025-05-16,NIC-CUST0020,150000,100032.43,9759.45,Approved,E002
SO-26336,2026-03-03,NIC-CUST0038,250000,237293.48,2465.75,Approved,E002
SO-26338,2025-08-02,NIC-CUST0037,250000,223697.34,27015.55,Approved,E002
SO-26339,2026-03-15,NIC-CUST0029,25000,7331.61,7631.4,Approved,E002
SO-26340,2025-08-21,NIC-CUST0003,25000,14462.06,21205.49,Approved,E002
SO-26342,2025-05-31,NIC-CUST0008,50000,46680.98,5532.05,Approved,E002
SO-26344,2025-11-04,NIC-CUST0006,50000,9296.23,6188.32,Approved,E002
SO-26345,2025-12-15,NIC-CUST0035,250000,239375.46,24252.59,Approved,E002
SO-26346,2026-03-10,NIC-CUST0024,100000,79785.37,19997.27,Approved,E002
SO-26347,2026-03-29,NIC-CUST0021,25000,26724.2,7509.76,Approved,E002
SO-26348,2025-09-26,NIC-CUST0031,75000,21096.45,238.54,Approved,E002
SO-26350,2026-02-03,NIC-CUST0025,250000,132826.91,2424.48,Approved,E002
SO-26353,2025-05-07,NIC-CUST0026,150000,49900.96,13819.26,Approved,E002
SO-26354,2025-09-28,NIC-CUST0012,250000,114031.02,34776.34,Approved,E002
SO-26356,2025-09-25,NIC-CUST0010,150000,71525.33,5470.31,Approved,E002
SO-26357,2026-03-19,NIC-CUST0034,100000,80188.44,1855.29,Approved,E002
SO-26358,2025-09-16,NIC-CUST0029,25000,13631.84,12954.39,Hold,E002
SO-26359,2025-04-02,NIC-CUST0040,50000,23697.1,9524.52,Approved,E002
SO-26362,2025-04-10,NIC-CUST0017,150000,95976.95,41761.48,Approved,E002
SO-26364,2026-01-24,NIC-CUST0003,25000,2634.34,1896.5,Approved,E002
SO-26365,2025-10-30,NIC-CUST0011,25000,9022.23,3381.61,Approved,E002
SO-26366,2026-02-26,NIC-CUST0018,50000,43908.83,16699.75,Approved,E002
SO-26367,2025-09-06,NIC-CUST0021,25000,16772.56,155.86,Approved,E002
SO-26371,2025-06-23,NIC-CUST0005,100000,18480.9,5945.42,Approved,E002
SO-26372,2026-03-25,NIC-CUST0036,100000,15746.42,25034.48,Approved,E002
SO-26374,2025-07-01,NIC-CUST0011,25000,19412.05,15353.97,Approved,E002
SO-26377,2025-05-03,NIC-CUST0025,250000,40686.49,9263.47,Approved,E002
SO-26380,2025-05-15,NIC-CUST0040,50000,50860.88,14578.6,Approved,E002
SO-26381,2025-07-08,NIC-CUST0029,25000,9695.21,7921.68,Approved,E002
SO-26383,2026-01-25,NIC-CUST0001,75000,57884.46,24072.21,Approved,E002
SO-26384,2025-07-25,NIC-CUST0033,75000,10522.15,5042.55,Approved,E002
SO-26385,2026-01-14,NIC-CUST0006,50000,50762.16,10082.3,Approved,E002
SO-26387,2026-02-25,NIC-CUST0006,50000,402.8,6334.54,Approved,E002
SO-26388,2025-04-13,NIC-CUST0021,25000,24012.45,485.39,Approved,E002
SO-26389,2025-11-12,NIC-CUST0040,50000,39157.64,1221.48,Approved,E002
SO-26390,2026-01-19,NIC-CUST0017,150000,55377.44,10569.52,Approved,E002
SO-26394,2026-03-11,NIC-CUST0008,50000,5896.33,11372.13,Approved,E002
SO-26395,2025-10-03,NIC-CUST0008,50000,8528.94,15050.41,Approved,E002
SO-26402,2026-03-30,NIC-CUST0033,75000,75739.99,392.1,Approved,E002
SO-26403,2025-10-31,NIC-CUST0003,25000,5183.05,18863.72,Approved,E002
SO-26404,2025-10-04,NIC-CUST0011,25000,9523.22,23967.61,Approved,E002
SO-26405,2025-04-30,NIC-CUST0008,50000,10655.69,966.7,Hold,E002
SO-26410,2025-04-14,NIC-CUST0018,50000,24782.48,38342.3,Approved,E002
SO-26411,2025-10-15,NIC-CUST0003,25000,17392.4,20188.0,Approved,E002
SO-26412,2026-01-04,NIC-CUST0022,75000,30259.8,1877.01,Approved,E002
SO-26414,2025-12-29,NIC-CUST0005,100000,69037.1,30801.58,Approved,E002
SO-26415,2026-03-03,NIC-CUST0015,100000,56042.56,2787.57,Approved,E002
SO-26416,2026-02-23,NIC-CUST0018,50000,50413.51,7134.51,Approved,E002
SO-26417,2025-09-13,NIC-CUST0036,100000,54430.42,5951.69,Approved,E002
