so_number,customer_id,customer_po_number,order_date,quote_id,sales_rep_id,entered_by,order_source,payment_terms,ship_via,freight_terms,order_total,credit_hold,order_status,invoiced
SO-26064,NIC-CUST0035,P271160,2026-03-13,Q-26030,E070,E074,Portal,Net 30,Customer Pickup,Prepaid & Add,9171.89,N,Partially Shipped,Y
SO-26065,NIC-CUST0022,PUR-622973,2025-07-14,,E070,E064,EDI 850,Net 30,LTL - Estes,Prepaid & Add,2551.2,N,Closed,Y
SO-26066,NIC-CUST0011,4500588464,2025-07-09,Q-26031,E070,E065,Phone,2% 10 Net 30,Company Truck,Collect,10211.64,N,Closed,Y
SO-26067,NIC-CUST0002,PO797180,2025-09-13,Q-26032,E066,E064,Phone,Net 30,UPS Ground,Prepaid & Add,9941.61,N,Closed,Y
SO-26068,NIC-CUST0005,4500904308,2025-12-31,,E072,E065,Portal,Net 30,LTL - XPO,Collect,8754.25,N,Closed,Y
SO-26069,NIC-CUST0008,4500362893,2025-08-28,Q-26033,E071,E066,Email,2% 10 Net 30,UPS Ground,Prepaid & Add,5419.04,N,Closed,Y
SO-26070,NIC-CUST0038,PO880452,2026-03-19,,E064,E066,Portal,Net 45,UPS Ground,Prepaid & Add,2559.16,N,Open,N
SO-26071,NIC-CUST0030,PUR-406863,2025-11-05,,E069,E075,Phone,Net 45,LTL - Estes,Collect,6689.26,N,Partially Shipped,Y
SO-26072,NIC-CUST0001,PO847264,2025-11-03,,E068,E064,Portal,Net 30,Company Truck,Collect,608.43,N,Closed,Y
SO-26073,NIC-CUST0031,PO174359,2025-12-17,,E070,E068,Portal,2% 10 Net 30,LTL - XPO,Collect,12645.98,N,Closed,Y
SO-26074,NIC-CUST0031,PUR-478299,2025-11-10,Q-26034,E070,E067,Email,2% 10 Net 30,LTL - XPO,Collect,6146.87,N,Closed,Y
SO-26075,NIC-CUST0030,PO433637,2025-04-13,,E069,E073,Email,Net 45,LTL - Estes,Prepaid,15342.32,N,Closed,Y
SO-26076,NIC-CUST0037,P351611,2026-03-23,,E066,E065,Email,Net 60,LTL - XPO,Collect,127.81,N,Open,N
SO-26077,NIC-CUST0036,4500813434,2025-12-17,,E071,E073,Portal,Net 45,UPS Ground,Prepaid,8972.7,N,Closed,Y
SO-26078,NIC-CUST0008,PUR-583900,2026-03-04,Q-26035,E071,E073,Email,2% 10 Net 30,UPS Ground,Prepaid & Add,16498.59,N,Partially Shipped,Y
SO-26079,NIC-CUST0015,PO245064,2025-04-27,Q-26036,E069,E066,Email,Net 60,UPS Ground,Prepaid & Add,5414.67,N,Closed,Y
SO-26080,NIC-CUST0029,PUR-507704,2025-09-02,,E064,E064,Email,Net 30,Customer Pickup,Prepaid,3189.53,N,Closed,Y
SO-26081,NIC-CUST0024,4500590153,2026-03-21,Q-26037,E067,E068,Portal,Net 30,Company Truck,Collect,8991.62,N,Open,N
SO-26082,NIC-CUST0015,PO742224,2025-05-21,Q-26038,E069,E075,Portal,Net 60,UPS Ground,Prepaid,4554.56,N,Closed,Y
SO-26083,NIC-CUST0039,4500394347,2025-11-13,Q-26039,E072,E073,Email,Net 30,Company Truck,Prepaid,29333.59,N,Closed,Y
SO-26084,NIC-CUST0023,4500113797,2025-09-30,,E067,E067,EDI 850,2% 10 Net 30,Customer Pickup,Prepaid & Add,6270.44,N,Closed,Y
SO-26085,NIC-CUST0033,PUR-841350,2025-07-11,,E071,E074,Phone,Net 30,LTL - XPO,Prepaid & Add,12233.29,N,Closed,Y
SO-26086,NIC-CUST0015,P338052,2026-02-13,,E069,E064,Email,Net 60,UPS Ground,Prepaid,13978.94,N,Closed,Y
SO-26087,NIC-CUST0001,P883910,2025-04-19,Q-26040,E068,E075,Phone,Net 30,Company Truck,Prepaid & Add,17807.08,N,Partially Shipped,Y
SO-26088,NIC-CUST0025,PUR-948158,2025-05-30,,E066,E074,EDI 850,Net 60,FedEx Ground,Collect,14876.03,N,Closed,Y
SO-26089,NIC-CUST0034,P837402,2025-09-12,Q-26041,E072,E075,EDI 850,Net 45,Customer Pickup,Prepaid & Add,1054.0,N,Closed,Y
SO-26090,NIC-CUST0001,PUR-230144,2025-06-01,Q-26042,E068,E075,Email,Net 30,Company Truck,Prepaid,27832.59,N,Closed,Y
SO-26091,NIC-CUST0030,PO366401,2025-04-29,Q-26043,E069,E066,Phone,Net 45,LTL - Estes,Prepaid,6388.9,N,Closed,Y
SO-26092,NIC-CUST0031,PO621376,2026-03-26,Q-26044,E070,E074,Phone,2% 10 Net 30,LTL - XPO,Prepaid & Add,5374.95,N,Open,N
SO-26093,NIC-CUST0021,P533361,2026-02-19,Q-26045,E072,E067,EDI 850,Net 30,LTL - XPO,Prepaid & Add,22411.99,N,Closed,Y
SO-26094,NIC-CUST0006,P778911,2025-05-05,Q-26046,E072,E066,Phone,Net 45,UPS Ground,Prepaid & Add,7911.3,N,Closed,Y
SO-26095,NIC-CUST0029,PUR-559324,2025-07-17,,E064,E068,Email,Net 30,Customer Pickup,Prepaid & Add,5968.78,N,Closed,Y
SO-26096,NIC-CUST0018,PO831148,2026-03-12,,E069,E067,Email,Net 45,FedEx Ground,Collect,5998.29,N,Open,N
SO-26097,NIC-CUST0013,PO489870,2025-11-27,Q-26047,E072,E066,EDI 850,Net 30,FedEx Ground,Prepaid & Add,10292.54,N,Closed,Y
SO-26098,NIC-CUST0020,PUR-683157,2025-10-02,,E068,E064,Portal,Net 30,Customer Pickup,Prepaid,21084.46,N,Closed,Y
SO-26099,NIC-CUST0029,P384883,2026-01-30,,E064,E074,Portal,Net 30,Customer Pickup,Prepaid & Add,792.5,N,Closed,Y
SO-26100,NIC-CUST0037,PO455078,2025-07-29,Q-26048,E066,E075,EDI 850,Net 60,LTL - XPO,Prepaid,2120.77,N,Closed,Y
SO-26101,NIC-CUST0004,PUR-185180,2025-07-24,,E070,E064,Email,Net 60,Customer Pickup,Prepaid & Add,2030.52,N,Closed,Y
SO-26102,NIC-CUST0009,PUR-696075,2025-06-13,,E064,E066,Portal,Net 45,LTL - Estes,Prepaid & Add,13741.82,N,Closed,Y
SO-26103,NIC-CUST0008,4500617988,2025-04-15,Q-26049,E071,E068,Email,2% 10 Net 30,UPS Ground,Collect,1070.66,N,Closed,Y
SO-26104,NIC-CUST0003,PO369732,2025-04-08,Q-26050,E067,E075,Portal,Net 30,FedEx Ground,Collect,19632.93,N,Closed,Y
SO-26105,NIC-CUST0013,P114555,2025-04-18,Q-26051,E072,E068,Portal,Net 30,FedEx Ground,Collect,18611.28,N,Closed,Y
SO-26106,NIC-CUST0002,PO606870,2026-01-07,Q-26052,E066,E073,EDI 850,Net 30,UPS Ground,Prepaid & Add,3440.7,N,Closed,Y
SO-26107,NIC-CUST0025,PUR-680788,2025-11-16,Q-26053,E066,E066,Phone,Net 60,FedEx Ground,Prepaid & Add,17044.52,N,Closed,Y
SO-26108,NIC-CUST0013,PO350805,2025-07-30,Q-26054,E072,E075,Portal,Net 30,FedEx Ground,Prepaid & Add,1231.46,N,Closed,Y
SO-26109,NIC-CUST0022,PO681376,2025-09-09,Q-26055,E070,E066,EDI 850,Net 30,LTL - Estes,Prepaid & Add,10414.69,N,Closed,Y
SO-26110,NIC-CUST0004,P142350,2026-02-10,,E070,E075,Portal,Net 60,Customer Pickup,Prepaid & Add,226.29,N,Open,N
SO-26111,NIC-CUST0040,PUR-996834,2025-04-04,,E064,E075,Portal,Net 30,FedEx Ground,Prepaid & Add,18977.24,N,Closed,Y
SO-26112,NIC-CUST0034,P209590,2026-01-12,,E072,E068,Email,Net 45,Customer Pickup,Prepaid & Add,32953.28,N,Closed,Y
SO-26113,NIC-CUST0014,PO790201,2025-06-12,,E067,E073,Email,Net 60,Company Truck,Prepaid,7034.43,N,Closed,Y
SO-26114,NIC-CUST0014,4500966480,2025-12-19,Q-26056,E067,E065,EDI 850,Net 60,Company Truck,Prepaid & Add,5392.05,N,Closed,Y
SO-26115,NIC-CUST0040,P896188,2025-07-10,,E064,E067,Email,Net 30,FedEx Ground,Prepaid & Add,26800.4,N,Closed,Y
SO-26116,NIC-CUST0037,4500118555,2025-05-21,Q-26057,E066,E073,Phone,Net 60,LTL - XPO,Collect,3536.1,N,Closed,Y
SO-26117,NIC-CUST0035,PO487229,2025-10-05,,E070,E068,Email,Net 30,Customer Pickup,Prepaid & Add,2197.16,N,Closed,Y
SO-26118,NIC-CUST0025,PO793458,2025-08-19,Q-26058,E066,E066,Email,Net 60,FedEx Ground,Prepaid,9992.12,N,Partially Shipped,Y
SO-26119,NIC-CUST0003,4500814338,2026-03-20,,E067,E064,Email,Net 30,FedEx Ground,Prepaid,8062.3,N,Open,N
SO-26120,NIC-CUST0040,P931561,2026-03-06,,E064,E065,Email,Net 30,FedEx Ground,Prepaid & Add,2850.9,N,Partially Shipped,Y
SO-26121,NIC-CUST0007,PO433113,2025-08-21,,E070,E068,Email,Net 45,Customer Pickup,Collect,739.95,N,Closed,Y
SO-26122,NIC-CUST0015,4500184348,2025-10-23,Q-26059,E069,E067,Email,Net 60,UPS Ground,Prepaid & Add,4739.01,N,Closed,Y
SO-26123,NIC-CUST0006,4500330381,2025-09-14,Q-26060,E072,E068,Email,Net 45,UPS Ground,Prepaid & Add,3551.78,N,Closed,Y
SO-26124,NIC-CUST0040,PUR-226906,2025-11-10,Q-26061,E064,E065,Email,Net 30,FedEx Ground,Prepaid & Add,1081.29,N,Closed,Y
SO-26125,NIC-CUST0007,PUR-460445,2025-07-06,Q-26062,E070,E066,Email,Net 45,Customer Pickup,Collect,3650.98,N,Closed,Y
SO-26126,NIC-CUST0023,PO257664,2026-01-11,Q-26063,E067,E067,Phone,2% 10 Net 30,Customer Pickup,Prepaid & Add,38337.01,N,Closed,Y
SO-26127,NIC-CUST0011,PUR-206728,2026-01-16,Q-26064,E070,E074,Phone,2% 10 Net 30,Company Truck,Prepaid & Add,1225.44,N,Closed,Y
SO-26128,NIC-CUST0007,4500126344,2026-01-16,,E070,E075,Email,Net 45,Customer Pickup,Collect,13823.12,N,Partially Shipped,Y
SO-26129,NIC-CUST0030,PO907961,2025-12-29,Q-26065,E069,E065,EDI 850,Net 45,LTL - Estes,Prepaid,14840.67,N,Partially Shipped,Y
SO-26130,NIC-CUST0001,P621511,2025-12-06,Q-26066,E068,E066,Portal,Net 30,Company Truck,Prepaid,280.54,N,Closed,Y
SO-26131,NIC-CUST0003,P542052,2025-07-24,Q-26067,E067,E074,Portal,Net 30,FedEx Ground,Prepaid,23542.27,N,Closed,Y
SO-26132,NIC-CUST0035,PUR-120429,2025-10-28,,E070,E065,Email,Net 30,Customer Pickup,Prepaid & Add,13842.45,N,Partially Shipped,Y
SO-26133,NIC-CUST0001,PO437644,2025-10-28,,E068,E067,Portal,Net 30,Company Truck,Prepaid & Add,7001.75,N,Partially Shipped,Y
SO-26134,NIC-CUST0023,PUR-269470,2025-07-04,Q-26068,E067,E067,Portal,2% 10 Net 30,Customer Pickup,Collect,13948.89,N,Closed,Y
SO-26135,NIC-CUST0029,PUR-118465,2025-06-26,Q-26069,E064,E073,Email,Net 30,Customer Pickup,Prepaid & Add,2917.22,N,Closed,Y
SO-26136,NIC-CUST0005,PO824511,2026-03-16,,E072,E066,Email,Net 30,LTL - XPO,Prepaid,6454.02,N,Partially Shipped,Y
SO-26137,NIC-CUST0008,4500311874,2025-07-10,Q-26070,E071,E067,Email,2% 10 Net 30,UPS Ground,Collect,11304.97,N,Partially Shipped,Y
SO-26138,NIC-CUST0022,PUR-117911,2025-04-01,,E070,E065,Portal,Net 30,LTL - Estes,Prepaid & Add,2780.01,N,Partially Shipped,Y
SO-26139,NIC-CUST0026,4500694520,2025-12-25,Q-26071,E066,E065,Email,Net 60,Customer Pickup,Prepaid & Add,2656.68,N,Closed,Y
SO-26140,NIC-CUST0033,PUR-871653,2025-09-27,Q-26072,E071,E065,Portal,Net 30,LTL - XPO,Prepaid & Add,20126.34,N,Closed,Y
SO-26141,NIC-CUST0008,PO465920,2025-06-11,Q-26073,E071,E068,Email,2% 10 Net 30,UPS Ground,Collect,7809.12,N,Closed,Y
SO-26142,NIC-CUST0008,P406658,2025-07-29,Q-26074,E071,E073,Email,2% 10 Net 30,UPS Ground,Collect,23963.43,N,Closed,Y
SO-26143,NIC-CUST0013,4500276314,2025-05-11,Q-26075,E072,E074,EDI 850,Net 30,FedEx Ground,Collect,3404.27,N,Closed,Y
SO-26144,NIC-CUST0023,PO224917,2025-08-01,Q-26076,E067,E064,Email,2% 10 Net 30,Customer Pickup,Prepaid & Add,588.91,N,Closed,Y
SO-26145,NIC-CUST0030,4500255461,2025-12-19,,E069,E075,Phone,Net 45,LTL - Estes,Prepaid,11396.68,N,Closed,Y
SO-26146,NIC-CUST0005,PO449054,2025-09-05,Q-26077,E072,E067,Phone,Net 30,LTL - XPO,Prepaid & Add,7992.94,N,Closed,Y
SO-26147,NIC-CUST0003,4500732882,2025-09-01,,E067,E068,Email,Net 30,FedEx Ground,Prepaid & Add,17297.24,N,Partially Shipped,Y
SO-26148,NIC-CUST0007,4500875504,2026-01-13,,E070,E066,Email,Net 45,Customer Pickup,Collect,2750.2,N,Closed,Y
SO-26149,NIC-CUST0029,PO986382,2025-05-02,Q-26078,E064,E073,EDI 850,Net 30,Customer Pickup,Prepaid,2979.97,N,Closed,Y
SO-26150,NIC-CUST0012,PUR-950229,2025-07-12,,E068,E065,Portal,2% 10 Net 30,LTL - XPO,Collect,8441.87,N,Closed,Y
SO-26151,NIC-CUST0008,4500647037,2026-03-11,,E071,E074,Portal,2% 10 Net 30,UPS Ground,Prepaid & Add,566.58,N,Closed,Y
SO-26152,NIC-CUST0022,PO249817,2025-07-25,,E070,E067,EDI 850,Net 30,LTL - Estes,Prepaid & Add,11407.85,N,Closed,Y
SO-26153,NIC-CUST0017,PO782188,2025-11-29,Q-26079,E069,E074,Email,Net 30,UPS Ground,Prepaid,8910.7,N,Closed,Y
SO-26154,NIC-CUST0019,PUR-971988,2025-10-06,,E072,E067,Email,COD,LTL - Estes,Prepaid & Add,5684.14,N,Closed,Y
SO-26155,NIC-CUST0002,4500552299,2026-03-13,Q-26080,E066,E075,Email,Net 30,UPS Ground,Prepaid,7374.74,N,Partially Shipped,Y
SO-26156,NIC-CUST0038,P614898,2025-04-12,,E064,E075,Email,Net 45,UPS Ground,Prepaid & Add,7192.51,N,Closed,Y
SO-26157,NIC-CUST0007,PUR-882653,2026-03-31,Q-26081,E070,E065,Phone,Net 45,Customer Pickup,Prepaid & Add,238.54,N,Open,N
SO-26158,NIC-CUST0005,PO588414,2025-05-24,,E072,E067,Portal,Net 30,LTL - XPO,Collect,26941.43,N,Partially Shipped,Y
SO-26159,NIC-CUST0001,P360810,2025-10-09,,E068,E073,EDI 850,Net 30,Company Truck,Prepaid & Add,18910.31,N,Partially Shipped,Y
SO-26160,NIC-CUST0034,PUR-844644,2025-11-09,,E072,E074,EDI 850,Net 45,Customer Pickup,Collect,8771.44,N,Closed,Y
SO-26161,NIC-CUST0035,4500857630,2025-11-27,Q-26082,E070,E064,Portal,Net 30,Customer Pickup,Prepaid,2456.99,N,Closed,Y
SO-26162,NIC-CUST0036,P831065,2025-10-17,,E071,E066,EDI 850,Net 45,UPS Ground,Prepaid & Add,31590.94,N,Closed,Y
SO-26163,NIC-CUST0018,P437876,2026-01-15,,E069,E075,EDI 850,Net 45,FedEx Ground,Prepaid,23068.12,N,Closed,Y
SO-26164,NIC-CUST0002,PUR-137715,2026-03-05,,E066,E064,Portal,Net 30,UPS Ground,Collect,1446.24,N,Open,N
SO-26165,NIC-CUST0033,PO887835,2025-06-29,Q-26083,E071,E075,Email,Net 30,LTL - XPO,Prepaid,12231.47,N,Closed,Y
SO-26166,NIC-CUST0015,4500290536,2026-03-05,,E069,E075,Email,Net 60,UPS Ground,Collect,9049.98,N,Partially Shipped,Y
SO-26167,NIC-CUST0029,4500186619,2025-11-27,,E064,E068,Email,Net 30,Customer Pickup,Collect,22937.56,N,Closed,Y
SO-26168,NIC-CUST0030,4500661712,2025-07-02,Q-26084,E069,E066,EDI 850,Net 45,LTL - Estes,Prepaid,14729.69,N,Closed,Y
SO-26169,NIC-CUST0019,PUR-582697,2025-05-31,,E072,E066,EDI 850,COD,LTL - Estes,Prepaid,7315.09,N,Closed,Y
SO-26170,NIC-CUST0040,P751847,2026-01-12,Q-26085,E064,E073,Email,Net 30,FedEx Ground,Prepaid & Add,7738.05,N,Closed,Y
SO-26171,NIC-CUST0015,4500813487,2025-08-12,,E069,E066,EDI 850,Net 60,UPS Ground,Prepaid & Add,8691.45,N,Closed,Y
SO-26172,NIC-CUST0002,PO855056,2026-03-03,,E066,E067,Portal,Net 30,UPS Ground,Prepaid & Add,21677.76,N,Closed,Y
SO-26173,NIC-CUST0003,P725668,2025-09-09,,E067,E066,EDI 850,Net 30,FedEx Ground,Prepaid,13765.35,N,Closed,Y
SO-26174,NIC-CUST0031,PO810713,2025-04-02,Q-26086,E070,E065,Phone,2% 10 Net 30,LTL - XPO,Prepaid & Add,737.34,N,Closed,Y
SO-26175,NIC-CUST0001,PO789334,2025-08-06,Q-26087,E068,E073,Email,Net 30,Company Truck,Prepaid & Add,5875.21,N,Closed,Y
SO-26176,NIC-CUST0034,PO217418,2026-02-21,,E072,E065,Portal,Net 45,Customer Pickup,Prepaid,7763.23,N,Closed,Y
SO-26177,NIC-CUST0017,PO200581,2025-08-27,Q-26088,E069,E067,Portal,Net 30,UPS Ground,Collect,25433.44,N,Closed,Y
SO-26178,NIC-CUST0040,4500127484,2026-02-05,,E064,E073,Phone,Net 30,FedEx Ground,Collect,9736.72,N,Closed,Y
SO-26179,NIC-CUST0004,P498752,2025-10-19,,E070,E073,Phone,Net 60,Customer Pickup,Collect,11879.38,N,Closed,Y
SO-26180,NIC-CUST0010,P881933,2025-07-01,Q-26089,E068,E075,Phone,COD,UPS Ground,Prepaid,28137.77,N,Closed,Y
SO-26181,NIC-CUST0030,P179700,2025-09-03,Q-26090,E069,E074,Email,Net 45,LTL - Estes,Collect,4202.05,N,Closed,Y
