quote_id,rfq_id,customer_id,quote_date,valid_until,sales_rep_id,status,converted_order_id,total
Q-26071,NIC-RFQ0071,NIC-CUST0026,2025-12-12,2026-01-11,E066,Won,SO-26139,2656.68
Q-26072,NIC-RFQ0072,NIC-CUST0033,2025-09-24,2025-10-24,E071,Won,SO-26140,20126.34
Q-26073,NIC-RFQ0073,NIC-CUST0008,2025-06-09,2025-07-09,E071,Won,SO-26141,7809.12
Q-26074,NIC-RFQ0074,NIC-CUST0008,2025-07-13,2025-08-12,E071,Won,SO-26142,23963.43
Q-26075,NIC-RFQ0075,NIC-CUST0013,2025-04-21,2025-05-21,E072,Won,SO-26143,3404.27
Q-26076,NIC-RFQ0076,NIC-CUST0023,2025-07-23,2025-08-22,E067,Won,SO-26144,588.91
Q-26077,NIC-RFQ0077,NIC-CUST0005,2025-08-19,2025-09-18,E072,Won,SO-26146,7992.94
Q-26078,NIC-RFQ0078,NIC-CUST0029,2025-04-20,2025-05-20,E064,Won,SO-26149,2979.97
Q-26079,NIC-RFQ0079,NIC-CUST0017,2025-11-23,2025-12-23,E069,Won,SO-26153,8910.7
Q-26080,NIC-RFQ0080,NIC-CUST0002,2026-03-08,2026-04-07,E066,Won,SO-26155,7374.74
Q-26081,NIC-RFQ0081,NIC-CUST0007,2026-03-25,2026-04-24,E070,Won,SO-26157,238.54
Q-26082,NIC-RFQ0082,NIC-CUST0035,2025-11-11,2025-12-11,E070,Won,SO-26161,2456.99
Q-26083,NIC-RFQ0083,NIC-CUST0033,2025-06-08,2025-07-08,E071,Won,SO-26165,12231.47
Q-26084,NIC-RFQ0084,NIC-CUST0030,2025-06-22,2025-07-22,E069,Won,SO-26168,14729.69
Q-26085,NIC-RFQ0085,NIC-CUST0040,2026-01-09,2026-02-08,E064,Won,SO-26170,7738.05
Q-26086,NIC-RFQ0086,NIC-CUST0031,2025-03-12,2025-04-11,E070,Won,SO-26174,737.34
Q-26087,NIC-RFQ0087,NIC-CUST0001,2025-07-25,2025-08-24,E068,Won,SO-26175,5875.21
Q-26088,NIC-RFQ0088,NIC-CUST0017,2025-08-22,2025-09-21,E069,Won,SO-26177,25433.44
Q-26089,NIC-RFQ0089,NIC-CUST0010,2025-06-25,2025-07-25,E068,Won,SO-26180,28137.77
Q-26090,NIC-RFQ0090,NIC-CUST0030,2025-08-16,2025-09-15,E069,Won,SO-26181,4202.05
Q-26091,NIC-RFQ0091,NIC-CUST0034,2025-03-21,2025-04-20,E072,Won,SO-26182,10456.28
Q-26092,NIC-RFQ0092,NIC-CUST0009,2025-09-23,2025-10-23,E064,Won,SO-26184,20428.64
Q-26093,NIC-RFQ0093,NIC-CUST0004,2026-02-14,2026-03-16,E070,Won,SO-26189,1526.86
Q-26094,NIC-RFQ0094,NIC-CUST0015,2025-11-28,2025-12-28,E069,Won,SO-26192,1288.6
Q-26095,NIC-RFQ0095,NIC-CUST0026,2026-02-18,2026-03-20,E066,Won,SO-26193,26064.6
Q-26096,NIC-RFQ0096,NIC-CUST0017,2025-09-21,2025-10-21,E069,Won,SO-26194,4366.71
Q-26097,NIC-RFQ0097,NIC-CUST0017,2025-10-29,2025-11-28,E069,Won,SO-26197,19626.02
Q-26098,NIC-RFQ0098,NIC-CUST0024,2025-05-24,2025-06-23,E067,Won,SO-26199,207.29
Q-26099,NIC-RFQ0099,NIC-CUST0013,2025-08-27,2025-09-26,E072,Won,SO-26200,11416.22
Q-26100,NIC-RFQ0100,NIC-CUST0019,2025-07-16,2025-08-15,E072,Won,SO-26201,6590.07
Q-26101,NIC-RFQ0101,NIC-CUST0040,2025-04-22,2025-05-22,E064,Won,SO-26202,9524.69
Q-26102,NIC-RFQ0102,NIC-CUST0014,2025-07-19,2025-08-18,E067,Won,SO-26203,2731.6
Q-26103,NIC-RFQ0103,NIC-CUST0014,2025-11-10,2025-12-10,E067,Won,SO-26206,2905.72
Q-26104,NIC-RFQ0104,NIC-CUST0026,2025-12-27,2026-01-26,E066,Won,SO-26211,14010.93
Q-26105,NIC-RFQ0105,NIC-CUST0004,2025-11-22,2025-12-22,E070,Won,SO-26212,15823.14
Q-26106,NIC-RFQ0106,NIC-CUST0037,2025-05-03,2025-06-02,E066,Won,SO-26213,28324.58
Q-26107,NIC-RFQ0107,NIC-CUST0037,2025-10-21,2025-11-20,E066,Won,SO-26214,3104.91
Q-26108,NIC-RFQ0108,NIC-CUST0023,2025-08-05,2025-09-04,E067,Won,SO-26215,3387.29
Q-26109,NIC-RFQ0109,NIC-CUST0031,2025-09-22,2025-10-22,E070,Won,SO-26217,17406.81
Q-26110,NIC-RFQ0110,NIC-CUST0040,2026-02-12,2026-03-14,E064,Won,SO-26218,4230.81
Q-26111,NIC-RFQ0111,NIC-CUST0035,2026-02-05,2026-03-07,E070,Won,SO-26219,10946.66
Q-26112,NIC-RFQ0112,NIC-CUST0038,2025-06-14,2025-07-14,E064,Won,SO-26220,6681.65
Q-26113,NIC-RFQ0113,NIC-CUST0002,2025-08-27,2025-09-26,E066,Won,SO-26227,4147.86
Q-26114,NIC-RFQ0114,NIC-CUST0014,2025-09-29,2025-10-29,E067,Won,SO-26230,5119.23
Q-26115,NIC-RFQ0115,NIC-CUST0003,2026-03-09,2026-04-08,E067,Won,SO-26234,10373.58
Q-26116,NIC-RFQ0116,NIC-CUST0019,2025-10-30,2025-11-29,E072,Won,SO-26235,193.34
Q-26117,NIC-RFQ0117,NIC-CUST0012,2025-07-28,2025-08-27,E068,Won,SO-26237,12170.59
Q-26118,NIC-RFQ0118,NIC-CUST0003,2025-10-12,2025-11-11,E067,Won,SO-26240,5918.42
Q-26119,NIC-RFQ0119,NIC-CUST0034,2025-06-05,2025-07-05,E072,Won,SO-26241,2039.68
Q-26120,NIC-RFQ0120,NIC-CUST0007,2025-11-03,2025-12-03,E070,Won,SO-26243,3350.13
Q-26121,NIC-RFQ0121,NIC-CUST0035,2025-12-21,2026-01-20,E070,Won,SO-26244,5929.63
Q-26122,NIC-RFQ0122,NIC-CUST0038,2025-05-10,2025-06-09,E064,Won,SO-26247,15068.84
Q-26123,NIC-RFQ0123,NIC-CUST0012,2025-04-04,2025-05-04,E068,Won,SO-26250,7006.28
Q-26124,NIC-RFQ0124,NIC-CUST0017,2025-04-16,2025-05-16,E069,Won,SO-26251,14109.19
Q-26125,NIC-RFQ0125,NIC-CUST0033,2025-09-09,2025-10-09,E071,Won,SO-26257,8441.63
Q-26126,NIC-RFQ0126,NIC-CUST0014,2025-08-21,2025-09-20,E067,Won,SO-26259,1784.51
Q-26127,NIC-RFQ0127,NIC-CUST0006,2025-09-17,2025-10-17,E072,Won,SO-26260,3097.45
Q-26128,NIC-RFQ0128,NIC-CUST0022,2025-11-08,2025-12-08,E070,Won,SO-26262,24403.18
Q-26129,NIC-RFQ0129,NIC-CUST0018,2026-03-08,2026-04-07,E069,Won,SO-26265,617.39
Q-26130,NIC-RFQ0130,NIC-CUST0040,2025-11-20,2025-12-20,E064,Won,SO-26267,7629.51
Q-26131,NIC-RFQ0131,NIC-CUST0030,2025-12-18,2026-01-17,E069,Won,SO-26268,14678.04
Q-26132,NIC-RFQ0132,NIC-CUST0038,2025-09-05,2025-10-05,E064,Won,SO-26269,632.99
Q-26133,NIC-RFQ0133,NIC-CUST0024,2026-03-18,2026-04-17,E067,Won,SO-26270,202.81
Q-26134,NIC-RFQ0134,NIC-CUST0001,2025-11-07,2025-12-07,E068,Won,SO-26272,13597.04
Q-26135,NIC-RFQ0135,NIC-CUST0026,2025-07-02,2025-08-01,E066,Won,SO-26276,28602.61
Q-26136,NIC-RFQ0136,NIC-CUST0006,2025-05-04,2025-06-03,E072,Won,SO-26277,6526.28
Q-26137,NIC-RFQ0137,NIC-CUST0025,2025-10-25,2025-11-24,E066,Won,SO-26278,15757.0
Q-26138,NIC-RFQ0138,NIC-CUST0007,2026-01-30,2026-03-01,E070,Won,SO-26279,8474.76
Q-26139,NIC-RFQ0139,NIC-CUST0023,2025-10-12,2025-11-11,E067,Won,SO-26280,1571.45
Q-26140,NIC-RFQ0140,NIC-CUST0023,2025-10-14,2025-11-13,E067,Won,SO-26284,6924.25
Q-26141,NIC-RFQ0141,NIC-CUST0031,2025-07-11,2025-08-10,E070,Won,SO-26285,12505.52
Q-26142,NIC-RFQ0142,NIC-CUST0034,2025-12-21,2026-01-20,E072,Won,SO-26286,5177.5
Q-26143,NIC-RFQ0143,NIC-CUST0021,2025-05-29,2025-06-28,E072,Won,SO-26289,5447.05
Q-26144,NIC-RFQ0144,NIC-CUST0020,2025-12-20,2026-01-19,E068,Won,SO-26291,7039.08
Q-26145,NIC-RFQ0145,NIC-CUST0034,2026-03-07,2026-04-06,E072,Won,SO-26292,17304.37
Q-26146,NIC-RFQ0146,NIC-CUST0015,2025-07-15,2025-08-14,E069,Won,SO-26295,3043.06
Q-26147,NIC-RFQ0147,NIC-CUST0039,2026-02-01,2026-03-03,E072,Won,SO-26297,16496.02
Q-26148,NIC-RFQ0148,NIC-CUST0039,2026-03-16,2026-04-15,E072,Won,SO-26303,598.75
Q-26149,NIC-RFQ0149,NIC-CUST0019,2025-05-14,2025-06-13,E072,Won,SO-26305,29828.55
Q-26150,NIC-RFQ0150,NIC-CUST0001,2025-09-15,2025-10-15,E068,Won,SO-26306,9064.98
Q-26151,NIC-RFQ0151,NIC-CUST0033,2025-06-21,2025-07-21,E071,Won,SO-26310,28942.66
Q-26152,NIC-RFQ0152,NIC-CUST0040,2025-07-28,2025-08-27,E064,Won,SO-26311,11043.61
Q-26153,NIC-RFQ0153,NIC-CUST0039,2026-02-12,2026-03-14,E072,Won,SO-26313,8787.14
Q-26154,NIC-RFQ0154,NIC-CUST0019,2025-08-01,2025-08-31,E072,Won,SO-26320,4070.54
Q-26155,NIC-RFQ0155,NIC-CUST0026,2026-01-30,2026-03-01,E066,Won,SO-26321,2462.92
Q-26156,NIC-RFQ0156,NIC-CUST0014,2025-08-21,2025-09-20,E067,Won,SO-26322,5724.38
Q-26157,NIC-RFQ0157,NIC-CUST0011,2025-06-24,2025-07-24,E070,Won,SO-26323,10461.72
Q-26158,NIC-RFQ0158,NIC-CUST0022,2026-02-09,2026-03-11,E070,Won,SO-26328,6831.7
Q-26159,NIC-RFQ0159,NIC-CUST0008,2025-05-19,2025-06-18,E071,Won,SO-26329,9922.35
Q-26160,NIC-RFQ0160,NIC-CUST0021,2026-03-27,2026-04-26,E072,Won,SO-26330,1197.21
Q-26161,NIC-RFQ0161,NIC-CUST0020,2025-05-11,2025-06-10,E068,Won,SO-26335,9759.45
Q-26162,NIC-RFQ0162,NIC-CUST0037,2025-07-26,2025-08-25,E066,Won,SO-26338,27015.55
Q-26163,NIC-RFQ0163,NIC-CUST0024,2025-04-28,2025-05-28,E067,Won,SO-26341,15968.36
Q-26164,NIC-RFQ0164,NIC-CUST0008,2025-05-11,2025-06-10,E071,Won,SO-26342,5532.05
Q-26165,NIC-RFQ0165,NIC-CUST0021,2026-03-09,2026-04-08,E072,Won,SO-26347,7509.76
Q-26166,NIC-RFQ0166,NIC-CUST0022,2026-02-06,2026-03-08,E070,Won,SO-26352,1864.34
Q-26167,NIC-RFQ0167,NIC-CUST0035,2025-04-02,2025-05-02,E070,Won,SO-26355,2613.55
Q-26168,NIC-RFQ0168,NIC-CUST0034,2026-02-28,2026-03-30,E072,Won,SO-26357,1855.29
Q-26169,NIC-RFQ0169,NIC-CUST0029,2025-09-10,2025-10-10,E064,Won,SO-26358,12954.39
Q-26170,NIC-RFQ0170,NIC-CUST0040,2025-03-21,2025-04-20,E064,Won,SO-26359,9524.52
Q-26171,NIC-RFQ0171,NIC-CUST0024,2026-03-02,2026-04-01,E067,Won,SO-26360,12183.84
Q-26172,NIC-RFQ0172,NIC-CUST0019,2025-04-26,2025-05-26,E072,Won,SO-26361,19822.95
Q-26173,NIC-RFQ0173,NIC-CUST0017,2025-04-06,2025-05-06,E069,Won,SO-26362,41761.48
Q-26174,NIC-RFQ0174,NIC-CUST0015,2025-09-21,2025-10-21,E069,Won,SO-26363,14200.5
Q-26175,NIC-RFQ0175,NIC-CUST0003,2026-01-05,2026-02-04,E067,Won,SO-26364,1896.5
Q-26176,NIC-RFQ0176,NIC-CUST0011,2025-10-19,2025-11-18,E070,Won,SO-26365,3381.61
Q-26177,NIC-RFQ0177,NIC-CUST0018,2026-02-06,2026-03-08,E069,Won,SO-26366,16699.75
Q-26178,NIC-RFQ0178,NIC-CUST0021,2025-08-16,2025-09-15,E072,Won,SO-26367,155.86
Q-26179,NIC-RFQ0179,NIC-CUST0022,2025-12-30,2026-01-29,E070,Won,SO-26369,5599.87
Q-26180,NIC-RFQ0180,NIC-CUST0015,2026-03-13,2026-04-12,E069,Won,SO-26370,1326.72
Q-26181,NIC-RFQ0181,NIC-CUST0009,2025-12-17,2026-01-16,E064,Won,SO-26373,3751.5
Q-26182,NIC-RFQ0182,NIC-CUST0011,2025-06-10,2025-07-10,E070,Won,SO-26374,15353.97
Q-26183,NIC-RFQ0183,NIC-CUST0020,2025-10-04,2025-11-03,E068,Won,SO-26375,12391.7
Q-26184,NIC-RFQ0184,NIC-CUST0034,2026-03-04,2026-04-03,E072,Won,SO-26376,12962.69
Q-26185,NIC-RFQ0185,NIC-CUST0019,2026-01-09,2026-02-08,E072,Won,SO-26379,10165.17
Q-26186,NIC-RFQ0186,NIC-CUST0040,2025-05-08,2025-06-07,E064,Won,SO-26380,14578.6
Q-26187,NIC-RFQ0187,NIC-CUST0001,2026-01-04,2026-02-03,E068,Won,SO-26383,24072.21
Q-26188,NIC-RFQ0188,NIC-CUST0033,2025-07-07,2025-08-06,E071,Won,SO-26384,5042.55
Q-26189,NIC-RFQ0189,NIC-CUST0022,2025-11-10,2025-12-10,E070,Won,SO-26392,16485.42
Q-26190,NIC-RFQ0190,NIC-CUST0035,2025-09-06,2025-10-06,E070,Won,SO-26398,6072.78
Q-26191,NIC-RFQ0191,NIC-CUST0035,2025-12-19,2026-01-18,E070,Won,SO-26400,15683.87
Q-26192,NIC-RFQ0192,NIC-CUST0033,2026-03-12,2026-04-11,E071,Won,SO-26402,392.1
Q-26193,NIC-RFQ0193,NIC-CUST0008,2025-04-17,2025-05-17,E071,Won,SO-26405,966.7
Q-26194,NIC-RFQ0194,NIC-CUST0009,2025-10-26,2025-11-25,E064,Won,SO-26413,40118.15
Q-26195,NIC-RFQ0195,NIC-CUST0015,2026-02-17,2026-03-19,E069,Won,SO-26415,2787.57
Q-26196,NIC-RFQ0196,NIC-CUST0031,2025-05-10,2025-06-09,E070,Won,SO-26419,10676.76
Q-26197,NIC-RFQ0197,NIC-CUST0017,2025-07-22,2025-08-21,E069,Won,SO-26420,3507.39
