document_id,client_id,policy_id,document_type,file_name,received_date,source,indexed_by,pages
DOC-MER-P00063-POL,MER-C0019,MER-P00063,Policy,CNA-PL-2784355_Policy.pdf,2025-08-17,Carrier download,E011,82
DOC-MER-P00064-POL,MER-C0019,MER-P00064,Policy,LIB-GL-3321649_Policy.pdf,2025-09-19,Carrier download,E011,116
DOC-MER-P00064-APP,MER-C0019,MER-P00064,ACORD 125 Application,MER-C0019_ACORD125_2025.pdf,2025-07-04,Indio,E011,9
DOC-MER-P00065-POL,MER-C0019,MER-P00065,Policy,CHB-CYB-1466267_Policy.pdf,2025-11-08,Carrier download,E011,29
DOC-MER-P00066-POL,MER-C0020,MER-P00066,Policy,LIB-GL-7256933_Policy.pdf,2025-07-14,Carrier download,E018,72
DOC-MER-P00066-APP,MER-C0020,MER-P00066,ACORD 125 Application,MER-C0020_ACORD125_2025.pdf,2025-03-18,Indio,E018,6
DOC-MER-P00067-POL,MER-C0020,MER-P00067,Policy,TRV-PROP-4796934_Policy.pdf,2025-08-30,Carrier download,E018,118
DOC-MER-P00067-APP,MER-C0020,MER-P00067,ACORD 125 Application,MER-C0020_ACORD125_2025.pdf,2025-05-31,Indio,E018,8
DOC-MER-P00068-POL,MER-C0020,MER-P00068,Policy,LIB-WC-9081789_Policy.pdf,2025-06-17,Carrier download,E018,28
DOC-MER-P00068-APP,MER-C0020,MER-P00068,ACORD 125 Application,MER-C0020_ACORD125_2025.pdf,2025-04-16,Indio,E018,12
DOC-MER-P00069-POL,MER-C0020,MER-P00069,Policy,TRV-AUTO-8838534_Policy.pdf,2025-07-13,Carrier download,E018,113
DOC-MER-P00070-POL,MER-C0021,MER-P00070,Policy,TRV-GL-3042199_Policy.pdf,2025-07-07,Carrier download,E015,80
DOC-MER-P00070-APP,MER-C0021,MER-P00070,ACORD 125 Application,MER-C0021_ACORD125_2025.pdf,2025-03-19,Indio,E015,5
DOC-MER-P00071-POL,MER-C0021,MER-P00071,Policy,HIG-WC-4543115_Policy.pdf,2025-06-29,Email attachment,E015,105
DOC-MER-P00071-APP,MER-C0021,MER-P00071,ACORD 125 Application,MER-C0021_ACORD125_2025.pdf,2025-02-25,Indio,E015,11
DOC-MER-P00072-POL,MER-C0022,MER-P00072,Policy,HIG-PROP-6569719_Policy.pdf,2025-09-21,Carrier download,E021,34
DOC-MER-P00073-POL,MER-C0022,MER-P00073,Policy,MKL-GL-9145128_Policy.pdf,2026-01-26,Email attachment,E021,59
DOC-MER-P00073-APP,MER-C0022,MER-P00073,ACORD 125 Application,MER-C0022_ACORD125_2025.pdf,2025-09-14,Indio,E021,7
DOC-MER-P00074-POL,MER-C0022,MER-P00074,Policy,HIG-WC-8434419_Policy.pdf,2025-09-10,Email attachment,E021,36
DOC-MER-P00074-APP,MER-C0022,MER-P00074,ACORD 125 Application,MER-C0022_ACORD125_2025.pdf,2025-05-28,Indio,E021,12
DOC-MER-P00075-POL,MER-C0023,MER-P00075,Policy,HIG-PROP-5866094_Policy.pdf,2025-09-19,Carrier download,E021,132
DOC-MER-P00075-APP,MER-C0023,MER-P00075,ACORD 125 Application,MER-C0023_ACORD125_2025.pdf,2025-06-29,Indio,E021,10
DOC-MER-P00076-POL,MER-C0023,MER-P00076,Policy,CHB-GL-5415328_Policy.pdf,2025-08-31,Email attachment,E021,88
DOC-MER-P00077-POL,MER-C0023,MER-P00077,Policy,TRV-UMB-1855834_Policy.pdf,2025-11-09,Carrier download,E021,36
DOC-MER-P00078-POL,MER-C0024,MER-P00078,Policy,CNA-PROP-7416790_Policy.pdf,2025-11-24,Carrier download,E016,48
DOC-MER-P00078-APP,MER-C0024,MER-P00078,ACORD 125 Application,MER-C0024_ACORD125_2025.pdf,2025-08-29,Indio,E016,12
DOC-MER-P00079-POL,MER-C0024,MER-P00079,Policy,CNA-GL-9821366_Policy.pdf,2025-07-26,Carrier download,E016,35
DOC-MER-P00079-APP,MER-C0024,MER-P00079,ACORD 125 Application,MER-C0024_ACORD125_2025.pdf,2025-05-08,Indio,E016,12
DOC-MER-P00080-POL,MER-C0024,MER-P00080,Policy,TRV-WC-1793950_Policy.pdf,2026-03-28,Carrier download,E016,76
DOC-MER-P00081-POL,MER-C0025,MER-P00081,Policy,LIB-WC-7424407_Policy.pdf,2025-10-14,Carrier download,E019,88
DOC-MER-P00082-POL,MER-C0025,MER-P00082,Policy,LIB-UMB-8296691_Policy.pdf,2025-12-25,Carrier download,E019,51
DOC-MER-P00082-APP,MER-C0025,MER-P00082,ACORD 125 Application,MER-C0025_ACORD125_2025.pdf,2025-08-29,Indio,E019,12
DOC-MER-P00083-POL,MER-C0026,MER-P00083,Policy,CNA-CYB-7743987_Policy.pdf,2026-04-08,Carrier download,E013,110
DOC-MER-P00083-APP,MER-C0026,MER-P00083,ACORD 125 Application,MER-C0026_ACORD125_2026.pdf,2026-01-15,Indio,E013,4
DOC-MER-P00084-POL,MER-C0026,MER-P00084,Policy,MKL-PL-4465866_Policy.pdf,2026-03-27,Email attachment,E013,96
DOC-MER-P00085-POL,MER-C0026,MER-P00085,Policy,CHB-DO-2603921_Policy.pdf,2025-11-30,Email attachment,E013,87
DOC-MER-P00086-POL,MER-C0027,MER-P00086,Policy,HIG-PROP-7330756_Policy.pdf,2025-08-31,Email attachment,E011,100
DOC-MER-P00087-POL,MER-C0027,MER-P00087,Policy,TRV-WC-8922335_Policy.pdf,2025-07-27,Carrier download,E011,70
DOC-MER-P00087-APP,MER-C0027,MER-P00087,ACORD 125 Application,MER-C0027_ACORD125_2025.pdf,2025-03-22,Indio,E011,8
DOC-MER-P00088-POL,MER-C0027,MER-P00088,Policy,TRV-AUTO-5864908_Policy.pdf,2026-02-21,Carrier download,E011,95
DOC-MER-P00089-POL,MER-C0028,MER-P00089,Policy,CNA-GL-9800363_Policy.pdf,2025-04-16,Email attachment,E021,92
DOC-MER-P00089-APP,MER-C0028,MER-P00089,ACORD 125 Application,MER-C0028_ACORD125_2025.pdf,2025-02-13,Indio,E021,11
DOC-MER-P00090-POL,MER-C0028,MER-P00090,Policy,LIB-WC-9634126_Policy.pdf,2025-08-30,Carrier download,E021,52
DOC-MER-P00091-POL,MER-C0028,MER-P00091,Policy,LIB-AUTO-3288560_Policy.pdf,2026-02-19,Email attachment,E021,138
DOC-MER-P00092-POL,MER-C0028,MER-P00092,Policy,LIB-UMB-2806129_Policy.pdf,2025-05-08,Carrier download,E021,78
DOC-MER-P00093-POL,MER-C0029,MER-P00093,Policy,CNA-PROP-9308427_Policy.pdf,2025-07-08,Carrier download,E020,30
DOC-MER-P00094-POL,MER-C0029,MER-P00094,Policy,HIG-GL-4066488_Policy.pdf,2025-08-21,Carrier download,E020,139
DOC-MER-P00094-APP,MER-C0029,MER-P00094,ACORD 125 Application,MER-C0029_ACORD125_2025.pdf,2025-04-28,Indio,E020,8
DOC-MER-P00095-POL,MER-C0029,MER-P00095,Policy,TRV-AUTO-7819839_Policy.pdf,2025-12-27,Carrier download,E020,43
DOC-MER-P00095-APP,MER-C0029,MER-P00095,ACORD 125 Application,MER-C0029_ACORD125_2025.pdf,2025-09-20,Indio,E020,7
DOC-MER-P00096-POL,MER-C0030,MER-P00096,Policy,AMT-BOP-8476717_Policy.pdf,2025-10-05,Email attachment,E011,32
DOC-MER-P00096-APP,MER-C0030,MER-P00096,ACORD 125 Application,MER-C0030_ACORD125_2025.pdf,2025-06-19,Indio,E011,6
DOC-MER-P00097-POL,MER-C0030,MER-P00097,Policy,HIG-WC-6336845_Policy.pdf,2025-04-27,Carrier download,E011,97
DOC-MER-P00098-POL,MER-C0031,MER-P00098,Policy,BEZ-CYB-2961265_Policy.pdf,2025-06-02,Email attachment,E013,140
DOC-MER-P00098-APP,MER-C0031,MER-P00098,ACORD 125 Application,MER-C0031_ACORD125_2025.pdf,2025-02-18,Indio,E013,6
DOC-MER-P00099-POL,MER-C0031,MER-P00099,Policy,BEZ-PL-5681569_Policy.pdf,2025-05-11,Email attachment,E013,96
DOC-MER-P00100-POL,MER-C0031,MER-P00100,Policy,CNA-GL-9757826_Policy.pdf,2026-01-20,Carrier download,E013,139
DOC-MER-P00100-APP,MER-C0031,MER-P00100,ACORD 125 Application,MER-C0031_ACORD125_2026.pdf,2025-10-18,Indio,E013,9
DOC-MER-P00101-POL,MER-C0031,MER-P00101,Policy,CHB-DO-6404495_Policy.pdf,2025-12-22,Carrier download,E013,39
DOC-MER-P00102-POL,MER-C0032,MER-P00102,Policy,BEZ-PL-9123541_Policy.pdf,2026-01-29,Carrier download,E018,56
DOC-MER-P00103-POL,MER-C0032,MER-P00103,Policy,CHB-PROP-6548701_Policy.pdf,2025-06-12,Carrier download,E018,79
DOC-MER-P00103-APP,MER-C0032,MER-P00103,ACORD 125 Application,MER-C0032_ACORD125_2025.pdf,2025-04-05,Indio,E018,4
DOC-MER-P00104-POL,MER-C0032,MER-P00104,Policy,CNA-CYB-9793167_Policy.pdf,2025-12-09,Email attachment,E018,125
DOC-MER-P00104-APP,MER-C0032,MER-P00104,ACORD 125 Application,MER-C0032_ACORD125_2025.pdf,2025-09-10,Indio,E018,4
DOC-MER-P00105-POL,MER-C0032,MER-P00105,Policy,TRV-WC-3722068_Policy.pdf,2025-09-21,Carrier download,E018,41
DOC-MER-P00106-POL,MER-C0033,MER-P00106,Policy,MKL-PL-1155624_Policy.pdf,2025-12-23,Email attachment,E020,112
DOC-MER-P00107-POL,MER-C0033,MER-P00107,Policy,BEZ-CYB-4049132_Policy.pdf,2026-01-15,Email attachment,E020,92
DOC-MER-P00107-APP,MER-C0033,MER-P00107,ACORD 125 Application,MER-C0033_ACORD125_2025.pdf,2025-09-22,Indio,E020,7
DOC-MER-P00108-POL,MER-C0034,MER-P00108,Policy,AMT-WC-2916243_Policy.pdf,2026-04-05,Email attachment,E012,26
DOC-MER-P00108-APP,MER-C0034,MER-P00108,ACORD 125 Application,MER-C0034_ACORD125_2026.pdf,2026-01-15,Indio,E012,12
DOC-MER-P00109-POL,MER-C0035,MER-P00109,Policy,CNA-PL-9132884_Policy.pdf,2025-09-14,Email attachment,E020,107
DOC-MER-P00109-APP,MER-C0035,MER-P00109,ACORD 125 Application,MER-C0035_ACORD125_2025.pdf,2025-06-09,Indio,E020,10
DOC-MER-P00110-POL,MER-C0035,MER-P00110,Policy,CNA-GL-8031863_Policy.pdf,2025-11-10,Carrier download,E020,84
DOC-MER-P00110-APP,MER-C0035,MER-P00110,ACORD 125 Application,MER-C0035_ACORD125_2025.pdf,2025-07-04,Indio,E020,5
DOC-MER-P00111-POL,MER-C0035,MER-P00111,Policy,CNA-PROP-4203613_Policy.pdf,2025-05-06,Carrier download,E020,61
DOC-MER-P00112-POL,MER-C0035,MER-P00112,Policy,CHB-CYB-6594195_Policy.pdf,2025-05-15,Email attachment,E020,83
DOC-MER-P00112-APP,MER-C0035,MER-P00112,ACORD 125 Application,MER-C0035_ACORD125_2025.pdf,2025-03-11,Indio,E020,4
DOC-MER-P00113-POL,MER-C0035,MER-P00113,Policy,AMT-WC-5011507_Policy.pdf,2025-10-31,Email attachment,E020,127
DOC-MER-P00113-APP,MER-C0035,MER-P00113,ACORD 125 Application,MER-C0035_ACORD125_2025.pdf,2025-08-15,Indio,E020,9
DOC-MER-P00114-POL,MER-C0036,MER-P00114,Policy,MKL-PL-8574683_Policy.pdf,2025-07-04,Email attachment,E012,37
DOC-MER-P00115-POL,MER-C0036,MER-P00115,Policy,HIG-GL-3002420_Policy.pdf,2025-07-03,Email attachment,E012,75
DOC-MER-P00116-POL,MER-C0036,MER-P00116,Policy,CNA-PROP-3136506_Policy.pdf,2025-06-13,Carrier download,E012,51
DOC-MER-P00117-POL,MER-C0036,MER-P00117,Policy,CHB-CYB-9343383_Policy.pdf,2025-04-28,Carrier download,E012,127
DOC-MER-P00118-POL,MER-C0036,MER-P00118,Policy,LIB-WC-4652917_Policy.pdf,2025-11-07,Email attachment,E012,98
DOC-MER-P00119-POL,MER-C0037,MER-P00119,Policy,LIB-AUTO-1388768_Policy.pdf,2025-07-25,Email attachment,E010,27
DOC-MER-P00119-APP,MER-C0037,MER-P00119,ACORD 125 Application,MER-C0037_ACORD125_2025.pdf,2025-04-25,Indio,E010,6
DOC-MER-P00120-POL,MER-C0037,MER-P00120,Policy,TRV-WC-1982693_Policy.pdf,2025-11-11,Email attachment,E010,90
DOC-MER-P00121-POL,MER-C0038,MER-P00121,Policy,HIG-BOP-5207763_Policy.pdf,2026-01-01,Email attachment,E014,27
DOC-MER-P00121-APP,MER-C0038,MER-P00121,ACORD 125 Application,MER-C0038_ACORD125_2025.pdf,2025-10-21,Indio,E014,7
DOC-MER-P00122-POL,MER-C0038,MER-P00122,Policy,HIG-WC-3350069_Policy.pdf,2025-09-20,Email attachment,E014,85
DOC-MER-COI0001,MER-C0019,,Certificate of Insurance (ACORD 25),MER-COI0001_Suffolk.pdf,2025-10-29,Generated,E011,1
DOC-MER-COI0002,MER-C0035,,Certificate of Insurance (ACORD 25),MER-COI0002_Home.pdf,2026-02-02,Generated,E020,1
DOC-MER-COI0003,MER-C0028,,Certificate of Insurance (ACORD 25),MER-COI0003_CBRE.pdf,2026-02-15,Generated,E021,1
DOC-MER-COI0004,MER-C0015,,Certificate of Insurance (ACORD 25),MER-COI0004_Turner.pdf,2026-03-18,Generated,E019,1
DOC-MER-COI0005,MER-C0031,,Certificate of Insurance (ACORD 25),MER-COI0005_Gilbane.pdf,2025-10-27,Generated,E013,1
DOC-MER-COI0007,MER-C0010,,Certificate of Insurance (ACORD 25),MER-COI0007_Turner.pdf,2026-03-31,Generated,E018,1
DOC-MER-COI0011,MER-C0028,,Certificate of Insurance (ACORD 25),MER-COI0011_Suffolk.pdf,2026-01-17,Generated,E021,1
DOC-MER-COI0012,MER-C0007,,Certificate of Insurance (ACORD 25),MER-COI0012_Suffolk.pdf,2026-02-27,Generated,E016,1
DOC-MER-COI0013,MER-C0014,,Certificate of Insurance (ACORD 25),MER-COI0013_CBRE.pdf,2026-02-03,Generated,E009,1
DOC-MER-COI0014,MER-C0024,,Certificate of Insurance (ACORD 25),MER-COI0014_Turner.pdf,2025-12-31,Generated,E016,1
DOC-MER-COI0016,MER-C0014,,Certificate of Insurance (ACORD 25),MER-COI0016_Home.pdf,2025-12-01,Generated,E009,1
DOC-MER-COI0019,MER-C0015,,Certificate of Insurance (ACORD 25),MER-COI0019_CBRE.pdf,2026-02-26,Generated,E019,1
DOC-MER-COI0020,MER-C0020,,Certificate of Insurance (ACORD 25),MER-COI0020_Turner.pdf,2026-01-25,Generated,E018,1
DOC-MER-COI0022,MER-C0023,,Certificate of Insurance (ACORD 25),MER-COI0022_Home.pdf,2026-01-08,Generated,E021,1
