So Number,Customer Id,Customer Po Number,Order Date,Quote Id,Sales Rep Id,Entered By,Order Source,Payment Terms,Ship Via,Freight Terms,Order Total,Credit Hold,Order Status,Invoiced
SO-26036,KBD-CUST0031,P151366,2026-01-10,,E019,E025,Email,Net 45,LTL - XPO,Collect,4843.38,N,Closed,Y
SO-26037,KBD-CUST0008,P666258,2026-01-10,,E014,E014,Portal,Net 60,LTL - Estes,Prepaid & Add,5776.6,N,Closed,Y 
SO-26038,KBD-CUST0019,P366097,2026-03-18,,E017,E024,Phone,Net 45,LTL - XPO,Prepaid & Add,32766.57,N,Partially Shipped,Y
SO-26039,KBD-CUST0007,4500419979,2025-12-18,,E019,E025,Portal,Net 30,Company Truck,Collect,6780.06,N,Closed,Y
SO-26040,KBD-CUST0014,PUR-316077,2025-11-11,,E014,E018,Portal,2% 10 Net 30,UPS Ground,Prepaid & Add,44869.56,N,Closed,Y
SO-26041,KBD-CUST0026,PO265774,2025-09-10,Q-26007,E019,E013,Portal,COD,Company Truck,Prepaid & Add,19399.45,N,Closed,Y
SO-26042,KBD-CUST0014,4500398951 ,2026-02-14,,E014,E025,Phone,2% 10 Net 30,UPS Ground,Prepaid & Add,4290.34,N,Closed,Y
SO-26043,KBD-CUST0004,P152593,13-Sep-2025,,E016,E025,Phone,Net 60,Customer Pickup,Prepaid,3896.75,Y,Closed,Y
SO-26044,KBD-CUST0025,P953019,2026-02-19,Q-26008,E021,E016,Portal,Net 45,Customer Pickup,Prepaid,22824.0,N,Closed,Y
SO-26045,KBD-CUST0030,PO343721,2025-11-07,,E023,E015,Email,Net 30,Customer Pickup,Prepaid,32012.66,Y,Partially Shipped,Y
SO-26046,KBD-CUST0030,PUR-952460,08-Sep-2025,,E023,E015,Phone,Net 30,Customer Pickup,Prepaid,17131.57,N,Closed,Y
SO-26047,KBD-CUST0004,PO719075,2025-04-14,,E016,E018,EDI 850,Net 60,Customer Pickup,Prepaid,24650.12,N,Closed,Y
SO-26048,KBD-CUST0013,PUR-515937,2025-06-08,Q-26009,E019,E015,Portal,Net 30,Customer Pickup,Prepaid & Add,7133.47,N,Closed,Y
SO-26049,KBD-CUST0022,4500119384,05/24/25,Q-26010,E018,E024,Portal,Net 60,UPS Ground,Prepaid & Add,18213.35,N,Closed,Y
SO-26050,KBD-CUST0022,4500856894,2025-04-16,Q-26011,E018,E018,EDI 850,Net 60,UPS Ground,Prepaid & Add,32723.88,N,Closed,Y
SO-26051,KBD-CUST0019,P628006,2025-04-01,,E017,E015,Phone,Net 45,LTL - XPO,Prepaid & Add,11301.09,N,Closed,Y
SO-26052,KBD-CUST0005,PO592344,2025-11-13,Q-26012,E022,E018,Phone,Net 30,UPS Ground,Collect,38277.7,N,Closed,Y
SO-26053,KBD-CUST0031,P392885,30-Oct-2025,,E019,E018,Email,Net 45,LTL - XPO,Prepaid & Add,20351.73,N,Partially Shipped,Y
SO-26054,KBD-CUST0020,PO363935,2025-08-04,,E019,E013,Email,Net 45,Company Truck,Prepaid & Add,11710.92,N,Closed,Y
SO-26055,KBD-CUST0026,PUR-812851,05/23/25,,E019,E017,Phone,COD,Company Truck,Prepaid & Add,4291.64,N,Partially Shipped,Y
SO-26056,KBD-CUST0027,4500448988,2025-11-21,,E022 ,E024,Phone,Net 30,FedEx Ground,Collect,5128.18,N,Closed,Y
SO-26057,KBD-CUST0032,PO545583,2026-01-26,Q-26013,E020,E015,Portal,Net 30,UPS Ground,Prepaid,21393.47,N,Partially Shipped,Y
SO-26058,KBD-CUST0020,PO431035,2025-10-02 ,,E019,E014,Portal,Net 45,Company Truck ,Prepaid & Add,2333.98,N,Partially Shipped,Y
SO-26059,KBD-CUST0031,4500807327,2025-04-12,Q-26014,E019,E018,Portal,Net 45,LTL - XPO,Prepaid & Add,17612.62,N,Closed,Y 
SO-26060,KBD-CUST0014,PO523832,2025-10-22,Q-26015,E014,E024,Portal,2% 10 Net 30,UPS Ground,Prepaid & Add,10661.36,N,Closed,Y
SO-26061,KBD-CUST0015,P408676,2026-01-27,,E020,E017,Email,Net 30,Customer Pickup,Collect,522.79,N,Closed,Y
SO-26062,KBD-CUST0016,PO364809,2025-12-05,,E016,E014,Email,Net 30 ,FedEx Ground,Prepaid & Add,11198.56,N,Closed,Y
SO-26063,KBD-CUST0003,P233233,2026-02-01,,E021,E013,Portal ,Net 30,FedEx Ground,Prepaid & Add,320.0,N,Closed,Y
SO-26064,KBD-CUST0015,PO596093,2025-09-28,Q-26016,E020,E014,Email,Net 30,Customer Pickup,Prepaid & Add,1796.08,N,Closed,Y
SO-26065,KBD-CUST0014,PO359502,2026-02-12,,E014,E014,Portal,2% 10 Net 30,UPS Ground,Collect,5693.19,N,Closed,Y
SO-26066,KBD-CUST0030,PO941395,2025-11-18,,E023,E018,Portal,Net 30,Customer Pickup,Prepaid,79451.05,N,Closed,Y
SO-26067,KBD-CUST0003,PUR-353641,2025-05-10,,E021,E025,EDI 850,Net 30,FedEx Ground,Prepaid,10175.34,N,Closed,Y
SO-26068,KBD-CUST0031,PUR-855314,2025-08-07,,E019,E015,Phone,Net 45,LTL - XPO,Collect,10858.84,N,Closed,Y
SO-26069,KBD-CUST0031,PO703188,2025-07-06,,E019,E024,Phone,Net 45,LTL - XPO,Prepaid & Add,285.52,N,Closed,Y
SO-26070,KBD-CUST0010,PO595913,2025-07-13,,E018,E025,Email,Net 30,LTL - Estes,Prepaid & Add,12223.68,N,Closed,Y
SO-26071,KBD-CUST0019,4500221794,08/03/2025,,E017,E015,EDI 850,Net 45,LTL - XPO,Prepaid & Add,2083.9,N,Closed,Y
SO-26072,KBD-CUST0016,4500248244,15-Aug-2025,,E016,E013,Email,Net 30,FedEx Ground,Collect,5852.76,N,Closed,Y 
SO-26073,KBD-CUST0020,P219772,2025-06-27,Q-26017,E019,E017,Portal,Net 45,Company Truck,Prepaid & Add,12522.53,N,Partially Shipped,Y
SO-26074 ,KBD-CUST0011,PUR-837321,2025-12-27,,E014,E017,Email,Net 30,Company Truck,Collect,25337.73,N,Partially Shipped,Y
SO-26075,KBD-CUST0011,P815855,2025-10-10,,E014,E014,Phone,Net 30,Company Truck,Collect,31887.56,N,Closed,Y
SO-26076,KBD-CUST0010,P801489,2025-10-02,,E018,E025,EDI 850,Net 30,LTL - Estes,Prepaid,54009.98,N,Partially Shipped,Y
SO-26077,KBD-CUST0015,PUR-449257,2025-12-22,,E020,E014,Email,Net 30,Customer Pickup,Collect,118.28,N,Closed,Y
SO-26078,KBD-CUST0015,4500253366,2025-12-15,,E020,E017,EDI 850,Net 30,Customer Pickup,Collect,28177.18,N,Closed,Y
SO-26079,KBD-CUST0016,PUR-256607,2025-08-20,,E016,E024,Phone,Net 30,FedEx Ground,Collect,10941.05,N,Closed,Y
SO-26080,KBD-CUST0011 ,P783712,2025-12-19,,E014,E017,Email,Net 30,Company Truck,Collect,8792.29,N,Partially Shipped,Y
SO-26081,KBD-CUST0001,P978008,2025-11-20,,E018,E015,EDI 850,Net 30,Customer Pickup,Prepaid & Add,14076.12,N,Closed,Y
SO-26082,KBD-CUST0013,P216737,2025-04-07,,E019,E018,Portal,Net 30,Customer Pickup,Prepaid & Add,14214.67,N,Partially Shipped,Y
SO-26083,KBD-CUST0017,P864047,2025-06-10,,E017,E025,Portal,Net 45,FedEx Ground,Prepaid & Add,25678.73,N,Closed,Y
SO-26084,KBD-CUST0023,PUR-156865,16-Nov-2025,,E015,E016,Portal,Net 60,UPS Ground,Prepaid & Add,87040.01,N,Closed,Y
SO-26085,KBD-CUST0025,PO998056,2026-03-31,,E021,E013,Email,Net 45,Customer Pickup,Prepaid & Add,5089.0,N,Open,N
SO-26086,KBD-CUST0017,PUR-383529,2026-03-28,Q-26018,E017,E018,Email,Net 45,FedEx Ground,Prepaid & Add,12225.93,N,Open,N
SO-26087,KBD-CUST0011,4500342585,2025-11-23,,E014,E018,Portal,Net 30,Company Truck,Prepaid,15801.3,N,Closed ,Y
SO-26088,KBD-CUST0021,PO563147,2025-04-10,,E016,E024,Email,2% 10 Net 30 ,LTL - Estes,Prepaid & Add,374.98,N,Closed,Y
SO-26089,KBD-CUST0028,P931914,2025-06-03,,E021,E013,Email,Net 45,UPS Ground,Prepaid & Add,26375.78,N,Closed,Y
SO-26090,KBD-CUST0019,PO312435,2025-05-21,Q-26019,E017,E018,EDI 850 ,Net 45,LTL - XPO,Prepaid & Add,17310.33,N,Closed,Y
SO-26091,KBD-CUST0006,PUR-330209,2025-07-15,,E023,E014,EDI 850,Net 60,FedEx Ground,Prepaid,25353.68,N,Closed,Y
SO-26092,KBD-CUST0013,4500551851,2025-10-05,,E019,E016,Email,Net 30,Customer Pickup,Prepaid,32111.26,N,Closed,Y
SO-26093,KBD-CUST0028,4500209728,2026-03-15,,E021,E024,Portal,Net 45,UPS Ground,Collect,19628.59,N ,Partially Shipped,Y
SO-26094,KBD-CUST0015,PO315799,2025-09-05,,E020,E017,Phone,Net 30,Customer Pickup,Collect,321.8,N,Closed,Y
SO-26095,KBD-CUST0026,P891823,2025-05-31,Q-26020,E019,E017,Email,COD,Company Truck,Prepaid & Add,460.0,N,Closed,Y
SO-26096,KBD-CUST0018,4500175004,2025-11-29,Q-26021,E014,E018,Portal,Net 45,FedEx Ground,Collect,26258.02,N,Closed,Y
SO-26097,KBD-CUST0022,P281524,2025-12-14,,E018,E015,Portal,Net 60,UPS Ground,Prepaid & Add,30154.07,N,Closed,Y
SO-26098,KBD-CUST0016,4500884186,2025-12-16,,E016,E024,Phone,Net 30,FedEx Ground,Prepaid & Add,13116.04,N,Closed,Y
SO-26099,KBD-CUST0012,4500301446,2025-12-27,,E019,E013,Email,Net 60,FedEx Ground,Prepaid & Add,5141.75,N,Closed,Y
SO-26100,KBD-CUST0032,PUR-822431,2025-07-18,,E020 ,E018,Portal,Net 30,UPS Ground,Prepaid & Add,26828.06,N,Closed,Y
SO-26101,KBD-CUST0007,P102929,2026-01-16,,E019,E015,Email,Net 30,Company Truck,Collect,192.46,N,Closed,Y
SO-26102,KBD-CUST0023,4500446021,2025-06-30,,E015 ,E018,Email,Net 60,UPS Ground,Prepaid & Add,28975.05,N,Partially Shipped,Y
SO-26103,KBD-CUST0019,P366446,2025-06-11,,E017,E016,Email,Net 45,LTL - XPO,Prepaid & Add,43949.88,N,Closed,Y
SO-26104,KBD-CUST0030,P532497,2025-09-19,,E023,E013,Portal,Net 30,Customer Pickup,Prepaid,1257.75,N,Closed,Y
SO-26105,KBD-CUST0015,4500753725,2025-08-05,,E020,E024,Email,Net 30,Customer Pickup,Collect,630.63,N ,Closed,Y
SO-26106,KBD-CUST0018,4500680149,08/07/2025,Q-26022,E014,E025,EDI 850,Net 45,FedEx Ground,Prepaid & Add,5760.36,N,Closed,Y
SO-26107,KBD-CUST0018,4500268438,03/28/26,,E014,E013,Email,Net 45,FedEx Ground,Prepaid,13458.02,N,Open,N
SO-26108,KBD-CUST0017,PO598278,2025-06-05,,E017,E024,Email,Net 45,FedEx Ground,Collect,38548.94,N,Closed,Y
SO-26109,KBD-CUST0006,PO897572,2025-11-17,Q-26023,E023,E013,Email,Net 60,FedEx Ground,Collect,19105.61,N,Closed,Y
SO-26110,KBD-CUST0025,4500855609,2026-03-23,,E021,E014,EDI 850,Net 45,Customer Pickup,Prepaid & Add,60119.73,N,Open,N
SO-26111,KBD-CUST0015,4500877128,2025-07-03,Q-26024,E020,E016,Portal,Net 30,Customer Pickup,Prepaid & Add,23258.64,N,Closed,Y
SO-26112,KBD-CUST0023,PUR-510466,11-Aug-2025,,E015,E014,EDI 850,Net 60,UPS Ground,Prepaid & Add,2540.65,N,Closed,Y
SO-26113,KBD-CUST0007,PUR-321928,2025-07-14,,E019,E014,Portal,Net 30,Company Truck,Prepaid & Add,18.92,N,Closed,Y
SO-26114,KBD-CUST0016,P611884,2025-06-14,,E016,E017,Portal,Net 30,FedEx Ground,Collect,11354.74,N,Closed,Y
SO-26115,KBD-CUST0005,PO834205,2025-04-05,,E022,E024,Phone,Net 30,UPS Ground ,Prepaid & Add,3147.0,Y,Closed,Y
SO-26116,KBD-CUST0020,4500282108,2025-10-06,Q-26025,E019,E016,Email,Net 45,Company Truck,Collect,7868.31,N,Closed,Y
SO-26117,KBD-CUST0007,4500913048,2025-12-22,Q-26026,E019,E016,Phone,Net 30,Company Truck,Collect,22919.19,N,Closed,Y
SO-26118,KBD-CUST0028,PUR-673907,2025-10-28,Q-26027,E021,E016,Email,Net 45,UPS Ground,Prepaid & Add,6995.03,N,Closed,Y
SO-26119,KBD-CUST0012,4500598427,2026-01-03,,E019,E014,Email,Net 60,FedEx Ground,Prepaid,968.73,N,Partially Shipped,Y
SO-26120,KBD-CUST0018,PO509328,"Mar 11, 2026",,E014,E013,EDI 850,Net 45,FedEx Ground,Prepaid,11319.3,N,Closed,Y
SO-26121,KBD-CUST0006,P956250,2025-11-26,,E023,E018,EDI 850,Net 60,FedEx Ground,Collect,2539.11,N,Closed,Y
SO-26122,KBD-CUST0032,PUR-482170,2025-06-25,,E020,E016,Email,Net 30,UPS Ground,Prepaid & Add,15478.3,N,Partially Shipped,Y
SO-26123,KBD-CUST0016,PO339425,2025-08-17,,E016,E013,Email,Net 30,FedEx Ground,Prepaid & Add,23598.45,N,Closed,Y
SO-26124,KBD-CUST0010,P133764,2026-03-02,,E018,E018,EDI 850,Net 30,LTL - Estes,Prepaid & Add,9041.44,N,Partially Shipped,Y
SO-26125,KBD-CUST0016,P347071,2026-03-25,Q-26028,E016,E015,EDI 850 ,Net 30,FedEx Ground,Collect,2285.45,N,Open,N
SO-26126,KBD-CUST0025,PUR-996245,2025-12-08,Q-26029,E021,E024,EDI 850,Net 45,Customer Pickup,Prepaid & Add,15885.56,N,Closed,Y
SO-26127,KBD-CUST0011,P574541,2026-02-10,,E014,E017,Email,Net 30,Company Truck,Prepaid & Add,1027.44,N,Closed,Y
SO-26128,KBD-CUST0014,P951834,2025-09-20,Q-26030,E014,E014,Phone,2% 10 Net 30,UPS Ground,Prepaid & Add,30476.06,N,Partially Shipped ,Y
SO-26129,KBD-CUST0015,P781646,13-Mar-2026,,E020,E018,Phone,Net 30,Customer Pickup,Prepaid & Add,21896.31,N,Partially Shipped,Y
SO-26130,KBD-CUST0026,4500599646,2026-01-08,,E019,E024,EDI 850 ,COD,Company Truck,Prepaid & Add,9634.04,N,Closed,Y
SO-26131,KBD-CUST0021,P574828,2025-04-29,,E016,E025,Email,2% 10 Net 30,LTL - Estes,Prepaid & Add,14258.51,N,Partially Shipped,Y
SO-26132,KBD-CUST0030,P500732,02-Jan-2026,,E023,E013,EDI 850,Net 30,Customer Pickup,Prepaid,2122.28,N,Partially Shipped,Y
SO-26133,KBD-CUST0032,4500503558,2025-12-22,,E020,E014,EDI 850,Net 30,UPS Ground,Prepaid,16826.2,N,Closed,Y
SO-26134,KBD-CUST0008,P298660,2025-05-12,,E014,E018,Phone,Net 60,LTL - Estes,Prepaid,3320.24,N,Closed,Y
SO-26135,KBD-CUST0023,PO644379,02/23/26,,E015 ,E014,EDI 850,Net 60,UPS Ground,Prepaid & Add,7450.8,N,Closed,Y
SO-26136,KBD-CUST0022,4500161547,2025-09-14,,E018,E017,Portal,Net 60,UPS Ground,Prepaid,7718.71,N,Closed,Y
SO-26137,KBD-CUST0032,P366204,2025-11-23,,E020,E024,EDI 850,Net 30,UPS Ground,Prepaid,5034.04,N ,Closed,Y
SO-26138,KBD-CUST0013,P370264,2026-03-08,,E019,E015,Phone,Net 30,Customer Pickup,Collect,13622.78,N,Partially Shipped,Y
SO-26139,KBD-CUST0017,PO981461,2025-09-30,,E017,E018,Email,Net 45,FedEx Ground,Prepaid & Add,41647.45,N,Closed,Y
SO-26140,KBD-CUST0019,PUR-688192 ,01/03/26,,E017,E024,Portal,Net 45,LTL - XPO,Prepaid & Add,12604.41,N,Closed,Y
SO-26141,KBD-CUST0004,P498695,25-Jan-2026,,E016,E015,Email,Net 60,Customer Pickup,Prepaid & Add,11720.11,N,Closed,Y
SO-26142,KBD-CUST0021,4500138407,2025-04-12,,E016,E014,Phone,2% 10 Net 30,LTL - Estes,Collect,1381.91,N,Closed,Y
SO-26143,KBD-CUST0007,P586588,2025-08-06,,E019,E017,Email,Net 30,Company Truck,Prepaid & Add,1176.1,N,Open,N
SO-26144,KBD-CUST0017,P316394,2025-10-06,Q-26031,E017,E025,Email,Net 45,FedEx Ground,Prepaid & Add,6572.96,N,Closed,Y
SO-26145,KBD-CUST0031,4500939199,2025-07-12,,E019,E018,Email,Net 45,LTL - XPO,Prepaid & Add,49094.13,N,Closed,Y
SO-26146,KBD-CUST0022,P828449,2026-03-06,,E018,E025,Email,Net 60,UPS Ground,Prepaid,61.79,N,Open,N
SO-26147,KBD-CUST0016,PO969940,2025-08-23,,E016,E017,Email,Net 30,FedEx Ground,Prepaid,2792.05,N,Closed ,Y
SO-26148,KBD-CUST0031,P532563,2025-05-05,,E019,E017,Phone,Net 45,LTL - XPO,Collect,6784.03,N,Closed,Y
SO-26149,KBD-CUST0007,4500681993,2025-06-30,,E019,E016,Email,Net 30,Company Truck,Prepaid,17717.14,Y,Closed,Y
SO-26150,KBD-CUST0013,P499731,2026-01-07,,E019,E018,EDI 850,Net 30,Customer Pickup,Prepaid & Add,286.91,N,Closed,Y
SO-26151,KBD-CUST0031,PO112251,2025-05-23,,E019,E024,Phone,Net 45,LTL - XPO,Prepaid ,1763.15,N,Closed,Y
SO-26152,KBD-CUST0018,P609469,2025-05-26,,E014,E025,EDI 850,Net 45,FedEx Ground,Prepaid & Add,32077.07,N,Closed,Y
SO-26153,KBD-CUST0029,PO831040,2025-08-10,,E013,E017,Email,Net 30,FedEx Ground,Prepaid,29253.75,N,Closed,Y
SO-26154,KBD-CUST0025,P311631,2025-12-20,,E021,E017,Email,Net 45,Customer Pickup,Collect,15264.06,N,Closed,Y
SO-26155,KBD-CUST0012,P756316,2025-07-18,,E019,E014,Email,Net 60,FedEx Ground,Prepaid & Add,6691.18,N,Partially Shipped,Y
SO-26156,KBD-CUST0030,PUR-638128,2025-09-29,,E023,E015,Email,Net 30,Customer Pickup,Prepaid & Add,19568.9,N,Closed,Y
SO-26157,KBD-CUST0022,PO142053 ,2025-12-24,,E018,E014,Email,Net 60,UPS Ground,Prepaid & Add,427.25,N,Closed,Y
SO-26158 ,KBD-CUST0029,4500400829,2025-07-14,,E013,E015,Phone,Net 30,FedEx Ground,Prepaid,17609.04,N,Closed,Y
SO-26159,KBD-CUST0013,4500905405,2025-06-25,,E019,E016,Email,Net 30,Customer Pickup,Prepaid & Add,23349.24,N,Closed,Y
SO-26160,KBD-CUST0031,PUR-359778,2025-12-18,,E019,E017,Email,Net 45,LTL - XPO,Prepaid & Add,2952.36,N,Closed,Y
SO-26161,KBD-CUST0031,4500807727,2025-11-18,,E019,E015,EDI 850,Net 45,LTL - XPO,Prepaid,10138.81,N,Closed,Y
SO-26162,KBD-CUST0012,P126956,2025-10-11,Q-26032,E019,E014,Email,Net 60,FedEx Ground,Prepaid,229.17,N,Closed,Y
SO-26163,KBD-CUST0012,PUR-509403,2025-12-11,,E019,E024,Email,Net 60,FedEx Ground,Prepaid & Add,4888.41,N,Closed,Y
SO-26164,KBD-CUST0005,PO709855,2025-06-03,Q-26033,E022,E025,EDI 850,Net 30,UPS Ground,Prepaid & Add,12922.76,N,Partially Shipped,Y
SO-26165,KBD-CUST0001,P916772,2026-01-22,,E018,E017,EDI 850,Net 30,Customer Pickup,Prepaid & Add,10541.66,N,Partially Shipped,Y
SO-26166,KBD-CUST0006,P574061,2026-03-08,,E023,E015,Email,Net 60,FedEx Ground,Prepaid,58814.45,N,Partially Shipped,Y
SO-26167,KBD-CUST0014,PUR-800559,2026-02-24,,E014,E017,Phone,2% 10 Net 30,UPS Ground,Collect,40434.09,N,Closed,Y
SO-26168,KBD-CUST0031,P389682,2025-06-03,,E019,E024,Email,Net 45,LTL - XPO,Prepaid,2636.56,N,Closed,Y
SO-26169,KBD-CUST0004,PO198002,2025-10-26,,E016,E017,Phone,Net 60,Customer Pickup,Prepaid,6742.64,N,Closed,Y
SO-26170,KBD-CUST0020,4500505285,2025-10-28,,E019,E016,Portal,Net 45,Company Truck,Prepaid & Add,13113.85,N,Closed,Y
SO-26171,KBD-CUST0024,4500556402,2025-04-21,,E022,E016,Email,Net 45,Company Truck,Prepaid & Add,37052.45,N,Closed,Y
SO-26172,KBD-CUST0031,P994665,2025-11-24,,E019,E014,Portal,Net 45,LTL - XPO,Prepaid,7452.39,N,Closed,Y
SO-26173,KBD-CUST0030,P916883,2025-11-09,Q-26034,E023,E015 ,Email,Net 30,Customer Pickup,Prepaid & Add,31711.4,N,Closed,Y
SO-26174,KBD-CUST0021,PUR-465710,2026-01-11,Q-26035,E016,E017 ,EDI 850,2% 10 Net 30,LTL - Estes,Prepaid ,870.72,N,Closed,Y
SO-26175,KBD-CUST0010,4500122697,2025-06-15,,E018,E014,Email,Net 30,LTL - Estes,Collect,26933.41,N,Partially Shipped,Y
SO-26176,KBD-CUST0025,P493475,2026-03-15,,E021,E015,Phone,Net 45,Customer Pickup,Prepaid,17377.22,N,Closed,Y
SO-26177,KBD-CUST0015,PO349650,2025-12-02,,E020,E018,Portal,Net 30,Customer Pickup,Collect,15009.83,N,Closed,Y
SO-26178,KBD-CUST0008,P624260,2025-04-03,,E014,E013,EDI 850,Net 60,LTL - Estes,Prepaid,7834.0,N,Closed,Y
SO-26179,KBD-CUST0008,P289266,2025-11-18,,E014,E018,Email,Net 60,LTL - Estes,Prepaid,44783.36,N,Partially Shipped,Y
SO-26180,KBD-CUST0014,4500770692,2026-01-05,Q-26036,E014,E015,EDI 850,2% 10 Net 30,UPS Ground,Collect,32660.61,N,Closed,Y
SO-26181,KBD-CUST0023,PUR-883440,2025-12-08,,E015,E018,Portal,Net 60,UPS Ground,Prepaid & Add,55392.12,N,Partially Shipped,Y
SO-26182,KBD-CUST0024,PUR-156821,2025-11-07,Q-26037,E022,E024,Email,Net 45,Company Truck,Prepaid & Add,4056.67,N,Closed,Y
SO-26183,KBD-CUST0027,4500523118,2025-06-11,Q-26038,E022,E018,Email,Net 30,FedEx Ground,Prepaid & Add,5831.5,N,Closed,Y
SO-26184,KBD-CUST0019,PUR-778174,2025-09-21,,E017,E017,Email,Net 45,LTL - XPO,Prepaid & Add,202.59,N,Closed,Y
