So Number,Check Date,Customer Id,Credit Limit,Open Ar At Check,Order Total,Result,Reviewed By
SO-26278,04-Aug-2025,KBD-CUST0015,100000,7650.99,52312.3,Approved,E002
SO-26279,12/16/25,KBD-CUST0020,50000,8097.08,4719.02,Approved,E002
SO-26281,06-Dec-2025,KBD-CUST0013,150000,36843.15,39742.88,Approved,E002
SO-26282,2025-06-26,KBD-CUST0027,50000,30041.24,12982.81,Approved,E002
SO-26283,2025-07-12,KBD-CUST0008,50000,37182.43,4920.6,Approved,E002
SO-26284,"Sep 04, 2025",KBD-CUST0008,50000,17117.74,30798.02,Approved,E002
SO-26285,2026-02-24,KBD-CUST0032,50000,12122.23,7602.36,Approved,E002
SO-26286,"Feb 13, 2026",KBD-CUST0024,75000,146.37,44037.61,Approved,E002
SO-26287 ,2025-09-03,KBD-CUST0005,50000,52797.72,33500.89,Approved,E002
SO-26290,2026-02-20,KBD-CUST0017,25000,19899.88,70284.52,Approved,E002
SO-26293,2025-12-26,KBD-CUST0005,50000,40143.33,4423.98,Approved,E002
SO-26295 ,2025-12-05,KBD-CUST0024,75000,23837.47,21858.35,Approved,E002
SO-26296,2025-08-16,KBD-CUST0031,250000,73460.42,43093.5,Approved,E002
SO-26297,2025-08-22,KBD-CUST0003,100000,13245.89,12372.74,Approved,E002
SO-26298,2025-05-31,KBD-CUST0025,50000,41501.95,15611.17,Approved,E002
SO-26300,"Apr 30, 2025",KBD-CUST0028,25000,12969.73,34820.8,Approved,E002
SO-26302,2025-11-17,KBD-CUST0011,25000,3464.78,5824.1,Approved,E002
SO-26303,2025-08-07,KBD-CUST0023,50000,12926.3,48671.48,Approved ,E002
SO-26305,2025-07-02,KBD-CUST0028,25000,12390.61,2263.23,Approved,E002
SO-26308,2026-03-15,KBD-CUST0031,250000,80296.68,16936.72,Approved,E002
SO-26309,12-Sep-2025 ,KBD-CUST0023,50000,25363.33,17643.57,Approved,E002
SO-26310,03/17/26,KBD-CUST0028,25000,21347.59,9436.97,Approved,E002
SO-26311,2025-04-25,KBD-CUST0032,50000,5054.99,25551.11,Approved,E002
SO-26312,2025-05-31,KBD-CUST0011,25000,19410.38,323.66,Approved,E002
SO-26314,2025-08-06,KBD-CUST0005,50000,1904.11,29864.91,Approved,E002
SO-26315,2026-01-16,KBD-CUST0025,50000,48497.51,36019.84,Approved,E002
SO-26323,2025-09-27,KBD-CUST0011,25000,4956.69,21289.2,Approved,E002
SO-26324,2025-09-21,KBD-CUST0017,25000,1189.65,19502.49,Approved,E002
SO-26326,2025-07-07,KBD-CUST0005,50000,635.1,3326.5,Approved,E002
SO-26327,2025-12-22,KBD-CUST0028 ,25000,389.45,30448.3,Approved,E002
SO-26329,2026-01-31,KBD-CUST0008,50000,14195.52,51150.2,Approved,E002
SO-26331,2026-03-22,KBD-CUST0030,150000,21266.77,18851.36,Approved,E002
SO-26335,2025-12-06,KBD-CUST0008,50000,14951.84,4176.95,Approved,E002 
SO-26336,2025-06-04,KBD-CUST0008,50000,4198.71,10356.45,Approved,E002
SO-26337,2025-06-14,KBD-CUST0008,50000,2657.13,6504.0,Approved,E002
SO-26338,2025-08-21,KBD-CUST0018,25000,27036.84,131.16,Approved,E002
SO-26340,2025-11-26,KBD-CUST0032,50000,12148.29,699.09,Approved,E002
SO-26341,2026-02-09,KBD-CUST0031,250000,140100.74,10195.41,Approved,E002
SO-26342,2025-04-21,KBD-CUST0023,50000,45164.75,33596.52,Approved,E002
SO-26346,2026-02-07,KBD-CUST0023,50000,49362.35,7308.35,Approved,E002
SO-26351,2025-11-27,KBD-CUST0008,50000,39098.36,42094.88,Approved,E002
SO-26352,2025-06-10,KBD-CUST0013,150000,29346.62,11450.37,Approved,E002
SO-26354,2025-07-29,KBD-CUST0011,25000,6297.42,12523.34,Approved,E002
SO-26362,2025-07-21,KBD-CUST0017,25000,6722.03,12346.18,Approved,E002
SO-26363,2025-05-27,KBD-CUST0023,50000,23780.74,517.14,Approved,E002
SO-26365,2025-11-08,KBD-CUST0017,25000,18820.19,7086.52,Approved,E002
SO-26366,2025-07-03,KBD-CUST0018,25000,16950.77,9447.5,Approved,E002
SO-26369,15-Apr-2025,KBD-CUST0031,250000,126883.2,199.14,Approved,E002
SO-26371,2025-12-17,KBD-CUST0027,50000,20100.6,2600.78,Approved,E002
SO-26372,2026-01-15,KBD-CUST0025,50000,27950.54,6145.78,Approved,E002
SO-26375,2025-10-14,KBD-CUST0020,50000,26791.33,152.17,Approved,E002
SO-26379,2025-07-16,KBD-CUST0028,25000,10253.18,15461.21,Approved,E002
SO-26381,2026-03-11,KBD-CUST0020,50000,4654.73,30878.95,Approved,E002
SO-26389,2025-12-02,KBD-CUST0005,50000,10655.03,11986.17,Approved,E002
SO-26396,2025-05-12,KBD-CUST0025,50000,19154.86,1679.42,Approved,E002
SO-26397,2026-03-14,KBD-CUST0028,25000,16488.33,14289.39,Approved,E002
SO-26398,2026-02-23,KBD-CUST0020,50000,53343.44,3843.03,Approved,E002
SO-26402,2025-10-12,KBD-CUST0018,25000,1673.94,3943.9,Approved,E002
SO-26403,2026-03-10,KBD-CUST0032,50000,42291.93,3348.48,Approved,E002
SO-26405,2025-09-27,KBD-CUST0014,100000,69555.14,4285.22,Approved,E002
SO-26406,2026-03-19,KBD-CUST0018,25000,9134.65,16370.25,Approved,E002
SO-26410,2026-03-24,KBD-CUST0008,50000,15882.55,1146.84,Approved,E002
SO-26412,2026-01-26,KBD-CUST0025,50000,34869.78,1274.66,Approved,E002
SO-26413,2026-01-06,KBD-CUST0011,25000,21388.19,28356.05,Approved,E002
SO-26419,2025-08-16,KBD-CUST0021,150000,62035.62,4565.48,Approved,E002
SO-26421,22-Apr-2025,KBD-CUST0017,25000,4104.39,40346.11,Approved,E002
SO-26423,2025-04-07,KBD-CUST0013,150000,56085.92,11440.78,Approved,E002
SO-26424,2025-08-18,KBD-CUST0005,50000,52946.59,15416.82,Approved,E002
SO-26425,2025-06-25,KBD-CUST0005,50000,28962.33,290.98,Approved,E002
SO-26426,07/29/25,KBD-CUST0028,25000,9203.89,15233.84,Approved,E002
SO-26427,2025-07-07,KBD-CUST0021,150000,135558.14,1069.25,Approved,E002
SO-26428,2025-08-07,KBD-CUST0017,25000,27008.01,36225.32,Approved,E002
SO-26429,2025-12-24,KBD-CUST0017,25000,7535.51,1551.1,Approved,E002
SO-26431,2025-04-07,KBD-CUST0027,50000,36549.59,56633.56,Approved,E002
SO-26432,2025-08-14,KBD-CUST0020,50000,36800.7,14204.96,Approved,E002
SO-26436,2025-07-07,KBD-CUST0010,250000,59985.73,5008.48,Approved,E002
SO-26437,2025-09-11,KBD-CUST0005,50000,17196.9,21691.14,Approved,E002
SO-26439,2025-04-24,KBD-CUST0008,50000,13842.19,25100.46,Approved ,E002
SO-26441,2025-09-23,KBD-CUST0023,50000,48327.61,19247.81,Approved,E002
SO-26442,"Mar 24, 2026",KBD-CUST0020,50000,54221.13,10493.95,Approved,E002
SO-26444,2026-02-14,KBD-CUST0005,50000,24065.74,27864.63,Approved,E002
SO-26445,09/26/2025,KBD-CUST0020,50000,49552.74,14262.35,Approved,E002
SO-26449,2025-07-08,KBD-CUST0028,25000,728.39,7597.32,Approved,E002
SO-26450,2025-08-28,KBD-CUST0017,25000,18532.05,832.95,Approved,E002
SO-26451,2025-12-08,KBD-CUST0022,75000,27115.67,473.0,Approved,E002
SO-26452,2025-11-05,KBD-CUST0020,50000,2257.49,11168.79,Approved,E002
SO-26455,2025-06-28,KBD-CUST0010,250000,264240.84,11024.18,Approved,E002
SO-26458,2026-02-06,KBD-CUST0017,25000,2097.21,23581.11,Approved,E002
SO-26459,2026-01-28,KBD-CUST0005,50000,50060.2,18339.15,Approved,E002
SO-26462,2025-05-18,KBD-CUST0027,50000,42719.61,4910.52,Approved,E002
SO-26463 ,2026-03-26,KBD-CUST0018,25000,3187.33,14432.08,Approved,E002
SO-26464,2025-04-20,KBD-CUST0022,75000,65127.61,9156.82,Approved,E002
SO-26465,2025-09-12,KBD-CUST0023,50000,25687.25,18792.08,Approved,E002
SO-26467,2025-10-23,KBD-CUST0023,50000,32923.27,51597.42,Approved,E002
SO-26469,2025-08-17,KBD-CUST0018,25000,9728.74,1020.11,Approved,E002
SO-26470,2025-12-03,KBD-CUST0023,50000,19023.53,8492.74,Approved,E002
SO-26472,2026-01-04,KBD-CUST0008,50000,25483.28,67315.01,Approved,E002
SO-26474,2025-05-23,KBD-CUST0023,50000,2889.7,10220.35,Approved,E002
SO-26476,2025-07-07,KBD-CUST0018,25000,14309.48,9214.75,Approved,E002
SO-26480,2026-03-04,KBD-CUST0020,50000,11594.24,27824.61,Approved,E002
SO-26483,2025-05-25,KBD-CUST0006,150000,71819.77,703.78,Approved,E002
SO-26484,2026-03-13,KBD-CUST0006,150000,79509.59,8632.12,Approved,E002
SO-26486,2025-10-13,KBD-CUST0005,50000,11530.41,2707.25,Approved,E002
SO-26494,2025-10-02,KBD-CUST0005,50000,6203.99,23254.99,Approved,E002
SO-26496,2025-07-31,KBD-CUST0029 ,100000,3061.43,16798.54,Approved,E002
SO-26497,2026-01-22,KBD-CUST0026,100000,45815.92,15956.34,Approved,E002
SO-26498,09/15/2025,KBD-CUST0015,100000,52284.85,27235.43,Approved,E002
SO-26499,2025-10-30,KBD-CUST0023,50000,50530.18,15010.88,Approved,E002
SO-26502,2025-08-19,KBD-CUST0028,25000,10352.18,249.88,Approved,E002
SO-26504,2025-12-20,KBD-CUST0021,150000,118166.34,2108.6,Approved,E002
SO-26505,2025-09-30,KBD-CUST0008,50000,41776.72,40805.47,Approved,E002
SO-26507,2025-08-29,KBD-CUST0028,25000,9458.23,3799.51,Approved,E002
SO-26508,2025-10-03,KBD-CUST0020,50000,40793.63,11788.41,Approved,E002
SO-26510,2026-01-31,KBD-CUST0010,250000,45362.06,18935.82,Approved,E002
SO-26512,2026-02-13,KBD-CUST0031,250000,66980.53,51420.28,Approved,E002
SO-26513,2025-09-05,KBD-CUST0027,50000,16362.13,13739.09,Approved,E002
SO-26516,2025-08-28,KBD-CUST0030,150000,71514.37,550.5,Approved,E002
SO-26519,2025-07-23,KBD-CUST0023,50000,28598.88,33947.99,Approved,E002
