Quote Id,Line,Item Id,Qty,Unit Price,Lead Time Days
Q-26066,5,GEAR-1084,3,4999.65,26
Q-26067,1,SPRO-1041,10,64.34,28
Q-26067,2,AC-1054,2,2688.01,5
Q-26067,3,SPRO-1069,3,202.59,22
Q-26067,4,AC-1085,5,534.01,13
Q-26067,5,SHEA-1045,50,61.51,17
Q-26068,1,TIMI-1000,100,56.02,10
Q-26068,2,AC-1006,3,3336.39,14
Q-26069,1,GEAR-1084,1,4846.0,30
Q-26070,1,MOUN-1008,12,115.94,29
Q-26070,2,TIMI-1017,200,71.27,16
Q-26071,1,TIMI-1056,50,22.86,12
Q-26072,1,TIMI-1058,6,127.57,29
Q-26072,2,ROLL-1012,4,59.14,24
Q-26072,3,SHEA-1028,3,500.18,15
Q-26072,4,GEAR-1073 ,1,2781.13,7
Q-26073,1,CONV-1051,1,5248.35,13
Q-26073,2,CONV-1022,2,2783.03,13
Q-26073,3,SPRO-1041,1,61.12,7
Q-26074,1,SPRO-1009,4,35.01,30
Q-26074,2,SPRO-1011,1,183.62,23
Q-26075,1,TIMI-1056,6,26.49,15
Q-26075,2,ROLL-1044,3,241.9,12
Q-26075,3,ROLL-1079,5,160.9,15
Q-26075,4,SPRO-1009,4,40.56,17
Q-26075,5,SHEA-1007,2,201.21,20
Q-26076,1,CONV-1089,5,7019.91,7
Q-26076,2,TIMI-1014,1,75.71,5
Q-26076,3,SPRO-1076,1,17.16,4
Q-26076,4,SKF-6205-2RS1,50,4.6,24
Q-26076,5,MOUN-1062,3,199.14,17
Q-26077,1,TIMI-1020,100,69.3,11
Q-26077,2,SPRO-1061,100,109.19,6
Q-26077,3,CONV-1039,1,8688.61,16
Q-26078,1,MOUN-1034,2,42.77,29
Q-26078,2,SPRO-1015,4,99.19,24
Q-26078,3,AC-1063,2,2135.12,19
Q-26079,1,SHEA-1082,1,285.52,5
Q-26079,2,SPRO-1011,2,201.54,30
Q-26079,3,SPRO-1002,1,85.33,20
Q-26079,4,SPRO-1011,5,201.54,3
Q-26079,5,SHEA-1007,1,190.62,23
Q-26080,1,ROLL-1053,6,129.24,18
Q-26080,2,SPRO-1078,4,117.76,6
Q-26081,1,SPRO-1087,100,65.04,26
Q-26082,1,SHEA-1064,1,216.6,16
Q-26082,2,SHEA-1038,1,482.49,25
Q-26083,1,GEAR-1016,1,3375.24,27
Q-26083,2,CONV-1023,3,6500.83,13
Q-26083,3,CONV-1022,1,2929.51,6
Q-26083,4,TIMI-1056,2,27.88,19
Q-26083,5,SPRO-1009,4,42.7,10
Q-26084,1,CONV-1065,1,4551.33,11
Q-26084,2,CONV-1023,5,5558.21,5
Q-26084,3,SPRO-1061,25,115.25,16
Q-26084,4,SHEA-1072,2,128.69,21
Q-26085,1,TIMI-1071,10,107.11,8
Q-26085,2,GEAR-1084,1,5318.78,27
Q-26085,3,SPRO-1011,2,201.54,25
Q-26086,1,SHEA-1003,3,246.27,22
Q-26086,2,SHEA-1077,10,98.66,14
Q-26086,3,MOUN-1018,1,139.38,13
Q-26087,1,MOUN-1081,200,74.96,13
Q-26087,2,SPRO-1041,50,57.91,9
Q-26087,3,CONV-1043,1,2484.13,15
Q-26087,4,SPRO-1087,1,58.54,11
Q-26088,1,CONV-1051,1,6138.42,16
Q-26088,2,SPRO-1002,10,94.81,20
Q-26089,1,ROLL-1021,25,126.68,20
Q-26089,2,GEAR-1080,3,2093.5,14
Q-26090,1,CONV-1013,2,4194.61,15
Q-26090,2,CONV-1065,5,4551.33,25
Q-26090,3,SHEA-1082,2,301.38,11
Q-26090,4,ROLL-1026,5,225.86,5
Q-26091,1,ROLL-1026,1,225.86,7
Q-26091,2,ROLL-1026,1,196.5,20
Q-26091,3,SHEA-1028,1,500.18,30
Q-26091,4,TIM-LM11949-LM11910,100,9.46,14
Q-26092,1,CONV-1043,2,2484.13,3
Q-26093,1,SHEA-1035,1,197.53,10
Q-26093,2,CONV-1043,1,2622.13,8
Q-26093,3,MOUN-1018,1,183.5,22
Q-26093,4,SKF-6308-2Z,4,12.66,23
Q-26094,1,CONV-1013,5,3973.84,20
Q-26094,2,SHEA-1003,5,290.65,16
Q-26094,3,SPRO-1078,12,111.56,30
Q-26094,4,SPRO-1011,5,201.54,5
Q-26094,5,CONV-1051,3,5524.58,26
Q-26095,1,SHEA-1003,1,235.68,25
Q-26095,2,AC-1057,3,963.43,25
Q-26095,3,SPRO-1004,25,46.37,7
Q-26096,1,AC-1040,1,800.8,11
Q-26096,2,SHEA-1028,1,473.86,29
Q-26097,1,CONV-1022,5,2636.56,26
Q-26097,2,AC-1040,1,800.8,8
Q-26097,3,SHEA-1019,4,157.35,27
Q-26097,4,SHEA-1072,1,133.97,27
Q-26097,5,SHEA-1072,5,133.97,11
Q-26098,1,SPRO-1027,25,91.94,5
Q-26098,2,CONV-1065,3,4311.78,28
Q-26099,1,MOUN-1034,25,42.77,21
Q-26100,1,SHEA-1077,6,114.3,26
Q-26100,2,MOUN-1083,100,131.75,27
Q-26100,3,SHEA-1028,5,500.18,9
Q-26101,1,ROLL-1053,25,136.04,18
Q-26101,2,MOUN-1008,10,122.04,22
Q-26102,1,ROLL-1012,50,62.25,3
Q-26102,2,ROLL-1044,2,254.63,21
Q-26102,3,MOUN-1031,12,58.56,22
Q-26102,4,SHEA-1064,3,228.0,15
Q-26103,1,SHEA-1049,3,277.65,15
Q-26104,1,MOUN-1034,200,42.77,13
Q-26104,2,SPRO-1087,200,61.79,23
Q-26104,3,SHEA-1025,1,251.55,3
Q-26104,4,SHEA-1072,3,141.42,3
Q-26104,5,GAT-B62,25,18.58,19
Q-26105,1,SHEA-1088,5,247.45,12
Q-26105,2,MOUN-1018,2,158.39,26
Q-26105,3,SPRO-1087,200,53.33,14
Q-26105,4,ROLL-1026,5,194.96,23
Q-26105,5,SHEA-1088,5,247.45,26
Q-26106,1,SHEA-1088,3,247.45,24
Q-26106,2,ROLL-1079,2,138.88,14
Q-26107,1,SPRO-1004,2,53.72,19
Q-26107,2,GEAR-1066,5,1677.06,3
Q-26108,1,SPRO-1050,10,16.19,9
Q-26108,2,SPRO-1047,100,21.2,30
Q-26108,3,AC-1085,1,480.61,5
Q-26108,4,SHEA-1007,3,190.62,25
Q-26109,1,AC-1063,5,1842.95,4
Q-26110,1,GEAR-1010,1,4602.2,4
Q-26111,1,SHEA-1068,1,290.24,26
Q-26111,2,MOUN-1008,200,115.94,8
Q-26112,1,AC-1057,3,1116.16,14
Q-26112 ,2,GEAR-1084,1,5614.27,5
Q-26112,3,SHEA-1037,50,162.8,29
Q-26112,4,MOUN-1034,12,42.77,22
Q-26112,5,GEAR-1016,3,3206.48,30
Q-26113,1,TIMI-1020,25,73.15,6
Q-26113,2,ROLL-1079,5,160.9,28
Q-26113,3,SHEA-1045,1,67.94,25
Q-26113,4,GEAR-1067,1,667.19,21
Q-26114,1,SPRO-1069,1,202.59,13
Q-26114,2,TIMI-1020,50,77.0,10
Q-26114,3,TIMI-1058,1,134.28,20
Q-26115,1,GEAR-1016,5,3375.24,28
Q-26115,2,CONV-1022,5,2929.51,7
Q-26115,3,GEAR-1060,1,4932.86,11
Q-26115,4,TIMI-1075,6,106.96,9
Q-26115,5,AC-1006,1,3707.1,23
Q-26116,1,CONV-1013,3,4415.38,10
Q-26116,2,AC-1085,2,534.01,18
Q-26116,3,SPRO-1061,12,121.32,7
Q-26116,4,SKF-6308-2Z,4,13.33,16
Q-26116,5,TIMI-1000,50,62.25,19
Q-26117,1,SPRO-1004 ,25,53.72,24
Q-26117,2,TIMI-1017,10,71.27,13
Q-26117,3,CONV-1043,3,2622.13,23
Q-26117,4,SPRO-1070,100,38.17,24
Q-26118,1,TIMI-1030,6,100.01,4
Q-26118 ,2,SPRO-1078,100,111.56,29
Q-26118,3,ROLL-1012,1,56.02,20
Q-26118,4,AC-1054,1,2419.21,23
Q-26119,1,CONV-1065 ,5,4790.87,6
Q-26119,2,TIMI-1056,25,27.88,27
Q-26119,3,ROLL-1079,2,169.37,11
Q-26119,4,SHEA-1028,1,416.83,24
