So Number,Line,Item Id,Description,Qty,Uom,Price,Extended Price,Cost,Price Source,Requested Date,Promised Date,Shipped Qty,Line Status,Ship To Id
SO-26018,2,SHEA-1025,Sheave / Pulley size 4,5,EA,251.55,1257.75,153.95000000000002,Price List B,2026-01-20,2026-01-21,0,Open,KBD-CUST0027-S1
SO-26018,3,ROLL-1044,Roller Chain ANSI #80,3,EA,241.9,725.7,140.68,Price List B,2026-01-30,2026-02-06,3,Shipped,KBD-CUST0027-S1
SO-26018,4,MOUN-1034,Mounted Ball Bearing Unit M12,1,EA,42.77,42.77,23.82,Price List B,"Jan 08, 2026",09-Jan-2026,1,Shipped,KBD-CUST0027-S1
SO-26019,1,GEAR-1073,Gear Reducer 5/16-18,5,EA,2781.13,13905.65,1938.75,Price List B,2026-03-15,2026-03-18,5,Shipped,KBD-CUST0030-S1
SO-26019,2,CONV-1089,Conveyor Drive Package #60,3,EA,7409.9,22229.7,5864.59,Price List B,2026-03-02,2026-03-05,0,Open,KBD-CUST0030-S1
SO-26019,3,SPRO-1027,Sprocket 1/4-20,2,EA,97.04,194.08,77.98,Price List B,03/07/2026,14-Mar-2026,2,Shipped,KBD-CUST0030-S1
SO-26020,1,CONV-1043,Conveyor Drive Package 1.375,3,EA,2484.13,7452.39,1971.53,Price List C,2025-11-04,2025-11-07,3,Shipped,KBD-CUST0025-S1
SO-26020,2,SHEA-1049,Sheave / Pulley size 4,1,EA,249.88,249.88,153.4,Price List C,2025-10-26,2025-11-02,1,Shipped,KBD-CUST0025-S1
SO-26020,3,ROLL-1053,Roller Chain ANSI #80,2,EA,104.07,208.14,86.10000000000001,Manual override,2025-10-28,2025-10-28,2,Shipped,KBD-CUST0025-S1
SO-26020,4,MOUN-1008,Mounted Ball Bearing Unit #60,2,EA,109.84,219.68,71.79,Price List C,2025-10-28,2025-10-28,2,Shipped,KBD-CUST0025-S1
SO-26020,5,SPRO-1076,Sprocket 5/16-18,1,EA ,17.16,17.16,13.24,Price List C,2025-11-07,2025-11-07,1,Shipped,KBD-CUST0025-S1
SO-26021,1,SPRO-1070,Sprocket M12,4,EA,36.16,144.64,22.96,Price List C,2025-08-14,"Aug 14, 2025",4,Shipped,KBD-CUST0026-S1
SO-26021,2,GAT-B62,Hi-Power II V-belt B62,200,EA,17.6,3520.0,12.7,Price List C,2025-08-27,2025-08-27,200,Shipped,KBD-CUST0026-S1
SO-26022,1,SHEA-1003,Sheave / Pulley #50,3,EA,313.25,939.75,235.72,Manual override,2025-10-07,2025-10-14,3,Shipped,KBD-CUST0019-S1
SO-26022,2,SPRO-1041,Sprocket M6,100,EA,64.34,6434.0,35.35,Price List A,2025-10-11,2025-10-11,100,Shipped,KBD-CUST0019-S1
SO-26022,3,SHEA-1007,Sheave / Pulley 2.000,3,EA,211.8,635.4,129.94,Price List A,2025-09-30,2025-09-30,3,Shipped,KBD-CUST0019-S1
SO-26022,4,SHEA-1003,Sheave / Pulley #50,1,EA,322.94,322.94,235.72,Price List A,2025-09-30,2025-09-30,1,Shipped,KBD-CUST0019-S1
SO-26023,1,SHEA-1082,Sheave / Pulley 1/4-20,1,EA,301.38,301.38,186.61,Price List B,2025-06-10,2025-06-10,0,Open,KBD-CUST0006-S1
SO-26023,2,SHEA-1037,Sheave / Pulley 1.375,100,EA,162.8,16280.0,99.06,Price List B,2025-06-09,2025-06-12,100,Shipped,KBD-CUST0006-S1
SO-26023,3,TIMI-1056,Timing Belt 5/16-18,100,EA,26.49,2649.0,17.21,Price List B,2025-06-23,2025-06-30,100,Shipped,KBD-CUST0006-S1
SO-26023,4,GEAR-1010,Gear Reducer 1.375,1,EA,4602.2,4602.2,2784.15,Price List B,2025-06-09,2025-06-12,1,Shipped,KBD-CUST0006-S1
SO-26024,1,AC-1054,AC Motor TEFC 1.500,3,EA,2204.17,6612.51,1828.58,Price List D,2025-06-05,2025-06-05,0,Open,KBD-CUST0004-S1 
SO-26024,2,AC-1057,AC Motor TEFC M10,1,EA,963.43,963.43,687.08,Price List D,2025-06-04,2025-06-07,1,Shipped,KBD-CUST0004-S1
SO-26024,3,CONV-1043,Conveyor Drive Package 1.375,2,EA,2263.31,4526.62,1971.53,Price List D,2025-05-15,05/18/25,2,Shipped,KBD-CUST0004-S1
SO-26024,4,SHEA-1049,Sheave / Pulley size 4,3,EA,227.67,683.01,153.4,Price List D,2025-05-17,2025-05-18,3,Shipped,KBD-CUST0004-S1
SO-26025,1,SPRO-1070,Sprocket M12,12,EA,38.17,458.04,22.96,Price List B,2025-11-25,2025-11-28,12,Shipped,KBD-CUST0023-S1
SO-26025,2,TIMI-1000,Timing Belt 1.500 ,200,EA,59.14,11828.0,43.53,Price List B,2025-12-03,2025-12-03,200,Shipped,KBD-CUST0023-S1
SO-26025,3,CONV-1052,Conveyor Drive Package size 4,1,EA,3843.03,3843.03,2311.6,Price List B,03-Dec-2025,2025-12-03,1,Shipped,KBD-CUST0023-S1
SO-26025,4,AC-1063,AC Motor TEFC 3/4-10,3,EA,2135.12,6405.36,1677.24,Price List B,2025-12-02,2025-12-09 ,3,Shipped,KBD-CUST0023-S1
SO-26025,5,CONV-1022,Conveyor Drive Package 1.375,1,EA,2783.03,2783.03,2154.05,Price List B,2025-12-02,12/02/2025,0,Open,KBD-CUST0023-S1
SO-26026,1,DOD-TXT315,Torque-Arm II shaft-mount reducer 15:1,2,EA,1476.18,2952.36,1180.0,Price List C,2025-11-08,2025-11-08,2,Shipped,KBD-CUST0025-S1
SO-26027,1,AC-1057,AC Motor TEFC M10,3,EA,1174.91,3524.73,687.08,Price List A,2025-12-09,2025-12-12,3,Shipped,KBD-CUST0019-S1
SO-26027,2,MOUN-1034,Mounted Ball Bearing Unit M12,1,EA,45.02,45.02,23.82,Price List A,2025-12-08,2025-12-08,1,Shipped,KBD-CUST0019-S1
SO-26027,3,SHEA-1068 ,Sheave / Pulley 1/4-20,3,EA,305.52,916.56,180.78,Price List A,2025-11-27,2025-11-30,3,Shipped,KBD-CUST0019-S1
SO-26027,4,TIMI-1058,Timing Belt M6,1,EA,134.28,134.28,84.45,Price List A,12/03/2025,2025-12-03,1,Shipped,KBD-CUST0019-S1
SO-26028,1,TIMI-1030,Timing Belt 1/2-13,6,EA,105.56,633.36,66.14,Price List B,2026-01-14,2026-01-21,6,Shipped,KBD-CUST0020-S1
SO-26028,2,ROLL-1079,Roller Chain ANSI M8,5,EA ,160.9,804.5,102.65,Price List B,2026-01-02,2026-01-09,5,Shipped,KBD-CUST0020-S1
SO-26028,3,AC-1085,AC Motor TEFC M6,1,EA,507.31,507.31,365.76,Price List B,25-Jan-2026,2026-02-01,1,Shipped,KBD-CUST0020-S1
SO-26028,4,MOUN-1008,Mounted Ball Bearing Unit #60,10,EA,115.94,1159.4,71.79,Price List B,2026-01-18,2026-01-25,10,Shipped,KBD-CUST0020-S1
SO-26029,1,SPRO-1015,Sprocket 3/8-16,6,EA,104.41,626.46,74.58,Price List A,2025-09-13,2025-09-13,6,Shipped,KBD-CUST0019-S1
SO-26030,1,SPRO-1087,Sprocket 1/2-13,200,EA,61.79,12358.0,44.550000000000004,Price List B,2025-11-26,2025-12-03,200,Shipped,KBD-CUST0007-S1
SO-26030,2,CONV-1052,Conveyor Drive Package size 4,2,EA,3843.03,7686.06,2311.6,Price List B,2025-11-23,2025-11-24,2,Shipped,KBD-CUST0007-S1
SO-26030,3,MOUN-1083,Mounted Ball Bearing Unit size 8,200,EA,131.75,26350.0,87.77,Price List B,2025-11-16,2025-11-16,200,Shipped,KBD-CUST0007-S1
SO-26031,1,GEAR-1084,Gear Reducer M6,1,EA,5318.78,5318.78,3456.0,Price List C,2025-08-30,2025-08-30,1,Shipped,KBD-CUST0013-S1
SO-26032,1,AC-1040,AC Motor TEFC #50,5,EA,800.8,4004.0,609.44,Price List C,"Aug 19, 2025",2025-08-20,5,Shipped,KBD-CUST0025-S1
SO-26033,1,SPRO-1070,Sprocket M12,10,EA,38.17,381.7,22.96,Price List B,2026-01-14,2026-01-17,10,Shipped,KBD-CUST0007-S1
SO-26033,2,SHEA-1028,Sheave / Pulley #80,2,EA,500.18,1000.36,284.6,Price List B,2026-02-05,2026-02-06,2,Shipped,KBD-CUST0007-S1
SO-26034,1,SKF-6205-2RS1,"Deep groove ball bearing 25x52x15, sealed",10,EA,5.11,51.1,3.55,Price List A,2025-12-09,2025-12-12,10,Shipped,KBD-CUST0008-S1
SO-26035,1,TIMI-1058,Timing Belt M6,6,EA,110.11,660.66,84.45,Price List D,2025-10-04,2025-10-04 ,6,Shipped,KBD-CUST0011-S1
SO-26036,1,TIMI-1058,Timing Belt M6,4,EA,120.85,483.4,84.45,Price List C,2026-01-14,21-Jan-2026,4,Shipped,KBD-CUST0031-S1
SO-26036,2,GEAR-1010,Gear Reducer 1.375,1,EA,4359.98,4359.98,2784.15,Price List C,2026-01-24,2026-01-27,1,Shipped,KBD-CUST0031-S1
SO-26037 ,1,TIMI-1000,Timing Belt 1.500,100,EA,53.53,5353.0,43.53,Manual override,2026-01-17,2026-01-17,100,Shipped,KBD-CUST0008-S1
SO-26037,2,SHEA-1007,Sheave / Pulley 2.000,2,EA,211.8,423.6,129.94,Price List A,2026-01-24,01/27/2026,2,Shipped,KBD-CUST0008-S1
SO-26038,1,AC-1054,AC Motor TEFC 1.500,3,EA,2688.01,8064.03,1828.58,Price List A,2026-04-12,2026-04-12,0,Open,KBD-CUST0019-S1
SO-26038,2,CONV-1042,Conveyor Drive Package 2.000,3,EA,7636.18,22908.54,5159.58,Price List A ,2026-04-13,2026-04-14,0,Open,KBD-CUST0019-S1
SO-26038,3,TIMI-1000,Timing Belt 1.500,25,EA,62.25,1556.25,43.53,Price List A,2026-03-23,2026-03-23,25,Shipped,KBD-CUST0019-S1
SO-26038,4,ROLL-1026,Roller Chain ANSI #50,1,EA,237.75,237.75,129.92000000000002,Price List A,2026-04-15,2026-04-15,0,Open,KBD-CUST0019-S1
SO-26039,1,AC-1054,AC Motor TEFC 1.500,1,EA,2553.61,2553.61,1828.58,Price List B,2025-12-24,2025-12-24,1,Shipped,KBD-CUST0007-S1
SO-26039,2,AC-1040,AC Motor TEFC #50,5,EA,845.29,4226.45,609.44,Price List B,2026-01-12,01/13/2026,5,Shipped,KBD-CUST0007-S1
SO-26040,1,SPRO-1027,Sprocket 1/4-20,50,EA,83.76,4188.0,77.98,Price List D,2025-12-06,2025-12-06,50,Shipped,KBD-CUST0014-S1
SO-26040,2,ROLL-1021,Roller Chain ANSI 5/16-18,4,EA,126.68,506.72,81.74,Price List D,2025-11-18,2025-11-25,4,Shipped,KBD-CUST0014-S1
SO-26040,3,CONV-1046,Conveyor Drive Package 1/4-20,3,EA,8454.0,25362.0,7311.89,Price List D,2025-11-15,2025-11-15,3,Shipped,KBD-CUST0014-S1
SO-26040 ,4,CONV-1059,Conveyor Drive Package 1/4-20,3,EA,4543.16,13629.48,3693.63,Price List D,2025-11-27,2025-11-30,3,Shipped,KBD-CUST0014-S1
SO-26040,5,AC-1033,AC Motor TEFC 3/4-10,1,EA,1183.36,1183.36,1093.27,Price List D,2025-11-26,11/27/2025,1,Shipped,KBD-CUST0014-S1
SO-26041,1,BRI-HHCS-0500-13-200-G8,"Hex head cap screw 1/2-13 x 2 Gr 8 yellow zinc, 50/bx",12,BX,56.79,681.48,44.75,Price List C,2025-09-14,2025-09-14,12,Shipped,KBD-CUST0026-S1
SO-26041,2,AC-1048,AC Motor TEFC M6,5,EA,2277.84,11389.2,1745.47,Price List C,2025-09-13,2025-09-13,5,Shipped,KBD-CUST0026-S1
SO-26041,3,SHEA-1064,Sheave / Pulley M12,3,EA ,205.2,615.6,139.88,Price List C,2025-10-02,10/09/2025 ,3,Shipped,KBD-CUST0026-S1
SO-26041,4,ROLL-1044,Roller Chain ANSI #80,1,EA,229.17,229.17,140.68,Price List C,2025-09-21,2025-09-21,1,Shipped,KBD-CUST0026-S1
SO-26041,5,MOUN-1029,Mounted Ball Bearing Unit 1.500,50,EA,129.68,6484.0,86.28,Price List C,2025-09-26,2025-09-26,50,Shipped,KBD-CUST0026-S1
SO-26042,1,SHEA-1038,Sheave / Pulley 2.000,2,EA,416.46,832.92,295.28000000000003,Price List D,2026-02-23,2026-02-23,2,Shipped,KBD-CUST0014-S1
SO-26042,2,ROLL-1044,Roller Chain ANSI #80,2,EA,208.8,417.6,140.68,Price List D,2026-03-06,2026-03-07,2,Shipped,KBD-CUST0014-S1
SO-26042,3,AC-1006,AC Motor TEFC 1.250,1,EA,3039.82,3039.82,2130.52,Price List D,2026-03-11,2026-03-11,1,Shipped,KBD-CUST0014-S1
SO-26043,1,CONV-1022,Conveyor Drive Package 1.375,1,EA,2234.05,2234.05,2154.05,Manual override,2025-09-17,2025-09-17,1,Shipped,KBD-CUST0004-S1
SO-26043,2,SHEA-1082,Sheave / Pulley 1/4-20,1,EA,260.14,260.14,186.61,Price List D,2025-10-07,2025-10-07,1,Shipped,KBD-CUST0004-S1
SO-26043,3,SKF-6308-2Z,"Deep groove ball bearing 40x90x23, shielded",6,EA,9.6,57.6,10.25,KBD-CPA022,2025-09-16,2025-09-23,6,Shipped,KBD-CUST0004-S1
SO-26043,4,DOD-TXT315,Torque-Arm II shaft-mount reducer 15:1,1,EA,1344.96,1344.96,1180.0,Price List D,2025-09-18,2025-09-19,1,Shipped,KBD-CUST0004-S1
SO-26044,1,MOUN-1029,Mounted Ball Bearing Unit 1.500,200,EA,114.12,22824.0,86.28,Manual override,2026-03-16,2026-03-19,200,Shipped,KBD-CUST0025-S1
SO-26045,1,CONV-1046,Conveyor Drive Package 1/4-20,1,EA,9794.27,9794.27,7311.89,Price List B,2025-11-25,2025-11-25,1,Shipped,KBD-CUST0030-S1
SO-26045,2,CONV-1051,Conveyor Drive Package 1/4-20,2,EA,5831.5,11663.0,4147.58,Price List B,2025-11-19,2025-11-20,2,Shipped,KBD-CUST0030-S1
SO-26045,3,SHEA-1088,Sheave / Pulley 1/4-20,5,EA,269.48,1347.4,189.79,Manual override,2025-11-12,2025-11-12,5,Shipped,KBD-CUST0030-S1
SO-26045,4,CONV-1052,Conveyor Drive Package size 4,2,EA,3843.03,7686.06,2311.6,Price List B,2025-11-22,11/22/25,0,Open,KBD-CUST0030-S1
SO-26045,5,AC-1085,AC Motor TEFC M6,3,EA,507.31,1521.93,365.76,Price List B,2025-11-26,2025-12-03,3,Shipped,KBD-CUST0030-S1
SO-26046,1,SHEA-1038,Sheave / Pulley 2.000,5,EA,482.49,2412.45,295.28000000000003,Price List B,2025-09-25,2025-10-02,5,Shipped,KBD-CUST0030-S1
SO-26046,2,CONV-1022,Conveyor Drive Package 1.375,5,EA,2783.03,13915.15,2154.05,Price List B,2025-09-26,2025-10-03,5,Shipped,KBD-CUST0030-S1
SO-26046,3,SHEA-1007,Sheave / Pulley 2.000,1,EA,201.21,201.21,129.94,Price List B,2025-09-28,2025-10-01,1,Shipped,KBD-CUST0030-S1
SO-26046,4,SHEA-1082,Sheave / Pulley 1/4-20,2,EA,301.38,602.76,186.61,Price List B,2025-09-29 ,2025-09-29,2,Shipped,KBD-CUST0030-S1
SO-26047,1,GEAR-1084,Gear Reducer M6,5,EA,4846.0,24230.0,3456.0,Price List D,05/05/25,05-May-2025,5,Shipped,KBD-CUST0004-S1
SO-26047,2,SPRO-1009,Sprocket size 8,12,EA,35.01,420.12,24.54,Price List D,2025-05-06,2025-05-09,12,Shipped,KBD-CUST0004-S1
SO-26048,1,CONV-1051,Conveyor Drive Package 1/4-20,1,EA,4972.12,4972.12,4147.58,Manual override,2025-06-12,2025-06-13,1,Shipped,KBD-CUST0013-S1
SO-26048,2,SHEA-1019,Sheave / Pulley M8,6,EA,157.35,944.1,94.5,Price List C,2025-06-13,2025-06-20,6,Shipped,KBD-CUST0013-S1
SO-26048,3,TIMI-1032,Timing Belt size 6,25,EA,48.69,1217.25,32.99,Price List C,17-Jun-2025,2025-06-17,25,Shipped,KBD-CUST0013-S1
SO-26049,1,CONV-1039,Conveyor Drive Package 5/8-11,2,EA,7795.61,15591.22,7046.72,Manual override,2025-06-11,06/11/25,2,Shipped,KBD-CUST0022-S1
SO-26049,2,CONV-1043,Conveyor Drive Package 1.375,1,EA,2622.13,2622.13,1971.53,Price List B,2025-05-26,2025-05-26,1,Shipped,KBD-CUST0022-S1
SO-26050,1,CONV-1052,Conveyor Drive Package size 4,2,EA,3843.03,7686.06,2311.6,Price List B,2025-04-26,2025-05-03,2,Shipped,KBD-CUST0022-S1
SO-26050,2,CONV-1052,Conveyor Drive Package size 4,1,EA,3843.03,3843.03,2311.6,Price List B,04/29/25,06-May-2025,1,Shipped,KBD-CUST0022-S1
SO-26050,3,TIMI-1030,Timing Belt 1/2-13,12,EA,105.56,1266.72,66.14,Price List B,2025-04-18,2025-04-21,12,Shipped,KBD-CUST0022-S1
SO-26050,4,SPRO-1015,Sprocket 3/8-16,200,EA,99.19,19838.0,74.58,Price List B,04/29/25,05/02/2025,200,Shipped,KBD-CUST0022-S1
SO-26050,5,SPRO-1002,Sprocket 1/4-20,1,EA ,90.07,90.07,65.84,Price List B,04/19/2025,2025-04-19,1,Shipped,KBD-CUST0022-S1
SO-26051,1,MOUN-1081,Mounted Ball Bearing Unit 5/8-11,50,EA,83.29,4164.5,61.24,Price List A,2025-04-16,2025-04-19,50,Shipped,KBD-CUST0019-S1
SO-26051,2,SPRO-1069,Sprocket #50,1,EA,202.59,202.59,115.11,Price List A,2025-04-19,2025-04-26,1,Shipped,KBD-CUST0019-S1
SO-26051,3,MOUN-1083,Mounted Ball Bearing Unit size 8,50,EA,138.68,6934.0,87.77,Price List A,2025-04-16,"Apr 16, 2025",50,Shipped,KBD-CUST0019-S1
SO-26052,1,CONV-1013,Conveyor Drive Package 1.500,1,EA,3417.5,3417.5,2336.18,Manual override,2025-11-20,2025-11-23,1,Shipped,KBD-CUST0005-S1
SO-26052,2,AC-1086,AC Motor TEFC 5/16-18,3,EA,3341.93,10025.79,2390.86,Manual override,2025-11-18,2025-11-19,3,Shipped,KBD-CUST0005-S1
SO-26052,3,GEAR-1060,Gear Reducer #60,5,EA,4439.57,22197.85,3102.4300000000003,Price List C,2025-11-29,2025-11-29,5,Shipped,KBD-CUST0005-S1
SO-26052,4,CONV-1022,Conveyor Drive Package 1.375,1,EA,2636.56,2636.56,2154.05,Price List C,2025-11-22,2025-11-22,1,Shipped,KBD-CUST0005-S1
