Work Order Id,Item Id,Item Revision,Order Qty,Release Date,Due Date,Demand Source,Planner Id,Status,Completed Qty,Scrap Qty,Std Cost Per Unit,Actual Cost
WO-70029,CONV-1046,A,1,2025-09-02,09/23/25,Stock,E011,Closed,1,0,7311.89,5788.31
WO-70030 ,CONV-1052,C,1,2025-12-27,01/08/2026,Stock,E018 ,Closed,1,0,2311.6,1915.73
WO-70031,CONV-1051,B,2,2025-06-19,2025-07-01,Stock,E019,Closed,2,0,4147.58,12516.91
WO-70032,CONV-1039,B,1,2025-11-23,2025-12-13,Stock,E019,Closed,1,0,7046.72,5041.9
WO-70033,CONV-1052,C,4,2025-12-06,2025-12-22,SO-26001,E024,Closed,4,0,2311.6,7704.43
WO-70034,CONV-1089,B,2,2025-08-28,2025-09-20,Stock ,E024,Closed,2,0,5864.59,28529.7
WO-70035,CONV-1043,C,1,2026-03-18,2026-04-11,SO-26424,E023,Released,0,0,1971.53,
WO-70036,CONV-1065,C,1,2025-12-02,2025-12-19,SO-26247,E024,Closed,1,0,2903.56,7284.69
WO-70037,CONV-1089,B,4,2025-04-03,2025-04-19,Stock,E006,Closed,4,0,5864.59,57616.94
WO-70038,CONV-1039,B,2,2025-08-23,2025-09-06,Stock,E023,Closed,2,0,7046.72,10117.77
WO-70039,CONV-1051,B,1,2026-01-29,2026-02-18,Stock,E034,Closed,1,0,4147.58,6441.57
WO-70040,CONV-1022,B,2,2026-01-02,31-Jan-2026,SO-26059,E027,Closed,2,0,2154.05,15275.13
WO-70041,CONV-1042,B,4,01/15/2026,2026-02-07,Stock,E032,Closed,4,0,5159.58,2554.8
WO-70042,CONV-1059,A,1,2025-09-12,2025-10-12,Stock,E024,Released,0,0,3693.63,
WO-70043,CONV-1022,B,1,2025-04-11,2025-05-10,Stock,E006,Closed,1,0,2154.05,7748.37
WO-70044,CONV-1023,A,1,2026-03-05,2026-04-04,SO-26047,E011,Released,0,0,3652.15,
WO-70045,CONV-1051,B,4,12/28/25,2026-01-13,Stock,E030,Closed,4,0,4147.58,25689.6
WO-70046,CONV-1022,B,4,2025-10-23,2025-11-03,SO-26033,E012,Closed,4,0,2154.05,30638.99
WO-70047,CONV-1042,B,4,2025-11-04,2025-11-16,Stock,E006,In Process,0,1,5159.58,
WO-70048,CONV-1046,A,2,04/23/25 ,2025-05-18,Stock,E020,Released,0,1,7311.89,
WO-70049,CONV-1023,A,4,2026-02-21,2026-03-09,SO-26401,E023,Closed,4,0,3652.15,4328.76
WO-70050,CONV-1051,B,1,2025-06-27,2025-07-27,SO-26374 ,E009,Closed,1,0,4147.58,6454.51
WO-70051,CONV-1051,B,2,2025-11-27,2025-12-09,Stock,E020,Closed,2,0,4147.58,12315.78
WO-70052,CONV-1065,C,2,2025-10-12,2025-10-30,Stock,E009,Closed,2,0,2903.56,14563.64
WO-70053,CONV-1022,B,1,2026-01-10,2026-02-04,SO-26329,E026,Closed ,1,0,2154.05,7618.49
WO-70054,CONV-1089,B,2,2025-05-22 ,2025-06-12,Stock,E021,Closed,2,0,5864.59,29252.9
WO-70055,CONV-1042,B,1,01/28/2026,2026-02-21,SO-26288,E014,Closed,1,0,5159.58,646.27
WO-70056,CONV-1023,A,2,2025-05-05,14-May-2025,Stock,E030,Closed,2,1,3652.15,2166.58
WO-70057,CONV-1051,B,1,2025-09-21,2025-10-13,Stock,E012,Closed,1,0,4147.58,6231.29
WO-70058,CONV-1013,B,1,2025-11-04,11/26/25,SO-26468,E040 ,Closed,1,0,2336.18,10274.78
WO-70059,CONV-1046,A,4,2025-11-07,"Dec 02, 2025",Stock,E022,Closed,4,0,7311.89,23035.14
WO-70060,CONV-1013,B,4,2025-08-12,2025-08-20,SO-26177,E045,Closed,4,0,2336.18,42219.86
