Completion Id,Work Order Id,Completion Date,Item Id,Completed Qty,To Location,Std Cost,Actual Cost,Variance,Received By
CMP-00043,WO-70051,2025-12-13 ,CONV-1051,2,FG-STAGE,8295.16,12315.78,4020.62,E035 
CMP-00044,WO-70052,2025-11-01,CONV-1065,2,FG-STAGE,5807.12,14563.64,8756.52,E034
CMP-00045,WO-70053,02/01/2026,CONV-1022,1,FG-STAGE,2154.05,7618.49,5464.44,E029
CMP-00046,WO-70054,2025-06-18,CONV-1089,2,FG-STAGE,11729.18,29252.9,17523.72,E036
CMP-00047,WO-70055,2026-02-18,CONV-1042,1,FG-STAGE,5159.58,646.27,-4513.31,E032
CMP-00048,WO-70056,2025-05-17,CONV-1023,2,FG-STAGE,7304.3,2166.58,-5137.72,E031
CMP-00049,WO-70057,2025-10-18,CONV-1051,1,FG-STAGE,4147.58,6231.29,2083.71,E039
CMP-00050,WO-70058,2025-11-25,CONV-1013,1,FG-STAGE,2336.18,10274.78,7938.6,E028 
CMP-00051,WO-70059,12/06/2025,CONV-1046,4,FG-STAGE,29247.56,23035.14,-6212.42,E037
CMP-00052,WO-70060,2025-08-18,CONV-1013,4,FG-STAGE,9344.72,42219.86,32875.14,E031
