Work Order Id,Issue Date,Component Item Id,Required Qty,Issued Qty,Uom,Lot Number,Issued By
WO-70024,"Apr 23, 2025",SHEA-1035,2,2.04,EA,,E039
WO-70024,2025-04-24,SHEA-1088,2,2.06,EA,,E030
WO-70024,"Apr 22, 2025",TIMI-1058,1,1.0,EA,,E035
WO-70024,2025-04-24 ,SHEA-1077,2.5,2.6,EA,,E029
WO-70024,2025-04-23,SHEA-1072,1,1.0,EA,,E026
WO-70024,2025-04-23,MOUN-1031,1,1.02,EA,,E029
WO-70025,2025-07-14,SPRO-1061,4,3.96,EA,,E039
WO-70025,2025-07-14,GEAR-1084,8,8.24,EA,,E034
WO-70025,13-Jul-2025,ROLL-1026,8,8.08,EA,,E034
WO-70025,2025-07-12,TIMI-1071,3.0,3.03,EA,,E030
WO-70025,2025-07-14,BRI-HHCS-0500-13-200-G8,3.0,3.03,BX,,E036
WO-70026,2025-06-15,SHEA-1035,2,2.04,EA,,E033
WO-70026,2025-06-15,SHEA-1088,2,2.08,EA,,E036 
WO-70026,2025-06-15,TIMI-1058,1,1.05,EA,,E039
WO-70026,2025-06-15,SHEA-1077,2.5,2.48,EA,,E039
WO-70026,2025-06-15,SHEA-1072,1,0.99,EA,,E037
WO-70026,2025-06-17,MOUN-1031,1,1.04,EA,,E032
WO-70027,2025-09-03,GEAR-1066,8,7.92,EA,,E038
WO-70027,2025-09-02,SHEA-1003,5.0,4.95,EA,,E039
WO-70027,2025-09-04,SPRO-1055,2,2.0,EA,,E037
WO-70027,2025-09-02,GEAR-1024,1.5,1.56,EA,,E032
WO-70028,2026-02-24,TIMI-1014,2.5,2.52,EA,,E039
WO-70028,2026-02-25,SPRO-1050,1,1.04,EA,,E031
WO-70028,2026-02-24,AC-1086,4,4.12,EA,,E036
WO-70028,2026-02-26,ROLL-1053,2.5,2.5,EA,,E027
WO-70028,2026-02-24,GEAR-1016,2,1.98,EA,,E030
WO-70029,09/03/25,AC-1057 ,2,2.04,EA,,E033 
WO-70029,2025-09-03,GEAR-1084,1,1.05,EA,,E027
WO-70029,2025-09-02,MOUN-1062,4,4.04,EA,,E027
WO-70029,2025-09-02,TIMI-1058,2.5,2.48,EA,,E036
WO-70030,2025-12-27,SHEA-1049,4,4.12,EA,,E033
WO-70030,2025-12-27,TIMI-1000,1,1.02,EA,,E035
WO-70030,2025-12-28,SPRO-1055,2,1.98,EA,,E038
WO-70030,"Dec 28, 2025",SHEA-1037,2,2.04,EA,,E033
WO-70030,2025-12-29,GEAR-1001,1,1.01,EA,,E037
WO-70031,20-Jun-2025,GEAR-1066,8,8.08,EA,,E029
WO-70031,2025-06-21,SHEA-1003,5.0,4.9,EA,,E031
WO-70031,2025-06-21,SPRO-1055,2,2.06,EA,,E035
WO-70031,2025-06-19,GEAR-1024,1.5,1.52,EA,,E037
WO-70032,2025-11-25,TIMI-1014,0.75,0.77,EA,,E026
WO-70032,2025-11-24,AC-1063,1,1.02,EA,,E032
WO-70032 ,2025-11-24,AC-1074,2,1.98,EA,,E026
WO-70033,2025-12-06,SHEA-1049,16,16.16,EA,,E029 
WO-70033,2025-12-07,TIMI-1000,4,4.04,EA,,E036
WO-70033,2025-12-08,SPRO-1055,8,8.16,EA,,E032
WO-70033,2025-12-08,SHEA-1037,8,8.24,EA,,E032
WO-70033,2025-12-08,GEAR-1001,4,4.12,EA,,E027
WO-70034,2025-08-30,TIMI-1014,5.0,5.2,EA,,E032
WO-70034,2025-08-30,SPRO-1050,2,2.06,EA,,E028
WO-70034,2025-08-29,AC-1086,8,7.92,EA,,E026
WO-70034 ,2025-08-30,ROLL-1053,5.0,5.0,EA,,E030
WO-70034,2025-08-29,GEAR-1016,4,3.92,EA,,E031
WO-70035,03/18/2026,SHEA-1045,1,1.02,EA,,E036
WO-70035,03/18/26 ,SKF-6205-2RS1,1,1.04,EA,,E037
WO-70035,"Mar 19, 2026",SHEA-1077,1,1.05,EA,,E039
WO-70035,03/19/2026,GEAR-1066,1,1.01,EA,,E035
WO-70036,2025-12-04,SPRO-1061,1,1.0,EA,,E028
WO-70036,2025-12-03,GEAR-1084,2,1.98,EA,,E035
WO-70036,2025-12-04,ROLL-1026,2,2.02,EA,,E026
WO-70036,2025-12-03,TIMI-1071,0.75,0.77,EA,,E031
WO-70036,2025-12-03,BRI-HHCS-0500-13-200-G8,0.75,0.77,BX,,E027
WO-70037,04/05/25,TIMI-1014,10.0,10.2,EA,,E034
WO-70037 ,2025-04-03,SPRO-1050,4,3.96,EA,,E027
WO-70037,2025-04-04,AC-1086,16,15.84,EA,,E037
WO-70037,2025-04-03,ROLL-1053,10.0,10.3,EA,,E036
WO-70037,2025-04-03,GEAR-1016,8,8.08,EA,,E032
WO-70038,2025-08-25,TIMI-1014,1.5,1.56,EA,,E031
WO-70038,2025-08-23,AC-1063,2,2.02,EA,,E031
WO-70038,08/23/25,AC-1074,4,4.0,EA,,E036
WO-70039,01/30/2026,GEAR-1066,4,4.16,EA,,E035
WO-70039,2026-01-29,SHEA-1003,2.5,2.55,EA,,E032
WO-70039,2026-01-31,SPRO-1055,1,1.04,EA,,E034
WO-70039,2026-01-31,GEAR-1024,0.75,0.77,EA,,E030
WO-70040,2026-01-02,GEAR-1001,2,2.04,EA,,E036
WO-70040,2026-01-03,AC-1063,4,4.04,EA,,E034
WO-70040,2026-01-02,GEAR-1080,2,1.98,EA,,E037
WO-70040,2026-01-04,AC-1057,5.0,5.2,EA,,E029
WO-70041,2026-01-17,TIMI-1058,3.0,3.09,EA,,E030
WO-70041,2026-01-16,SPRO-1009 ,3.0,3.06,EA,,E038
WO-70041,"Jan 15, 2026 ",TIMI-1020,4,4.04,EA,,E026
WO-70041,2026-01-15,MOUN-1031,16,15.84,EA,,E030
WO-70041,2026-01-17,MOUN-1029,16,16.16,EA,,E029
WO-70042,2025-09-12,SHEA-1007,1,0.98,EA,,E028
WO-70042,2025-09-12,MOUN-1034,2,2.02,EA,,E037
WO-70042,2025-09-14,TIMI-1075,1,1.0,EA,,E038
WO-70042,2025-09-12,SHEA-1049,2,2.04,EA,,E034
WO-70042,2025-09-14,AC-1086,1,1.02,EA,,E033
WO-70043,2025-04-13,GEAR-1001,1,1.02,EA,,E028
WO-70043,"Apr 11, 2025",AC-1063,2,2.08,EA,,E031
WO-70043,2025-04-11,GEAR-1080,1,1.02,EA,,E036
WO-70043,2025-04-11,AC-1057,2.5,2.55,EA,,E032
WO-70044,2026-03-06,SHEA-1035,2,2.0,EA,,E030 
WO-70044,2026-03-05,SHEA-1088,2,2.06,EA,,E033
WO-70044,2026-03-06,TIMI-1058,1,1.0,EA,,E033
WO-70044,2026-03-06,SHEA-1077,2.5,2.5,EA,,E028
WO-70044,07-Mar-2026,SHEA-1072,1,1.03,EA,,E037
WO-70044,2026-03-07,MOUN-1031,1,1.02,EA,,E030
WO-70045,2025-12-30,GEAR-1066,16,16.64,EA,,E028
WO-70045,29-Dec-2025,SHEA-1003,10.0,10.2,EA,,E027
WO-70045,2025-12-29,SPRO-1055,4,4.12,EA,,E031
WO-70045,28-Dec-2025,GEAR-1024,3.0,2.97,EA,,E033
WO-70046,2025-10-24,GEAR-1001,4,4.04,EA ,,E035
WO-70046,2025-10-24,AC-1063,8,8.32,EA,,E027
WO-70046,2025-10-24,GEAR-1080,4,3.96,EA,,E037
WO-70046,23-Oct-2025,AC-1057,10.0,10.0,EA,,E031
WO-70047,2025-11-05,TIMI-1058,3.0,3.03,EA,,E034
WO-70047,2025-11-04,SPRO-1009,3.0,2.97,EA,,E037
WO-70047,2025-11-05,TIMI-1020,4,4.2,EA,,E036
WO-70047,2025-11-05,MOUN-1031,16,16.64,EA,,E030
WO-70047,2025-11-06,MOUN-1029,16,15.84,EA,,E029
WO-70048,2025-04-23,AC-1057,4,4.16,EA,,E039
WO-70048,2025-04-25,GEAR-1084,2,2.08,EA,,E038
WO-70048,25-Apr-2025,MOUN-1062,8,7.84,EA,,E034
WO-70048,2025-04-25,TIMI-1058,5.0,5.05,EA,,E037
WO-70049,2026-02-23,SHEA-1035,8,7.84,EA,,E033
WO-70049,2026-02-21,SHEA-1088,8,8.16,EA,,E034
WO-70049,2026-02-23,TIMI-1058,4,4.08,EA,,E032
WO-70049,2026-02-21,SHEA-1077,10.0,10.2,EA,,E033
WO-70049,2026-02-23,SHEA-1072,4,4.16,EA,,E030
WO-70049,2026-02-21,MOUN-1031,4,3.96,EA,,E036
WO-70050,2025-06-28,GEAR-1066,4,4.16,EA,,E032
WO-70050,2025-06-29,SHEA-1003,2.5,2.55,EA,,E031
WO-70050,29-Jun-2025,SPRO-1055,1,1.01,EA,,E033
WO-70050,2025-06-28,GEAR-1024,0.75,0.79,EA,,E026
WO-70051,2025-11-29,GEAR-1066,8,7.92,EA,,E033
WO-70051,2025-11-29,SHEA-1003,5.0,5.05,EA,,E027
WO-70051,2025-11-29,SPRO-1055,2,2.1,EA,,E035
WO-70051,2025-11-29,GEAR-1024,1.5,1.47,EA,,E031
WO-70052,2025-10-12,SPRO-1061,2,1.98,EA,,E029
WO-70052,2025-10-13,GEAR-1084,4,3.96,EA ,,E027
WO-70052,2025-10-13,ROLL-1026,4,4.0,EA,,E027
WO-70052,10/13/25,TIMI-1071,1.5,1.58,EA,,E028
WO-70052,2025-10-14,BRI-HHCS-0500-13-200-G8,1.5,1.5,BX,,E028
WO-70053,2026-01-11,GEAR-1001,1,1.01,EA,,E037
WO-70053,2026-01-12,AC-1063,2,2.02,EA,,E033
WO-70053,2026-01-11,GEAR-1080,1,1.03,EA,,E028
WO-70053,"Jan 10, 2026",AC-1057,2.5,2.5,EA,,E029
WO-70054,2025-05-23,TIMI-1014,5.0,5.05,EA,,E027
WO-70054,05/24/25,SPRO-1050,2,2.06,EA,,E031
WO-70054,2025-05-24,AC-1086,8,8.0,EA,,E034
WO-70054,2025-05-23,ROLL-1053,5.0,4.95,EA,,E034
WO-70054,2025-05-23,GEAR-1016,4,4.16,EA,,E026
WO-70055,2026-01-29,TIMI-1058,0.75,0.75,EA,,E033
WO-70055,2026-01-29,SPRO-1009,0.75,0.75,EA,,E029
WO-70055,2026-01-30 ,TIMI-1020,1,1.05,EA,,E031
WO-70055,2026-01-30,MOUN-1031,4,4.16,EA ,,E037
WO-70055,2026-01-28,MOUN-1029,4,4.04,EA,,E035
WO-70056,2025-05-07,SHEA-1035,4,4.0,EA,,E029
WO-70056,05/05/2025,SHEA-1088,4,4.12,EA,,E029 
WO-70056,2025-05-06,TIMI-1058,2,2.0,EA,,E026
WO-70056,2025-05-05,SHEA-1077,5.0,5.0,EA,,E034
WO-70056,2025-05-06,SHEA-1072,2,1.98,EA,,E036
WO-70056,2025-05-07,MOUN-1031,2,2.06,EA,,E035
WO-70057,2025-09-22,GEAR-1066,4,4.0,EA,,E034
WO-70057,2025-09-21,SHEA-1003,2.5,2.52,EA,,E030 
WO-70057,2025-09-23,SPRO-1055,1,1.04,EA,,E028
WO-70057,22-Sep-2025,GEAR-1024,0.75,0.77,EA,,E029
WO-70058,2025-11-04,AC-1086,4,4.08,EA,,E029
WO-70058,2025-11-06,SPRO-1050,2,2.0,EA,,E036
WO-70058,2025-11-04,ROLL-1053,4,4.16,EA,,E039
WO-70058,2025-11-05,SHEA-1072,0.75,0.74,EA ,,E035
WO-70058,2025-11-05,MOUN-1034,2.5,2.55,EA,,E039
WO-70059,2025-11-07,AC-1057,8,8.4,EA,,E031
WO-70059,2025-11-08,GEAR-1084,4,4.12,EA,,E039
WO-70059,2025-11-08,MOUN-1062,16,16.0,EA,,E035
WO-70059,2025-11-07,TIMI-1058,10.0,10.1,EA,,E037
WO-70060,2025-08-12,AC-1086,16,16.8,EA,,E026
WO-70060,2025-08-13,SPRO-1050,8,8.24,EA,,E028
WO-70060,2025-08-14,ROLL-1053,16,16.32,EA,,E036
WO-70060,08/13/2025,SHEA-1072,3.0,3.03,EA,,E028
WO-70060,2025-08-14,MOUN-1034,10.0,9.8,EA,,E039
