installment_id,invoice_id,installment_number,due_date,amount_due
MER-INV00036-05,MER-INV00036,5,2025-08-27,639.0
MER-INV00036-06,MER-INV00036,6,2025-09-26,639.0
MER-INV00036-07,MER-INV00036,7,2025-10-26,639.0
MER-INV00036-08,MER-INV00036,8,2025-11-25,639.0
MER-INV00036-09,MER-INV00036,9,2025-12-25,639.0
MER-INV00036-10,MER-INV00036,10,2026-01-24,639.0
MER-INV00037-01,MER-INV00037,1,2025-06-23,55012
MER-INV00038-01,MER-INV00038,1,2025-07-13,41478
MER-INV00039-01,MER-INV00039,1,2026-02-13,8685.0
MER-INV00039-02,MER-INV00039,2,2026-03-15,8685.0
MER-INV00039-03,MER-INV00039,3,2026-04-14,8685.0
MER-INV00039-04,MER-INV00039,4,2026-05-14,8685.0
MER-INV00040-01,MER-INV00040,1,2025-11-01,11143.0
MER-INV00040-02,MER-INV00040,2,2025-12-01,3714.33
MER-INV00040-03,MER-INV00040,3,2025-12-31,3714.33
MER-INV00040-04,MER-INV00040,4,2026-01-30,3714.33
MER-INV00040-05,MER-INV00040,5,2026-03-01,3714.33
MER-INV00040-06,MER-INV00040,6,2026-03-31,3714.33
MER-INV00040-07,MER-INV00040,7,2026-04-30,3714.33
MER-INV00040-08,MER-INV00040,8,2026-05-30,3714.33
MER-INV00040-09,MER-INV00040,9,2026-06-29,3714.33
MER-INV00040-10,MER-INV00040,10,2026-07-29,3714.33
MER-INV00041-01,MER-INV00041,1,2026-01-09,7568.19
MER-INV00041-02,MER-INV00041,2,2026-02-08,2522.73
MER-INV00041-03,MER-INV00041,3,2026-03-10,2522.73
MER-INV00041-04,MER-INV00041,4,2026-04-09,2522.73
MER-INV00041-05,MER-INV00041,5,2026-05-09,2522.73
MER-INV00041-06,MER-INV00041,6,2026-06-08,2522.73
MER-INV00041-07,MER-INV00041,7,2026-07-08,2522.73
MER-INV00041-08,MER-INV00041,8,2026-08-07,2522.73
MER-INV00041-09,MER-INV00041,9,2026-09-06,2522.73
MER-INV00041-10,MER-INV00041,10,2026-10-06,2522.73
MER-INV00042-01,MER-INV00042,1,2025-06-11,79449
MER-INV00043-01,MER-INV00043,1,2025-10-17,12699.25
MER-INV00043-02,MER-INV00043,2,2025-11-16,12699.25
MER-INV00043-03,MER-INV00043,3,2025-12-16,12699.25
MER-INV00043-04,MER-INV00043,4,2026-01-15,12699.25
MER-INV00044-01,MER-INV00044,1,2025-05-17,12628.75
MER-INV00044-02,MER-INV00044,2,2025-06-16,4209.58
MER-INV00044-03,MER-INV00044,3,2025-07-16,4209.58
MER-INV00044-04,MER-INV00044,4,2025-08-15,4209.58
MER-INV00044-05,MER-INV00044,5,2025-09-14,4209.58
MER-INV00044-06,MER-INV00044,6,2025-10-14,4209.58
MER-INV00044-07,MER-INV00044,7,2025-11-13,4209.58
MER-INV00044-08,MER-INV00044,8,2025-12-13,4209.58
MER-INV00044-09,MER-INV00044,9,2026-01-12,4209.58
MER-INV00044-10,MER-INV00044,10,2026-02-11,4209.58
MER-INV00045-01,MER-INV00045,1,2025-05-17,59799
MER-INV00046-01,MER-INV00046,1,2025-06-17,54130
MER-INV00047-01,MER-INV00047,1,2025-05-03,3314.5
MER-INV00047-02,MER-INV00047,2,2025-06-02,3314.5
MER-INV00047-03,MER-INV00047,3,2025-07-02,3314.5
MER-INV00047-04,MER-INV00047,4,2025-08-01,3314.5
