payment_id,client_id,invoice_id,payment_date,amount,method,payer,reference,applied,deposited_to
MER-PMT00032,MER-C0029,MER-INV00038,2025-07-25,41478,ACH,Imperial PFS,PF510059,Y,Premium Trust Account
MER-PMT00033,MER-C0031,MER-INV00039,2026-03-08,34740.0,ACH,Keystone State Software LLC,CHK 20583,Y,Premium Trust Account
MER-PMT00034,MER-C0032,MER-INV00041,2026-01-25,15136.37,ACH,Patriot Medical Group Corp.,CHK 46500,Y,Premium Trust Account
MER-PMT00035,MER-C0032,MER-INV00042,2025-05-31,79449,ACH,Imperial PFS,PF688386,Y,Premium Trust Account
MER-PMT00036,MER-C0035,MER-INV00043,2025-09-30,50797,ACH,Imperial PFS,PF240732,Y,Premium Trust Account
MER-PMT00037,MER-C0035,MER-INV00044,2025-05-21,50515.0,ACH,Patriot Medical Group LLC,ACH336871163,Y,Premium Trust Account
MER-PMT00038,MER-C0036,MER-INV00045,2025-05-30,59799.0,ACH,Highland Medical Group Corp.,ACH451334438,Y,Premium Trust Account
MER-PMT00039,MER-C0036,MER-INV00046,2025-06-11,13532.5,Wire,Highland Medical Group Corp.,CHK 16542,Y,Premium Trust Account
MER-PMT00040,MER-C0036,MER-INV00047,2025-05-08,13258.0,Credit Card,Highland Medical Group Corp.,ACH332117758,Y,Premium Trust Account
MER-PMT00041,MER-C0011,,2026-03-31,1127,Check,Metro Software LLC,CHK 54370,"N - unapplied, no invoice reference",Premium Trust Account
MER-PMT00042,MER-C0031,,2026-03-21,4086,Check,Keystone State Software LLC,CHK 58884,"N - unapplied, no invoice reference",Premium Trust Account
