po_number,line,item_id,description,manufacturer_part_number,ordered_qty,uom,unit_cost,extended_cost,need_by_date,promised_date,received_qty,line_status,gl_account
PO-31009,1,P-20111,Carbide Insert size 8,A61094,500,EA,23.71,11855.0,2025-10-20,2025-10-20,0,Open,6700
PO-31009,2,P-20032,Coupling Hub - Raw Casting size 8,K32105,189,EA,48.19,9107.91,2025-10-13,2025-10-13,189,Received,1200
PO-31009,3,P-20111,Carbide Insert size 8,A61094,250,EA,23.71,5927.5,2025-10-20,2025-10-20,250,Received,6700
PO-31010,1,P-20041,Oil Seal 1.250,K55040,250,EA,14.56,3640.0,2025-08-23,2025-08-25,250,Received,1200
PO-31010,2,P-20103,Carbide Insert #50,T29412,50,EA,17.330000000000002,866.5,2025-08-23,2025-08-25,50,Received,6700
PO-31010,3,P-20041,Oil Seal 1.250,K55040,10,EA,13.870000000000001,138.7,2025-08-23,2025-08-28,0,Open,1200
PO-31011,1,P-20062,Elastomer Insert 1/4-20,F66231,10,EA,18.77,187.7,2025-09-06,2025-09-06,10,Received,1200
PO-31011,2,P-20062,Elastomer Insert 1/4-20,F66231,10,EA,19.52,195.2,2025-09-06,2025-09-08,10,Received,1200
PO-31011,3,P-20062,Elastomer Insert 1/4-20,F66231,10,EA,18.77,187.7,2025-09-06,2025-09-06,10,Received,1200
PO-31012,1,P-20079,Set Screw 5/16-18,F50061,66,EA,0.38,25.08,2026-01-29,2026-01-29,66,Received,1200
PO-31013,1,P-20103,Carbide Insert #50,T29412,116,EA,17.330000000000002,2010.28,2025-05-17,2025-05-17,116,Received,6700
PO-31013,2,P-20015,Oil Seal #60,C35385,97,EA,5.42,525.74,2025-05-25,2025-05-25,97,Received,1200
PO-31013,3,P-20047,Carbide Insert 1/4-20,M82610,175,EA,15.41,2696.75,2025-05-26,2025-05-26,175,Received,6700
PO-31013,4,P-20041,Oil Seal 1.250,K55040,11,EA,13.870000000000001,152.57,2025-05-17,2025-05-19,11,Received,1200
PO-31014,1,P-20106,Coupling Hub - Raw Casting M10,L88174,250,EA,63.36,15840.0,2025-08-20,2025-08-20,250,Received,1200
PO-31014,2,P-20041,Oil Seal 1.250,K55040,11,EA,13.870000000000001,152.57,2025-08-11,2025-08-16,11,Received,1200
PO-31015,1,P-20088,Oil Seal 1/2-13,M10634,46,EA,12.5,575.0,2025-11-04,2025-11-04,46,Received,1200
PO-31015,2,P-20088,Oil Seal 1/2-13,M10634,46,EA,12.5,575.0,2025-11-04,2025-11-06,46,Received,1200
PO-31016,1,P-20051,Oil Seal size 4,H85200,500,EA,11.200000000000001,5600.0,2025-08-28,2025-09-02,500,Received,1200
PO-31016,2,P-20045,Set Screw M10,S44671,82,EA,0.18,14.76,2025-08-19,2025-08-21,82,Received,1200
PO-31016,3,P-20027,Oil Seal size 8,H34271,32,EA,8.42,269.44,2025-08-17,2025-08-22,32,Received,1200
PO-31017,1,P-10063,"Corrugated box 12x12x12, 25/bd",S-4123,10,BD,31.0,310.0,2025-04-25,2025-04-25,10,Received,1200
PO-31017,2,P-20099,Retaining Ring 1/2-13,T12602,250,EA,0.77,192.5,2025-05-18,2025-05-23,250,Received,1200
PO-31018,1,P-20067,Carbide Insert 3/4-10,K58173,100,EA,20.51,2051.0,2025-08-21,2025-08-21,100,Received,6700
PO-31018,2,P-20026,Set Screw #50,F67122,79,EA,0.64,50.56,2025-08-28,2025-08-30,79,Received,1200
PO-31018,3,P-20017,Coupling Hub - Raw Casting size 4,H34119,11,EA,84.28,927.08,2025-09-01,2025-09-01,11,Received,1200
PO-31018,4,P-20119,Elastomer Insert M6,C38995,13,EA,8.11,105.43,2025-09-16,2025-09-16,13,Received,1200
PO-31019,1,P-20088,Oil Seal 1/2-13,M10634,46,EA,12.5,575.0,2025-09-16,2025-09-16,46,Received,1200
PO-31019,2,P-20088,Oil Seal 1/2-13,M10634,46,EA,12.5,575.0,2025-09-16,2025-09-16,46,Received,1200
PO-31019,3,P-20088,Oil Seal 1/2-13,M10634,46,EA,12.62,580.52,2025-09-16,2025-09-16,46,Received,1200
PO-31020,1,P-20064,Retaining Ring 1/4-20,E60404,42,EA,0.7000000000000001,29.4,2025-06-07,2025-06-07,42,Received,1200
PO-31020,2,P-20045,Set Screw M10,S44671,250,EA,0.18,45.0,2025-06-10,2025-06-10,250,Received,1200
PO-31020,3,P-20045,Set Screw M10,S44671,82,EA,0.18,14.76,2025-06-10,2025-06-12,82,Received,1200
PO-31020,4,P-20064,Retaining Ring 1/4-20,E60404,50,EA,0.7000000000000001,35.0,2025-06-07,2025-06-07,50,Received,1200
PO-31021,1,P-10035,"Threadlocker 243 medium strength blue, 50 mL",243,193,EA,21.4,4130.2,2025-12-07,2025-12-12,193,Received,6700
PO-31022,1,P-20015,Oil Seal #60,C35385,500,EA,5.42,2710.0,2025-07-12,2025-07-17,500,Received,1200
PO-31023,1,P-20028,Coupling Hub - Raw Casting 1/4-20,D12726,10,EA,39.64,396.4,2025-10-26,2025-10-28,10,Received,1200
PO-31023,2,P-20085,Retaining Ring 2.000,F24200,198,EA,1.16,229.68,2025-10-23,2025-10-25,198,Received,1200
PO-31024,1,P-20091,Carbide Insert 5/16-18,D86373,112,EA,12.05,1349.6,2025-11-21,2025-11-21,112,Received,6700
PO-31024,2,P-20014,Carbide Insert 1/4-20,L11014,100,EA,20.71,2071.0,2025-12-03,2025-12-03,100,Received,6700
PO-31024,3,P-20019,Oil Seal 2.000,H13435,250,EA,12.65,3162.5,2025-12-15,2025-12-15,250,Received,1200
PO-31025,1,P-10049,"KleenGuard G10 nitrile gloves, large, 100/bx",G10,10,BX,9.85,98.5,2025-05-02,2025-05-02,10,Received,6700
PO-31025,2,P-10070,SecureFit 400 safety glasses clear anti-fog,SF401AF,165,EA,3.15,519.75,2025-05-17,2025-05-19,165,Received,6700
PO-31025,3,P-10049,"KleenGuard G10 nitrile gloves, large, 100/bx",G10,250,BX,9.85,2462.5,2025-05-02,2025-05-02,250,Received,6700
PO-31026,1,P-20044,Coupling Hub - Raw Casting 3/4-10,C11115,194,EA,25.1,4869.4,2025-05-28,2025-05-30,97,Partial,1200
PO-31026,2,P-20035,Elastomer Insert M10,N45563,79,EA,12.200000000000001,963.8,2025-05-26,2025-05-26,79,Received,1200
PO-31026,3,P-20085,Retaining Ring 2.000,F24200,100,EA,1.16,116.0,2025-05-04,2025-05-06,100,Received,1200
PO-31027,1,P-20096,Carbide Insert 2.000,S67464,171,EA,14.700000000000001,2513.7,2025-06-05,2025-06-07,171,Received,6700
PO-31027,2,P-20096,Carbide Insert 2.000,S67464,171,EA,14.700000000000001,2513.7,2025-06-05,2025-06-05,171,Received,6700
PO-31027,3,P-20060,Coupling Hub - Raw Casting M6,C22391,123,EA,26.88,3306.24,2025-06-01,2025-06-03,123,Received,1200
PO-31028,1,P-20091,Carbide Insert 5/16-18,D86373,10,EA,12.05,120.5,2025-12-31,2026-01-02,10,Received,6700
PO-31028,2,P-20014,Carbide Insert 1/4-20,L11014,52,EA,20.09,1044.68,2026-01-12,2026-01-12,52,Received,6700
PO-31028,3,P-20006,Set Screw 5/8-11,T65806,112,EA,0.2,22.4,2025-12-17,2025-12-19,112,Received,1200
PO-31028,4,P-20006,Set Screw 5/8-11,T65806,50,EA,0.2,10.0,2025-12-17,2025-12-17,50,Received,1200
PO-31029,1,P-10070,SecureFit 400 safety glasses clear anti-fog,SF401AF,165,EA,3.15,519.75,2025-06-30,2025-07-05,165,Received,6700
PO-31029,2,P-10049,"KleenGuard G10 nitrile gloves, large, 100/bx",G10,10,BX,9.85,98.5,2025-06-15,2025-06-17,10,Received,6700
PO-31029,3,P-10049,"KleenGuard G10 nitrile gloves, large, 100/bx",G10,168,BX,9.85,1654.8,2025-06-15,2025-06-17,168,Received,6700
PO-31030,1,P-20117,Elastomer Insert M8,G2007,100,EA,27.150000000000002,2715.0,2026-02-19,2026-02-19,100,Received,1200
PO-31030,2,P-20056,Set Screw 1.000,B66059,50,EA,0.35000000000000003,17.5,2026-03-20,2026-03-20,50,Received,1200
PO-31030,3,P-20055,Coupling Hub - Raw Casting size 6,P16125,100,EA,35.27,3527.0,2026-02-21,2026-02-23,100,Received,1200
PO-31031,1,P-20059,Elastomer Insert size 6,C72126,500,EA,9.37,4685.0,2026-04-09,2026-04-09,0,Open,1200
PO-31031,2,P-20068,Oil Seal size 6,H91880,250,EA,11.97,2992.5,2026-04-10,2026-04-10,0,Open,1200
PO-31031,3,P-20049,Oil Seal 3/4-10,K67833,97,EA,6.0200000000000005,583.94,2026-03-23,2026-03-28,97,Received,1200
PO-31032,1,P-20015,Oil Seal #60,C35385,97,EA,5.42,525.74,2025-10-15,2025-10-20,97,Received,1200
PO-31032,2,P-20089,Carbide Insert 1.375,K6044,143,EA,14.19,2029.17,2025-10-07,2025-10-07,143,Received,6700
PO-31032,3,P-20106,Coupling Hub - Raw Casting M10,L88174,84,EA,63.36,5322.24,2025-10-16,2025-10-21,84,Received,1200
PO-31033,1,P-20050,Oil Seal size 6,S58621,177,EA,12.84,2272.68,2026-02-03,2026-02-05,177,Received,1200
PO-31034,1,P-20052,Carbide Insert 5/16-18,P45610,62,EA,10.49,650.38,2025-06-22,2025-06-22,62,Received,6700
PO-31034,2,P-20046,Elastomer Insert 1.000,S28044,25,EA,13.76,344.0,2025-07-18,2025-07-23,25,Received,1200
PO-31034,3,P-20052,Carbide Insert 5/16-18,P45610,250,EA,10.49,2622.5,2025-06-22,2025-06-22,250,Received,6700
PO-31034,4,P-20048,Coupling Hub - Raw Casting 5/8-11,D16222,250,EA,55.620000000000005,13905.0,2025-06-26,2025-06-26,250,Received,1200
PO-31035,1,P-20091,Carbide Insert 5/16-18,D86373,112,EA,12.05,1349.6,2025-10-25,2025-10-25,112,Received,6700
PO-31035,2,P-20006,Set Screw 5/8-11,T65806,112,EA,0.2,22.4,2025-10-11,2025-10-13,112,Received,1200
PO-31036,1,P-20026,Set Screw #50,F67122,25,EA,0.63,15.75,2025-08-28,2025-08-28,25,Received,1200
PO-31036,2,P-20017,Coupling Hub - Raw Casting size 4,H34119,11,EA,84.28,927.08,2025-09-01,2025-09-01,11,Received,1200
PO-31037,1,P-20091,Carbide Insert 5/16-18,D86373,250,EA,12.05,3012.5,2025-08-18,2025-08-18,250,Received,6700
PO-31037,2,P-20100,Coupling Hub - Raw Casting 1.500,M13347,50,EA,36.730000000000004,1836.5,2025-08-12,2025-08-14,50,Received,1200
PO-31037,3,P-20091,Carbide Insert 5/16-18,D86373,112,EA,12.05,1349.6,2025-08-18,2025-08-18,112,Received,6700
PO-31038,1,P-20035,Elastomer Insert M10,N45563,79,EA,12.200000000000001,963.8,2025-09-11,2025-09-11,0,Open,1200
PO-31038,2,P-10042,"Scotch-Brite hand pad 6x9 maroon, 20/bx",7447,84,BX,28.5,2394.0,2025-08-09,2025-08-09,84,Received,6700
PO-31039,1,P-20109,Oil Seal 3/8-16,N10930,149,EA,10.0,1490.0,2025-08-14,2025-08-14,149,Received,1200
PO-31039,2,P-20062,Elastomer Insert 1/4-20,F66231,197,EA,18.77,3697.69,2025-08-05,2025-08-10,197,Received,1200
PO-31039,3,P-20113,Coupling Hub - Raw Casting 3/4-10,N70842,10,EA,35.81,358.1,2025-08-25,2025-08-25,10,Received,1200
PO-31040,1,P-20054,Set Screw M12,L79607,191,EA,0.48,91.68,2025-08-26,2025-08-26,191,Received,1200
PO-31040,2,P-20069,Oil Seal 1.375,L27329,73,EA,4.72,344.56,2025-08-20,2025-08-25,73,Received,1200
PO-31040,3,P-20069,Oil Seal 1.375,L27329,100,EA,4.72,472.0,2025-08-20,2025-08-25,100,Received,1200
PO-31040,4,P-20021,Carbide Insert 1.000,L17781,57,EA,23.78,1355.46,2025-08-31,2025-08-31,57,Received,6700
PO-31041,1,P-20066,Carbide Insert #60,A49582,500,EA,21.400000000000002,10700.0,2026-02-19,2026-02-19,500,Received,6700
PO-31041,2,P-20105,Coupling Hub - Raw Casting M12,G47425,185,EA,81.05,14994.25,2026-03-29,2026-03-29,0,Open,1200
PO-31041,3,P-20066,Carbide Insert #60,A49582,167,EA,21.400000000000002,3573.8,2026-02-19,2026-02-24,167,Received,6700
PO-31041,4,P-20050,Oil Seal size 6,S58621,177,EA,12.84,2272.68,2026-02-20,2026-02-20,177,Received,1200
PO-31042,1,P-10035,"Threadlocker 243 medium strength blue, 50 mL",243,100,EA,20.97,2097.0,2025-07-01,2025-07-03,0,Open,6700
PO-31042,2,P-10035,"Threadlocker 243 medium strength blue, 50 mL",243,193,EA,21.4,4130.2,2025-07-01,2025-07-01,193,Received,6700
PO-31042,3,P-10035,"Threadlocker 243 medium strength blue, 50 mL",243,250,EA,22.04,5510.0,2025-07-01,2025-07-03,250,Received,6700
PO-31043,1,P-20113,Coupling Hub - Raw Casting 3/4-10,N70842,50,EA,36.88,1844.0,2025-10-06,2025-10-06,50,Received,1200
PO-31043,2,P-20113,Coupling Hub - Raw Casting 3/4-10,N70842,162,EA,35.81,5801.22,2025-10-06,2025-10-11,162,Received,1200
PO-31043,3,P-20113,Coupling Hub - Raw Casting 3/4-10,N70842,500,EA,35.81,17905.0,2025-10-06,2025-10-11,500,Received,1200
PO-31044,1,P-20027,Oil Seal size 8,H34271,10,EA,8.42,84.2,2025-09-26,2025-09-26,10,Received,1200
PO-31044,2,P-20095,Elastomer Insert 1.000,K63060,160,EA,24.28,3884.8,2025-10-14,2025-10-14,160,Received,1200
PO-31044,3,P-20051,Oil Seal size 4,H85200,129,EA,11.200000000000001,1444.8,2025-10-07,2025-10-07,0,Open,1200
PO-31045,1,P-20089,Carbide Insert 1.375,K6044,143,EA,14.19,2029.17,2025-08-24,2025-08-24,143,Received,6700
PO-31046,1,P-20041,Oil Seal 1.250,K55040,11,EA,13.870000000000001,152.57,2026-03-17,2026-03-17,11,Received,1200
PO-31046,2,P-20089,Carbide Insert 1.375,K6044,500,EA,14.19,7095.0,2026-03-17,2026-03-17,500,Received,6700
PO-31046,3,P-20001,Oil Seal #50,M10153,198,EA,9.55,1890.9,2026-03-14,2026-03-14,198,Received,1200
PO-31046,4,P-20015,Oil Seal #60,C35385,97,EA,5.42,525.74,2026-03-25,2026-03-25,97,Received,1200
PO-31047,1,P-20021,Carbide Insert 1.000,L17781,25,EA,23.78,594.5,2026-03-13,2026-03-15,25,Received,6700
PO-31047,2,P-20069,Oil Seal 1.375,L27329,73,EA,4.72,344.56,2026-03-02,2026-03-02,73,Received,1200
PO-31047,3,P-20054,Set Screw M12,L79607,250,EA,0.48,120.0,2026-03-08,2026-03-13,0,Open,1200
PO-31048,1,P-20000,Coupling Hub - Raw Casting size 8,A16640,250,EA,55.43,13857.5,2026-03-14,2026-03-19,250,Received,1200
PO-31048,2,P-20000,Coupling Hub - Raw Casting size 8,A16640,42,EA,55.43,2328.06,2026-03-14,2026-03-16,42,Received,1200
PO-31048,3,P-20046,Elastomer Insert 1.000,S28044,109,EA,13.76,1499.84,2026-03-12,2026-03-12,0,Open,1200
PO-31048,4,P-20052,Carbide Insert 5/16-18,P45610,62,EA,10.49,650.38,2026-02-14,2026-02-19,62,Received,6700
PO-31049,1,P-20041,Oil Seal 1.250,K55040,11,EA,13.870000000000001,152.57,2025-06-19,2025-06-21,11,Received,1200
PO-31049,2,P-20089,Carbide Insert 1.375,K6044,10,EA,14.19,141.9,2025-06-19,2025-06-19,10,Received,6700
PO-31049,3,P-20106,Coupling Hub - Raw Casting M10,L88174,500,EA,63.36,31680.0,2025-06-28,2025-06-28,500,Received,1200
PO-31050,1,P-20095,Elastomer Insert 1.000,K63060,100,EA,24.28,2428.0,2026-02-06,2026-02-06,100,Received,1200
PO-31050,2,P-20037,Carbide Insert size 8,N28851,189,EA,12.19,2303.91,2026-01-15,2026-01-15,189,Received,6700
PO-31050,3,P-20051,Oil Seal size 4,H85200,500,EA,11.200000000000001,5600.0,2026-01-30,2026-01-30,500,Received,1200
PO-31050,4,P-20045,Set Screw M10,S44671,82,EA,0.18,14.76,2026-01-21,2026-01-26,0,Open,1200
PO-31051,1,P-10049,"KleenGuard G10 nitrile gloves, large, 100/bx",G10,168,BX,9.95,1671.6,2025-12-22,2025-12-22,168,Received,6700
PO-31051,2,P-10070,SecureFit 400 safety glasses clear anti-fog,SF401AF,165,EA,3.12,514.8,2026-01-06,2026-01-08,165,Received,6700
PO-31051,3,P-10049,"KleenGuard G10 nitrile gloves, large, 100/bx",G10,168,BX,9.85,1654.8,2025-12-22,2025-12-22,168,Received,6700
PO-31051,4,P-10049,"KleenGuard G10 nitrile gloves, large, 100/bx",G10,168,BX,9.85,1654.8,2025-12-22,2025-12-27,168,Received,6700
PO-31052,1,P-10049,"KleenGuard G10 nitrile gloves, large, 100/bx",G10,25,BX,9.85,246.25,2025-06-26,2025-06-26,25,Received,6700
PO-31052,2,P-10049,"KleenGuard G10 nitrile gloves, large, 100/bx",G10,168,BX,9.85,1654.8,2025-06-26,2025-06-26,0,Open,6700
PO-31052,3,P-10070,SecureFit 400 safety glasses clear anti-fog,SF401AF,165,EA,3.15,519.75,2025-07-11,2025-07-11,165,Received,6700
PO-31052,4,P-10049,"KleenGuard G10 nitrile gloves, large, 100/bx",G10,250,BX,9.85,2462.5,2025-06-26,2025-07-01,250,Received,6700
PO-31053,1,P-20000,Coupling Hub - Raw Casting size 8,A16640,50,EA,55.43,2771.5,2025-10-22,2025-10-22,0,Open,1200
PO-31053,2,P-20052,Carbide Insert 5/16-18,P45610,62,EA,10.49,650.38,2025-09-24,2025-09-26,62,Received,6700
PO-31053,3,P-20048,Coupling Hub - Raw Casting 5/8-11,D16222,250,EA,55.620000000000005,13905.0,2025-09-28,2025-09-30,250,Received,1200
PO-31054,1,P-10035,"Threadlocker 243 medium strength blue, 50 mL",243,193,EA,21.4,4130.2,2026-04-02,2026-04-02,0,Open,6700
PO-31054,2,P-10035,"Threadlocker 243 medium strength blue, 50 mL",243,193,EA,21.4,4130.2,2026-04-02,2026-04-02,0,Open,6700
PO-31054,3,P-10035,"Threadlocker 243 medium strength blue, 50 mL",243,193,EA,21.4,4130.2,2026-04-02,2026-04-07,0,Open,6700
PO-31054,4,P-10035,"Threadlocker 243 medium strength blue, 50 mL",243,193,EA,21.4,4130.2,2026-04-02,2026-04-02,0,Open,6700
PO-31055,1,P-20095,Elastomer Insert 1.000,K63060,250,EA,24.28,6070.0,2025-08-06,2025-08-06,250,Received,1200
PO-31055,2,P-20064,Retaining Ring 1/4-20,E60404,50,EA,0.7000000000000001,35.0,2025-07-18,2025-07-23,50,Received,1200
PO-31056,1,P-20056,Set Screw 1.000,B66059,112,EA,0.35000000000000003,39.2,2026-02-18,2026-02-18,112,Received,1200
PO-31056,2,P-20075,Carbide Insert size 8,G46154,72,EA,14.48,1042.56,2026-01-24,2026-01-24,72,Received,6700
PO-31056,3,P-20056,Set Screw 1.000,B66059,112,EA,0.35000000000000003,39.2,2026-02-18,2026-02-20,112,Received,1200
PO-31057,1,P-20014,Carbide Insert 1/4-20,L11014,52,EA,20.71,1076.92,2025-12-22,2025-12-22,52,Received,6700
PO-31058,1,P-20055,Coupling Hub - Raw Casting size 6,P16125,500,EA,35.98,17990.0,2026-01-29,2026-01-29,500,Received,1200
PO-31058,2,P-20117,Elastomer Insert M8,G2007,79,EA,26.34,2080.86,2026-01-27,2026-01-27,79,Received,1200
PO-31058,3,P-20056,Set Screw 1.000,B66059,10,EA,0.35000000000000003,3.5,2026-02-25,2026-02-25,10,Received,1200
PO-31059,1,P-10105,1045 cold-finished round bar 2.000in,1045-RB-2.000,80,LB,0.94,75.2,2026-03-05,2026-03-07,80,Received,1200
PO-31059,2,P-10098,A36 hot-rolled steel plate 1/2in,A36-PL-0.500,292,LB,0.68,198.56,2026-03-05,2026-03-07,292,Received,1200
PO-31060,1,P-20081,Elastomer Insert 1.375,G80581,126,EA,19.0,2394.0,2025-10-28,2025-10-28,126,Received,1200
PO-31060,2,P-20098,Retaining Ring 5/8-11,N52552,30,EA,0.88,26.4,2025-10-27,2025-11-01,0,Open,1200
PO-31061,1,P-20088,Oil Seal 1/2-13,M10634,46,EA,12.5,575.0,2026-04-07,2026-04-07,0,Open,1200
PO-31061,2,P-20088,Oil Seal 1/2-13,M10634,25,EA,12.5,312.5,2026-04-07,2026-04-07,12,Partial,1200
PO-31061,3,P-20088,Oil Seal 1/2-13,M10634,100,EA,12.5,1250.0,2026-04-07,2026-04-12,50,Partial,1200
PO-31061,4,P-20088,Oil Seal 1/2-13,M10634,25,EA,12.5,312.5,2026-04-07,2026-04-07,0,Open,1200
PO-31062,1,P-20041,Oil Seal 1.250,K55040,11,EA,13.870000000000001,152.57,2026-03-18,2026-03-18,0,Open,1200
PO-31063,1,P-10077,WD-40 Multi-Use 1 gal,49012,250,GA,27.8,6950.0,2026-01-07,2026-01-12,250,Received,6700
PO-31063,2,P-10035,"Threadlocker 243 medium strength blue, 50 mL",243,100,EA,21.4,2140.0,2026-01-05,2026-01-05,100,Received,6700
PO-31064,1,P-20085,Retaining Ring 2.000,F24200,198,EA,1.16,229.68,2025-11-30,2025-12-05,198,Received,1200
PO-31065,1,P-10035,"Threadlocker 243 medium strength blue, 50 mL",243,193,EA,21.4,4130.2,2025-05-03,2025-05-03,193,Received,6700
PO-31065,2,P-10035,"Threadlocker 243 medium strength blue, 50 mL",243,193,EA,21.4,4130.2,2025-05-03,2025-05-03,193,Received,6700
PO-31065,3,P-10035,"Threadlocker 243 medium strength blue, 50 mL",243,193,EA,21.4,4130.2,2025-05-03,2025-05-05,193,Received,6700
PO-31065,4,P-10035,"Threadlocker 243 medium strength blue, 50 mL",243,250,EA,21.4,5350.0,2025-05-03,2025-05-03,250,Received,6700
PO-31066,1,P-20060,Coupling Hub - Raw Casting M6,C22391,123,EA,26.88,3306.24,2026-04-06,2026-04-06,61,Partial,1200
PO-31066,2,P-20118,Oil Seal 2.000,T98874,16,EA,13.91,222.56,2026-03-27,2026-03-27,16,Received,1200
PO-31066,3,P-20060,Coupling Hub - Raw Casting M6,C22391,500,EA,26.88,13440.0,2026-04-06,2026-04-08,250,Partial,1200
PO-31067,1,P-10105,1045 cold-finished round bar 2.000in,1045-RB-2.000,80,LB,0.94,75.2,2025-08-17,2025-08-17,80,Received,1200
PO-31067,2,P-10105,1045 cold-finished round bar 2.000in,1045-RB-2.000,50,LB,0.96,48.0,2025-08-17,2025-08-17,50,Received,1200
PO-31067,3,P-10098,A36 hot-rolled steel plate 1/2in,A36-PL-0.500,10,LB,0.68,6.8,2025-08-17,2025-08-19,10,Received,1200
PO-31068,1,P-20024,Set Screw 5/8-11,R53248,103,EA,0.38,39.14,2025-11-29,2025-11-29,103,Received,1200
PO-31068,2,P-20099,Retaining Ring 1/2-13,T12602,19,EA,0.77,14.63,2025-11-29,2025-11-29,19,Received,1200
PO-31068,3,P-10056,Machine stretch wrap 18in x 1500ft 80ga,SF18-80,313,RL,25.09,7853.17,2025-11-05,2025-11-10,313,Received,1200
PO-31068,4,P-10056,Machine stretch wrap 18in x 1500ft 80ga,SF18-80,313,RL,24.6,7699.8,2025-11-05,2025-11-10,313,Received,1200
PO-31069,1,P-20112,Elastomer Insert #50,R79904,161,EA,26.88,4327.68,2025-11-29,2025-11-29,161,Received,1200
PO-31070,1,P-10042,"Scotch-Brite hand pad 6x9 maroon, 20/bx",7447,100,BX,28.5,2850.0,2026-03-22,2026-03-22,100,Received,6700
PO-31071,1,P-20086,Set Screw size 8,F75346,100,EA,0.51,51.0,2025-07-05,2025-07-05,100,Received,1200
PO-31071,2,P-20050,Oil Seal size 6,S58621,177,EA,12.58,2226.66,2025-06-07,2025-06-09,177,Received,1200
PO-31071,3,P-20050,Oil Seal size 6,S58621,177,EA,12.84,2272.68,2025-06-07,2025-06-07,177,Received,1200
PO-31071,4,P-20042,Coupling Hub - Raw Casting M8,P2915,97,EA,49.72,4822.84,2025-06-15,2025-06-20,97,Received,1200
PO-31072,1,P-20068,Oil Seal size 6,H91880,250,EA,11.97,2992.5,2025-05-01,2025-05-06,250,Received,1200
PO-31072,2,P-20068,Oil Seal size 6,H91880,111,EA,11.97,1328.67,2025-05-01,2025-05-03,111,Received,1200
PO-31073,1,P-20096,Carbide Insert 2.000,S67464,171,EA,14.55,2488.05,2025-07-22,2025-07-24,171,Received,6700
PO-31073,2,P-20032,Coupling Hub - Raw Casting size 8,K32105,189,EA,46.74,8833.86,2025-07-12,2025-07-17,189,Received,1200
PO-31073,3,P-20018,Elastomer Insert 1/2-13,L97235,27,EA,25.87,698.49,2025-07-20,2025-07-25,27,Received,1200
PO-31073,4,P-20096,Carbide Insert 2.000,S67464,25,EA,14.700000000000001,367.5,2025-07-22,2025-07-22,25,Received,6700
PO-31074,1,P-20028,Coupling Hub - Raw Casting 1/4-20,D12726,26,EA,39.64,1030.64,2025-05-05,2025-05-05,26,Received,1200
PO-31075,1,P-20104,Elastomer Insert 1/2-13,D72275,100,EA,29.28,2928.0,2025-09-21,2025-09-21,100,Received,1200
PO-31076,1,P-20105,Coupling Hub - Raw Casting M12,G47425,25,EA,81.05,2026.25,2026-04-16,2026-04-21,0,Open,1200
PO-31077,1,P-20026,Set Screw #50,F67122,79,EA,0.61,48.19,2025-07-23,2025-07-25,79,Received,1200
