po_number,ack_date,confirmed_total,confirmed_ship_date,method
PO-31147,2026-03-24,7289.92,2026-03-27,EDI 855
PO-31149,2025-11-05,3276.0,2025-11-12,Portal
PO-31150,2025-11-21,4130.2,2025-11-22,Email
PO-31152,2025-10-05,6011.92,2025-10-07,EDI 855
PO-31153,2026-01-31,2234.87,2026-02-19,Portal
PO-31154,2026-03-09,150.4,2026-03-14,Portal
PO-31155,2025-12-29,5450.04,2026-01-16,Email
PO-31156,2025-09-29,2576.75,2025-10-23,EDI 855
PO-31157,2025-11-16,6100.0,2025-12-01,Email
PO-31158,2026-03-24,3396.75,2026-04-03,Email
PO-31159,2025-06-29,866.5,2025-07-21,Email
PO-31160,2025-07-23,5688.31,2025-08-17,Email
PO-31161,2025-08-08,1042.56,2025-09-01,Portal
PO-31162,2025-06-18,2328.06,2025-07-17,Email
PO-31163,2025-10-19,21285.51,2025-11-04,Email
PO-31164,2025-07-06,207.13,2025-07-08,Portal
PO-31165,2025-09-20,56.4,2025-10-18,Email
PO-31166,2026-01-05,888.4,2026-01-21,Email
PO-31170,2026-02-24,4592.94,2026-02-26,EDI 855
PO-31171,2025-10-20,5137.43,2025-10-22,Portal
PO-31172,2025-08-06,99.94,2025-08-11,Portal
PO-31173,2025-06-23,2639.8,2025-07-06,EDI 855
PO-31174,2025-12-31,1719.48,2026-01-16,Email
PO-31175,2025-11-19,15326.06,2025-12-03,Email
PO-31176,2025-09-10,5350.0,2025-09-29,EDI 855
PO-31177,2025-09-09,19753.8,2025-10-04,EDI 855
PO-31178,2025-09-26,2212.68,2025-10-12,Portal
PO-31180,2025-06-07,16767.2,2025-06-18,Email
PO-31181,2025-12-29,17030.19,2026-01-08,Email
PO-31182,2026-04-01,93.2,2026-04-05,EDI 855
PO-31185,2025-10-02,11942.0,2025-10-22,Email
PO-31188,2026-02-01,436.24,2026-02-17,Portal
PO-31189,2026-01-17,3309.6,2026-01-30,EDI 855
PO-31190,2026-02-15,519.75,2026-02-20,EDI 855
PO-31191,2025-12-04,1275.0,2025-12-11,EDI 855
PO-31192,2025-10-29,320611.02,2025-11-24,Portal
PO-31193,2025-07-20,1141.45,2025-08-07,Portal
PO-31196,2025-09-05,8992.68,2025-09-16,EDI 855
PO-31197,2026-03-25,1460.2,2026-04-01,Portal
PO-31198,2025-06-04,345.52,2025-06-23,Email
PO-31199,2026-01-13,2010.28,2026-01-27,Portal
PO-31200,2025-09-16,4018.77,2025-09-18,Portal
PO-31201,2025-08-10,575.0,2025-08-13,Portal
PO-31202,2026-01-15,8552.95,2026-01-30,Email
PO-31203,2025-11-28,2561.0,2025-12-11,Portal
PO-31205,2025-04-26,5014.9,2025-05-22,EDI 855
PO-31206,2025-07-03,894411.72,2025-07-27,Email
PO-31207,2026-03-05,3131.2,2026-03-31,EDI 855
PO-31208,2025-08-08,666.02,2025-08-22,Portal
PO-31209,2025-05-30,8929.8,2025-06-14,Email
PO-31211,2026-02-21,2333.31,2026-02-26,Email
PO-31214,2025-04-18,3705.52,2025-05-04,EDI 855
PO-31215,2025-12-23,7573.31,2025-12-27,EDI 855
PO-31216,2025-11-27,6770.88,2025-12-05,Email
PO-31217,2025-09-10,3109.58,2025-09-20,EDI 855
PO-31219,2025-11-22,7543.75,2025-12-03,Portal
PO-31220,2025-10-19,1193.48,2025-11-13,EDI 855
PO-31222,2025-06-10,18204.25,2025-07-05,Portal
PO-31224,2025-12-14,7945.25,2025-12-27,EDI 855
PO-31225,2026-03-22,10859.57,2026-03-24,EDI 855
PO-31227,2026-01-21,19981.1,2026-02-15,Email
PO-31228,2026-03-10,13261.22,2026-04-05,Email
PO-31230,2025-04-26,2137.5,2025-04-29,Email
PO-31231,2025-10-14,9581.06,2025-11-09,EDI 855
PO-31232,2025-12-25,3049.23,2026-01-09,EDI 855
PO-31233,2026-03-30,9107.91,2026-04-09,Email
PO-31234,2025-11-12,7873.46,2025-11-30,EDI 855
PO-31235,2026-03-13,7672.82,2026-04-08,Portal
PO-31236,2025-06-30,246.0,2025-07-05,Portal
PO-31237,2025-11-15,207.13,2025-12-04,Email
PO-31238,2026-01-17,519.75,2026-02-15,Portal
PO-31239,2025-06-04,22207.37,2025-06-08,EDI 855
PO-31241,2026-01-13,362.0,2026-02-09,Email
PO-31242,2025-08-09,2669.4,2025-08-21,EDI 855
PO-31243,2025-10-01,439.89,2025-10-03,EDI 855
PO-31244,2026-03-08,344.56,2026-03-13,EDI 855
PO-31245,2025-04-21,8428.0,2025-04-25,EDI 855
PO-31246,2026-03-17,759.87,2026-04-03,Email
PO-31248,2025-07-31,64.28,2025-08-24,Portal
PO-31250,2025-12-26,4613.7,2025-12-30,Email
PO-31253,2025-04-06,2896.52,2025-04-28,Email
PO-31254,2025-11-20,116.46,2025-12-09,Email
PO-31256,2026-02-02,261930.9,2026-02-28,Email
PO-31257,2025-12-12,7080.37,2026-01-07,Email
PO-31258,2025-09-06,4325.0,2025-09-24,EDI 855
