requisition_id,requested_by,request_date,department,reason,approved_by,approval_date,converted_po,status
NIC-REQ0057,E023,2026-02-23,Operations,Customer order,E060,2026-02-27,PO-31129,Ordered
NIC-REQ0058,E017,2025-04-10,Warehouse,Below reorder point,E060,2025-04-12,PO-31131,Ordered
NIC-REQ0059,E082,2026-01-13,Maintenance,Below reorder point,E060,2026-01-15,PO-31135,Ordered
NIC-REQ0060,E043,2025-10-16,Operations,Maintenance,E060,2025-10-19,PO-31136,Ordered
NIC-REQ0061,E076,2026-01-12,Warehouse,Stock-out,E060,2026-01-13,PO-31138,Ordered
NIC-REQ0062,E010,2025-04-12,Operations,MRP,E060,2025-04-15,PO-31141,Ordered
NIC-REQ0063,E101,2025-05-11,Maintenance,Stock-out,E060,2025-05-14,PO-31142,Ordered
NIC-REQ0064,E048,2026-03-22,Warehouse,Below reorder point,E060,2026-03-23,PO-31147,Ordered
NIC-REQ0065,E083,2026-01-22,Warehouse,Maintenance,E060,2026-01-23,PO-31151,Ordered
NIC-REQ0066,E011,2025-12-24,Maintenance,Below reorder point,E060,2025-12-28,PO-31155,Ordered
NIC-REQ0067,E029,2026-03-20,Purchasing,Maintenance,E060,2026-03-23,PO-31158,Ordered
NIC-REQ0068,E018,2025-06-27,Warehouse,Below reorder point,E060,2025-06-28,PO-31159,Ordered
NIC-REQ0069,E100,2025-06-16,Purchasing,Stock-out,E060,2025-06-18,PO-31162,Ordered
NIC-REQ0070,E017,2025-10-17,Maintenance,MRP,E060,2025-10-18,PO-31163,Ordered
NIC-REQ0071,E087,2025-07-02,Warehouse,Stock-out,E060,2025-07-03,PO-31164,Ordered
NIC-REQ0072,E072,2025-09-17,Warehouse,Stock-out,E060,2025-09-18,PO-31165,Ordered
NIC-REQ0073,E087,2025-07-20,Maintenance,Stock-out,E060,2025-07-23,PO-31167,Ordered
NIC-REQ0074,E008,2025-10-04,Maintenance,Below reorder point,E060,2025-10-06,PO-31168,Ordered
NIC-REQ0075,E082,2025-07-25,Warehouse,Below reorder point,E060,2025-07-26,PO-31169,Ordered
NIC-REQ0076,E046,2026-02-17,Warehouse,Below reorder point,E060,2026-02-22,PO-31170,Ordered
NIC-REQ0077,E083,2025-09-24,Maintenance,Stock-out,E060,2025-09-26,PO-31178,Ordered
NIC-REQ0078,E099,2025-12-27,Purchasing,Below reorder point,E060,2025-12-28,PO-31181,Ordered
NIC-REQ0079,E012,2025-09-30,Warehouse,Customer order,E060,2025-10-02,PO-31185,Ordered
NIC-REQ0080,E106,2025-12-01,Warehouse,Customer order,E060,2025-12-02,PO-31191,Ordered
NIC-REQ0081,E082,2025-07-17,Operations,Stock-out,E060,2025-07-20,PO-31193,Ordered
NIC-REQ0082,E044,2026-02-21,Operations,MRP,E060,2026-02-25,PO-31195,Ordered
NIC-REQ0083,E098,2025-08-30,Operations,Maintenance,E060,2025-09-04,PO-31196,Ordered
NIC-REQ0084,E037,2026-03-21,Warehouse,Below reorder point,E060,2026-03-22,PO-31197,Ordered
NIC-REQ0085,E015,2026-01-06,Warehouse,MRP,E060,2026-01-11,PO-31199,Ordered
NIC-REQ0086,E088,2025-09-10,Operations,Maintenance,E060,2025-09-13,PO-31200,Ordered
NIC-REQ0087,E029,2025-08-06,Maintenance,Stock-out,E060,2025-08-08,PO-31201,Ordered
NIC-REQ0088,E075,2026-01-09,Purchasing,Customer order,E060,2026-01-13,PO-31202,Ordered
NIC-REQ0089,E099,2025-09-23,Purchasing,Customer order,E060,2025-09-25,PO-31204,Ordered
NIC-REQ0090,E050,2025-06-29,Purchasing,Below reorder point,E060,2025-06-30,PO-31206,Ordered
NIC-REQ0091,E018,2025-08-04,Warehouse,MRP,E060,2025-08-07,PO-31208,Ordered
NIC-REQ0092,E010,2025-05-23,Purchasing,Below reorder point,E060,2025-05-28,PO-31209,Ordered
NIC-REQ0093,E079,2026-02-18,Operations,Maintenance,E060,2026-02-19,PO-31211,Ordered
NIC-REQ0094,E045,2025-04-14,Maintenance,Maintenance,E060,2025-04-17,PO-31214,Ordered
NIC-REQ0095,E106,2025-12-17,Warehouse,Customer order,E060,2025-12-20,PO-31215,Ordered
NIC-REQ0096,E026,2025-04-10,Purchasing,Below reorder point,E060,2025-04-11,PO-31218,Ordered
NIC-REQ0097,E063,2025-10-13,Maintenance,MRP,E060,2025-10-18,PO-31220,Ordered
NIC-REQ0098,E095,2025-05-16,Operations,Stock-out,E060,2025-05-20,PO-31221,Ordered
NIC-REQ0099,E075,2025-06-03,Maintenance,Below reorder point,E060,2025-06-08,PO-31222,Ordered
NIC-REQ0100,E016,2025-12-10,Operations,Stock-out,E060,2025-12-13,PO-31224,Ordered
NIC-REQ0101,E105,2025-08-22,Warehouse,MRP,E060,2025-08-26,PO-31226,Ordered
NIC-REQ0102,E068,2026-03-06,Warehouse,MRP,E060,2026-03-08,PO-31228,Ordered
NIC-REQ0103,E103,2025-10-10,Operations,Maintenance,E060,2025-10-11,PO-31231,Ordered
NIC-REQ0104,E074,2025-05-07,Maintenance,Customer order,E060,2025-05-12,PO-31240,Ordered
NIC-REQ0105,E003,2026-01-08,Warehouse,Maintenance,E060,2026-01-11,PO-31241,Ordered
NIC-REQ0106,E063,2025-08-03,Purchasing,Maintenance,E060,2025-08-06,PO-31242,Ordered
NIC-REQ0107,E071,2026-03-11,Maintenance,Stock-out,E060,2026-03-15,PO-31246,Ordered
NIC-REQ0108,E090,2026-01-14,Operations,MRP,E060,2026-01-18,PO-31251,Ordered
NIC-REQ0109,E072,2025-07-29,Purchasing,MRP,E060,2025-07-30,PO-31252,Ordered
NIC-REQ0110,E006,2025-04-02,Maintenance,Stock-out,E060,2025-04-06,PO-31253,Ordered
NIC-REQ0111,E106,2025-11-15,Purchasing,MRP,E060,2025-11-18,PO-31254,Ordered
NIC-REQ0112,E024,2026-01-09,Maintenance,Customer order,E060,2026-01-12,PO-31255,Ordered
NIC-REQ0113,E092,2026-03-01,Operations,Stock-out,E060,2026-03-03,PO-31259,Ordered
