Inspection Id,Type,Reference,Item Id,Inspection Date,Inspector Id,Sample Size,Defects Found,Result,Plan
INS-00034,Receiving,RCV-40023,MOUN-1029,2026-02-23,E045,2,0,Accept,AQL 1.0 Level II
INS-00035,Receiving,RCV-40006,SHEA-1037,2025-05-29,E045,8,0,Accept,AQL 1.0 Level II
INS-00036,Receiving,RCV-40264,KIM-G10,2025-04-28,E045,5,0,Accept,AQL 1.0 Level II
INS-00037,Receiving,RCV-40021,SHEA-1038,2025-07-04,E045,2,0,Accept,AQL 1.0 Level II
INS-00038,Receiving,RCV-40175,TIMI-1058,2026-02-10,E045,13,0,Accept,AQL 1.0 Level II
INS-00039,Receiving,RCV-40230,SHEA-1088,2026-02-11,E045,8,4,Reject,AQL 1.0 Level II
INS-00040,Receiving,RCV-40059,MOUN-1034,2026-01-13,E045,8,0,Accept,AQL 1.0 Level II
INS-00041,Final,WO-70001,CONV-1043,2025-11-01,E045,2,0,Accept,100% dimensional on criticals
INS-00042,Final,WO-70003,CONV-1051,12/25/2025,E045,1,0,Accept,100% dimensional on criticals
INS-00043,Final,WO-70004,CONV-1046,2025-05-16,E045,2,0,Accept,100% dimensional on criticals
INS-00044,Final,WO-70005,CONV-1022,12/09/2025,E045,2,0,Accept,100% dimensional on criticals
INS-00045,Final,WO-70007,CONV-1051,2025-08-12,E045,1,0,Accept,100% dimensional on criticals
INS-00046,Final,WO-70008,CONV-1039,2025-05-17,E045,1,0,Accept,100% dimensional on criticals
INS-00047,Final,WO-70009,CONV-1043,2025-10-25,E045,1,0,Accept,100% dimensional on criticals
INS-00048,Final,WO-70010,CONV-1051,2025-11-02,E045,1,0,Accept,100% dimensional on criticals
INS-00049,Final,WO-70011,CONV-1023,2025-11-17,E045,2,0,Accept,100% dimensional on criticals
INS-00050,Final,WO-70012,CONV-1039,2025-04-19,E045,4,0,Accept,100% dimensional on criticals
INS-00051,Final,WO-70013,CONV-1065,15-Nov-2025,E045,2,0,Accept,100% dimensional on criticals
INS-00052,Final,WO-70014,CONV-1089,2025-06-29,E045,2,0,Accept,100% dimensional on criticals
INS-00053,Final,WO-70015,CONV-1052,2025-10-08,E045,4,2,Reject,100% dimensional on criticals
INS-00054,Final,WO-70016,CONV-1052,2025-11-08,E045,1,0,Accept,100% dimensional on criticals
INS-00055,Final,WO-70017,CONV-1039,2025-08-07,E045,4,0,Accept,100% dimensional on criticals
INS-00056,Final,WO-70018,CONV-1043,01/25/26,E045,4,0,Accept,100% dimensional on criticals
INS-00057 ,Final,WO-70019,CONV-1043,2025-08-25,E045,1,0,Accept,100% dimensional on criticals
INS-00058,Final,WO-70020,CONV-1065,2025-12-05,E045,1,0,Accept,100% dimensional on criticals
INS-00059,Final,WO-70022,CONV-1052,2025-07-31,E045,1,0,Accept,100% dimensional on criticals
INS-00060,Final,WO-70023,CONV-1013,2026-03-09,E045,1,0,Accept,100% dimensional on criticals 
INS-00061,Final,WO-70024,CONV-1023,2025-05-14,E045,1,0,Accept,100% dimensional on criticals
INS-00062,Final,WO-70025,CONV-1065,09-Aug-2025,E045,4,0,Accept,100% dimensional on criticals
INS-00063,Final,WO-70026,CONV-1023,2025-07-04,E045,1,0,Accept,100% dimensional on criticals
INS-00064,Final,WO-70027,CONV-1051,2025-09-13,E045,2,0,Accept,100% dimensional on criticals
INS-00065,Final,WO-70028,CONV-1089,2026-03-06,E045,1,0,Accept,100% dimensional on criticals
INS-00066,Final,WO-70029,CONV-1046,2025-09-23 ,E045,1,0,Accept,100% dimensional on criticals
INS-00067,Final,WO-70030,CONV-1052,2026-01-08,E045,1,0,Accept,100% dimensional on criticals
INS-00068,Final,WO-70031,CONV-1051,2025-07-01,E045,2,0,Accept,100% dimensional on criticals 
INS-00069,Final ,WO-70032,CONV-1039,2025-12-13,E045,1,0,Accept,100% dimensional on criticals
INS-00070,Final,WO-70033,CONV-1052,2025-12-22,E045,4,0,Accept,100% dimensional on criticals
INS-00071,Final,WO-70034,CONV-1089,2025-09-20,E045,2,0,Accept,100% dimensional on criticals
INS-00072,Final,WO-70036,CONV-1065,2025-12-19,E045,1,0,Accept,100% dimensional on criticals
INS-00073,Final,WO-70037,CONV-1089,2025-04-19,E045,4,0,Accept,100% dimensional on criticals
INS-00074,Final,WO-70038,CONV-1039,06-Sep-2025,E045,2,0,Accept,100% dimensional on criticals
INS-00075,Final,WO-70039,CONV-1051,2026-02-18,E045,1,0,Accept,100% dimensional on criticals
INS-00076,Final,WO-70040,CONV-1022,2026-01-31,E045,2,0,Accept,100% dimensional on criticals
INS-00077,Final,WO-70041,CONV-1042,2026-02-07,E045,4,0,Accept,100% dimensional on criticals
INS-00078,Final,WO-70043,CONV-1022,2025-05-10,E045,1,0,Accept,100% dimensional on criticals
INS-00079,Final,WO-70045,CONV-1051,2026-01-13,E045,4,0,Accept,100% dimensional on criticals
INS-00080,Final,WO-70046,CONV-1022,2025-11-03,E045 ,4,0,Accept,100% dimensional on criticals
INS-00081,Final,WO-70049,CONV-1023,2026-03-09,E045,4,0,Accept,100% dimensional on criticals 
INS-00082,Final,WO-70050,CONV-1051,2025-07-27,E045,1,0,Accept,100% dimensional on criticals
INS-00083,Final,WO-70051,CONV-1051,2025-12-09,E045,2,0,Accept,100% dimensional on criticals
INS-00084,Final,WO-70052,CONV-1065,"Oct 30, 2025",E045,2,0,Accept,100% dimensional on criticals
INS-00085,Final,WO-70053,CONV-1022,2026-02-04,E045,1,0,Accept,100% dimensional on criticals
INS-00086,Final,WO-70054,CONV-1089,2025-06-12,E045,2,0,Accept,100% dimensional on criticals
INS-00087,Final,WO-70055,CONV-1042,2026-02-21,E045,1,0,Accept,100% dimensional on criticals
INS-00088,Final,WO-70056,CONV-1023,2025-05-14,E045,2,0,Accept,100% dimensional on criticals
INS-00089,Final,WO-70057,CONV-1051,2025-10-13,E045,1,0,Accept,100% dimensional on criticals
INS-00090,Final,WO-70058,CONV-1013,2025-11-26,E045,1,3,Reject,100% dimensional on criticals
INS-00091,Final,WO-70059,CONV-1046,2025-12-02,E045,4,0,Accept,100% dimensional on criticals
INS-00092,Final,WO-70060,CONV-1013,2025-08-20,E045,4,0,Accept,100% dimensional on criticals
