Ap Invoice Id,Vendor Id,Vendor Name,Invoice Number,Invoice Date,Due Date,Amount,Gl Account,Category,Status,Approved By
KBD-AP00020,KBD-CV003,Cintas Corp #472,4409396,2025-05-31,25-Jun-2025,755.98,6700,Uniforms / Facility Services,Paid,E002
KBD-AP00021,KBD-CV003,Cintas Corp #472,5440130,27-Aug-2025,09/29/2025,2739.32,6700,Uniforms / Facility Services,Paid,E002
KBD-AP00022,KBD-CV003,Cintas Corp #472,9228464,2025-10-12,2025-11-13,1553.85,6700,Uniforms / Facility Services,Paid,E002
KBD-AP00023,KBD-CV003,Cintas Corp #472,8931277,2025-12-25,01/15/2026,814.41,6700,Uniforms / Facility Services,Paid,E002
KBD-AP00024,KBD-CV003,Cintas Corp #472,1442724,2026-01-24,2026-02-25,1772.11,6700,Uniforms / Facility Services,Paid,E002
KBD-AP00025 ,KBD-CV003,Cintas Corp #472,6244658,2026-02-09,27-Mar-2026,1661.35,6700,Uniforms / Facility Services,Paid,E002
KBD-AP00026,KBD-CV004,STAPLES BUS ADV,2805961,2025-04-22,2025-05-27,3004.63,6700,Office Supplies,Paid,E002
KBD-AP00027,KBD-CV004,STAPLES BUS ADV,1370628,2025-05-18,2025-06-21,658.41,6700,Office Supplies,Paid,E002
KBD-AP00028,KBD-CV004,STAPLES BUS ADV,6636294,2025-06-26,2025-07-29,3794.22,6700,Office Supplies,Paid,E002
KBD-AP00029,KBD-CV004,STAPLES BUS ADV,3385684,2025-07-21,2025-08-30,3017.8,6700,Office Supplies ,Paid,E002
KBD-AP00030,KBD-CV004,STAPLES BUS ADV,1725738,2025-08-19,2025-09-27,2107.73,6700,Office Supplies,Paid,E002 
KBD-AP00031,KBD-CV004,STAPLES BUS ADV,6322320,2025-09-12,2025-10-10,4176.91,6700,Office Supplies,Paid,E002
KBD-AP00032,KBD-CV004,STAPLES BUS ADV,4316498,2025-11-22,2025-12-12,2642.69,6700,Office Supplies,Paid,E002
KBD-AP00033,KBD-CV004,STAPLES BUS ADV,4828209,2026-02-21,2026-03-15,1535.91,6700,Office Supplies,Paid,E002
KBD-AP00034,KBD-CV004,STAPLES BUS ADV,2185350,2026-03-24 ,2026-04-28,3257.81,6700,Office Supplies,Open,E002
KBD-AP00035,KBD-CV006,FEDEX,230370,2025-04-25,2025-05-17,13.82,5300,Parcel Freight,Paid,E002
KBD-AP00036,KBD-CV006,FEDEX,9991074,2025-05-22,2025-06-26,109.77,5300,Parcel Freight,Paid,E002
KBD-AP00037,KBD-CV006,FEDEX,1873710,2025-06-21,2025-07-29,183.87,5300,Parcel Freight,Paid,E002
KBD-AP00038,KBD-CV006,FEDEX,8522321,2025-08-20,2025-09-24,67.63,5300,Parcel Freight,Paid,E002
KBD-AP00039,KBD-CV006,FEDEX,7470257,2025-09-23,2025-10-20,53.52,5300,Parcel Freight,Paid,E002
KBD-AP00040,KBD-CV006,FEDEX,816591,13-Oct-2025,"Nov 26, 2025",134.17,5300,Parcel Freight,Paid,E002
KBD-AP00041,KBD-CV006,FEDEX,4967402,2025-11-17,2025-12-10,19.74,5300,Parcel Freight,Paid,E002
KBD-AP00042,KBD-CV006,FEDEX,6240373,2025-12-26,"Jan 28, 2026",60.57,5300,Parcel Freight,Paid,E002
KBD-AP00043,KBD-CV006,FEDEX,1463313 ,2026-01-13,2026-02-17,27.08,5300,Parcel Freight,Paid,E002
KBD-AP00044,KBD-CV006,FEDEX,1361289,2026-02-25,2026-03-13,66.12,5300,Parcel Freight ,Paid,E002
KBD-AP00045,KBD-CV006,FEDEX,9133801,2026-03-16,2026-04-14,78.95,5300,Parcel Freight,Open,E002
KBD-AP00046,KBD-CV007,Allentown Industrial Park LLC,1884257,2025-04-11,2025-05-20,14200,6300,Rent,Paid,E002
KBD-AP00047,KBD-CV007,Allentown Industrial Park LLC,8889928,"May 28, 2025",2025-06-28,14200,6300,Rent,Paid,E002
KBD-AP00048,KBD-CV007,Allentown Industrial Park LLC,4406300,06/13/2025,2025-07-28,14200,6300,Rent,Paid,E002
KBD-AP00049,KBD-CV007,Allentown Industrial Park LLC,5620699,2025-07-27,2025-08-25,14200,6300,Rent,Paid,E002
KBD-AP00050,KBD-CV007,Allentown Industrial Park LLC,3101112,2025-08-13,2025-09-14,14200,6300,Rent,Paid,E002
KBD-AP00051,KBD-CV007 ,Allentown Industrial Park LLC,4861073,2025-09-14,2025-10-24,14200,6300,Rent,Paid,E002
KBD-AP00052,KBD-CV007,Allentown Industrial Park LLC,3220365,2025-10-28,2025-11-17,14200,6300,Rent,Paid,E002
KBD-AP00053,KBD-CV007,Allentown Industrial Park LLC,8409805,2025-11-20,2025-12-24,14200,6300,Rent,Paid,E002
KBD-AP00054 ,KBD-CV007,Allentown Industrial Park LLC,8963768,"Dec 16, 2025",2026-01-16,14200,6300,Rent,Paid,E002
KBD-AP00055,KBD-CV007,Allentown Industrial Park LLC,2129986,2026-01-27,2026-02-17,14200,6300,Rent,Paid,E002
KBD-AP00056,KBD-CV007,Allentown Industrial Park LLC,879304,2026-02-20,2026-03-10,14200,6300,Rent,Paid,E002
KBD-AP00057,KBD-CV007,Allentown Industrial Park LLC,4400978,2026-03-12,2026-04-12,14200,6300,Rent,Open,E002
