Journal Id,Posting Date,Period,Account Number,Account Name,Debit,Credit,Memo,Source Module,Reference
JE-004362,2025-04-30,2025-04,6700,Office & Supplies,3096.64,0,GRAINGER,AP,KBD-AP00009
JE-004363,"Apr 30, 2025",2025-04,2000,Accounts Payable,0,3096.64,GRAINGER,AP,KBD-AP00009
JE-004382,2025-04-30,2025-04,6700,Office & Supplies,2020.96,0,Cintas Corp #472,AP,KBD-AP00019
JE-004383,2025-04-30,2025-04,2000,Accounts Payable,0,2020.96,Cintas Corp #472,AP,KBD-AP00019
JE-004396,2025-04-30,2025-04,6700,Office & Supplies,3004.63,0,STAPLES BUS ADV,AP,KBD-AP00026
JE-004397,2025-04-30,2025-04,2000,Accounts Payable,0,3004.63,STAPLES BUS ADV,AP,KBD-AP00026
JE-004414,2025-04-30,2025-04,5300,Freight In,13.82,0,FEDEX,AP,KBD-AP00035
JE-004415,2025-04-30,2025-04,2000,Accounts Payable,0,13.82,FEDEX,AP,KBD-AP00035
JE-004436,2025-04-30,2025-04,6300,Rent,14200,0,Allentown Industrial Park LLC,AP,KBD-AP00046
JE-004437,04/30/2025,2025-04,2000,Accounts Payable,0,14200,Allentown Industrial Park LLC,AP,KBD-AP00046 
JE-004460,2025-04-30,2025-04,6400,Software Subscriptions,9000.0,0,NetSuite,AP,SW-NETSUI
JE-004461,2025-04-30,2025-04,2000,Accounts Payable,0,9000.0,NetSuite,AP,SW-NETSUI
JE-004484,2025-04-30,2025-04,6400,Software Subscriptions,1725.0,0,Autodesk Inventor,AP,SW-AUTODE
JE-004485,2025-04-30,2025-04,2000,Accounts Payable,0,1725.0,Autodesk Inventor,AP,SW-AUTODE
JE-004508,2025-04-30,2025-04,6400,Software Subscriptions,400.0,0,uniPoint QMS,AP,SW-UNIPOI
JE-004509,2025-04-30,2025-04,2000,Accounts Payable,0,400.0,uniPoint QMS,AP,SW-UNIPOI
JE-004532,2025-04-30,2025-04,6400,Software Subscriptions,787.5,0,Microsoft 365 Business Standard,AP,SW-MICROS 
JE-004533,2025-04-30,2025-04,2000,Accounts Payable,0,787.5,Microsoft 365 Business Standard,AP,SW-MICROS
JE-004556,2025-04-30,2025-04,6400,Software Subscriptions,1980.0,0,Paycom,AP,SW-PAYCOM
JE-004557,2025-04-30,2025-04,2000,Accounts Payable,0,1980.0,Paycom,AP,SW-PAYCOM
JE-004580,2025-04-30,2025-04,6400,Software Subscriptions,1200.0,0,ShipStation,AP,SW-SHIPST
JE-004581,30-Apr-2025,2025-04,2000,Accounts Payable,0,1200.0,ShipStation,AP,SW-SHIPST
JE-004604,2025-04-30,2025-04,6400,Software Subscriptions,720.0,0,HubSpot Sales Hub,AP,SW-HUBSPO
JE-004605,"Apr 30, 2025",2025-04,2000,Accounts Payable,0,720.0,HubSpot Sales Hub,AP,SW-HUBSPO
JE-004628,2025-04-30,2025-04,6400,Software Subscriptions,567.0,0,Expensify ,AP,SW-EXPENS
JE-004629,30-Apr-2025,2025-04,2000,Accounts Payable,0,567.0,Expensify,AP,SW-EXPENS 
JE-004652,2025-04-30,2025-04 ,6400,Software Subscriptions,880.0,0,Dropbox Business,AP ,SW-DROPBO
JE-004653,2025-04-30,2025-04,2000,Accounts Payable,0,880.0,Dropbox Business,AP,SW-DROPBO
JE-004676,2025-04-30,2025-04,6400,Software Subscriptions,630.0,0,Zoom Workplace,AP,SW-ZOOMW
JE-004677,2025-04-30,2025-04,2000,Accounts Payable,0,630.0,Zoom Workplace,AP,SW-ZOOMW
JE-004700,2025-04-30,2025-04 ,6400,Software Subscriptions,392.0,0,8x8 Work,AP,SW-8X8WO
JE-004701,2025-04-30,2025-04,2000,Accounts Payable,0,392.0,8x8 Work,AP,SW-8X8WO
JE-004724,"Apr 30, 2025",2025-04,6000,Salaries & Wages,346465.1,0,Monthly payroll,PR,PR-202504
JE-004725,2025-04-30,2025-04,2300,Payroll Liabilities,0,346465.1,Monthly payroll,PR,PR-202504
JE-003327,05/01/25,2025-05,2050,GR/IR Clearing (Received Not Invoiced),29299.4,0,Supplier inv 98341182,AP,98341182
JE-003328,2025-05-01,2025-05,5300,Freight In,166.47,0,Freight in,AP,98341182
JE-003329,05/01/2025,2025-05,2000,Accounts Payable,0,29465.87,Supplier inv 98341182,AP,98341182
JE-003347,2025-05-02,2025-05,2050,GR/IR Clearing (Received Not Invoiced),13263.9,0,Supplier inv 99749431,AP,99749431
JE-003348,2025-05-02,2025-05,2000,Accounts Payable,0,13263.9,Supplier inv 99749431,AP,99749431
JE-003140,2025-05-03,2025-05,2050,GR/IR Clearing (Received Not Invoiced),161669.34,0,Supplier inv 3069796,AP,3069796
JE-003141 ,2025-05-03,2025-05,2000,Accounts Payable,0,161669.34,Supplier inv 3069796,AP,3069796
JE-003707,2025-05-03,2025-05,2050,GR/IR Clearing (Received Not Invoiced),6444.0,0,Supplier inv INV5400499,AP,INV5400499
JE-003708,2025-05-03,2025-05,5300,Freight In,68.55,0,Freight in,AP,INV5400499
JE-003709,2025-05-03,2025-05,2000,Accounts Payable,0,6512.55,Supplier inv INV5400499,AP,INV5400499
JE-000637,2025-05-04,2025-05,1100,Accounts Receivable,1482.1,0,Invoice INV-60135,AR,INV-60135
JE-000638,2025-05-04,2025-05,4010,Product Sales - Distributed,0,1381.91,Invoice INV-60135,AR,INV-60135
JE-000639,2025-05-04,2025-05,2100,Accrued Expenses,0,100.19,Sales tax payable,AR,INV-60135
JE-000640,2025-05-04,2025-05,5000,COGS - Materials,909.15,0,COGS,AR,INV-60135
JE-000641,2025-05-04,2025-05,1230,Inventory - Purchased for Resale,0,909.15,Inventory relief,AR,INV-60135
JE-001927,2025-05-04,2025-05,1100,Accounts Receivable,10777.01,0,Invoice INV-60405,AR,INV-60405
JE-001928,2025-05-04,2025-05,4010,Product Sales - Distributed,0,10777.01,Invoice INV-60405,AR,INV-60405
JE-001929,2025-05-04,2025-05,5000,COGS - Materials,7042.96,0,COGS,AR,INV-60405
JE-001930,2025-05-04,2025-05,1230,Inventory - Purchased for Resale,0,7042.96,Inventory relief,AR ,INV-60405
JE-000267,2025-05-05,2025-05,1100,Accounts Receivable,19306.22,0,Invoice INV-60057,AR,INV-60057
JE-000268,2025-05-05,2025-05,4010,Product Sales - Distributed,0,17612.62,Invoice INV-60057,AR,INV-60057 
JE-000269,2025-05-05,2025-05,4100,Freight Revenue,0,416.69,Freight billed,AR,INV-60057
JE-000270,2025-05-05,2025-05,2100,Accrued Expenses,0,1276.91,Sales tax payable,AR,INV-60057
JE-000271,2025-05-05,2025-05,5000,COGS - Materials,11492.98,0,COGS,AR,INV-60057
JE-000272,2025-05-05,2025-05,1230,Inventory - Purchased for Resale,0,11492.98,Inventory relief,AR,INV-60057
JE-001752,2025-05-05,2025-05,1100,Accounts Receivable,244.78,0,Invoice INV-60368,AR,INV-60368
JE-001753,2025-05-05,2025-05,4010,Product Sales - Distributed,0,244.78,Invoice INV-60368,AR,INV-60368
JE-001754,05/05/25,2025-05,5000,COGS - Materials,145.12,0,COGS,AR,INV-60368
JE-001755,2025-05-05,2025-05,1230,Inventory - Purchased for Resale,0,145.12,Inventory relief,AR,INV-60368
JE-003575,2025-05-05,2025-05,2050,GR/IR Clearing (Received Not Invoiced),1314045.14,0,Supplier inv INV3835099,AP,INV3835099
JE-003576,"May 05, 2025",2025-05,5300,Freight In,84.01,0,Freight in,AP,INV3835099
JE-003577,2025-05-05,2025-05,2000,Accounts Payable,0,1314129.15,Supplier inv INV3835099,AP,INV3835099
JE-000223,05/06/25,2025-05,1100,Accounts Receivable,34747.23,0,Invoice INV-60048,AR,INV-60048
JE-000224,05/06/2025,2025-05,4010,Product Sales - Distributed,0,32723.88,Invoice INV-60048 ,AR,INV-60048
JE-000225,05/06/25,2025-05,4100,Freight Revenue,0,2023.35,Freight billed,AR,INV-60048
JE-000226,06-May-2025,2025-05,5000,COGS - Materials,22710.32,0,COGS,AR,INV-60048
JE-000227,2025-05-06,2025-05,1230,Inventory - Purchased for Resale,0,22710.32,Inventory relief ,AR,INV-60048
JE-004220,2025-05-06,2025-05,1230,Inventory - Purchased for Resale,254308.96,0,PO receipt PO-31234,INV,RCV-40227
JE-004221,2025-05-06,2025-05,2050,GR/IR Clearing (Received Not Invoiced),0,254308.96,PO receipt PO-31234,INV,RCV-40227
JE-001208,2025-05-07,2025-05,1100,Accounts Receivable,14647.55,0,Invoice INV-60255,AR,INV-60255
JE-001209,2025-05-07,2025-05,4010,Product Sales - Distributed,0,14647.55,Invoice INV-60255,AR,INV-60255
JE-001210,2025-05-07,2025-05,5000,COGS - Materials,10770.25,0,COGS,AR,INV-60255
JE-001211,2025-05-07,2025-05,1230,Inventory - Purchased for Resale,0,10770.25,Inventory relief,AR,INV-60255
JE-001595,2025-05-07,2025-05,1100,Accounts Receivable,1925.58,0,Invoice INV-60335,AR,INV-60335
JE-001596,2025-05-07,2025-05,4010,Product Sales - Distributed ,0,1746.79,Invoice INV-60335,AR,INV-60335
JE-001597,2025-05-07,2025-05,4100,Freight Revenue,0,178.79,Freight billed,AR,INV-60335
JE-001598,2025-05-07,2025-05,5000,COGS - Materials,1094.33,0,COGS,AR,INV-60335
JE-001599,2025-05-07,2025-05,1230,Inventory - Purchased for Resale,0,1094.33,Inventory relief,AR,INV-60335
JE-003151 ,2025-05-07,2025-05,2050,GR/IR Clearing (Received Not Invoiced),12877.8,0,Supplier inv SI4483768,AP,SI4483768 
JE-003152,2025-05-07,2025-05,5300,Freight In,19.07,0,Freight in,AP,SI4483768
JE-003153,2025-05-07,2025-05,2000,Accounts Payable,0,12896.87,Supplier inv SI4483768,AP,SI4483768
JE-003802,"May 07, 2025",2025-05,1230,Inventory - Purchased for Resale,12877.8,0,PO receipt PO-31018,INV,RCV-40018
JE-003803,2025-05-07,2025-05,2050,GR/IR Clearing (Received Not Invoiced),0,12877.8,PO receipt PO-31018,INV,RCV-40018
JE-001342,2025-05-08,2025-05,1100,Accounts Receivable,4846.0,0,Invoice INV-60283,AR,INV-60283
JE-001343,2025-05-08,2025-05,4010,Product Sales - Distributed,0,4846.0,Invoice INV-60283,AR,INV-60283
JE-001344,2025-05-08,2025-05,5000,COGS - Materials,3456.0,0,COGS,AR,INV-60283
JE-001345,2025-05-08,2025-05,1230,Inventory - Purchased for Resale,0,3456.0,Inventory relief,AR,INV-60283
JE-003620,2025-05-08,2025-05,2050,GR/IR Clearing (Received Not Invoiced),254308.96,0,Supplier inv 6328148,AP,6328148
JE-003621,2025-05-08,2025-05,2000,Accounts Payable,0,254308.96,Supplier inv 6328148,AP,6328148
JE-003788,2025-05-08,2025-05,1230,Inventory - Purchased for Resale,15236.0,0,PO receipt PO-31011,INV,RCV-40011
JE-003789,2025-05-08,2025-05,2050,GR/IR Clearing (Received Not Invoiced),0,15236.0,PO receipt PO-31011,INV,RCV-40011
JE-000209,2025-05-09,2025-05,1100,Accounts Receivable,24650.12,0,Invoice INV-60045,AR,INV-60045
JE-000210,2025-05-09,2025-05,4010,Product Sales - Distributed,0,24650.12,Invoice INV-60045,AR,INV-60045
JE-000211,2025-05-09,2025-05 ,5000,COGS - Materials,17574.48,0,COGS,AR,INV-60045
JE-000212,2025-05-09,2025-05,1230,Inventory - Purchased for Resale,0,17574.48,Inventory relief,AR,INV-60045
JE-003134,2025-05-09,2025-05,2050,GR/IR Clearing (Received Not Invoiced),15236.0,0,Supplier inv 92327789,AP,92327789
JE-003135,2025-05-09,2025-05,5300,Freight In,13.78,0,Freight in,AP,92327789
JE-003136,2025-05-09,2025-05,2000,Accounts Payable,0,15249.78,Supplier inv 92327789,AP,92327789
JE-003800,09-May-2025,2025-05,1230,Inventory - Purchased for Resale,29127.99,0,PO receipt PO-31017,INV,RCV-40017
JE-003801,2025-05-09,2025-05,2050,GR/IR Clearing (Received Not Invoiced),0,29127.99,PO receipt PO-31017,INV,RCV-40017
JE-001028,2025-05-10,2025-05,1100,Accounts Receivable,16287.18,0,Invoice INV-60217,AR,INV-60217
JE-001029,2025-05-10,2025-05,4010,Product Sales - Distributed,0,16287.18,Invoice INV-60217,AR,INV-60217
JE-001030,2025-05-10,2025-05,5000,COGS - Materials,13189.05,0,COGS,AR,INV-60217
JE-001031,2025-05-10,2025-05,1230,Inventory - Purchased for Resale,0,13189.05,Inventory relief,AR,INV-60217
JE-001051,2025-05-10,2025-05,1100,Accounts Receivable,193.55,0,Invoice INV-60222,AR,INV-60222
JE-001052,2025-05-10,2025-05,4010,Product Sales - Distributed,0,146.77,Invoice INV-60222,AR,INV-60222
JE-001053,2025-05-10,2025-05,4100,Freight Revenue,0,46.78,Freight billed,AR,INV-60222
JE-001054,2025-05-10,2025-05,5000,COGS - Materials,81.74,0,COGS,AR,INV-60222
JE-001055,2025-05-10,2025-05,1230,Inventory - Purchased for Resale,0,81.74,Inventory relief,AR,INV-60222
JE-004078,10-May-2025,2025-05,1230,Inventory - Purchased for Resale,9721.09,0,PO receipt PO-31159,INV,RCV-40156
JE-004079,2025-05-10,2025-05,2050 ,GR/IR Clearing (Received Not Invoiced) ,0,9721.09,PO receipt PO-31159,INV,RCV-40156
JE-003826,2025-05-11,2025-05,1230,Inventory - Purchased for Resale,52588.44,0,PO receipt PO-31030,INV,RCV-40030
JE-003827,2025-05-11,2025-05,2050,GR/IR Clearing (Received Not Invoiced),0,52588.44,PO receipt PO-31030,INV,RCV-40030
JE-001126,2025-05-12,2025-05,1100,Accounts Receivable,9836.8,0,Invoice INV-60238,AR,INV-60238
JE-001127,2025-05-12,2025-05,4010,Product Sales - Distributed,0,4796.8,Invoice INV-60238,AR,INV-60238
JE-001128,2025-05-12,2025-05,4100,Freight Revenue,0,4692.23,Freight billed,AR,INV-60238
JE-001129,12-May-2025,2025-05,2100,Accrued Expenses,0,347.77,Sales tax payable,AR,INV-60238
JE-001130,05/12/2025,2025-05,5000,COGS - Materials,3081.8,0,COGS,AR,INV-60238
JE-001131,2025-05-12,2025-05,1230,Inventory - Purchased for Resale,0,3081.8,Inventory relief,AR,INV-60238
JE-001346,2025-05-12,2025-05,1100,Accounts Receivable,35030.82,0,Invoice INV-60284,AR,INV-60284
JE-001347,2025-05-12,2025-05 ,4010,Product Sales - Distributed,0,34820.8,Invoice INV-60284,AR,INV-60284
JE-001348,05/12/2025,2025-05,4100,Freight Revenue,0,210.02,Freight billed,AR,INV-60284
JE-001349,2025-05-12,2025-05,5000 ,COGS - Materials,26226.3,0,COGS,AR,INV-60284
JE-001350,2025-05-12,2025-05,1230,Inventory - Purchased for Resale,0,26226.3,Inventory relief,AR,INV-60284
JE-001880,2025-05-13,2025-05,1100,Accounts Receivable,30737.06,0,Invoice INV-60395,AR,INV-60395
JE-001881,05/13/25,2025-05,4010,Product Sales - Distributed,0,30692.1,Invoice INV-60395,AR,INV-60395
JE-001882,2025-05-13,2025-05,4100,Freight Revenue,0,44.96,Freight billed,AR,INV-60395
JE-001883,2025-05-13,2025-05,5000,COGS - Materials,20737.9,0,COGS,AR,INV-60395
JE-001884,2025-05-13,2025-05,1230,Inventory - Purchased for Resale,0,20737.9,Inventory relief,AR,INV-60395
JE-003148,2025-05-13,2025-05,2050,GR/IR Clearing (Received Not Invoiced),29188.9,0,Supplier inv 8152743,AP,8152743
JE-003149,2025-05-13,2025-05 ,5300,Freight In,92.1,0,Freight in,AP,8152743
JE-003150,2025-05-13,2025-05,2000,Accounts Payable,0,29281.0,Supplier inv 8152743,AP,8152743
JE-003463,2025-05-13,2025-05,2050,GR/IR Clearing (Received Not Invoiced),9730.61,0,Supplier inv INV2123111,AP,INV2123111
JE-003464,2025-05-13,2025-05,5300,Freight In,143.83,0,Freight in,AP,INV2123111
JE-003465,2025-05-13,2025-05,2000,Accounts Payable,0,9874.44,Supplier inv INV2123111,AP,INV2123111
JE-001046,2025-05-14,2025-05,1100,Accounts Receivable,10045.98,0,Invoice INV-60221,AR,INV-60221
JE-001047,2025-05-14,2025-05,4010,Product Sales - Distributed,0,7676.68,Invoice INV-60221,AR,INV-60221
JE-001048,2025-05-14,2025-05,4100,Freight Revenue,0,2369.3,Freight billed,AR,INV-60221
JE-001049 ,2025-05-14,2025-05,5000,COGS - Materials,5280.49,0,COGS,AR,INV-60221
JE-001050,2025-05-14,2025-05,1230,Inventory - Purchased for Resale,0,5280.49,Inventory relief,AR,INV-60221
JE-003178,2025-05-16,2025-05,2050,GR/IR Clearing (Received Not Invoiced),53279.13,0,Supplier inv INV6348124,AP,INV6348124
JE-003179,2025-05-16,2025-05,5300,Freight In,123.86,0,Freight in,AP,INV6348124
JE-003180,2025-05-16,2025-05,2000,Accounts Payable,0,53402.99,Supplier inv INV6348124,AP,INV6348124
JE-003313,2025-05-16,2025-05,2050,GR/IR Clearing (Received Not Invoiced),40284.9,0,Supplier inv 95753238,AP,95753238
JE-003314,2025-05-16,2025-05,2000,Accounts Payable,0,40284.9,Supplier inv 95753238,AP,95753238
JE-003948,2025-05-16,2025-05,1230,Inventory - Purchased for Resale,40407.4,0,PO receipt PO-31093,INV,RCV-40091
JE-003949,2025-05-16,2025-05,2050,GR/IR Clearing (Received Not Invoiced),0,40407.4,PO receipt PO-31093,INV,RCV-40091
JE-000586,2025-05-17,2025-05,1100,Accounts Receivable,1908.51,0,Invoice INV-60124,AR,INV-60124
JE-000587,05/17/2025,2025-05,4010,Product Sales - Distributed,0,1083.51,Invoice INV-60124,AR,INV-60124
JE-000588,2025-05-17,2025-05,4100,Freight Revenue,0,746.45,Freight billed,AR,INV-60124
JE-000589,2025-05-17,2025-05,2100,Accrued Expenses,0,78.55,Sales tax payable,AR,INV-60124
JE-000590,2025-05-17,2025-05,5000,COGS - Materials,678.72,0,COGS,AR,INV-60124 
JE-000591,2025-05-17,2025-05,1230,Inventory - Purchased for Resale,0,678.72,Inventory relief,AR,INV-60124
JE-002072,17-May-2025,2025-05,1100,Accounts Receivable,9156.82,0,Invoice INV-60436,AR ,INV-60436
JE-002073,2025-05-17,2025-05,4010,Product Sales - Distributed,0,9156.82,Invoice INV-60436,AR,INV-60436
JE-002074,2025-05-17,2025-05,5000,COGS - Materials,6382.28,0,COGS,AR,INV-60436
JE-002075,2025-05-17,2025-05,1230,Inventory - Purchased for Resale,0,6382.28,Inventory relief,AR,INV-60436
JE-000916,2025-05-18,2025-05,1100,Accounts Receivable,2014.21,0,Invoice INV-60193,AR,INV-60193
JE-000917,2025-05-18,2025-05,4010,Product Sales - Distributed,0,1954.41,Invoice INV-60193,AR,INV-60193
JE-000918,2025-05-18,2025-05,4100,Freight Revenue,0,59.8,Freight billed,AR,INV-60193
JE-000919,2025-05-18,2025-05,5000,COGS - Materials,1566.98,0,COGS,AR,INV-60193
JE-000920,05/18/2025,2025-05,1230,Inventory - Purchased for Resale,0,1566.98,Inventory relief,AR,INV-60193
JE-002500,2025-05-18,2025-05,1000,Operating Cash,3786.94,0,Customer payment,AR,KBD-CR00094
JE-002501,2025-05-18,2025-05,1100,Accounts Receivable,0,3786.94,Customer payment,AR,KBD-CR00094
JE-001399,2025-05-19,2025-05,1100,Accounts Receivable,25991.29,0,Invoice INV-60295,AR,INV-60295
JE-001400,2025-05-19,2025-05,4010,Product Sales - Distributed,0,25551.11,Invoice INV-60295,AR,INV-60295
JE-001401,2025-05-19,2025-05,4100,Freight Revenue,0,440.18,Freight billed,AR ,INV-60295
JE-001402,2025-05-19,2025-05,5000,COGS - Materials,16822.48,0,COGS,AR,INV-60295
JE-001403,2025-05-19,2025-05,1230,Inventory - Purchased for Resale,0,16822.48,Inventory relief,AR,INV-60295
JE-001543,2025-05-19,2025-05,1100,Accounts Receivable,22061.0,0,Invoice INV-60324,AR,INV-60324 
JE-001544,19-May-2025,2025-05,4010,Product Sales - Distributed ,0,21469.52,Invoice INV-60324,AR,INV-60324
JE-001545,2025-05-19,2025-05,4100,Freight Revenue,0,591.48,Freight billed,AR,INV-60324
JE-001546,2025-05-19,2025-05,5000,COGS - Materials,15595.58,0,COGS,AR,INV-60324
JE-001547,2025-05-19,2025-05,1230,Inventory - Purchased for Resale,0,15595.58,Inventory relief,AR,INV-60324
JE-000765,2025-05-20,2025-05,1100,Accounts Receivable,43238.44,0,Invoice INV-60162,AR,INV-60162
JE-000766,2025-05-20,2025-05,4010,Product Sales - Distributed,0,37052.45,Invoice INV-60162,AR,INV-60162
JE-000767,2025-05-20,2025-05,4100,Freight Revenue,0,3499.69,Freight billed,AR,INV-60162
