as_of_date,customer_id,invoice_number,invoice_date,due_date,days_past_due,balance,aging_bucket,collector_id,last_contact,promise_to_pay
2026-03-31,NIC-CUST0018,INV-60151,2026-02-01,2026-03-18,13,23068.12,1-30,E004,,
2026-03-31,NIC-CUST0015,INV-60153,2026-03-25,2026-05-24,0,2963.86,Current,E004,,
2026-03-31,NIC-CUST0002,INV-60159,2026-03-27,2026-04-26,0,22023.67,Current,E004,,
2026-03-31,NIC-CUST0034,INV-60163,2026-03-25,2026-05-09,0,8326.06,Current,E004,,
2026-03-31,NIC-CUST0040,INV-60165,2026-02-17,2026-03-19,12,9736.72,1-30,E004,,
2026-03-31,NIC-CUST0009,INV-60171,2025-10-14,2025-11-28,123,131.51,90+,E004,2026-03-09,
2026-03-31,NIC-CUST0004,INV-60176,2026-03-20,2026-05-19,0,1729.16,Current,E004,,
2026-03-31,NIC-CUST0026,INV-60179,2026-03-15,2026-05-14,0,17124.69,Current,E004,,
2026-03-31,NIC-CUST0030,INV-60182,2025-11-14,2025-12-29,92,176.33,90+,E004,2026-02-21,
2026-03-31,NIC-CUST0019,INV-60187,2025-08-21,2025-08-21,222,21.42,90+,E004,2026-02-09,
2026-03-31,NIC-CUST0020,INV-60190,2026-03-10,2026-04-09,0,16583.38,Current,E004,,
2026-03-31,NIC-CUST0040,INV-60204,2026-03-22,2026-04-21,0,4230.81,Current,E004,,
2026-03-31,NIC-CUST0035,INV-60205,2026-03-13,2026-04-12,0,10946.66,Current,E004,,
2026-03-31,NIC-CUST0031,INV-60217,2026-01-04,2026-02-03,56,381.41,31-60,E004,2026-01-27,2026-04-04
2026-03-31,NIC-CUST0039,INV-60221,2025-12-18,2026-01-17,73,58.78,61-90,E004,2026-03-31,2026-04-15
2026-03-31,NIC-CUST0010,INV-60237,2025-08-24,2025-08-24,219,124.2,90+,E004,2026-02-20,
2026-03-31,NIC-CUST0014,INV-60243,2026-02-23,2026-04-24,0,24531.06,Current,E004,,
2026-03-31,NIC-CUST0030,INV-60252,2026-02-05,2026-03-22,9,14678.04,1-30,E004,,
2026-03-31,NIC-CUST0040,INV-60257,2025-11-06,2025-12-06,115,46.42,90+,E004,2026-02-21,2026-04-07
2026-03-31,NIC-CUST0007,INV-60258,2026-01-27,2026-03-13,18,13433.64,1-30,E004,2026-03-05,
2026-03-31,NIC-CUST0006,INV-60260,2025-06-01,2025-07-16,258,129.07,90+,E004,2026-01-17,
2026-03-31,NIC-CUST0007,INV-60262,2026-03-10,2026-04-24,0,6989.04,Current,E004,,
2026-03-31,NIC-CUST0023,INV-60263,2025-11-07,2025-12-07,114,88.23,90+,E004,2026-02-15,
2026-03-31,NIC-CUST0031,INV-60268,2025-08-20,2025-09-19,193,310.23,90+,E004,2026-03-04,2026-04-04
2026-03-31,NIC-CUST0010,INV-60273,2026-03-15,2026-03-15,16,3056.68,1-30,E004,2026-02-04,
2026-03-31,NIC-CUST0002,INV-60278,2026-02-21,2026-03-23,8,1879.17,1-30,E004,,
2026-03-31,NIC-CUST0039,INV-60279,2026-03-07,2026-04-06,0,16496.02,Current,E004,,
2026-03-31,NIC-CUST0004,INV-60284,2025-07-09,2025-09-07,205,171.62,90+,E004,2026-03-16,
2026-03-31,NIC-CUST0018,INV-60289,2026-03-14,2026-04-28,0,8089.4,Current,E004,,
2026-03-31,NIC-CUST0039,INV-60294,2026-03-13,2026-04-12,0,9019.79,Current,E004,,
2026-03-31,NIC-CUST0040,INV-60300,2026-03-27,2026-04-26,0,8287.16,Current,E004,,
2026-03-31,NIC-CUST0022,INV-60308,2026-03-22,2026-04-21,0,7327.0,Current,E004,,
2026-03-31,NIC-CUST0038,INV-60314,2026-03-16,2026-04-30,0,2840.25,Current,E004,,
2026-03-31,NIC-CUST0017,INV-60315,2026-02-07,2026-03-09,22,2518.66,1-30,E004,2026-02-17,
2026-03-31,NIC-CUST0024,INV-60323,2026-03-20,2026-04-19,0,7034.6,Current,E004,,
2026-03-31,NIC-CUST0026,INV-60325,2026-03-17,2026-05-16,0,30810.88,Current,E004,,
2026-03-31,NIC-CUST0025,INV-60326,2026-02-17,2026-04-18,0,2446.73,Current,E004,,
2026-03-31,NIC-CUST0022,INV-60328,2026-03-13,2026-04-12,0,2107.86,Current,E004,,
2026-03-31,NIC-CUST0034,INV-60333,2026-03-21,2026-05-05,0,1421.35,Current,E004,,
2026-03-31,NIC-CUST0029,INV-60334,2025-10-13,2025-11-12,139,210.6,90+,E004,2026-03-16,
2026-03-31,NIC-CUST0024,INV-60336,2026-03-21,2026-04-20,0,1672.62,Current,E004,,
2026-03-31,NIC-CUST0022,INV-60343,2026-01-26,2026-02-25,34,243.8,31-60,E004,2026-01-13,
2026-03-31,NIC-CUST0009,INV-60345,2026-01-21,2026-03-07,24,3751.5,1-30,E004,2026-02-28,
2026-03-31,NIC-CUST0034,INV-60348,2026-03-23,2026-05-07,0,435.03,Current,E004,,
2026-03-31,NIC-CUST0001,INV-60355,2026-02-25,2026-03-27,4,10288.72,1-30,E004,,
2026-03-31,NIC-CUST0006,INV-60359,2026-03-24,2026-05-08,0,3114.1,Current,E004,,
2026-03-31,NIC-CUST0017,INV-60362,2026-02-19,2026-03-21,10,9772.32,1-30,E004,,
2026-03-31,NIC-CUST0008,INV-60366,2026-03-24,2026-04-23,0,267.18,Current,E004,,
2026-03-31,NIC-CUST0005,INV-60369,2026-02-19,2026-03-21,10,15148.08,1-30,E004,,
2026-03-31,NIC-CUST0010,INV-60373,2026-02-13,2026-02-13,46,26915.64,31-60,E004,2026-03-16,
2026-03-31,NIC-CUST0011,INV-60375,2025-10-31,2025-11-30,121,150.04,90+,E004,2026-02-13,
2026-03-31,NIC-CUST0001,INV-60379,2026-02-13,2026-03-15,16,1661.84,1-30,E004,2026-01-12,
2026-03-31,NIC-CUST0005,INV-60385,2026-01-21,2026-02-20,39,33034.69,31-60,E004,2026-03-28,
2026-03-31,NIC-CUST0015,INV-60386,2026-03-12,2026-05-11,0,2804.66,Current,E004,,
2026-03-31,NIC-CUST0018,INV-60387,2026-03-22,2026-05-06,0,7134.51,Current,E004,,
2026-03-31,NIC-CUST0017,INV-60391,2025-09-07,2025-10-07,175,385.21,90+,E004,2026-03-01,2026-04-18
