payment_id,customer_id,payment_date,method,reference,amount,applied_to_invoice,unapplied,remittance_source
NIC-CR00059,NIC-CUST0031,2026-01-23,Wire,670923,6146.87,INV-60069,0.0,Portal
NIC-CR00060,NIC-CUST0030,2025-07-08,ACH,474922,15261.79,INV-60070,0.0,Email remittance
NIC-CR00061,NIC-CUST0036,2026-03-05,ACH,182402,8972.7,INV-60071,0.0,Email remittance
NIC-CR00062,NIC-CUST0015,2025-07-31,ACH,637490,5637.69,INV-60073,0.0,Lockbox
NIC-CR00063,NIC-CUST0029,2025-10-23,ACH,292863,3189.53,INV-60074,0.0,Email remittance
NIC-CR00064,NIC-CUST0015,2025-08-26,ACH,837576,4554.56,INV-60075,0.0,Lockbox
NIC-CR00065,NIC-CUST0039,2026-01-08,Check,542139,29333.59,INV-60076,0.0,Lockbox
NIC-CR00066,NIC-CUST0023,2025-12-15,Wire,222721,6448.45,INV-60077,0.0,Bank feed
NIC-CR00067,NIC-CUST0033,2025-09-06,Card,663378,12359.49,INV-60078,0.0,Portal
NIC-CR00068,NIC-CUST0001,2025-06-05,Card,960768,8478.29,INV-60080,0.0,Bank feed
NIC-CR00069,NIC-CUST0025,2025-09-08,ACH,839790,14876.03,INV-60081,0.0,Lockbox
NIC-CR00070,NIC-CUST0034,2025-12-02,Card,803977,1294.38,INV-60082,0.0,Lockbox
NIC-CR00071,NIC-CUST0001,2025-07-27,Check,413162,29850.45,INV-60083,0.0,Bank feed
NIC-CR00072,NIC-CUST0030,2025-07-21,ACH,488025,6388.9,INV-60084,0.0,Lockbox
NIC-CR00073,NIC-CUST0006,2025-07-19,ACH,347604,8633.95,INV-60086,0.0,Lockbox
NIC-CR00074,NIC-CUST0029,2025-09-05,Check,953288,5968.78,INV-60087,0.0,Lockbox
NIC-CR00075,NIC-CUST0013,2026-02-09,ACH,497964,10784.7,INV-60088,0.0,Portal
NIC-CR00076,NIC-CUST0020,2025-12-18,Wire,805800,22613.08,INV-60089,0.0,Bank feed
NIC-CR00077,NIC-CUST0029,2026-03-31,ACH,950303,792.5,INV-60090,0.0,Email remittance
NIC-CR00078,NIC-CUST0037,2025-10-05,Wire,457528,2120.77,INV-60091,0.0,Bank feed
NIC-CR00079,NIC-CUST0004,2025-10-27,Check,949603,2283.43,INV-60092,0.0,Bank feed
NIC-CR00080,NIC-CUST0009,2025-08-28,Wire,762394,13975.69,INV-60093,0.0,Bank feed
NIC-CR00081,NIC-CUST0008,2025-06-23,ACH,505642,1070.66,INV-60094,0.0,Bank feed
NIC-CR00082,NIC-CUST0003,2025-06-14,ACH,190635,21056.32,INV-60095,0.0,Email remittance
NIC-CR00083,NIC-CUST0013,2025-06-16,Check,511751,18611.28,INV-60096,0.0,Bank feed
NIC-CR00084,NIC-CUST0002,2026-03-25,ACH,925014,3524.89,INV-60097,0.0,Portal
NIC-CR00085,NIC-CUST0025,2026-02-14,Wire,203666,17156.81,INV-60098,0.0,Portal
NIC-CR00086,NIC-CUST0013,2025-09-07,Card,345654,1254.99,INV-60099,0.0,Lockbox
NIC-CR00087,NIC-CUST0022,2025-11-12,Card,200419,11421.92,INV-60100,0.0,Email remittance
NIC-CR00088,NIC-CUST0040,2025-05-19,Check,168175,19334.73,INV-60101,0.0,Bank feed
NIC-CR00089,NIC-CUST0014,2025-09-04,ACH,135073,7034.43,INV-60103,0.0,Lockbox
NIC-CR00090,NIC-CUST0014,2026-03-30,Card,669363,5594.84,INV-60104,0.0,Portal
NIC-CR00091,NIC-CUST0040,2025-09-14,Card,984357,27208.46,INV-60105,0.0,Lockbox
NIC-CR00092,NIC-CUST0037,2025-09-09,Wire,860307,3536.1,INV-60106,0.0,Bank feed
NIC-CR00093,NIC-CUST0035,2025-12-17,Check,732246,2197.16,INV-60107,0.0,Portal
NIC-CR00094,NIC-CUST0025,2025-11-28,ACH,296091,8796.32,INV-60108,0.0,Email remittance
NIC-CR00095,NIC-CUST0007,2025-11-22,ACH,168397,793.6,INV-60110,0.0,Bank feed
NIC-CR00096,NIC-CUST0015,2026-01-12,Card,989085,5058.61,INV-60111,0.0,Email remittance
NIC-CR00097,NIC-CUST0006,2025-11-21,Wire,333671,3877.8,INV-60112,0.0,Lockbox
NIC-CR00098,NIC-CUST0040,2025-12-28,ACH,537003,1366.15,INV-60113,0.0,Bank feed
NIC-CR00099,NIC-CUST0007,2025-09-21,ACH,852127,3915.68,INV-60114,0.0,Bank feed
NIC-CR00100,NIC-CUST0023,2026-03-26,ACH,532047,38673.26,INV-60115,0.0,Email remittance
NIC-CR00101,NIC-CUST0007,2026-03-31,Card,744215,11071.63,INV-60117,0.0,Email remittance
NIC-CR00102,NIC-CUST0030,2026-03-15,Card,124681,12529.08,INV-60118,0.0,Email remittance
NIC-CR00103,NIC-CUST0001,2026-01-21,ACH,267806,300.88,INV-60119,0.0,Bank feed
NIC-CR00104,NIC-CUST0003,2025-10-07,ACH,855372,25249.08,INV-60120,0.0,Lockbox
NIC-CR00105,NIC-CUST0035,2025-12-09,Check,736185,3835.57,INV-60121,0.0,Bank feed
NIC-CR00106,NIC-CUST0001,2025-12-20,Wire,579964,402.62,INV-60122,0.0,Lockbox
NIC-CR00107,NIC-CUST0023,2025-08-26,ACH,976459,13948.89,INV-60123,0.0,Bank feed
NIC-CR00108,NIC-CUST0029,2025-09-03,Card,973996,2917.22,INV-60124,0.0,Bank feed
NIC-CR00109,NIC-CUST0008,2025-09-22,ACH,630240,9489.12,INV-60126,0.0,Email remittance
NIC-CR00110,NIC-CUST0022,2025-05-26,ACH,380303,2837.03,INV-60127,0.0,Lockbox
NIC-CR00111,NIC-CUST0026,2026-03-22,Check,481367,2784.61,INV-60128,0.0,Bank feed
NIC-CR00112,NIC-CUST0033,2025-11-15,ACH,731131,20355.31,INV-60129,0.0,Lockbox
NIC-CR00113,NIC-CUST0008,2025-07-27,Card,641134,7809.12,INV-60130,0.0,Portal
NIC-CR00114,NIC-CUST0008,2025-09-07,Check,289588,23963.43,INV-60131,0.0,Lockbox
NIC-CR00115,NIC-CUST0013,2025-06-24,Wire,951891,3404.27,INV-60132,0.0,Lockbox
NIC-CR00116,NIC-CUST0023,2025-10-06,ACH,269413,588.91,INV-60133,0.0,Email remittance
NIC-CR00117,NIC-CUST0030,2026-03-04,Check,179661,11396.68,INV-60134,0.0,Email remittance
NIC-CR00118,NIC-CUST0005,2025-11-04,ACH,112963,9134.6,INV-60135,0.0,Bank feed
NIC-CR00119,NIC-CUST0003,2025-10-23,Card,541726,15539.92,INV-60136,0.0,Portal
NIC-CR00120,NIC-CUST0007,2026-03-28,Card,894655,2949.59,INV-60137,0.0,Portal
NIC-CR00121,NIC-CUST0029,2025-06-18,ACH,463528,2979.97,INV-60138,0.0,Portal
NIC-CR00122,NIC-CUST0012,2025-09-09,Wire,225600,9053.91,INV-60139,0.0,Email remittance
NIC-CR00123,NIC-CUST0022,2025-09-11,ACH,432546,12339.43,INV-60141,0.0,Lockbox
NIC-CR00124,NIC-CUST0017,2026-02-02,Card,877730,8910.7,INV-60142,0.0,Email remittance
NIC-CR00125,NIC-CUST0019,2025-11-01,Card,591587,5919.58,INV-60143,0.0,Lockbox
NIC-CR00126,NIC-CUST0038,2025-07-18,ACH,200824,7884.58,INV-60145,0.0,Lockbox
NIC-CR00127,NIC-CUST0005,2025-07-15,ACH,606578,3700.75,INV-60146,0.0,Email remittance
NIC-CR00128,NIC-CUST0001,2025-12-08,Wire,742387,2655.51,INV-60147,0.0,Portal
NIC-CR00129,NIC-CUST0034,2026-01-15,Wire,130309,9407.37,INV-60148,0.0,Lockbox
NIC-CR00130,NIC-CUST0035,2026-01-09,ACH,466735,2456.99,INV-60149,0.0,Email remittance
NIC-CR00131,NIC-CUST0036,2026-01-06,Wire,412406,31872.17,INV-60150,0.0,Lockbox
NIC-CR00132,NIC-CUST0033,2025-08-26,ACH,387739,12231.47,INV-60152,0.0,Bank feed
NIC-CR00133,NIC-CUST0029,2026-02-11,ACH,153978,22937.56,INV-60154,0.0,Lockbox
NIC-CR00134,NIC-CUST0030,2025-10-02,Wire,460486,14729.69,INV-60155,0.0,Lockbox
NIC-CR00135,NIC-CUST0019,2025-06-26,Card,159851,7315.09,INV-60156,0.0,Bank feed
NIC-CR00136,NIC-CUST0040,2026-03-24,ACH,693096,7897.75,INV-60157,0.0,Portal
NIC-CR00137,NIC-CUST0015,2025-11-24,Wire,790139,8757.0,INV-60158,0.0,Lockbox
NIC-CR00138,NIC-CUST0003,2025-10-19,Wire,125083,14763.34,INV-60160,0.0,Lockbox
NIC-CR00139,NIC-CUST0031,2025-06-05,ACH,617129,737.34,INV-60161,0.0,Bank feed
NIC-CR00140,NIC-CUST0001,2025-10-07,Check,740169,6549.14,INV-60162,0.0,Lockbox
NIC-CR00141,NIC-CUST0017,2025-10-20,Wire,785418,25433.44,INV-60164,0.0,Lockbox
NIC-CR00142,NIC-CUST0004,2026-01-19,ACH,291610,11879.38,INV-60166,0.0,Bank feed
NIC-CR00143,NIC-CUST0010,2025-08-13,Card,838456,28137.77,INV-60167,0.0,Bank feed
NIC-CR00144,NIC-CUST0030,2025-11-22,ACH,328620,4202.05,INV-60168,0.0,Portal
NIC-CR00145,NIC-CUST0034,2025-06-25,Check,112763,2311.22,INV-60169,0.0,Bank feed
NIC-CR00146,NIC-CUST0003,2026-03-05,Card,286916,439.85,INV-60170,0.0,Bank feed
NIC-CR00147,NIC-CUST0009,2025-12-19,Check,614209,20581.25,INV-60171,0.0,Bank feed
NIC-CR00148,NIC-CUST0003,2025-06-27,Wire,447939,5952.28,INV-60172,0.0,Email remittance
NIC-CR00149,NIC-CUST0026,2025-10-03,ACH,689502,3290.42,INV-60173,0.0,Lockbox
NIC-CR00150,NIC-CUST0022,2026-03-12,Card,989380,21754.97,INV-60174,0.0,Bank feed
NIC-CR00151,NIC-CUST0010,2025-12-19,ACH,886745,8434.17,INV-60175,0.0,Portal
NIC-CR00152,NIC-CUST0008,2025-05-06,Wire,112733,14728.12,INV-60177,0.0,Lockbox
NIC-CR00153,NIC-CUST0015,2026-03-09,Check,417743,1288.6,INV-60178,0.0,Portal
NIC-CR00154,NIC-CUST0017,2025-12-18,Card,649791,4366.71,INV-60180,0.0,Bank feed
NIC-CR00155,NIC-CUST0037,2026-03-27,Check,680124,1479.56,INV-60181,0.0,Email remittance
NIC-CR00156,NIC-CUST0030,2026-01-12,Card,916219,10231.29,INV-60182,0.0,Portal
NIC-CR00157,NIC-CUST0017,2026-01-13,Card,720114,19626.02,INV-60183,0.0,Lockbox
NIC-CR00158,NIC-CUST0010,2025-12-14,ACH,509618,9499.1,INV-60184,0.0,Email remittance
NIC-CR00159,NIC-CUST0024,2025-08-13,Wire,477068,207.29,INV-60185,0.0,Bank feed
NIC-CR00160,NIC-CUST0013,2025-11-09,Wire,407706,11590.34,INV-60186,0.0,Lockbox
NIC-CR00161,NIC-CUST0019,2025-08-14,ACH,961343,6939.94,INV-60187,0.0,Bank feed
NIC-CR00162,NIC-CUST0040,2025-06-28,ACH,895573,9524.69,INV-60188,0.0,Portal
NIC-CR00163,NIC-CUST0014,2025-10-21,Card,839933,2368.43,INV-60189,0.0,Email remittance
NIC-CR00164,NIC-CUST0002,2025-10-03,Wire,959598,1542.04,INV-60191,0.0,Bank feed
NIC-CR00165,NIC-CUST0014,2026-03-05,ACH,138717,2905.72,INV-60192,0.0,Lockbox
NIC-CR00166,NIC-CUST0014,2025-09-25,Wire,500251,3228.52,INV-60193,0.0,Portal
NIC-CR00167,NIC-CUST0029,2025-07-23,ACH,460131,3161.4,INV-60194,0.0,Portal
NIC-CR00168,NIC-CUST0030,2025-09-12,Check,446323,530.02,INV-60195,0.0,Lockbox
NIC-CR00169,NIC-CUST0006,2025-12-31,ACH,446802,447.35,INV-60196,0.0,Bank feed
NIC-CR00170,NIC-CUST0026,2026-03-31,Check,841716,14155.07,INV-60197,0.0,Email remittance
NIC-CR00171,NIC-CUST0004,2026-02-20,Check,762307,16258.7,INV-60198,0.0,Portal
NIC-CR00172,NIC-CUST0037,2025-08-29,ACH,472318,28324.58,INV-60199,0.0,Bank feed
NIC-CR00173,NIC-CUST0037,2026-01-20,Wire,513599,3104.91,INV-60200,0.0,Email remittance
NIC-CR00174,NIC-CUST0023,2025-10-28,Card,988080,3387.29,INV-60201,0.0,Portal
NIC-CR00175,NIC-CUST0002,2026-02-11,ACH,972308,3087.85,INV-60202,0.0,Lockbox
NIC-CR00176,NIC-CUST0031,2025-12-17,ACH,593768,17562.77,INV-60203,0.0,Bank feed
NIC-CR00177,NIC-CUST0038,2025-09-21,ACH,716194,7426.66,INV-60206,0.0,Lockbox
NIC-CR00178,NIC-CUST0034,2026-03-23,ACH,135732,3342.4,INV-60207,0.0,Portal
NIC-CR00179,NIC-CUST0007,2026-01-30,Card,153558,8090.76,INV-60208,0.0,Portal
NIC-CR00180,NIC-CUST0040,2025-06-21,Wire,228228,16334.62,INV-60209,0.0,Portal
NIC-CR00181,NIC-CUST0004,2025-09-07,Check,561142,28430.01,INV-60210,0.0,Bank feed
NIC-CR00182,NIC-CUST0007,2026-03-06,Card,700765,10952.94,INV-60211,0.0,Lockbox
NIC-CR00183,NIC-CUST0033,2025-09-01,ACH,829508,975.13,INV-60212,0.0,Lockbox
NIC-CR00184,NIC-CUST0002,2025-11-16,ACH,809465,4147.86,INV-60213,0.0,Portal
NIC-CR00185,NIC-CUST0010,2025-11-20,Wire,927255,17363.55,INV-60214,0.0,Portal
NIC-CR00186,NIC-CUST0024,2025-12-28,ACH,464353,11271.46,INV-60215,0.0,Lockbox
NIC-CR00187,NIC-CUST0014,2026-01-05,ACH,414756,5449.84,INV-60216,0.0,Bank feed
NIC-CR00188,NIC-CUST0031,2026-02-03,ACH,645541,7176.66,INV-60217,0.0,Lockbox
NIC-CR00189,NIC-CUST0019,2026-02-04,Card,328916,9057.3,INV-60218,0.0,Bank feed
NIC-CR00190,NIC-CUST0004,2025-10-01,ACH,833658,20133.86,INV-60219,0.0,Email remittance
NIC-CR00191,NIC-CUST0019,2025-12-10,Check,656880,193.34,INV-60220,0.0,Lockbox
NIC-CR00192,NIC-CUST0039,2026-01-11,Check,140783,8336.2,INV-60221,0.0,Portal
NIC-CR00193,NIC-CUST0012,2025-09-23,ACH,273561,13167.63,INV-60222,0.0,Email remittance
NIC-CR00194,NIC-CUST0006,2025-12-26,ACH,348155,3364.23,INV-60223,0.0,Portal
NIC-CR00195,NIC-CUST0001,2025-10-19,ACH,803339,11314.74,INV-60224,0.0,Bank feed
NIC-CR00196,NIC-CUST0003,2025-11-24,Card,738724,2279.51,INV-60225,0.0,Email remittance
NIC-CR00197,NIC-CUST0034,2025-08-26,ACH,440372,2187.56,INV-60226,0.0,Bank feed
NIC-CR00198,NIC-CUST0015,2025-08-30,Card,722735,20481.73,INV-60227,0.0,Portal
NIC-CR00199,NIC-CUST0007,2026-02-05,Check,427328,3593.01,INV-60228,0.0,Email remittance
NIC-CR00200,NIC-CUST0035,2026-02-27,Wire,375400,5929.63,INV-60229,0.0,Portal
NIC-CR00201,NIC-CUST0006,2025-10-14,Check,764744,15523.36,INV-60230,0.0,Lockbox
NIC-CR00202,NIC-CUST0015,2025-11-27,Check,173405,1089.51,INV-60231,0.0,Lockbox
NIC-CR00203,NIC-CUST0038,2025-08-09,Card,878970,16343.81,INV-60232,0.0,Portal
NIC-CR00204,NIC-CUST0013,2026-01-26,Check,479576,4275.88,INV-60233,0.0,Email remittance
NIC-CR00205,NIC-CUST0013,2025-10-26,Check,131296,10433.1,INV-60234,0.0,Bank feed
NIC-CR00206,NIC-CUST0012,2025-06-21,Check,421773,7514.24,INV-60235,0.0,Bank feed
NIC-CR00207,NIC-CUST0017,2025-06-24,Card,695108,14226.39,INV-60236,0.0,Portal
NIC-CR00208,NIC-CUST0010,2025-09-12,Card,247982,4044.08,INV-60237,0.0,Lockbox
NIC-CR00209,NIC-CUST0002,2026-01-29,ACH,326260,7003.84,INV-60238,0.0,Email remittance
NIC-CR00210,NIC-CUST0029,2025-06-05,ACH,467472,12713.72,INV-60239,0.0,Email remittance
NIC-CR00211,NIC-CUST0008,2025-05-30,ACH,464331,15215.3,INV-60240,0.0,Email remittance
NIC-CR00212,NIC-CUST0006,2026-01-25,Wire,307232,6971.62,INV-60241,0.0,Lockbox
NIC-CR00213,NIC-CUST0033,2025-11-29,ACH,459448,8441.63,INV-60242,0.0,Bank feed
NIC-CR00214,NIC-CUST0014,2025-11-28,ACH,483795,1784.51,INV-60244,0.0,Portal
NIC-CR00215,NIC-CUST0006,2025-12-21,ACH,505030,3322.02,INV-60245,0.0,Portal
NIC-CR00216,NIC-CUST0011,2025-07-10,Wire,862437,2246.78,INV-60246,0.0,Lockbox
NIC-CR00217,NIC-CUST0022,2026-01-29,Card,873773,26172.41,INV-60247,0.0,Lockbox
NIC-CR00218,NIC-CUST0022,2025-07-10,ACH,391573,241.68,INV-60248,0.0,Email remittance
NIC-CR00219,NIC-CUST0039,2026-02-23,ACH,429904,4830.68,INV-60249,0.0,Bank feed
NIC-CR00220,NIC-CUST0012,2025-12-22,Wire,573798,5503.13,INV-60250,0.0,Email remittance
NIC-CR00221,NIC-CUST0040,2026-02-01,Wire,446294,7629.51,INV-60251,0.0,Bank feed
NIC-CR00222,NIC-CUST0038,2025-11-23,Card,189090,438.65,INV-60253,0.0,Bank feed
NIC-CR00223,NIC-CUST0030,2025-06-06,ACH,453886,6916.18,INV-60254,0.0,Portal
NIC-CR00224,NIC-CUST0001,2026-01-21,Check,602503,8623.18,INV-60255,0.0,Portal
NIC-CR00225,NIC-CUST0026,2026-03-26,Wire,443281,13656.67,INV-60256,0.0,Email remittance
NIC-CR00226,NIC-CUST0040,2025-11-29,Card,694407,575.76,INV-60257,0.0,Lockbox
NIC-CR00227,NIC-CUST0026,2025-10-23,Check,261077,28381.44,INV-60259,0.0,Bank feed
NIC-CR00228,NIC-CUST0006,2025-07-23,ACH,770192,6870.37,INV-60260,0.0,Lockbox
NIC-CR00229,NIC-CUST0025,2026-02-19,Wire,851957,16214.04,INV-60261,0.0,Email remittance
NIC-CR00230,NIC-CUST0023,2025-11-27,ACH,680615,1483.22,INV-60263,0.0,Email remittance
NIC-CR00231,NIC-CUST0025,2026-01-27,ACH,582905,12754.92,INV-60264,0.0,Bank feed
NIC-CR00232,NIC-CUST0005,2025-10-30,ACH,692268,3651.63,INV-60265,0.0,Lockbox
NIC-CR00233,NIC-CUST0008,2026-02-27,ACH,936075,7356.49,INV-60266,0.0,Bank feed
NIC-CR00234,NIC-CUST0023,2026-01-01,ACH,146921,7055.35,INV-60267,0.0,Lockbox
NIC-CR00235,NIC-CUST0031,2025-10-10,Wire,990307,12432.3,INV-60268,0.0,Lockbox
NIC-CR00236,NIC-CUST0034,2026-03-24,Card,918600,5734.21,INV-60269,0.0,Email remittance
NIC-CR00237,NIC-CUST0026,2025-07-03,Card,716754,10421.7,INV-60270,0.0,Lockbox
NIC-CR00238,NIC-CUST0035,2025-11-05,ACH,695321,12855.31,INV-60271,0.0,Portal
NIC-CR00239,NIC-CUST0021,2025-08-09,ACH,132933,6257.85,INV-60272,0.0,Bank feed
NIC-CR00240,NIC-CUST0020,2026-03-11,ACH,897127,7678.48,INV-60274,0.0,Email remittance
NIC-CR00241,NIC-CUST0019,2025-05-05,Wire,786255,3740.33,INV-60275,0.0,Email remittance
NIC-CR00242,NIC-CUST0009,2025-09-20,ACH,814406,6398.84,INV-60276,0.0,Bank feed
NIC-CR00243,NIC-CUST0015,2025-10-26,Check,286462,3043.06,INV-60277,0.0,Bank feed
NIC-CR00244,NIC-CUST0021,2025-07-08,Wire,903929,725.03,INV-60280,0.0,Bank feed
NIC-CR00245,NIC-CUST0005,2025-06-24,Wire,972138,3955.41,INV-60281,0.0,Portal
NIC-CR00246,NIC-CUST0020,2025-10-28,Check,925701,1729.9,INV-60282,0.0,Email remittance
NIC-CR00247,NIC-CUST0006,2025-06-03,Check,958071,1960.41,INV-60283,0.0,Portal
NIC-CR00248,NIC-CUST0004,2025-09-11,ACH,748461,6913.46,INV-60284,0.0,Lockbox
NIC-CR00249,NIC-CUST0022,2026-02-23,Wire,508866,14394.39,INV-60285,0.0,Email remittance
NIC-CR00250,NIC-CUST0019,2025-07-10,ACH,842323,29828.55,INV-60286,0.0,Lockbox
NIC-CR00251,NIC-CUST0001,2025-11-07,Wire,833560,9847.13,INV-60287,0.0,Email remittance
NIC-CR00252,NIC-CUST0033,2026-03-31,ACH,244818,1296.27,INV-60288,0.0,Portal
NIC-CR00253,NIC-CUST0019,2025-11-18,ACH,597107,5122.54,INV-60290,0.0,Lockbox
NIC-CR00254,NIC-CUST0033,2025-08-27,Wire,778140,28942.66,INV-60291,0.0,Email remittance
NIC-CR00255,NIC-CUST0040,2025-10-05,Check,448857,9403.69,INV-60292,0.0,Portal
NIC-CR00256,NIC-CUST0004,2025-08-30,Wire,991907,10605.02,INV-60293,0.0,Bank feed
NIC-CR00257,NIC-CUST0011,2025-10-21,Check,508476,18393.51,INV-60295,0.0,Portal
NIC-CR00258,NIC-CUST0001,2025-08-24,ACH,390974,29056.75,INV-60296,0.0,Portal
NIC-CR00259,NIC-CUST0036,2026-01-23,Check,990892,5229.95,INV-60297,0.0,Lockbox
NIC-CR00260,NIC-CUST0037,2026-01-13,ACH,990442,13508.48,INV-60298,0.0,Portal
NIC-CR00261,NIC-CUST0026,2025-07-23,ACH,832884,18044.48,INV-60299,0.0,Bank feed
