invoice_number,customer_id,so_number,shipment_id,customer_po_number,invoice_date,due_date,payment_terms,merchandise_total,freight,sales_tax,invoice_total,amount_paid,balance,status,delivery_method,gl_revenue_account
INV-60056,NIC-CUST0011,SO-26060,SH-50056,P173108,2025-12-08,2026-01-07,2% 10 Net 30,4143.24,137.0,0.0,4280.24,4280.24,0.0,Paid,Mail,4000
INV-60057,NIC-CUST0014,SO-26061,SH-50057,PO284863,2026-02-11,2026-04-12,Net 60,14869.49,0.0,0.0,14869.49,0.0,14869.49,Open,Email PDF,4000
INV-60058,NIC-CUST0026,SO-26062,SH-50058,4500348302,2025-04-28,2025-06-27,Net 60,22017.3,0.0,0.0,22017.3,22017.3,0.0,Paid,Email PDF,4000
INV-60059,NIC-CUST0004,SO-26063,SH-50059,P976663,2026-03-25,2026-05-24,Net 60,6243.35,0.0,0.0,6243.35,0.0,6243.35,Open,EDI 810,4000
INV-60060,NIC-CUST0035,SO-26064,SH-50060,P271160,2026-03-20,2026-04-19,Net 30,5959.94,0.0,0.0,5959.94,0.0,5959.94,Open,Mail,4000
INV-60061,NIC-CUST0022,SO-26065,SH-50061,PUR-622973,2025-07-28,2025-08-27,Net 30,2551.2,0.0,184.96,2736.16,2736.16,0.0,Paid,EDI 810,4000
INV-60062,NIC-CUST0011,SO-26066,SH-50062,4500588464,2025-08-02,2025-09-01,2% 10 Net 30,10211.64,0.0,0.0,10211.64,10211.64,0.0,Paid,Email PDF,4000
INV-60063,NIC-CUST0002,SO-26067,SH-50063,PO797180,2025-10-01,2025-10-31,Net 30,9941.61,132.41,0.0,10074.02,10074.02,0.0,Paid,Email PDF,4000
INV-60064,NIC-CUST0005,SO-26068,SH-50064,4500904308,2026-01-29,2026-02-28,Net 30,8754.25,0.0,634.68,9388.93,9388.93,0.0,Paid,Mail,4000
INV-60065,NIC-CUST0008,SO-26069,SH-50065,4500362893,2025-09-28,2025-10-28,2% 10 Net 30,5419.04,125.84,0.0,5544.88,5463.99,80.89,Short Paid,EDI 810,4000
INV-60066,NIC-CUST0030,SO-26071,SH-50066,PUR-406863,2025-11-17,2026-01-01,Net 45,5099.2,0.0,0.0,5099.2,5099.2,0.0,Paid,Mail,4000
INV-60067,NIC-CUST0001,SO-26072,SH-50067,PO847264,2025-11-13,2025-12-13,Net 30,608.43,0.0,44.11,652.54,652.54,0.0,Paid,Email PDF,4000
INV-60068,NIC-CUST0031,SO-26073,SH-50068,PO174359,2026-01-04,2026-02-03,2% 10 Net 30,12645.98,0.0,0.0,12645.98,12645.98,0.0,Paid,Email PDF,4000
INV-60069,NIC-CUST0031,SO-26074,SH-50069,PUR-478299,2025-12-04,2026-01-03,2% 10 Net 30,6146.87,0.0,0.0,6146.87,6146.87,0.0,Paid,Email PDF,4000
INV-60070,NIC-CUST0030,SO-26075,SH-50070,PO433637,2025-04-30,2025-06-14,Net 45,15342.32,0.0,0.0,15342.32,15261.79,80.53,Short Paid,Portal upload,4000
INV-60071,NIC-CUST0036,SO-26077,SH-50071,4500813434,2026-01-10,2026-02-24,Net 45,8972.7,0.0,0.0,8972.7,8972.7,0.0,Paid,Email PDF,4000
INV-60072,NIC-CUST0008,SO-26078,SH-50072,PUR-583900,2026-03-23,2026-04-22,2% 10 Net 30,14302.44,173.98,0.0,14476.42,0.0,14476.42,Open,Email PDF,4000
INV-60073,NIC-CUST0015,SO-26079,SH-50073,PO245064,2025-05-26,2025-07-25,Net 60,5414.67,223.02,0.0,5637.69,5637.69,0.0,Paid,Email PDF,4000
INV-60074,NIC-CUST0029,SO-26080,SH-50074,PUR-507704,2025-09-18,2025-10-18,Net 30,3189.53,0.0,0.0,3189.53,3189.53,0.0,Paid,Email PDF,4000
INV-60075,NIC-CUST0015,SO-26082,SH-50075,PO742224,2025-06-22,2025-08-21,Net 60,4554.56,0.0,0.0,4554.56,4554.56,0.0,Paid,Mail,4000
INV-60076,NIC-CUST0039,SO-26083,SH-50076,4500394347,2025-12-04,2026-01-03,Net 30,29333.59,0.0,0.0,29333.59,29333.59,0.0,Paid,Email PDF,4000
INV-60077,NIC-CUST0023,SO-26084,SH-50077,4500113797,2025-10-23,2025-11-22,2% 10 Net 30,6270.44,178.01,0.0,6448.45,6448.45,0.0,Paid,Email PDF,4000
INV-60078,NIC-CUST0033,SO-26085,SH-50078,PUR-841350,2025-08-06,2025-09-05,Net 30,12233.29,126.2,0.0,12359.49,12359.49,0.0,Paid,Portal upload,4000
INV-60079,NIC-CUST0015,SO-26086,SH-50079,P338052,2026-03-09,2026-05-08,Net 60,13978.94,0.0,0.0,13978.94,0.0,13978.94,Open,Email PDF,4000
INV-60080,NIC-CUST0001,SO-26087,SH-50080,P883910,2025-05-10,2025-06-09,Net 30,7787.23,126.49,564.57,8478.29,8478.29,0.0,Paid,Mail,4000
INV-60081,NIC-CUST0025,SO-26088,SH-50081,PUR-948158,2025-06-25,2025-08-24,Net 60,14876.03,0.0,0.0,14876.03,14876.03,0.0,Paid,Portal upload,4000
INV-60082,NIC-CUST0034,SO-26089,SH-50082,P837402,2025-09-27,2025-11-11,Net 45,1054.0,163.97,76.41,1294.38,1294.38,0.0,Paid,Mail,4000
INV-60083,NIC-CUST0001,SO-26090,SH-50083,PUR-230144,2025-07-04,2025-08-03,Net 30,27832.59,0.0,2017.86,29850.45,29850.45,0.0,Paid,Mail,4000
INV-60084,NIC-CUST0030,SO-26091,SH-50084,PO366401,2025-05-17,2025-07-01,Net 45,6388.9,0.0,0.0,6388.9,6388.9,0.0,Paid,Email PDF,4000
INV-60085,NIC-CUST0021,SO-26093,SH-50085,P533361,2026-03-11,2026-04-10,Net 30,22411.99,238.0,1624.87,24274.86,0.0,24274.86,Open,Portal upload,4000
INV-60086,NIC-CUST0006,SO-26094,SH-50086,P778911,2025-05-27,2025-07-11,Net 45,7911.3,149.08,573.57,8633.95,8633.95,0.0,Paid,EDI 810,4000
INV-60087,NIC-CUST0029,SO-26095,SH-50087,PUR-559324,2025-08-03,2025-09-02,Net 30,5968.78,0.0,0.0,5968.78,5968.78,0.0,Paid,Portal upload,4000
INV-60088,NIC-CUST0013,SO-26097,SH-50088,PO489870,2025-12-25,2026-01-24,Net 30,10292.54,492.16,0.0,10784.7,10784.7,0.0,Paid,EDI 810,4000
INV-60089,NIC-CUST0020,SO-26098,SH-50089,PUR-683157,2025-10-31,2025-11-30,Net 30,21084.46,0.0,1528.62,22613.08,22613.08,0.0,Paid,EDI 810,4000
INV-60090,NIC-CUST0029,SO-26099,SH-50090,P384883,2026-02-28,2026-03-30,Net 30,792.5,0.0,0.0,792.5,792.5,0.0,Paid,Mail,4000
INV-60091,NIC-CUST0037,SO-26100,SH-50091,PO455078,2025-08-16,2025-10-15,Net 60,2120.77,0.0,0.0,2120.77,2120.77,0.0,Paid,Email PDF,4000
INV-60092,NIC-CUST0004,SO-26101,SH-50092,PUR-185180,2025-08-26,2025-10-25,Net 60,2030.52,252.91,0.0,2283.43,2283.43,0.0,Paid,EDI 810,4000
INV-60093,NIC-CUST0009,SO-26102,SH-50093,PUR-696075,2025-07-03,2025-08-17,Net 45,13741.82,233.87,0.0,13975.69,13975.69,0.0,Paid,Email PDF,4000
INV-60094,NIC-CUST0008,SO-26103,SH-50094,4500617988,2025-05-08,2025-06-07,2% 10 Net 30,1070.66,0.0,0.0,1070.66,1070.66,0.0,Paid,Email PDF,4000
INV-60095,NIC-CUST0003,SO-26104,SH-50095,PO369732,2025-05-08,2025-06-07,Net 30,19632.93,0.0,1423.39,21056.32,21056.32,0.0,Paid,Portal upload,4000
INV-60096,NIC-CUST0013,SO-26105,SH-50096,P114555,2025-05-16,2025-06-15,Net 30,18611.28,0.0,0.0,18611.28,18611.28,0.0,Paid,Portal upload,4000
INV-60097,NIC-CUST0002,SO-26106,SH-50097,PO606870,2026-02-01,2026-03-03,Net 30,3440.7,84.19,0.0,3524.89,3524.89,0.0,Paid,EDI 810,4000
INV-60098,NIC-CUST0025,SO-26107,SH-50098,PUR-680788,2025-12-17,2026-02-15,Net 60,17044.52,112.29,0.0,17156.81,17156.81,0.0,Paid,EDI 810,4000
INV-60099,NIC-CUST0013,SO-26108,SH-50099,PO350805,2025-08-02,2025-09-01,Net 30,1231.46,23.53,0.0,1254.99,1254.99,0.0,Paid,Mail,4000
INV-60100,NIC-CUST0022,SO-26109,SH-50100,PO681376,2025-09-29,2025-10-29,Net 30,10414.69,252.16,755.07,11421.92,11421.92,0.0,Paid,EDI 810,4000
INV-60101,NIC-CUST0040,SO-26111,SH-50101,PUR-996834,2025-04-27,2025-05-27,Net 30,18977.24,357.49,0.0,19334.73,19334.73,0.0,Paid,Mail,4000
INV-60102,NIC-CUST0034,SO-26112,SH-50102,P209590,2026-02-16,2026-04-02,Net 45,32953.28,409.59,2389.11,35751.98,0.0,35751.98,Open,Mail,4000
INV-60103,NIC-CUST0014,SO-26113,SH-50103,PO790201,2025-07-13,2025-09-11,Net 60,7034.43,0.0,0.0,7034.43,7034.43,0.0,Paid,Email PDF,4000
INV-60104,NIC-CUST0014,SO-26114,SH-50104,4500966480,2026-01-14,2026-03-15,Net 60,5392.05,202.79,0.0,5594.84,5594.84,0.0,Paid,Email PDF,4000
INV-60105,NIC-CUST0040,SO-26115,SH-50105,P896188,2025-08-05,2025-09-04,Net 30,26800.4,408.06,0.0,27208.46,27208.46,0.0,Paid,Mail,4000
INV-60106,NIC-CUST0037,SO-26116,SH-50106,4500118555,2025-06-17,2025-08-16,Net 60,3536.1,0.0,0.0,3536.1,3536.1,0.0,Paid,Email PDF,4000
INV-60107,NIC-CUST0035,SO-26117,SH-50107,PO487229,2025-11-03,2025-12-03,Net 30,2197.16,0.0,0.0,2197.16,2197.16,0.0,Paid,EDI 810,4000
INV-60108,NIC-CUST0025,SO-26118,SH-50108,PO793458,2025-09-17,2025-11-16,Net 60,8796.32,0.0,0.0,8796.32,8796.32,0.0,Paid,Email PDF,4000
INV-60109,NIC-CUST0040,SO-26120,SH-50109,P931561,2026-03-24,2026-04-23,Net 30,311.0,61.74,0.0,372.74,0.0,372.74,Open,Portal upload,4000
INV-60110,NIC-CUST0007,SO-26121,SH-50110,PO433113,2025-09-16,2025-10-31,Net 45,739.95,0.0,53.65,793.6,793.6,0.0,Paid,Portal upload,4000
INV-60111,NIC-CUST0015,SO-26122,SH-50111,4500184348,2025-11-20,2026-01-19,Net 60,4739.01,319.6,0.0,5058.61,5058.61,0.0,Paid,Email PDF,4000
INV-60112,NIC-CUST0006,SO-26123,SH-50112,4500330381,2025-10-05,2025-11-19,Net 45,3551.78,68.52,257.5,3877.8,3877.8,0.0,Paid,Email PDF,4000
INV-60113,NIC-CUST0040,SO-26124,SH-50113,PUR-226906,2025-12-08,2026-01-07,Net 30,1081.29,284.86,0.0,1366.15,1366.15,0.0,Paid,Email PDF,4000
INV-60114,NIC-CUST0007,SO-26125,SH-50114,PUR-460445,2025-08-02,2025-09-16,Net 45,3650.98,0.0,264.7,3915.68,3915.68,0.0,Paid,Email PDF,4000
INV-60115,NIC-CUST0023,SO-26126,SH-50115,PO257664,2026-02-07,2026-03-09,2% 10 Net 30,38337.01,336.25,0.0,38673.26,38673.26,0.0,Paid,EDI 810,4000
INV-60116,NIC-CUST0011,SO-26127,SH-50116,PUR-206728,2026-02-06,2026-03-08,2% 10 Net 30,1225.44,87.89,0.0,1313.33,0.0,1313.33,Past Due,Portal upload,4000
INV-60117,NIC-CUST0007,SO-26128,SH-50117,4500126344,2026-02-12,2026-03-29,Net 45,10323.2,0.0,748.43,11071.63,11071.63,0.0,Paid,Mail,4000
INV-60118,NIC-CUST0030,SO-26129,SH-50118,PO907961,2026-01-26,2026-03-12,Net 45,12529.08,0.0,0.0,12529.08,12529.08,0.0,Paid,Portal upload,4000
INV-60119,NIC-CUST0001,SO-26130,SH-50119,P621511,2025-12-21,2026-01-20,Net 30,280.54,0.0,20.34,300.88,300.88,0.0,Paid,Mail,4000
INV-60120,NIC-CUST0003,SO-26131,SH-50120,P542052,2025-08-17,2025-09-16,Net 30,23542.27,0.0,1706.81,25249.08,25249.08,0.0,Paid,EDI 810,4000
INV-60121,NIC-CUST0035,SO-26132,SH-50121,PUR-120429,2025-11-04,2025-12-04,Net 30,3589.8,245.77,0.0,3835.57,3835.57,0.0,Paid,Email PDF,4000
INV-60122,NIC-CUST0001,SO-26133,SH-50122,PO437644,2025-11-15,2025-12-15,Net 30,375.4,0.0,27.22,402.62,402.62,0.0,Paid,Portal upload,4000
INV-60123,NIC-CUST0023,SO-26134,SH-50123,PUR-269470,2025-08-04,2025-09-03,2% 10 Net 30,13948.89,0.0,0.0,13948.89,13948.89,0.0,Paid,Portal upload,4000
INV-60124,NIC-CUST0029,SO-26135,SH-50124,PUR-118465,2025-07-31,2025-08-30,Net 30,2917.22,0.0,0.0,2917.22,2917.22,0.0,Paid,Email PDF,4000
INV-60125,NIC-CUST0005,SO-26136,SH-50125,PO824511,2026-03-27,2026-04-26,Net 30,218.8,0.0,15.86,234.66,0.0,234.66,Open,Email PDF,4000
INV-60126,NIC-CUST0008,SO-26137,SH-50126,4500311874,2025-08-03,2025-09-02,2% 10 Net 30,9489.12,0.0,0.0,9489.12,9489.12,0.0,Paid,Portal upload,4000
INV-60127,NIC-CUST0022,SO-26138,SH-50127,PUR-117911,2025-04-22,2025-05-22,Net 30,2549.43,102.77,184.83,2837.03,2837.03,0.0,Paid,Email PDF,4000
INV-60128,NIC-CUST0026,SO-26139,SH-50128,4500694520,2026-01-15,2026-03-16,Net 60,2656.68,127.93,0.0,2784.61,2784.61,0.0,Paid,Portal upload,4000
INV-60129,NIC-CUST0033,SO-26140,SH-50129,PUR-871653,2025-10-17,2025-11-16,Net 30,20126.34,228.97,0.0,20355.31,20355.31,0.0,Paid,Email PDF,4000
INV-60130,NIC-CUST0008,SO-26141,SH-50130,PO465920,2025-06-28,2025-07-28,2% 10 Net 30,7809.12,0.0,0.0,7809.12,7809.12,0.0,Paid,Mail,4000
INV-60131,NIC-CUST0008,SO-26142,SH-50131,P406658,2025-08-17,2025-09-16,2% 10 Net 30,23963.43,0.0,0.0,23963.43,23963.43,0.0,Paid,Email PDF,4000
INV-60132,NIC-CUST0013,SO-26143,SH-50132,4500276314,2025-06-01,2025-07-01,Net 30,3404.27,0.0,0.0,3404.27,3404.27,0.0,Paid,EDI 810,4000
INV-60133,NIC-CUST0023,SO-26144,SH-50133,PO224917,2025-08-22,2025-09-21,2% 10 Net 30,588.91,0.0,0.0,588.91,588.91,0.0,Paid,Email PDF,4000
INV-60134,NIC-CUST0030,SO-26145,SH-50134,4500255461,2025-12-29,2026-02-12,Net 45,11396.68,0.0,0.0,11396.68,11396.68,0.0,Paid,Email PDF,4000
INV-60135,NIC-CUST0005,SO-26146,SH-50135,PO449054,2025-10-02,2025-11-01,Net 30,7992.94,562.17,579.49,9134.6,9134.6,0.0,Paid,Portal upload,4000
INV-60136,NIC-CUST0003,SO-26147,SH-50136,4500732882,2025-09-15,2025-10-15,Net 30,14347.36,152.38,1040.18,15539.92,15539.92,0.0,Paid,EDI 810,4000
INV-60137,NIC-CUST0007,SO-26148,SH-50137,4500875504,2026-01-29,2026-03-15,Net 45,2750.2,0.0,199.39,2949.59,2949.59,0.0,Paid,Portal upload,4000
INV-60138,NIC-CUST0029,SO-26149,SH-50138,PO986382,2025-05-13,2025-06-12,Net 30,2979.97,0.0,0.0,2979.97,2979.97,0.0,Paid,Mail,4000
INV-60139,NIC-CUST0012,SO-26150,SH-50139,PUR-950229,2025-08-04,2025-09-03,2% 10 Net 30,8441.87,0.0,612.04,9053.91,9053.91,0.0,Paid,Email PDF,4000
INV-60140,NIC-CUST0008,SO-26151,SH-50140,4500647037,2026-03-22,2026-04-21,2% 10 Net 30,566.58,44.46,0.0,611.04,0.0,611.04,Open,EDI 810,4000
INV-60141,NIC-CUST0022,SO-26152,SH-50141,PO249817,2025-08-17,2025-09-16,Net 30,11407.85,104.51,827.07,12339.43,12339.43,0.0,Paid,EDI 810,4000
INV-60142,NIC-CUST0017,SO-26153,SH-50142,PO782188,2025-12-26,2026-01-25,Net 30,8910.7,0.0,0.0,8910.7,8910.7,0.0,Paid,EDI 810,4000
INV-60143,NIC-CUST0019,SO-26154,SH-50143,PUR-971988,2025-10-27,2025-10-27,COD,5684.14,235.44,0.0,5919.58,5919.58,0.0,Paid,Email PDF,4000
INV-60144,NIC-CUST0002,SO-26155,SH-50144,4500552299,2026-03-22,2026-04-21,Net 30,737.34,0.0,0.0,737.34,0.0,737.34,Open,Mail,4000
INV-60145,NIC-CUST0038,SO-26156,SH-50145,P614898,2025-05-12,2025-06-26,Net 45,7192.51,170.61,521.46,7884.58,7884.58,0.0,Paid,Portal upload,4000
INV-60146,NIC-CUST0005,SO-26158,SH-50146,PO588414,2025-06-13,2025-07-13,Net 30,3450.58,0.0,250.17,3700.75,3700.75,0.0,Paid,Mail,4000
INV-60147,NIC-CUST0001,SO-26159,SH-50147,P360810,2025-10-22,2025-11-21,Net 30,2721.91,0.0,197.34,2919.25,2655.51,263.74,Short Paid,Portal upload,4000
INV-60148,NIC-CUST0034,SO-26160,SH-50148,PUR-844644,2025-12-08,2026-01-22,Net 45,8771.44,0.0,635.93,9407.37,9407.37,0.0,Paid,EDI 810,4000
INV-60149,NIC-CUST0035,SO-26161,SH-50149,4500857630,2025-12-04,2026-01-03,Net 30,2456.99,0.0,0.0,2456.99,2456.99,0.0,Paid,Portal upload,4000
