Journal Id,Posting Date,Account Number,Account Name,Debit,Credit,Memo,Source
JE00036,"Dec 31, 2025",6700,Office & Supplies,37486.6,0,AP invoices 2025-12 (summary),AP
JE00036,2025-12-31,2000,Accounts Payable,0,37486.6,AP invoices 2025-12 (summary),AP
JE00037,2026-01-31,1200,Premiums Receivable (Agency Bill),31004.61,0,Agency bill commission earned 2026-01,AMS
JE00037,2026-01-31,4000,Commission Income - Agency Bill,0,31004.61,Agency bill commission earned 2026-01,AMS
JE00038,2026-01-31,1000,Operating Cash,48350.91,0,Direct bill commissions received 2026-01,Bank
JE00038,2026-01-31,4010,Commission Income - Direct Bill,0,48350.91,Direct bill commissions received 2026-01,Bank 
JE00039,2026-01-31,6000,Salaries & Wages,152750.0,0,Payroll 2026-01,Payroll
JE00039,2026-01-31,1000,Operating Cash,0,152750.0,Payroll 2026-01,Payroll
JE00040,2026-01-31,6700,Office & Supplies,26155.8,0,AP invoices 2026-01 (summary),AP
JE00040,2026-01-31,2000,Accounts Payable,0,26155.8,AP invoices 2026-01 (summary),AP
JE00041,2026-02-28,1200,Premiums Receivable (Agency Bill),13253.07,0,Agency bill commission earned 2026-02,AMS
JE00041,2026-02-28,4000,Commission Income - Agency Bill,0,13253.07,Agency bill commission earned 2026-02,AMS
JE00042,2026-02-28,1000 ,Operating Cash,42300.56,0,Direct bill commissions received 2026-02,Bank
JE00042 ,02/28/2026,4010,Commission Income - Direct Bill,0,42300.56,Direct bill commissions received 2026-02,Bank
JE00043,"Feb 28, 2026",6000,Salaries & Wages,152750.0,0,Payroll 2026-02,Payroll
JE00043,2026-02-28,1000,Operating Cash,0,152750.0,Payroll 2026-02,Payroll
JE00044,2026-02-28,6700,Office & Supplies,34947.2,0,AP invoices 2026-02 (summary),AP
JE00044,2026-02-28,2000,Accounts Payable,0,34947.2,AP invoices 2026-02 (summary),AP
JE00045,2026-03-31,1200,Premiums Receivable (Agency Bill),19012.08,0,Agency bill commission earned 2026-03,AMS
JE00045,2026-03-31,4000,Commission Income - Agency Bill,0,19012.08,Agency bill commission earned 2026-03,AMS
JE00046,2026-03-31,1000,Operating Cash,69521.11,0,Direct bill commissions received 2026-03,Bank
JE00046,"Mar 31, 2026",4010,Commission Income - Direct Bill,0,69521.11,Direct bill commissions received 2026-03,Bank
JE00047,2026-03-31,6000,Salaries & Wages,152750.0,0,Payroll 2026-03,Payroll
JE00047,2026-03-31,1000,Operating Cash,0,152750.0,Payroll 2026-03,Payroll
JE00048,2026-03-31,6700,Office & Supplies,27202.8,0,AP invoices 2026-03 (summary),AP
JE00048,2026-03-31,2000,Accounts Payable,0,27202.8,AP invoices 2026-03 (summary),AP
