SUPPLIER_INVOICE_N,SUPPLIER_ID,SUPPLIER_NAME,PO_NUMBER,INVOICE_DATE,RECEIVED_DATE,DUE_DATE,MERCHANDISE_TOTAL,FREIGHT,SALES_TAX,INVOICE_TOTAL,GL_ACCOUNT,STATUS,MATCH_STATUS,ENTERED_BY
SI8069549,RFS-V015,Regal Rexnord,5673,03/29/26,"Apr 02, 2026",2026-05-13,"$4,999.70",0.0,0.0,4999.7,2000,Approved,Matched,E002
SI2524758,RFS-V004,Baldor-Reliance (ABB),7717,11/27/2025,2025-11-27,2026-01-11,"$1,478.00",56.59,0.0,"$1,534.59",2000,PAID,Matched,E002
SI6557223,RFS-V018,Uline,,08/14/2025,2025-08-18,13-SEP-2025,"$16,435.00",0.0,0.0,"$16,435.00",2000,Paid,Matched,E002
SI9586080 ,RFS-V015,Regal Rexnord,5900,2026-02-03,2026-02-06,03/20/26,3511.8,0.0,0.0,3511.8,2000,Paid,Matched,E002
INV6209643,RFS-V010,Kaman Industrial Technologies,6090,2026-02-25,25-Feb-2026,2026-03-27,"$47,849.10",0.0,0.0,"$47,849.10",2000,Approved,Matched,E002
5838747,RFS-V013,Motion Industries,7981,2026-02-20,2026-02-24,2026-03-22,"$1,609.75",0.0,0.0,1609.75,,Approved,Matched,E002
INV5727192,RFS-V013,Motion Industries,6424,,2026-04-04,2026-04-30,15742.55,0.0,1456.19,17198.74,2000,Approved,Matched,E002
SI8015626,RFS-V016,Ryerson,,2026-02-16,02/21/26,2026-04-02,,0.0,0.0,2534.25,2000,Approved,Matched,E002
SI2071507,RFS-V001 ,Alro Steel,7593,2025-11-14,2025-11-15,12/14/2025,670.0,0.0,61.98,$731.98,2000,Paid,Matched,E002
6633255,RFS-V009,,6854,2025-07-31,"Jul 31, 2025",2025-08-30,3231.84,0.0,298.95,"$3,530.79",2000,Paid,Price variance,E002
INV7296697,RFS-V005,Brighton-Best International,5815,02/08/26,10-Feb-2026,2026-03-10,"$1,901.90",106.32,175.93,"$2,184.15",2000,Paid,Matched,E002
6257957,RFS-V004,Baldor-Reliance (ABB),6679,2026-02-17,"Feb 22, 2026",2026-04-03,"$1,076.25",0.0,0.0,1076.25,2000,Approved,Matched,E002
799255,RFS-V017,Sandvik Coromant,5210,2025-06-01,2025-06-05,2025-07-01,44349.08,0.0,0.0,44349.08,2000,PAID,Price variance,E002
92921231,RFS-V012,McMaster-Carr,6081,11/18/25,11/22/2025,2025-12-18,"$5,568.30",109.82,515.07,6193.19,2000,Paid,Matched,E002
SI5103590,RFS-V004,Baldor-Reliance (ABB),7227,"Apr 02, 2026",2026-04-07,2026-05-17,295.6,47.29,0.0,342.89,2000,Approved,Matched,E002
5633648 ,RFS-V008,GRAINGER INDUSTRIAL SUPPLY,,11/29/2025,2025-11-29,2025-12-29,"$18,966.00",0.0,0.0,"$18,966.00",2000,Paid,Matched,E002
9824460,RFS-V008,Grainger Industrial Supply,7005,05/24/25,2025-05-29,06/23/25,25846.38,165.74,0.0,"$26,012.12",2000,Paid,Matched,E002
SI3490239,RFS-V014,Parker Hannifin,8380,06-Jun-2025,2025-06-11,21-Jul-2025,5792.94,0.0,0.0,"$5,792.94",2000,Paid,Matched,E002 
SI4238755,RFS-V004,Baldor-Reliance (ABB),7009,2026-03-09 ,2026-03-11,2026-04-23,"$1,308.95",133.32,0.0,,2000,Approved,Matched,E002
1153266,,Parker Hannifin,5862,2025-11-23,11/26/2025,2026-01-07,41385.0,0.0,0.0,41385.0,2000,Paid,Matched,E002
8623235,RFS-V002,Apex Fastener Corp,5441,04/07/26,2026-04-11,2026-05-07,$755.76,0.0,0.0,$755.76,2000,APPROVED,Matched,E002
95397211,RFS-V006,Fastenal,8302,"Jan 10, 2026",2026-01-13,2026-02-09,"$7,268.15",0.0,672.3,7940.45,2000,Paid,Matched,E002
98315852,RFS-V012,McMaster-Carr,8847,01-Oct-2025,2025-10-01,2025-10-31,"$5,280.65",0.0,0.0,5280.65,,Paid,Matched,E002
94654214,RFS-V005,Brighton-Best International,7988,12/18/2025,18-Dec-2025,2026-01-17,4854.95,157.65,0.0,5012.6,2000,Paid,Matched,E002
SI8754820,RFS-V011,MSC Industrial Supply,8980,06/15/2025,06/19/2025,2025-07-15,"$29,093.78",0.0,0.0,29093.78,2000,Paid,Matched,E002
INV8069055,RFS-V014,PARKER HANNIFIN,8057,2026-01-10,2026-01-13,02/24/2026,"$2,020.30",0.0,0.0,2020.3,2000,Paid,,E002
5751840,RFS-V014,Parker Hannifin ,,11/16/2025,11/21/25,"Dec 31, 2025",3974.0,,0.0,3974.0,2000,Paid,Matched,E002
92977627,RFS-V009,Haas Automation,6571,2025-06-22,25-Jun-2025,07/22/25,12010.99,35.07,0.0,12046.06,2000,Paid,Matched,E002
INV1805748,RFS-V010,Kaman Industrial Technologies,6309,29-DEC-2025,01/01/26,28-Jan-2026,"$3,531.33",75.97,0.0,3607.3,2000,Paid,Matched,E002
99245821,RFS-V002,Apex Fastener Corp,7248,2025-08-05,2025-08-08,2025-09-04,6483.1,0.0,0.0,6483.1,2000 ,Paid,Matched,E002
SI4118379,RFS-V011,MSC Industrial Supply,7352,27-Apr-2025,2025-05-01,"May 27, 2025",,137.86,0.0,18959.41,2000,Paid,Matched,E002
SI9072890,RFS-V013,Motion Industries,8186,03/03/26,2026-03-05,2026-04-02,6108.27,0.0,0.0,6108.27,,On Hold,Price variance,E002
99675931,RFS-V018,Uline,6164,"Oct 21, 2025",25-Oct-2025,2025-11-20,9963.98,0.0,0.0,9963.98,2000,Paid,Matched,E002
9010774,RFS-V001,Alro Steel ,8269,02/10/2026,2026-02-14,03/12/26,"$1,660.56",0.0,0.0,"$1,660.56",2000,Paid,Matched ,E002
2109781,RFS-V016,Ryerson,5465,11/23/25,2025-11-28,"Jan 07, 2026",3469.36,0.0,0.0,3469.36,2000 ,Paid,Matched,E002
98132883,RFS-V017,Sandvik Coromant,6018,2025-07-28,07/28/2025,2025-08-27,"$6,205.08",137.48,0.0,6342.56,2000,Paid,Matched,E002
SI2562554,RFS-V018,Uline ,5861,2026-04-01,2026-04-04,05/01/2026,14155.25,0.0,0.0,"$14,155.25",2000,Approved,Matched,E002
,RFS-V012,McMaster-Carr,5046,"Aug 07, 2025",2025-08-10,2025-09-06,16742.7,0.0,1548.7,18291.4,2000,Paid,Matched,E002
SI5822506,RFS-V015,Regal Rexnord,6242,2026-01-29,2026-02-02,03/15/26,11261.25,0.0,0.0,"$11,261.25",2000,Paid,Price variance,E002
7965283,RFS-V007,Garlock Sealing Technologies,5017,2025-05-17,2025-05-21 ,2025-06-16,233.8,0.0,0.0,233.8,2000,Paid,Matched,E002
INV1911993,RFS-V004,Baldor-Reliance (ABB),6429,2025-06-10,,2025-07-25,"$2,118.69",0.0,0.0,2118.69,2000,Paid ,Matched,E002
SI6613379,RFS-V006,Fastenal,5194,05-Jan-2026,"Jan 07, 2026",2026-02-04,3547.11,0.0,0.0,"$3,547.11",2000,Paid ,Matched,E002
92723185,RFS-V018,Uline,8109,12/06/2025,2025-12-06,"Jan 05, 2026",1364.06,0.0,0.0,1364.06,2000,PAID,Matched,E002
SI9522233,RFS-V005,Brighton-Best International,6130,2025-07-10,2025-07-15,09-Aug-2025,"$4,120.00",0.0,0.0,,2000,Paid,Matched,E002
SI9720591,RFS-V011,MSC Industrial Supply,6111,2026-04-03,07-Apr-2026,2026-05-03,47182.4,,4364.37,51546.77,2000,Approved,Matched,E002
INV9168545,RFS-V007,Garlock Sealing Technologies,7676,2025-11-03,2025-11-03,2025-12-03,1185.0,0.0,0.0,"$1,185.00",2000,Paid ,Matched,E002
SI9720591,RFS-V011,MSC Industrial Supply,6111,2026-04-03,07-Apr-2026,2026-05-03,47182.4,,4364.37,51546.77,2000,Approved,Matched,E002
8739331,RFS-V004,Baldor-Reliance (ABB),7689,2026-02-09,2026-02-13,03/26/2026,10019.95,0.0,0.0,"$10,019.95",2000,Paid,Matched,E002
SI7307931,RFS-V015,Regal Rexnord,7051,2025-07-29,2025-07-29,09/12/2025,6813.1,0.0,0.0,6813.1,2000,Paid,Matched,E002
INV3618509 ,RFS-V002,Apex Fastener Corp,,07/21/25,2025-07-21,2025-08-20,9215.48,0.0,0.0,9215.48,2000,Paid,Matched,E002
INV2340546,RFS-V005,Brighton-Best International,8206,2026-01-22,2026-01-23,2026-02-21,31476.22,0.0,0.0,"$31,476.22",2000,Paid,Matched,E002
95830598,RFS-V013,MOTION INDUSTRIES,5906,11/25/25,,25-Dec-2025,"$5,938.83",156.41,549.34,6644.58,2000,Paid,Matched,E002
93702484,RFS-V010,Kaman Industrial Technologies,5506,2025-11-14,2025-11-17,14-Dec-2025,1417.84,168.8,131.15,1717.79,2000,Paid,Matched,E002
92375263,RFS-V010,Kaman Industrial Technologies,7280 ,2025-11-16,11/19/25,2025-12-16,2424.61,0.0,0.0,2424.61,,Paid,Matched,E002
94707722,RFS-V001,Alro Steel,7148,2025-11-05,"Nov 06, 2025",2025-12-05,9294.8,0.0,859.77,10154.57,2000,Paid,Matched,E002
,RFS-V013,Motion Industries,6582 ,2026-01-26,2026-01-31,25-Feb-2026,15742.56,0.0,0.0,15742.56,2000,Paid,Matched,E002
4368808,RFS-V003,Applied Industrial Technologies,5105,2025-06-29,02-Jul-2025,2025-07-29,22295.32,58.47,0.0,"$22,353.79 ",2000,Paid,Matched,E002
7840321,RFS-V005,Brighton-Best International,7873,"Feb 24, 2026",28-Feb-2026,26-Mar-2026,"$41,930.00",0.0,0.0,41930.0,2000,Approved,Matched,E002
97545610,RFS-V009,Haas Automation,5406,02/28/2026,2026-03-04,2026-03-30,"$3,908.72",61.7,0.0,3970.42,2000,Approved,Matched,E002
4391312,RFS-V012,McMaster-Carr,6250,,2025-09-13,2025-10-10,3719.2,96.95,0.0,"$3,816.15",2000,Paid,Matched,E002
94654214,RFS-V005,Brighton-Best International,7988,12/18/2025,18-Dec-2025,2026-01-17,4854.95,157.65,0.0,5012.6,2000,Paid,Matched,E002
INV7425418,,Brighton-Best International,6084,2025-05-12,2025-05-17,11-Jun-2025,1460.0,95.65,0.0,1555.65,2000,Paid,Matched,E002
INV9549357,RFS-V002,Apex Fastener Corp,6633,02/18/26,22-Feb-2026,2026-03-20,10190.38,0.0,0.0,"$10,190.38",2000,Approved,Matched,E002
INV1429495,RFS-V014,Parker Hannifin,,2025-09-24,09/25/2025,2025-11-08 ,3292.5,0.0,0.0,3292.5,2000,Paid,Matched,E002
3957741,RFS-V003,Applied Industrial Technologies,8324,2026-03-17,2026-03-22,16-Apr-2026,$625.02,0.0,0.0,625.02,2000,Approved,Matched,E002
2767457,RFS-V013,Motion Industries,8172,"Dec 28, 2025",2025-12-30,2026-01-27,$527.25,0.0,0.0,$527.25,2000,Paid,Matched,E002
SI667367,RFS-V014,Parker Hannifin,6286,"Sep 11, 2025",2025-09-16,10/26/2025,21143.51,0.0,0.0,"$21,143.51",2000,Paid,Matched,
91460202,RFS-V011,MSC Industrial Supply ,6775 ,03/01/2026,03/01/26,2026-03-31,"$1,589.25",0.0,0.0,1589.25,2000,Approved,Matched,E002
8065341,RFS-V007,Garlock Sealing Technologies,5580,2025-06-18,2025-06-22,2025-07-18,5430.26,0.0,0.0,"$5,430.26",2000,Paid,Matched,E002
7073861,RFS-V007,Garlock Sealing Technologies,6715,2025-09-12,09/12/2025,"Oct 12, 2025","$8,233.74",,0.0,8233.74,2000,Paid,Matched,E002
SI1772760,RFS-V001,Alro Steel,6422,2025-09-19,2025-09-22,10/19/25,10747.99,0.0,0.0,"$10,747.99",2000,,Price variance,E002 
95540420,RFS-V007,Garlock Sealing Technologies,6910,2026-01-01,2026-01-02,"Jan 31, 2026","$10,919.87",77.04,1010.09,12007.0,2000,Paid,Matched,E002
INV898884,RFS-V015,Regal Rexnord,7373,2025-12-21,12/21/25,2026-02-04,"$3,706.90",0.0,342.89,4049.79,2000,,Matched,E002
SI6327965,,MSC Industrial Supply,8014,05-May-2025,2025-05-09,2025-06-04,3305.85,0.0,0.0,"$3,305.85",2000,Paid,Matched,E002
91674562,RFS-V009,Haas Automation,7855,2025-06-21,21-Jun-2025,2025-07-21,"$3,339.23",0.0,0.0,"$3,339.23",2000,Paid,Price variance,
SI6674887,RFS-V002,Apex Fastener Corp,8355,2025-09-05,2025-09-10,"Oct 05, 2025",1990.0,0.0,0.0,1990.0,2000,Paid,Matched,E002
93392903,RFS-V004 ,Baldor-Reliance (ABB),5267,2025-10-28,2025-10-30,12/12/2025,5570.49,0.0,0.0,"$5,570.49",2000,Paid,Matched,E002
7073861,RFS-V007,Garlock Sealing Technologies,6715,2025-09-12,09/12/2025,"Oct 12, 2025","$8,233.74",,0.0,8233.74,2000,Paid,Matched,E002
92926299 ,RFS-V004,Baldor-Reliance (ABB) ,5960,03/31/26,2026-03-31,2026-05-15,7670.25,0.0,0.0,"$7,670.25",2000,Approved,Matched,E002
94832188,RFS-V016,Ryerson,,2026-02-19,2026-02-22,"Apr 05, 2026",369.18,141.97,0.0,$511.15,2000,APPROVED,Matched,E002
SI6855328,RFS-V011,MSC Industrial Supply,5504,,02/09/26,2026-03-06,1865.5,179.54,0.0,"$2,045.04",2000,Paid,Matched,E002
INV940457,RFS-V006,Fastenal,5900,,2026-02-09,2026-03-10,"$15,790.20",59.97,0.0,"$15,850.17",2000,Paid,Matched,E002
5469748,RFS-V009,Haas Automation,6132,02/20/26,2026-02-21,03/22/2026,4495.0,126.61,0.0,"$4,621.61",2000,Approved,Matched,E002
INV3168506,RFS-V007,Garlock Sealing Technologies,7668 ,2025-07-27,2025-08-01,2025-08-26,"$3,000.05",0.0,0.0,"$3,000.05",2000,Paid,Price variance,E002
INV1917213,RFS-V010,Kaman Industrial Technologies,6878 ,08/02/2025 ,,"Sep 01, 2025","$2,804.34",102.52,0.0,"$2,906.86",2000,Paid,Matched,E002
SI9520977,RFS-V005,Brighton-Best International,6639,02/19/2026,02/21/26,03/21/26,"$18,834.16",14.28,0.0,"$18,848.44",2000,Approved,Matched,E002
93711503,RFS-V006,Fastenal,7377,2026-02-02,2026-02-07,04-Mar-2026,"$11,540.00",0.0,0.0,11540.0,2000,Paid,Matched,E002
,RFS-V003,Applied Industrial Technologies,5488,08/09/25,14-Aug-2025,2025-09-08,"$11,940.25",0.0,0.0,11940.25,2000,Paid,Matched,E002
SI3106858,RFS-V017,Sandvik Coromant,7472,2025-06-25,06/25/2025,2025-07-25,7808.96,0.0,0.0,7808.96,2000,Paid,Matched,E002
,RFS-V006,Fastenal,8218,2026-04-02,2026-04-03,2026-05-02,4016.0,0.0,0.0,"$4,016.00",2000,Approved,Matched,E002
9278286,RFS-V014,Parker Hannifin,7904,12/06/25,12/11/2025,20-Jan-2026,5368.16,,0.0,"$5,368.16",2000,Paid,Price variance,E002
INV3223270,RFS-V010,,8369,"Jan 22, 2026",2026-01-25,2026-02-21,3435.0,72.93,0.0,3507.93,2000,Paid,Matched,E002
92858215,RFS-V008,Grainger Industrial Supply,8626,2025-04-16,2025-04-19,05/16/25,"$2,457.06",0.0,0.0,2457.06,2000,,Matched ,E002
INV7159739,RFS-V009,Haas Automation,8197 ,18-Aug-2025,2025-08-19,2025-09-17,"$26,608.75",0.0,0.0,26608.75,2000,Paid,,E002
99392754,RFS-V006,Fastenal,5444,"Mar 22, 2026",2026-03-24,04/21/26,28920.0,1.89,0.0,"$28,921.89",2000,Approved,MATCHED,E002
6419297,RFS-V009,Haas Automation,8617,04/05/2026,2026-04-07,2026-05-05,5638.38,0.0,0.0,5638.38,2000,Approved,Matched,E002
91914047,RFS-V014,Parker Hannifin,8286,2025-06-19,2025-06-19,08/03/2025,,31.14,787.27,"$9,329.46",2000,Paid,Price variance,E002
99730534,RFS-V008,Grainger Industrial Supply,6377,2025-09-28,2025-10-01 ,2025-10-28,"$26,449.90",0.0,0.0,26449.9,2000,Paid,Matched,E002
8137698,RFS-V012,McMaster-Carr,7132,10/14/25,2025-10-14,11/13/2025,942.24,0.0,0.0,$942.24,2000,Paid,Matched,E002
4965834,RFS-V006,Fastenal ,7838,2026-04-01,2026-04-06,05/01/26,$415.50,0.0,0.0,415.5,2000,,Matched,E002
SI5822506,RFS-V015,Regal Rexnord,6242,2026-01-29,2026-02-02,03/15/26,11261.25,0.0,0.0,"$11,261.25",2000,Paid,Price variance,E002
95240079,RFS-V004,Baldor-Reliance (ABB),8134,01/10/26,"Jan 13, 2026",2026-02-24,"$1,522.13 ",0.0,0.0,1522.13,,Paid,,E002
INV5529694,RFS-V006,Fastenal,8223,2026-02-28,"Mar 05, 2026",03/30/2026,8725.95,0.0,0.0,8725.95,2000,On Hold,Price variance,E002
INV7643697,RFS-V018,Uline,7405,12/18/25,2025-12-23,01/17/26,13821.0,,1278.44,15272.21,2000,Paid,Matched,E002
8127896,RFS-V015,Regal Rexnord,7122,05/29/25,2025-05-31,07/13/25,"$10,293.50",0.0,0.0,10293.5,2000,Paid,Matched,E002
INV4969692,RFS-V001,Alro Steel,5884,2025-11-07,2025-11-08,2025-12-07,,45.99,0.0,11763.8,2000,Paid,Price variance,E002
SI7630166 ,RFS-V015,Regal Rexnord,7157,26-Feb-2026,2026-02-26,2026-04-12,9505.0,119.05,0.0,"$9,624.05",2000,Approved,Matched,E002
INV8055923,RFS-V007,GARLOCK SEALING TECHNOLOGIES,8603,2026-03-18,"Mar 20, 2026",2026-04-17,"$6,650.65",0.0,0.0,6650.65,2000,Approved,Matched,E002
SI4531884,RFS-V012,McMaster-Carr,7454 ,2025-08-23,2025-08-27,09/22/2025,7852.0,138.8,0.0,"$7,990.80",2000,Paid,Matched,E002
99271154,RFS-V006,Fastenal,5464,2025-11-07,"Nov 10, 2025",2025-12-07,16460.0,0.0,0.0,16460.0,2000,Paid,Matched,E002
SI7825951,RFS-V009,Haas Automation,6215,2026-02-28,2026-03-04,"Mar 30, 2026",9724.56,0.0,0.0,"$9,724.56",2000,,Matched,E002
6583241,RFS-V009,Haas Automation,6338,2025-06-20,06/20/25,07/20/2025,"$27,214.56",0.0,0.0,"$27,214.56",2000,Paid,Matched,E002
SI3614478,RFS-V002,Apex Fastener Corp,5688,01/16/2026,01/21/26,02/15/2026,4831.77,0.0,0.0,4831.77,2000,Paid,Matched,E002
INV5210769,RFS-V012,McMaster-Carr,8326,"Mar 25, 2026",03/25/26,24-Apr-2026,3884.16,0.0,0.0,3884.16,2000,Approved,Matched,E002
6527902,RFS-V008,Grainger Industrial Supply,,"Oct 19, 2025","Oct 23, 2025",11/18/2025,,0.0,0.0,"$11,254.80",2000,Paid,Matched,E002 
INV3861314,RFS-V003,Applied Industrial Technologies,7537,,"Oct 31, 2025","Nov 30, 2025","$10,340.77",,0.0,10340.77,,Paid,Matched,E002
SI361120,RFS-V004,Baldor-Reliance (ABB),6997,2025-11-14,2025-11-16,2025-12-29,"$4,651.66",69.92,0.0,4721.58,2000,Paid,Matched,E002
INV7263563,RFS-V004,Baldor-Reliance (ABB),6678,10/21/25,10/26/25,12/05/25,"$11,600.55",0.0,0.0,11600.55,2000,PAID,Matched,E002
SI6966643,RFS-V016,RYERSON,7215,"Aug 06, 2025",08/10/25,2025-09-20,"$20,082.44",0.0,0.0,20082.44,2000,Paid,Matched,E002
4741956,RFS-V017,Sandvik Coromant,6682,2026-02-15,02/20/2026,2026-03-17,"$1,810.25",24.13,0.0,1834.38,2000,Approved,Matched,E002
8349939,RFS-V017 ,Sandvik Coromant,7943,"Jan 10, 2026",2026-01-11,2026-02-09,"$16,422.00",0.0,0.0,16422.0,2000,Paid,Matched,E002
INV1969848,RFS-V013,Motion Industries,7976,2025-12-23,2025-12-28,2026-01-22,"$3,980.76",16.81,0.0,3997.57,2000,Paid,Matched,E002
INV8111736,RFS-V002,Apex Fastener Corp,6576,05-Jan-2026,01/07/2026,02/04/26,3920.43,0.0,0.0,3920.43,2000,Paid,Matched,E002
SI4932234,RFS-V003,Applied Industrial Technologies,7686,2025-10-12,2025-10-13,,58290.02,101.28,0.0,58391.3,2000,Paid,Matched,E002
SI3065694,RFS-V012,McMaster-Carr,6364,2025-05-18 ,2025-05-23,2025-06-17,2396.8,0.0,221.7,2618.5,2000,Paid,Matched,E002
INV9928782,RFS-V009,Haas Automation,8474,06-Oct-2025,2025-10-10,11/05/25,24698.88,41.9,0.0,24740.78,2000,Paid,Matched,E002
95367878,RFS-V009,Haas Automation,7590,2026-03-12,15-Mar-2026,2026-04-11,"$6,601.18",0.0,0.0,6601.18,2000,Approved,Matched,E002
97843315,RFS-V011,,6709,2026-03-10,"Mar 10, 2026",2026-04-09,"$11,435.00",0.0,0.0,11435.0,2000,Approved,Matched,E002
,RFS-V014,Parker Hannifin,7079,"Aug 27, 2025","Sep 01, 2025",11-Oct-2025,43236.68,0.0,0.0,43236.68,2000,Paid,Matched,E002
4366560,RFS-V004,Baldor-Reliance (ABB),5483,,11/30/25,2026-01-11,$653.75,171.33,0.0,825.08,2000,Paid,Matched,E002
,RFS-V013,Motion Industries,,2025-11-16,2025-11-17,"Dec 16, 2025",6242.33,0.0,0.0,6242.33,2000,Paid ,,E002
SI9724894,RFS-V009,Haas Automation ,5990,2025-09-04,09/07/25,2025-10-04,2606.5,0.0,0.0,2606.5,2000,Paid,,E002
INV9114155,RFS-V016,Ryerson,7572,07/08/2025,2025-07-08,2025-08-22,4291.86,51.69,0.0,4343.55,2000,Paid,Matched,E002
SI7114153,RFS-V003,Applied Industrial Technologies,6159,2025-11-04,11/09/25,12/04/2025 ,"$1,562.64 ",0.0,0.0,"$1,562.64",2000 ,Paid ,Matched,E002
8733865,RFS-V008,Grainger Industrial Supply,5581,2025-12-19,2025-12-23,01/18/2026,29777.2,0.0,0.0,29777.2,2000,Paid,Matched,E002
7766515,RFS-V015,Regal Rexnord,7488,2025-10-05,2025-10-07,2025-11-19,16124.34,0.0,0.0,16124.34,2000,Paid,Matched,E002
4727030,RFS-V016,Ryerson,6149,10/23/25,"Oct 24, 2025","Dec 07, 2025","$3,277.04",0.0,303.13,3580.17,2000,Paid,Matched,E002
5977377,RFS-V014,Parker Hannifin,5151,28-Feb-2026,2026-03-05,"APR 14, 2026",16218.11,0.0,0.0,"$16,218.11",2000,Approved,Matched,E002
INV7549877,RFS-V008,Grainger Industrial Supply,7547,"Dec 21, 2025",2025-12-23,2026-01-20,10018.75,,0.0,"$10,186.89",2000,Paid,Matched,E002
INV1395232,RFS-V005,Brighton-Best International,6846,08/22/2025,2025-08-25,21-Sep-2025,"$5,573.84",0.0,0.0,"$5,573.84",2000,Paid,Matched,E002
INV4494623,,Haas Automation,7285,"Aug 31, 2025",2025-08-31,2025-09-30,49769.68,110.32,4603.7,54483.7,2000,Paid,Matched,E002
4219855,RFS-V013,Motion Industries,6409,08/11/25,"Aug 14, 2025","Sep 10, 2025",1120.24,0.0,0.0,1120.24,2000,Paid,Matched,
92589750,RFS-V013,Motion Industries,8442,2025-05-04,2025-05-06,2025-06-03,357.7,0.0,0.0,357.7,2000,PAID,Price variance,
2573009,RFS-V005,Brighton-Best International,8815,2026-02-01,2026-02-03,03/03/26,3664.18,0.0,0.0,"$3,664.18",2000,Paid,Matched,E002
